# _root_ ' El moviment denuncia l' especulació , els desallotjaments , les polítiques de criminalització i la violència policial exercida contra el moviment okupa .
#goldHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
#predictedHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
(3,9),(3,17),0.025617 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0242479 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.357825 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0666388 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.256294 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.35773 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.356006 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00894767 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0159393 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.000303021 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.00167216 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0209546 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0137456 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0126717 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.637737 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.630638 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0235384 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0279237 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0339501 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0168316 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00075106 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0688179 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00075106 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0242192 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0314741 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0123832 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0267785 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0307356 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0150735 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0177431 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0394405 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0327587 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0161482 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0159718 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00669228 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0068432 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0257682 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0242163 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0257682 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0145303 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0889185 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00677697 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00602973 # DEPENDENCYPART_SIBL
(4,2),(4,17),-8.47099e-05 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0259812 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0262915 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0668349 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.000477301 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.00467871 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.098479 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0146377 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0171981 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.017025 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0171981 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00220425 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0224346 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0139891 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0493764 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00936547 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00514542 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.00560111 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0187981 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.00759058 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0147711 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0611886 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00564536 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.250994 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00564536 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.256765 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0858774 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.251007 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00874457 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.25308 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0409647 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0442314 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0242545 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.251401 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.251043 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0155764 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.038545 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.091098 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0359244 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.104016 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0385595 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.216487 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.04002 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00602112 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0147412 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.126829 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0389652 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0385613 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0728887 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0155669 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.235933 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0193536 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.230174 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0152351 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.232247 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0201321 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0233987 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0907778 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.230568 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.230211 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.00599648 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0359244 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.104016 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0385595 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.216487 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.04002 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00602112 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0147412 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.126829 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0389652 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0385613 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0728887 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0885855 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.251638 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.014087 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.253711 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0334762 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0367429 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0299216 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.252032 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.251674 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0181062 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.066892 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.00144894 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.068623 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.119132 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.119017 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.175216 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0675211 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0668859 # DEPENDENCYPART_SIBL
(4,13),(4,24),-0.0327423 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.00545847 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.252914 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0407977 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0440644 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0288259 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.251234 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.250877 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.0194967 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.200321 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.120306 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.120969 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0407195 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.199929 # DEPENDENCYPART_SIBL
(4,15),(4,23),0.200238 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.0170448 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0486753 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0519419 # DEPENDENCYPART_SIBL
(4,17),(4,20),0.00513558 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.259201 # DEPENDENCYPART_SIBL
(4,17),(4,23),-0.258843 # DEPENDENCYPART_SIBL
(4,17),(4,24),-0.0281082 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.177681 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0179518 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.0526356 # DEPENDENCYPART_SIBL
(4,18),(4,23),-0.0523545 # DEPENDENCYPART_SIBL
(4,18),(4,24),0.00257001 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0140037 # DEPENDENCYPART_SIBL
(4,19),(4,22),-0.0504927 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0502117 # DEPENDENCYPART_SIBL
(4,19),(4,24),0.000578155 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.0479552 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.0474795 # DEPENDENCYPART_SIBL
(4,20),(4,24),-0.0333204 # DEPENDENCYPART_SIBL
(4,22),(4,23),-0.256332 # DEPENDENCYPART_SIBL
(4,22),(4,24),-0.0274418 # DEPENDENCYPART_SIBL
(4,23),(4,24),-0.0157012 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.000702251 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0413863 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.866812 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.013823 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.316512 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.013823 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.273097 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.399381 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.316503 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0256541 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.316078 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.071892 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0712387 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.353443 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.315282 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.323869 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0104439 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0666162 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00793552 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00173116 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00793552 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0136851 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0214617 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00175094 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00567798 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.00303131 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0333318 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0336958 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0192554 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.00278911 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.000158099 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0447265 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00227417 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.177528 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00227417 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.135491 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.336823 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.177522 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0338769 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.177062 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0344656 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0337859 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.297331 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.176298 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.183628 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0552621 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.379232 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0372904 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.379789 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0290456 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.379231 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.272061 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.379694 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.00976302 # DEPENDENCYPART_SIBL
