# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,27,30,33,30,33,15,35,33,5,
(15,35),-2.31588 # DEPENDENCYPART_ARC
(15,36),-0.413763 # DEPENDENCYPART_ARC
(16,17),-1.16283 # DEPENDENCYPART_ARC
(17,16),-1.01885 # DEPENDENCYPART_ARC
(17,19),-1.21111 # DEPENDENCYPART_ARC
(17,21),-1.35086 # DEPENDENCYPART_ARC
(17,27),-1.84869 # DEPENDENCYPART_ARC
(18,5),-2.72166 # DEPENDENCYPART_ARC
(18,6),-1.31391 # DEPENDENCYPART_ARC
(18,8),-1.2422 # DEPENDENCYPART_ARC
(18,10),-1.32683 # DEPENDENCYPART_ARC
(18,12),-1.65962 # DEPENDENCYPART_ARC
(18,14),-2.20171 # DEPENDENCYPART_ARC
(18,15),-2.15979 # DEPENDENCYPART_ARC
(18,16),1.26572 # DEPENDENCYPART_ARC
(18,17),2.50257 # DEPENDENCYPART_ARC
(18,19),0.449215 # DEPENDENCYPART_ARC
(18,20),-0.773459 # DEPENDENCYPART_ARC
(18,21),-0.988743 # DEPENDENCYPART_ARC
(18,22),-0.687915 # DEPENDENCYPART_ARC
(18,23),-2.77055 # DEPENDENCYPART_ARC
(18,24),-1.85155 # DEPENDENCYPART_ARC
(18,25),-1.63816 # DEPENDENCYPART_ARC
(18,26),-2.26844 # DEPENDENCYPART_ARC
(18,27),-1.91671 # DEPENDENCYPART_ARC
(18,30),-2.6033 # DEPENDENCYPART_ARC
(18,31),-2.61732 # DEPENDENCYPART_ARC
(18,33),-1.83796 # DEPENDENCYPART_ARC
(18,35),-2.89473 # DEPENDENCYPART_ARC
(18,36),-2.44003 # DEPENDENCYPART_ARC
(19,18),-1.369 # DEPENDENCYPART_ARC
(19,20),1.64984 # DEPENDENCYPART_ARC
(19,21),-1.01532 # DEPENDENCYPART_ARC
(19,22),-1.56772 # DEPENDENCYPART_ARC
(20,16),-3.06908 # DEPENDENCYPART_ARC
(20,18),-2.02684 # DEPENDENCYPART_ARC
(20,22),-1.21204 # DEPENDENCYPART_ARC
(20,24),-2.13063 # DEPENDENCYPART_ARC
(22,21),-0.846999 # DEPENDENCYPART_ARC
(22,23),-1.10996 # DEPENDENCYPART_ARC
(22,24),-1.68377 # DEPENDENCYPART_ARC
(22,26),-2.05122 # DEPENDENCYPART_ARC
(22,27),-2.15276 # DEPENDENCYPART_ARC
(23,24),-0.050677 # DEPENDENCYPART_ARC
(23,25),-0.512599 # DEPENDENCYPART_ARC
(23,26),-0.98858 # DEPENDENCYPART_ARC
(24,5),-2.97311 # DEPENDENCYPART_ARC
(24,6),-2.19992 # DEPENDENCYPART_ARC
(24,18),-2.69928 # DEPENDENCYPART_ARC
(24,19),-2.36588 # DEPENDENCYPART_ARC
(24,21),-1.82053 # DEPENDENCYPART_ARC
(24,22),-1.30911 # DEPENDENCYPART_ARC
(24,23),1.93264 # DEPENDENCYPART_ARC
(24,25),-0.296352 # DEPENDENCYPART_ARC
(24,26),-0.320584 # DEPENDENCYPART_ARC
(24,27),-0.978291 # DEPENDENCYPART_ARC
(24,30),-1.52532 # DEPENDENCYPART_ARC
(24,31),-1.49459 # DEPENDENCYPART_ARC
(24,32),-1.55486 # DEPENDENCYPART_ARC
(24,33),-1.36153 # DEPENDENCYPART_ARC
(24,35),-1.76474 # DEPENDENCYPART_ARC
(25,19),-1.57907 # DEPENDENCYPART_ARC
(25,21),-1.59996 # DEPENDENCYPART_ARC
(25,24),0.0451529 # DEPENDENCYPART_ARC
(25,26),0.833822 # DEPENDENCYPART_ARC
(25,27),-0.648927 # DEPENDENCYPART_ARC
(25,30),-1.65391 # DEPENDENCYPART_ARC
(25,31),-1.759 # DEPENDENCYPART_ARC
(25,33),-1.81759 # DEPENDENCYPART_ARC
(26,23),-2.6765 # DEPENDENCYPART_ARC
(26,24),-2.19158 # DEPENDENCYPART_ARC
(26,25),-0.791298 # DEPENDENCYPART_ARC
(26,27),1.96546 # DEPENDENCYPART_ARC
(26,30),-1.47163 # DEPENDENCYPART_ARC
(26,31),-2.74624 # DEPENDENCYPART_ARC
(26,33),-1.61349 # DEPENDENCYPART_ARC
(27,2),-3.31492 # DEPENDENCYPART_ARC
(27,4),-2.6109 # DEPENDENCYPART_ARC
(27,5),-1.98954 # DEPENDENCYPART_ARC
(27,13),-2.82709 # DEPENDENCYPART_ARC
(27,14),-2.67078 # DEPENDENCYPART_ARC
(27,15),-1.75981 # DEPENDENCYPART_ARC
(27,18),-2.58457 # DEPENDENCYPART_ARC
(27,19),-2.36461 # DEPENDENCYPART_ARC
(27,21),-1.59319 # DEPENDENCYPART_ARC
(27,22),-0.968876 # DEPENDENCYPART_ARC
(27,24),-1.23986 # DEPENDENCYPART_ARC
(27,25),-0.774163 # DEPENDENCYPART_ARC
(27,26),-0.517027 # DEPENDENCYPART_ARC
(27,28),0.644721 # DEPENDENCYPART_ARC
(27,30),-0.284605 # DEPENDENCYPART_ARC
(27,31),-0.780895 # DEPENDENCYPART_ARC
(27,32),-1.20856 # DEPENDENCYPART_ARC
(27,33),-1.30802 # DEPENDENCYPART_ARC
(27,35),-1.19352 # DEPENDENCYPART_ARC
(27,36),-1.55758 # DEPENDENCYPART_ARC
(29,25),-2.20559 # DEPENDENCYPART_ARC
(29,26),-1.69715 # DEPENDENCYPART_ARC
(30,23),-2.73714 # DEPENDENCYPART_ARC
(30,25),-2.02206 # DEPENDENCYPART_ARC
(30,26),-1.39863 # DEPENDENCYPART_ARC
(30,27),-2.42037 # DEPENDENCYPART_ARC
(30,29),1.46226 # DEPENDENCYPART_ARC
(30,31),0.946505 # DEPENDENCYPART_ARC
(30,32),-1.34842 # DEPENDENCYPART_ARC
(30,33),-1.09343 # DEPENDENCYPART_ARC
(30,35),-1.37858 # DEPENDENCYPART_ARC
(31,29),-1.15897 # DEPENDENCYPART_ARC
(31,30),-1.03434 # DEPENDENCYPART_ARC
(32,22),-2.63622 # DEPENDENCYPART_ARC
(32,30),-2.47184 # DEPENDENCYPART_ARC
(32,31),-2.34812 # DEPENDENCYPART_ARC
(32,35),-1.75675 # DEPENDENCYPART_ARC
(32,36),-1.96524 # DEPENDENCYPART_ARC
(33,2),-2.23785 # DEPENDENCYPART_ARC
(33,4),-0.616303 # DEPENDENCYPART_ARC
(33,5),-0.305519 # DEPENDENCYPART_ARC
(33,8),-2.46564 # DEPENDENCYPART_ARC
(33,10),-1.81151 # DEPENDENCYPART_ARC
(33,12),-2.13786 # DEPENDENCYPART_ARC
(33,13),-2.16905 # DEPENDENCYPART_ARC
(33,14),-1.78741 # DEPENDENCYPART_ARC
(33,15),-0.929201 # DEPENDENCYPART_ARC
(33,17),-1.85428 # DEPENDENCYPART_ARC
(33,18),-1.86293 # DEPENDENCYPART_ARC
(33,19),-1.67181 # DEPENDENCYPART_ARC
(33,21),-1.20808 # DEPENDENCYPART_ARC
(33,22),-0.200457 # DEPENDENCYPART_ARC
(33,24),-0.994262 # DEPENDENCYPART_ARC
(33,25),-1.00587 # DEPENDENCYPART_ARC
(33,26),-1.42616 # DEPENDENCYPART_ARC
(33,27),-0.450915 # DEPENDENCYPART_ARC
(33,28),-0.431197 # DEPENDENCYPART_ARC
(33,29),-1.78736 # DEPENDENCYPART_ARC
(33,30),0.0320589 # DEPENDENCYPART_ARC
(33,31),0.0295111 # DEPENDENCYPART_ARC
(33,32),3.22583 # DEPENDENCYPART_ARC
(33,35),0.943583 # DEPENDENCYPART_ARC
(33,36),-0.160731 # DEPENDENCYPART_ARC
(35,34),1.60218 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.416599 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.424429 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.426812 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.423133 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.426812 # DEPENDENCYPART_SIBL
(0,2),(0,33),-0.430514 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.945009 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.941914 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.939737 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.941914 # DEPENDENCYPART_SIBL
(0,4),(0,33),-0.945527 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.936794 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.934611 # DEPENDENCYPART_SIBL
(0,5),(0,32),-0.936794 # DEPENDENCYPART_SIBL
(0,5),(0,33),-0.940402 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.947961 # DEPENDENCYPART_SIBL
(0,14),(0,32),-0.948982 # DEPENDENCYPART_SIBL
(0,14),(0,33),-0.953752 # DEPENDENCYPART_SIBL
(0,15),(0,32),-0.937592 # DEPENDENCYPART_SIBL
(0,15),(0,33),-0.941205 # DEPENDENCYPART_SIBL
(0,32),(0,33),-0.953752 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.109413 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0211733 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.334893 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0170719 # DEPENDENCYPART_SIBL
(2,1),(2,36),-0.0648988 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0601631 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0558111 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0550612 # DEPENDENCYPART_SIBL
(2,4),(2,36),0.0105742 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0469091 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0391743 # DEPENDENCYPART_SIBL
(2,5),(2,36),0.0278436 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0425146 # DEPENDENCYPART_SIBL
(2,6),(2,36),-0.000930189 # DEPENDENCYPART_SIBL
(2,15),(2,36),0.0354102 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.138945 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0102036 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.100431 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0247406 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0420109 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0510625 # DEPENDENCYPART_SIBL
(4,2),(4,36),0.00425726 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.193402 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0428254 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.288664 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.174152 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.255945 # DEPENDENCYPART_SIBL
(4,3),(4,36),0.264572 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0138678 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0211961 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0540253 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0590616 # DEPENDENCYPART_SIBL
(4,5),(4,36),0.0255523 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00857122 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.103538 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0361696 # DEPENDENCYPART_SIBL
(4,6),(4,36),-0.021979 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.049253 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0379475 # DEPENDENCYPART_SIBL
(4,8),(4,36),0.025902 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0085971 # DEPENDENCYPART_SIBL
(4,10),(4,36),-0.0169736 # DEPENDENCYPART_SIBL
(4,12),(4,36),-0.0500063 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0100566 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.417221 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0947413 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0864199 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00823856 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0582469 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00886287 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00891723 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0534333 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.114432 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0561888 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.00220654 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00276203 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0534333 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.117264 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0181286 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.0765775 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.045424 # DEPENDENCYPART_SIBL
(5,1),(5,30),-0.0271616 # DEPENDENCYPART_SIBL
(5,1),(5,31),-0.0169577 # DEPENDENCYPART_SIBL
(5,1),(5,32),-0.114432 # DEPENDENCYPART_SIBL
(5,1),(5,33),-0.0180828 # DEPENDENCYPART_SIBL
(5,1),(5,35),-0.0100235 # DEPENDENCYPART_SIBL
(5,1),(5,36),-0.116949 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0622073 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.113836 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0487672 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0223516 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0101492 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0278363 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0300001 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0464058 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00439928 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00178056 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0257654 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00433357 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0464058 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0389409 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0384276 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0421956 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0154126 # DEPENDENCYPART_SIBL
(5,2),(5,30),-0.0545667 # DEPENDENCYPART_SIBL
(5,2),(5,31),-0.0320628 # DEPENDENCYPART_SIBL
(5,2),(5,32),-0.00439928 # DEPENDENCYPART_SIBL
(5,2),(5,33),0.0290066 # DEPENDENCYPART_SIBL
(5,2),(5,35),-0.0195679 # DEPENDENCYPART_SIBL
(5,2),(5,36),0.0181981 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.595035 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00937365 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.120661 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.17426 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0621787 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.117273 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0649242 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00587506 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0460326 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.111715 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0877855 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0649242 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0322815 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.111729 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.239263 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.0539056 # DEPENDENCYPART_SIBL
(5,3),(5,30),-0.127282 # DEPENDENCYPART_SIBL
(5,3),(5,31),-0.119375 # DEPENDENCYPART_SIBL
(5,3),(5,32),0.00587506 # DEPENDENCYPART_SIBL
(5,3),(5,33),0.088215 # DEPENDENCYPART_SIBL
(5,3),(5,35),-0.109727 # DEPENDENCYPART_SIBL
(5,3),(5,36),0.0876386 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0644072 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0681572 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.137816 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.112724 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0534753 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0269165 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.063528 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0617692 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0611129 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.13681 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0269165 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0130931 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0222272 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.219168 # DEPENDENCYPART_SIBL
(5,4),(5,27),0.108214 # DEPENDENCYPART_SIBL
(5,4),(5,30),0.0411103 # DEPENDENCYPART_SIBL
(5,4),(5,31),0.0514126 # DEPENDENCYPART_SIBL
(5,4),(5,32),0.063528 # DEPENDENCYPART_SIBL
(5,4),(5,33),0.109367 # DEPENDENCYPART_SIBL
(5,4),(5,35),0.054765 # DEPENDENCYPART_SIBL
(5,4),(5,36),0.0725655 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0719145 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0183854 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.125838 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0697006 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0547859 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.102581 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0386389 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0689697 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.105145 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0547859 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0908577 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.107979 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0636779 # DEPENDENCYPART_SIBL
(5,6),(5,27),-0.0617418 # DEPENDENCYPART_SIBL
(5,6),(5,30),-0.0708691 # DEPENDENCYPART_SIBL
(5,6),(5,31),-0.068691 # DEPENDENCYPART_SIBL
(5,6),(5,32),-0.102581 # DEPENDENCYPART_SIBL
(5,6),(5,33),-0.0259781 # DEPENDENCYPART_SIBL
(5,6),(5,35),-0.0661979 # DEPENDENCYPART_SIBL
(5,6),(5,36),-0.0202165 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0219648 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0181036 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.256759 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0104002 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0809833 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0497141 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.25621 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0370814 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0104002 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.080289 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.286818 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.0256131 # DEPENDENCYPART_SIBL
(5,7),(5,27),-0.0452374 # DEPENDENCYPART_SIBL
(5,7),(5,30),-0.258176 # DEPENDENCYPART_SIBL
(5,7),(5,31),-0.255774 # DEPENDENCYPART_SIBL
(5,7),(5,32),-0.0809833 # DEPENDENCYPART_SIBL
(5,7),(5,33),-0.0636509 # DEPENDENCYPART_SIBL
(5,7),(5,35),-0.253262 # DEPENDENCYPART_SIBL
