# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,5,5,7,12,12,12,5,12,13,16,14,16,19,17,12,12,24,24,21,24,5,
(21,23),-2.32561 # DEPENDENCYPART_ARC
(21,24),-0.879172 # DEPENDENCYPART_ARC
(21,25),-2.67769 # DEPENDENCYPART_ARC
(21,26),-1.2837 # DEPENDENCYPART_ARC
(22,23),-1.18035 # DEPENDENCYPART_ARC
(23,22),-1.05924 # DEPENDENCYPART_ARC
(23,25),-1.73407 # DEPENDENCYPART_ARC
(24,4),-3.51393 # DEPENDENCYPART_ARC
(24,5),-3.52741 # DEPENDENCYPART_ARC
(24,6),-2.63224 # DEPENDENCYPART_ARC
(24,7),-4.45835 # DEPENDENCYPART_ARC
(24,8),-2.14178 # DEPENDENCYPART_ARC
(24,9),-1.0652 # DEPENDENCYPART_ARC
(24,10),-1.68103 # DEPENDENCYPART_ARC
(24,11),-3.1458 # DEPENDENCYPART_ARC
(24,12),-3.19054 # DEPENDENCYPART_ARC
(24,13),-1.35661 # DEPENDENCYPART_ARC
(24,14),-1.62164 # DEPENDENCYPART_ARC
(24,16),-1.68691 # DEPENDENCYPART_ARC
(24,17),-1.92806 # DEPENDENCYPART_ARC
(24,19),-1.78657 # DEPENDENCYPART_ARC
(24,20),-0.967928 # DEPENDENCYPART_ARC
(24,21),-1.31653 # DEPENDENCYPART_ARC
(24,22),1.82277 # DEPENDENCYPART_ARC
(24,23),1.61311 # DEPENDENCYPART_ARC
(24,25),1.85034 # DEPENDENCYPART_ARC
(24,26),-0.397436 # DEPENDENCYPART_ARC
(25,14),-1.65653 # DEPENDENCYPART_ARC
(25,17),-1.62308 # DEPENDENCYPART_ARC
(25,24),-0.475168 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0432664 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.396581 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.396377 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0355667 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.40126 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.385881 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.408522 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.407606 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0434289 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.423456 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.395574 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.940649 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.261951 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.937048 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.938883 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.263526 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.940141 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.941933 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.39864 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.38322 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.952715 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0917012 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0792419 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.160004 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.122638 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0707751 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0409041 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.163425 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0291982 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00654784 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.255639 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.281701 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00895676 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.204026 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0573581 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.017364 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.100273 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00297834 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0211537 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00129441 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.074517 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0433356 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.100273 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0665353 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0410093 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0615203 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.000289294 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0110583 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0846028 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0506791 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00848263 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.128645 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.109058 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0436615 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0439508 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00561344 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00476961 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0184905 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.109058 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0512538 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0347939 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.00329884 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0129978 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0263155 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0581521 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0512497 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0228333 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.137747 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.121781 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0695891 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0656964 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0404284 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0668818 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.137747 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.143446 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0369408 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0306137 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.0145897 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.046705 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00479255 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00238129 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0201628 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.107731 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00996867 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0594077 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0384265 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.08635 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0201628 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0344188 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0343167 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.00999796 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.00934125 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0505547 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00862729 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.022824 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0708297 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00996271 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0405159 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0324644 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0406228 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.022824 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0726603 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0839264 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.0117103 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.0210651 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0219316 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00359587 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.101768 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00197042 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0583534 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00397049 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0316543 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.00359587 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.00895939 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0231197 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.021835 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.00920772 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0393066 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.279998 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.245718 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.465704 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.235614 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0871697 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0393066 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.683993 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.650076 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.238587 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.0337703 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0195605 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.000782749 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.00345896 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0114574 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.117944 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.062536 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0580478 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.0624551 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.00582766 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.0320717 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.000738717 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.147417 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00331677 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0168344 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.143791 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0223452 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0257669 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.00231216 # DEPENDENCYPART_SIBL
(4,10),(4,26),-0.120793 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0631084 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0128866 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.031163 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0287436 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0114916 # DEPENDENCYPART_SIBL
(4,11),(4,24),-0.0256585 # DEPENDENCYPART_SIBL
(4,11),(4,25),0.0198205 # DEPENDENCYPART_SIBL
(4,11),(4,26),-0.0234715 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0158369 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0713179 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.041221 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0480706 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0464858 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0163669 # DEPENDENCYPART_SIBL
(4,12),(4,26),0.00623127 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0292521 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.00827359 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0159507 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.0150455 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.116211 # DEPENDENCYPART_SIBL
(4,13),(4,26),0.0175574 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0569924 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.045846 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.0828095 # DEPENDENCYPART_SIBL
(4,14),(4,25),-0.106211 # DEPENDENCYPART_SIBL
(4,14),(4,26),-0.0923841 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0580478 # DEPENDENCYPART_SIBL
(4,20),(4,24),0.0624551 # DEPENDENCYPART_SIBL
(4,20),(4,25),0.00582766 # DEPENDENCYPART_SIBL
(4,20),(4,26),-0.0320717 # DEPENDENCYPART_SIBL
(4,21),(4,24),-0.0757669 # DEPENDENCYPART_SIBL
(4,21),(4,25),-0.0353731 # DEPENDENCYPART_SIBL
(4,21),(4,26),-0.0641083 # DEPENDENCYPART_SIBL
(4,24),(4,25),-1.86422e-05 # DEPENDENCYPART_SIBL
(4,24),(4,26),0.044697 # DEPENDENCYPART_SIBL
(4,25),(4,26),0.0386397 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.34019 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.353855 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.337455 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.144657 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.115941 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.03019 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.161876 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0311869 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0797362 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0730295 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.144303 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.12006 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.161876 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.00997252 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.117517 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.120102 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.105126 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0448331 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.208225 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0597541 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0236971 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0698334 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0504576 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0781676 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0591652 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00692104 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.018338 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0368373 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0504576 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0511631 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0348846 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0119164 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0312649 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.248767 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0522588 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0496594 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0193714 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.103197 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.139681 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0679988 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0461359 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0381359 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0625621 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.103197 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.122488 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.015982 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0290241 # DEPENDENCYPART_SIBL
(5,3),(5,26),-0.00880662 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.01345 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.000746503 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0960975 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0779175 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.203856 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0564692 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0732731 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0128251 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0608256 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0779175 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.202538 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0465573 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.000926968 # DEPENDENCYPART_SIBL
