# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,8,10,14,14,0,14,17,15,14,20,18,20,21,24,22,24,14,
(17,18),-0.10016 # DEPENDENCYPART_ARC
(17,20),-0.643367 # DEPENDENCYPART_ARC
(17,21),-0.355563 # DEPENDENCYPART_ARC
(17,22),-0.98968 # DEPENDENCYPART_ARC
(17,24),-1.29312 # DEPENDENCYPART_ARC
(17,25),-0.911283 # DEPENDENCYPART_ARC
(17,26),-1.50589 # DEPENDENCYPART_ARC
(18,17),-1.49802 # DEPENDENCYPART_ARC
(18,20),2.00434 # DEPENDENCYPART_ARC
(18,21),-1.27571 # DEPENDENCYPART_ARC
(18,22),-1.4273 # DEPENDENCYPART_ARC
(18,24),-0.72463 # DEPENDENCYPART_ARC
(19,22),-1.23054 # DEPENDENCYPART_ARC
(20,2),-3.18616 # DEPENDENCYPART_ARC
(20,7),-2.26045 # DEPENDENCYPART_ARC
(20,15),-2.3112 # DEPENDENCYPART_ARC
(20,16),-1.98107 # DEPENDENCYPART_ARC
(20,18),-1.46832 # DEPENDENCYPART_ARC
(20,19),1.5333 # DEPENDENCYPART_ARC
(20,21),1.59549 # DEPENDENCYPART_ARC
(20,22),-0.259746 # DEPENDENCYPART_ARC
(20,24),-0.296995 # DEPENDENCYPART_ARC
(20,25),0.143466 # DEPENDENCYPART_ARC
(20,26),-0.746883 # DEPENDENCYPART_ARC
(21,15),-1.6253 # DEPENDENCYPART_ARC
(21,19),-1.29825 # DEPENDENCYPART_ARC
(21,22),-0.068577 # DEPENDENCYPART_ARC
(21,24),-1.75316 # DEPENDENCYPART_ARC
(21,25),-1.23957 # DEPENDENCYPART_ARC
(22,21),-1.52908 # DEPENDENCYPART_ARC
(22,24),1.92097 # DEPENDENCYPART_ARC
(22,25),-1.19575 # DEPENDENCYPART_ARC
(24,18),-2.1812 # DEPENDENCYPART_ARC
(24,19),-1.95557 # DEPENDENCYPART_ARC
(24,21),-1.39326 # DEPENDENCYPART_ARC
(24,23),1.4729 # DEPENDENCYPART_ARC
(24,25),1.73185 # DEPENDENCYPART_ARC
(24,26),-0.919956 # DEPENDENCYPART_ARC
(25,15),-2.3363 # DEPENDENCYPART_ARC
(25,18),-2.04194 # DEPENDENCYPART_ARC
(25,23),-1.37033 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.18767 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.191547 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.41462 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.424738 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.197561 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.417042 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.42716 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.414667 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.424784 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.943184 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.259342 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0784332 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.263376 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0245603 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.269552 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.314067 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.317068 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0149216 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.317503 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0149216 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.080476 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00456704 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0784332 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.314347 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0360216 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.319635 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0731356 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0990847 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.0936504 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0115432 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0121913 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.051859 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.040337 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0832239 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0417441 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0819699 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0422941 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0819699 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.000189168 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0137738 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.00801633 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0444709 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0242688 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0479697 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0938179 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0217809 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.114639 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.133756 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0375831 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00939281 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00152564 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0215948 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0090987 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0221184 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0090987 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00377875 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0114886 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0300655 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0161893 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0315314 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0216561 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.00262666 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0632171 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.00234298 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.0429146 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.629135 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.225167 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.60424 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0418014 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.603842 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0418014 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0913103 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0971823 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0463118 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.610461 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0704336 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.605247 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.249359 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.00467164 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.231973 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.00689045 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00185325 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0236364 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0131169 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0244995 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0131169 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00959047 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0173087 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0391466 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0182156 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0408265 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0236825 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.00488924 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0682626 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.00460555 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0397691 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00990072 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0185373 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0126199 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0185373 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0163118 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.00276356 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.123059 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0129755 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.116262 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0152308 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0425487 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.153374 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.071616 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0271969 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0211928 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.000705332 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0211928 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00937308 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.00165491 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0218057 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.00668851 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0273881 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0012217 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0202289 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0552244 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.0199452 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0137028 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.370825 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0373288 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0758778 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0446255 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0243091 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.377118 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0308692 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.375538 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.00104971 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0339356 # DEPENDENCYPART_SIBL
(2,9),(2,25),8.4404e-05 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.006744 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0603715 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0194245 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0117064 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.00392317 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0226268 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.00950617 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0171599 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0322337 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0373425 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.03195 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0122826 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0758778 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0446255 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0243091 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.377118 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0308692 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.375538 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.00104971 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0339356 # DEPENDENCYPART_SIBL
(2,11),(2,25),8.4404e-05 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.006744 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0735552 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.126813 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0269142 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0366983 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.00957453 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.00173863 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0622053 # DEPENDENCYPART_SIBL
(2,13),(2,25),-0.003463 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.018932 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.127465 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0497568 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0361601 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0324171 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0121027 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0619612 # DEPENDENCYPART_SIBL
(2,14),(2,25),0.0103783 # DEPENDENCYPART_SIBL
(2,14),(2,26),0.0393691 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0444709 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0242688 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.0479697 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0938179 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0217809 # DEPENDENCYPART_SIBL
(2,15),(2,25),0.114639 # DEPENDENCYPART_SIBL
(2,15),(2,26),0.133756 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0193253 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0082387 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.0236995 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.0459698 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.0234158 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.0119081 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0790724 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0686086 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.21582 # DEPENDENCYPART_SIBL
(2,18),(2,25),0.0890685 # DEPENDENCYPART_SIBL
(2,18),(2,26),0.171439 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.021312 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.0554038 # DEPENDENCYPART_SIBL
(2,20),(2,25),0.0210283 # DEPENDENCYPART_SIBL
(2,20),(2,26),-0.00265315 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.00202283 # DEPENDENCYPART_SIBL
(2,21),(2,25),-0.038029 # DEPENDENCYPART_SIBL
(2,21),(2,26),-0.0156887 # DEPENDENCYPART_SIBL
(2,22),(2,25),0.0753218 # DEPENDENCYPART_SIBL
(2,22),(2,26),0.217506 # DEPENDENCYPART_SIBL
(2,25),(2,26),-0.00417922 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.211731 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.144894 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0245848 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.144975 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.161326 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.127004 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.127004 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.065397 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0347439 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0204064 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0384419 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.011701 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0877763 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0877763 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00320525 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.143039 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.875755 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.130802 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0297452 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0297452 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.100789 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.280919 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.838264 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00706028 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00706028 # DEPENDENCYPART_SIBL
(3,5),(3,15),1.12606 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.123545 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0219882 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0219882 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0994047 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0134339 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0134339 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0102585 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.402689 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.434861 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.434861 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.675118 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.242033 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.650226 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0273372 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.649828 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0273372 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0976308 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.103503 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0872415 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0074215 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0344705 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0320368 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.059211 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0311736 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.059211 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0100324 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00231418 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0081777 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.00136326 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0447037 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0388458 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0474229 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0388458 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0129314 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.000616909 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.127835 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0444792 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.067287 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0563786 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.067287 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.028996 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0212778 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.00526082 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.0274296 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.495629 # DEPENDENCYPART_SIBL
