# _root_ El president , que ha fet el_seu discurs en castellà i català , ha recordat un discurs que va fer a Cadaqués l' any_1980 i on exaltava la figura de Salvador_Dalí .
#goldHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
#predictedHeads=2,15,6,6,6,2,8,6,8,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
(20,10),-2.36652 # DEPENDENCYPART_ARC
(20,11),-2.56076 # DEPENDENCYPART_ARC
(20,12),-2.2304 # DEPENDENCYPART_ARC
(20,14),-2.15862 # DEPENDENCYPART_ARC
(20,15),-1.41799 # DEPENDENCYPART_ARC
(20,17),-0.483982 # DEPENDENCYPART_ARC
(20,18),2.2438 # DEPENDENCYPART_ARC
(20,19),2.12857 # DEPENDENCYPART_ARC
(20,21),1.46821 # DEPENDENCYPART_ARC
(20,22),-0.40052 # DEPENDENCYPART_ARC
(20,24),-0.918943 # DEPENDENCYPART_ARC
(20,25),-0.341874 # DEPENDENCYPART_ARC
(20,27),-0.66631 # DEPENDENCYPART_ARC
(20,29),-1.44795 # DEPENDENCYPART_ARC
(20,30),-1.58236 # DEPENDENCYPART_ARC
(20,32),-0.412365 # DEPENDENCYPART_ARC
(21,22),2.15279 # DEPENDENCYPART_ARC
(21,24),-1.17507 # DEPENDENCYPART_ARC
(21,25),-1.52092 # DEPENDENCYPART_ARC
(21,27),-3.05744 # DEPENDENCYPART_ARC
(22,24),-1.17073 # DEPENDENCYPART_ARC
(22,25),-1.03136 # DEPENDENCYPART_ARC
(22,27),-1.63451 # DEPENDENCYPART_ARC
(22,29),-2.67522 # DEPENDENCYPART_ARC
(22,30),-2.41044 # DEPENDENCYPART_ARC
(23,21),-1.90072 # DEPENDENCYPART_ARC
(24,21),-0.926613 # DEPENDENCYPART_ARC
(24,23),1.08404 # DEPENDENCYPART_ARC
(24,25),-0.369696 # DEPENDENCYPART_ARC
(24,27),-1.28483 # DEPENDENCYPART_ARC
(24,29),-1.97827 # DEPENDENCYPART_ARC
(24,30),-2.03273 # DEPENDENCYPART_ARC
(26,29),-1.971 # DEPENDENCYPART_ARC
(26,30),-1.70223 # DEPENDENCYPART_ARC
(27,2),-4.10511 # DEPENDENCYPART_ARC
(27,3),-4.02295 # DEPENDENCYPART_ARC
(27,6),-4.1827 # DEPENDENCYPART_ARC
(27,8),-3.29378 # DEPENDENCYPART_ARC
(27,9),-2.92555 # DEPENDENCYPART_ARC
(27,17),-2.64482 # DEPENDENCYPART_ARC
(27,18),-3.04449 # DEPENDENCYPART_ARC
(27,19),-3.95224 # DEPENDENCYPART_ARC
(27,20),-2.30499 # DEPENDENCYPART_ARC
(27,21),-1.58855 # DEPENDENCYPART_ARC
(27,23),-3.22877 # DEPENDENCYPART_ARC
(27,24),-1.71748 # DEPENDENCYPART_ARC
(27,25),-0.631583 # DEPENDENCYPART_ARC
(27,26),1.7011 # DEPENDENCYPART_ARC
(27,29),0.871328 # DEPENDENCYPART_ARC
(27,30),-0.243224 # DEPENDENCYPART_ARC
(27,31),-0.943216 # DEPENDENCYPART_ARC
(27,32),-1.16721 # DEPENDENCYPART_ARC
(28,30),-0.751144 # DEPENDENCYPART_ARC
(29,6),-2.60125 # DEPENDENCYPART_ARC
(29,23),-2.98802 # DEPENDENCYPART_ARC
(29,26),-1.99397 # DEPENDENCYPART_ARC
(29,27),-1.75194 # DEPENDENCYPART_ARC
(29,28),1.58561 # DEPENDENCYPART_ARC
(29,30),1.38233 # DEPENDENCYPART_ARC
(29,31),-0.577745 # DEPENDENCYPART_ARC
(29,32),-0.629084 # DEPENDENCYPART_ARC
(30,28),-1.59274 # DEPENDENCYPART_ARC
(30,31),1.91415 # DEPENDENCYPART_ARC
(31,28),-2.00221 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.434627 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.421939 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.434627 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.434247 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.430346 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.950664 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.948982 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.942384 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.950526 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.949922 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.941009 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.948078 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.942384 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.950526 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.942453 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.084549 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.266015 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.118772 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.320647 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.111302 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.329044 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0498889 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.341878 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.084549 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.108062 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.320647 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0282306 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.330881 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.0962354 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.135827 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.168913 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.163057 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.149331 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.188138 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.154701 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.188866 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.105404 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.142529 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.163057 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.139148 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.166033 # DEPENDENCYPART_SIBL
(2,3),(2,32),-0.140619 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0718408 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0317028 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00974363 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0371237 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0416919 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0310209 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0288515 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0826957 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0317028 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.102497 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.0201236 # DEPENDENCYPART_SIBL
(2,5),(2,32),-0.0259139 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0536359 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0699852 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0480379 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.140259 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0541409 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0549972 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0272758 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0536359 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0460035 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.0650381 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.0433717 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0459233 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0364653 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0473147 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0310558 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0113294 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00224856 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0318293 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0292746 # DEPENDENCYPART_SIBL
(2,8),(2,29),-0.0194819 # DEPENDENCYPART_SIBL
(2,8),(2,32),-0.0515715 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.022788 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0949578 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0493302 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0597267 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00936225 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0435615 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0378306 # DEPENDENCYPART_SIBL
(2,9),(2,29),0.0433198 # DEPENDENCYPART_SIBL
(2,9),(2,32),0.147684 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0557497 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0191642 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0136933 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00647593 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.019934 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0228028 # DEPENDENCYPART_SIBL
(2,10),(2,29),-0.00759033 # DEPENDENCYPART_SIBL
(2,10),(2,32),-0.0548613 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.70919 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00246207 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.184033 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.715718 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0701731 # DEPENDENCYPART_SIBL
(2,11),(2,29),0.752192 # DEPENDENCYPART_SIBL
(2,11),(2,32),0.0284779 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0562114 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.000595152 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.00203399 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0286842 # DEPENDENCYPART_SIBL
(2,12),(2,29),0.0103097 # DEPENDENCYPART_SIBL
(2,12),(2,32),-0.0959561 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.142529 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.163057 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.139148 # DEPENDENCYPART_SIBL
(2,13),(2,29),0.166033 # DEPENDENCYPART_SIBL
(2,13),(2,32),-0.140619 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.00310968 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0773947 # DEPENDENCYPART_SIBL
(2,15),(2,29),0.0145092 # DEPENDENCYPART_SIBL
(2,15),(2,32),0.0102446 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0292746 # DEPENDENCYPART_SIBL
(2,17),(2,29),-0.0194819 # DEPENDENCYPART_SIBL
(2,17),(2,32),-0.0515715 # DEPENDENCYPART_SIBL
(2,20),(2,29),0.0235057 # DEPENDENCYPART_SIBL
(2,20),(2,32),-0.00310587 # DEPENDENCYPART_SIBL
(2,29),(2,32),-0.0581484 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.509978 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.601613 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0161292 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0424253 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0422157 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0281207 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0998577 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0127239 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0281207 # DEPENDENCYPART_SIBL
(5,2),(5,32),0.0245186 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.294792 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0339391 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0249643 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0065393 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0250793 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.153723 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0587875 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0250793 # DEPENDENCYPART_SIBL
(5,3),(5,32),-0.466158 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.167645 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.263783 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.406091 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.170747 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0454588 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.106013 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.170747 # DEPENDENCYPART_SIBL
(5,4),(5,32),-0.272802 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.039336 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.120284 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00162138 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00824537 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00454824 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.00162138 # DEPENDENCYPART_SIBL
(5,6),(5,32),0.0272557 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.137557 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.000395083 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.117736 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0437474 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.000395083 # DEPENDENCYPART_SIBL
(5,8),(5,32),0.0776545 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0554261 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0874729 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0885498 # DEPENDENCYPART_SIBL
(5,9),(5,25),0.0554261 # DEPENDENCYPART_SIBL
(5,9),(5,32),0.0753841 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0111823 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.830022 # DEPENDENCYPART_SIBL
(5,11),(5,25),-0.38347 # DEPENDENCYPART_SIBL
(5,11),(5,32),0.057058 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.15203 # DEPENDENCYPART_SIBL
(5,13),(5,25),0.18985 # DEPENDENCYPART_SIBL
(5,13),(5,32),-0.0309568 # DEPENDENCYPART_SIBL
(5,15),(5,25),-0.0426377 # DEPENDENCYPART_SIBL
(5,15),(5,32),0.0326654 # DEPENDENCYPART_SIBL
(5,25),(5,32),0.057058 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0295088 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0920145 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.671243 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.149962 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0513373 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0338254 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0267569 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0307646 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0570383 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.056699 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0582564 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00180254 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0513373 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.128405 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0506485 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.00166172 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0556917 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0307646 # DEPENDENCYPART_SIBL
(6,1),(6,27),0.00797861 # DEPENDENCYPART_SIBL
(6,1),(6,29),0.0129756 # DEPENDENCYPART_SIBL
(6,1),(6,32),-0.0388575 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.548942 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.744769 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.141855 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0111273 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0113804 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0297694 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.109104 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0188772 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0373929 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0388028 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0217247 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0111273 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.10896 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0182364 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.12974 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0144568 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.109104 # DEPENDENCYPART_SIBL
(6,2),(6,27),-0.0178648 # DEPENDENCYPART_SIBL
(6,2),(6,29),-0.0356129 # DEPENDENCYPART_SIBL
(6,2),(6,32),0.0589352 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0365903 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.225168 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0169342 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00606069 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0031968 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0611588 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0159646 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.221773 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0295885 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0185991 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0169342 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.132272 # DEPENDENCYPART_SIBL
