# _root_ L' empresa Formigons_Montcau desmantellarà la_seva fàbrica de Sabadell , situada al barri d' Hostafrancs i envoltada de vivendes , en un termini de tres anys .
#goldHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,4,22,20,22,25,23,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,10,22,20,22,25,23,4,
(2,4),(2,6),0.0544042 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0940189 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0476237 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.116669 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0487523 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0702347 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0581094 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0296438 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0463729 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0644458 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0563779 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00153481 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0879111 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0589251 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.024314 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0309331 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0350872 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.00101054 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0151186 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.100957 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0907683 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.231416 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.172426 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0308946 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.153475 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.102328 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0807522 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0759589 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0564111 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.021517 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0338079 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0325732 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00647686 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.00733935 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0400536 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0408512 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00776861 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0459606 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.282443 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.0318604 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.16518 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0922574 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0543345 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.10376 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.120069 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0731346 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0733631 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0633739 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.212337 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0937747 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.05294 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.0780293 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0762583 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.062407 # DEPENDENCYPART_SIBL
(2,22),(2,26),0.0125016 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00568671 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0426916 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.337724 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.080817 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0222481 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0180173 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0100837 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0502972 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0283836 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.143346 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0669204 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0664312 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0836881 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0729071 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0882531 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0700208 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0609916 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.011892 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0914889 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0200237 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0802463 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.158117 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0721687 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0700208 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0327414 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0986887 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0765681 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.749912 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.006069 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.044726 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00140065 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0150141 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0107726 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0497818 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00266767 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0499139 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00776252 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0275036 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0134479 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0150141 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0570455 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0147743 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0384565 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0241043 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0052024 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0287727 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0208751 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0101792 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00802618 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.032841 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00930134 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0224108 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0297554 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00750603 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0208751 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0173693 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0449473 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0270967 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0692355 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.2525 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0102193 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0459235 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0778671 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.256651 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0587551 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.249582 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00769853 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0421598 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0102193 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0447382 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.251985 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0177753 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0672979 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0501312 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0890256 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.114465 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0732158 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.241456 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0602354 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00700314 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.113477 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0501312 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.189744 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0624135 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0144638 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.017776 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0468891 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0825424 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.261148 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0539192 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.25408 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00516048 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0431253 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.017776 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0658226 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.256482 # DEPENDENCYPART_SIBL
(4,8),(4,26),-0.0231029 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0286128 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.157187 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.036728 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.155182 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0328751 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.220973 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0102696 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.085609 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.140248 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0357628 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.0606677 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0067251 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0606606 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0904575 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0549986 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0238432 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.173695 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0149442 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0760418 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0634588 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0163095 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0517978 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.123852 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0365621 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0501132 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0383943 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.00640688 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0582221 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.043877 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.0027115 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0558746 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.245625 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.00741585 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0413033 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0259581 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0635241 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.248028 # DEPENDENCYPART_SIBL
(4,12),(4,26),-0.0229048 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0341621 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0320753 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0878512 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0688682 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.178264 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0463991 # DEPENDENCYPART_SIBL
(4,13),(4,26),-0.0131775 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.00196455 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0406122 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.00487425 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0640824 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.248941 # DEPENDENCYPART_SIBL
(4,14),(4,26),-0.0114907 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.121051 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0459682 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.00512747 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.180302 # DEPENDENCYPART_SIBL
(4,15),(4,26),0.0226441 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0222094 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0135567 # DEPENDENCYPART_SIBL
(4,16),(4,22),-0.0597343 # DEPENDENCYPART_SIBL
(4,16),(4,26),0.00422045 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.140248 # DEPENDENCYPART_SIBL
(4,19),(4,22),-0.0357628 # DEPENDENCYPART_SIBL
(4,19),(4,26),-0.0606677 # DEPENDENCYPART_SIBL
(4,20),(4,22),0.0267904 # DEPENDENCYPART_SIBL
(4,20),(4,26),0.00139691 # DEPENDENCYPART_SIBL
(4,22),(4,26),-0.00659663 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00568833 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.639542 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.342497 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.16353 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00298568 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0816724 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0703869 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.164846 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.246664 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.173245 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0228891 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0297579 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.342497 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.170377 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0912095 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.154525 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.342497 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0539955 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0314946 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0220749 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00184288 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00400379 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0128935 # DEPENDENCYPART_SIBL
