# _root_ La manca d' aigua potable i d' electricitat que han provocat aquestes inundacions , accentuen la possibilitat d' aparició d' epidèmies , sobretot de còlera i de malària .
#goldHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,2,0,17,15,17,18,19,20,24,24,21,24,24,24,27,15,
#predictedHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,11,0,17,15,17,18,19,20,24,24,19,24,24,24,27,15,
(5,13),-2.70449 # DEPENDENCYPART_ARC
(5,14),-1.65288 # DEPENDENCYPART_ARC
(5,15),-2.78217 # DEPENDENCYPART_ARC
(7,1),-3.232 # DEPENDENCYPART_ARC
(7,5),-2.19617 # DEPENDENCYPART_ARC
(7,6),-0.993914 # DEPENDENCYPART_ARC
(7,8),2.59229 # DEPENDENCYPART_ARC
(7,9),-0.372006 # DEPENDENCYPART_ARC
(7,10),-2.00237 # DEPENDENCYPART_ARC
(7,11),-1.53184 # DEPENDENCYPART_ARC
(7,14),-1.69298 # DEPENDENCYPART_ARC
(7,15),-3.82435 # DEPENDENCYPART_ARC
(7,27),-2.2716 # DEPENDENCYPART_ARC
(8,2),-2.18726 # DEPENDENCYPART_ARC
(8,5),-0.788158 # DEPENDENCYPART_ARC
(8,6),-1.04986 # DEPENDENCYPART_ARC
(8,7),-0.729003 # DEPENDENCYPART_ARC
(8,9),-1.6351 # DEPENDENCYPART_ARC
(8,10),-0.823761 # DEPENDENCYPART_ARC
(8,11),-0.480078 # DEPENDENCYPART_ARC
(8,13),-1.2483 # DEPENDENCYPART_ARC
(8,14),-1.23054 # DEPENDENCYPART_ARC
(8,15),-1.93646 # DEPENDENCYPART_ARC
(8,17),-1.57679 # DEPENDENCYPART_ARC
(8,18),-1.42282 # DEPENDENCYPART_ARC
(8,29),-2.56944 # DEPENDENCYPART_ARC
(9,7),-1.81371 # DEPENDENCYPART_ARC
(10,2),-4.49962 # DEPENDENCYPART_ARC
(10,6),-3.90315 # DEPENDENCYPART_ARC
(10,7),-2.60402 # DEPENDENCYPART_ARC
(10,9),-0.143223 # DEPENDENCYPART_ARC
(10,11),-0.357822 # DEPENDENCYPART_ARC
(10,13),-1.49287 # DEPENDENCYPART_ARC
(10,14),-1.92309 # DEPENDENCYPART_ARC
(10,15),-1.97313 # DEPENDENCYPART_ARC
(10,17),-2.98799 # DEPENDENCYPART_ARC
(10,29),-3.74246 # DEPENDENCYPART_ARC
(11,1),-2.83432 # DEPENDENCYPART_ARC
(11,2),-1.81521 # DEPENDENCYPART_ARC
(11,3),-2.07862 # DEPENDENCYPART_ARC
(11,4),-2.10411 # DEPENDENCYPART_ARC
(11,5),-1.83415 # DEPENDENCYPART_ARC
(11,6),-1.291 # DEPENDENCYPART_ARC
(11,7),-0.440991 # DEPENDENCYPART_ARC
(11,8),-1.30233 # DEPENDENCYPART_ARC
(11,9),2.21486 # DEPENDENCYPART_ARC
(11,10),2.73541 # DEPENDENCYPART_ARC
(11,13),1.04794 # DEPENDENCYPART_ARC
(11,14),-0.0893204 # DEPENDENCYPART_ARC
(11,15),-0.959087 # DEPENDENCYPART_ARC
(11,17),-1.17322 # DEPENDENCYPART_ARC
(11,18),-1.14563 # DEPENDENCYPART_ARC
(11,20),-1.28964 # DEPENDENCYPART_ARC
(11,22),-1.30636 # DEPENDENCYPART_ARC
(11,23),-2.17363 # DEPENDENCYPART_ARC
(11,25),-2.5558 # DEPENDENCYPART_ARC
(11,26),-1.4712 # DEPENDENCYPART_ARC
(11,29),-0.730658 # DEPENDENCYPART_ARC
(13,2),-2.96037 # DEPENDENCYPART_ARC
(13,5),-2.75257 # DEPENDENCYPART_ARC
(13,6),-2.2437 # DEPENDENCYPART_ARC
(13,7),-1.9788 # DEPENDENCYPART_ARC
(13,10),-1.55806 # DEPENDENCYPART_ARC
(13,11),-1.25213 # DEPENDENCYPART_ARC
(13,12),2.41265 # DEPENDENCYPART_ARC
(13,14),-1.07494 # DEPENDENCYPART_ARC
(13,15),-1.01022 # DEPENDENCYPART_ARC
(13,17),-1.7493 # DEPENDENCYPART_ARC
(13,18),-1.29428 # DEPENDENCYPART_ARC
(13,20),-1.75288 # DEPENDENCYPART_ARC
(13,29),-2.42525 # DEPENDENCYPART_ARC
(14,13),-2.07415 # DEPENDENCYPART_ARC
(15,1),-4.12389 # DEPENDENCYPART_ARC
(15,2),-2.14534 # DEPENDENCYPART_ARC
(15,4),-2.53215 # DEPENDENCYPART_ARC
(15,5),-3.0351 # DEPENDENCYPART_ARC
(15,6),-2.15248 # DEPENDENCYPART_ARC
(15,7),-1.45499 # DEPENDENCYPART_ARC
(15,8),-2.18934 # DEPENDENCYPART_ARC
(15,9),-1.21263 # DEPENDENCYPART_ARC
(15,10),-1.29887 # DEPENDENCYPART_ARC
(15,11),-1.11185 # DEPENDENCYPART_ARC
(15,12),-1.72413 # DEPENDENCYPART_ARC
(15,13),0.353536 # DEPENDENCYPART_ARC
(15,14),-0.231941 # DEPENDENCYPART_ARC
(15,17),0.910272 # DEPENDENCYPART_ARC
(15,18),-0.117509 # DEPENDENCYPART_ARC
(15,19),-0.661461 # DEPENDENCYPART_ARC
(15,20),-0.479877 # DEPENDENCYPART_ARC
(15,21),-0.710975 # DEPENDENCYPART_ARC
(15,22),-0.674297 # DEPENDENCYPART_ARC
(15,23),-1.63149 # DEPENDENCYPART_ARC
(15,24),-1.78162 # DEPENDENCYPART_ARC
(15,25),-1.89535 # DEPENDENCYPART_ARC
(15,26),-1.00874 # DEPENDENCYPART_ARC
(15,28),-2.15677 # DEPENDENCYPART_ARC
(15,29),-0.176791 # DEPENDENCYPART_ARC
(16,17),-0.297279 # DEPENDENCYPART_ARC
(16,18),-0.96646 # DEPENDENCYPART_ARC
(17,2),-2.57252 # DEPENDENCYPART_ARC
(17,11),-2.97212 # DEPENDENCYPART_ARC
(17,13),-2.41743 # DEPENDENCYPART_ARC
(17,14),-1.66217 # DEPENDENCYPART_ARC
(17,15),-2.17882 # DEPENDENCYPART_ARC
(17,16),1.62126 # DEPENDENCYPART_ARC
(17,18),1.22188 # DEPENDENCYPART_ARC
(17,19),-0.200259 # DEPENDENCYPART_ARC
(17,20),0.0392257 # DEPENDENCYPART_ARC
(17,21),-0.940574 # DEPENDENCYPART_ARC
(17,22),-1.04307 # DEPENDENCYPART_ARC
(17,23),-1.54311 # DEPENDENCYPART_ARC
(17,24),-1.73063 # DEPENDENCYPART_ARC
(17,25),-1.28447 # DEPENDENCYPART_ARC
(17,26),-1.4034 # DEPENDENCYPART_ARC
(17,27),-2.88342 # DEPENDENCYPART_ARC
(17,28),-1.69548 # DEPENDENCYPART_ARC
(17,29),-1.5041 # DEPENDENCYPART_ARC
(18,14),-2.2539 # DEPENDENCYPART_ARC
(18,16),-1.70616 # DEPENDENCYPART_ARC
(18,19),2.39347 # DEPENDENCYPART_ARC
(18,20),-1.17194 # DEPENDENCYPART_ARC
(18,21),0.0277474 # DEPENDENCYPART_ARC
(18,22),-1.34744 # DEPENDENCYPART_ARC
(18,23),-1.83578 # DEPENDENCYPART_ARC
(18,24),-1.56372 # DEPENDENCYPART_ARC
(18,26),-0.822245 # DEPENDENCYPART_ARC
(18,27),-0.999438 # DEPENDENCYPART_ARC
(19,2),-2.74027 # DEPENDENCYPART_ARC
(19,16),-1.52312 # DEPENDENCYPART_ARC
(19,18),-0.899643 # DEPENDENCYPART_ARC
(19,20),1.03493 # DEPENDENCYPART_ARC
(19,21),-0.264325 # DEPENDENCYPART_ARC
(19,22),-1.00826 # DEPENDENCYPART_ARC
(19,23),-1.49892 # DEPENDENCYPART_ARC
(19,24),-1.19428 # DEPENDENCYPART_ARC
(19,25),-0.935157 # DEPENDENCYPART_ARC
(19,27),-2.37571 # DEPENDENCYPART_ARC
(19,28),-1.33042 # DEPENDENCYPART_ARC
(19,29),-1.63986 # DEPENDENCYPART_ARC
(20,18),-1.30913 # DEPENDENCYPART_ARC
(20,21),2.67307 # DEPENDENCYPART_ARC
(20,22),-1.1513 # DEPENDENCYPART_ARC
(20,23),-1.58157 # DEPENDENCYPART_ARC
(20,24),-1.30076 # DEPENDENCYPART_ARC
(20,25),-0.673258 # DEPENDENCYPART_ARC
(20,26),-0.846826 # DEPENDENCYPART_ARC
(20,27),-0.881299 # DEPENDENCYPART_ARC
(21,16),-2.56581 # DEPENDENCYPART_ARC
(21,18),-1.94167 # DEPENDENCYPART_ARC
(21,22),-1.16651 # DEPENDENCYPART_ARC
(21,23),-1.68887 # DEPENDENCYPART_ARC
(21,24),-0.784711 # DEPENDENCYPART_ARC
(21,25),-0.924977 # DEPENDENCYPART_ARC
(21,26),-1.24678 # DEPENDENCYPART_ARC
(21,27),-2.14064 # DEPENDENCYPART_ARC
(21,28),-1.73618 # DEPENDENCYPART_ARC
(23,20),-2.04738 # DEPENDENCYPART_ARC
(23,21),-1.95112 # DEPENDENCYPART_ARC
(23,22),-0.795431 # DEPENDENCYPART_ARC
(23,24),-0.261681 # DEPENDENCYPART_ARC
(23,25),-1.2484 # DEPENDENCYPART_ARC
(23,26),-1.18962 # DEPENDENCYPART_ARC
(23,27),-1.68905 # DEPENDENCYPART_ARC
(23,28),-2.06403 # DEPENDENCYPART_ARC
(23,29),-1.54427 # DEPENDENCYPART_ARC
(24,11),-1.52561 # DEPENDENCYPART_ARC
(24,20),-1.49774 # DEPENDENCYPART_ARC
(24,22),-0.593168 # DEPENDENCYPART_ARC
(24,23),0.219234 # DEPENDENCYPART_ARC
(24,25),2.43437 # DEPENDENCYPART_ARC
(24,26),-0.274442 # DEPENDENCYPART_ARC
(24,27),-0.0861099 # DEPENDENCYPART_ARC
(24,28),-0.68425 # DEPENDENCYPART_ARC
(24,29),-1.4202 # DEPENDENCYPART_ARC
(25,20),-2.42204 # DEPENDENCYPART_ARC
(25,22),-1.75733 # DEPENDENCYPART_ARC
(25,23),-0.635268 # DEPENDENCYPART_ARC
(25,24),-1.06932 # DEPENDENCYPART_ARC
(25,26),-1.00597 # DEPENDENCYPART_ARC
(25,27),-1.03613 # DEPENDENCYPART_ARC
(25,28),-0.744189 # DEPENDENCYPART_ARC
(27,23),-1.74875 # DEPENDENCYPART_ARC
(27,26),-0.508955 # DEPENDENCYPART_ARC
(27,28),2.83153 # DEPENDENCYPART_ARC
(28,24),-2.47708 # DEPENDENCYPART_ARC
(0,2),(0,10),-0.434672 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.434145 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.426429 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.938892 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.941334 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.937135 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.575831 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0614427 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0252241 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0849891 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0677933 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0614427 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0303969 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0277062 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0302976 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0303994 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0973664 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0445842 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.020229 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0614427 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0614427 # DEPENDENCYPART_SIBL
(2,1),(2,29),-0.0657584 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0517612 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0221392 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0528998 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.113131 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0243092 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0240239 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00164089 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.020497 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0107863 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00227786 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00975904 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.113131 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.113131 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.00194433 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.000618935 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0067485 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0250264 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0376283 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0319098 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0204452 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0365795 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0284061 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0128066 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0246901 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0250264 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0250264 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.0551257 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00075499 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.046247 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00425925 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00892239 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0116958 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0032104 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0217259 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0235238 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.000476107 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.046247 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.046247 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.0233161 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.198402 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.58412 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0527023 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0953267 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.583837 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0604646 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0941615 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.586782 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.198402 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.198402 # DEPENDENCYPART_SIBL
(2,6),(2,29),-0.025371 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0243092 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0240239 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00164089 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.020497 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0107863 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.00227786 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00975904 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.113131 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.113131 # DEPENDENCYPART_SIBL
(2,7),(2,29),-0.00194433 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00661031 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00485425 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00214186 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0223738 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0124929 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0140313 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.000540591 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.000540591 # DEPENDENCYPART_SIBL
(2,8),(2,29),-0.0137685 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0658127 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00481202 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0209755 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0712405 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.00750349 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0223183 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0223183 # DEPENDENCYPART_SIBL
(2,10),(2,29),-0.0118241 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.021639 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0519811 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0522721 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0243305 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0162787 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0162787 # DEPENDENCYPART_SIBL
(2,11),(2,29),0.0271957 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0221235 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0100279 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0140314 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.000545169 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.000545169 # DEPENDENCYPART_SIBL
(2,13),(2,29),-0.0142839 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0493692 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.367465 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.000798018 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.000798018 # DEPENDENCYPART_SIBL
(2,14),(2,29),-0.0108739 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0256065 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.00602502 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.00602502 # DEPENDENCYPART_SIBL
(2,15),(2,29),0.036236 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.00167101 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.00167101 # DEPENDENCYPART_SIBL
(2,17),(2,29),-0.00191527 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.113131 # DEPENDENCYPART_SIBL
(2,18),(2,29),-0.00194433 # DEPENDENCYPART_SIBL
(2,20),(2,29),-0.00194433 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.12087 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00766551 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0610721 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.225387 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.135554 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.103266 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.103266 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.389627 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0159275 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0531089 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.866487 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0576547 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0576547 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0719425 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0412325 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.419665 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0418925 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0418925 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.978309 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.279631 # DEPENDENCYPART_SIBL
(3,6),(3,24),1.08171 # DEPENDENCYPART_SIBL
(3,6),(3,27),1.08171 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0161543 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0278825 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0278825 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0726849 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.0726849 # DEPENDENCYPART_SIBL
(3,24),(3,27),-0.0048355 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0937836 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0708614 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.123049 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0304187 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0408537 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0171502 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0304212 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0314368 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0226475 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0227718 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00270206 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.00563486 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0084083 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00375091 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0202362 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.177698 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.557614 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0288874 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0715118 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.557331 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0703466 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0233495 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0109019 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0147628 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0271617 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0108441 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0183041 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00683955 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.000136142 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.000799089 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0713068 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0100533 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0767346 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0268803 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0577662 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0016659 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0686687 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0378324 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.203878 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.152616 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.137412 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.152617 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0182679 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.158801 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0053832 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00424593 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0203194 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00985855 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0208219 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00756197 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00376549 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.517261 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.331183 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.356313 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.330517 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00211147 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.386729 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0171613 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0182842 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0157793 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0236802 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00899791 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0376953 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.131492 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0828459 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0294019 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0254634 # DEPENDENCYPART_SIBL
