# _root_ En l' obra s' hi pot veure un cert paral·lelisme amb la vida de l' autor , s' hi veu reflectida la_seva sensibilitat , les_seves inquietuds i els_seus dubtes .
#goldHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,7,20,20,7,20,23,20,23,26,23,23,29,23,7,
#predictedHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,20,20,20,13,20,23,20,23,26,23,23,29,23,7,
(13,21),-1.11328 # DEPENDENCYPART_ARC
(13,23),-1.60531 # DEPENDENCYPART_ARC
(13,24),-1.24101 # DEPENDENCYPART_ARC
(13,26),-2.12419 # DEPENDENCYPART_ARC
(13,27),-0.0731122 # DEPENDENCYPART_ARC
(13,29),-2.75013 # DEPENDENCYPART_ARC
(13,30),-2.48593 # DEPENDENCYPART_ARC
(14,12),-1.77894 # DEPENDENCYPART_ARC
(14,16),1.8647 # DEPENDENCYPART_ARC
(14,17),-1.40143 # DEPENDENCYPART_ARC
(14,20),-2.53665 # DEPENDENCYPART_ARC
(15,14),-0.995502 # DEPENDENCYPART_ARC
(16,1),-1.08983 # DEPENDENCYPART_ARC
(16,11),-1.63792 # DEPENDENCYPART_ARC
(16,12),-2.03651 # DEPENDENCYPART_ARC
(16,15),1.61583 # DEPENDENCYPART_ARC
(16,17),-0.788168 # DEPENDENCYPART_ARC
(16,19),-2.82537 # DEPENDENCYPART_ARC
(16,20),-0.24354 # DEPENDENCYPART_ARC
(16,21),-2.20103 # DEPENDENCYPART_ARC
(16,23),-1.47801 # DEPENDENCYPART_ARC
(16,24),-1.39554 # DEPENDENCYPART_ARC
(16,26),-1.8489 # DEPENDENCYPART_ARC
(16,27),-0.359501 # DEPENDENCYPART_ARC
(16,29),-2.43892 # DEPENDENCYPART_ARC
(16,30),-2.29643 # DEPENDENCYPART_ARC
(19,17),-1.94544 # DEPENDENCYPART_ARC
(19,21),-1.451 # DEPENDENCYPART_ARC
(19,23),-2.3691 # DEPENDENCYPART_ARC
(20,1),-0.456675 # DEPENDENCYPART_ARC
(20,3),-1.7204 # DEPENDENCYPART_ARC
(20,5),-3.11623 # DEPENDENCYPART_ARC
(20,6),-1.69362 # DEPENDENCYPART_ARC
(20,7),-1.26122 # DEPENDENCYPART_ARC
(20,10),-1.16556 # DEPENDENCYPART_ARC
(20,11),-0.840388 # DEPENDENCYPART_ARC
(20,12),-2.2701 # DEPENDENCYPART_ARC
(20,13),-0.977953 # DEPENDENCYPART_ARC
(20,14),-1.47129 # DEPENDENCYPART_ARC
(20,15),-2.034 # DEPENDENCYPART_ARC
(20,16),-0.942705 # DEPENDENCYPART_ARC
(20,17),0.875502 # DEPENDENCYPART_ARC
(20,18),1.50454 # DEPENDENCYPART_ARC
(20,19),2.65811 # DEPENDENCYPART_ARC
(20,21),1.92923 # DEPENDENCYPART_ARC
(20,23),-0.191886 # DEPENDENCYPART_ARC
(20,24),-0.743774 # DEPENDENCYPART_ARC
(20,26),-1.08201 # DEPENDENCYPART_ARC
(20,27),-0.88957 # DEPENDENCYPART_ARC
(20,29),-1.54549 # DEPENDENCYPART_ARC
(20,30),-0.916621 # DEPENDENCYPART_ARC
(21,19),-1.6597 # DEPENDENCYPART_ARC
(21,23),-1.11882 # DEPENDENCYPART_ARC
(21,24),-0.683333 # DEPENDENCYPART_ARC
(21,26),-1.86605 # DEPENDENCYPART_ARC
(21,27),-0.892823 # DEPENDENCYPART_ARC
(21,29),-1.99271 # DEPENDENCYPART_ARC
(23,1),-2.07246 # DEPENDENCYPART_ARC
(23,14),-2.22147 # DEPENDENCYPART_ARC
(23,19),-0.762483 # DEPENDENCYPART_ARC
(23,20),-2.88851 # DEPENDENCYPART_ARC
(23,21),-0.881061 # DEPENDENCYPART_ARC
(23,22),1.13354 # DEPENDENCYPART_ARC
(23,24),-0.500675 # DEPENDENCYPART_ARC
(23,25),-1.52199 # DEPENDENCYPART_ARC
(23,26),-0.0336717 # DEPENDENCYPART_ARC
(23,27),0.250225 # DEPENDENCYPART_ARC
(23,29),-1.19438 # DEPENDENCYPART_ARC
(23,30),-1.39456 # DEPENDENCYPART_ARC
(24,23),-1.70459 # DEPENDENCYPART_ARC
(26,21),-3.24975 # DEPENDENCYPART_ARC
(26,22),-2.25851 # DEPENDENCYPART_ARC
(26,23),-2.66621 # DEPENDENCYPART_ARC
(26,24),-1.34394 # DEPENDENCYPART_ARC
(26,25),2.29354 # DEPENDENCYPART_ARC
(26,27),0.38314 # DEPENDENCYPART_ARC
(26,28),-0.715887 # DEPENDENCYPART_ARC
(26,29),0.190773 # DEPENDENCYPART_ARC
(26,30),-1.33037 # DEPENDENCYPART_ARC
(29,24),-2.28906 # DEPENDENCYPART_ARC
(29,25),-1.28548 # DEPENDENCYPART_ARC
(29,26),-2.45829 # DEPENDENCYPART_ARC
(29,27),-1.25304 # DEPENDENCYPART_ARC
(29,28),1.99179 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.423652 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.427957 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.406716 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.950493 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.93649 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.942062 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.229829 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.107456 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.11063 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.109502 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.109502 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.461067 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.466055 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0474738 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0474738 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.306152 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0562782 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0562782 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.108233 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.108233 # DEPENDENCYPART_SIBL
(1,17),(1,24),-0.522645 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00340214 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00878719 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0179164 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00389042 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0913298 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0195954 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0889968 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.00155569 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.0222784 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.018768 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.052871 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.152036 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0190282 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0287543 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0778393 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.226949 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.137938 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.00426042 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.225396 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.22615 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.033028 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0482246 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0331338 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.015226 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.000258216 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0101062 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0338685 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.00153604 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.00248928 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.00546335 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.095109 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0660213 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0292047 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0480405 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0690413 # DEPENDENCYPART_SIBL
(3,6),(3,26),0.0262898 # DEPENDENCYPART_SIBL
(3,6),(3,29),0.0385532 # DEPENDENCYPART_SIBL
(3,6),(3,30),0.0110422 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0731125 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0385558 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0575365 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0683996 # DEPENDENCYPART_SIBL
(3,7),(3,26),0.0356409 # DEPENDENCYPART_SIBL
(3,7),(3,29),0.0479043 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.0856723 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00796569 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0748884 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0511725 # DEPENDENCYPART_SIBL
(3,8),(3,26),0.00617215 # DEPENDENCYPART_SIBL
(3,8),(3,29),0.0110153 # DEPENDENCYPART_SIBL
(3,8),(3,30),-0.0817106 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0108932 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.00411034 # DEPENDENCYPART_SIBL
(3,10),(3,26),-0.00445353 # DEPENDENCYPART_SIBL
(3,10),(3,29),0.00248714 # DEPENDENCYPART_SIBL
(3,10),(3,30),0.00743875 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0107401 # DEPENDENCYPART_SIBL
(3,11),(3,26),0.0346302 # DEPENDENCYPART_SIBL
(3,11),(3,29),0.0384402 # DEPENDENCYPART_SIBL
(3,11),(3,30),0.145342 # DEPENDENCYPART_SIBL
(3,20),(3,26),0.0250974 # DEPENDENCYPART_SIBL
(3,20),(3,29),0.0373608 # DEPENDENCYPART_SIBL
(3,20),(3,30),0.0552817 # DEPENDENCYPART_SIBL
(3,26),(3,29),0.00106104 # DEPENDENCYPART_SIBL
(3,26),(3,30),0.00626252 # DEPENDENCYPART_SIBL
(3,29),(3,30),-0.0137382 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00619543 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0475154 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0349633 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0927683 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.021059 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.26504 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.233739 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00853444 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0128472 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.125519 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0011607 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0762245 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0151116 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0300742 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.00339695 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0316651 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0234028 # DEPENDENCYPART_SIBL
(6,1),(6,26),-0.00197582 # DEPENDENCYPART_SIBL
(6,1),(6,27),0.052733 # DEPENDENCYPART_SIBL
(6,1),(6,29),-0.00723806 # DEPENDENCYPART_SIBL
(6,1),(6,30),-0.0350502 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0660006 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.158181 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.224887 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0818723 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0769195 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.138969 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0779624 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0539448 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0861578 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0568354 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0991219 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.074883 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0779974 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0730265 # DEPENDENCYPART_SIBL
(6,2),(6,27),-0.123668 # DEPENDENCYPART_SIBL
(6,2),(6,29),-0.0717685 # DEPENDENCYPART_SIBL
(6,2),(6,30),-0.0976754 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0498969 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0108232 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0336469 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0110493 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.022967 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0236371 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0460515 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0102256 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0499277 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0175213 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0073591 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.00916339 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0153692 # DEPENDENCYPART_SIBL
(6,3),(6,27),0.11105 # DEPENDENCYPART_SIBL
(6,3),(6,29),0.0140609 # DEPENDENCYPART_SIBL
(6,3),(6,30),0.0167564 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.298421 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0118474 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.146471 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.041359 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.161337 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0463109 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.137151 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0677686 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00742513 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0582433 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.148599 # DEPENDENCYPART_SIBL
(6,4),(6,26),-0.141335 # DEPENDENCYPART_SIBL
(6,4),(6,27),0.148563 # DEPENDENCYPART_SIBL
(6,4),(6,29),-0.137242 # DEPENDENCYPART_SIBL
(6,4),(6,30),0.0359525 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0405318 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0139022 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.200394 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0288001 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0853016 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0051716 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0581227 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0662371 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0928269 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0160284 # DEPENDENCYPART_SIBL
(6,5),(6,26),-0.00876542 # DEPENDENCYPART_SIBL
(6,5),(6,27),0.0104178 # DEPENDENCYPART_SIBL
(6,5),(6,29),-0.00328186 # DEPENDENCYPART_SIBL
(6,5),(6,30),0.0467495 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0355901 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0102379 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0286876 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.023136 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0341419 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0358371 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0489756 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0218359 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0336136 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.0337487 # DEPENDENCYPART_SIBL
(6,7),(6,27),-0.0113021 # DEPENDENCYPART_SIBL
(6,7),(6,29),0.0594938 # DEPENDENCYPART_SIBL
(6,7),(6,30),-0.00103433 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00164347 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.247526 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0717629 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.247013 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0165296 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0269364 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0449597 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.242779 # DEPENDENCYPART_SIBL
(6,10),(6,26),-0.238625 # DEPENDENCYPART_SIBL
(6,10),(6,27),-0.00538845 # DEPENDENCYPART_SIBL
(6,10),(6,29),-0.226536 # DEPENDENCYPART_SIBL
(6,10),(6,30),-0.0210002 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.00914912 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.193822 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.00863493 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0370683 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.019964 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0100424 # DEPENDENCYPART_SIBL
(6,11),(6,23),0.00838809 # DEPENDENCYPART_SIBL
(6,11),(6,26),0.0141263 # DEPENDENCYPART_SIBL
(6,11),(6,27),0.0320423 # DEPENDENCYPART_SIBL
(6,11),(6,29),0.0216105 # DEPENDENCYPART_SIBL
(6,11),(6,30),-0.00540647 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0706968 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.230829 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.00789066 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0346237 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0421695 # DEPENDENCYPART_SIBL
(6,13),(6,23),-0.226595 # DEPENDENCYPART_SIBL
(6,13),(6,26),-0.222441 # DEPENDENCYPART_SIBL
(6,13),(6,27),-0.0421785 # DEPENDENCYPART_SIBL
(6,13),(6,29),-0.210353 # DEPENDENCYPART_SIBL
(6,13),(6,30),-0.0273916 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0610232 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0284646 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.0121795 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.118534 # DEPENDENCYPART_SIBL
(6,14),(6,23),-0.055229 # DEPENDENCYPART_SIBL
(6,14),(6,26),-0.0495542 # DEPENDENCYPART_SIBL
(6,14),(6,27),0.00288883 # DEPENDENCYPART_SIBL
(6,14),(6,29),-0.0419956 # DEPENDENCYPART_SIBL
(6,14),(6,30),-0.0246864 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.00262589 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.025648 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0431054 # DEPENDENCYPART_SIBL
(6,16),(6,23),-0.235939 # DEPENDENCYPART_SIBL
(6,16),(6,26),-0.231785 # DEPENDENCYPART_SIBL
(6,16),(6,27),-0.00751717 # DEPENDENCYPART_SIBL
(6,16),(6,29),-0.219696 # DEPENDENCYPART_SIBL
(6,16),(6,30),-0.025015 # DEPENDENCYPART_SIBL
(6,17),(6,20),0.0453331 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0185301 # DEPENDENCYPART_SIBL
(6,17),(6,23),-0.030366 # DEPENDENCYPART_SIBL
(6,17),(6,26),-0.0287447 # DEPENDENCYPART_SIBL
(6,17),(6,27),0.208697 # DEPENDENCYPART_SIBL
(6,17),(6,29),-0.0128077 # DEPENDENCYPART_SIBL
(6,17),(6,30),-0.0693717 # DEPENDENCYPART_SIBL
(6,20),(6,21),5.80714e-06 # DEPENDENCYPART_SIBL
(6,20),(6,23),0.0462265 # DEPENDENCYPART_SIBL
(6,20),(6,26),0.0463616 # DEPENDENCYPART_SIBL
(6,20),(6,27),0.035881 # DEPENDENCYPART_SIBL
(6,20),(6,29),0.0721066 # DEPENDENCYPART_SIBL
(6,20),(6,30),0.0105353 # DEPENDENCYPART_SIBL
(6,21),(6,23),-0.0482965 # DEPENDENCYPART_SIBL
(6,21),(6,26),-0.0484082 # DEPENDENCYPART_SIBL
(6,21),(6,27),-0.0297366 # DEPENDENCYPART_SIBL
