# _root_ La resolució , en_atenció_a aquestes falsedats i mala fe , imposa les costes del procediment als defensors per ' temeritat ' .
#goldHeads=2,11,4,11,6,4,6,9,6,4,0,13,11,13,14,11,16,11,20,18,20,11,
#predictedHeads=2,11,4,2,6,4,2,9,2,4,0,13,11,13,14,15,16,11,20,18,20,11,
(6,13),-1.07359 # DEPENDENCYPART_ARC
(6,14),-1.79761 # DEPENDENCYPART_ARC
(6,16),-1.35906 # DEPENDENCYPART_ARC
(6,18),-1.95173 # DEPENDENCYPART_ARC
(6,20),-2.55733 # DEPENDENCYPART_ARC
(6,22),-3.08069 # DEPENDENCYPART_ARC
(8,3),-2.3567 # DEPENDENCYPART_ARC
(8,4),-1.86252 # DEPENDENCYPART_ARC
(8,6),-2.42393 # DEPENDENCYPART_ARC
(8,7),-0.568544 # DEPENDENCYPART_ARC
(8,9),-1.25128 # DEPENDENCYPART_ARC
(8,10),-1.68442 # DEPENDENCYPART_ARC
(8,11),-2.05037 # DEPENDENCYPART_ARC
(9,2),-2.05919 # DEPENDENCYPART_ARC
(9,3),-1.72219 # DEPENDENCYPART_ARC
(9,4),-1.90526 # DEPENDENCYPART_ARC
(9,5),-1.43642 # DEPENDENCYPART_ARC
(9,6),-1.77278 # DEPENDENCYPART_ARC
(9,7),-0.93052 # DEPENDENCYPART_ARC
(9,8),1.79688 # DEPENDENCYPART_ARC
(9,10),-0.820235 # DEPENDENCYPART_ARC
(9,11),-1.17697 # DEPENDENCYPART_ARC
(9,13),-1.49814 # DEPENDENCYPART_ARC
(9,14),-1.53021 # DEPENDENCYPART_ARC
(9,16),-1.70183 # DEPENDENCYPART_ARC
(9,18),-1.86029 # DEPENDENCYPART_ARC
(9,19),-1.78486 # DEPENDENCYPART_ARC
(9,20),-1.6875 # DEPENDENCYPART_ARC
(9,21),-2.50639 # DEPENDENCYPART_ARC
(9,22),-2.63974 # DEPENDENCYPART_ARC
(10,9),-1.98887 # DEPENDENCYPART_ARC
(11,1),-3.04849 # DEPENDENCYPART_ARC
(11,2),-1.42694 # DEPENDENCYPART_ARC
(11,3),-2.45813 # DEPENDENCYPART_ARC
(11,4),-0.652678 # DEPENDENCYPART_ARC
(11,6),-1.11318 # DEPENDENCYPART_ARC
(11,7),-0.967025 # DEPENDENCYPART_ARC
(11,8),-1.49176 # DEPENDENCYPART_ARC
(11,9),-0.488953 # DEPENDENCYPART_ARC
(11,10),0.026573 # DEPENDENCYPART_ARC
(11,13),1.02715 # DEPENDENCYPART_ARC
(11,14),-0.12535 # DEPENDENCYPART_ARC
(11,15),-0.646552 # DEPENDENCYPART_ARC
(11,16),-0.0265917 # DEPENDENCYPART_ARC
(11,17),-1.20027 # DEPENDENCYPART_ARC
(11,18),0.125588 # DEPENDENCYPART_ARC
(11,19),-0.910076 # DEPENDENCYPART_ARC
(11,20),-1.43782 # DEPENDENCYPART_ARC
(11,21),-0.537972 # DEPENDENCYPART_ARC
(11,22),-0.66846 # DEPENDENCYPART_ARC
(12,13),-0.381349 # DEPENDENCYPART_ARC
(12,14),-0.674771 # DEPENDENCYPART_ARC
(13,2),-3.10528 # DEPENDENCYPART_ARC
(13,3),-3.06319 # DEPENDENCYPART_ARC
(13,4),-2.53501 # DEPENDENCYPART_ARC
(13,7),-2.45863 # DEPENDENCYPART_ARC
(13,8),-2.51767 # DEPENDENCYPART_ARC
(13,9),-2.90774 # DEPENDENCYPART_ARC
(13,10),-1.97466 # DEPENDENCYPART_ARC
(13,12),2.04261 # DEPENDENCYPART_ARC
(13,14),0.869107 # DEPENDENCYPART_ARC
(13,15),-0.985823 # DEPENDENCYPART_ARC
(13,16),-0.116556 # DEPENDENCYPART_ARC
(13,17),-0.575169 # DEPENDENCYPART_ARC
(13,18),-0.731919 # DEPENDENCYPART_ARC
(13,19),-1.17388 # DEPENDENCYPART_ARC
(13,20),-0.616005 # DEPENDENCYPART_ARC
(13,21),-1.40796 # DEPENDENCYPART_ARC
(13,22),-1.86275 # DEPENDENCYPART_ARC
(14,7),-2.56747 # DEPENDENCYPART_ARC
(14,10),-2.30091 # DEPENDENCYPART_ARC
(14,12),-2.15069 # DEPENDENCYPART_ARC
(14,15),2.17087 # DEPENDENCYPART_ARC
(14,16),-0.96619 # DEPENDENCYPART_ARC
(14,17),-0.840464 # DEPENDENCYPART_ARC
(14,18),-2.52996 # DEPENDENCYPART_ARC
(14,21),-1.88131 # DEPENDENCYPART_ARC
(15,4),-1.99793 # DEPENDENCYPART_ARC
(15,9),-3.06699 # DEPENDENCYPART_ARC
(15,10),-2.57176 # DEPENDENCYPART_ARC
(15,12),-2.96965 # DEPENDENCYPART_ARC
(15,16),0.120513 # DEPENDENCYPART_ARC
(15,17),-0.803279 # DEPENDENCYPART_ARC
(15,18),-0.886641 # DEPENDENCYPART_ARC
(15,19),-1.04614 # DEPENDENCYPART_ARC
(15,20),-0.710462 # DEPENDENCYPART_ARC
(15,21),-1.61712 # DEPENDENCYPART_ARC
(15,22),-1.99341 # DEPENDENCYPART_ARC
(16,14),-1.93566 # DEPENDENCYPART_ARC
(16,17),2.71118 # DEPENDENCYPART_ARC
(16,18),-1.63737 # DEPENDENCYPART_ARC
(16,19),-1.41542 # DEPENDENCYPART_ARC
(16,20),-2.56325 # DEPENDENCYPART_ARC
(17,2),-3.67634 # DEPENDENCYPART_ARC
(17,4),-2.26945 # DEPENDENCYPART_ARC
(17,7),-2.84025 # DEPENDENCYPART_ARC
(17,12),-3.20136 # DEPENDENCYPART_ARC
(17,14),-2.42751 # DEPENDENCYPART_ARC
(17,18),-0.195202 # DEPENDENCYPART_ARC
(17,19),-1.10011 # DEPENDENCYPART_ARC
(17,20),-0.550599 # DEPENDENCYPART_ARC
(17,21),-1.54765 # DEPENDENCYPART_ARC
(17,22),-1.92581 # DEPENDENCYPART_ARC
(18,4),-2.23379 # DEPENDENCYPART_ARC
(18,16),-1.31054 # DEPENDENCYPART_ARC
(18,17),-1.39134 # DEPENDENCYPART_ARC
(18,19),0.065612 # DEPENDENCYPART_ARC
(18,20),1.4914 # DEPENDENCYPART_ARC
(18,21),-1.25086 # DEPENDENCYPART_ARC
(18,22),-1.56014 # DEPENDENCYPART_ARC
(20,2),-2.32683 # DEPENDENCYPART_ARC
(20,3),-2.83914 # DEPENDENCYPART_ARC
(20,4),-2.14657 # DEPENDENCYPART_ARC
(20,7),-1.90878 # DEPENDENCYPART_ARC
(20,8),-1.06694 # DEPENDENCYPART_ARC
(20,9),-2.14545 # DEPENDENCYPART_ARC
(20,10),-2.19544 # DEPENDENCYPART_ARC
(20,13),-2.20918 # DEPENDENCYPART_ARC
(20,14),-2.14412 # DEPENDENCYPART_ARC
(20,16),-1.98959 # DEPENDENCYPART_ARC
(20,17),-2.00318 # DEPENDENCYPART_ARC
(20,18),-1.36693 # DEPENDENCYPART_ARC
(20,19),1.43438 # DEPENDENCYPART_ARC
(20,21),0.645057 # DEPENDENCYPART_ARC
(20,22),-0.930066 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.192242 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.422806 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.421306 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0605435 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0360077 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0645995 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0136692 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0472881 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0643886 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0605435 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0808387 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0636347 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.230235 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0468954 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0573217 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0990342 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0645995 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0990342 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0227532 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0452284 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.374129 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.277411 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0100488 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.379462 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0285253 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.04735 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.363719 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00813228 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.051331 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.025725 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0496456 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.374129 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0496456 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0025638 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0574809 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0204874 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0432987 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0574444 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0591501 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0165085 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0515118 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0243929 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0867971 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.126579 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0304718 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0574809 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0304718 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.112425 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0401602 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0162718 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0156513 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0260803 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.000969635 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00745859 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00501904 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0589633 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00998766 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0190791 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0156635 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0190791 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.00457004 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.246164 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.629458 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0335894 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.108198 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.625167 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.228014 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.118064 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0584727 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0196199 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.62971 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0196199 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.00645591 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0146531 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0196616 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0133168 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00992137 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0386717 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0132231 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0793056 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0218112 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0146634 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0218112 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0155515 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0502591 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00818808 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00907222 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00129466 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0574137 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.013712 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0240418 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0172771 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0240418 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.00164603 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.04735 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.363719 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.00813228 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.051331 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.025725 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0496456 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.374129 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0496456 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0025638 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0293639 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.00181157 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0436429 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.127425 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0537627 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0339069 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0537627 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0411049 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.00329896 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0573944 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0115566 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0155132 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0104801 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0155132 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.00825647 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.141726 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.127695 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0147064 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0160933 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0147064 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0189579 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0612445 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.000865349 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.00405921 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.000865349 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0672221 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0589081 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0388326 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0589081 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.130307 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0714943 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.152577 # DEPENDENCYPART_SIBL
(2,19),(2,22),-0.0321465 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0190811 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.0045661 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.0321465 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.260143 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00479136 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0702715 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0320561 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0123198 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0681816 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.180842 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.059521 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.205261 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0797225 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0552342 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0552342 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0107322 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0473282 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0448816 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.039132 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00525414 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0410645 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0623504 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.011226 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00312692 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0205549 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0464304 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0464304 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.00379921 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.126798 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0300377 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0204854 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.124503 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.581358 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0645541 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0511567 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0282112 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0584542 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0584542 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.126937 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0895317 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.333494 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.8148 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0890532 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.408783 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0120541 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0350171 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00375839 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.00375839 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0390773 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.329224 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.278992 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0100886 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.304661 # DEPENDENCYPART_SIBL
(4,7),(4,14),1.05231 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.889652 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0567373 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0567373 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.095234 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.415698 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0990277 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.18173 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0617953 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.109058 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0659277 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0659277 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.00903127 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0989065 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.412354 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0310336 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0182125 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.011406 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.011406 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0293821 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0601289 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.348957 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.348391 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.215565 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.215565 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0476048 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.00280138 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.00561705 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0462294 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.0462294 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0907117 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.00047615 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0469942 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0469942 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.105629 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0494355 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0494355 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.125083 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.159066 # DEPENDENCYPART_SIBL
(4,19),(4,22),-0.0021704 # DEPENDENCYPART_SIBL
(4,21),(4,22),-0.0021704 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0165627 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0455835 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0786143 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.645639 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0256655 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.050256 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0708383 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0556942 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0634696 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0700844 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.225617 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0515883 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0642612 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0710491 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0250708 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0622823 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0676225 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.033199 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0230179 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0370374 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00517535 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0158246 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0118795 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00116781 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00879756 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0822082 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0368867 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.00054101 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0623682 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.382057 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.201531 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0297329 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00735316 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0504142 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.334721 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.110968 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0519214 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.130889 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0407693 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0191986 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0500098 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.316267 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0274843 # DEPENDENCYPART_SIBL
