# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,18,18,24,22,24,25,30,30,30,22,3,
(24,19),-3.93254 # DEPENDENCYPART_ARC
(24,22),-1.34219 # DEPENDENCYPART_ARC
(24,23),1.32985 # DEPENDENCYPART_ARC
(24,25),0.926723 # DEPENDENCYPART_ARC
(24,26),-0.911249 # DEPENDENCYPART_ARC
(24,27),-1.33444 # DEPENDENCYPART_ARC
(24,28),-1.79917 # DEPENDENCYPART_ARC
(24,29),-2.24921 # DEPENDENCYPART_ARC
(24,30),-2.12913 # DEPENDENCYPART_ARC
(25,15),-3.94605 # DEPENDENCYPART_ARC
(25,26),2.49734 # DEPENDENCYPART_ARC
(25,27),-1.11276 # DEPENDENCYPART_ARC
(25,28),-1.84305 # DEPENDENCYPART_ARC
(25,29),-2.14946 # DEPENDENCYPART_ARC
(25,30),-1.72638 # DEPENDENCYPART_ARC
(26,2),-1.44022 # DEPENDENCYPART_ARC
(26,23),-1.7372 # DEPENDENCYPART_ARC
(26,25),0.0539708 # DEPENDENCYPART_ARC
(26,27),-1.53948 # DEPENDENCYPART_ARC
(26,28),-2.13768 # DEPENDENCYPART_ARC
(26,29),-1.45674 # DEPENDENCYPART_ARC
(26,30),-2.37569 # DEPENDENCYPART_ARC
(27,28),-1.08232 # DEPENDENCYPART_ARC
(28,25),-1.65844 # DEPENDENCYPART_ARC
(28,26),-1.66336 # DEPENDENCYPART_ARC
(28,27),-0.975017 # DEPENDENCYPART_ARC
(28,29),-0.459545 # DEPENDENCYPART_ARC
(29,3),-4.48026 # DEPENDENCYPART_ARC
(29,4),-3.3637 # DEPENDENCYPART_ARC
(29,5),-2.57677 # DEPENDENCYPART_ARC
(29,15),-5.28694 # DEPENDENCYPART_ARC
(29,16),-3.79767 # DEPENDENCYPART_ARC
(29,20),-2.82661 # DEPENDENCYPART_ARC
(29,22),-2.55797 # DEPENDENCYPART_ARC
(29,24),-2.35837 # DEPENDENCYPART_ARC
(29,25),-2.28233 # DEPENDENCYPART_ARC
(29,26),-1.50334 # DEPENDENCYPART_ARC
(29,27),-0.278783 # DEPENDENCYPART_ARC
(29,28),0.194635 # DEPENDENCYPART_ARC
(29,30),0.830916 # DEPENDENCYPART_ARC
(29,31),-1.10413 # DEPENDENCYPART_ARC
(30,1),-2.31522 # DEPENDENCYPART_ARC
(30,3),-2.71111 # DEPENDENCYPART_ARC
(30,4),-2.53533 # DEPENDENCYPART_ARC
(30,5),-1.11268 # DEPENDENCYPART_ARC
(30,6),-2.37223 # DEPENDENCYPART_ARC
(30,8),-2.16442 # DEPENDENCYPART_ARC
(30,11),-2.33338 # DEPENDENCYPART_ARC
(30,12),-2.42567 # DEPENDENCYPART_ARC
(30,13),-2.28274 # DEPENDENCYPART_ARC
(30,15),-3.74665 # DEPENDENCYPART_ARC
(30,16),-2.49911 # DEPENDENCYPART_ARC
(30,17),-2.05141 # DEPENDENCYPART_ARC
(30,20),-1.9549 # DEPENDENCYPART_ARC
(30,22),-1.31959 # DEPENDENCYPART_ARC
(30,24),-1.35567 # DEPENDENCYPART_ARC
(30,25),-2.04654 # DEPENDENCYPART_ARC
(30,26),-1.15382 # DEPENDENCYPART_ARC
(30,27),0.0976449 # DEPENDENCYPART_ARC
(30,28),0.528562 # DEPENDENCYPART_ARC
(30,29),2.41349 # DEPENDENCYPART_ARC
(30,31),-0.133458 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.267635 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.936397 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.971335 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.932317 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.402496 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.425486 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.382865 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.971317 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.931298 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.965588 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0356154 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.115215 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0516076 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.121487 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0524229 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0965503 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0203799 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0524229 # DEPENDENCYPART_SIBL
(1,2),(1,31),-0.0170768 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0267999 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0313668 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00207022 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.054223 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0400999 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00871365 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.054223 # DEPENDENCYPART_SIBL
(1,3),(1,31),0.0573429 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.102374 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0590693 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.111791 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.171161 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.00708142 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.111791 # DEPENDENCYPART_SIBL
(1,4),(1,31),-0.12669 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0324657 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0426152 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0317362 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0319275 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0426152 # DEPENDENCYPART_SIBL
(1,5),(1,31),0.0210985 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0591916 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0654542 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0279141 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0591916 # DEPENDENCYPART_SIBL
(1,6),(1,31),-0.0516955 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.11967 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0465236 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0898062 # DEPENDENCYPART_SIBL
(1,7),(1,31),-0.0645592 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0152209 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0131163 # DEPENDENCYPART_SIBL
(1,8),(1,31),0.00220947 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.0201552 # DEPENDENCYPART_SIBL
(1,18),(1,31),-0.0116534 # DEPENDENCYPART_SIBL
(1,21),(1,31),-0.0645592 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0837567 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.274142 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.110667 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.141901 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0834341 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.123894 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00227281 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0867631 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.154143 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.115335 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.169263 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0746164 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0818377 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.214591 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.395648 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.219882 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.101916 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0455416 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0537277 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0652554 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.055836 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0248359 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00333207 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00638648 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0735822 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0610508 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00715144 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0652554 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.00733209 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0197249 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.0362961 # DEPENDENCYPART_SIBL
(3,1),(3,31),0.123344 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.123608 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00889673 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0639483 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0392879 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.014596 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.102252 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0902013 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0920092 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0601269 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0321523 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.022129 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0392879 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00945789 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.00864741 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.00502659 # DEPENDENCYPART_SIBL
(3,2),(3,31),-0.00242877 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0704695 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0537624 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.118906 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.182492 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0995637 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0484217 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0509909 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.168869 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.059991 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0200526 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.118906 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.000289867 # DEPENDENCYPART_SIBL
(3,4),(3,29),0.0193797 # DEPENDENCYPART_SIBL
(3,4),(3,30),0.00111173 # DEPENDENCYPART_SIBL
(3,4),(3,31),-0.142659 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0441522 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0260391 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00210957 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00530935 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0400174 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0390802 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0043074 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0255786 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0359917 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.0260391 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0335782 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0124213 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.0372491 # DEPENDENCYPART_SIBL
(3,5),(3,31),-0.00436695 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0691319 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0816128 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0517303 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.188827 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.188023 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0661905 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0756684 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0423387 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0691319 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0263966 # DEPENDENCYPART_SIBL
(3,6),(3,29),0.0460677 # DEPENDENCYPART_SIBL
(3,6),(3,30),0.0396312 # DEPENDENCYPART_SIBL
(3,6),(3,31),-0.0697383 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.156668 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0574362 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0298306 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0270438 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.129915 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0664142 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0460191 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.127717 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0329797 # DEPENDENCYPART_SIBL
(3,7),(3,29),0.0980825 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.0503764 # DEPENDENCYPART_SIBL
(3,7),(3,31),-0.116561 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00800424 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00531595 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0186398 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0377874 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0135221 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.00993694 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00125384 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0310997 # DEPENDENCYPART_SIBL
(3,8),(3,29),0.0396522 # DEPENDENCYPART_SIBL
(3,8),(3,30),0.00132386 # DEPENDENCYPART_SIBL
(3,8),(3,31),-0.0175232 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0114819 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00770916 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0117293 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0518041 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.093291 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0148139 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.023633 # DEPENDENCYPART_SIBL
(3,10),(3,29),0.0514598 # DEPENDENCYPART_SIBL
(3,10),(3,30),0.0371725 # DEPENDENCYPART_SIBL
(3,10),(3,31),0.00820412 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.190445 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0489018 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.056278 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0229482 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0453908 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.00700613 # DEPENDENCYPART_SIBL
(3,11),(3,29),0.0266772 # DEPENDENCYPART_SIBL
(3,11),(3,30),0.0202407 # DEPENDENCYPART_SIBL
(3,11),(3,31),-0.0318947 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0471929 # DEPENDENCYPART_SIBL
