# _root_ Segons va explicar , les peces intervingudes tenen imatges d' inspiració mironiana , però " no reprodueixen dibuixos del pintor " .
#goldHeads=3,3,8,3,6,8,6,0,8,9,10,11,9,8,17,17,8,17,18,19,17,8,
#predictedHeads=3,3,8,3,6,8,6,0,8,9,10,11,8,8,17,17,8,17,18,19,17,8,
(11,22),-2.6291 # DEPENDENCYPART_ARC
(12,4),-2.88261 # DEPENDENCYPART_ARC
(12,10),-1.70566 # DEPENDENCYPART_ARC
(12,13),-1.02318 # DEPENDENCYPART_ARC
(12,14),-1.22714 # DEPENDENCYPART_ARC
(12,15),-1.63168 # DEPENDENCYPART_ARC
(12,16),-2.1359 # DEPENDENCYPART_ARC
(12,17),-2.51548 # DEPENDENCYPART_ARC
(12,19),-2.78538 # DEPENDENCYPART_ARC
(12,21),-2.55607 # DEPENDENCYPART_ARC
(13,12),-1.19332 # DEPENDENCYPART_ARC
(14,13),-0.986273 # DEPENDENCYPART_ARC
(16,15),-0.783226 # DEPENDENCYPART_ARC
(16,19),-1.67545 # DEPENDENCYPART_ARC
(17,1),-1.82714 # DEPENDENCYPART_ARC
(17,2),-3.84822 # DEPENDENCYPART_ARC
(17,3),-2.51217 # DEPENDENCYPART_ARC
(17,4),-3.6707 # DEPENDENCYPART_ARC
(17,6),-0.890313 # DEPENDENCYPART_ARC
(17,7),-1.35436 # DEPENDENCYPART_ARC
(17,8),-1.5009 # DEPENDENCYPART_ARC
(17,9),-0.858858 # DEPENDENCYPART_ARC
(17,10),-1.72522 # DEPENDENCYPART_ARC
(17,11),-1.85507 # DEPENDENCYPART_ARC
(17,12),-2.51172 # DEPENDENCYPART_ARC
(17,13),-1.57019 # DEPENDENCYPART_ARC
(17,14),0.223913 # DEPENDENCYPART_ARC
(17,15),1.02183 # DEPENDENCYPART_ARC
(17,16),1.75786 # DEPENDENCYPART_ARC
(17,18),2.5166 # DEPENDENCYPART_ARC
(17,19),-0.0255111 # DEPENDENCYPART_ARC
(17,20),-0.740667 # DEPENDENCYPART_ARC
(17,21),-0.0546859 # DEPENDENCYPART_ARC
(17,22),-0.653598 # DEPENDENCYPART_ARC
(18,3),-3.33018 # DEPENDENCYPART_ARC
(18,8),-2.6242 # DEPENDENCYPART_ARC
(18,15),-1.80156 # DEPENDENCYPART_ARC
(18,16),-0.997241 # DEPENDENCYPART_ARC
(18,19),0.849392 # DEPENDENCYPART_ARC
(18,20),-0.590772 # DEPENDENCYPART_ARC
(18,21),-0.8176 # DEPENDENCYPART_ARC
(18,22),-1.35885 # DEPENDENCYPART_ARC
(19,8),-3.35376 # DEPENDENCYPART_ARC
(19,20),2.35778 # DEPENDENCYPART_ARC
(19,21),-1.20998 # DEPENDENCYPART_ARC
(19,22),-1.56616 # DEPENDENCYPART_ARC
(20,16),-1.72267 # DEPENDENCYPART_ARC
(20,19),-0.370794 # DEPENDENCYPART_ARC
(20,21),-1.08229 # DEPENDENCYPART_ARC
(20,22),-1.49779 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.397412 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.363903 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.05465 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.368624 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.3597 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.948798 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.273025 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.950854 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.944579 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.265867 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.94443 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.938155 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.427586 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.42629 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.935114 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00748925 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0747885 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0109292 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.119168 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00598772 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0928496 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.063122 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.443722 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0591224 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0427446 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.112971 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0325242 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.100832 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0661987 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0218953 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0343591 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00798148 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0140806 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0567487 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0412479 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0310878 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.369452 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0578997 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0260437 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0341442 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0100019 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0134914 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0161307 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0215854 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0299431 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0162475 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.694029 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.194199 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.00537358 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0842564 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.306771 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0032935 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0297084 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0348466 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0215174 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0890068 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.030631 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.306771 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.009375 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.157291 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0246228 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0126267 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.157291 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0134699 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.201238 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0436591 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00788687 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.113287 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0518736 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0630479 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00973478 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.201238 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.246025 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0956023 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.101345 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0552182 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0956023 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.459033 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0317424 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0142471 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00432891 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0443681 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.172346 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0142471 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0817385 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.364413 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0176457 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0311407 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0248608 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0176457 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0626512 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0632048 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0846002 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.273146 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.105949 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0632048 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00882086 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0418751 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00553205 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0639475 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.261586 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.00553205 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0171984 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0142469 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0511734 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.155374 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.183118 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00611634 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0336367 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0339902 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.00331209 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0520541 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0339902 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0105473 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00895007 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.042162 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0212576 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00930086 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0242388 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.035752 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0436065 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0061588 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.035752 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.00660957 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.131975 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0706607 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0281535 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0579733 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0210031 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0733137 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.260695 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0210031 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.00107794 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0933736 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0670104 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0536397 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0305385 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0575069 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0354066 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0305385 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0281157 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00580233 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0337414 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0343042 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.00320742 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0519494 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.0343042 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0110706 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.364413 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0176457 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0311407 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0248608 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0176457 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0626512 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.123911 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.631042 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.130561 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.123911 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.127572 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0301236 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0746493 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0444318 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0247456 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0145253 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.0412825 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.0282295 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.00924121 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0389055 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.0247456 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.169702 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0061141 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0234407 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0484225 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0510261 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0493307 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0874372 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0484225 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00780964 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0149893 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0138858 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0513347 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0390562 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.088538 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0138858 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0518923 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.287046 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.113006 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.118185 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.103139 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0332881 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0663733 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.117722 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0342916 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0100593 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00585885 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0979572 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0286932 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0421735 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.00585885 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.023606 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0165384 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0152374 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0924456 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0402185 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0281267 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0152374 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.334013 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0121831 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0281915 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.117114 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0491436 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.134579 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0281915 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.316921 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0485878 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0152093 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0654814 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.155433 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0485878 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0292969 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0199474 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.138783 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0401918 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0550015 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.302445 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.138783 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.00507473 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00572188 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00396635 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0192592 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0235756 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00295053 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0389163 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0194536 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0365316 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0155625 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0480259 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0194536 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0045847 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0363096 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0795088 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0467863 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0892227 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0887287 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.104566 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.013309 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.05203 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.054836 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.104566 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.0640113 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0090214 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0387702 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0668248 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0153703 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0613056 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.00814551 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.024081 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.00851371 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0613056 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0186169 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.054908 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0126177 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0189649 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0108495 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00341349 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.00155289 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0480061 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.0108495 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0217312 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.00284586 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0389163 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0195583 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.0365316 # DEPENDENCYPART_SIBL
