# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,17,17,14,9,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(10,14),-1.28972 # DEPENDENCYPART_ARC
(10,17),-0.742668 # DEPENDENCYPART_ARC
(10,18),-1.24898 # DEPENDENCYPART_ARC
(11,10),-1.17442 # DEPENDENCYPART_ARC
(11,12),-0.783508 # DEPENDENCYPART_ARC
(12,2),-2.65652 # DEPENDENCYPART_ARC
(12,6),-3.60338 # DEPENDENCYPART_ARC
(12,10),-1.61157 # DEPENDENCYPART_ARC
(12,11),1.49757 # DEPENDENCYPART_ARC
(12,13),2.15099 # DEPENDENCYPART_ARC
(12,14),0.618292 # DEPENDENCYPART_ARC
(12,15),-0.482221 # DEPENDENCYPART_ARC
(12,17),-0.835135 # DEPENDENCYPART_ARC
(12,18),-0.800581 # DEPENDENCYPART_ARC
(12,19),-1.19001 # DEPENDENCYPART_ARC
(12,21),-1.77972 # DEPENDENCYPART_ARC
(12,22),-1.60246 # DEPENDENCYPART_ARC
(12,24),-1.63152 # DEPENDENCYPART_ARC
(12,27),-1.09895 # DEPENDENCYPART_ARC
(12,36),-2.47246 # DEPENDENCYPART_ARC
(13,11),-1.56733 # DEPENDENCYPART_ARC
(13,14),-0.668581 # DEPENDENCYPART_ARC
(13,15),-1.37074 # DEPENDENCYPART_ARC
(13,18),-1.41349 # DEPENDENCYPART_ARC
(14,5),-2.61556 # DEPENDENCYPART_ARC
(14,10),-1.20736 # DEPENDENCYPART_ARC
(14,11),-1.87713 # DEPENDENCYPART_ARC
(14,13),0.964952 # DEPENDENCYPART_ARC
(14,15),-0.956884 # DEPENDENCYPART_ARC
(14,17),-1.52825 # DEPENDENCYPART_ARC
(14,18),-0.8283 # DEPENDENCYPART_ARC
(14,19),-2.38116 # DEPENDENCYPART_ARC
(14,21),-2.08821 # DEPENDENCYPART_ARC
(14,22),-2.43942 # DEPENDENCYPART_ARC
(14,26),-2.0088 # DEPENDENCYPART_ARC
(14,28),-2.93335 # DEPENDENCYPART_ARC
(14,29),-2.43897 # DEPENDENCYPART_ARC
(14,31),-2.16487 # DEPENDENCYPART_ARC
(15,17),-2.0339 # DEPENDENCYPART_ARC
(17,2),-2.24154 # DEPENDENCYPART_ARC
(17,5),-2.14339 # DEPENDENCYPART_ARC
(17,7),-2.78829 # DEPENDENCYPART_ARC
(17,9),-2.83841 # DEPENDENCYPART_ARC
(17,10),-1.90341 # DEPENDENCYPART_ARC
(17,11),-1.55153 # DEPENDENCYPART_ARC
(17,13),-1.2879 # DEPENDENCYPART_ARC
(17,14),-0.80739 # DEPENDENCYPART_ARC
(17,15),-0.675518 # DEPENDENCYPART_ARC
(17,16),1.82349 # DEPENDENCYPART_ARC
(17,18),-0.808867 # DEPENDENCYPART_ARC
(17,19),-0.969596 # DEPENDENCYPART_ARC
(17,21),-1.18509 # DEPENDENCYPART_ARC
(17,22),-1.20412 # DEPENDENCYPART_ARC
(17,24),-1.28637 # DEPENDENCYPART_ARC
(17,26),-2.05013 # DEPENDENCYPART_ARC
(17,27),-1.19335 # DEPENDENCYPART_ARC
(17,29),-2.8408 # DEPENDENCYPART_ARC
(19,2),-1.84231 # DEPENDENCYPART_ARC
(19,5),-2.20386 # DEPENDENCYPART_ARC
(19,7),-1.8469 # DEPENDENCYPART_ARC
(19,8),-0.92909 # DEPENDENCYPART_ARC
(19,9),-1.38564 # DEPENDENCYPART_ARC
(19,10),-1.85218 # DEPENDENCYPART_ARC
(19,12),-1.321 # DEPENDENCYPART_ARC
(19,13),-1.7259 # DEPENDENCYPART_ARC
(19,14),-1.7954 # DEPENDENCYPART_ARC
(19,15),1.53235 # DEPENDENCYPART_ARC
(19,16),-2.16559 # DEPENDENCYPART_ARC
(19,17),-0.157255 # DEPENDENCYPART_ARC
(19,18),-0.153815 # DEPENDENCYPART_ARC
(19,21),0.910919 # DEPENDENCYPART_ARC
(19,22),-0.268302 # DEPENDENCYPART_ARC
(19,23),-0.759106 # DEPENDENCYPART_ARC
(19,24),-1.74568 # DEPENDENCYPART_ARC
(19,26),-1.17473 # DEPENDENCYPART_ARC
(19,27),-1.36378 # DEPENDENCYPART_ARC
(19,28),-0.727853 # DEPENDENCYPART_ARC
(19,29),-1.16473 # DEPENDENCYPART_ARC
(19,30),-2.20815 # DEPENDENCYPART_ARC
(19,31),-1.98954 # DEPENDENCYPART_ARC
(19,32),-1.32149 # DEPENDENCYPART_ARC
(19,35),-2.07632 # DEPENDENCYPART_ARC
(19,36),0.133377 # DEPENDENCYPART_ARC
(20,21),-0.163837 # DEPENDENCYPART_ARC
(20,22),-0.0445984 # DEPENDENCYPART_ARC
(21,16),-2.67927 # DEPENDENCYPART_ARC
(21,18),-1.6638 # DEPENDENCYPART_ARC
(21,19),-1.55397 # DEPENDENCYPART_ARC
(21,20),1.61141 # DEPENDENCYPART_ARC
(21,22),1.04205 # DEPENDENCYPART_ARC
(21,23),-0.526841 # DEPENDENCYPART_ARC
(21,24),-0.625209 # DEPENDENCYPART_ARC
(21,26),-1.04672 # DEPENDENCYPART_ARC
(21,27),-0.275497 # DEPENDENCYPART_ARC
(21,28),-1.41962 # DEPENDENCYPART_ARC
(21,29),-2.20205 # DEPENDENCYPART_ARC
(21,30),-2.42637 # DEPENDENCYPART_ARC
(21,31),-2.12132 # DEPENDENCYPART_ARC
(21,33),-2.72562 # DEPENDENCYPART_ARC
(22,20),-1.60837 # DEPENDENCYPART_ARC
(22,23),2.2945 # DEPENDENCYPART_ARC
(22,24),-1.62374 # DEPENDENCYPART_ARC
(22,26),-2.1832 # DEPENDENCYPART_ARC
(23,20),-1.81809 # DEPENDENCYPART_ARC
(23,24),-1.07192 # DEPENDENCYPART_ARC
(23,26),-1.28877 # DEPENDENCYPART_ARC
(23,27),-1.46534 # DEPENDENCYPART_ARC
(23,28),-1.20353 # DEPENDENCYPART_ARC
(23,29),-1.91403 # DEPENDENCYPART_ARC
(23,30),-4.03628 # DEPENDENCYPART_ARC
(23,31),-2.83581 # DEPENDENCYPART_ARC
(23,33),-2.77475 # DEPENDENCYPART_ARC
(24,26),-2.09652 # DEPENDENCYPART_ARC
(26,20),-2.67627 # DEPENDENCYPART_ARC
(26,22),-2.21648 # DEPENDENCYPART_ARC
(26,24),-1.10383 # DEPENDENCYPART_ARC
(26,25),1.91672 # DEPENDENCYPART_ARC
(26,27),2.00753 # DEPENDENCYPART_ARC
(26,28),-0.970495 # DEPENDENCYPART_ARC
(26,29),-1.65998 # DEPENDENCYPART_ARC
(26,30),-1.58033 # DEPENDENCYPART_ARC
(26,31),-1.00221 # DEPENDENCYPART_ARC
(26,32),-1.39173 # DEPENDENCYPART_ARC
(26,33),-1.7361 # DEPENDENCYPART_ARC
(26,35),-1.49552 # DEPENDENCYPART_ARC
(27,25),-1.46089 # DEPENDENCYPART_ARC
(27,28),-1.00946 # DEPENDENCYPART_ARC
(27,30),-2.19542 # DEPENDENCYPART_ARC
(28,2),-3.47887 # DEPENDENCYPART_ARC
(28,5),-3.55858 # DEPENDENCYPART_ARC
(28,7),-3.51067 # DEPENDENCYPART_ARC
(28,8),-3.94853 # DEPENDENCYPART_ARC
(28,9),-3.48254 # DEPENDENCYPART_ARC
(28,15),-1.44761 # DEPENDENCYPART_ARC
(28,17),-2.55476 # DEPENDENCYPART_ARC
(28,19),-2.46217 # DEPENDENCYPART_ARC
(28,21),-2.03256 # DEPENDENCYPART_ARC
(28,23),-2.45207 # DEPENDENCYPART_ARC
(28,24),-0.119115 # DEPENDENCYPART_ARC
(28,25),-2.9519 # DEPENDENCYPART_ARC
(28,26),-1.03839 # DEPENDENCYPART_ARC
(28,27),-1.31615 # DEPENDENCYPART_ARC
(28,29),0.753859 # DEPENDENCYPART_ARC
(28,30),-0.838103 # DEPENDENCYPART_ARC
(28,31),-1.27351 # DEPENDENCYPART_ARC
(28,32),-1.22915 # DEPENDENCYPART_ARC
(28,33),-2.34307 # DEPENDENCYPART_ARC
(28,35),-2.04077 # DEPENDENCYPART_ARC
(28,36),-1.62531 # DEPENDENCYPART_ARC
(29,2),-2.52632 # DEPENDENCYPART_ARC
(29,5),-2.8768 # DEPENDENCYPART_ARC
(29,7),-2.32727 # DEPENDENCYPART_ARC
(29,8),-3.18552 # DEPENDENCYPART_ARC
(29,9),-1.69822 # DEPENDENCYPART_ARC
(29,12),-1.78028 # DEPENDENCYPART_ARC
(29,13),-1.82332 # DEPENDENCYPART_ARC
(29,14),-1.20282 # DEPENDENCYPART_ARC
(29,15),-0.144841 # DEPENDENCYPART_ARC
(29,17),-1.60881 # DEPENDENCYPART_ARC
(29,19),-0.641894 # DEPENDENCYPART_ARC
(29,21),-1.04278 # DEPENDENCYPART_ARC
(29,22),-1.75059 # DEPENDENCYPART_ARC
(29,23),-1.5417 # DEPENDENCYPART_ARC
(29,24),0.944722 # DEPENDENCYPART_ARC
(29,25),-1.73853 # DEPENDENCYPART_ARC
(29,26),-0.253944 # DEPENDENCYPART_ARC
(29,27),-0.682246 # DEPENDENCYPART_ARC
(29,28),2.83978 # DEPENDENCYPART_ARC
(29,30),1.35013 # DEPENDENCYPART_ARC
(29,31),1.21914 # DEPENDENCYPART_ARC
(29,32),0.00768102 # DEPENDENCYPART_ARC
(29,33),-0.81078 # DEPENDENCYPART_ARC
(29,35),-0.552644 # DEPENDENCYPART_ARC
(29,36),-0.162537 # DEPENDENCYPART_ARC
(30,31),-0.911841 # DEPENDENCYPART_ARC
(30,32),-1.53959 # DEPENDENCYPART_ARC
(30,33),-2.13611 # DEPENDENCYPART_ARC
(31,25),-2.01281 # DEPENDENCYPART_ARC
(31,27),-1.74802 # DEPENDENCYPART_ARC
(31,30),2.0027 # DEPENDENCYPART_ARC
(31,32),-0.378605 # DEPENDENCYPART_ARC
(31,33),-0.419325 # DEPENDENCYPART_ARC
(31,35),-1.25462 # DEPENDENCYPART_ARC
(31,36),-1.3745 # DEPENDENCYPART_ARC
(32,30),-1.63646 # DEPENDENCYPART_ARC
(32,31),-0.565022 # DEPENDENCYPART_ARC
(32,33),0.542478 # DEPENDENCYPART_ARC
(32,35),-1.29411 # DEPENDENCYPART_ARC
(32,36),-1.35716 # DEPENDENCYPART_ARC
(33,31),-2.21312 # DEPENDENCYPART_ARC
(33,32),-0.816102 # DEPENDENCYPART_ARC
(33,34),-0.9225 # DEPENDENCYPART_ARC
(33,35),1.56453 # DEPENDENCYPART_ARC
(34,32),-1.00258 # DEPENDENCYPART_ARC
(34,33),-0.142001 # DEPENDENCYPART_ARC
(35,30),-2.12141 # DEPENDENCYPART_ARC
(35,32),-1.23922 # DEPENDENCYPART_ARC
(35,33),-0.742362 # DEPENDENCYPART_ARC
(35,34),1.67305 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.195007 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.424446 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.44155 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.42618 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.422921 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.425883 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.442986 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.427617 # DEPENDENCYPART_SIBL
(0,7),(0,29),-0.424358 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.972208 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.937755 # DEPENDENCYPART_SIBL
(0,9),(0,29),-0.93774 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.970157 # DEPENDENCYPART_SIBL
(0,19),(0,29),-0.970142 # DEPENDENCYPART_SIBL
(0,28),(0,29),-0.938895 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.299323 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.400561 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.232578 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0481984 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0244467 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.234582 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0827617 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.446699 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.23243 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0816439 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0690409 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.265372 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.232578 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0481984 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0101406 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.232578 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.400561 # DEPENDENCYPART_SIBL
(2,1),(2,36),0.103155 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0205832 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0150962 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0128158 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0186836 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0536918 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0279571 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0204313 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0370635 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.037813 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0290019 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0205832 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0150962 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0440111 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0205689 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0193427 # DEPENDENCYPART_SIBL
(2,3),(2,36),0.0183 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0296313 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.118764 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.011904 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00033729 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0431145 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0144094 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0277401 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0337104 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.155092 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0144612 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0296313 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0135358 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0144464 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0286176 # DEPENDENCYPART_SIBL
(2,4),(2,36),-0.00533521 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.074216 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.360738 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0481177 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0458587 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.37017 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00271336 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0263177 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0114214 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.370222 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.025722 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0887908 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.370203 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.00744024 # DEPENDENCYPART_SIBL
(2,5),(2,36),-0.00135954 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00884659 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0453527 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0946984 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0106924 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0744189 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0751183 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.116153 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0107441 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.108856 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0500979 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0107337 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0699143 # DEPENDENCYPART_SIBL
(2,6),(2,36),-0.0900798 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00156369 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0421593 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0125824 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0268069 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0327772 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.156029 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0126342 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0246478 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0154368 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0126194 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0276627 # DEPENDENCYPART_SIBL
(2,7),(2,36),-0.00928678 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0402031 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0295027 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0103409 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.007498 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0165686 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0295576 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0638107 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0724769 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0295428 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0121869 # DEPENDENCYPART_SIBL
(2,9),(2,36),0.0460513 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00839516 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0657253 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0832678 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0805891 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.00864736 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0266866 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0506225 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.00863299 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0396544 # DEPENDENCYPART_SIBL
(2,10),(2,36),-2.75436e-05 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0275958 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0335661 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.15525 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0142491 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0201728 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0164502 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0142343 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0256156 # DEPENDENCYPART_SIBL
(2,12),(2,36),-0.0112141 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0481807 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0948109 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.00585072 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0205828 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0341745 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.00584031 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0580315 # DEPENDENCYPART_SIBL
(2,13),(2,36),-0.0196903 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0993401 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.00133837 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0103113 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0313833 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.00132797 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0736498 # DEPENDENCYPART_SIBL
(2,14),(2,36),0.00961444 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0428833 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.111829 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.182965 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0428729 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.112492 # DEPENDENCYPART_SIBL
(2,15),(2,36),-0.0942014 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0262456 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0135358 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.0144464 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.0286176 # DEPENDENCYPART_SIBL
(2,17),(2,36),-0.00702806 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0887908 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.370203 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.00744024 # DEPENDENCYPART_SIBL
(2,18),(2,36),-0.00135954 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0250729 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.00435698 # DEPENDENCYPART_SIBL
(2,19),(2,36),0.0506574 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.0255189 # DEPENDENCYPART_SIBL
(2,21),(2,36),-0.00603538 # DEPENDENCYPART_SIBL
(2,22),(2,36),0.0183 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.236903 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0614641 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.125564 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0621204 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00296845 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0462176 # DEPENDENCYPART_SIBL
