# _root_ Si l' objectiu és que el_nostre programa de quatre anys es pugui aconseguir , que el finançament de l' Estat arribi millor del que està arribant , ho hem de saber explicar .
#goldHeads=4,3,4,31,13,7,13,7,10,8,13,13,4,13,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,0,31,31,
#predictedHeads=4,3,4,0,13,7,13,7,10,8,13,13,4,21,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,26,31,4,
(15,14),-1.14693 # DEPENDENCYPART_ARC
(15,17),-2.21225 # DEPENDENCYPART_ARC
(15,18),-2.29042 # DEPENDENCYPART_ARC
(16,18),-1.14268 # DEPENDENCYPART_ARC
(16,19),-1.50559 # DEPENDENCYPART_ARC
(17,8),-1.4061 # DEPENDENCYPART_ARC
(17,13),-2.39836 # DEPENDENCYPART_ARC
(17,14),-1.55802 # DEPENDENCYPART_ARC
(17,15),-1.09527 # DEPENDENCYPART_ARC
(17,16),1.68538 # DEPENDENCYPART_ARC
(17,18),0.629544 # DEPENDENCYPART_ARC
(17,20),-0.777654 # DEPENDENCYPART_ARC
(17,21),-0.896244 # DEPENDENCYPART_ARC
(17,22),-1.48763 # DEPENDENCYPART_ARC
(17,23),-1.98688 # DEPENDENCYPART_ARC
(17,25),-1.26093 # DEPENDENCYPART_ARC
(17,26),-1.85882 # DEPENDENCYPART_ARC
(17,29),-2.02478 # DEPENDENCYPART_ARC
(18,16),-2.11774 # DEPENDENCYPART_ARC
(18,19),-1.03603 # DEPENDENCYPART_ARC
(18,20),1.49256 # DEPENDENCYPART_ARC
(18,23),-1.74356 # DEPENDENCYPART_ARC
(18,30),-2.31702 # DEPENDENCYPART_ARC
(19,18),-1.11462 # DEPENDENCYPART_ARC
(20,16),-2.98613 # DEPENDENCYPART_ARC
(20,19),0.442231 # DEPENDENCYPART_ARC
(20,21),-1.47998 # DEPENDENCYPART_ARC
(21,1),-2.45068 # DEPENDENCYPART_ARC
(21,3),-2.65013 # DEPENDENCYPART_ARC
(21,4),-3.35695 # DEPENDENCYPART_ARC
(21,5),-0.419543 # DEPENDENCYPART_ARC
(21,7),-1.80052 # DEPENDENCYPART_ARC
(21,10),-2.13719 # DEPENDENCYPART_ARC
(21,12),-2.72897 # DEPENDENCYPART_ARC
(21,13),-2.1405 # DEPENDENCYPART_ARC
(21,14),-0.908537 # DEPENDENCYPART_ARC
(21,15),0.972446 # DEPENDENCYPART_ARC
(21,16),-2.77682 # DEPENDENCYPART_ARC
(21,17),-0.560318 # DEPENDENCYPART_ARC
(21,18),-1.41816 # DEPENDENCYPART_ARC
(21,19),-1.28476 # DEPENDENCYPART_ARC
(21,20),0.299243 # DEPENDENCYPART_ARC
(21,22),0.603371 # DEPENDENCYPART_ARC
(21,23),-0.27502 # DEPENDENCYPART_ARC
(21,25),-0.758612 # DEPENDENCYPART_ARC
(21,26),-0.454011 # DEPENDENCYPART_ARC
(21,27),-0.574242 # DEPENDENCYPART_ARC
(21,28),-1.93447 # DEPENDENCYPART_ARC
(21,29),-2.04794 # DEPENDENCYPART_ARC
(21,30),-1.8116 # DEPENDENCYPART_ARC
(21,31),-2.23055 # DEPENDENCYPART_ARC
(21,32),-1.71554 # DEPENDENCYPART_ARC
(21,33),-1.2944 # DEPENDENCYPART_ARC
(22,18),-2.21224 # DEPENDENCYPART_ARC
(22,23),-0.176068 # DEPENDENCYPART_ARC
(22,25),-1.57889 # DEPENDENCYPART_ARC
(22,27),-1.33247 # DEPENDENCYPART_ARC
(22,30),-2.47827 # DEPENDENCYPART_ARC
(23,16),-3.40504 # DEPENDENCYPART_ARC
(23,19),-2.97396 # DEPENDENCYPART_ARC
(23,21),-1.84781 # DEPENDENCYPART_ARC
(23,22),-0.437027 # DEPENDENCYPART_ARC
(23,24),0.521086 # DEPENDENCYPART_ARC
(23,25),0.152221 # DEPENDENCYPART_ARC
(23,26),-1.02866 # DEPENDENCYPART_ARC
(23,27),-0.937113 # DEPENDENCYPART_ARC
(23,29),-1.98028 # DEPENDENCYPART_ARC
(23,30),-1.61669 # DEPENDENCYPART_ARC
(23,31),-1.27628 # DEPENDENCYPART_ARC
(23,32),-1.67845 # DEPENDENCYPART_ARC
(24,23),-1.90391 # DEPENDENCYPART_ARC
(24,25),-1.25951 # DEPENDENCYPART_ARC
(25,5),-2.77153 # DEPENDENCYPART_ARC
(25,7),-3.9863 # DEPENDENCYPART_ARC
(25,14),-2.52283 # DEPENDENCYPART_ARC
(25,15),-1.49294 # DEPENDENCYPART_ARC
(25,17),-2.83392 # DEPENDENCYPART_ARC
(25,22),-1.9883 # DEPENDENCYPART_ARC
(25,23),-1.93715 # DEPENDENCYPART_ARC
(25,24),0.711051 # DEPENDENCYPART_ARC
(25,26),0.752918 # DEPENDENCYPART_ARC
(25,27),-1.09306 # DEPENDENCYPART_ARC
(25,28),-2.37702 # DEPENDENCYPART_ARC
(25,29),-1.44091 # DEPENDENCYPART_ARC
(25,30),-1.834 # DEPENDENCYPART_ARC
(25,31),-2.39235 # DEPENDENCYPART_ARC
(25,33),-2.64216 # DEPENDENCYPART_ARC
(26,1),-2.80234 # DEPENDENCYPART_ARC
(26,3),-2.74478 # DEPENDENCYPART_ARC
(26,4),-0.908607 # DEPENDENCYPART_ARC
(26,5),-0.944615 # DEPENDENCYPART_ARC
(26,7),-2.35279 # DEPENDENCYPART_ARC
(26,12),-0.891906 # DEPENDENCYPART_ARC
(26,13),-1.9856 # DEPENDENCYPART_ARC
(26,14),-1.1623 # DEPENDENCYPART_ARC
(26,15),0.308919 # DEPENDENCYPART_ARC
(26,16),-2.82757 # DEPENDENCYPART_ARC
(26,17),-1.42619 # DEPENDENCYPART_ARC
(26,18),-1.59446 # DEPENDENCYPART_ARC
(26,19),-2.52237 # DEPENDENCYPART_ARC
(26,20),-0.881053 # DEPENDENCYPART_ARC
(26,21),-0.307094 # DEPENDENCYPART_ARC
(26,22),-0.52681 # DEPENDENCYPART_ARC
(26,23),-0.607858 # DEPENDENCYPART_ARC
(26,24),1.46227 # DEPENDENCYPART_ARC
(26,25),3.46015 # DEPENDENCYPART_ARC
(26,27),-0.157439 # DEPENDENCYPART_ARC
(26,28),-0.34828 # DEPENDENCYPART_ARC
(26,29),-0.748225 # DEPENDENCYPART_ARC
(26,30),-1.21454 # DEPENDENCYPART_ARC
(26,31),-1.76566 # DEPENDENCYPART_ARC
(26,32),-1.42641 # DEPENDENCYPART_ARC
(26,33),-1.65008 # DEPENDENCYPART_ARC
(28,27),-0.97456 # DEPENDENCYPART_ARC
(28,30),-1.71869 # DEPENDENCYPART_ARC
(29,5),-3.84727 # DEPENDENCYPART_ARC
(29,15),-2.9262 # DEPENDENCYPART_ARC
(29,17),-4.78991 # DEPENDENCYPART_ARC
(29,22),-3.59144 # DEPENDENCYPART_ARC
(29,23),-3.69786 # DEPENDENCYPART_ARC
(29,24),-3.39109 # DEPENDENCYPART_ARC
(29,25),-2.91279 # DEPENDENCYPART_ARC
(29,26),-2.022 # DEPENDENCYPART_ARC
(29,27),-1.46196 # DEPENDENCYPART_ARC
(29,28),-0.468388 # DEPENDENCYPART_ARC
(29,30),-0.432197 # DEPENDENCYPART_ARC
(29,31),-1.67612 # DEPENDENCYPART_ARC
(29,32),-1.68107 # DEPENDENCYPART_ARC
(29,33),-2.53343 # DEPENDENCYPART_ARC
(30,31),0.953431 # DEPENDENCYPART_ARC
(30,32),-0.141887 # DEPENDENCYPART_ARC
(31,1),-5.00179 # DEPENDENCYPART_ARC
(31,4),-1.59499 # DEPENDENCYPART_ARC
(31,5),-2.85416 # DEPENDENCYPART_ARC
(31,7),-3.565 # DEPENDENCYPART_ARC
(31,12),-1.6345 # DEPENDENCYPART_ARC
(31,15),-1.81664 # DEPENDENCYPART_ARC
(31,17),-2.79647 # DEPENDENCYPART_ARC
(31,21),-1.61891 # DEPENDENCYPART_ARC
(31,22),-2.43956 # DEPENDENCYPART_ARC
(31,23),-2.76842 # DEPENDENCYPART_ARC
(31,24),-3.03322 # DEPENDENCYPART_ARC
(31,25),-1.5661 # DEPENDENCYPART_ARC
(31,26),-0.958859 # DEPENDENCYPART_ARC
(31,27),-1.17724 # DEPENDENCYPART_ARC
(31,28),-0.612575 # DEPENDENCYPART_ARC
(31,29),2.21283 # DEPENDENCYPART_ARC
(31,30),0.495823 # DEPENDENCYPART_ARC
(31,32),1.38066 # DEPENDENCYPART_ARC
(31,33),-1.21802 # DEPENDENCYPART_ARC
(32,1),-5.34985 # DEPENDENCYPART_ARC
(32,4),-2.17462 # DEPENDENCYPART_ARC
(32,5),-3.17719 # DEPENDENCYPART_ARC
(32,7),-4.24549 # DEPENDENCYPART_ARC
(32,12),-2.09875 # DEPENDENCYPART_ARC
(32,13),-2.59585 # DEPENDENCYPART_ARC
(32,14),-3.19735 # DEPENDENCYPART_ARC
(32,15),-2.01694 # DEPENDENCYPART_ARC
(32,17),-3.17495 # DEPENDENCYPART_ARC
(32,20),-3.1841 # DEPENDENCYPART_ARC
(32,21),-2.46682 # DEPENDENCYPART_ARC
(32,22),-2.93071 # DEPENDENCYPART_ARC
(32,23),-3.50815 # DEPENDENCYPART_ARC
(32,24),-3.32517 # DEPENDENCYPART_ARC
(32,25),-2.18638 # DEPENDENCYPART_ARC
(32,26),-2.57399 # DEPENDENCYPART_ARC
(32,27),-1.96846 # DEPENDENCYPART_ARC
(32,28),-1.09917 # DEPENDENCYPART_ARC
(32,29),-0.149639 # DEPENDENCYPART_ARC
(32,30),-1.17891 # DEPENDENCYPART_ARC
(32,31),1.69596 # DEPENDENCYPART_ARC
(32,33),-0.189261 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.433326 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.394549 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.373752 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.386586 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.386215 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.972313 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.973024 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.97159 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.974182 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.941133 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.940473 # DEPENDENCYPART_SIBL
(0,12),(0,32),-0.943078 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.941938 # DEPENDENCYPART_SIBL
(0,13),(0,32),-0.944543 # DEPENDENCYPART_SIBL
(0,21),(0,32),-0.940797 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0424647 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0582272 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0876284 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0323099 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0135975 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0405839 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.143849 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.376685 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0655412 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.142847 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.205776 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0563459 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0314531 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.048359 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00511862 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.1339 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0193605 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.431111 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0707579 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0495746 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0708477 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.431111 # DEPENDENCYPART_SIBL
(4,1),(4,29),-0.0926304 # DEPENDENCYPART_SIBL
(4,1),(4,31),-0.0543755 # DEPENDENCYPART_SIBL
(4,1),(4,32),-0.0458131 # DEPENDENCYPART_SIBL
(4,1),(4,33),-0.271765 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0471063 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.308886 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0522781 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0830508 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0186724 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.165062 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0781808 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0476409 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0992884 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.124641 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.102391 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0476409 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.11915 # DEPENDENCYPART_SIBL
(4,2),(4,31),-0.0858649 # DEPENDENCYPART_SIBL
(4,2),(4,32),-0.0859132 # DEPENDENCYPART_SIBL
(4,2),(4,33),-0.0479126 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.117335 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0328047 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0912326 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0358921 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0287287 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.117239 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0549271 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0864621 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0872843 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0893607 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0549271 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.070771 # DEPENDENCYPART_SIBL
(4,3),(4,31),0.122219 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.107797 # DEPENDENCYPART_SIBL
(4,3),(4,33),0.0869725 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0143535 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.100898 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.106556 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0776008 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00137383 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0689353 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0296169 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0460011 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.0261328 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.0689353 # DEPENDENCYPART_SIBL
(4,5),(4,29),-0.0560326 # DEPENDENCYPART_SIBL
(4,5),(4,31),-0.0242987 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.0417345 # DEPENDENCYPART_SIBL
(4,5),(4,33),-0.113953 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0829933 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.237378 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0901524 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.035625 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0419878 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0486168 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.023235 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.042578 # DEPENDENCYPART_SIBL
(4,7),(4,27),0.0419878 # DEPENDENCYPART_SIBL
(4,7),(4,29),-0.0672933 # DEPENDENCYPART_SIBL
(4,7),(4,31),-0.0364819 # DEPENDENCYPART_SIBL
(4,7),(4,32),-0.0636626 # DEPENDENCYPART_SIBL
(4,7),(4,33),0.0553346 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.141731 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0247804 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00696051 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0362411 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0129158 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0403138 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.0280354 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0362411 # DEPENDENCYPART_SIBL
(4,8),(4,29),-0.008727 # DEPENDENCYPART_SIBL
(4,8),(4,31),0.029543 # DEPENDENCYPART_SIBL
(4,8),(4,32),0.0148501 # DEPENDENCYPART_SIBL
(4,8),(4,33),-0.000347931 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.101835 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.047677 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0553573 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0602443 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0366064 # DEPENDENCYPART_SIBL
(4,10),(4,26),-0.0542055 # DEPENDENCYPART_SIBL
(4,10),(4,27),0.0553573 # DEPENDENCYPART_SIBL
(4,10),(4,29),-0.0789208 # DEPENDENCYPART_SIBL
(4,10),(4,31),-0.0481095 # DEPENDENCYPART_SIBL
(4,10),(4,32),-0.0753572 # DEPENDENCYPART_SIBL
(4,10),(4,33),-0.0258322 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0420668 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0295382 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0565775 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0410893 # DEPENDENCYPART_SIBL
(4,12),(4,26),-0.0559159 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.0295382 # DEPENDENCYPART_SIBL
(4,12),(4,29),-0.0708989 # DEPENDENCYPART_SIBL
(4,12),(4,31),-0.0604975 # DEPENDENCYPART_SIBL
(4,12),(4,32),-0.0729322 # DEPENDENCYPART_SIBL
(4,12),(4,33),-0.0305423 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0597258 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0244396 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.00895137 # DEPENDENCYPART_SIBL
(4,13),(4,26),-0.023778 # DEPENDENCYPART_SIBL
(4,13),(4,27),0.0597258 # DEPENDENCYPART_SIBL
(4,13),(4,29),-0.038764 # DEPENDENCYPART_SIBL
(4,13),(4,31),-0.0283595 # DEPENDENCYPART_SIBL
(4,13),(4,32),-0.0407943 # DEPENDENCYPART_SIBL
(4,13),(4,33),0.0713755 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0095336 # DEPENDENCYPART_SIBL
(4,14),(4,25),0.0464507 # DEPENDENCYPART_SIBL
(4,14),(4,26),-0.0116795 # DEPENDENCYPART_SIBL
(4,14),(4,27),-0.0549153 # DEPENDENCYPART_SIBL
(4,14),(4,29),-0.00975619 # DEPENDENCYPART_SIBL
(4,14),(4,31),0.0310051 # DEPENDENCYPART_SIBL
(4,14),(4,32),-0.0481976 # DEPENDENCYPART_SIBL
(4,14),(4,33),-0.0707313 # DEPENDENCYPART_SIBL
(4,21),(4,25),-0.0386437 # DEPENDENCYPART_SIBL
(4,21),(4,26),-0.0534703 # DEPENDENCYPART_SIBL
(4,21),(4,27),-0.0384289 # DEPENDENCYPART_SIBL
(4,21),(4,29),-0.0684533 # DEPENDENCYPART_SIBL
(4,21),(4,31),-0.0580519 # DEPENDENCYPART_SIBL
(4,21),(4,32),-0.0704866 # DEPENDENCYPART_SIBL
(4,21),(4,33),-0.0245086 # DEPENDENCYPART_SIBL
(4,25),(4,26),-0.0443756 # DEPENDENCYPART_SIBL
(4,25),(4,27),0.0399746 # DEPENDENCYPART_SIBL
(4,25),(4,29),-0.0593585 # DEPENDENCYPART_SIBL
(4,25),(4,31),-0.0489571 # DEPENDENCYPART_SIBL
(4,25),(4,32),-0.0613919 # DEPENDENCYPART_SIBL
(4,25),(4,33),0.00544224 # DEPENDENCYPART_SIBL
(4,26),(4,27),0.0527022 # DEPENDENCYPART_SIBL
(4,26),(4,29),-0.0458349 # DEPENDENCYPART_SIBL
(4,26),(4,31),-0.0354335 # DEPENDENCYPART_SIBL
(4,26),(4,32),-0.0478682 # DEPENDENCYPART_SIBL
(4,26),(4,33),0.0417386 # DEPENDENCYPART_SIBL
(4,27),(4,29),-0.00975619 # DEPENDENCYPART_SIBL
(4,27),(4,31),0.0310051 # DEPENDENCYPART_SIBL
(4,27),(4,32),-0.0481976 # DEPENDENCYPART_SIBL
(4,27),(4,33),-0.0707313 # DEPENDENCYPART_SIBL
(4,29),(4,31),-0.0586609 # DEPENDENCYPART_SIBL
(4,29),(4,32),-0.0710957 # DEPENDENCYPART_SIBL
(4,29),(4,33),-0.0141496 # DEPENDENCYPART_SIBL
(4,31),(4,32),-0.049461 # DEPENDENCYPART_SIBL
(4,31),(4,33),0.0363954 # DEPENDENCYPART_SIBL
(4,32),(4,33),0.066458 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.114144 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0289002 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.199559 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.106289 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.107498 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0234181 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0398699 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0494748 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.055783 # DEPENDENCYPART_SIBL
