# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(6,1),(6,24),0.0387825 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.0331129 # DEPENDENCYPART_SIBL
(6,1),(6,27),0.0472548 # DEPENDENCYPART_SIBL
(6,1),(6,29),0.0535476 # DEPENDENCYPART_SIBL
(6,1),(6,32),0.0410841 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0789279 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.151339 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00542622 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0282455 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0185118 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0180315 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.000328061 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0101748 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0244961 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0196199 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.202132 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0305665 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0657703 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.0026577 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0165939 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.0244961 # DEPENDENCYPART_SIBL
(6,2),(6,27),0.00537544 # DEPENDENCYPART_SIBL
(6,2),(6,29),-0.0135946 # DEPENDENCYPART_SIBL
(6,2),(6,32),-0.475583 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.430276 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.297813 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0349129 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00873116 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00687539 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00624041 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00145201 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0507288 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.00408446 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0882938 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0246745 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.077182 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0858725 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0116785 # DEPENDENCYPART_SIBL
(6,3),(6,25),0.0507288 # DEPENDENCYPART_SIBL
(6,3),(6,27),0.00152818 # DEPENDENCYPART_SIBL
(6,3),(6,29),-0.0279114 # DEPENDENCYPART_SIBL
(6,3),(6,32),-0.102368 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0641562 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.000112737 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.103779 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0176374 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0407754 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0290752 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00834883 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0245479 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0314427 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0351571 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.027595 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.0209627 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.0230529 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.00834883 # DEPENDENCYPART_SIBL
(6,4),(6,27),0.036798 # DEPENDENCYPART_SIBL
(6,4),(6,29),0.163552 # DEPENDENCYPART_SIBL
(6,4),(6,32),-0.458507 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0629494 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0219592 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.105222 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0869045 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.100926 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0723193 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.103179 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.196941 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.00345132 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0255265 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.00720439 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0700523 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.0723193 # DEPENDENCYPART_SIBL
(6,5),(6,27),0.0791076 # DEPENDENCYPART_SIBL
(6,5),(6,29),0.0264628 # DEPENDENCYPART_SIBL
(6,5),(6,32),0.113818 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0703228 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0473929 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0209804 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0455679 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0194587 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0396124 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0167147 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0418737 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0328112 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.0691198 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.00656592 # DEPENDENCYPART_SIBL
(6,7),(6,25),-0.0194587 # DEPENDENCYPART_SIBL
(6,7),(6,27),0.00956399 # DEPENDENCYPART_SIBL
(6,7),(6,29),0.0288768 # DEPENDENCYPART_SIBL
(6,7),(6,32),0.00583344 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.000146887 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00630108 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.00482697 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0230713 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0177626 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0245464 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0632784 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.0540454 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.229761 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.00396491 # DEPENDENCYPART_SIBL
(6,8),(6,25),0.0230713 # DEPENDENCYPART_SIBL
(6,8),(6,27),-0.0126834 # DEPENDENCYPART_SIBL
(6,8),(6,29),-0.166133 # DEPENDENCYPART_SIBL
(6,8),(6,32),0.0146565 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00395913 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.252782 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0167331 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.264633 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0142353 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0253106 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0870683 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.0961793 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.0373186 # DEPENDENCYPART_SIBL
(6,10),(6,25),-0.0167331 # DEPENDENCYPART_SIBL
(6,10),(6,27),-0.0261154 # DEPENDENCYPART_SIBL
(6,10),(6,29),0.0319036 # DEPENDENCYPART_SIBL
(6,10),(6,32),-0.0109331 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0340038 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.018567 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0336178 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0171524 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.0117871 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.0607601 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.00809371 # DEPENDENCYPART_SIBL
(6,12),(6,24),-0.0242947 # DEPENDENCYPART_SIBL
(6,12),(6,25),0.018567 # DEPENDENCYPART_SIBL
(6,12),(6,27),-0.0225306 # DEPENDENCYPART_SIBL
(6,12),(6,29),0.0337784 # DEPENDENCYPART_SIBL
(6,12),(6,32),0.0325664 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0206723 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.26235 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.028787 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0242781 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.0927903 # DEPENDENCYPART_SIBL
(6,15),(6,23),-0.0360828 # DEPENDENCYPART_SIBL
(6,15),(6,24),-0.0430406 # DEPENDENCYPART_SIBL
(6,15),(6,25),-0.0206723 # DEPENDENCYPART_SIBL
(6,15),(6,27),-0.0318374 # DEPENDENCYPART_SIBL
(6,15),(6,29),0.0897397 # DEPENDENCYPART_SIBL
(6,15),(6,32),-0.0285158 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.205395 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.0462823 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.196229 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.564138 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.153089 # DEPENDENCYPART_SIBL
(6,16),(6,24),0.65743 # DEPENDENCYPART_SIBL
(6,16),(6,25),-0.406173 # DEPENDENCYPART_SIBL
(6,16),(6,27),0.677138 # DEPENDENCYPART_SIBL
(6,16),(6,29),0.0185719 # DEPENDENCYPART_SIBL
(6,16),(6,32),0.0224112 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.031329 # DEPENDENCYPART_SIBL
(6,18),(6,20),-0.0358041 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.0999054 # DEPENDENCYPART_SIBL
(6,18),(6,23),-0.0835494 # DEPENDENCYPART_SIBL
(6,18),(6,24),-0.0501558 # DEPENDENCYPART_SIBL
(6,18),(6,25),-0.0274733 # DEPENDENCYPART_SIBL
(6,18),(6,27),-0.0389526 # DEPENDENCYPART_SIBL
(6,18),(6,29),0.0467768 # DEPENDENCYPART_SIBL
(6,18),(6,32),-0.0438129 # DEPENDENCYPART_SIBL
(6,19),(6,20),0.377874 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.000704993 # DEPENDENCYPART_SIBL
(6,19),(6,23),-0.0800353 # DEPENDENCYPART_SIBL
(6,19),(6,24),0.0509618 # DEPENDENCYPART_SIBL
(6,19),(6,25),0.220969 # DEPENDENCYPART_SIBL
(6,19),(6,27),0.0430815 # DEPENDENCYPART_SIBL
(6,19),(6,29),-0.126808 # DEPENDENCYPART_SIBL
(6,19),(6,32),-0.0609047 # DEPENDENCYPART_SIBL
(6,20),(6,22),0.582011 # DEPENDENCYPART_SIBL
(6,20),(6,23),0.226345 # DEPENDENCYPART_SIBL
(6,20),(6,24),0.650439 # DEPENDENCYPART_SIBL
(6,20),(6,25),-0.141722 # DEPENDENCYPART_SIBL
(6,20),(6,27),0.661878 # DEPENDENCYPART_SIBL
(6,20),(6,29),0.0906882 # DEPENDENCYPART_SIBL
(6,20),(6,32),0.134243 # DEPENDENCYPART_SIBL
(6,22),(6,23),-0.0291794 # DEPENDENCYPART_SIBL
(6,22),(6,24),-0.0541889 # DEPENDENCYPART_SIBL
(6,22),(6,25),-0.00766822 # DEPENDENCYPART_SIBL
(6,22),(6,27),-0.0524248 # DEPENDENCYPART_SIBL
(6,22),(6,29),-0.000334953 # DEPENDENCYPART_SIBL
(6,22),(6,32),-0.0594457 # DEPENDENCYPART_SIBL
(6,23),(6,24),-0.0132977 # DEPENDENCYPART_SIBL
(6,23),(6,25),0.0170741 # DEPENDENCYPART_SIBL
