# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(8,16),-0.587451 # DEPENDENCYPART_ARC
(8,17),-1.27765 # DEPENDENCYPART_ARC
(8,19),-2.64231 # DEPENDENCYPART_ARC
(9,8),-0.989122 # DEPENDENCYPART_ARC
(10,2),-2.55682 # DEPENDENCYPART_ARC
(10,5),-2.33632 # DEPENDENCYPART_ARC
(10,6),-2.77573 # DEPENDENCYPART_ARC
(10,8),-0.817058 # DEPENDENCYPART_ARC
(10,9),0.974002 # DEPENDENCYPART_ARC
(10,11),-0.940669 # DEPENDENCYPART_ARC
(10,12),-1.85927 # DEPENDENCYPART_ARC
(10,13),-1.85319 # DEPENDENCYPART_ARC
(10,19),-3.02852 # DEPENDENCYPART_ARC
(12,2),-1.19223 # DEPENDENCYPART_ARC
(12,3),-1.39237 # DEPENDENCYPART_ARC
(12,4),-0.573731 # DEPENDENCYPART_ARC
(12,5),-2.39709 # DEPENDENCYPART_ARC
(12,6),-3.20726 # DEPENDENCYPART_ARC
(12,7),-0.858896 # DEPENDENCYPART_ARC
(12,8),-1.64929 # DEPENDENCYPART_ARC
(12,9),-2.17391 # DEPENDENCYPART_ARC
(12,10),-0.289419 # DEPENDENCYPART_ARC
(12,11),-0.194378 # DEPENDENCYPART_ARC
(12,13),0.747914 # DEPENDENCYPART_ARC
(12,15),-0.199707 # DEPENDENCYPART_ARC
(12,16),-0.536096 # DEPENDENCYPART_ARC
(12,17),-1.60522 # DEPENDENCYPART_ARC
(12,18),-1.73561 # DEPENDENCYPART_ARC
(12,19),-1.10519 # DEPENDENCYPART_ARC
(12,21),-1.30813 # DEPENDENCYPART_ARC
(12,22),-1.72337 # DEPENDENCYPART_ARC
(12,23),0.460942 # DEPENDENCYPART_ARC
(13,5),-2.46533 # DEPENDENCYPART_ARC
(13,11),-1.87395 # DEPENDENCYPART_ARC
(13,12),-0.724603 # DEPENDENCYPART_ARC
(13,14),-1.01797 # DEPENDENCYPART_ARC
(13,15),1.81032 # DEPENDENCYPART_ARC
(13,16),-0.324218 # DEPENDENCYPART_ARC
(13,17),-0.474676 # DEPENDENCYPART_ARC
(13,18),-0.926618 # DEPENDENCYPART_ARC
(13,19),-1.60002 # DEPENDENCYPART_ARC
(13,23),-1.70146 # DEPENDENCYPART_ARC
(14,13),-0.808204 # DEPENDENCYPART_ARC
(14,16),-1.40676 # DEPENDENCYPART_ARC
(15,2),-2.74093 # DEPENDENCYPART_ARC
(15,5),-3.123 # DEPENDENCYPART_ARC
(15,8),-2.19169 # DEPENDENCYPART_ARC
(15,9),-3.42179 # DEPENDENCYPART_ARC
(15,11),-2.49224 # DEPENDENCYPART_ARC
(15,13),-1.55963 # DEPENDENCYPART_ARC
(15,14),1.11273 # DEPENDENCYPART_ARC
(15,16),-0.729126 # DEPENDENCYPART_ARC
(15,17),-1.1648 # DEPENDENCYPART_ARC
(15,18),-1.21811 # DEPENDENCYPART_ARC
(15,19),-0.685762 # DEPENDENCYPART_ARC
(15,21),-1.02091 # DEPENDENCYPART_ARC
(15,22),-1.95818 # DEPENDENCYPART_ARC
(15,23),-1.43833 # DEPENDENCYPART_ARC
(17,5),-2.7451 # DEPENDENCYPART_ARC
(17,16),-0.994703 # DEPENDENCYPART_ARC
(17,18),2.67054 # DEPENDENCYPART_ARC
(17,19),-1.0309 # DEPENDENCYPART_ARC
(17,23),-1.44278 # DEPENDENCYPART_ARC
(18,11),-3.13129 # DEPENDENCYPART_ARC
(18,13),-2.57537 # DEPENDENCYPART_ARC
(18,14),-3.45423 # DEPENDENCYPART_ARC
(18,16),-1.85684 # DEPENDENCYPART_ARC
(18,17),-1.29524 # DEPENDENCYPART_ARC
(18,19),0.206164 # DEPENDENCYPART_ARC
(18,21),-0.407752 # DEPENDENCYPART_ARC
(18,22),-0.160352 # DEPENDENCYPART_ARC
(18,23),-1.5707 # DEPENDENCYPART_ARC
(19,17),-1.28084 # DEPENDENCYPART_ARC
(19,21),1.99547 # DEPENDENCYPART_ARC
(19,22),-1.16703 # DEPENDENCYPART_ARC
(20,17),-1.88754 # DEPENDENCYPART_ARC
(20,19),-1.43363 # DEPENDENCYPART_ARC
(21,5),-2.21236 # DEPENDENCYPART_ARC
(21,11),-3.16439 # DEPENDENCYPART_ARC
(21,17),-2.37486 # DEPENDENCYPART_ARC
(21,20),1.90561 # DEPENDENCYPART_ARC
(21,22),2.23612 # DEPENDENCYPART_ARC
(21,23),-0.684769 # DEPENDENCYPART_ARC
(22,13),-1.60053 # DEPENDENCYPART_ARC
(22,17),-2.45575 # DEPENDENCYPART_ARC
(22,20),-1.1883 # DEPENDENCYPART_ARC
(22,23),-1.5186 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.413932 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.417921 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.936835 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0558571 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.067989 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.142288 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00477819 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.152995 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0558571 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0505223 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00477819 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0248044 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0454174 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0316497 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.36381 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0432995 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.359822 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0414464 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0302927 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0432995 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.268878 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.00949533 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0230346 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0469747 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0192282 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0741114 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0405837 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0469747 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0675878 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0463556 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0399959 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0146277 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0216901 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0136109 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0399959 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0334589 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0129945 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0264859 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0446269 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00389589 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0240783 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.00569135 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.015156 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0172091 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00960796 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0406371 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0365227 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.0185963 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0302927 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0432995 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.268878 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.00949533 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0434321 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0641312 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0339202 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00569135 # DEPENDENCYPART_SIBL
(2,13),(2,23),-0.015156 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.013223 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0414333 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0912009 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0612911 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0127969 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.12535 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.353086 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0754136 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0439291 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0789637 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0403156 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0730899 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0439291 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0760491 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0379924 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0439291 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0543573 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.49661 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.704771 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0238155 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0268607 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0238156 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.031888 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0290622 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0268607 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0128964 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0069274 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0268607 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0256497 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.175229 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0036507 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.019487 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0036507 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.185374 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0118253 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.019487 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0402281 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0305982 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.019487 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.491352 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0170202 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.043487 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0170202 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0762897 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0153633 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.043487 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0150604 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.03052 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.043487 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.502323 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0775533 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.25531 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0158031 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0445579 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0775533 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.239319 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0214628 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0775533 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.01852 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0590441 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0511796 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0306942 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.201756 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0555922 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.004687 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.201756 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0110261 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0165703 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0450896 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0739656 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.24103 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0154522 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0739656 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0198477 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.040116 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.100635 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0351547 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.20862 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.100635 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0675437 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0148601 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0292457 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.00512696 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0148601 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.0117819 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0555922 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.004687 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.201756 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.0110261 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0633626 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.00189565 # DEPENDENCYPART_SIBL
(5,15),(5,23),0.021693 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.130228 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.014634 # DEPENDENCYPART_SIBL
(5,19),(5,23),-0.0110261 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.503312 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.333063 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.335127 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0638572 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.15874 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.172339 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0893896 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0431943 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00675078 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.000576341 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00177814 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0431943 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00338061 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0243979 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0223666 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0431943 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.00314308 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0376531 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0473815 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.116951 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.366397 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0324897 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0265777 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0537611 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.334721 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.11196 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0265777 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.033148 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0297329 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0307291 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0265777 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0513873 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.00736531 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.316267 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.269605 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0339573 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0934025 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.059948 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.115749 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0349904 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0934025 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0615442 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0268352 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0903531 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0934025 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0540596 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0492048 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.29401 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0904057 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0380251 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0374093 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0418475 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.105333 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0380251 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0386692 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0333412 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0973289 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0380251 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0329395 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.124665 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.0214185 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.400219 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.299421 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0150484 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0147523 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.400219 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.303348 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0244334 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.312538 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.400219 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.315035 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0672907 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.01167 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.00877594 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0173065 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00834711 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0364845 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0104987 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0189411 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0174028 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0364845 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.0134216 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0696865 # DEPENDENCYPART_SIBL
(7,8),(7,23),0.00656583 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0274385 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00590898 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0513751 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.00987649 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0471704 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0149211 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0513751 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.00759624 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.0244818 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.010162 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0414917 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0372633 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.367592 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.272076 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0442805 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0372633 # DEPENDENCYPART_SIBL
(7,11),(7,21),0.375432 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.00102471 # DEPENDENCYPART_SIBL
(7,11),(7,23),0.00659315 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0465809 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0266292 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0647549 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0492406 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0465809 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.0286185 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.00387149 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.0265829 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0104987 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0189411 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0174028 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0364845 # DEPENDENCYPART_SIBL
(7,13),(7,21),0.0134216 # DEPENDENCYPART_SIBL
(7,13),(7,22),0.0696865 # DEPENDENCYPART_SIBL
(7,13),(7,23),0.00656583 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.0840708 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.0324086 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0830355 # DEPENDENCYPART_SIBL
(7,15),(7,21),0.0109482 # DEPENDENCYPART_SIBL
(7,15),(7,22),0.0273084 # DEPENDENCYPART_SIBL
(7,15),(7,23),0.00537445 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.233705 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.246932 # DEPENDENCYPART_SIBL
(7,16),(7,21),0.604707 # DEPENDENCYPART_SIBL
(7,16),(7,22),0.249329 # DEPENDENCYPART_SIBL
(7,16),(7,23),-0.00704129 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0759147 # DEPENDENCYPART_SIBL
(7,17),(7,21),0.00851173 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.0288725 # DEPENDENCYPART_SIBL
(7,17),(7,23),0.0240525 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.0134216 # DEPENDENCYPART_SIBL
(7,19),(7,22),0.0696865 # DEPENDENCYPART_SIBL
(7,19),(7,23),0.00656583 # DEPENDENCYPART_SIBL
(7,21),(7,22),0.0274288 # DEPENDENCYPART_SIBL
(7,21),(7,23),-0.00681233 # DEPENDENCYPART_SIBL
(7,22),(7,23),-0.0195896 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.165603 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.125595 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0634092 # DEPENDENCYPART_SIBL
