# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,28,33,28,33,34,2,
(3,21),-2.60509 # DEPENDENCYPART_ARC
(4,3),-2.03524 # DEPENDENCYPART_ARC
(4,5),2.31006 # DEPENDENCYPART_ARC
(4,6),-0.0610903 # DEPENDENCYPART_ARC
(4,7),0.305813 # DEPENDENCYPART_ARC
(4,8),-1.33938 # DEPENDENCYPART_ARC
(4,9),-2.71561 # DEPENDENCYPART_ARC
(4,10),-1.14406 # DEPENDENCYPART_ARC
(4,11),-1.9483 # DEPENDENCYPART_ARC
(4,12),-1.27922 # DEPENDENCYPART_ARC
(4,22),-3.97554 # DEPENDENCYPART_ARC
(4,28),-3.58 # DEPENDENCYPART_ARC
(5,4),-0.644052 # DEPENDENCYPART_ARC
(5,6),-1.05096 # DEPENDENCYPART_ARC
(5,7),-1.69112 # DEPENDENCYPART_ARC
(5,8),-1.35773 # DEPENDENCYPART_ARC
(5,9),-1.31225 # DEPENDENCYPART_ARC
(5,10),-1.61597 # DEPENDENCYPART_ARC
(5,11),-1.95814 # DEPENDENCYPART_ARC
(5,12),-1.98656 # DEPENDENCYPART_ARC
(5,13),-1.92727 # DEPENDENCYPART_ARC
(5,14),-1.02826 # DEPENDENCYPART_ARC
(5,15),-2.40662 # DEPENDENCYPART_ARC
(5,21),-3.24733 # DEPENDENCYPART_ARC
(7,6),-0.80385 # DEPENDENCYPART_ARC
(7,8),1.89635 # DEPENDENCYPART_ARC
(7,9),-1.21954 # DEPENDENCYPART_ARC
(7,10),-0.753031 # DEPENDENCYPART_ARC
(7,11),-1.64493 # DEPENDENCYPART_ARC
(7,12),-1.08941 # DEPENDENCYPART_ARC
(7,14),-1.54386 # DEPENDENCYPART_ARC
(7,16),-2.68386 # DEPENDENCYPART_ARC
(7,19),-1.27367 # DEPENDENCYPART_ARC
(7,20),-1.79737 # DEPENDENCYPART_ARC
(7,22),-3.69748 # DEPENDENCYPART_ARC
(7,28),-3.22026 # DEPENDENCYPART_ARC
(8,6),-2.28903 # DEPENDENCYPART_ARC
(8,9),0.285869 # DEPENDENCYPART_ARC
(8,10),-1.18896 # DEPENDENCYPART_ARC
(8,11),-1.47266 # DEPENDENCYPART_ARC
(8,12),-2.10108 # DEPENDENCYPART_ARC
(8,13),-1.33762 # DEPENDENCYPART_ARC
(8,14),-0.449985 # DEPENDENCYPART_ARC
(8,15),-1.3354 # DEPENDENCYPART_ARC
(8,16),-2.31757 # DEPENDENCYPART_ARC
(8,18),-1.9508 # DEPENDENCYPART_ARC
(8,26),-1.71542 # DEPENDENCYPART_ARC
(8,27),-3.7913 # DEPENDENCYPART_ARC
(9,4),-2.67609 # DEPENDENCYPART_ARC
(9,6),-1.97312 # DEPENDENCYPART_ARC
(9,7),-2.13865 # DEPENDENCYPART_ARC
(9,10),-1.08571 # DEPENDENCYPART_ARC
(9,11),-1.52006 # DEPENDENCYPART_ARC
(9,12),-2.02708 # DEPENDENCYPART_ARC
(9,14),-1.32443 # DEPENDENCYPART_ARC
(9,16),-2.70132 # DEPENDENCYPART_ARC
(9,21),-2.73301 # DEPENDENCYPART_ARC
(9,22),-3.3142 # DEPENDENCYPART_ARC
(10,9),-1.17844 # DEPENDENCYPART_ARC
(11,4),-2.04456 # DEPENDENCYPART_ARC
(11,7),-2.05498 # DEPENDENCYPART_ARC
(11,9),-1.7502 # DEPENDENCYPART_ARC
(11,10),-0.486667 # DEPENDENCYPART_ARC
(11,12),-0.474763 # DEPENDENCYPART_ARC
(11,13),-1.32612 # DEPENDENCYPART_ARC
(11,14),-1.32864 # DEPENDENCYPART_ARC
(11,15),-2.08832 # DEPENDENCYPART_ARC
(11,16),-2.10656 # DEPENDENCYPART_ARC
(11,19),-1.44881 # DEPENDENCYPART_ARC
(11,20),-1.51514 # DEPENDENCYPART_ARC
(11,21),-2.25782 # DEPENDENCYPART_ARC
(11,22),-3.18089 # DEPENDENCYPART_ARC
(12,4),-2.44513 # DEPENDENCYPART_ARC
(12,6),-2.24426 # DEPENDENCYPART_ARC
(12,7),-2.37323 # DEPENDENCYPART_ARC
(12,10),-0.951765 # DEPENDENCYPART_ARC
(12,11),-0.223847 # DEPENDENCYPART_ARC
(12,13),1.62452 # DEPENDENCYPART_ARC
(12,14),-0.918328 # DEPENDENCYPART_ARC
(12,15),-2.16519 # DEPENDENCYPART_ARC
(12,16),-2.29661 # DEPENDENCYPART_ARC
(12,19),-0.825637 # DEPENDENCYPART_ARC
(12,20),-1.57813 # DEPENDENCYPART_ARC
(12,21),-3.05538 # DEPENDENCYPART_ARC
(12,22),-3.19884 # DEPENDENCYPART_ARC
(12,24),-3.88899 # DEPENDENCYPART_ARC
(12,28),-3.2716 # DEPENDENCYPART_ARC
(12,33),-3.59411 # DEPENDENCYPART_ARC
(13,11),-1.73796 # DEPENDENCYPART_ARC
(13,14),0.958735 # DEPENDENCYPART_ARC
(13,15),-0.066929 # DEPENDENCYPART_ARC
(13,16),-1.12128 # DEPENDENCYPART_ARC
(13,18),-1.18942 # DEPENDENCYPART_ARC
(13,19),-1.38464 # DEPENDENCYPART_ARC
(13,20),-1.58455 # DEPENDENCYPART_ARC
(13,21),-2.50161 # DEPENDENCYPART_ARC
(13,22),-2.66673 # DEPENDENCYPART_ARC
(13,24),-3.12407 # DEPENDENCYPART_ARC
(13,26),-1.33033 # DEPENDENCYPART_ARC
(13,27),-3.20367 # DEPENDENCYPART_ARC
(13,35),-2.72969 # DEPENDENCYPART_ARC
(14,15),-1.09758 # DEPENDENCYPART_ARC
(15,7),-2.01655 # DEPENDENCYPART_ARC
(15,14),-0.385852 # DEPENDENCYPART_ARC
(15,16),-1.2208 # DEPENDENCYPART_ARC
(15,18),-1.42656 # DEPENDENCYPART_ARC
(15,20),-1.64838 # DEPENDENCYPART_ARC
(15,21),-2.88772 # DEPENDENCYPART_ARC
(16,18),2.00753 # DEPENDENCYPART_ARC
(16,19),-0.876937 # DEPENDENCYPART_ARC
(16,20),-1.2789 # DEPENDENCYPART_ARC
(16,21),-2.46955 # DEPENDENCYPART_ARC
(16,22),-2.10277 # DEPENDENCYPART_ARC
(16,24),-2.60964 # DEPENDENCYPART_ARC
(16,26),-1.58443 # DEPENDENCYPART_ARC
(16,28),-3.23965 # DEPENDENCYPART_ARC
(17,15),-2.19913 # DEPENDENCYPART_ARC
(18,7),-2.48844 # DEPENDENCYPART_ARC
(18,12),-2.37383 # DEPENDENCYPART_ARC
(18,17),1.71687 # DEPENDENCYPART_ARC
(18,19),-0.766395 # DEPENDENCYPART_ARC
(18,20),-1.56202 # DEPENDENCYPART_ARC
(18,21),-2.31135 # DEPENDENCYPART_ARC
(18,22),-2.12755 # DEPENDENCYPART_ARC
(18,24),-1.92354 # DEPENDENCYPART_ARC
(18,26),-1.60749 # DEPENDENCYPART_ARC
(18,27),-2.9415 # DEPENDENCYPART_ARC
(20,19),-1.72098 # DEPENDENCYPART_ARC
(21,2),-2.92919 # DEPENDENCYPART_ARC
(21,6),-2.95928 # DEPENDENCYPART_ARC
(21,7),-3.09834 # DEPENDENCYPART_ARC
(21,10),-3.39205 # DEPENDENCYPART_ARC
(21,11),-3.1769 # DEPENDENCYPART_ARC
(21,12),-3.29391 # DEPENDENCYPART_ARC
(21,15),-2.46296 # DEPENDENCYPART_ARC
(21,16),-2.20758 # DEPENDENCYPART_ARC
(21,18),-2.23535 # DEPENDENCYPART_ARC
(21,19),-2.00299 # DEPENDENCYPART_ARC
(21,20),-0.569396 # DEPENDENCYPART_ARC
(21,22),1.25191 # DEPENDENCYPART_ARC
(21,23),-0.0514877 # DEPENDENCYPART_ARC
(21,24),-0.399855 # DEPENDENCYPART_ARC
(21,25),-1.31516 # DEPENDENCYPART_ARC
(21,26),-1.10224 # DEPENDENCYPART_ARC
(21,27),-1.92289 # DEPENDENCYPART_ARC
(21,28),-0.62885 # DEPENDENCYPART_ARC
(21,30),-1.79008 # DEPENDENCYPART_ARC
(21,31),-0.336965 # DEPENDENCYPART_ARC
(21,32),-2.42353 # DEPENDENCYPART_ARC
(21,35),-2.86784 # DEPENDENCYPART_ARC
(21,36),0.0480252 # DEPENDENCYPART_ARC
(22,23),2.69779 # DEPENDENCYPART_ARC
(22,24),-0.901842 # DEPENDENCYPART_ARC
(22,25),-0.139217 # DEPENDENCYPART_ARC
(22,26),-1.40045 # DEPENDENCYPART_ARC
(22,27),-2.31152 # DEPENDENCYPART_ARC
(22,28),-2.20433 # DEPENDENCYPART_ARC
(22,31),-1.5515 # DEPENDENCYPART_ARC
(22,33),-2.43444 # DEPENDENCYPART_ARC
(23,24),1.08639 # DEPENDENCYPART_ARC
(23,25),-0.0316666 # DEPENDENCYPART_ARC
(23,26),-0.080319 # DEPENDENCYPART_ARC
(23,27),-0.445806 # DEPENDENCYPART_ARC
(23,28),-0.832066 # DEPENDENCYPART_ARC
(23,29),-2.16072 # DEPENDENCYPART_ARC
(23,30),-1.06456 # DEPENDENCYPART_ARC
(23,31),-1.21654 # DEPENDENCYPART_ARC
(23,32),-2.21552 # DEPENDENCYPART_ARC
(23,33),-2.2639 # DEPENDENCYPART_ARC
(23,34),-2.47469 # DEPENDENCYPART_ARC
(23,35),-1.01303 # DEPENDENCYPART_ARC
(24,25),2.52956 # DEPENDENCYPART_ARC
(24,26),-1.25233 # DEPENDENCYPART_ARC
(24,27),-1.49927 # DEPENDENCYPART_ARC
(24,28),-2.62342 # DEPENDENCYPART_ARC
(24,33),-2.30665 # DEPENDENCYPART_ARC
(25,24),-0.639269 # DEPENDENCYPART_ARC
(25,26),1.024 # DEPENDENCYPART_ARC
(25,27),0.371198 # DEPENDENCYPART_ARC
(25,28),-0.372927 # DEPENDENCYPART_ARC
(25,29),-1.74741 # DEPENDENCYPART_ARC
(25,30),-0.450006 # DEPENDENCYPART_ARC
(25,31),-1.21829 # DEPENDENCYPART_ARC
(25,32),-2.01326 # DEPENDENCYPART_ARC
(25,33),-1.61394 # DEPENDENCYPART_ARC
(25,34),-1.91945 # DEPENDENCYPART_ARC
(25,35),-0.560346 # DEPENDENCYPART_ARC
(27,24),-1.91176 # DEPENDENCYPART_ARC
(27,26),-0.621932 # DEPENDENCYPART_ARC
(27,28),-0.558693 # DEPENDENCYPART_ARC
(27,29),-2.1985 # DEPENDENCYPART_ARC
(27,30),-1.10256 # DEPENDENCYPART_ARC
(27,31),-1.19444 # DEPENDENCYPART_ARC
(27,32),-2.21034 # DEPENDENCYPART_ARC
(27,33),-2.01273 # DEPENDENCYPART_ARC
(27,34),-1.96942 # DEPENDENCYPART_ARC
(27,35),-2.53722 # DEPENDENCYPART_ARC
(28,27),-1.76051 # DEPENDENCYPART_ARC
(28,29),-0.992515 # DEPENDENCYPART_ARC
(28,30),1.90776 # DEPENDENCYPART_ARC
(28,31),-0.812753 # DEPENDENCYPART_ARC
(28,32),-1.65918 # DEPENDENCYPART_ARC
(28,33),-1.45732 # DEPENDENCYPART_ARC
(28,34),-1.07823 # DEPENDENCYPART_ARC
(28,35),-1.88691 # DEPENDENCYPART_ARC
(29,32),-1.40623 # DEPENDENCYPART_ARC
(29,33),-1.51866 # DEPENDENCYPART_ARC
(30,2),-2.91977 # DEPENDENCYPART_ARC
(30,24),-2.36975 # DEPENDENCYPART_ARC
(30,27),-2.48126 # DEPENDENCYPART_ARC
(30,29),1.01322 # DEPENDENCYPART_ARC
(30,31),-0.438204 # DEPENDENCYPART_ARC
(30,32),-1.46332 # DEPENDENCYPART_ARC
(30,33),-0.590606 # DEPENDENCYPART_ARC
(30,34),-0.915873 # DEPENDENCYPART_ARC
(30,35),0.0119453 # DEPENDENCYPART_ARC
(32,31),-1.05648 # DEPENDENCYPART_ARC
(32,33),-0.374106 # DEPENDENCYPART_ARC
(32,34),-1.27561 # DEPENDENCYPART_ARC
(33,29),-2.99476 # DEPENDENCYPART_ARC
(33,31),-1.54903 # DEPENDENCYPART_ARC
(33,32),-0.467045 # DEPENDENCYPART_ARC
(33,34),2.34888 # DEPENDENCYPART_ARC
(33,35),-0.495508 # DEPENDENCYPART_ARC
(34,29),-2.56659 # DEPENDENCYPART_ARC
(34,32),-0.743299 # DEPENDENCYPART_ARC
(34,35),1.42341 # DEPENDENCYPART_ARC
(35,32),-1.16033 # DEPENDENCYPART_ARC
(2,1),(2,3),-0.116464 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0511654 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.115965 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.130508 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0511654 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.115961 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0489195 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0922654 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.131458 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0511654 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.130508 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.115961 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0736875 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0922654 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.130508 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0361908 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0833089 # DEPENDENCYPART_SIBL
(2,1),(2,31),0.130508 # DEPENDENCYPART_SIBL
(2,1),(2,36),0.105804 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.075779 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.240469 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00920985 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.075779 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.243804 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0444527 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00933865 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0668253 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.075779 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00920985 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.243804 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0873675 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.00933865 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.00920985 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0209927 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0559607 # DEPENDENCYPART_SIBL
(2,3),(2,31),-0.00920985 # DEPENDENCYPART_SIBL
(2,3),(2,36),0.000693054 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0478719 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0285278 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0120816 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0476123 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0534955 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0363981 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00242115 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0120816 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0285278 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0473492 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0248398 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0363981 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0285278 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0226561 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0782666 # DEPENDENCYPART_SIBL
(2,4),(2,31),0.0285278 # DEPENDENCYPART_SIBL
(2,4),(2,36),-0.0181667 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0119541 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0661545 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.239384 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.046948 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0177692 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0590746 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0661545 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0119541 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.239384 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0766653 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0177692 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0119541 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0227273 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0452579 # DEPENDENCYPART_SIBL
(2,5),(2,31),-0.0119541 # DEPENDENCYPART_SIBL
(2,5),(2,36),-0.00436207 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0433963 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.193321 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.110691 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0696894 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0436776 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0433963 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.421297 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.193631 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0375915 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0696894 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.421297 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.628229 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0116325 # DEPENDENCYPART_SIBL
(2,6),(2,31),-0.421297 # DEPENDENCYPART_SIBL
(2,6),(2,36),0.0119541 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0476123 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0534955 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0363981 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00242115 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0120816 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0285278 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0473492 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0248398 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0363981 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0285278 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0226561 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0782666 # DEPENDENCYPART_SIBL
(2,7),(2,31),0.0285278 # DEPENDENCYPART_SIBL
(2,7),(2,36),-0.0181667 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0451005 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00771518 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0609344 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0751516 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.00868206 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.24417 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.086737 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.00771518 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.00868206 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0207505 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0553302 # DEPENDENCYPART_SIBL
(2,8),(2,31),-0.00868206 # DEPENDENCYPART_SIBL
(2,8),(2,36),0.00190684 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0537413 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0467022 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.084011 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0400145 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0615831 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.00631125 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0537413 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0400145 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.00849697 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.00523912 # DEPENDENCYPART_SIBL
(2,9),(2,31),-0.0400145 # DEPENDENCYPART_SIBL
(2,9),(2,36),-0.0156332 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.135697 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.146628 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.230665 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.015723 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0529135 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0713976 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.230665 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0691731 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.132357 # DEPENDENCYPART_SIBL
(2,10),(2,31),0.230665 # DEPENDENCYPART_SIBL
(2,10),(2,36),-0.0271914 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0189071 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0161351 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0661042 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0953879 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0192831 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0161351 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0964671 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0241332 # DEPENDENCYPART_SIBL
(2,11),(2,31),-0.0161351 # DEPENDENCYPART_SIBL
(2,11),(2,36),-0.00448359 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0285278 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0473492 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0248398 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0363981 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0285278 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0226561 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.0782666 # DEPENDENCYPART_SIBL
(2,12),(2,31),0.0285278 # DEPENDENCYPART_SIBL
(2,12),(2,36),-0.0181667 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.193631 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0375915 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0696894 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.421297 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.628229 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.0116325 # DEPENDENCYPART_SIBL
(2,14),(2,31),-0.421297 # DEPENDENCYPART_SIBL
(2,14),(2,36),0.0119541 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.086813 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00698148 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.00815175 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.0207505 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.0554062 # DEPENDENCYPART_SIBL
(2,15),(2,31),-0.00815175 # DEPENDENCYPART_SIBL
(2,15),(2,36),0.00227413 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0125193 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.017835 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0276806 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.121217 # DEPENDENCYPART_SIBL
(2,16),(2,31),0.017835 # DEPENDENCYPART_SIBL
(2,16),(2,36),0.00685927 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.230665 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0691731 # DEPENDENCYPART_SIBL
(2,19),(2,22),-0.132357 # DEPENDENCYPART_SIBL
(2,19),(2,31),0.230665 # DEPENDENCYPART_SIBL
(2,19),(2,36),-0.0271914 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.628229 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.0116325 # DEPENDENCYPART_SIBL
(2,20),(2,31),-0.421297 # DEPENDENCYPART_SIBL
(2,20),(2,36),0.0119541 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.00782573 # DEPENDENCYPART_SIBL
(2,21),(2,31),0.00343095 # DEPENDENCYPART_SIBL
(2,21),(2,36),0.020804 # DEPENDENCYPART_SIBL
(2,22),(2,31),0.00843001 # DEPENDENCYPART_SIBL
(2,22),(2,36),-0.0242276 # DEPENDENCYPART_SIBL
(2,31),(2,36),0.0119541 # DEPENDENCYPART_SIBL
