# _root_ En el cas del disc de Belén_Alonso , la fotografia de llibret és de Julia_Llona i el disseny de Juanjo_Melgar ; en el disc de Díaz , la fotografia i el disseny del llibret són de Carlos_Roche .
#goldHeads=13,3,1,3,4,3,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,29,33,13,35,36,13,
#predictedHeads=13,3,1,3,4,5,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,32,33,13,35,36,13,
(14,15),2.11646 # DEPENDENCYPART_ARC
(14,16),-1.1649 # DEPENDENCYPART_ARC
(14,18),-1.61633 # DEPENDENCYPART_ARC
(14,19),-1.57284 # DEPENDENCYPART_ARC
(14,21),-1.02277 # DEPENDENCYPART_ARC
(14,22),-2.57186 # DEPENDENCYPART_ARC
(14,25),-2.36288 # DEPENDENCYPART_ARC
(14,33),-3.12244 # DEPENDENCYPART_ARC
(14,36),-3.32046 # DEPENDENCYPART_ARC
(15,11),-1.56169 # DEPENDENCYPART_ARC
(15,14),-0.433528 # DEPENDENCYPART_ARC
(15,16),-0.184997 # DEPENDENCYPART_ARC
(15,18),-1.04907 # DEPENDENCYPART_ARC
(15,19),-1.08288 # DEPENDENCYPART_ARC
(15,20),-1.39089 # DEPENDENCYPART_ARC
(15,21),-1.26398 # DEPENDENCYPART_ARC
(15,22),-2.06405 # DEPENDENCYPART_ARC
(15,24),-1.81625 # DEPENDENCYPART_ARC
(15,25),-2.37804 # DEPENDENCYPART_ARC
(15,26),-2.07446 # DEPENDENCYPART_ARC
(15,29),-2.03089 # DEPENDENCYPART_ARC
(15,30),-1.20648 # DEPENDENCYPART_ARC
(15,32),-3.38487 # DEPENDENCYPART_ARC
(15,34),-3.46902 # DEPENDENCYPART_ARC
(17,14),-2.07484 # DEPENDENCYPART_ARC
(17,19),-1.40382 # DEPENDENCYPART_ARC
(18,1),-1.71838 # DEPENDENCYPART_ARC
(18,13),-2.47724 # DEPENDENCYPART_ARC
(18,14),-1.76729 # DEPENDENCYPART_ARC
(18,16),-1.18764 # DEPENDENCYPART_ARC
(18,17),1.54363 # DEPENDENCYPART_ARC
(18,19),1.13398 # DEPENDENCYPART_ARC
(18,20),-0.671489 # DEPENDENCYPART_ARC
(18,21),-0.551169 # DEPENDENCYPART_ARC
(18,22),-1.00798 # DEPENDENCYPART_ARC
(18,24),-0.755714 # DEPENDENCYPART_ARC
(18,25),-0.924055 # DEPENDENCYPART_ARC
(18,26),-1.85795 # DEPENDENCYPART_ARC
(18,27),-0.881983 # DEPENDENCYPART_ARC
(18,29),-1.56428 # DEPENDENCYPART_ARC
(18,30),-0.250505 # DEPENDENCYPART_ARC
(18,32),-1.80214 # DEPENDENCYPART_ARC
(18,33),-1.99049 # DEPENDENCYPART_ARC
(18,34),-2.28392 # DEPENDENCYPART_ARC
(18,35),-2.03906 # DEPENDENCYPART_ARC
(19,17),-1.83617 # DEPENDENCYPART_ARC
(19,18),-1.08919 # DEPENDENCYPART_ARC
(19,20),1.87014 # DEPENDENCYPART_ARC
(19,21),-1.08811 # DEPENDENCYPART_ARC
(19,22),-1.69807 # DEPENDENCYPART_ARC
(19,36),-2.87138 # DEPENDENCYPART_ARC
(20,17),-1.98374 # DEPENDENCYPART_ARC
(20,18),-1.19687 # DEPENDENCYPART_ARC
(20,22),-2.18163 # DEPENDENCYPART_ARC
(20,25),-2.22557 # DEPENDENCYPART_ARC
(20,29),-2.03291 # DEPENDENCYPART_ARC
(20,30),-0.904186 # DEPENDENCYPART_ARC
(20,32),-3.08736 # DEPENDENCYPART_ARC
(22,17),-3.93342 # DEPENDENCYPART_ARC
(22,21),-0.663665 # DEPENDENCYPART_ARC
(22,23),-1.48832 # DEPENDENCYPART_ARC
(22,24),1.58655 # DEPENDENCYPART_ARC
(22,25),-1.63951 # DEPENDENCYPART_ARC
(22,26),-0.975096 # DEPENDENCYPART_ARC
(22,27),0.0908676 # DEPENDENCYPART_ARC
(23,24),-0.477763 # DEPENDENCYPART_ARC
(23,25),-1.09264 # DEPENDENCYPART_ARC
(24,13),-2.40722 # DEPENDENCYPART_ARC
(24,19),-2.1422 # DEPENDENCYPART_ARC
(24,21),-1.47133 # DEPENDENCYPART_ARC
(24,23),0.845458 # DEPENDENCYPART_ARC
(24,25),1.00871 # DEPENDENCYPART_ARC
(24,26),-0.723944 # DEPENDENCYPART_ARC
(24,27),-0.638214 # DEPENDENCYPART_ARC
(24,29),-0.927165 # DEPENDENCYPART_ARC
(24,30),-0.139725 # DEPENDENCYPART_ARC
(24,32),-1.25767 # DEPENDENCYPART_ARC
(24,33),-1.33257 # DEPENDENCYPART_ARC
(24,34),-1.73284 # DEPENDENCYPART_ARC
(24,35),-2.13417 # DEPENDENCYPART_ARC
(25,23),-1.76692 # DEPENDENCYPART_ARC
(25,26),1.85947 # DEPENDENCYPART_ARC
(25,27),-1.36183 # DEPENDENCYPART_ARC
(25,29),-1.26605 # DEPENDENCYPART_ARC
(25,33),-2.53881 # DEPENDENCYPART_ARC
(25,36),-2.36847 # DEPENDENCYPART_ARC
(26,23),-2.34749 # DEPENDENCYPART_ARC
(26,27),-1.10622 # DEPENDENCYPART_ARC
(26,29),-0.602954 # DEPENDENCYPART_ARC
(26,30),-0.00931684 # DEPENDENCYPART_ARC
(26,32),-1.75881 # DEPENDENCYPART_ARC
(26,33),-1.93767 # DEPENDENCYPART_ARC
(26,34),-2.25999 # DEPENDENCYPART_ARC
(26,35),-2.09424 # DEPENDENCYPART_ARC
(28,25),-2.49517 # DEPENDENCYPART_ARC
(28,31),-2.04867 # DEPENDENCYPART_ARC
(29,13),-2.47992 # DEPENDENCYPART_ARC
(29,22),-1.88321 # DEPENDENCYPART_ARC
(29,23),-4.24518 # DEPENDENCYPART_ARC
(29,25),-2.18784 # DEPENDENCYPART_ARC
(29,27),-1.02598 # DEPENDENCYPART_ARC
(29,28),1.95765 # DEPENDENCYPART_ARC
(29,30),0.423663 # DEPENDENCYPART_ARC
(29,32),-0.492102 # DEPENDENCYPART_ARC
(29,33),-0.0972876 # DEPENDENCYPART_ARC
(29,34),-1.01083 # DEPENDENCYPART_ARC
(29,35),-1.52267 # DEPENDENCYPART_ARC
(29,36),-1.77748 # DEPENDENCYPART_ARC
(31,32),-1.08999 # DEPENDENCYPART_ARC
(31,33),-1.38245 # DEPENDENCYPART_ARC
(32,28),-1.9492 # DEPENDENCYPART_ARC
(32,30),-1.17368 # DEPENDENCYPART_ARC
(32,31),1.5576 # DEPENDENCYPART_ARC
(32,33),0.903037 # DEPENDENCYPART_ARC
(32,34),-0.358906 # DEPENDENCYPART_ARC
(32,35),-1.49708 # DEPENDENCYPART_ARC
(32,36),-1.16926 # DEPENDENCYPART_ARC
(33,31),-2.06709 # DEPENDENCYPART_ARC
(33,34),2.17245 # DEPENDENCYPART_ARC
(33,35),-1.13822 # DEPENDENCYPART_ARC
(33,36),-1.71511 # DEPENDENCYPART_ARC
(34,28),-3.65451 # DEPENDENCYPART_ARC
(34,31),-2.14124 # DEPENDENCYPART_ARC
(34,35),-1.69046 # DEPENDENCYPART_ARC
(34,36),-1.47831 # DEPENDENCYPART_ARC
(35,3),-1.05744 # DEPENDENCYPART_ARC
(35,5),-1.87818 # DEPENDENCYPART_ARC
(35,8),-3.12165 # DEPENDENCYPART_ARC
(35,10),-1.13492 # DEPENDENCYPART_ARC
(35,13),-1.52678 # DEPENDENCYPART_ARC
(35,16),-0.903069 # DEPENDENCYPART_ARC
(35,18),-1.317 # DEPENDENCYPART_ARC
(35,20),-1.87486 # DEPENDENCYPART_ARC
(35,22),-1.08869 # DEPENDENCYPART_ARC
(35,24),-1.46334 # DEPENDENCYPART_ARC
(35,26),-2.01189 # DEPENDENCYPART_ARC
(35,27),-2.34912 # DEPENDENCYPART_ARC
(35,29),-1.00699 # DEPENDENCYPART_ARC
(35,30),-0.746858 # DEPENDENCYPART_ARC
(35,31),-3.04252 # DEPENDENCYPART_ARC
(35,32),-0.685161 # DEPENDENCYPART_ARC
(35,33),-1.27368 # DEPENDENCYPART_ARC
(35,34),-0.653739 # DEPENDENCYPART_ARC
(35,36),0.616976 # DEPENDENCYPART_ARC
(35,37),0.0833621 # DEPENDENCYPART_ARC
(35,38),-0.0814247 # DEPENDENCYPART_ARC
(36,35),-0.496475 # DEPENDENCYPART_ARC
(36,37),2.31186 # DEPENDENCYPART_ARC
(37,36),-0.488763 # DEPENDENCYPART_ARC
(0,1),(0,10),-0.0153928 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.431546 # DEPENDENCYPART_SIBL
(0,1),(0,35),-0.43767 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.443077 # DEPENDENCYPART_SIBL
(0,10),(0,35),-0.420902 # DEPENDENCYPART_SIBL
(0,13),(0,35),-0.984037 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.158052 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00678209 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.220738 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0817585 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0987907 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.00416856 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0703109 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.163781 # DEPENDENCYPART_SIBL
(1,2),(1,27),-0.0987907 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0388015 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.958642 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.120368 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.178984 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0940279 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0418725 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.204863 # DEPENDENCYPART_SIBL
(1,3),(1,27),0.178984 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.224624 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.159612 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0104358 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.1552 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0101541 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.11797 # DEPENDENCYPART_SIBL
(1,4),(1,27),0.0104358 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.115594 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00796521 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0901837 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0710315 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.211723 # DEPENDENCYPART_SIBL
(1,5),(1,27),0.00796521 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0138705 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.11038 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.00545109 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.019693 # DEPENDENCYPART_SIBL
(1,6),(1,27),0.0138705 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0879466 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.425788 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.513464 # DEPENDENCYPART_SIBL
(1,8),(1,27),-0.522645 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.0358102 # DEPENDENCYPART_SIBL
(1,16),(1,22),1.1996 # DEPENDENCYPART_SIBL
(1,16),(1,27),-0.0504832 # DEPENDENCYPART_SIBL
(1,21),(1,22),0.392726 # DEPENDENCYPART_SIBL
(1,21),(1,27),-0.308534 # DEPENDENCYPART_SIBL
(1,22),(1,27),0.183458 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0929811 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.114137 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.304618 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0261185 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00404526 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00616275 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0362764 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0107266 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.137348 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00761591 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0362764 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0631716 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0586173 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.00878741 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.279836 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.168359 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.374618 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.172318 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0158423 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.165754 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.374618 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0745162 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0480642 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.174336 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0767161 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0290251 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0827075 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0452577 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0512848 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0290251 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.119648 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0299176 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0940888 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0824261 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.025023 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0145549 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00258958 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0824261 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0321706 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0313772 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0345414 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.129373 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.117797 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0836871 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00180377 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.156087 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.082658 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.144203 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00197583 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00467062 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0589733 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0380953 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0208386 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0324604 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.338148 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0512076 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.133118 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.225573 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.281546 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0476354 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0434496 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.00376257 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0436833 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.156087 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.082658 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.144203 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0543259 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.00695001 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.534579 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.111188 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.101535 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.112834 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.123612 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.101535 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.101535 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00426981 # DEPENDENCYPART_SIBL
(4,2),(4,33),0.163271 # DEPENDENCYPART_SIBL
(4,2),(4,36),0.101535 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.120542 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.941394 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00031228 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.120542 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.120542 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0732424 # DEPENDENCYPART_SIBL
(4,5),(4,33),0.0344241 # DEPENDENCYPART_SIBL
(4,5),(4,36),0.120542 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0401474 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.178613 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0710947 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0710947 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.120493 # DEPENDENCYPART_SIBL
(4,6),(4,33),0.0465766 # DEPENDENCYPART_SIBL
(4,6),(4,36),0.0710947 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.01759 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.101874 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.101874 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0668428 # DEPENDENCYPART_SIBL
(4,7),(4,33),0.0156944 # DEPENDENCYPART_SIBL
(4,7),(4,36),0.101874 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.834674 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.834674 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0185955 # DEPENDENCYPART_SIBL
(4,8),(4,33),0.680292 # DEPENDENCYPART_SIBL
(4,8),(4,36),0.834674 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0710947 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.120493 # DEPENDENCYPART_SIBL
(4,11),(4,33),0.0465766 # DEPENDENCYPART_SIBL
(4,11),(4,36),0.0710947 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.120493 # DEPENDENCYPART_SIBL
(4,14),(4,33),0.0465766 # DEPENDENCYPART_SIBL
(4,14),(4,36),0.0710947 # DEPENDENCYPART_SIBL
(4,21),(4,33),0.56837 # DEPENDENCYPART_SIBL
(4,21),(4,36),0.626567 # DEPENDENCYPART_SIBL
(4,33),(4,36),0.0953657 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0884049 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.3382 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.306001 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0958088 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.299437 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.3382 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.304716 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0951594 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.3382 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0387618 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.308018 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.040167 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00561954 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0563506 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00872258 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.040167 # DEPENDENCYPART_SIBL
