# _root_ El diari també informa que l' executiu i la top , que fa poc va despatxar el_seu festeig amb el playboy Tim_Jeffries , van passar la nit de Cap_d'_Any al Palast-Hotel de Saint_Moritz .
#goldHeads=2,4,4,0,25,7,25,7,10,7,16,16,14,16,16,10,18,16,16,21,19,21,16,25,4,27,25,27,28,25,30,31,32,4,
#predictedHeads=2,4,4,0,25,7,16,4,10,16,13,16,10,16,16,4,18,16,18,21,19,21,16,25,4,27,25,27,28,25,30,31,32,4,
(4,16),-0.72863 # DEPENDENCYPART_ARC
(4,19),-1.6969 # DEPENDENCYPART_ARC
(4,23),-0.755087 # DEPENDENCYPART_ARC
(4,24),-1.85128 # DEPENDENCYPART_ARC
(4,25),-1.42268 # DEPENDENCYPART_ARC
(4,30),-2.2382 # DEPENDENCYPART_ARC
(4,34),-1.15657 # DEPENDENCYPART_ARC
(5,7),-2.00772 # DEPENDENCYPART_ARC
(5,8),-1.41842 # DEPENDENCYPART_ARC
(5,11),-2.11947 # DEPENDENCYPART_ARC
(6,3),-2.12749 # DEPENDENCYPART_ARC
(6,8),-1.47483 # DEPENDENCYPART_ARC
(6,9),-1.59962 # DEPENDENCYPART_ARC
(7,1),-2.80084 # DEPENDENCYPART_ARC
(7,2),-2.59815 # DEPENDENCYPART_ARC
(7,3),-1.29224 # DEPENDENCYPART_ARC
(7,4),-1.8662 # DEPENDENCYPART_ARC
(7,5),-1.06513 # DEPENDENCYPART_ARC
(7,6),1.81264 # DEPENDENCYPART_ARC
(7,8),0.469924 # DEPENDENCYPART_ARC
(7,10),-0.258912 # DEPENDENCYPART_ARC
(7,11),-1.17279 # DEPENDENCYPART_ARC
(7,13),-0.746516 # DEPENDENCYPART_ARC
(7,14),-1.92552 # DEPENDENCYPART_ARC
(7,15),-1.93861 # DEPENDENCYPART_ARC
(7,16),-1.72992 # DEPENDENCYPART_ARC
(7,18),-1.63851 # DEPENDENCYPART_ARC
(7,19),-1.238 # DEPENDENCYPART_ARC
(7,22),-2.04543 # DEPENDENCYPART_ARC
(7,23),-1.32819 # DEPENDENCYPART_ARC
(7,27),-2.42062 # DEPENDENCYPART_ARC
(7,34),-2.64318 # DEPENDENCYPART_ARC
(9,7),-2.33844 # DEPENDENCYPART_ARC
(9,8),-1.04355 # DEPENDENCYPART_ARC
(9,10),-1.67583 # DEPENDENCYPART_ARC
(10,2),-2.54404 # DEPENDENCYPART_ARC
(10,3),-1.6471 # DEPENDENCYPART_ARC
(10,4),-2.81807 # DEPENDENCYPART_ARC
(10,5),-1.98453 # DEPENDENCYPART_ARC
(10,6),-1.72015 # DEPENDENCYPART_ARC
(10,7),-2.04537 # DEPENDENCYPART_ARC
(10,8),-0.887174 # DEPENDENCYPART_ARC
(10,9),2.13889 # DEPENDENCYPART_ARC
(10,11),-0.74047 # DEPENDENCYPART_ARC
(10,13),-0.898801 # DEPENDENCYPART_ARC
(10,14),-1.79352 # DEPENDENCYPART_ARC
(10,15),-2.17417 # DEPENDENCYPART_ARC
(10,16),-1.73501 # DEPENDENCYPART_ARC
(10,18),-1.69125 # DEPENDENCYPART_ARC
(10,19),-1.43607 # DEPENDENCYPART_ARC
(10,22),-2.08806 # DEPENDENCYPART_ARC
(10,23),-1.45228 # DEPENDENCYPART_ARC
(10,25),-2.76672 # DEPENDENCYPART_ARC
(10,27),-2.60984 # DEPENDENCYPART_ARC
(10,34),-2.79058 # DEPENDENCYPART_ARC
(11,10),-1.57524 # DEPENDENCYPART_ARC
(12,13),-0.652495 # DEPENDENCYPART_ARC
(13,2),-3.07251 # DEPENDENCYPART_ARC
(13,3),-3.62645 # DEPENDENCYPART_ARC
(13,4),-4.1382 # DEPENDENCYPART_ARC
(13,5),-1.57957 # DEPENDENCYPART_ARC
(13,7),-2.69533 # DEPENDENCYPART_ARC
(13,8),-2.59179 # DEPENDENCYPART_ARC
(13,10),-2.3274 # DEPENDENCYPART_ARC
(13,11),-1.0065 # DEPENDENCYPART_ARC
(13,12),1.47864 # DEPENDENCYPART_ARC
(13,14),-0.289748 # DEPENDENCYPART_ARC
(13,15),-0.719484 # DEPENDENCYPART_ARC
(13,16),-1.3315 # DEPENDENCYPART_ARC
(13,18),-1.97831 # DEPENDENCYPART_ARC
(13,19),-1.34748 # DEPENDENCYPART_ARC
(13,22),-2.76503 # DEPENDENCYPART_ARC
(13,23),-1.51301 # DEPENDENCYPART_ARC
(13,24),-2.84632 # DEPENDENCYPART_ARC
(13,25),-2.43434 # DEPENDENCYPART_ARC
(13,30),-2.13174 # DEPENDENCYPART_ARC
(13,34),-3.61364 # DEPENDENCYPART_ARC
(14,11),-1.80623 # DEPENDENCYPART_ARC
(14,13),-0.32385 # DEPENDENCYPART_ARC
(14,15),-1.03142 # DEPENDENCYPART_ARC
(14,16),-2.04773 # DEPENDENCYPART_ARC
(15,5),-2.94477 # DEPENDENCYPART_ARC
(15,7),-3.57585 # DEPENDENCYPART_ARC
(15,10),-3.49116 # DEPENDENCYPART_ARC
(15,11),-2.64315 # DEPENDENCYPART_ARC
(15,12),-2.0362 # DEPENDENCYPART_ARC
(15,13),-1.68623 # DEPENDENCYPART_ARC
(15,14),-1.29608 # DEPENDENCYPART_ARC
(15,16),-0.124093 # DEPENDENCYPART_ARC
(15,18),-1.74804 # DEPENDENCYPART_ARC
(15,19),-1.17212 # DEPENDENCYPART_ARC
(16,2),-1.96951 # DEPENDENCYPART_ARC
(16,3),-2.34976 # DEPENDENCYPART_ARC
(16,4),-3.0273 # DEPENDENCYPART_ARC
(16,5),-0.441132 # DEPENDENCYPART_ARC
(16,6),-3.21629 # DEPENDENCYPART_ARC
(16,7),-1.52018 # DEPENDENCYPART_ARC
(16,8),-1.54589 # DEPENDENCYPART_ARC
(16,9),-2.73443 # DEPENDENCYPART_ARC
(16,10),-1.35123 # DEPENDENCYPART_ARC
(16,11),-0.756333 # DEPENDENCYPART_ARC
(16,12),0.473132 # DEPENDENCYPART_ARC
(16,13),-0.646933 # DEPENDENCYPART_ARC
(16,14),0.378974 # DEPENDENCYPART_ARC
(16,15),2.40157 # DEPENDENCYPART_ARC
(16,18),1.04774 # DEPENDENCYPART_ARC
(16,19),0.686049 # DEPENDENCYPART_ARC
(16,21),-0.397985 # DEPENDENCYPART_ARC
(16,22),-0.986985 # DEPENDENCYPART_ARC
(16,23),-0.376925 # DEPENDENCYPART_ARC
(16,24),-1.64006 # DEPENDENCYPART_ARC
(16,25),-0.931154 # DEPENDENCYPART_ARC
(16,27),-1.10665 # DEPENDENCYPART_ARC
(16,28),-1.60198 # DEPENDENCYPART_ARC
(16,30),-0.828559 # DEPENDENCYPART_ARC
(16,34),-1.43301 # DEPENDENCYPART_ARC
(18,4),-2.56359 # DEPENDENCYPART_ARC
(18,13),-2.49626 # DEPENDENCYPART_ARC
(18,14),-1.44132 # DEPENDENCYPART_ARC
(18,15),-2.10885 # DEPENDENCYPART_ARC
(18,16),-1.26289 # DEPENDENCYPART_ARC
(18,17),1.48744 # DEPENDENCYPART_ARC
(18,19),0.137687 # DEPENDENCYPART_ARC
(18,21),-0.535898 # DEPENDENCYPART_ARC
(18,22),-0.532831 # DEPENDENCYPART_ARC
(18,23),-1.00529 # DEPENDENCYPART_ARC
(18,24),-2.15926 # DEPENDENCYPART_ARC
(18,25),-1.91991 # DEPENDENCYPART_ARC
(18,27),-1.87626 # DEPENDENCYPART_ARC
(18,28),-1.7305 # DEPENDENCYPART_ARC
(18,30),-1.33023 # DEPENDENCYPART_ARC
(18,32),-2.57354 # DEPENDENCYPART_ARC
(19,18),-1.49199 # DEPENDENCYPART_ARC
(19,20),-1.63916 # DEPENDENCYPART_ARC
(19,21),1.75467 # DEPENDENCYPART_ARC
(19,22),-1.14576 # DEPENDENCYPART_ARC
(19,23),-1.20428 # DEPENDENCYPART_ARC
(19,24),-2.25963 # DEPENDENCYPART_ARC
(19,25),-1.95793 # DEPENDENCYPART_ARC
(20,18),-2.3737 # DEPENDENCYPART_ARC
(21,14),-1.92279 # DEPENDENCYPART_ARC
(21,17),-1.73194 # DEPENDENCYPART_ARC
(21,19),-0.81142 # DEPENDENCYPART_ARC
(21,20),1.38181 # DEPENDENCYPART_ARC
(21,22),0.964056 # DEPENDENCYPART_ARC
(21,23),-0.975677 # DEPENDENCYPART_ARC
(21,24),-1.83978 # DEPENDENCYPART_ARC
(21,25),-1.80874 # DEPENDENCYPART_ARC
(21,27),-1.56452 # DEPENDENCYPART_ARC
(21,28),-1.28468 # DEPENDENCYPART_ARC
(21,30),-1.33725 # DEPENDENCYPART_ARC
(21,32),-2.151 # DEPENDENCYPART_ARC
(22,20),-0.934286 # DEPENDENCYPART_ARC
(22,23),-1.04039 # DEPENDENCYPART_ARC
(22,24),-1.98959 # DEPENDENCYPART_ARC
(22,25),-2.09545 # DEPENDENCYPART_ARC
(22,27),-1.97884 # DEPENDENCYPART_ARC
(24,5),-2.60784 # DEPENDENCYPART_ARC
(24,10),-4.83167 # DEPENDENCYPART_ARC
(24,12),-4.51707 # DEPENDENCYPART_ARC
(24,18),-3.80424 # DEPENDENCYPART_ARC
(24,19),-3.45962 # DEPENDENCYPART_ARC
(24,21),-3.34366 # DEPENDENCYPART_ARC
(24,22),-3.07436 # DEPENDENCYPART_ARC
(24,25),-0.237845 # DEPENDENCYPART_ARC
(24,27),-1.72999 # DEPENDENCYPART_ARC
(24,28),-1.9594 # DEPENDENCYPART_ARC
(24,30),-1.73111 # DEPENDENCYPART_ARC
(24,34),-2.06778 # DEPENDENCYPART_ARC
(25,2),-2.35419 # DEPENDENCYPART_ARC
(25,3),-2.72197 # DEPENDENCYPART_ARC
(25,4),-3.58303 # DEPENDENCYPART_ARC
(25,5),-1.17548 # DEPENDENCYPART_ARC
(25,7),-2.09875 # DEPENDENCYPART_ARC
(25,10),-2.04089 # DEPENDENCYPART_ARC
(25,11),-2.46219 # DEPENDENCYPART_ARC
(25,12),-1.94407 # DEPENDENCYPART_ARC
(25,13),-2.79642 # DEPENDENCYPART_ARC
(25,14),-1.61829 # DEPENDENCYPART_ARC
(25,15),-3.64743 # DEPENDENCYPART_ARC
(25,16),-1.95976 # DEPENDENCYPART_ARC
(25,18),-1.00354 # DEPENDENCYPART_ARC
(25,19),-1.1914 # DEPENDENCYPART_ARC
(25,21),-0.683477 # DEPENDENCYPART_ARC
(25,22),-1.13829 # DEPENDENCYPART_ARC
(25,23),-1.00308 # DEPENDENCYPART_ARC
(25,24),2.81409 # DEPENDENCYPART_ARC
(25,27),1.29327 # DEPENDENCYPART_ARC
(25,28),-0.109829 # DEPENDENCYPART_ARC
(25,29),-0.870708 # DEPENDENCYPART_ARC
(25,30),0.48116 # DEPENDENCYPART_ARC
(25,31),-1.42302 # DEPENDENCYPART_ARC
(25,32),-0.629937 # DEPENDENCYPART_ARC
(25,33),-1.68757 # DEPENDENCYPART_ARC
(25,34),-0.335872 # DEPENDENCYPART_ARC
(26,27),-0.163021 # DEPENDENCYPART_ARC
(26,28),-0.602394 # DEPENDENCYPART_ARC
(27,4),-2.57486 # DEPENDENCYPART_ARC
(27,24),-3.26429 # DEPENDENCYPART_ARC
(27,26),1.61238 # DEPENDENCYPART_ARC
(27,28),1.10763 # DEPENDENCYPART_ARC
(27,29),-0.846675 # DEPENDENCYPART_ARC
(27,30),-0.345732 # DEPENDENCYPART_ARC
(27,31),-1.43588 # DEPENDENCYPART_ARC
(27,32),-0.698026 # DEPENDENCYPART_ARC
(27,33),-1.68775 # DEPENDENCYPART_ARC
(27,34),-1.25461 # DEPENDENCYPART_ARC
(28,26),-1.73838 # DEPENDENCYPART_ARC
(28,29),1.73492 # DEPENDENCYPART_ARC
(28,30),-1.61379 # DEPENDENCYPART_ARC
(28,31),-1.19602 # DEPENDENCYPART_ARC
(28,32),-1.98009 # DEPENDENCYPART_ARC
(29,26),-2.27621 # DEPENDENCYPART_ARC
(29,30),-0.598852 # DEPENDENCYPART_ARC
(29,31),-0.934552 # DEPENDENCYPART_ARC
(29,32),-1.04265 # DEPENDENCYPART_ARC
(30,28),-1.29669 # DEPENDENCYPART_ARC
(30,31),1.56616 # DEPENDENCYPART_ARC
(30,32),-1.6313 # DEPENDENCYPART_ARC
(30,33),-1.13362 # DEPENDENCYPART_ARC
(31,28),-2.39018 # DEPENDENCYPART_ARC
(31,32),0.221984 # DEPENDENCYPART_ARC
(31,33),-0.723842 # DEPENDENCYPART_ARC
(32,33),1.85419 # DEPENDENCYPART_ARC
(33,28),-1.71341 # DEPENDENCYPART_ARC
(33,32),-0.0319642 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.433445 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.432437 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.426459 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.443233 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.418758 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.937223 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.932215 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.936462 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.938989 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.940383 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.94463 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.947156 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.937013 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.93954 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.946609 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.16025 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0294263 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.340053 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.29967 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00683575 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.296997 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0779862 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0625706 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0170429 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.297025 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.296997 # DEPENDENCYPART_SIBL
(2,1),(2,34),-0.0583219 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.032682 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0985679 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0404378 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0107697 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0469517 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0432578 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0431858 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0255604 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0489933 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0469517 # DEPENDENCYPART_SIBL
(2,3),(2,34),0.0401214 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0110442 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.04367 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0762634 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0508603 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0695002 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0510043 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0369003 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0528555 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0508603 # DEPENDENCYPART_SIBL
(2,4),(2,34),0.0524419 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.048324 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.258122 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0563044 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.114227 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0282366 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.110962 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.058346 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0563044 # DEPENDENCYPART_SIBL
(2,5),(2,34),-0.0993578 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0360346 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00485818 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0408149 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00998432 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.00267902 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00890783 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.00485818 # DEPENDENCYPART_SIBL
(2,7),(2,34),-0.0511795 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.62135 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0501048 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.146789 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.108057 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.623392 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.62135 # DEPENDENCYPART_SIBL
(2,8),(2,34),-0.0147223 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0232278 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0263823 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0187544 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.038907 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0348573 # DEPENDENCYPART_SIBL
(2,10),(2,34),-0.0117185 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0301001 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0267704 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.414111 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.406762 # DEPENDENCYPART_SIBL
(2,11),(2,34),0.00388634 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0176842 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0392488 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0372072 # DEPENDENCYPART_SIBL
(2,14),(2,34),0.0706098 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0717644 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0697692 # DEPENDENCYPART_SIBL
(2,16),(2,34),0.0465225 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.0349699 # DEPENDENCYPART_SIBL
(2,18),(2,34),-0.0100754 # DEPENDENCYPART_SIBL
(2,22),(2,34),-0.0117185 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.104208 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00788676 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.180722 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0911603 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0438964 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0389112 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0455047 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0244926 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0430102 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.103226 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0504722 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.177858 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0185455 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.083566 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0784732 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0134245 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.15614 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.234709 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0207808 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00666801 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0198749 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0421404 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.156389 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0950606 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.192854 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0586511 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0545854 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0421404 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.110637 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0611271 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.0150975 # DEPENDENCYPART_SIBL
(4,1),(4,34),-0.122305 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.033127 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.134179 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.063296 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00842085 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0676118 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0557173 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0858107 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0522512 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.120495 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0320365 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0114234 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0557173 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.061249 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0307455 # DEPENDENCYPART_SIBL
(4,2),(4,30),-0.0342469 # DEPENDENCYPART_SIBL
(4,2),(4,34),-0.0162174 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.174712 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0615561 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0376812 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0619841 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.178483 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0506183 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0725359 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0797939 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0202254 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.20466 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.178483 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0226 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.00278364 # DEPENDENCYPART_SIBL
(4,3),(4,30),-0.233258 # DEPENDENCYPART_SIBL
(4,3),(4,34),0.0353808 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.104654 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.312527 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.104094 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.104477 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.024629 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0966373 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.15539 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0328096 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.172041 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.104477 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.124523 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0283516 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.185229 # DEPENDENCYPART_SIBL
(4,5),(4,34),-0.118182 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0099173 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.245696 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00268188 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0206662 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00969775 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.10062 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0208211 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0508714 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.00268188 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0925851 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.00498489 # DEPENDENCYPART_SIBL
(4,7),(4,30),0.120935 # DEPENDENCYPART_SIBL
(4,7),(4,34),0.019397 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.196326 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0416954 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.683339 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0392544 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.489235 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.650676 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0139398 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0416954 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.524811 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.651378 # DEPENDENCYPART_SIBL
(4,8),(4,30),-0.0295326 # DEPENDENCYPART_SIBL
