# _root_ Aquell dia es va presentar un llibre d' un rigor científic lluny_de tot folklorisme , realitzat per l' historiador i arqueòleg Marc_Sureda_i_Jubany , també gran especialista en temes religiosos .
#goldHeads=2,5,5,5,0,7,5,7,10,8,10,10,14,12,16,7,16,19,17,19,19,19,26,26,26,19,26,27,28,5,
#predictedHeads=2,5,5,5,0,7,5,7,10,8,10,5,14,12,16,7,16,19,17,19,19,19,16,25,26,19,16,27,28,5,
(4,2),(4,8),0.27889 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.302559 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.203003 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0370846 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.188853 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.313104 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.334941 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.234462 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0170399 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0268512 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0349988 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.0146864 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0270715 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0685181 # DEPENDENCYPART_SIBL
(4,7),(4,30),0.0467531 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.000736885 # DEPENDENCYPART_SIBL
(4,8),(4,30),0.101216 # DEPENDENCYPART_SIBL
(4,12),(4,30),0.120589 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0140628 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.27421 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0850248 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0429298 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0472575 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0535987 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0388556 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0716802 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0550066 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0779707 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0318254 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0862897 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0542763 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0604924 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0550655 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0550066 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0779707 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0719369 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0577732 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.100925 # DEPENDENCYPART_SIBL
(5,1),(5,30),-0.0898122 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.226548 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.169435 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0381076 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0109849 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0222622 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.000351762 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0408312 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0251003 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00133148 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0038119 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0280359 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0250117 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0556842 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0250768 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0251003 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.00133148 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0236913 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.0241626 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0269787 # DEPENDENCYPART_SIBL
(5,2),(5,30),0.0477882 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.500122 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.183218 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0496923 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.195434 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0464564 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0763161 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.192683 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.100671 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.021278 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0621387 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.192788 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0920184 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.192683 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.192683 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.100671 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0577261 # DEPENDENCYPART_SIBL
(5,3),(5,26),-0.193603 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.077617 # DEPENDENCYPART_SIBL
(5,3),(5,30),0.154748 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0257891 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0699299 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00145992 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0268657 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0139852 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00453691 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0551838 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0442834 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00321636 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.00432876 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.141218 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00453691 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.00453691 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0551838 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0319943 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.00361634 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0337813 # DEPENDENCYPART_SIBL
(5,4),(5,30),0.319266 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0763167 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.209363 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0361218 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0191136 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.208624 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0193184 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0459376 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0207958 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.207292 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0384029 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.206333 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.208624 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0193184 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0481033 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.207112 # DEPENDENCYPART_SIBL
(5,7),(5,27),0.0478708 # DEPENDENCYPART_SIBL
(5,7),(5,30),0.0964158 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00194656 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0911663 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.11006 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00158167 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.079274 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0788357 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.156338 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.00215234 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0549334 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.00174235 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.00158167 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.079274 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.201633 # DEPENDENCYPART_SIBL
(5,8),(5,26),-0.00407883 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.169911 # DEPENDENCYPART_SIBL
(5,8),(5,30),0.0439408 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.047494 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0152289 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.217286 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00281882 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0573098 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0246521 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.215954 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.00939127 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.214994 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.217286 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.00281882 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0621072 # DEPENDENCYPART_SIBL
(5,10),(5,26),-0.215773 # DEPENDENCYPART_SIBL
(5,10),(5,27),0.0477168 # DEPENDENCYPART_SIBL
(5,10),(5,30),0.0575417 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0319683 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.034542 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0389479 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.191508 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0312632 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0345807 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0356921 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.034542 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.034542 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0389479 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.0868544 # DEPENDENCYPART_SIBL
(5,11),(5,26),-0.0350836 # DEPENDENCYPART_SIBL
(5,11),(5,27),0.00372713 # DEPENDENCYPART_SIBL
(5,11),(5,30),0.0250803 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0329332 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00460198 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0219023 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0482949 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0366672 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0187584 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.032826 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.0329332 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.00460198 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.106443 # DEPENDENCYPART_SIBL
(5,12),(5,26),0.0304921 # DEPENDENCYPART_SIBL
(5,12),(5,27),-0.0854135 # DEPENDENCYPART_SIBL
(5,12),(5,30),0.0677334 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.00908441 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0519893 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0226322 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.210548 # DEPENDENCYPART_SIBL
(5,14),(5,20),0.00840953 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.209589 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.21188 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.00908441 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.0567868 # DEPENDENCYPART_SIBL
(5,14),(5,26),-0.210368 # DEPENDENCYPART_SIBL
(5,14),(5,27),0.0464106 # DEPENDENCYPART_SIBL
(5,14),(5,30),0.0648966 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0135215 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.253117 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.00100236 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.211425 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.00260169 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.00481498 # DEPENDENCYPART_SIBL
(5,15),(5,23),-0.0924084 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.1675 # DEPENDENCYPART_SIBL
(5,15),(5,26),0.00173777 # DEPENDENCYPART_SIBL
(5,15),(5,27),-0.145868 # DEPENDENCYPART_SIBL
(5,15),(5,30),-0.0207777 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0397013 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0284893 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0304201 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0284505 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.0284505 # DEPENDENCYPART_SIBL
(5,16),(5,23),-0.0202105 # DEPENDENCYPART_SIBL
(5,16),(5,24),-0.0816122 # DEPENDENCYPART_SIBL
(5,16),(5,26),-0.0289921 # DEPENDENCYPART_SIBL
(5,16),(5,27),0.00327654 # DEPENDENCYPART_SIBL
(5,16),(5,30),0.046653 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.0223121 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0109859 # DEPENDENCYPART_SIBL
