# _root_ Heather_Mills , l' exmodel de 34 anys que dijous que ve es casarà amb Paul_McCartney , ha muntat un comiat de soltera amb tota mena de luxes .
#goldHeads=18,4,4,1,4,7,5,13,13,11,9,13,4,13,14,4,18,0,20,18,20,21,20,27,24,24,23,18,
#predictedHeads=18,4,4,1,4,7,5,13,13,11,4,13,4,13,14,4,18,0,20,18,20,21,18,25,23,25,26,18,
(20,28),-1.22769 # DEPENDENCYPART_ARC
(21,19),-2.02315 # DEPENDENCYPART_ARC
(21,22),2.43943 # DEPENDENCYPART_ARC
(21,23),-1.69742 # DEPENDENCYPART_ARC
(21,26),-2.02607 # DEPENDENCYPART_ARC
(22,19),-2.26357 # DEPENDENCYPART_ARC
(22,21),-0.77 # DEPENDENCYPART_ARC
(22,23),0.034671 # DEPENDENCYPART_ARC
(22,24),-1.49809 # DEPENDENCYPART_ARC
(22,25),-0.557036 # DEPENDENCYPART_ARC
(22,26),-0.450729 # DEPENDENCYPART_ARC
(22,27),-1.48145 # DEPENDENCYPART_ARC
(22,28),-1.54872 # DEPENDENCYPART_ARC
(23,21),-1.30573 # DEPENDENCYPART_ARC
(23,24),-1.23197 # DEPENDENCYPART_ARC
(23,25),2.08738 # DEPENDENCYPART_ARC
(23,26),-1.61797 # DEPENDENCYPART_ARC
(23,27),-0.303063 # DEPENDENCYPART_ARC
(24,25),0.240465 # DEPENDENCYPART_ARC
(24,26),-0.425124 # DEPENDENCYPART_ARC
(25,19),-3.72256 # DEPENDENCYPART_ARC
(25,21),-2.36565 # DEPENDENCYPART_ARC
(25,24),1.18128 # DEPENDENCYPART_ARC
(25,26),1.02656 # DEPENDENCYPART_ARC
(25,27),-0.820662 # DEPENDENCYPART_ARC
(25,28),-1.0251 # DEPENDENCYPART_ARC
(26,24),-1.50147 # DEPENDENCYPART_ARC
(26,27),2.52754 # DEPENDENCYPART_ARC
(27,24),-1.71705 # DEPENDENCYPART_ARC
(27,26),-0.114905 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.191288 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0452449 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.423176 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.424568 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.424833 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.424568 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0452449 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.423176 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.424568 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.424833 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.424568 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.338823 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.337576 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.346451 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.337576 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.926859 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.925591 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.926859 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.934954 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.936222 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.951406 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.375432 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0372633 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.1211 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.226171 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0276635 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.072587 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0430915 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0384183 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0373288 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0430915 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.375432 # DEPENDENCYPART_SIBL
(1,2),(1,28),0.006744 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0508092 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0286828 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0306426 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0116962 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00740233 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.00814106 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.00543867 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0321457 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.00814106 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0140391 # DEPENDENCYPART_SIBL
(1,4),(1,28),-0.00418311 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0320681 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0600134 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0592134 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.09026 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.00504896 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0483111 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0172311 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00504896 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0134131 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.00671668 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0349503 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0156644 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0237408 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.000394777 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0579733 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0151913 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.000394777 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.000271983 # DEPENDENCYPART_SIBL
(1,6),(1,28),-0.0172582 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00627925 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0223553 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00681191 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0112945 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0311548 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.00681191 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.0421355 # DEPENDENCYPART_SIBL
(1,7),(1,28),-0.0422792 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0463432 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0202271 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0700205 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0567712 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0202271 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.00621262 # DEPENDENCYPART_SIBL
(1,9),(1,28),0.0934382 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0492269 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0508658 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0609215 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0492269 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0306792 # DEPENDENCYPART_SIBL
(1,11),(1,28),0.0447692 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0611168 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0679138 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.0550077 # DEPENDENCYPART_SIBL
(1,13),(1,20),0.0321054 # DEPENDENCYPART_SIBL
(1,13),(1,28),0.0432709 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.0866169 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.0149756 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.0301428 # DEPENDENCYPART_SIBL
(1,14),(1,28),0.143974 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0430915 # DEPENDENCYPART_SIBL
(1,16),(1,20),0.375432 # DEPENDENCYPART_SIBL
(1,16),(1,28),0.006744 # DEPENDENCYPART_SIBL
(1,18),(1,20),0.0311405 # DEPENDENCYPART_SIBL
(1,18),(1,28),0.042306 # DEPENDENCYPART_SIBL
(1,20),(1,28),-0.00421382 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0559548 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0728441 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00373291 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.481141 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.186462 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.168853 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.019171 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0265777 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00580649 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.011024 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0250327 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.116116 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.110059 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0372501 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.334721 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0619852 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.110054 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0500116 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0372501 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.316267 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.337724 # DEPENDENCYPART_SIBL
(4,3),(4,6),-8.43895e-05 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.17552 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0930811 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0996296 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0426916 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0842971 # DEPENDENCYPART_SIBL
(4,3),(4,16),8.37452e-05 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.111923 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0426817 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.175378 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0842971 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.053071 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0320681 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0600134 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0592134 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.09026 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00504896 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0483111 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0172311 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0128692 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.00504896 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0134131 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0483111 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.00671668 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0349503 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0156644 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0237408 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.000394777 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0579733 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0151913 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0120989 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.000394777 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.000271983 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0579733 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0172582 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00627925 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0223553 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00681191 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0112945 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0311548 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0105944 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00681191 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0421355 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0112945 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.0422792 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0463432 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0202271 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0700205 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0567712 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0088733 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0202271 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.00621262 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.0700205 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.0934382 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0492269 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0508658 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0609215 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0212457 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0492269 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0306792 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0508658 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.0447692 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0611168 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0679138 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0270265 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0550077 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0321054 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.0611168 # DEPENDENCYPART_SIBL
(4,13),(4,28),0.0432709 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0866169 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0142572 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0149756 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0301428 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.0169688 # DEPENDENCYPART_SIBL
(4,14),(4,28),0.143974 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0170604 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0430915 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.375432 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.0384183 # DEPENDENCYPART_SIBL
(4,16),(4,28),0.006744 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0828627 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.00307542 # DEPENDENCYPART_SIBL
(4,17),(4,23),0.0412996 # DEPENDENCYPART_SIBL
(4,17),(4,28),0.0146886 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0311405 # DEPENDENCYPART_SIBL
(4,18),(4,23),0.0582219 # DEPENDENCYPART_SIBL
(4,18),(4,28),0.042306 # DEPENDENCYPART_SIBL
(4,20),(4,23),0.00543559 # DEPENDENCYPART_SIBL
(4,20),(4,28),-0.00421382 # DEPENDENCYPART_SIBL
(4,23),(4,28),0.143974 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.453969 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.482263 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00624767 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.325093 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.153271 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0499901 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0487871 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.294902 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.134344 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.285708 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.162911 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0412269 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0158463 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.107789 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0939138 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0538515 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0531273 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0428517 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.371973 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.222486 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.225306 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.224017 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.401352 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.396289 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.396733 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.188485 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.185355 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.264323 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.19441 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00416672 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00819325 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0155311 # DEPENDENCYPART_SIBL
