# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=25,3,1,6,6,3,6,9,7,9,12,9,12,13,14,17,14,17,1,22,20,25,22,23,0,25,28,26,28,29,30,31,31,25,
(26,33),-1.57976 # DEPENDENCYPART_ARC
(26,34),-0.421268 # DEPENDENCYPART_ARC
(27,28),-0.527264 # DEPENDENCYPART_ARC
(27,29),-1.13302 # DEPENDENCYPART_ARC
(28,6),-1.85336 # DEPENDENCYPART_ARC
(28,23),-1.67692 # DEPENDENCYPART_ARC
(28,27),1.53402 # DEPENDENCYPART_ARC
(28,29),0.381306 # DEPENDENCYPART_ARC
(28,30),-1.14716 # DEPENDENCYPART_ARC
(28,31),-2.63489 # DEPENDENCYPART_ARC
(28,32),-1.11893 # DEPENDENCYPART_ARC
(28,33),-3.69001 # DEPENDENCYPART_ARC
(29,20),-3.62037 # DEPENDENCYPART_ARC
(29,27),-2.15477 # DEPENDENCYPART_ARC
(29,28),-1.22793 # DEPENDENCYPART_ARC
(29,30),2.3135 # DEPENDENCYPART_ARC
(29,31),-0.85741 # DEPENDENCYPART_ARC
(29,32),-1.15828 # DEPENDENCYPART_ARC
(29,33),-1.97201 # DEPENDENCYPART_ARC
(30,27),-2.559 # DEPENDENCYPART_ARC
(30,28),-2.6234 # DEPENDENCYPART_ARC
(30,31),2.01125 # DEPENDENCYPART_ARC
(30,32),-0.515809 # DEPENDENCYPART_ARC
(30,33),0.125284 # DEPENDENCYPART_ARC
(31,32),0.764054 # DEPENDENCYPART_ARC
(31,33),0.808854 # DEPENDENCYPART_ARC
(33,31),-0.503962 # DEPENDENCYPART_ARC
(33,32),-0.386657 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.38903 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.410694 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.393108 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.39487 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.943848 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.933105 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.937544 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.931289 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.935728 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.938816 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.116986 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.399057 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.399479 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.800693 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.152813 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.152813 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.116986 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0306796 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0296636 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.10361 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.214317 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.214317 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.266703 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.294923 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.295473 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.166855 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.166855 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0880837 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.283933 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.154108 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.154108 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0950042 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.183488 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.183488 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.14367 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.2323 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0251784 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0251784 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0777561 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0125148 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0463446 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0202505 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0394072 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0444663 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0348238 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0173561 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0444663 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0301961 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.127303 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0735489 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00649627 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.18002 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0928324 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.188343 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0634554 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0928324 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.201798 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0170332 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.021498 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.447033 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.323753 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.429378 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.155059 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.323753 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.487351 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0743916 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0496397 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0695671 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0433535 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0863348 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0695671 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0603756 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0618802 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0571752 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0555941 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.08455 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0571752 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0726161 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.082582 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0626727 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.123731 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.082582 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0961246 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.602206 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.175564 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.312013 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.62305 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.111518 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0618307 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0780386 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.173562 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.00147932 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.62305 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.041052 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0411295 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.123236 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00473417 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.277226 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.382756 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0884836 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0424144 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0450576 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0447662 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0511708 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0450576 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0166832 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0261155 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.0813498 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0910167 # DEPENDENCYPART_SIBL
(6,1),(6,32),0.0450576 # DEPENDENCYPART_SIBL
(6,1),(6,34),0.0690855 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.480721 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.6936 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0055657 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0283305 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0468889 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0315405 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0454787 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0468889 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0471514 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0637756 # DEPENDENCYPART_SIBL
(6,3),(6,25),0.00146429 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0115181 # DEPENDENCYPART_SIBL
(6,3),(6,32),-0.0468889 # DEPENDENCYPART_SIBL
(6,3),(6,34),0.0120386 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.148193 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00545691 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00264707 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0454039 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0389029 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0292439 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0454039 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0383669 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.222939 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.0155848 # DEPENDENCYPART_SIBL
(6,4),(6,26),-0.00144975 # DEPENDENCYPART_SIBL
(6,4),(6,32),-0.0454039 # DEPENDENCYPART_SIBL
(6,4),(6,34),-0.464434 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0537894 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0328311 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0270186 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0536189 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0415146 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0270186 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.012131 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0381838 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.083459 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.0542666 # DEPENDENCYPART_SIBL
(6,5),(6,32),-0.0270186 # DEPENDENCYPART_SIBL
(6,5),(6,34),-0.475927 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0870147 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0161299 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0877479 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0222031 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0161299 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0527121 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0165397 # DEPENDENCYPART_SIBL
(6,7),(6,25),-0.00828697 # DEPENDENCYPART_SIBL
(6,7),(6,26),-0.0263658 # DEPENDENCYPART_SIBL
(6,7),(6,32),-0.0161299 # DEPENDENCYPART_SIBL
(6,7),(6,34),0.0234141 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0299649 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.252501 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0535633 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0299649 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.26196 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0518374 # DEPENDENCYPART_SIBL
(6,9),(6,25),-0.0481853 # DEPENDENCYPART_SIBL
(6,9),(6,26),-0.0545021 # DEPENDENCYPART_SIBL
(6,9),(6,32),-0.0299649 # DEPENDENCYPART_SIBL
(6,9),(6,34),-0.0580126 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.188489 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0198667 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.442558 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.185061 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.105768 # DEPENDENCYPART_SIBL
(6,10),(6,25),0.629397 # DEPENDENCYPART_SIBL
(6,10),(6,26),0.593037 # DEPENDENCYPART_SIBL
(6,10),(6,32),-0.442558 # DEPENDENCYPART_SIBL
(6,10),(6,34),-0.0405175 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0516119 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0283622 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.265305 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.070635 # DEPENDENCYPART_SIBL
(6,12),(6,25),-0.0472555 # DEPENDENCYPART_SIBL
(6,12),(6,26),-0.0535723 # DEPENDENCYPART_SIBL
(6,12),(6,32),-0.0283622 # DEPENDENCYPART_SIBL
(6,12),(6,34),-0.0821892 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.237795 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0627877 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.0875314 # DEPENDENCYPART_SIBL
(6,13),(6,25),-0.0968362 # DEPENDENCYPART_SIBL
(6,13),(6,26),-0.110917 # DEPENDENCYPART_SIBL
(6,13),(6,32),-0.237795 # DEPENDENCYPART_SIBL
(6,13),(6,34),-0.0995953 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.185061 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.105768 # DEPENDENCYPART_SIBL
(6,15),(6,25),0.629397 # DEPENDENCYPART_SIBL
(6,15),(6,26),0.593037 # DEPENDENCYPART_SIBL
