# _root_ - La moció de censura , plantejada amb tant de temps , és un interrogant de com sortirà .
#goldHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
#predictedHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
(14,15),0.172612 # DEPENDENCYPART_ARC
(14,16),-0.404375 # DEPENDENCYPART_ARC
(15,3),-2.54984 # DEPENDENCYPART_ARC
(15,7),-2.23942 # DEPENDENCYPART_ARC
(15,8),-1.51514 # DEPENDENCYPART_ARC
(15,9),-1.39231 # DEPENDENCYPART_ARC
(15,10),-1.56511 # DEPENDENCYPART_ARC
(15,12),-1.49936 # DEPENDENCYPART_ARC
(15,13),-0.884684 # DEPENDENCYPART_ARC
(15,14),1.42502 # DEPENDENCYPART_ARC
(15,16),0.842224 # DEPENDENCYPART_ARC
(15,18),0.312824 # DEPENDENCYPART_ARC
(15,19),-1.08312 # DEPENDENCYPART_ARC
(16,14),-1.92374 # DEPENDENCYPART_ARC
(16,17),1.68226 # DEPENDENCYPART_ARC
(16,18),-0.809132 # DEPENDENCYPART_ARC
(16,19),-1.66472 # DEPENDENCYPART_ARC
(17,18),-0.336291 # DEPENDENCYPART_ARC
(18,1),-1.01806 # DEPENDENCYPART_ARC
(18,3),-1.28634 # DEPENDENCYPART_ARC
(18,6),-2.0322 # DEPENDENCYPART_ARC
(18,7),-1.56024 # DEPENDENCYPART_ARC
(18,8),-1.4878 # DEPENDENCYPART_ARC
(18,9),-2.17557 # DEPENDENCYPART_ARC
(18,10),-2.19947 # DEPENDENCYPART_ARC
(18,11),-1.9429 # DEPENDENCYPART_ARC
(18,12),-1.55274 # DEPENDENCYPART_ARC
(18,13),-0.53013 # DEPENDENCYPART_ARC
(18,15),-0.527316 # DEPENDENCYPART_ARC
(18,16),-0.565126 # DEPENDENCYPART_ARC
(18,17),2.01266 # DEPENDENCYPART_ARC
(18,19),-0.559 # DEPENDENCYPART_ARC
(0,3),(0,7),-0.0466759 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.445255 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.427609 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.328995 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.312912 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.970309 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.816234 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0454167 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00699341 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.150187 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0556508 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0833359 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00225951 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0824386 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00699341 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.184044 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0556508 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0482388 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.153553 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00699341 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0941541 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.233008 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.108591 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0431118 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0630387 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.065382 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.122136 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.123778 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.108591 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0677177 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0630387 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0708735 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0544269 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.108591 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.094035 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0404665 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0114268 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0273553 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0563781 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0332393 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0760025 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.011864 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00918853 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0273553 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0619527 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0050467 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.011864 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.00877882 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0222484 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0313023 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0231679 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00343988 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00193159 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0364486 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.000224359 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0313023 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.016889 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00590165 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0364486 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0200944 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0173374 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00799072 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0362645 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00675304 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0398892 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.358625 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0476468 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0770532 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.376339 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0398892 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0250591 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00424975 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00937764 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00117979 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0696874 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00792045 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0237293 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0264491 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.00251808 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0696874 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0520487 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0334469 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0170165 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0987688 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00909047 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.07472 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0250743 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0110786 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0987688 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0234521 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.113236 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0402149 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00683491 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0168539 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0624609 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0128535 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0402149 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0396273 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0379252 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00918853 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0273553 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0619527 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0050467 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.011864 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.00877882 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0222484 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0501891 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0193619 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0159022 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0226061 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.017881 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0159689 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0770532 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.376339 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0398892 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0250591 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.00424975 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0237744 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0327691 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0456559 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0471188 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0380475 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0202943 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0168599 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.00877882 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0222484 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.025701 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.441791 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00812948 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00408712 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0256703 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0798572 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0787354 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0825107 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00408712 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.147396 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.156214 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0105035 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.24469 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0394327 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.087911 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.156214 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0306636 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.44135 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.173338 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.356861 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0354823 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0306636 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.128255 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.395648 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0471394 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.738547 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0352419 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.194263 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.134323 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00574978 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0728672 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0318929 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0641633 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.238977 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.167234 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.047492 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.192255 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.048859 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0593031 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0859751 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.022359 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0806278 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0191838 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.189566 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0436155 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.239707 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0492332 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0503031 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0717453 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.117806 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.16904 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0908391 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0724392 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0186038 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00189287 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0328922 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00306052 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0296572 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.357683 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0849763 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.00671788 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0253904 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.000543732 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0946392 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0158013 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0298614 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0204182 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00341275 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0549921 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.031601 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0048258 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.14742 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0194218 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00208608 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0668727 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0479494 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0127176 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.043112 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0101628 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0163528 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.00331495 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.0533383 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.176751 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.179897 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0169353 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0324489 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.019751 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0560282 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0116129 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0696123 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.00907651 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0162286 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0560282 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0251979 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0067846 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.119937 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.01097 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0531269 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0261235 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0466521 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0119438 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00314308 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0424193 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00940458 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0466521 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0210595 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0218498 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0175525 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0313985 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0200484 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0520388 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0160844 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0738764 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.00536691 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0207001 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0520388 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0214883 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.00522727 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.144697 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0328927 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.189864 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.151536 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.643886 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.038039 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.129259 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.189864 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0709196 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.144903 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0150599 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.173327 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.00569512 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.203271 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00904669 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0085087 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.173327 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0262002 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0952545 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0332799 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0592364 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0239211 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0534407 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0632869 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0332799 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0524444 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.000643328 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.00491514 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0235533 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0142577 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.000557547 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.181969 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0091164 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0531881 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.104121 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0417237 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.118489 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0349636 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0303117 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0470931 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0307857 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0723158 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0436553 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.00861841 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.00837964 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0328257 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0192733 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.107261 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0419974 # DEPENDENCYPART_SIBL
