# _root_ Els antecedents dels Pastorets de l' Ametlla_de_Merola es remunten a l' any_1878 , quan a iniciativa de les Germanes_Dominiques , van començar les representacions durant la Missa_del_Gall .
#goldHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
#predictedHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
(16,15),-1.40259 # DEPENDENCYPART_ARC
(16,17),0.512835 # DEPENDENCYPART_ARC
(16,19),-1.02691 # DEPENDENCYPART_ARC
(16,20),-1.04034 # DEPENDENCYPART_ARC
(16,21),-1.87998 # DEPENDENCYPART_ARC
(16,22),-1.65647 # DEPENDENCYPART_ARC
(16,24),-1.89196 # DEPENDENCYPART_ARC
(16,25),-1.09397 # DEPENDENCYPART_ARC
(16,28),-2.40767 # DEPENDENCYPART_ARC
(17,18),-1.32422 # DEPENDENCYPART_ARC
(17,19),1.54937 # DEPENDENCYPART_ARC
(17,20),-1.3857 # DEPENDENCYPART_ARC
(17,21),-2.16224 # DEPENDENCYPART_ARC
(17,22),-1.9025 # DEPENDENCYPART_ARC
(19,2),-2.75794 # DEPENDENCYPART_ARC
(19,9),-2.80069 # DEPENDENCYPART_ARC
(19,18),0.759684 # DEPENDENCYPART_ARC
(19,20),-0.918331 # DEPENDENCYPART_ARC
(19,21),-2.00214 # DEPENDENCYPART_ARC
(19,22),-1.99838 # DEPENDENCYPART_ARC
(19,24),-1.96356 # DEPENDENCYPART_ARC
(19,25),-2.02062 # DEPENDENCYPART_ARC
(19,28),-2.25046 # DEPENDENCYPART_ARC
(21,9),-3.42316 # DEPENDENCYPART_ARC
(21,10),-3.76041 # DEPENDENCYPART_ARC
(21,13),-2.82845 # DEPENDENCYPART_ARC
(21,14),-3.44386 # DEPENDENCYPART_ARC
(21,15),-2.95598 # DEPENDENCYPART_ARC
(21,17),-3.79096 # DEPENDENCYPART_ARC
(21,19),-2.77929 # DEPENDENCYPART_ARC
(21,20),-2.60748 # DEPENDENCYPART_ARC
(21,22),-0.303543 # DEPENDENCYPART_ARC
(21,24),-1.08502 # DEPENDENCYPART_ARC
(21,25),-1.24067 # DEPENDENCYPART_ARC
(21,28),-1.90868 # DEPENDENCYPART_ARC
(22,2),-2.01174 # DEPENDENCYPART_ARC
(22,5),-3.88108 # DEPENDENCYPART_ARC
(22,7),-2.13267 # DEPENDENCYPART_ARC
(22,9),-1.6014 # DEPENDENCYPART_ARC
(22,10),-1.83459 # DEPENDENCYPART_ARC
(22,12),-2.14164 # DEPENDENCYPART_ARC
(22,13),-1.36017 # DEPENDENCYPART_ARC
(22,14),-1.68113 # DEPENDENCYPART_ARC
(22,15),-1.19663 # DEPENDENCYPART_ARC
(22,16),-2.05123 # DEPENDENCYPART_ARC
(22,17),-2.2268 # DEPENDENCYPART_ARC
(22,18),-2.46506 # DEPENDENCYPART_ARC
(22,19),-1.1724 # DEPENDENCYPART_ARC
(22,20),-1.53148 # DEPENDENCYPART_ARC
(22,21),2.18557 # DEPENDENCYPART_ARC
(22,24),1.34586 # DEPENDENCYPART_ARC
(22,25),0.249619 # DEPENDENCYPART_ARC
(22,27),-0.976585 # DEPENDENCYPART_ARC
(22,28),-0.818381 # DEPENDENCYPART_ARC
(23,24),-0.622902 # DEPENDENCYPART_ARC
(23,25),-1.383 # DEPENDENCYPART_ARC
(23,26),-1.29256 # DEPENDENCYPART_ARC
(24,5),-2.15091 # DEPENDENCYPART_ARC
(24,17),-2.23067 # DEPENDENCYPART_ARC
(24,18),-2.28686 # DEPENDENCYPART_ARC
(24,21),-1.45091 # DEPENDENCYPART_ARC
(24,23),2.29956 # DEPENDENCYPART_ARC
(24,25),0.141537 # DEPENDENCYPART_ARC
(24,27),-1.14371 # DEPENDENCYPART_ARC
(24,28),-1.38743 # DEPENDENCYPART_ARC
(25,23),-1.99086 # DEPENDENCYPART_ARC
(25,24),-1.58834 # DEPENDENCYPART_ARC
(25,26),-1.37214 # DEPENDENCYPART_ARC
(25,27),1.4906 # DEPENDENCYPART_ARC
(25,28),-1.33098 # DEPENDENCYPART_ARC
(26,24),-2.71913 # DEPENDENCYPART_ARC
(27,23),-2.62251 # DEPENDENCYPART_ARC
(27,25),-0.847152 # DEPENDENCYPART_ARC
(27,26),0.935151 # DEPENDENCYPART_ARC
(27,28),-1.00144 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.424001 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.440775 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.450798 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.939514 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.926125 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.930717 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.342712 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0817954 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0772047 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.168699 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0755493 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0144142 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.118095 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0606558 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.056255 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.118095 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.168699 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.056255 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.136154 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0275729 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0777825 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.152233 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.0610759 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.000965065 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0845294 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00115126 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.105264 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.176095 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0135219 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0329389 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.176095 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0845294 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0329389 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.1155 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.115551 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.00818173 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.0641592 # DEPENDENCYPART_SIBL
(2,3),(2,28),0.00679596 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0557961 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0115694 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00586181 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0370346 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00846785 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0267211 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0370346 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0557961 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0267211 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0134346 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0320013 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0020648 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0415513 # DEPENDENCYPART_SIBL
(2,4),(2,28),-0.013268 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00087219 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0186571 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0733387 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0587551 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0337131 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0733387 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.019867 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0337131 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0242539 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0424431 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0072772 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.00527572 # DEPENDENCYPART_SIBL
(2,5),(2,28),-0.0146958 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00612779 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0372109 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00864484 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0240019 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0372109 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0552624 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0240019 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0131687 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0317353 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.00246451 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0413769 # DEPENDENCYPART_SIBL
(2,7),(2,28),-0.0140013 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0645869 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0485149 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0595756 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0645869 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0517296 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0595756 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.060682 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0573063 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0198133 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0873053 # DEPENDENCYPART_SIBL
(2,9),(2,28),0.0297597 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0941828 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00682759 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0331027 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.00734458 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.00682759 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0207595 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0109285 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0571401 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.0853329 # DEPENDENCYPART_SIBL
(2,10),(2,28),0.1977 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0464503 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.063508 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0591911 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0464503 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0301431 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.036294 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.00618053 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.066952 # DEPENDENCYPART_SIBL
(2,12),(2,28),0.0759968 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0417985 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0315157 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0339026 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0622328 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.0577412 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.348458 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.161032 # DEPENDENCYPART_SIBL
(2,13),(2,28),-3.09825e-05 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.00734458 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.00682759 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.0207595 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0109285 # DEPENDENCYPART_SIBL
(2,15),(2,24),0.0571401 # DEPENDENCYPART_SIBL
(2,15),(2,25),0.0853329 # DEPENDENCYPART_SIBL
(2,15),(2,28),0.1977 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0337131 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.0242539 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.0424431 # DEPENDENCYPART_SIBL
(2,17),(2,24),-0.0072772 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.00527572 # DEPENDENCYPART_SIBL
(2,17),(2,28),-0.0146958 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0622328 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.0577412 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.348458 # DEPENDENCYPART_SIBL
(2,20),(2,25),0.161032 # DEPENDENCYPART_SIBL
(2,20),(2,28),-3.09825e-05 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.0785494 # DEPENDENCYPART_SIBL
(2,21),(2,24),0.000971978 # DEPENDENCYPART_SIBL
(2,21),(2,25),0.0683387 # DEPENDENCYPART_SIBL
(2,21),(2,28),-0.0053124 # DEPENDENCYPART_SIBL
(2,22),(2,24),0.0101386 # DEPENDENCYPART_SIBL
(2,22),(2,25),0.0742346 # DEPENDENCYPART_SIBL
(2,22),(2,28),0.0054834 # DEPENDENCYPART_SIBL
(2,24),(2,25),0.0346373 # DEPENDENCYPART_SIBL
(2,24),(2,28),-0.0126498 # DEPENDENCYPART_SIBL
(2,25),(2,28),0.119972 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.12872 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.306429 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.129259 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.221783 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0353359 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.202454 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0733434 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.871161 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.385202 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0582846 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.109678 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.119332 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0972897 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0231199 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.176934 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.387088 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0502944 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.112225 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00974017 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.113753 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.356681 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.165457 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0950303 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00616029 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.119432 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0587341 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.119432 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.019319 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.0635779 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00236517 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00810925 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0935171 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0695896 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0935171 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0318952 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.00602733 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00308732 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0427348 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00367228 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0427348 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0409504 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.0122718 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0695269 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0515597 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0695269 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.055307 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.0431054 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.10289 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0471558 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.00176825 # DEPENDENCYPART_SIBL
(4,10),(4,28),0.217139 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0629469 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.037337 # DEPENDENCYPART_SIBL
(4,12),(4,28),0.0827323 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.00176825 # DEPENDENCYPART_SIBL
(4,15),(4,28),0.217139 # DEPENDENCYPART_SIBL
(4,22),(4,28),0.0188291 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.05995 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0401976 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0464768 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0444495 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.156957 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.114775 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.149506 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.10195 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.187034 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.132655 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0285804 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.451791 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.28655 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.465145 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0224838 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0863842 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.125023 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.132008 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.107799 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.108866 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0461017 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.29598 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0729624 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0351162 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0232099 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0468082 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0250919 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0448958 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0140759 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.02693 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.0159426 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0338666 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.116786 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0182454 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0514422 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0534336 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.0353459 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0243244 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0105347 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0232992 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0416229 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.344256 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0225548 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.303323 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0106288 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0548255 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.105377 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0106288 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0227231 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0711684 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0190872 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.105377 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.078519 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0456913 # DEPENDENCYPART_SIBL
(9,1),(9,24),-0.0260004 # DEPENDENCYPART_SIBL
