# _root_ L' Ajuntament_de_Girona està preparant la redacció d' un nou Pla_General que , segons ha explicat l' alcalde , podria estar llest a finals del 2001 .
#goldHeads=2,4,4,0,6,4,6,10,10,7,20,15,15,15,20,17,15,15,20,10,20,20,22,23,24,4,
#predictedHeads=2,4,4,0,6,4,6,10,10,7,15,15,15,15,10,17,15,15,20,15,20,20,22,23,24,4,
(4,20),-1.70724 # DEPENDENCYPART_ARC
(4,21),-2.17022 # DEPENDENCYPART_ARC
(4,22),-1.89134 # DEPENDENCYPART_ARC
(4,25),-2.22655 # DEPENDENCYPART_ARC
(4,26),-0.424476 # DEPENDENCYPART_ARC
(5,6),-0.164321 # DEPENDENCYPART_ARC
(5,7),-0.982813 # DEPENDENCYPART_ARC
(5,8),-1.39256 # DEPENDENCYPART_ARC
(6,1),-2.83722 # DEPENDENCYPART_ARC
(6,3),-2.70812 # DEPENDENCYPART_ARC
(6,4),-1.26235 # DEPENDENCYPART_ARC
(6,5),1.67465 # DEPENDENCYPART_ARC
(6,7),0.875971 # DEPENDENCYPART_ARC
(6,8),-1.85731 # DEPENDENCYPART_ARC
(6,9),-1.37839 # DEPENDENCYPART_ARC
(6,10),-0.821683 # DEPENDENCYPART_ARC
(6,12),-0.752911 # DEPENDENCYPART_ARC
(6,14),-1.17277 # DEPENDENCYPART_ARC
(6,15),-1.10911 # DEPENDENCYPART_ARC
(6,17),-2.28128 # DEPENDENCYPART_ARC
(6,18),-1.0805 # DEPENDENCYPART_ARC
(6,19),-2.15992 # DEPENDENCYPART_ARC
(6,20),-2.24709 # DEPENDENCYPART_ARC
(6,21),-2.76684 # DEPENDENCYPART_ARC
(6,22),-1.5493 # DEPENDENCYPART_ARC
(6,24),-2.38504 # DEPENDENCYPART_ARC
(6,26),-2.18907 # DEPENDENCYPART_ARC
(7,5),-1.80257 # DEPENDENCYPART_ARC
(7,8),-1.5529 # DEPENDENCYPART_ARC
(7,9),-0.761354 # DEPENDENCYPART_ARC
(7,10),-0.137069 # DEPENDENCYPART_ARC
(7,12),-0.869215 # DEPENDENCYPART_ARC
(7,13),-1.42947 # DEPENDENCYPART_ARC
(7,15),-1.87624 # DEPENDENCYPART_ARC
(7,17),-1.89871 # DEPENDENCYPART_ARC
(8,7),-0.492506 # DEPENDENCYPART_ARC
(8,9),-0.836841 # DEPENDENCYPART_ARC
(9,5),-2.75133 # DEPENDENCYPART_ARC
(9,7),-1.43599 # DEPENDENCYPART_ARC
(9,8),-0.978795 # DEPENDENCYPART_ARC
(9,10),-0.567414 # DEPENDENCYPART_ARC
(9,12),-1.14784 # DEPENDENCYPART_ARC
(9,13),-1.38802 # DEPENDENCYPART_ARC
(9,14),-1.99181 # DEPENDENCYPART_ARC
(9,15),-1.93847 # DEPENDENCYPART_ARC
(9,17),-2.53188 # DEPENDENCYPART_ARC
(9,19),-2.18648 # DEPENDENCYPART_ARC
(9,20),-2.43161 # DEPENDENCYPART_ARC
(9,21),-2.35481 # DEPENDENCYPART_ARC
(10,4),-1.8798 # DEPENDENCYPART_ARC
(10,7),-0.521072 # DEPENDENCYPART_ARC
(10,8),0.743289 # DEPENDENCYPART_ARC
(10,9),1.39583 # DEPENDENCYPART_ARC
(10,12),-0.939887 # DEPENDENCYPART_ARC
(10,13),-0.931101 # DEPENDENCYPART_ARC
(10,14),-1.40704 # DEPENDENCYPART_ARC
(10,15),-1.57451 # DEPENDENCYPART_ARC
(10,17),-2.04566 # DEPENDENCYPART_ARC
(10,18),-1.27384 # DEPENDENCYPART_ARC
(10,19),-2.4025 # DEPENDENCYPART_ARC
(10,20),-2.37467 # DEPENDENCYPART_ARC
(10,21),-2.10869 # DEPENDENCYPART_ARC
(10,24),-3.00504 # DEPENDENCYPART_ARC
(10,25),-1.846 # DEPENDENCYPART_ARC
(10,26),-2.0537 # DEPENDENCYPART_ARC
(11,13),-1.64536 # DEPENDENCYPART_ARC
(13,12),-1.07241 # DEPENDENCYPART_ARC
(13,14),-1.17788 # DEPENDENCYPART_ARC
(14,3),-4.8909 # DEPENDENCYPART_ARC
(14,4),-4.21471 # DEPENDENCYPART_ARC
(14,11),-2.25984 # DEPENDENCYPART_ARC
(14,12),-2.34822 # DEPENDENCYPART_ARC
(14,13),-0.91023 # DEPENDENCYPART_ARC
(14,17),-2.06294 # DEPENDENCYPART_ARC
(14,18),-1.43434 # DEPENDENCYPART_ARC
(14,19),-2.17304 # DEPENDENCYPART_ARC
(14,20),-2.2395 # DEPENDENCYPART_ARC
(14,22),-2.4845 # DEPENDENCYPART_ARC
(14,26),-3.03695 # DEPENDENCYPART_ARC
(15,2),-2.24314 # DEPENDENCYPART_ARC
(15,3),-1.63575 # DEPENDENCYPART_ARC
(15,4),-1.92899 # DEPENDENCYPART_ARC
(15,6),-2.3234 # DEPENDENCYPART_ARC
(15,7),-2.18287 # DEPENDENCYPART_ARC
(15,9),-2.21394 # DEPENDENCYPART_ARC
(15,10),-1.86563 # DEPENDENCYPART_ARC
(15,11),0.352533 # DEPENDENCYPART_ARC
(15,12),-0.369003 # DEPENDENCYPART_ARC
(15,13),0.849542 # DEPENDENCYPART_ARC
(15,14),3.1099 # DEPENDENCYPART_ARC
(15,17),0.584688 # DEPENDENCYPART_ARC
(15,18),-0.134675 # DEPENDENCYPART_ARC
(15,19),-0.828898 # DEPENDENCYPART_ARC
(15,20),-1.37365 # DEPENDENCYPART_ARC
(15,21),-1.71556 # DEPENDENCYPART_ARC
(15,22),-1.09034 # DEPENDENCYPART_ARC
(15,24),-1.75734 # DEPENDENCYPART_ARC
(15,25),-1.9497 # DEPENDENCYPART_ARC
(15,26),-1.21714 # DEPENDENCYPART_ARC
(17,3),-2.5172 # DEPENDENCYPART_ARC
(17,4),-2.37654 # DEPENDENCYPART_ARC
(17,7),-1.11116 # DEPENDENCYPART_ARC
(17,14),-1.9105 # DEPENDENCYPART_ARC
(17,15),-1.28714 # DEPENDENCYPART_ARC
(17,16),1.93746 # DEPENDENCYPART_ARC
(17,18),-0.752524 # DEPENDENCYPART_ARC
(17,19),-1.56425 # DEPENDENCYPART_ARC
(17,20),-1.52888 # DEPENDENCYPART_ARC
(17,21),-0.879236 # DEPENDENCYPART_ARC
(17,22),-1.36811 # DEPENDENCYPART_ARC
(17,24),-1.62617 # DEPENDENCYPART_ARC
(17,25),-1.83183 # DEPENDENCYPART_ARC
(18,17),-2.05811 # DEPENDENCYPART_ARC
(19,2),-4.3684 # DEPENDENCYPART_ARC
(19,3),-4.36511 # DEPENDENCYPART_ARC
(19,4),-4.04861 # DEPENDENCYPART_ARC
(19,6),-4.18285 # DEPENDENCYPART_ARC
(19,10),-4.01578 # DEPENDENCYPART_ARC
(19,11),-4.20116 # DEPENDENCYPART_ARC
(19,13),-2.72544 # DEPENDENCYPART_ARC
(19,14),-2.73278 # DEPENDENCYPART_ARC
(19,15),-2.01162 # DEPENDENCYPART_ARC
(19,17),-2.34822 # DEPENDENCYPART_ARC
(19,18),-1.92867 # DEPENDENCYPART_ARC
(19,20),0.135399 # DEPENDENCYPART_ARC
(19,21),-1.00066 # DEPENDENCYPART_ARC
(19,22),-1.28265 # DEPENDENCYPART_ARC
(19,24),-2.12862 # DEPENDENCYPART_ARC
(19,25),-2.51291 # DEPENDENCYPART_ARC
(19,26),-1.66246 # DEPENDENCYPART_ARC
(20,2),-2.03092 # DEPENDENCYPART_ARC
(20,3),-2.49966 # DEPENDENCYPART_ARC
(20,4),-2.43567 # DEPENDENCYPART_ARC
(20,6),-2.19151 # DEPENDENCYPART_ARC
(20,9),-2.06949 # DEPENDENCYPART_ARC
(20,10),-1.98133 # DEPENDENCYPART_ARC
(20,11),-2.05706 # DEPENDENCYPART_ARC
(20,12),-1.79848 # DEPENDENCYPART_ARC
(20,13),-0.732825 # DEPENDENCYPART_ARC
(20,14),-1.60972 # DEPENDENCYPART_ARC
(20,15),-0.951271 # DEPENDENCYPART_ARC
(20,16),-1.96432 # DEPENDENCYPART_ARC
(20,17),-0.419703 # DEPENDENCYPART_ARC
(20,18),-0.799497 # DEPENDENCYPART_ARC
(20,19),3.00393 # DEPENDENCYPART_ARC
(20,21),1.43762 # DEPENDENCYPART_ARC
(20,22),0.434331 # DEPENDENCYPART_ARC
(20,23),-0.229675 # DEPENDENCYPART_ARC
(20,24),-0.484557 # DEPENDENCYPART_ARC
(20,25),-1.15891 # DEPENDENCYPART_ARC
(20,26),-0.348609 # DEPENDENCYPART_ARC
(21,18),-1.90366 # DEPENDENCYPART_ARC
(21,22),0.0390318 # DEPENDENCYPART_ARC
(21,23),-1.59392 # DEPENDENCYPART_ARC
(21,24),-1.53257 # DEPENDENCYPART_ARC
(21,25),-1.45118 # DEPENDENCYPART_ARC
(22,21),-1.41544 # DEPENDENCYPART_ARC
(22,23),2.55743 # DEPENDENCYPART_ARC
(22,24),-1.37342 # DEPENDENCYPART_ARC
(22,25),-0.933737 # DEPENDENCYPART_ARC
(23,21),-1.48172 # DEPENDENCYPART_ARC
(23,22),-0.904948 # DEPENDENCYPART_ARC
(23,24),0.459874 # DEPENDENCYPART_ARC
(23,25),-0.88259 # DEPENDENCYPART_ARC
(23,26),-1.03491 # DEPENDENCYPART_ARC
(24,25),1.278 # DEPENDENCYPART_ARC
(25,22),-1.72495 # DEPENDENCYPART_ARC
(25,24),-0.887171 # DEPENDENCYPART_ARC
(25,26),-0.81233 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.434392 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.423502 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.431836 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.424024 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.416971 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.946484 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.944343 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.947991 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.952853 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.934085 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.937734 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.942596 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.95818 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.963042 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.944592 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0236585 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0683473 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.201627 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.240409 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0609749 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0303046 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00298413 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0405687 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0275066 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.015812 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0373908 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.13361 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0644697 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0541348 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.062836 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0466513 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.251115 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.191996 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.15308 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0466513 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.160168 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.119054 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.075942 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00117255 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00405508 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0177114 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00432154 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0177011 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0044444 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.000793234 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0145099 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0177011 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0101396 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00362184 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0260756 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00971116 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0706788 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0131347 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00365938 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0141067 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0348371 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0149685 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.00365938 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0270689 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0118901 # DEPENDENCYPART_SIBL
(3,4),(3,26),0.0122656 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.131243 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.267603 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00510011 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.19004 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0321168 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0441474 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00510011 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0287469 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.00511148 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0261926 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.045107 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0590081 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.174142 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.061412 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0567623 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0590081 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0599947 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0511122 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.017098 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0231941 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.183201 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0304616 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0424921 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0231941 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0270916 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.00676672 # DEPENDENCYPART_SIBL
(3,10),(3,26),-0.032396 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0589224 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0353446 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0526254 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0974009 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0686958 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0889539 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.0334067 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0823614 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.125718 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0119256 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.175746 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.23318 # DEPENDENCYPART_SIBL
(3,13),(3,26),0.0999554 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0271165 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0420955 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0381998 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0230433 # DEPENDENCYPART_SIBL
(3,14),(3,26),0.0178213 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0228892 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0320245 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0168456 # DEPENDENCYPART_SIBL
(3,15),(3,26),0.060526 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0686958 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.0889539 # DEPENDENCYPART_SIBL
(3,18),(3,26),-0.0334067 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0124533 # DEPENDENCYPART_SIBL
(3,19),(3,26),0.0222129 # DEPENDENCYPART_SIBL
(3,20),(3,26),0.04941 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0617786 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.033808 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0685129 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0252163 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0717281 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0668793 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0617041 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.24955 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.153743 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.116873 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0871893 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0617041 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.123961 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0821451 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0959205 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0591172 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0198519 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0498717 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.133815 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00580084 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00716077 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0199512 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0060673 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.000166766 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0217508 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0100723 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0226354 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0139195 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.000166766 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00201417 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00520649 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0228355 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0329683 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0131418 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0699142 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0861765 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0128761 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0167716 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0924695 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0289635 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0916422 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0031673 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0130789 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0681368 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0289635 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.014231 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0413618 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00310138 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.00299437 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0873708 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.158745 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0975033 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0550024 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.256678 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00360945 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.171756 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0496178 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0615813 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.256206 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.00360945 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0461808 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0113428 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0551185 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0136253 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0441764 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.00401518 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.122172 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0369883 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0739531 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.154744 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.076628 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0711938 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0487506 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0739531 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0744262 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0642016 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0962487 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.169797 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0889856 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.00856445 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0745996 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0625821 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.103632 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0489902 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.057769 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0763363 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0625821 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0508665 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0182876 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.217542 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.174757 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0755216 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.0449804 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0144846 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.164917 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0479626 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.059926 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.25114 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0144846 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0445255 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.00968758 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0512502 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.00601099 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0405277 # DEPENDENCYPART_SIBL
(4,10),(4,26),-0.0102185 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0629869 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0190545 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00262535 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.060231 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0957519 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0134451 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0348141 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.013302 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.223152 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0707663 # DEPENDENCYPART_SIBL
(4,12),(4,26),-0.0641941 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00533135 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0499532 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0782445 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0048136 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0999812 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.158637 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.039751 # DEPENDENCYPART_SIBL
