# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,29,6,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,0,29,32,30,32,35,36,29,38,36,38,29,
(4,17),-1.00354 # DEPENDENCYPART_ARC
(4,18),-1.59922 # DEPENDENCYPART_ARC
(4,19),-1.85608 # DEPENDENCYPART_ARC
(4,21),-1.56452 # DEPENDENCYPART_ARC
(4,23),-2.06907 # DEPENDENCYPART_ARC
(4,24),-1.83614 # DEPENDENCYPART_ARC
(4,25),-1.29226 # DEPENDENCYPART_ARC
(4,26),-2.30987 # DEPENDENCYPART_ARC
(4,27),-1.58513 # DEPENDENCYPART_ARC
(4,28),-2.94236 # DEPENDENCYPART_ARC
(4,29),-2.00792 # DEPENDENCYPART_ARC
(4,30),-1.96675 # DEPENDENCYPART_ARC
(4,32),-2.3479 # DEPENDENCYPART_ARC
(4,33),-2.20039 # DEPENDENCYPART_ARC
(4,35),-2.85858 # DEPENDENCYPART_ARC
(4,36),-2.25061 # DEPENDENCYPART_ARC
(4,38),-2.60514 # DEPENDENCYPART_ARC
(4,40),-1.86599 # DEPENDENCYPART_ARC
(5,2),-2.08877 # DEPENDENCYPART_ARC
(5,4),-0.800405 # DEPENDENCYPART_ARC
(5,6),-0.798875 # DEPENDENCYPART_ARC
(5,7),-1.4585 # DEPENDENCYPART_ARC
(5,9),-1.8995 # DEPENDENCYPART_ARC
(5,10),-2.23991 # DEPENDENCYPART_ARC
(6,1),-2.71535 # DEPENDENCYPART_ARC
(6,4),-0.69904 # DEPENDENCYPART_ARC
(6,5),-0.112339 # DEPENDENCYPART_ARC
(6,7),0.973567 # DEPENDENCYPART_ARC
(6,9),-1.02492 # DEPENDENCYPART_ARC
(6,10),-0.976427 # DEPENDENCYPART_ARC
(6,11),-0.257007 # DEPENDENCYPART_ARC
(6,12),-1.89886 # DEPENDENCYPART_ARC
(6,13),-1.30654 # DEPENDENCYPART_ARC
(6,14),-1.22716 # DEPENDENCYPART_ARC
(6,25),-1.8805 # DEPENDENCYPART_ARC
(7,5),-1.35413 # DEPENDENCYPART_ARC
(7,6),-1.27028 # DEPENDENCYPART_ARC
(7,9),-1.46466 # DEPENDENCYPART_ARC
(7,10),-1.75691 # DEPENDENCYPART_ARC
(7,12),-2.15018 # DEPENDENCYPART_ARC
(8,10),-1.24231 # DEPENDENCYPART_ARC
(8,12),-1.47145 # DEPENDENCYPART_ARC
(8,14),-1.10473 # DEPENDENCYPART_ARC
(8,16),-2.14654 # DEPENDENCYPART_ARC
(8,28),-2.30499 # DEPENDENCYPART_ARC
(8,35),-2.26643 # DEPENDENCYPART_ARC
(9,5),-2.01822 # DEPENDENCYPART_ARC
(9,6),-1.90011 # DEPENDENCYPART_ARC
(9,7),-1.5827 # DEPENDENCYPART_ARC
(9,8),-0.641633 # DEPENDENCYPART_ARC
(9,10),0.340662 # DEPENDENCYPART_ARC
(9,11),-0.587151 # DEPENDENCYPART_ARC
(9,12),-0.793728 # DEPENDENCYPART_ARC
(9,14),-0.164669 # DEPENDENCYPART_ARC
(9,16),-1.54307 # DEPENDENCYPART_ARC
(9,17),-1.3309 # DEPENDENCYPART_ARC
(9,18),-1.60461 # DEPENDENCYPART_ARC
(9,19),-1.65679 # DEPENDENCYPART_ARC
(9,27),-0.739885 # DEPENDENCYPART_ARC
(9,29),-1.77037 # DEPENDENCYPART_ARC
(10,4),-2.69325 # DEPENDENCYPART_ARC
(10,6),-1.76926 # DEPENDENCYPART_ARC
(10,7),-1.95301 # DEPENDENCYPART_ARC
(10,8),-1.45222 # DEPENDENCYPART_ARC
(10,9),-0.41065 # DEPENDENCYPART_ARC
(10,11),2.35884 # DEPENDENCYPART_ARC
(10,12),-0.834787 # DEPENDENCYPART_ARC
(10,13),-1.27832 # DEPENDENCYPART_ARC
(10,14),-0.862288 # DEPENDENCYPART_ARC
(10,25),-1.78629 # DEPENDENCYPART_ARC
(11,7),-2.17474 # DEPENDENCYPART_ARC
(11,8),-1.88504 # DEPENDENCYPART_ARC
(11,9),-1.34068 # DEPENDENCYPART_ARC
(11,12),0.218659 # DEPENDENCYPART_ARC
(11,13),-1.07332 # DEPENDENCYPART_ARC
(11,14),-0.969149 # DEPENDENCYPART_ARC
(11,16),-1.74987 # DEPENDENCYPART_ARC
(11,17),-1.76212 # DEPENDENCYPART_ARC
(11,18),-1.93884 # DEPENDENCYPART_ARC
(11,23),-2.49534 # DEPENDENCYPART_ARC
(11,25),-1.85818 # DEPENDENCYPART_ARC
(11,28),-2.5533 # DEPENDENCYPART_ARC
(11,40),-3.35322 # DEPENDENCYPART_ARC
(12,13),1.27621 # DEPENDENCYPART_ARC
(12,14),-1.18432 # DEPENDENCYPART_ARC
(12,16),-1.26999 # DEPENDENCYPART_ARC
(12,17),-1.81958 # DEPENDENCYPART_ARC
(13,10),-1.62544 # DEPENDENCYPART_ARC
(13,12),-0.875999 # DEPENDENCYPART_ARC
(13,14),-0.454409 # DEPENDENCYPART_ARC
(13,17),-1.28192 # DEPENDENCYPART_ARC
(13,18),-1.62226 # DEPENDENCYPART_ARC
(13,21),-2.1731 # DEPENDENCYPART_ARC
(13,25),-1.83767 # DEPENDENCYPART_ARC
(15,16),-1.64373 # DEPENDENCYPART_ARC
(16,15),0.884621 # DEPENDENCYPART_ARC
(16,17),-1.49004 # DEPENDENCYPART_ARC
(16,23),-2.14805 # DEPENDENCYPART_ARC
(16,25),-1.76551 # DEPENDENCYPART_ARC
(17,2),-4.1168 # DEPENDENCYPART_ARC
(17,3),-4.26608 # DEPENDENCYPART_ARC
(17,4),-2.96304 # DEPENDENCYPART_ARC
(17,5),-3.50691 # DEPENDENCYPART_ARC
(17,6),-2.66249 # DEPENDENCYPART_ARC
(17,7),-3.3574 # DEPENDENCYPART_ARC
(17,8),-1.91156 # DEPENDENCYPART_ARC
(17,9),-2.88563 # DEPENDENCYPART_ARC
(17,10),-3.17873 # DEPENDENCYPART_ARC
(17,11),-3.40351 # DEPENDENCYPART_ARC
(17,12),-3.28707 # DEPENDENCYPART_ARC
(17,13),-2.91865 # DEPENDENCYPART_ARC
(17,14),-2.13764 # DEPENDENCYPART_ARC
(17,15),-3.37013 # DEPENDENCYPART_ARC
(17,16),-1.3974 # DEPENDENCYPART_ARC
(17,18),0.486218 # DEPENDENCYPART_ARC
(17,19),-1.27121 # DEPENDENCYPART_ARC
(17,21),-1.45848 # DEPENDENCYPART_ARC
(17,23),-1.76739 # DEPENDENCYPART_ARC
(17,24),-2.10961 # DEPENDENCYPART_ARC
(17,25),-1.4494 # DEPENDENCYPART_ARC
(17,26),-2.36102 # DEPENDENCYPART_ARC
(17,27),-1.61291 # DEPENDENCYPART_ARC
(17,28),-3.03315 # DEPENDENCYPART_ARC
(17,29),-1.7056 # DEPENDENCYPART_ARC
(17,30),-2.35247 # DEPENDENCYPART_ARC
(17,33),-2.08058 # DEPENDENCYPART_ARC
(17,36),-1.84984 # DEPENDENCYPART_ARC
(17,40),-1.61308 # DEPENDENCYPART_ARC
(18,2),-1.48826 # DEPENDENCYPART_ARC
(18,3),-1.00789 # DEPENDENCYPART_ARC
(18,4),-1.19738 # DEPENDENCYPART_ARC
(18,5),-1.67359 # DEPENDENCYPART_ARC
(18,6),-0.952474 # DEPENDENCYPART_ARC
(18,7),-1.48619 # DEPENDENCYPART_ARC
(18,8),-0.00288878 # DEPENDENCYPART_ARC
(18,9),-1.04517 # DEPENDENCYPART_ARC
(18,10),-1.30131 # DEPENDENCYPART_ARC
(18,11),-0.939982 # DEPENDENCYPART_ARC
(18,12),-1.6667 # DEPENDENCYPART_ARC
(18,13),-1.18027 # DEPENDENCYPART_ARC
(18,14),-0.821379 # DEPENDENCYPART_ARC
(18,15),-1.64693 # DEPENDENCYPART_ARC
(18,16),0.289863 # DEPENDENCYPART_ARC
(18,17),1.95739 # DEPENDENCYPART_ARC
(18,19),0.824621 # DEPENDENCYPART_ARC
(18,21),0.0635991 # DEPENDENCYPART_ARC
(18,22),-0.676522 # DEPENDENCYPART_ARC
(18,23),-0.72734 # DEPENDENCYPART_ARC
(18,24),-0.876134 # DEPENDENCYPART_ARC
(18,25),-0.717954 # DEPENDENCYPART_ARC
(18,26),-1.24397 # DEPENDENCYPART_ARC
(18,27),-1.07194 # DEPENDENCYPART_ARC
(18,28),-2.02094 # DEPENDENCYPART_ARC
(18,29),-1.06807 # DEPENDENCYPART_ARC
(18,30),-1.47596 # DEPENDENCYPART_ARC
(18,32),-1.51151 # DEPENDENCYPART_ARC
(18,33),-1.53988 # DEPENDENCYPART_ARC
(18,35),-2.46269 # DEPENDENCYPART_ARC
(18,36),-1.47416 # DEPENDENCYPART_ARC
(18,38),-1.9309 # DEPENDENCYPART_ARC
(18,40),-0.921066 # DEPENDENCYPART_ARC
(19,18),-0.793408 # DEPENDENCYPART_ARC
(19,20),-0.81352 # DEPENDENCYPART_ARC
(19,21),-1.2378 # DEPENDENCYPART_ARC
(19,24),-2.04435 # DEPENDENCYPART_ARC
(20,19),-0.276822 # DEPENDENCYPART_ARC
(20,21),-0.656289 # DEPENDENCYPART_ARC
(21,8),-2.58662 # DEPENDENCYPART_ARC
(21,15),-2.65805 # DEPENDENCYPART_ARC
(21,18),-2.3362 # DEPENDENCYPART_ARC
(21,19),-0.538779 # DEPENDENCYPART_ARC
(21,20),1.56298 # DEPENDENCYPART_ARC
(21,22),1.87932 # DEPENDENCYPART_ARC
(21,23),1.12513 # DEPENDENCYPART_ARC
(21,24),-0.855532 # DEPENDENCYPART_ARC
(21,25),-0.591259 # DEPENDENCYPART_ARC
(21,26),-1.3068 # DEPENDENCYPART_ARC
(21,27),-0.575386 # DEPENDENCYPART_ARC
(21,28),-0.631084 # DEPENDENCYPART_ARC
(21,29),-1.73066 # DEPENDENCYPART_ARC
(21,30),-1.94121 # DEPENDENCYPART_ARC
(21,32),-1.50729 # DEPENDENCYPART_ARC
(21,33),-0.585969 # DEPENDENCYPART_ARC
(21,35),-2.08122 # DEPENDENCYPART_ARC
(21,36),-2.59972 # DEPENDENCYPART_ARC
(21,38),-2.02119 # DEPENDENCYPART_ARC
(21,39),-2.5484 # DEPENDENCYPART_ARC
(21,40),-2.03685 # DEPENDENCYPART_ARC
(22,20),-1.71266 # DEPENDENCYPART_ARC
(22,23),-0.176206 # DEPENDENCYPART_ARC
(22,24),-1.26208 # DEPENDENCYPART_ARC
(22,26),-1.70612 # DEPENDENCYPART_ARC
(22,30),-2.55021 # DEPENDENCYPART_ARC
(23,19),-1.14943 # DEPENDENCYPART_ARC
(23,21),-2.11297 # DEPENDENCYPART_ARC
(23,22),-2.18463 # DEPENDENCYPART_ARC
(23,24),-0.0797991 # DEPENDENCYPART_ARC
(23,26),-1.08391 # DEPENDENCYPART_ARC
(23,27),-0.862465 # DEPENDENCYPART_ARC
(23,28),-1.63909 # DEPENDENCYPART_ARC
(23,29),-1.79819 # DEPENDENCYPART_ARC
(23,30),-0.981222 # DEPENDENCYPART_ARC
(23,33),-1.21146 # DEPENDENCYPART_ARC
(23,36),-2.29533 # DEPENDENCYPART_ARC
(23,38),-2.26307 # DEPENDENCYPART_ARC
(24,19),-1.58498 # DEPENDENCYPART_ARC
(24,21),-1.41184 # DEPENDENCYPART_ARC
(24,22),-1.29995 # DEPENDENCYPART_ARC
(24,23),-0.566535 # DEPENDENCYPART_ARC
(24,26),-1.75372 # DEPENDENCYPART_ARC
(24,27),-1.33909 # DEPENDENCYPART_ARC
(26,24),-1.5718 # DEPENDENCYPART_ARC
(26,27),1.04979 # DEPENDENCYPART_ARC
(26,28),-1.35883 # DEPENDENCYPART_ARC
(26,29),-1.448 # DEPENDENCYPART_ARC
(26,30),-2.31766 # DEPENDENCYPART_ARC
(26,33),-1.69716 # DEPENDENCYPART_ARC
(26,35),-2.43082 # DEPENDENCYPART_ARC
(26,36),-2.32838 # DEPENDENCYPART_ARC
(28,26),-1.36237 # DEPENDENCYPART_ARC
(28,27),-0.954534 # DEPENDENCYPART_ARC
(28,29),-1.26237 # DEPENDENCYPART_ARC
(29,2),-2.73221 # DEPENDENCYPART_ARC
(29,3),-2.23772 # DEPENDENCYPART_ARC
(29,4),-1.55519 # DEPENDENCYPART_ARC
(29,5),-2.35506 # DEPENDENCYPART_ARC
(29,6),-1.49055 # DEPENDENCYPART_ARC
(29,7),-2.11907 # DEPENDENCYPART_ARC
(29,8),-0.516001 # DEPENDENCYPART_ARC
(29,9),-1.57865 # DEPENDENCYPART_ARC
(29,10),-2.20708 # DEPENDENCYPART_ARC
(29,11),-2.17707 # DEPENDENCYPART_ARC
(29,13),-1.83159 # DEPENDENCYPART_ARC
(29,16),-1.61667 # DEPENDENCYPART_ARC
(29,17),-1.78998 # DEPENDENCYPART_ARC
(29,18),-0.920451 # DEPENDENCYPART_ARC
(29,19),-1.31183 # DEPENDENCYPART_ARC
(29,21),-0.958837 # DEPENDENCYPART_ARC
(29,22),-1.75472 # DEPENDENCYPART_ARC
(29,23),-1.49056 # DEPENDENCYPART_ARC
(29,24),-0.884711 # DEPENDENCYPART_ARC
(29,25),-0.370064 # DEPENDENCYPART_ARC
(29,26),-0.0337908 # DEPENDENCYPART_ARC
(29,27),-0.323039 # DEPENDENCYPART_ARC
(29,28),0.740698 # DEPENDENCYPART_ARC
(29,30),1.56514 # DEPENDENCYPART_ARC
(29,32),-0.0821264 # DEPENDENCYPART_ARC
(29,33),-0.305261 # DEPENDENCYPART_ARC
(29,35),-1.2923 # DEPENDENCYPART_ARC
(29,36),0.552051 # DEPENDENCYPART_ARC
(29,38),-1.48212 # DEPENDENCYPART_ARC
(29,39),-1.74472 # DEPENDENCYPART_ARC
(29,40),-0.145907 # DEPENDENCYPART_ARC
(30,32),1.72109 # DEPENDENCYPART_ARC
(30,33),-1.00508 # DEPENDENCYPART_ARC
(30,35),-1.18973 # DEPENDENCYPART_ARC
(32,30),-1.64864 # DEPENDENCYPART_ARC
(32,31),1.07468 # DEPENDENCYPART_ARC
(32,33),0.340082 # DEPENDENCYPART_ARC
(32,35),-0.42532 # DEPENDENCYPART_ARC
(32,36),-0.985585 # DEPENDENCYPART_ARC
(32,38),-1.25231 # DEPENDENCYPART_ARC
(32,39),-0.850932 # DEPENDENCYPART_ARC
(34,35),-1.69111 # DEPENDENCYPART_ARC
(35,34),1.08249 # DEPENDENCYPART_ARC
(35,36),-1.36494 # DEPENDENCYPART_ARC
(35,38),-1.75714 # DEPENDENCYPART_ARC
(35,39),-1.7309 # DEPENDENCYPART_ARC
(36,2),-3.0834 # DEPENDENCYPART_ARC
(36,3),-3.04448 # DEPENDENCYPART_ARC
(36,4),-2.21552 # DEPENDENCYPART_ARC
(36,5),-3.08962 # DEPENDENCYPART_ARC
(36,6),-1.92915 # DEPENDENCYPART_ARC
(36,7),-2.78502 # DEPENDENCYPART_ARC
(36,8),-1.51768 # DEPENDENCYPART_ARC
(36,9),-2.20248 # DEPENDENCYPART_ARC
(36,16),-2.26625 # DEPENDENCYPART_ARC
(36,17),-2.80243 # DEPENDENCYPART_ARC
(36,18),-2.2584 # DEPENDENCYPART_ARC
(36,19),-1.84585 # DEPENDENCYPART_ARC
(36,21),-1.43852 # DEPENDENCYPART_ARC
(36,23),-1.81633 # DEPENDENCYPART_ARC
(36,24),-1.82712 # DEPENDENCYPART_ARC
(36,26),-1.3029 # DEPENDENCYPART_ARC
(36,28),-1.27597 # DEPENDENCYPART_ARC
(36,29),-1.84727 # DEPENDENCYPART_ARC
(36,30),-0.633396 # DEPENDENCYPART_ARC
(36,32),-0.463859 # DEPENDENCYPART_ARC
(36,33),-0.16794 # DEPENDENCYPART_ARC
(36,34),-1.31389 # DEPENDENCYPART_ARC
(36,35),0.549657 # DEPENDENCYPART_ARC
(36,38),0.912917 # DEPENDENCYPART_ARC
(36,39),-0.472513 # DEPENDENCYPART_ARC
(36,40),-0.507271 # DEPENDENCYPART_ARC
(38,34),-2.97741 # DEPENDENCYPART_ARC
(38,37),1.97579 # DEPENDENCYPART_ARC
(38,39),1.78775 # DEPENDENCYPART_ARC
(38,40),-0.866509 # DEPENDENCYPART_ARC
(39,37),-1.40718 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.943105 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.941896 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.941627 # DEPENDENCYPART_SIBL
(0,3),(0,29),-0.941367 # DEPENDENCYPART_SIBL
(0,3),(0,36),-0.942572 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.933517 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.933248 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.932987 # DEPENDENCYPART_SIBL
(0,4),(0,36),-0.934192 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.938801 # DEPENDENCYPART_SIBL
(0,17),(0,29),-0.938541 # DEPENDENCYPART_SIBL
(0,17),(0,36),-0.939746 # DEPENDENCYPART_SIBL
(0,18),(0,29),-0.937026 # DEPENDENCYPART_SIBL
(0,18),(0,36),-0.938231 # DEPENDENCYPART_SIBL
(0,29),(0,36),-0.939552 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0943449 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0203053 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.038409 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0305897 # DEPENDENCYPART_SIBL
(2,1),(2,40),-0.0360141 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0320324 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0711753 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0637396 # DEPENDENCYPART_SIBL
(2,3),(2,40),0.0861216 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0854353 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0773714 # DEPENDENCYPART_SIBL
(2,4),(2,40),0.129289 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0171997 # DEPENDENCYPART_SIBL
(2,5),(2,40),0.0716346 # DEPENDENCYPART_SIBL
(2,13),(2,40),0.0951467 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0451173 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0850921 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0421569 # DEPENDENCYPART_SIBL
(3,2),(3,40),-0.11365 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00169135 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0430881 # DEPENDENCYPART_SIBL
(3,4),(3,40),-0.00932053 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0138922 # DEPENDENCYPART_SIBL
(3,5),(3,40),-0.149727 # DEPENDENCYPART_SIBL
(3,6),(3,40),0.0164575 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00979196 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.103753 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0629115 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0318741 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0162076 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.240548 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0157631 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0591239 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0853692 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.129001 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0208238 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0886887 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0877151 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.104082 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0763301 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0157631 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0940237 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0111213 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0248639 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0288042 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0324847 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0886887 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0897431 # DEPENDENCYPART_SIBL
(4,1),(4,29),-0.0685301 # DEPENDENCYPART_SIBL
(4,1),(4,30),0.0920581 # DEPENDENCYPART_SIBL
(4,1),(4,32),-0.0875327 # DEPENDENCYPART_SIBL
(4,1),(4,33),-0.0401737 # DEPENDENCYPART_SIBL
(4,1),(4,35),-0.102521 # DEPENDENCYPART_SIBL
(4,1),(4,36),-0.0830486 # DEPENDENCYPART_SIBL
(4,1),(4,38),-0.100273 # DEPENDENCYPART_SIBL
(4,1),(4,40),-0.112384 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0483113 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0755524 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00608338 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0148289 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.27215 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0228331 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0355522 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0931602 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.065449 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0430365 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.142749 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0959465 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0742676 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0500204 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0228331 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.071777 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0521427 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.030306 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0391928 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0431548 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.142749 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.100414 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.0404078 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.0121318 # DEPENDENCYPART_SIBL
(4,2),(4,32),-0.0949538 # DEPENDENCYPART_SIBL
(4,2),(4,33),-0.037629 # DEPENDENCYPART_SIBL
(4,2),(4,35),-0.109973 # DEPENDENCYPART_SIBL
(4,2),(4,36),-0.0369364 # DEPENDENCYPART_SIBL
(4,2),(4,38),-0.113867 # DEPENDENCYPART_SIBL
(4,2),(4,40),-0.119404 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0737563 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.043683 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0290156 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.175683 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0145499 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0620901 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.11492 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0618065 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0495263 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00320021 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.109148 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0221593 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00819169 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0145499 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0928859 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0720662 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0104209 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0314094 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0946353 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.00320021 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.101473 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0170189 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.118283 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.111652 # DEPENDENCYPART_SIBL
(4,3),(4,33),0.013026 # DEPENDENCYPART_SIBL
(4,3),(4,35),0.09719 # DEPENDENCYPART_SIBL
(4,3),(4,36),0.00582944 # DEPENDENCYPART_SIBL
(4,3),(4,38),0.0944538 # DEPENDENCYPART_SIBL
(4,3),(4,40),0.0478859 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0178629 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.111251 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.198799 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.108731 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.105523 # DEPENDENCYPART_SIBL
