# _root_ En_funció_d' aquesta Diagnosi s' elaborarà el Pla_d'_Acció_Local_per_a_la_Sostenibilitat , configurat per un conjunt d' accions a emprendre , consensuades amb la ciutadania i els agents socials i econòmics locals .
#goldHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,18,15,18,14,18,21,19,21,24,21,24,25,25,24,5,
#predictedHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,9,15,18,16,18,21,19,21,24,21,24,25,25,25,5,
(7,6),0.943906 # DEPENDENCYPART_ARC
(7,8),-0.552613 # DEPENDENCYPART_ARC
(7,9),-0.558384 # DEPENDENCYPART_ARC
(7,10),-1.32678 # DEPENDENCYPART_ARC
(7,12),-1.37346 # DEPENDENCYPART_ARC
(7,13),-1.7083 # DEPENDENCYPART_ARC
(7,14),-1.94884 # DEPENDENCYPART_ARC
(7,15),-1.88986 # DEPENDENCYPART_ARC
(7,16),-1.68332 # DEPENDENCYPART_ARC
(7,18),-2.30635 # DEPENDENCYPART_ARC
(7,19),-2.38634 # DEPENDENCYPART_ARC
(7,22),-0.828327 # DEPENDENCYPART_ARC
(7,24),-3.00566 # DEPENDENCYPART_ARC
(9,1),-1.62441 # DEPENDENCYPART_ARC
(9,6),-1.97304 # DEPENDENCYPART_ARC
(9,8),0.974199 # DEPENDENCYPART_ARC
(9,10),1.80868 # DEPENDENCYPART_ARC
(9,12),-0.869792 # DEPENDENCYPART_ARC
(9,13),-0.369215 # DEPENDENCYPART_ARC
(9,14),-1.51654 # DEPENDENCYPART_ARC
(9,15),-0.346608 # DEPENDENCYPART_ARC
(9,16),-1.30906 # DEPENDENCYPART_ARC
(9,17),-0.957729 # DEPENDENCYPART_ARC
(9,18),-3.38755 # DEPENDENCYPART_ARC
(9,19),-0.663481 # DEPENDENCYPART_ARC
(9,22),-1.12748 # DEPENDENCYPART_ARC
(9,24),-1.98279 # DEPENDENCYPART_ARC
(9,26),-1.08163 # DEPENDENCYPART_ARC
(9,29),-1.59362 # DEPENDENCYPART_ARC
(10,1),-2.31264 # DEPENDENCYPART_ARC
(10,6),-3.43925 # DEPENDENCYPART_ARC
(10,8),-1.46334 # DEPENDENCYPART_ARC
(10,9),-1.37053 # DEPENDENCYPART_ARC
(10,11),-1.48225 # DEPENDENCYPART_ARC
(10,12),1.60866 # DEPENDENCYPART_ARC
(10,13),-1.402 # DEPENDENCYPART_ARC
(10,14),-0.459873 # DEPENDENCYPART_ARC
(10,15),-1.81788 # DEPENDENCYPART_ARC
(10,16),-0.882021 # DEPENDENCYPART_ARC
(10,17),-1.33199 # DEPENDENCYPART_ARC
(10,18),-2.03748 # DEPENDENCYPART_ARC
(10,19),-2.30076 # DEPENDENCYPART_ARC
(10,29),-2.20231 # DEPENDENCYPART_ARC
(11,12),0.0230139 # DEPENDENCYPART_ARC
(11,13),-0.70341 # DEPENDENCYPART_ARC
(11,15),-1.62462 # DEPENDENCYPART_ARC
(12,1),-1.46903 # DEPENDENCYPART_ARC
(12,6),-2.93814 # DEPENDENCYPART_ARC
(12,8),-1.53511 # DEPENDENCYPART_ARC
(12,9),-1.42029 # DEPENDENCYPART_ARC
(12,11),0.954692 # DEPENDENCYPART_ARC
(12,13),1.00364 # DEPENDENCYPART_ARC
(12,14),-0.885475 # DEPENDENCYPART_ARC
(12,15),-0.339876 # DEPENDENCYPART_ARC
(12,16),-1.08682 # DEPENDENCYPART_ARC
(12,18),-3.17074 # DEPENDENCYPART_ARC
(12,19),-1.26317 # DEPENDENCYPART_ARC
(12,22),-0.810829 # DEPENDENCYPART_ARC
(12,24),-2.58071 # DEPENDENCYPART_ARC
(12,25),-3.08228 # DEPENDENCYPART_ARC
(12,27),-3.67706 # DEPENDENCYPART_ARC
(12,28),-3.49069 # DEPENDENCYPART_ARC
(12,29),-2.40594 # DEPENDENCYPART_ARC
(13,11),-1.87815 # DEPENDENCYPART_ARC
(13,14),2.55014 # DEPENDENCYPART_ARC
(13,15),-1.5171 # DEPENDENCYPART_ARC
(13,16),-0.610769 # DEPENDENCYPART_ARC
(13,17),-1.55961 # DEPENDENCYPART_ARC
(14,1),-2.47732 # DEPENDENCYPART_ARC
(14,8),-1.80565 # DEPENDENCYPART_ARC
(14,9),-3.21124 # DEPENDENCYPART_ARC
(14,11),-2.30904 # DEPENDENCYPART_ARC
(14,13),-1.04713 # DEPENDENCYPART_ARC
(14,15),-0.113394 # DEPENDENCYPART_ARC
(14,16),-1.19101 # DEPENDENCYPART_ARC
(14,18),-0.0936549 # DEPENDENCYPART_ARC
(14,19),-1.1656 # DEPENDENCYPART_ARC
(14,24),-1.79477 # DEPENDENCYPART_ARC
(14,28),-1.83013 # DEPENDENCYPART_ARC
(15,13),-1.66237 # DEPENDENCYPART_ARC
(15,16),2.51312 # DEPENDENCYPART_ARC
(15,17),-0.814173 # DEPENDENCYPART_ARC
(15,18),-1.1467 # DEPENDENCYPART_ARC
(15,19),-2.00474 # DEPENDENCYPART_ARC
(15,27),-3.01357 # DEPENDENCYPART_ARC
(16,1),-1.59886 # DEPENDENCYPART_ARC
(16,3),-1.98134 # DEPENDENCYPART_ARC
(16,5),-0.993529 # DEPENDENCYPART_ARC
(16,7),-2.07706 # DEPENDENCYPART_ARC
(16,8),-2.15486 # DEPENDENCYPART_ARC
(16,9),-2.50534 # DEPENDENCYPART_ARC
(16,10),-1.87573 # DEPENDENCYPART_ARC
(16,12),-1.32558 # DEPENDENCYPART_ARC
(16,13),-1.41951 # DEPENDENCYPART_ARC
(16,14),-0.952491 # DEPENDENCYPART_ARC
(16,15),-0.500537 # DEPENDENCYPART_ARC
(16,17),-0.205042 # DEPENDENCYPART_ARC
(16,18),0.584511 # DEPENDENCYPART_ARC
(16,19),0.484862 # DEPENDENCYPART_ARC
(16,21),-0.315643 # DEPENDENCYPART_ARC
(16,22),-0.93574 # DEPENDENCYPART_ARC
(16,24),-0.893541 # DEPENDENCYPART_ARC
(16,25),-1.6215 # DEPENDENCYPART_ARC
(16,26),-1.2367 # DEPENDENCYPART_ARC
(16,27),-1.98261 # DEPENDENCYPART_ARC
(16,28),-2.07238 # DEPENDENCYPART_ARC
(16,29),-0.454367 # DEPENDENCYPART_ARC
(18,8),-2.50617 # DEPENDENCYPART_ARC
(18,10),-2.05392 # DEPENDENCYPART_ARC
(18,13),-1.89436 # DEPENDENCYPART_ARC
(18,15),-1.42708 # DEPENDENCYPART_ARC
(18,17),0.352679 # DEPENDENCYPART_ARC
(18,19),1.7479 # DEPENDENCYPART_ARC
(18,21),-1.43387 # DEPENDENCYPART_ARC
(18,22),-0.717528 # DEPENDENCYPART_ARC
(18,24),-1.45835 # DEPENDENCYPART_ARC
(18,25),-1.95387 # DEPENDENCYPART_ARC
(18,26),-0.876317 # DEPENDENCYPART_ARC
(18,27),-2.44966 # DEPENDENCYPART_ARC
(18,28),-2.48999 # DEPENDENCYPART_ARC
(18,29),-1.09819 # DEPENDENCYPART_ARC
(19,17),-1.05592 # DEPENDENCYPART_ARC
(19,18),-1.27658 # DEPENDENCYPART_ARC
(19,20),-1.57688 # DEPENDENCYPART_ARC
(19,21),1.86992 # DEPENDENCYPART_ARC
(19,22),-1.02593 # DEPENDENCYPART_ARC
(19,24),-0.609279 # DEPENDENCYPART_ARC
(19,26),-1.35945 # DEPENDENCYPART_ARC
(19,27),-2.96981 # DEPENDENCYPART_ARC
(19,28),-2.39002 # DEPENDENCYPART_ARC
(20,22),-1.42362 # DEPENDENCYPART_ARC
(20,23),-1.801 # DEPENDENCYPART_ARC
(21,1),-2.37568 # DEPENDENCYPART_ARC
(21,17),-1.9363 # DEPENDENCYPART_ARC
(21,18),-1.48671 # DEPENDENCYPART_ARC
(21,20),1.45714 # DEPENDENCYPART_ARC
(21,22),0.447439 # DEPENDENCYPART_ARC
(21,24),-0.573601 # DEPENDENCYPART_ARC
(21,25),-1.48379 # DEPENDENCYPART_ARC
(21,26),-1.2173 # DEPENDENCYPART_ARC
(21,27),-3.73408 # DEPENDENCYPART_ARC
(21,28),-2.25515 # DEPENDENCYPART_ARC
(21,29),-1.45553 # DEPENDENCYPART_ARC
(23,24),-1.52805 # DEPENDENCYPART_ARC
(24,20),-2.20276 # DEPENDENCYPART_ARC
(24,22),-1.35397 # DEPENDENCYPART_ARC
(24,23),2.47109 # DEPENDENCYPART_ARC
(24,25),2.33459 # DEPENDENCYPART_ARC
(24,26),-0.550412 # DEPENDENCYPART_ARC
(24,27),-0.297812 # DEPENDENCYPART_ARC
(24,28),0.721809 # DEPENDENCYPART_ARC
(24,29),-0.826716 # DEPENDENCYPART_ARC
(25,23),-1.47137 # DEPENDENCYPART_ARC
(25,26),0.837582 # DEPENDENCYPART_ARC
(25,27),0.657886 # DEPENDENCYPART_ARC
(25,28),-0.352074 # DEPENDENCYPART_ARC
(27,25),-1.65138 # DEPENDENCYPART_ARC
(27,26),-0.435141 # DEPENDENCYPART_ARC
(27,28),-0.323374 # DEPENDENCYPART_ARC
(28,19),-1.43346 # DEPENDENCYPART_ARC
(28,25),-2.17174 # DEPENDENCYPART_ARC
(28,26),-1.27089 # DEPENDENCYPART_ARC
(28,27),-0.869398 # DEPENDENCYPART_ARC
(28,29),-1.21656 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.391511 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.394217 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.936434 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.397645 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.810982 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0921568 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.327879 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0521218 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0921568 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.0436027 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.293751 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0815852 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.102589 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0800036 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0815852 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0907543 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0890498 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.333481 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.067071 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0890498 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0390777 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0539046 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.249719 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.305615 # DEPENDENCYPART_SIBL
(1,8),(1,29),-0.0476048 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.040038 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0989998 # DEPENDENCYPART_SIBL
(1,9),(1,29),-0.00900638 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0670088 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.131023 # DEPENDENCYPART_SIBL
(1,17),(1,29),-0.0476048 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0210878 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0124617 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00410981 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0105442 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0563255 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0401747 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0571369 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.011458 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0561748 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0170709 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0932639 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0230485 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.299047 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0162893 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0359977 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0245684 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0631439 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0293025 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0280528 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0189203 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0195829 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0236234 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0359977 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0245684 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0756484 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0185702 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0210036 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0139779 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.0210036 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.0200609 # DEPENDENCYPART_SIBL
(5,1),(5,28),-0.0263299 # DEPENDENCYPART_SIBL
(5,1),(5,29),0.0150502 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0118107 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.301214 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0805717 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.027502 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0179592 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0867 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0776464 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0301912 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0737623 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0881007 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0697451 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.027502 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0179592 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0685693 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0814445 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0328261 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0727335 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0328261 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.0180145 # DEPENDENCYPART_SIBL
(5,2),(5,28),-0.0073818 # DEPENDENCYPART_SIBL
(5,2),(5,29),-0.0435579 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.086186 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0310877 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0316068 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0143109 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00822822 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0517426 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0311087 # DEPENDENCYPART_SIBL
(5,3),(5,14),-5.39559e-05 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00119025 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0101623 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0316068 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0143109 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.00644768 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0332162 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0198062 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0206188 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.0198062 # DEPENDENCYPART_SIBL
(5,3),(5,27),-0.0143509 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.0156353 # DEPENDENCYPART_SIBL
(5,3),(5,29),0.0155419 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.117734 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0986455 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0223281 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.104638 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.149917 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.059447 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.121134 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.160382 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0535438 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0986455 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0223281 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.00493435 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.122841 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.146757 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.110046 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.146757 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0223624 # DEPENDENCYPART_SIBL
(5,4),(5,28),-0.0234501 # DEPENDENCYPART_SIBL
(5,4),(5,29),0.107372 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00693323 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.042593 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0154709 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.234765 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0678954 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.243869 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0178622 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0277912 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.00693323 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.042593 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.00828513 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.250351 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.00394773 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.250315 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.00394773 # DEPENDENCYPART_SIBL
(5,7),(5,27),-0.0426468 # DEPENDENCYPART_SIBL
(5,7),(5,28),-0.0367964 # DEPENDENCYPART_SIBL
(5,7),(5,29),-0.0136224 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0102696 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.248683 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0162753 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.160299 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0223945 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.210057 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0568649 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0856626 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0102696 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.124133 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0321678 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.220973 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.0197209 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.220973 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.00247463 # DEPENDENCYPART_SIBL
(5,8),(5,28),0.0127993 # DEPENDENCYPART_SIBL
(5,8),(5,29),-0.0607749 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0466527 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0421746 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.143745 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0450792 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.149326 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.00656628 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.016443 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.182964 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0609321 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0489943 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0194509 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.0514494 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.0194509 # DEPENDENCYPART_SIBL
(5,9),(5,27),-0.186938 # DEPENDENCYPART_SIBL
(5,9),(5,28),-0.179086 # DEPENDENCYPART_SIBL
(5,9),(5,29),0.00597349 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0240693 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.258055 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.000830799 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.224722 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0239387 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0109167 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0423561 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0820077 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0181077 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00908849 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0107283 # DEPENDENCYPART_SIBL
(5,10),(5,26),0.00908849 # DEPENDENCYPART_SIBL
(5,10),(5,27),-0.0424667 # DEPENDENCYPART_SIBL
(5,10),(5,28),-0.0401112 # DEPENDENCYPART_SIBL
(5,10),(5,29),0.000834877 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0842574 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.235707 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00755684 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.052496 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0266071 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0405612 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0212735 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.242188 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0125838 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.242153 # DEPENDENCYPART_SIBL
(5,12),(5,26),-0.0125838 # DEPENDENCYPART_SIBL
(5,12),(5,27),-0.040615 # DEPENDENCYPART_SIBL
(5,12),(5,28),-0.0347653 # DEPENDENCYPART_SIBL
(5,12),(5,29),-0.043544 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0212036 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.159759 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0506709 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0708889 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0898071 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.125383 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0329263 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.0340312 # DEPENDENCYPART_SIBL
(5,13),(5,24),-0.0293153 # DEPENDENCYPART_SIBL
(5,13),(5,26),-0.0340312 # DEPENDENCYPART_SIBL
(5,13),(5,27),-0.0899091 # DEPENDENCYPART_SIBL
(5,13),(5,28),-0.0883509 # DEPENDENCYPART_SIBL
(5,13),(5,29),-0.0152628 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0679556 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0206646 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0128399 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0251497 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.0358307 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.23451 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.00681802 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.234475 # DEPENDENCYPART_SIBL
(5,14),(5,26),-0.00681802 # DEPENDENCYPART_SIBL
(5,14),(5,27),-0.0252035 # DEPENDENCYPART_SIBL
(5,14),(5,28),-0.0193531 # DEPENDENCYPART_SIBL
(5,14),(5,29),0.0151605 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00261311 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.00857146 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0642702 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.0371645 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.00430102 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.0200711 # DEPENDENCYPART_SIBL
(5,15),(5,24),0.0114975 # DEPENDENCYPART_SIBL
(5,15),(5,26),0.0200711 # DEPENDENCYPART_SIBL
(5,15),(5,27),0.0641586 # DEPENDENCYPART_SIBL
(5,15),(5,28),0.0665275 # DEPENDENCYPART_SIBL
(5,15),(5,29),0.0179381 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.00264835 # DEPENDENCYPART_SIBL
