# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,13,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(7,13),-1.63903 # DEPENDENCYPART_ARC
(7,17),-1.79656 # DEPENDENCYPART_ARC
(7,23),-2.0392 # DEPENDENCYPART_ARC
(8,2),-1.54634 # DEPENDENCYPART_ARC
(8,5),-2.42459 # DEPENDENCYPART_ARC
(8,6),1.56497 # DEPENDENCYPART_ARC
(8,7),2.56238 # DEPENDENCYPART_ARC
(8,9),1.0438 # DEPENDENCYPART_ARC
(8,10),-0.620226 # DEPENDENCYPART_ARC
(8,11),-0.805721 # DEPENDENCYPART_ARC
(8,13),-0.577607 # DEPENDENCYPART_ARC
(8,14),-1.13074 # DEPENDENCYPART_ARC
(8,17),-0.679119 # DEPENDENCYPART_ARC
(8,19),-2.10199 # DEPENDENCYPART_ARC
(8,20),-1.33909 # DEPENDENCYPART_ARC
(8,23),-0.528349 # DEPENDENCYPART_ARC
(8,27),-2.54646 # DEPENDENCYPART_ARC
(8,35),-2.49549 # DEPENDENCYPART_ARC
(9,1),-2.90723 # DEPENDENCYPART_ARC
(9,8),-1.48786 # DEPENDENCYPART_ARC
(9,10),1.65965 # DEPENDENCYPART_ARC
(9,11),-1.3631 # DEPENDENCYPART_ARC
(9,14),-1.63726 # DEPENDENCYPART_ARC
(9,17),-2.6185 # DEPENDENCYPART_ARC
(10,2),-1.83972 # DEPENDENCYPART_ARC
(10,6),-2.81776 # DEPENDENCYPART_ARC
(10,11),-1.09546 # DEPENDENCYPART_ARC
(10,13),-1.40107 # DEPENDENCYPART_ARC
(10,14),-1.21822 # DEPENDENCYPART_ARC
(10,17),-1.36109 # DEPENDENCYPART_ARC
(10,19),-2.43516 # DEPENDENCYPART_ARC
(10,23),-1.2337 # DEPENDENCYPART_ARC
(12,9),-1.98171 # DEPENDENCYPART_ARC
(12,13),-1.46092 # DEPENDENCYPART_ARC
(13,11),-0.576596 # DEPENDENCYPART_ARC
(13,12),0.00311674 # DEPENDENCYPART_ARC
(13,17),-1.30997 # DEPENDENCYPART_ARC
(13,19),-2.26677 # DEPENDENCYPART_ARC
(13,20),-1.18077 # DEPENDENCYPART_ARC
(13,23),-1.70528 # DEPENDENCYPART_ARC
(14,17),-1.91893 # DEPENDENCYPART_ARC
(14,20),-1.89184 # DEPENDENCYPART_ARC
(15,14),-0.919123 # DEPENDENCYPART_ARC
(17,2),-1.66368 # DEPENDENCYPART_ARC
(17,4),-2.02718 # DEPENDENCYPART_ARC
(17,5),-2.60061 # DEPENDENCYPART_ARC
(17,7),-2.03002 # DEPENDENCYPART_ARC
(17,8),-1.99071 # DEPENDENCYPART_ARC
(17,9),-2.00113 # DEPENDENCYPART_ARC
(17,11),-0.830887 # DEPENDENCYPART_ARC
(17,12),-2.38073 # DEPENDENCYPART_ARC
(17,13),-1.62669 # DEPENDENCYPART_ARC
(17,14),0.499131 # DEPENDENCYPART_ARC
(17,15),1.21374 # DEPENDENCYPART_ARC
(17,16),2.16432 # DEPENDENCYPART_ARC
(17,19),0.924171 # DEPENDENCYPART_ARC
(17,20),-0.484723 # DEPENDENCYPART_ARC
(17,22),-2.10464 # DEPENDENCYPART_ARC
(17,23),-0.386673 # DEPENDENCYPART_ARC
(17,24),-0.913863 # DEPENDENCYPART_ARC
(17,27),-1.43684 # DEPENDENCYPART_ARC
(17,28),-1.7732 # DEPENDENCYPART_ARC
(17,30),-1.49784 # DEPENDENCYPART_ARC
(17,31),-1.76162 # DEPENDENCYPART_ARC
(17,32),-1.76309 # DEPENDENCYPART_ARC
(17,34),-1.74177 # DEPENDENCYPART_ARC
(17,35),-0.756915 # DEPENDENCYPART_ARC
(19,2),-1.65923 # DEPENDENCYPART_ARC
(19,5),-2.89566 # DEPENDENCYPART_ARC
(19,8),-2.27288 # DEPENDENCYPART_ARC
(19,9),-2.08342 # DEPENDENCYPART_ARC
(19,11),-1.97344 # DEPENDENCYPART_ARC
(19,14),-2.00603 # DEPENDENCYPART_ARC
(19,15),-1.13757 # DEPENDENCYPART_ARC
(19,17),-1.49265 # DEPENDENCYPART_ARC
(19,18),1.62528 # DEPENDENCYPART_ARC
(19,20),-0.78997 # DEPENDENCYPART_ARC
(19,22),-2.50989 # DEPENDENCYPART_ARC
(19,23),0.0120714 # DEPENDENCYPART_ARC
(19,24),-1.85589 # DEPENDENCYPART_ARC
(19,27),-1.66915 # DEPENDENCYPART_ARC
(19,28),-1.69689 # DEPENDENCYPART_ARC
(19,31),-2.52627 # DEPENDENCYPART_ARC
(19,32),-1.8678 # DEPENDENCYPART_ARC
(19,35),-2.28012 # DEPENDENCYPART_ARC
(20,19),-1.56081 # DEPENDENCYPART_ARC
(21,24),-1.55035 # DEPENDENCYPART_ARC
(21,27),-3.05109 # DEPENDENCYPART_ARC
(22,20),-1.96601 # DEPENDENCYPART_ARC
(22,23),-2.10122 # DEPENDENCYPART_ARC
(22,24),-1.75335 # DEPENDENCYPART_ARC
(22,27),-3.05073 # DEPENDENCYPART_ARC
(22,28),-2.15309 # DEPENDENCYPART_ARC
(23,2),-2.58606 # DEPENDENCYPART_ARC
(23,5),-3.28172 # DEPENDENCYPART_ARC
(23,8),-2.04466 # DEPENDENCYPART_ARC
(23,9),-2.60404 # DEPENDENCYPART_ARC
(23,11),-1.24907 # DEPENDENCYPART_ARC
(23,12),-2.79698 # DEPENDENCYPART_ARC
(23,13),-1.86599 # DEPENDENCYPART_ARC
(23,14),-1.18015 # DEPENDENCYPART_ARC
(23,17),-1.52171 # DEPENDENCYPART_ARC
(23,18),-2.30868 # DEPENDENCYPART_ARC
(23,19),-1.04278 # DEPENDENCYPART_ARC
(23,20),0.578959 # DEPENDENCYPART_ARC
(23,21),2.40498 # DEPENDENCYPART_ARC
(23,22),1.82732 # DEPENDENCYPART_ARC
(23,24),1.37681 # DEPENDENCYPART_ARC
(23,26),-1.08578 # DEPENDENCYPART_ARC
(23,27),-0.533758 # DEPENDENCYPART_ARC
(23,28),-0.90274 # DEPENDENCYPART_ARC
(23,30),-1.13061 # DEPENDENCYPART_ARC
(23,31),-1.33095 # DEPENDENCYPART_ARC
(23,32),-1.00436 # DEPENDENCYPART_ARC
(23,34),-1.31322 # DEPENDENCYPART_ARC
(23,35),-1.01356 # DEPENDENCYPART_ARC
(24,12),-4.18183 # DEPENDENCYPART_ARC
(24,23),-0.981386 # DEPENDENCYPART_ARC
(24,25),-1.11518 # DEPENDENCYPART_ARC
(24,26),-0.76233 # DEPENDENCYPART_ARC
(24,27),0.191682 # DEPENDENCYPART_ARC
(24,28),-1.68465 # DEPENDENCYPART_ARC
(24,30),-1.2621 # DEPENDENCYPART_ARC
(24,31),-2.31508 # DEPENDENCYPART_ARC
(24,32),-1.93494 # DEPENDENCYPART_ARC
(25,24),-1.85207 # DEPENDENCYPART_ARC
(25,26),-1.38806 # DEPENDENCYPART_ARC
(26,24),-1.25993 # DEPENDENCYPART_ARC
(26,25),-0.822169 # DEPENDENCYPART_ARC
(26,28),-1.53951 # DEPENDENCYPART_ARC
(26,31),-1.36507 # DEPENDENCYPART_ARC
(26,32),-1.86024 # DEPENDENCYPART_ARC
(27,2),-0.729825 # DEPENDENCYPART_ARC
(27,9),-1.22527 # DEPENDENCYPART_ARC
(27,20),-1.70509 # DEPENDENCYPART_ARC
(27,22),-2.31412 # DEPENDENCYPART_ARC
(27,24),-0.751509 # DEPENDENCYPART_ARC
(27,25),1.1845 # DEPENDENCYPART_ARC
(27,26),2.43494 # DEPENDENCYPART_ARC
(27,28),0.698288 # DEPENDENCYPART_ARC
(27,30),-0.88686 # DEPENDENCYPART_ARC
(27,31),0.307327 # DEPENDENCYPART_ARC
(27,32),-0.804365 # DEPENDENCYPART_ARC
(27,34),-0.964413 # DEPENDENCYPART_ARC
(27,35),-1.43565 # DEPENDENCYPART_ARC
(28,29),-1.07049 # DEPENDENCYPART_ARC
(28,30),1.29387 # DEPENDENCYPART_ARC
(28,31),-1.59653 # DEPENDENCYPART_ARC
(28,32),-1.79598 # DEPENDENCYPART_ARC
(28,34),-0.832462 # DEPENDENCYPART_ARC
(30,29),0.64185 # DEPENDENCYPART_ARC
(30,31),0.684206 # DEPENDENCYPART_ARC
(30,32),-1.24662 # DEPENDENCYPART_ARC
(30,34),-1.0329 # DEPENDENCYPART_ARC
(31,28),-1.35565 # DEPENDENCYPART_ARC
(31,29),-1.78993 # DEPENDENCYPART_ARC
(31,32),1.05955 # DEPENDENCYPART_ARC
(31,34),-1.28697 # DEPENDENCYPART_ARC
(32,14),-2.67406 # DEPENDENCYPART_ARC
(32,29),-3.22989 # DEPENDENCYPART_ARC
(32,31),-1.51941 # DEPENDENCYPART_ARC
(32,34),2.02016 # DEPENDENCYPART_ARC
(34,28),-1.51822 # DEPENDENCYPART_ARC
(34,29),-2.14248 # DEPENDENCYPART_ARC
(34,31),-1.67957 # DEPENDENCYPART_ARC
(34,33),1.33002 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.444243 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.00874408 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.41529 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.417965 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.265773 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.939634 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.939718 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.426346 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.422997 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.936927 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.204529 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0389928 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.143276 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.237329 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.182115 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0447322 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.182115 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.476205 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.851729 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.045302 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.044958 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.181929 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.044958 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.347344 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0371092 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0498193 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.044986 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0498193 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.060668 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.020261 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.17808 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.020261 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0233308 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.108611 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0233308 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0929527 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.260662 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0584418 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.135017 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.651359 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0738999 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0435341 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0570529 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.122311 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0390368 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0554161 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0358728 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0333984 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.295755 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.009844 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0301751 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00548237 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0143875 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0122016 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0331262 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0239191 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0242474 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0649599 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0113586 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0251928 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0196556 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.155447 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0234144 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0112084 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0251928 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0214743 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.000763072 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.0123696 # DEPENDENCYPART_SIBL
(5,1),(5,32),0.0441951 # DEPENDENCYPART_SIBL
(5,1),(5,35),-0.0746608 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0414447 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0155473 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.053124 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.042223 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0447528 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0707489 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0185484 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0953642 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0480718 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0447385 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0707489 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0400391 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0266142 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0513097 # DEPENDENCYPART_SIBL
(5,2),(5,32),-0.00808054 # DEPENDENCYPART_SIBL
(5,2),(5,35),0.0413977 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0160855 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00266441 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0238956 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0106284 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0330715 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.012434 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.114461 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0346416 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.01064 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0330715 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0321939 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0071209 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.00772697 # DEPENDENCYPART_SIBL
(5,4),(5,32),0.0313713 # DEPENDENCYPART_SIBL
(5,4),(5,35),-0.0273859 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0200633 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0629543 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0233782 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.000362261 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.186655 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.109507 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0738243 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0233997 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.000362261 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0575567 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0109271 # DEPENDENCYPART_SIBL
(5,7),(5,27),-0.0237157 # DEPENDENCYPART_SIBL
(5,7),(5,32),-0.132971 # DEPENDENCYPART_SIBL
(5,7),(5,35),0.0443377 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.171656 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.293953 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0494983 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.105697 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.204123 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0415851 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.293962 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0494983 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0484024 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.0461161 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.297978 # DEPENDENCYPART_SIBL
(5,8),(5,32),-0.0645151 # DEPENDENCYPART_SIBL
(5,8),(5,35),-0.0463132 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0695741 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.00216462 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0684218 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0687071 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.026631 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0696679 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.00216462 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0174509 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.119098 # DEPENDENCYPART_SIBL
(5,9),(5,27),-0.0713655 # DEPENDENCYPART_SIBL
(5,9),(5,32),-0.0650984 # DEPENDENCYPART_SIBL
(5,9),(5,35),0.008991 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0283269 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0855268 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.180183 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0164383 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.269867 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0283269 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0232556 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.00086268 # DEPENDENCYPART_SIBL
(5,10),(5,27),-0.273619 # DEPENDENCYPART_SIBL
(5,10),(5,32),-0.0212171 # DEPENDENCYPART_SIBL
(5,10),(5,35),-0.0247626 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.00645293 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0139257 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.125151 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.00826747 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0478349 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.116177 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.137609 # DEPENDENCYPART_SIBL
(5,11),(5,27),-0.0188383 # DEPENDENCYPART_SIBL
(5,11),(5,32),-0.195381 # DEPENDENCYPART_SIBL
(5,11),(5,35),0.0161264 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.108987 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0762739 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0190214 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.00132975 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.0600062 # DEPENDENCYPART_SIBL
(5,13),(5,24),0.0224773 # DEPENDENCYPART_SIBL
(5,13),(5,27),-0.0193436 # DEPENDENCYPART_SIBL
(5,13),(5,32),-0.123994 # DEPENDENCYPART_SIBL
(5,13),(5,35),0.0463556 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.00268782 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0358836 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.166429 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.0121255 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.0792712 # DEPENDENCYPART_SIBL
(5,14),(5,27),-0.0366722 # DEPENDENCYPART_SIBL
(5,14),(5,32),-0.109717 # DEPENDENCYPART_SIBL
(5,14),(5,35),-0.132795 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.00582275 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0295637 # DEPENDENCYPART_SIBL
(5,17),(5,23),-0.0281949 # DEPENDENCYPART_SIBL
(5,17),(5,24),-0.0217598 # DEPENDENCYPART_SIBL
(5,17),(5,27),0.00552571 # DEPENDENCYPART_SIBL
(5,17),(5,32),-0.0253492 # DEPENDENCYPART_SIBL
(5,17),(5,35),0.000778198 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.0301606 # DEPENDENCYPART_SIBL
(5,19),(5,23),-0.0233431 # DEPENDENCYPART_SIBL
(5,19),(5,24),-0.00113092 # DEPENDENCYPART_SIBL
(5,19),(5,27),-0.27369 # DEPENDENCYPART_SIBL
(5,19),(5,32),-0.0214713 # DEPENDENCYPART_SIBL
(5,19),(5,35),-0.0257014 # DEPENDENCYPART_SIBL
(5,20),(5,23),0.116177 # DEPENDENCYPART_SIBL
(5,20),(5,24),-0.137609 # DEPENDENCYPART_SIBL
(5,20),(5,27),-0.0188383 # DEPENDENCYPART_SIBL
(5,20),(5,32),-0.195381 # DEPENDENCYPART_SIBL
(5,20),(5,35),0.0161264 # DEPENDENCYPART_SIBL
(5,23),(5,24),-0.0209741 # DEPENDENCYPART_SIBL
(5,23),(5,27),0.00665556 # DEPENDENCYPART_SIBL
(5,23),(5,32),-0.0243201 # DEPENDENCYPART_SIBL
(5,23),(5,35),0.00576952 # DEPENDENCYPART_SIBL
(5,24),(5,27),0.0324538 # DEPENDENCYPART_SIBL
(5,24),(5,32),-0.0567372 # DEPENDENCYPART_SIBL
(5,24),(5,35),0.0342346 # DEPENDENCYPART_SIBL
(5,27),(5,32),-0.0195998 # DEPENDENCYPART_SIBL
(5,27),(5,35),-0.0257063 # DEPENDENCYPART_SIBL
(5,32),(5,35),0.0752609 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.170734 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.30179 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0104596 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0962901 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.167561 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.176398 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00595886 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0702425 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0926443 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0260244 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.0226894 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0162511 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.129397 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0151988 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.0132103 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.673955 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00565058 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.00619965 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0487445 # DEPENDENCYPART_SIBL
(7,13),(7,23),0.0453789 # DEPENDENCYPART_SIBL
(7,17),(7,23),-0.0967374 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00685271 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0215846 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0662338 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0101723 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.000419347 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0242173 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0106026 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0566139 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0169546 # DEPENDENCYPART_SIBL
