# _root_ En la fase final del premi , que es desenvoluparà entre el 7_de_juny i el 2_de_juliol , els equips disposaran de tres milions de pessetes reals cadascun que podran invertir .
#goldHeads=20,3,1,3,3,5,10,10,10,3,13,13,10,13,16,13,10,19,20,0,20,23,21,23,24,23,20,30,30,23,20,
#predictedHeads=20,3,1,3,3,5,10,10,10,6,13,13,10,13,16,13,1,19,20,0,20,23,21,23,24,23,23,30,30,27,20,
(6,31),-2.61848 # DEPENDENCYPART_ARC
(8,10),-1.76697 # DEPENDENCYPART_ARC
(10,1),-0.799445 # DEPENDENCYPART_ARC
(10,3),-1.39829 # DEPENDENCYPART_ARC
(10,4),-1.97983 # DEPENDENCYPART_ARC
(10,5),-2.06412 # DEPENDENCYPART_ARC
(10,6),-1.7667 # DEPENDENCYPART_ARC
(10,7),0.268697 # DEPENDENCYPART_ARC
(10,8),2.10068 # DEPENDENCYPART_ARC
(10,9),2.08086 # DEPENDENCYPART_ARC
(10,11),0.820493 # DEPENDENCYPART_ARC
(10,13),-0.842125 # DEPENDENCYPART_ARC
(10,14),-0.92195 # DEPENDENCYPART_ARC
(10,16),-1.58085 # DEPENDENCYPART_ARC
(10,17),-0.887319 # DEPENDENCYPART_ARC
(10,19),-1.56263 # DEPENDENCYPART_ARC
(10,20),-0.297711 # DEPENDENCYPART_ARC
(10,23),-1.86316 # DEPENDENCYPART_ARC
(10,25),-2.57401 # DEPENDENCYPART_ARC
(10,26),-2.83985 # DEPENDENCYPART_ARC
(10,27),-2.53002 # DEPENDENCYPART_ARC
(10,29),-1.63653 # DEPENDENCYPART_ARC
(10,30),-1.60125 # DEPENDENCYPART_ARC
(10,31),-0.748532 # DEPENDENCYPART_ARC
(11,1),-2.65004 # DEPENDENCYPART_ARC
(11,7),-2.78555 # DEPENDENCYPART_ARC
(11,10),-0.952485 # DEPENDENCYPART_ARC
(11,12),-1.99271 # DEPENDENCYPART_ARC
(11,13),-0.483284 # DEPENDENCYPART_ARC
(11,14),-1.38494 # DEPENDENCYPART_ARC
(11,16),-1.80725 # DEPENDENCYPART_ARC
(11,17),-1.01267 # DEPENDENCYPART_ARC
(11,19),-1.28872 # DEPENDENCYPART_ARC
(11,20),-3.41956 # DEPENDENCYPART_ARC
(11,21),-2.85773 # DEPENDENCYPART_ARC
(11,25),-3.15367 # DEPENDENCYPART_ARC
(11,26),-2.64695 # DEPENDENCYPART_ARC
(12,11),-0.943086 # DEPENDENCYPART_ARC
(12,14),-1.02744 # DEPENDENCYPART_ARC
(12,15),-1.0698 # DEPENDENCYPART_ARC
(13,11),-0.459493 # DEPENDENCYPART_ARC
(13,12),1.22493 # DEPENDENCYPART_ARC
(13,14),0.135119 # DEPENDENCYPART_ARC
(13,16),-0.181552 # DEPENDENCYPART_ARC
(13,17),-1.20184 # DEPENDENCYPART_ARC
(13,19),-1.87802 # DEPENDENCYPART_ARC
(13,20),-1.55145 # DEPENDENCYPART_ARC
(13,21),-1.88122 # DEPENDENCYPART_ARC
(13,24),-2.01619 # DEPENDENCYPART_ARC
(15,14),-0.969028 # DEPENDENCYPART_ARC
(15,16),-0.914811 # DEPENDENCYPART_ARC
(15,18),-1.69089 # DEPENDENCYPART_ARC
(16,11),-1.26372 # DEPENDENCYPART_ARC
(16,14),-0.783271 # DEPENDENCYPART_ARC
(16,15),1.26713 # DEPENDENCYPART_ARC
(16,17),-0.288025 # DEPENDENCYPART_ARC
(16,19),-1.42798 # DEPENDENCYPART_ARC
(16,20),-1.37155 # DEPENDENCYPART_ARC
(16,21),-1.62581 # DEPENDENCYPART_ARC
(18,19),-1.30729 # DEPENDENCYPART_ARC
(19,1),-2.02287 # DEPENDENCYPART_ARC
(19,5),-2.53164 # DEPENDENCYPART_ARC
(19,15),-2.02638 # DEPENDENCYPART_ARC
(19,16),-2.2252 # DEPENDENCYPART_ARC
(19,17),-1.46103 # DEPENDENCYPART_ARC
(19,18),2.15677 # DEPENDENCYPART_ARC
(19,20),-0.61826 # DEPENDENCYPART_ARC
(19,21),-1.26982 # DEPENDENCYPART_ARC
(19,24),-1.57315 # DEPENDENCYPART_ARC
(19,25),-2.20253 # DEPENDENCYPART_ARC
(19,26),-1.18913 # DEPENDENCYPART_ARC
(19,27),-2.31987 # DEPENDENCYPART_ARC
(19,29),-0.786746 # DEPENDENCYPART_ARC
(19,30),-1.69831 # DEPENDENCYPART_ARC
(19,31),-2.14153 # DEPENDENCYPART_ARC
(20,1),-0.986161 # DEPENDENCYPART_ARC
(20,3),-2.28603 # DEPENDENCYPART_ARC
(20,4),-2.68484 # DEPENDENCYPART_ARC
(20,5),-2.83168 # DEPENDENCYPART_ARC
(20,7),-1.66903 # DEPENDENCYPART_ARC
(20,8),-1.3809 # DEPENDENCYPART_ARC
(20,10),-2.72286 # DEPENDENCYPART_ARC
(20,11),-1.03248 # DEPENDENCYPART_ARC
(20,12),-3.57294 # DEPENDENCYPART_ARC
(20,13),-1.64393 # DEPENDENCYPART_ARC
(20,14),-0.71714 # DEPENDENCYPART_ARC
(20,15),-2.954 # DEPENDENCYPART_ARC
(20,16),-1.31037 # DEPENDENCYPART_ARC
(20,17),-0.507889 # DEPENDENCYPART_ARC
(20,18),-0.92356 # DEPENDENCYPART_ARC
(20,19),0.943116 # DEPENDENCYPART_ARC
(20,21),0.956885 # DEPENDENCYPART_ARC
(20,23),0.582644 # DEPENDENCYPART_ARC
(20,24),-0.210031 # DEPENDENCYPART_ARC
(20,25),-1.22541 # DEPENDENCYPART_ARC
(20,26),-0.792008 # DEPENDENCYPART_ARC
(20,27),-1.21818 # DEPENDENCYPART_ARC
(20,29),-0.156112 # DEPENDENCYPART_ARC
(20,30),-0.905691 # DEPENDENCYPART_ARC
(20,31),-0.132267 # DEPENDENCYPART_ARC
(21,22),-1.11303 # DEPENDENCYPART_ARC
(21,23),1.604 # DEPENDENCYPART_ARC
(21,24),-1.40225 # DEPENDENCYPART_ARC
(21,25),-1.54822 # DEPENDENCYPART_ARC
(21,26),-1.55158 # DEPENDENCYPART_ARC
(22,20),-0.250056 # DEPENDENCYPART_ARC
(22,21),-0.128219 # DEPENDENCYPART_ARC
(22,23),-0.298683 # DEPENDENCYPART_ARC
(22,24),-0.840561 # DEPENDENCYPART_ARC
(23,1),-1.95281 # DEPENDENCYPART_ARC
(23,5),-2.50458 # DEPENDENCYPART_ARC
(23,18),-1.96237 # DEPENDENCYPART_ARC
(23,21),-1.05869 # DEPENDENCYPART_ARC
(23,22),0.710153 # DEPENDENCYPART_ARC
(23,24),1.08596 # DEPENDENCYPART_ARC
(23,25),-1.12198 # DEPENDENCYPART_ARC
(23,26),0.28312 # DEPENDENCYPART_ARC
(23,27),-1.07165 # DEPENDENCYPART_ARC
(23,29),0.166324 # DEPENDENCYPART_ARC
(23,30),-0.812795 # DEPENDENCYPART_ARC
(23,31),-1.4377 # DEPENDENCYPART_ARC
(24,22),-2.17849 # DEPENDENCYPART_ARC
(24,25),0.424149 # DEPENDENCYPART_ARC
(24,26),-0.509998 # DEPENDENCYPART_ARC
(24,29),-2.32236 # DEPENDENCYPART_ARC
(24,30),-1.86099 # DEPENDENCYPART_ARC
(25,21),-1.28375 # DEPENDENCYPART_ARC
(25,22),-1.07458 # DEPENDENCYPART_ARC
(25,24),-0.181507 # DEPENDENCYPART_ARC
(25,26),-0.2485 # DEPENDENCYPART_ARC
(25,29),-1.13516 # DEPENDENCYPART_ARC
(25,30),-1.48791 # DEPENDENCYPART_ARC
(26,24),-0.80336 # DEPENDENCYPART_ARC
(26,27),-0.772922 # DEPENDENCYPART_ARC
(26,29),-1.6466 # DEPENDENCYPART_ARC
(26,30),-2.00452 # DEPENDENCYPART_ARC
(27,21),-1.0931 # DEPENDENCYPART_ARC
(27,24),-0.889853 # DEPENDENCYPART_ARC
(27,29),-0.725415 # DEPENDENCYPART_ARC
(27,30),-0.714061 # DEPENDENCYPART_ARC
(27,31),-0.905053 # DEPENDENCYPART_ARC
(29,1),-3.68078 # DEPENDENCYPART_ARC
(29,7),-3.74654 # DEPENDENCYPART_ARC
(29,13),-4.20462 # DEPENDENCYPART_ARC
(29,16),-4.13281 # DEPENDENCYPART_ARC
(29,19),-3.6465 # DEPENDENCYPART_ARC
(29,25),-3.28073 # DEPENDENCYPART_ARC
(29,26),-3.14406 # DEPENDENCYPART_ARC
(29,27),-2.11582 # DEPENDENCYPART_ARC
(29,28),0.567607 # DEPENDENCYPART_ARC
(29,30),0.23276 # DEPENDENCYPART_ARC
(29,31),-2.14164 # DEPENDENCYPART_ARC
(30,1),-1.25482 # DEPENDENCYPART_ARC
(30,5),-3.02808 # DEPENDENCYPART_ARC
(30,7),-1.58869 # DEPENDENCYPART_ARC
(30,10),-1.61856 # DEPENDENCYPART_ARC
(30,11),-1.10626 # DEPENDENCYPART_ARC
(30,13),-1.55962 # DEPENDENCYPART_ARC
(30,16),-1.55958 # DEPENDENCYPART_ARC
(30,17),-1.21636 # DEPENDENCYPART_ARC
(30,19),-1.02257 # DEPENDENCYPART_ARC
(30,20),-0.40727 # DEPENDENCYPART_ARC
(30,21),-1.44069 # DEPENDENCYPART_ARC
(30,23),-0.756767 # DEPENDENCYPART_ARC
(30,24),-1.45112 # DEPENDENCYPART_ARC
(30,25),-0.942175 # DEPENDENCYPART_ARC
(30,26),-0.769075 # DEPENDENCYPART_ARC
(30,27),0.190493 # DEPENDENCYPART_ARC
(30,28),2.55462 # DEPENDENCYPART_ARC
(30,29),3.57517 # DEPENDENCYPART_ARC
(30,31),-0.1243 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0955654 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.414802 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0108347 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.413631 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0504839 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.422176 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.410449 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.406593 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0532335 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.405066 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.0283583 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.412557 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.403756 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.236262 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.936831 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.254587 # DEPENDENCYPART_SIBL
(0,10),(0,29),-0.936716 # DEPENDENCYPART_SIBL
(0,10),(0,30),-0.936248 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.346912 # DEPENDENCYPART_SIBL
(0,13),(0,27),0.0141014 # DEPENDENCYPART_SIBL
(0,13),(0,29),-0.347265 # DEPENDENCYPART_SIBL
(0,13),(0,30),-0.346678 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.254587 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.936716 # DEPENDENCYPART_SIBL
(0,20),(0,30),-0.936248 # DEPENDENCYPART_SIBL
(0,27),(0,29),-0.390221 # DEPENDENCYPART_SIBL
(0,27),(0,30),-0.390229 # DEPENDENCYPART_SIBL
(0,29),(0,30),-0.937033 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.185261 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0699244 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0132298 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.1879 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.101446 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0955244 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0275763 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0113421 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.101446 # DEPENDENCYPART_SIBL
(1,2),(1,31),-0.00325163 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.38283 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0731097 # DEPENDENCYPART_SIBL
(1,3),(1,6),-1.00761 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0182529 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.467607 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0103947 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0749144 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0182529 # DEPENDENCYPART_SIBL
(1,3),(1,31),-0.0457314 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0592454 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.523192 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.128271 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.193163 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0668971 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0624391 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.128271 # DEPENDENCYPART_SIBL
(1,4),(1,31),-0.0262762 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.214698 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0104358 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0677419 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0444807 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.1552 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0104358 # DEPENDENCYPART_SIBL
(1,5),(1,31),0.0864581 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0281855 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.454258 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0128478 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0769451 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0281855 # DEPENDENCYPART_SIBL
(1,6),(1,31),-0.00683662 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0916147 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.344519 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0879466 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.522645 # DEPENDENCYPART_SIBL
(1,7),(1,31),-0.189612 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0455014 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.126969 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0820411 # DEPENDENCYPART_SIBL
(1,10),(1,31),0.104107 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0164974 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0569696 # DEPENDENCYPART_SIBL
(1,11),(1,31),0.145648 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0504832 # DEPENDENCYPART_SIBL
(1,14),(1,31),0.0745477 # DEPENDENCYPART_SIBL
(1,17),(1,31),-0.189612 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.125915 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0063825 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0191561 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.000372665 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0402982 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0173673 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0402044 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0323732 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0241936 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.03036 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0402982 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.00804199 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0173289 # DEPENDENCYPART_SIBL
(3,1),(3,31),0.0764376 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0356686 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.220796 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0853662 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0428214 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0923483 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.145529 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0429422 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0276863 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.036839 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0428214 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0598846 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0919025 # DEPENDENCYPART_SIBL
(3,2),(3,31),-0.0158054 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0820428 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00290869 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0380874 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0211372 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0698537 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0163202 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0102115 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00947257 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0380874 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.00140005 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0208944 # DEPENDENCYPART_SIBL
(3,4),(3,31),0.0141604 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0586475 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0755909 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0178322 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.156767 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0319982 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0657626 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0247361 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0755909 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0270933 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0195304 # DEPENDENCYPART_SIBL
(3,5),(3,31),0.0624395 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0483154 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0217462 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.104948 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0104742 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0444344 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00913474 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0483154 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00670863 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0219129 # DEPENDENCYPART_SIBL
(3,6),(3,31),0.0102729 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.039391 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.120921 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0312872 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.261522 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0277601 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0400264 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.361239 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0394358 # DEPENDENCYPART_SIBL
(3,7),(3,31),0.00585226 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0901579 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0448994 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0574572 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0410885 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0661224 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0216898 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0527329 # DEPENDENCYPART_SIBL
(3,10),(3,31),0.039693 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0291368 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.154888 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0218746 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0438472 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.026475 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0127939 # DEPENDENCYPART_SIBL
(3,11),(3,31),0.0779177 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0190554 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0185148 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0610056 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.00481275 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0165267 # DEPENDENCYPART_SIBL
(3,13),(3,31),0.0892957 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.144905 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0328658 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.601254 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.105843 # DEPENDENCYPART_SIBL
(3,14),(3,31),-0.00256486 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0601824 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.00462582 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0153367 # DEPENDENCYPART_SIBL
(3,16),(3,31),0.0876508 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.361239 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.0394358 # DEPENDENCYPART_SIBL
(3,17),(3,31),0.00585226 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0205299 # DEPENDENCYPART_SIBL
(3,19),(3,31),0.00881085 # DEPENDENCYPART_SIBL
(3,20),(3,31),0.0439595 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.413003 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.2161 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0384493 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.20406 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.307129 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.141102 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0016119 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00259126 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.019027 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.10143 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0286464 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0464561 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0373005 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.144749 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0107892 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00635497 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.140476 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.109483 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0951032 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0274032 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0643958 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.13407 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0952963 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.156974 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0864008 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.138676 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0206747 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0296934 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0423397 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0830613 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0200682 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.474576 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.452622 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.106388 # DEPENDENCYPART_SIBL
