# _root_ El ministre va assenyalar la informació , la lluita contra la guerra bacteriològica , la nuclear i la química com_a camps per a la cooperació intereuropea .
#goldHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,12,16,12,12,19,12,4,20,21,22,25,23,25,4,
#predictedHeads=2,4,4,0,6,4,9,9,6,9,12,10,12,9,16,12,16,19,16,19,20,21,22,25,23,25,4,
(2,1),(2,7),-0.0127493 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.40041 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.370486 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0127493 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0500418 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.10921 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0221711 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0277705 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.013695 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0285927 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0277705 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00800283 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0236965 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0548776 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0321726 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0268673 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0548776 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0624639 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0909191 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0465026 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0544146 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0909191 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.057269 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.437395 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0124246 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0937967 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.290117 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.032195 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0674889 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0696447 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.115357 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.00926164 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.290117 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0493938 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.113065 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.218498 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0533399 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.242372 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.218498 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.212746 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0394978 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0389386 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0224351 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0539172 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0389386 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0110363 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.11275 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.220609 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0679948 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.11275 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0793434 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0254425 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0931179 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0311779 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0260437 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.02168 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00182291 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0334117 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.146508 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0950365 # DEPENDENCYPART_SIBL
(3,14),(3,27),-0.0260437 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0250424 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0715451 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0122479 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0136452 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00677519 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0892464 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0140531 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0409706 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0136452 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.039051 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0348836 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0429133 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0377375 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0192065 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0632709 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.00218031 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0862293 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.171098 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0493292 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0128387 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0103971 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0086892 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0142243 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0116166 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0128387 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0116166 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.013586 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0116129 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0554918 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0629845 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0784484 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.00841962 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0579248 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0101409 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0744004 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0374476 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0186112 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0497335 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0116185 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0744004 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0116185 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0498541 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0116222 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.102128 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0467886 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.00188741 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0370968 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.328007 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0979735 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.197328 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0602634 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.217756 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00764218 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0979735 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0076431 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0404756 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00771959 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.111111 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0168657 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0585784 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.215699 # DEPENDENCYPART_SIBL
(4,6),(4,27),0.0661648 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0262636 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.123383 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0378381 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0163254 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.121891 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0163254 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.199567 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0164398 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.136243 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.24582 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.212037 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0505821 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.105327 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0139485 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.259141 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0437791 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0165991 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.04378 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0209129 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0438565 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0690333 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0240149 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.00424816 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.257084 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.0465904 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0557428 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00324363 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.00349802 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00421012 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0455214 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.00327061 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0185973 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.0656043 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0671118 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0524733 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.0457964 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0210623 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0192302 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0210632 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0165137 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0211397 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.12098 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0327154 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.064423 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.228598 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.0144317 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0230102 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.180091 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0322496 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.178376 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.00249258 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.0584363 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.14238 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.054232 # DEPENDENCYPART_SIBL
(4,13),(4,27),-0.00694484 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0163254 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.199567 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0164398 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.136243 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.24582 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.212037 # DEPENDENCYPART_SIBL
(4,14),(4,25),-0.0505821 # DEPENDENCYPART_SIBL
(4,14),(4,27),-0.105327 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0378457 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.178376 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.010699 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0502289 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.150587 # DEPENDENCYPART_SIBL
(4,16),(4,25),-0.0552829 # DEPENDENCYPART_SIBL
(4,16),(4,27),-0.00694485 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.111059 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0389373 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.0592699 # DEPENDENCYPART_SIBL
(4,17),(4,23),-0.105052 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.185311 # DEPENDENCYPART_SIBL
(4,17),(4,27),-0.0220589 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.00524237 # DEPENDENCYPART_SIBL
(4,19),(4,22),0.0556865 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.14513 # DEPENDENCYPART_SIBL
(4,19),(4,25),-0.0521826 # DEPENDENCYPART_SIBL
(4,19),(4,27),-0.00733561 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.0130158 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.085412 # DEPENDENCYPART_SIBL
(4,20),(4,25),0.0376655 # DEPENDENCYPART_SIBL
(4,20),(4,27),-0.0166313 # DEPENDENCYPART_SIBL
(4,22),(4,23),-0.221671 # DEPENDENCYPART_SIBL
(4,22),(4,25),-0.0278461 # DEPENDENCYPART_SIBL
(4,22),(4,27),-0.0308039 # DEPENDENCYPART_SIBL
(4,23),(4,25),-0.00243354 # DEPENDENCYPART_SIBL
(4,23),(4,27),-0.00773988 # DEPENDENCYPART_SIBL
(4,25),(4,27),-0.0189169 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.559207 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0457725 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0034629 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.841791 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0470037 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.31091 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.310458 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.297027 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0563518 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0470037 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0505961 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0157942 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0658555 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0110033 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.298169 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0314404 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0534113 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.29827 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0563518 # DEPENDENCYPART_SIBL
(6,1),(6,27),-0.0326808 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.239009 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00973283 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00996083 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00337334 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00403996 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00144749 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0375492 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00996083 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0394658 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0130321 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0319386 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0637911 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0038292 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0399896 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0397485 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.00388808 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0375492 # DEPENDENCYPART_SIBL
