# _root_ " Si parla així , és només per intentar fer_front a les enormes pressions internacionals de què és objecte " , va assegurar el ministre palestí Hassan_Asfur .
#goldHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,19,16,14,18,6,6,23,0,25,23,25,25,23,
#predictedHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,18,16,6,18,6,6,23,0,25,23,25,25,23,
(3,25),-2.43037 # DEPENDENCYPART_ARC
(3,27),-2.57077 # DEPENDENCYPART_ARC
(3,28),-2.35225 # DEPENDENCYPART_ARC
(4,1),-2.24216 # DEPENDENCYPART_ARC
(4,2),-1.77142 # DEPENDENCYPART_ARC
(4,3),-0.660591 # DEPENDENCYPART_ARC
(4,5),-0.410992 # DEPENDENCYPART_ARC
(4,6),-1.29636 # DEPENDENCYPART_ARC
(4,7),-1.7727 # DEPENDENCYPART_ARC
(4,8),-2.29961 # DEPENDENCYPART_ARC
(4,9),-2.12617 # DEPENDENCYPART_ARC
(4,10),-2.23349 # DEPENDENCYPART_ARC
(6,1),-0.381386 # DEPENDENCYPART_ARC
(6,2),-0.473919 # DEPENDENCYPART_ARC
(6,3),-0.479821 # DEPENDENCYPART_ARC
(6,4),-0.328334 # DEPENDENCYPART_ARC
(6,5),0.103324 # DEPENDENCYPART_ARC
(6,7),0.749083 # DEPENDENCYPART_ARC
(6,8),0.50288 # DEPENDENCYPART_ARC
(6,9),-0.477193 # DEPENDENCYPART_ARC
(6,10),-0.518735 # DEPENDENCYPART_ARC
(6,11),-0.797801 # DEPENDENCYPART_ARC
(6,13),-1.58126 # DEPENDENCYPART_ARC
(6,14),-1.37355 # DEPENDENCYPART_ARC
(6,15),-1.52275 # DEPENDENCYPART_ARC
(6,17),-2.49936 # DEPENDENCYPART_ARC
(6,18),0.0205829 # DEPENDENCYPART_ARC
(6,19),-1.55123 # DEPENDENCYPART_ARC
(6,20),0.501522 # DEPENDENCYPART_ARC
(6,21),-0.0545931 # DEPENDENCYPART_ARC
(6,23),-1.65139 # DEPENDENCYPART_ARC
(6,25),-2.12408 # DEPENDENCYPART_ARC
(6,27),-2.17903 # DEPENDENCYPART_ARC
(6,28),-0.625332 # DEPENDENCYPART_ARC
(7,4),-2.09323 # DEPENDENCYPART_ARC
(7,5),-1.68117 # DEPENDENCYPART_ARC
(7,8),-0.556323 # DEPENDENCYPART_ARC
(7,9),-1.116 # DEPENDENCYPART_ARC
(7,10),-1.72014 # DEPENDENCYPART_ARC
(7,11),-2.08251 # DEPENDENCYPART_ARC
(8,2),-2.42943 # DEPENDENCYPART_ARC
(8,3),-1.97401 # DEPENDENCYPART_ARC
(8,4),-2.18801 # DEPENDENCYPART_ARC
(8,5),-1.9194 # DEPENDENCYPART_ARC
(8,6),-0.889731 # DEPENDENCYPART_ARC
(8,7),-0.359584 # DEPENDENCYPART_ARC
(8,9),2.36361 # DEPENDENCYPART_ARC
(8,10),0.705445 # DEPENDENCYPART_ARC
(8,11),-0.814435 # DEPENDENCYPART_ARC
(8,14),-1.57843 # DEPENDENCYPART_ARC
(8,20),-0.840263 # DEPENDENCYPART_ARC
(8,21),-1.46535 # DEPENDENCYPART_ARC
(8,23),-2.43065 # DEPENDENCYPART_ARC
(8,28),-2.49645 # DEPENDENCYPART_ARC
(9,1),-2.9306 # DEPENDENCYPART_ARC
(9,2),-3.4928 # DEPENDENCYPART_ARC
(9,3),-2.6091 # DEPENDENCYPART_ARC
(9,4),-3.05249 # DEPENDENCYPART_ARC
(9,6),-1.3563 # DEPENDENCYPART_ARC
(9,7),-1.82385 # DEPENDENCYPART_ARC
(9,8),-1.47601 # DEPENDENCYPART_ARC
(9,10),1.32514 # DEPENDENCYPART_ARC
(9,11),-0.0757469 # DEPENDENCYPART_ARC
(9,14),-0.548442 # DEPENDENCYPART_ARC
(9,18),-1.15957 # DEPENDENCYPART_ARC
(9,19),-1.65435 # DEPENDENCYPART_ARC
(9,20),-0.894447 # DEPENDENCYPART_ARC
(9,21),-1.04361 # DEPENDENCYPART_ARC
(9,23),-1.48989 # DEPENDENCYPART_ARC
(9,25),-2.33431 # DEPENDENCYPART_ARC
(9,27),-2.74222 # DEPENDENCYPART_ARC
(9,28),-1.7675 # DEPENDENCYPART_ARC
(10,1),-2.24936 # DEPENDENCYPART_ARC
(10,2),-2.97065 # DEPENDENCYPART_ARC
(10,3),-2.88747 # DEPENDENCYPART_ARC
(10,4),-2.9522 # DEPENDENCYPART_ARC
(10,5),-3.36143 # DEPENDENCYPART_ARC
(10,6),-1.9755 # DEPENDENCYPART_ARC
(10,7),-1.96767 # DEPENDENCYPART_ARC
(10,8),-1.6703 # DEPENDENCYPART_ARC
(10,9),0.970488 # DEPENDENCYPART_ARC
(10,11),1.52262 # DEPENDENCYPART_ARC
(10,13),-1.10768 # DEPENDENCYPART_ARC
(10,14),0.0498842 # DEPENDENCYPART_ARC
(10,15),-1.13314 # DEPENDENCYPART_ARC
(10,16),-1.39614 # DEPENDENCYPART_ARC
(10,18),-1.03518 # DEPENDENCYPART_ARC
(10,19),-1.43187 # DEPENDENCYPART_ARC
(10,20),-0.543858 # DEPENDENCYPART_ARC
(10,21),-0.372479 # DEPENDENCYPART_ARC
(10,22),-2.89813 # DEPENDENCYPART_ARC
(10,23),-1.30186 # DEPENDENCYPART_ARC
(10,25),-2.10441 # DEPENDENCYPART_ARC
(10,27),-2.54355 # DEPENDENCYPART_ARC
(10,28),-1.24905 # DEPENDENCYPART_ARC
(11,10),-1.09745 # DEPENDENCYPART_ARC
(11,12),-1.36238 # DEPENDENCYPART_ARC
(11,13),-0.149706 # DEPENDENCYPART_ARC
(11,14),0.558034 # DEPENDENCYPART_ARC
(11,15),-1.23527 # DEPENDENCYPART_ARC
(11,16),-1.88764 # DEPENDENCYPART_ARC
(11,20),-1.07901 # DEPENDENCYPART_ARC
(11,21),-1.40516 # DEPENDENCYPART_ARC
(12,11),-1.51502 # DEPENDENCYPART_ARC
(12,13),-0.489829 # DEPENDENCYPART_ARC
(13,5),-3.39923 # DEPENDENCYPART_ARC
(13,7),-2.28683 # DEPENDENCYPART_ARC
(13,12),-0.591967 # DEPENDENCYPART_ARC
(13,14),-0.47128 # DEPENDENCYPART_ARC
(13,15),-0.364161 # DEPENDENCYPART_ARC
(13,16),-1.53585 # DEPENDENCYPART_ARC
(14,4),-2.06564 # DEPENDENCYPART_ARC
(14,5),-2.2737 # DEPENDENCYPART_ARC
(14,7),-1.63991 # DEPENDENCYPART_ARC
(14,8),-2.15022 # DEPENDENCYPART_ARC
(14,9),-2.58265 # DEPENDENCYPART_ARC
(14,11),-1.66804 # DEPENDENCYPART_ARC
(14,12),1.96105 # DEPENDENCYPART_ARC
(14,13),2.47481 # DEPENDENCYPART_ARC
(14,15),2.01587 # DEPENDENCYPART_ARC
(14,16),0.153015 # DEPENDENCYPART_ARC
(14,18),-0.628722 # DEPENDENCYPART_ARC
(14,19),-1.49427 # DEPENDENCYPART_ARC
(14,20),-1.26823 # DEPENDENCYPART_ARC
(14,21),-1.37918 # DEPENDENCYPART_ARC
(14,22),-2.31084 # DEPENDENCYPART_ARC
(14,23),-1.98592 # DEPENDENCYPART_ARC
(14,25),-2.39646 # DEPENDENCYPART_ARC
(14,26),-3.3088 # DEPENDENCYPART_ARC
(14,27),-1.97008 # DEPENDENCYPART_ARC
(14,28),-2.26467 # DEPENDENCYPART_ARC
(15,12),-1.72205 # DEPENDENCYPART_ARC
(15,13),-1.81162 # DEPENDENCYPART_ARC
(15,16),-0.3153 # DEPENDENCYPART_ARC
(15,18),-1.9382 # DEPENDENCYPART_ARC
(15,19),-2.24905 # DEPENDENCYPART_ARC
(16,15),-1.61912 # DEPENDENCYPART_ARC
(16,17),2.39814 # DEPENDENCYPART_ARC
(16,18),-1.02402 # DEPENDENCYPART_ARC
(16,19),-1.46296 # DEPENDENCYPART_ARC
(16,23),-2.44612 # DEPENDENCYPART_ARC
(17,16),-0.370249 # DEPENDENCYPART_ARC
(17,18),-1.16911 # DEPENDENCYPART_ARC
(17,19),-2.29306 # DEPENDENCYPART_ARC
(18,1),-0.876779 # DEPENDENCYPART_ARC
(18,2),-2.49056 # DEPENDENCYPART_ARC
(18,3),-1.40507 # DEPENDENCYPART_ARC
(18,4),-2.12172 # DEPENDENCYPART_ARC
(18,5),-2.83297 # DEPENDENCYPART_ARC
(18,6),-1.41549 # DEPENDENCYPART_ARC
(18,7),-2.13327 # DEPENDENCYPART_ARC
(18,8),-1.45816 # DEPENDENCYPART_ARC
(18,9),-1.49107 # DEPENDENCYPART_ARC
(18,10),-0.852193 # DEPENDENCYPART_ARC
(18,11),-0.764079 # DEPENDENCYPART_ARC
(18,12),-3.28393 # DEPENDENCYPART_ARC
(18,13),-1.87706 # DEPENDENCYPART_ARC
(18,14),-1.70926 # DEPENDENCYPART_ARC
(18,15),-1.47938 # DEPENDENCYPART_ARC
(18,16),-0.651393 # DEPENDENCYPART_ARC
(18,17),1.31742 # DEPENDENCYPART_ARC
(18,19),1.81462 # DEPENDENCYPART_ARC
(18,20),-0.0188362 # DEPENDENCYPART_ARC
(18,21),-0.0878199 # DEPENDENCYPART_ARC
(18,22),-1.08347 # DEPENDENCYPART_ARC
(18,23),-1.09061 # DEPENDENCYPART_ARC
(18,25),-1.93792 # DEPENDENCYPART_ARC
(18,27),-1.99413 # DEPENDENCYPART_ARC
(18,28),-1.71579 # DEPENDENCYPART_ARC
(19,16),-1.30841 # DEPENDENCYPART_ARC
(19,17),-1.53767 # DEPENDENCYPART_ARC
(19,20),-0.157552 # DEPENDENCYPART_ARC
(19,21),-0.858781 # DEPENDENCYPART_ARC
(19,22),-1.10139 # DEPENDENCYPART_ARC
(19,23),-1.31108 # DEPENDENCYPART_ARC
(19,25),-1.19969 # DEPENDENCYPART_ARC
(19,26),-0.784408 # DEPENDENCYPART_ARC
(19,27),-1.58796 # DEPENDENCYPART_ARC
(22,3),-4.36275 # DEPENDENCYPART_ARC
(22,6),-3.8011 # DEPENDENCYPART_ARC
(22,25),-1.85153 # DEPENDENCYPART_ARC
(22,28),-1.94929 # DEPENDENCYPART_ARC
(23,1),-1.98915 # DEPENDENCYPART_ARC
(23,2),-3.50796 # DEPENDENCYPART_ARC
(23,3),-1.40975 # DEPENDENCYPART_ARC
(23,4),-2.40601 # DEPENDENCYPART_ARC
(23,6),-0.545678 # DEPENDENCYPART_ARC
(23,7),-2.87685 # DEPENDENCYPART_ARC
(23,8),-2.20942 # DEPENDENCYPART_ARC
(23,9),-1.40825 # DEPENDENCYPART_ARC
(23,10),-1.4671 # DEPENDENCYPART_ARC
(23,11),-1.60447 # DEPENDENCYPART_ARC
(23,13),-1.60565 # DEPENDENCYPART_ARC
(23,14),-1.97333 # DEPENDENCYPART_ARC
(23,15),-1.65093 # DEPENDENCYPART_ARC
(23,16),-2.23171 # DEPENDENCYPART_ARC
(23,17),-2.4568 # DEPENDENCYPART_ARC
(23,18),-1.12802 # DEPENDENCYPART_ARC
(23,19),-1.60896 # DEPENDENCYPART_ARC
(23,20),-0.910664 # DEPENDENCYPART_ARC
(23,21),-0.823749 # DEPENDENCYPART_ARC
(23,22),2.53254 # DEPENDENCYPART_ARC
(23,25),1.06009 # DEPENDENCYPART_ARC
(23,26),-0.732822 # DEPENDENCYPART_ARC
(23,27),-0.474454 # DEPENDENCYPART_ARC
(23,28),-0.251637 # DEPENDENCYPART_ARC
(25,16),-1.57018 # DEPENDENCYPART_ARC
(25,24),1.6246 # DEPENDENCYPART_ARC
(25,26),1.92658 # DEPENDENCYPART_ARC
(25,27),0.379623 # DEPENDENCYPART_ARC
(25,28),-0.711914 # DEPENDENCYPART_ARC
(26,24),-1.9115 # DEPENDENCYPART_ARC
(26,27),-0.896611 # DEPENDENCYPART_ARC
(27,24),-1.58972 # DEPENDENCYPART_ARC
(27,25),-1.2304 # DEPENDENCYPART_ARC
(27,26),0.25697 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.381307 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.433326 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.3819 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.383045 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.433326 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.421124 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.378056 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.97328 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.941379 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.935971 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.97328 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.941504 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.935815 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.972931 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.96904 # DEPENDENCYPART_SIBL
(0,6),(0,18),-1.00181 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.973032 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.968399 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.928196 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.965288 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.933715 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.928026 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.971705 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.940132 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.934443 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.973032 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.968399 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.941959 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0546419 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.136958 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0832266 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.153996 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.157397 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0255734 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0833266 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0716036 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0652628 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.171763 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.289077 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0141842 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00721501 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0515796 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00431648 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0112253 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0178429 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0105542 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.108931 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.049429 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00817633 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0515796 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0339467 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.677912 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.00721501 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0399388 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0143112 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.04865 # DEPENDENCYPART_SIBL
(3,1),(3,28),-0.107865 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.124455 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.461422 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0696548 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0341153 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0139477 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0124124 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0386982 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0278877 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0346335 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0520911 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0696548 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0413527 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.085758 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.461422 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0628986 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0334443 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0339616 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.25332 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.033308 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0252085 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0246231 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0503067 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00714407 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00828548 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.011696 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.000720168 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0397038 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0252085 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0022838 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0253856 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.033308 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.00287205 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.00619161 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.000714041 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0598399 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0186682 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0572289 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.264728 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0483515 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00480795 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.221176 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0625761 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0252248 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0186682 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0617758 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0235755 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0783082 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0420339 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0862914 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0625699 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0342548 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00945793 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0404565 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0266047 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0310222 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0172299 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00559141 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0243537 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0544825 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00632499 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0470495 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.089764 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.00948468 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.00113243 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.00560971 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0737515 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0063539 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0151568 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0140154 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0412353 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0233522 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0266753 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00266588 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0203482 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0133969 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0604825 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0194288 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0288237 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0233461 # DEPENDENCYPART_SIBL
(3,7),(3,28),0.0650073 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00665152 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00535915 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.201142 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0126987 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0291565 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0534251 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0117899 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0587564 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0708003 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.00450012 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.0231248 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0126925 # DEPENDENCYPART_SIBL
(3,8),(3,28),0.0540495 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0123397 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.00921889 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0214227 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00612702 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0478038 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0221563 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0406422 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0479757 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.00797255 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0169653 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.021441 # DEPENDENCYPART_SIBL
(3,9),(3,28),0.0616382 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00636821 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.028146 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.000951602 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.04951 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0288796 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0705038 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0767825 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0062663 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0236886 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0281643 # DEPENDENCYPART_SIBL
(3,10),(3,28),0.0979121 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0130585 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0805719 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00856626 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0139571 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0137514 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0766713 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0388674 # DEPENDENCYPART_SIBL
(3,11),(3,25),0.00135813 # DEPENDENCYPART_SIBL
(3,11),(3,27),0.0130648 # DEPENDENCYPART_SIBL
(3,11),(3,28),0.0793689 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.046349 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0624198 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.258138 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.013583 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.0127108 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0212408 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.263402 # DEPENDENCYPART_SIBL
(3,14),(3,27),-0.258933 # DEPENDENCYPART_SIBL
(3,14),(3,28),0.0106096 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0070015 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0593378 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0366468 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.00905831 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0166746 # DEPENDENCYPART_SIBL
(3,15),(3,25),-0.0630673 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.060137 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.0397645 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.00632499 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.0470495 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.089764 # DEPENDENCYPART_SIBL
(3,18),(3,23),-0.00948468 # DEPENDENCYPART_SIBL
(3,18),(3,25),0.00113243 # DEPENDENCYPART_SIBL
(3,18),(3,27),0.00560971 # DEPENDENCYPART_SIBL
(3,18),(3,28),0.0737515 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.047835 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.0373882 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.00692129 # DEPENDENCYPART_SIBL
