# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(8,20),-1.50361 # DEPENDENCYPART_ARC
(8,22),-2.43507 # DEPENDENCYPART_ARC
(8,23),-0.770727 # DEPENDENCYPART_ARC
(9,8),-0.439473 # DEPENDENCYPART_ARC
(9,10),-0.870688 # DEPENDENCYPART_ARC
(9,11),-1.16417 # DEPENDENCYPART_ARC
(9,12),-1.20794 # DEPENDENCYPART_ARC
(9,13),-0.995617 # DEPENDENCYPART_ARC
(9,16),-1.47554 # DEPENDENCYPART_ARC
(9,18),-1.87675 # DEPENDENCYPART_ARC
(9,19),-2.5122 # DEPENDENCYPART_ARC
(9,20),-2.02935 # DEPENDENCYPART_ARC
(9,23),-2.20887 # DEPENDENCYPART_ARC
(10,11),-1.27618 # DEPENDENCYPART_ARC
(10,15),-2.97179 # DEPENDENCYPART_ARC
(10,19),-2.75547 # DEPENDENCYPART_ARC
(11,8),-2.67652 # DEPENDENCYPART_ARC
(11,9),-1.23048 # DEPENDENCYPART_ARC
(11,10),-0.90007 # DEPENDENCYPART_ARC
(11,12),-1.19266 # DEPENDENCYPART_ARC
(11,14),-1.58039 # DEPENDENCYPART_ARC
(11,15),-2.03063 # DEPENDENCYPART_ARC
(12,1),-3.37572 # DEPENDENCYPART_ARC
(12,2),-1.46832 # DEPENDENCYPART_ARC
(12,3),-2.90758 # DEPENDENCYPART_ARC
(12,5),-1.32611 # DEPENDENCYPART_ARC
(12,7),-2.15307 # DEPENDENCYPART_ARC
(12,8),-0.61775 # DEPENDENCYPART_ARC
(12,9),-0.300448 # DEPENDENCYPART_ARC
(12,10),2.06303 # DEPENDENCYPART_ARC
(12,11),0.485153 # DEPENDENCYPART_ARC
(12,13),-0.0805636 # DEPENDENCYPART_ARC
(12,14),-0.180611 # DEPENDENCYPART_ARC
(12,15),0.00771663 # DEPENDENCYPART_ARC
(12,16),-0.759507 # DEPENDENCYPART_ARC
(12,17),-0.981269 # DEPENDENCYPART_ARC
(12,18),-0.775377 # DEPENDENCYPART_ARC
(12,19),-1.12392 # DEPENDENCYPART_ARC
(12,20),-1.56789 # DEPENDENCYPART_ARC
(12,22),-1.87788 # DEPENDENCYPART_ARC
(12,23),-1.06824 # DEPENDENCYPART_ARC
(14,13),-0.169556 # DEPENDENCYPART_ARC
(14,15),0.77901 # DEPENDENCYPART_ARC
(14,16),-0.869233 # DEPENDENCYPART_ARC
(14,18),-1.28598 # DEPENDENCYPART_ARC
(14,19),-1.57812 # DEPENDENCYPART_ARC
(14,20),-1.66938 # DEPENDENCYPART_ARC
(14,22),-2.15746 # DEPENDENCYPART_ARC
(15,9),-1.70201 # DEPENDENCYPART_ARC
(15,13),-0.857916 # DEPENDENCYPART_ARC
(15,16),-1.13386 # DEPENDENCYPART_ARC
(15,17),-1.78701 # DEPENDENCYPART_ARC
(15,18),-2.08786 # DEPENDENCYPART_ARC
(15,19),-1.58171 # DEPENDENCYPART_ARC
(15,20),-2.62201 # DEPENDENCYPART_ARC
(15,22),-2.76844 # DEPENDENCYPART_ARC
(16,13),-1.66841 # DEPENDENCYPART_ARC
(16,15),-1.1395 # DEPENDENCYPART_ARC
(17,16),-1.50655 # DEPENDENCYPART_ARC
(17,18),-1.18122 # DEPENDENCYPART_ARC
(18,2),-3.49475 # DEPENDENCYPART_ARC
(18,8),-3.44599 # DEPENDENCYPART_ARC
(18,9),-2.78962 # DEPENDENCYPART_ARC
(18,10),-1.68849 # DEPENDENCYPART_ARC
(18,11),-2.57188 # DEPENDENCYPART_ARC
(18,12),-2.79398 # DEPENDENCYPART_ARC
(18,13),-2.17701 # DEPENDENCYPART_ARC
(18,14),-2.04997 # DEPENDENCYPART_ARC
(18,15),-1.97294 # DEPENDENCYPART_ARC
(18,16),-0.648843 # DEPENDENCYPART_ARC
(18,17),1.49573 # DEPENDENCYPART_ARC
(18,19),1.41478 # DEPENDENCYPART_ARC
(18,20),0.282349 # DEPENDENCYPART_ARC
(18,22),-0.772499 # DEPENDENCYPART_ARC
(18,23),-1.15241 # DEPENDENCYPART_ARC
(19,14),-3.41222 # DEPENDENCYPART_ARC
(19,16),-2.69382 # DEPENDENCYPART_ARC
(19,17),-2.15375 # DEPENDENCYPART_ARC
(19,18),-0.914902 # DEPENDENCYPART_ARC
(19,20),1.95532 # DEPENDENCYPART_ARC
(19,22),-0.557321 # DEPENDENCYPART_ARC
(19,23),-1.16772 # DEPENDENCYPART_ARC
(20,2),-2.78908 # DEPENDENCYPART_ARC
(20,5),-2.5054 # DEPENDENCYPART_ARC
(20,7),-2.90635 # DEPENDENCYPART_ARC
(20,8),-1.88895 # DEPENDENCYPART_ARC
(20,9),-1.81708 # DEPENDENCYPART_ARC
(20,10),-1.23681 # DEPENDENCYPART_ARC
(20,11),-1.86512 # DEPENDENCYPART_ARC
(20,12),-1.3905 # DEPENDENCYPART_ARC
(20,13),-1.98617 # DEPENDENCYPART_ARC
(20,14),-1.46247 # DEPENDENCYPART_ARC
(20,15),-1.93579 # DEPENDENCYPART_ARC
(20,16),-0.918315 # DEPENDENCYPART_ARC
(20,17),0.553313 # DEPENDENCYPART_ARC
(20,18),1.96588 # DEPENDENCYPART_ARC
(20,19),1.12318 # DEPENDENCYPART_ARC
(20,22),1.21943 # DEPENDENCYPART_ARC
(20,23),-0.765289 # DEPENDENCYPART_ARC
(22,9),-2.06095 # DEPENDENCYPART_ARC
(22,15),-2.18708 # DEPENDENCYPART_ARC
(22,17),-1.92638 # DEPENDENCYPART_ARC
(22,19),-1.66333 # DEPENDENCYPART_ARC
(22,20),-0.814973 # DEPENDENCYPART_ARC
(22,21),1.73101 # DEPENDENCYPART_ARC
(22,23),-0.881948 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.441729 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.429727 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.42293 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.42267 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.421186 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.948963 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.944579 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.944579 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.946096 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.930203 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.930203 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.93172 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.936225 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.937742 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.937739 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.810604 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.559053 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.587417 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.172125 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0539055 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.104509 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0847547 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0749027 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.360749 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0664601 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0808605 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0514234 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0326852 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.128291 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0514234 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0206645 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0119865 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0136603 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00857499 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0438435 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0616868 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0238434 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0219688 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00064321 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0647568 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0110939 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00064321 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0233686 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0234471 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00319679 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00845846 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.162615 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00908321 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0107754 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0636936 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00347867 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00910747 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0636936 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.00417551 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0924351 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00387913 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0557208 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0201661 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.08335 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0210529 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00869409 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0616953 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0210529 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0400943 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0411566 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0143297 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0304947 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0370783 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0887237 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0423299 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0268814 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0887237 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0577184 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0949407 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00489208 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0122432 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.133865 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00255911 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0848757 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.133865 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.132683 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0265244 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.117234 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.111966 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0367501 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0400216 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.111966 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.0975183 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0139487 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0305364 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0024563 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.00739115 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0305364 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.00573838 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0665205 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0420598 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0255474 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0665205 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0421696 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0257462 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0525264 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0370013 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.00647751 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0866321 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.050235 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0938184 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0132801 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0652488 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.00647751 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0859842 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.1853 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0298334 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0993682 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.035255 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.151806 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0913577 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.104903 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0872435 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0860272 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0405221 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.104397 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0859995 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.422065 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.41141 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.281444 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.889575 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.405548 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.280332 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00137253 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.291347 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.27783 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00924078 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.271265 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.257517 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.327787 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.194582 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.448257 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.483282 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.103698 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.242827 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.15933 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.807916 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.112564 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0759519 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.160996 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0720577 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0420271 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0125272 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0444438 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0929281 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0186339 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0165453 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0148658 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0152549 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0233525 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.112564 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0759519 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.160996 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0720577 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0420271 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0125272 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.101552 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00727206 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0924669 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00419354 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0527167 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0437151 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0458688 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0381558 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0457262 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00564729 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.00609072 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.00552557 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0378857 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.0301775 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0896164 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.700977 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.227254 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.112143 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.208455 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0652464 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.193907 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.105922 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0662205 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.299112 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.096349 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.185043 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.25028 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.155426 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.24095 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.108531 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.26371 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.149326 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.109505 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.387628 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.139634 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.290655 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0432831 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.383385 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.034931 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.230119 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0487606 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.035415 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.403967 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0663045 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.234462 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00889603 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0013772 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0843699 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.00045311 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.000505615 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0382944 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0025831 # DEPENDENCYPART_SIBL
(7,8),(7,23),0.043516 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0239445 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.126661 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0285347 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0257884 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.0997441 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.037492 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.119473 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0373739 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0148101 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0273949 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0278393 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0294724 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.00345557 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0671473 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.0579054 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.162637 # DEPENDENCYPART_SIBL
(7,13),(7,20),0.0664438 # DEPENDENCYPART_SIBL
(7,13),(7,23),-0.0260437 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.00218211 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.079123 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.00277379 # DEPENDENCYPART_SIBL
(7,14),(7,23),0.0944956 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.0286924 # DEPENDENCYPART_SIBL
(7,18),(7,20),-0.0290245 # DEPENDENCYPART_SIBL
(7,18),(7,23),0.00537676 # DEPENDENCYPART_SIBL
(7,19),(7,20),0.108874 # DEPENDENCYPART_SIBL
(7,19),(7,23),0.149199 # DEPENDENCYPART_SIBL
(7,20),(7,23),0.0264416 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0379954 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0168893 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.414383 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0416051 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.219208 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0910304 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0629603 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.224099 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.00715422 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0425613 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0061922 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0773839 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0108332 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0061922 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.224099 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0411438 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0421788 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0195541 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.0524892 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.0166891 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.00578879 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.167842 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.749081 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.205027 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.155623 # DEPENDENCYPART_SIBL
