# _root_ El tribunal es torna a remetre als fonaments jurídics de la sentència que , en cap cas , es refereix als empleats públics autonòmics o locals .
#goldHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
#predictedHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
(17,10),-1.40726 # DEPENDENCYPART_ARC
(17,11),-2.77539 # DEPENDENCYPART_ARC
(17,16),1.43089 # DEPENDENCYPART_ARC
(17,18),-0.967204 # DEPENDENCYPART_ARC
(17,20),-0.675746 # DEPENDENCYPART_ARC
(17,21),-1.90443 # DEPENDENCYPART_ARC
(17,23),-2.52164 # DEPENDENCYPART_ARC
(17,24),-2.85297 # DEPENDENCYPART_ARC
(17,26),-3.59486 # DEPENDENCYPART_ARC
(20,2),-1.88047 # DEPENDENCYPART_ARC
(20,4),-1.6746 # DEPENDENCYPART_ARC
(20,5),-1.20485 # DEPENDENCYPART_ARC
(20,6),-1.03856 # DEPENDENCYPART_ARC
(20,7),-1.22985 # DEPENDENCYPART_ARC
(20,9),-1.90386 # DEPENDENCYPART_ARC
(20,10),-2.28582 # DEPENDENCYPART_ARC
(20,12),-1.20225 # DEPENDENCYPART_ARC
(20,13),0.181272 # DEPENDENCYPART_ARC
(20,14),-0.310339 # DEPENDENCYPART_ARC
(20,15),0.0942588 # DEPENDENCYPART_ARC
(20,17),-0.689869 # DEPENDENCYPART_ARC
(20,18),0.711709 # DEPENDENCYPART_ARC
(20,19),2.28026 # DEPENDENCYPART_ARC
(20,21),1.60415 # DEPENDENCYPART_ARC
(20,22),0.256755 # DEPENDENCYPART_ARC
(20,23),-0.886415 # DEPENDENCYPART_ARC
(20,24),-1.27513 # DEPENDENCYPART_ARC
(20,25),-1.04919 # DEPENDENCYPART_ARC
(20,26),-1.54432 # DEPENDENCYPART_ARC
(20,27),-0.24092 # DEPENDENCYPART_ARC
(21,6),-2.81896 # DEPENDENCYPART_ARC
(21,22),3.01021 # DEPENDENCYPART_ARC
(21,23),-0.927863 # DEPENDENCYPART_ARC
(21,24),-1.72862 # DEPENDENCYPART_ARC
(21,25),-1.44715 # DEPENDENCYPART_ARC
(21,26),-1.68727 # DEPENDENCYPART_ARC
(22,21),-1.65666 # DEPENDENCYPART_ARC
(22,23),1.89493 # DEPENDENCYPART_ARC
(22,24),0.94438 # DEPENDENCYPART_ARC
(22,25),-0.507149 # DEPENDENCYPART_ARC
(22,26),-0.39479 # DEPENDENCYPART_ARC
(22,27),-1.00397 # DEPENDENCYPART_ARC
(23,24),-0.302621 # DEPENDENCYPART_ARC
(23,25),-0.893388 # DEPENDENCYPART_ARC
(23,26),-0.668738 # DEPENDENCYPART_ARC
(24,15),-1.76782 # DEPENDENCYPART_ARC
(24,23),-1.14315 # DEPENDENCYPART_ARC
(24,25),0.611107 # DEPENDENCYPART_ARC
(24,26),0.712765 # DEPENDENCYPART_ARC
(24,27),-0.794684 # DEPENDENCYPART_ARC
(26,23),-1.81046 # DEPENDENCYPART_ARC
(26,24),-1.23814 # DEPENDENCYPART_ARC
(26,25),-0.518677 # DEPENDENCYPART_ARC
(26,27),-1.46516 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.427392 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0236196 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.427084 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.426137 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.246244 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.936377 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.93496 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.414893 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.415295 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.934806 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00607712 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0781517 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00319861 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0412705 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0561308 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.361425 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0087251 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.021572 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0782067 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0587095 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0609876 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00939848 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0803333 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0590314 # DEPENDENCYPART_SIBL
(2,4),(2,27),0.0245527 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00936372 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.106903 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0595583 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0765537 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.00694237 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.219468 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.060257 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0094478 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0796096 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0588283 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.041235 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.02388 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0114153 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0133308 # DEPENDENCYPART_SIBL
(2,7),(2,27),0.0732585 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0883297 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.017636 # DEPENDENCYPART_SIBL
(2,9),(2,27),-0.02212 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.00403176 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.0172792 # DEPENDENCYPART_SIBL
(2,20),(2,27),0.0431768 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00991639 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.361651 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0192684 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0339745 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0766999 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00744453 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0299448 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0828323 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0153867 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0473474 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0536835 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0189225 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0473474 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0373679 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0766999 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.118704 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.181521 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0429637 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0114099 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0401564 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00136105 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0127953 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0438909 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0153828 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0669107 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.000249523 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0331165 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0669107 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00977889 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0401564 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0079574 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0326621 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0226452 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00858148 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.237209 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0645442 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.037004 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.244221 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.036884 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0793873 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.206266 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.036884 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0216309 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.00858148 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0810473 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0203971 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0558253 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00242764 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0708379 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0801256 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00945641 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.018262 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0488015 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0118766 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.018262 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0314593 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0558253 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0331126 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00600298 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.028367 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0048356 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00365511 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0262623 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0374738 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0215462 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0250618 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0374738 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.00223017 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.00600298 # DEPENDENCYPART_SIBL
(4,6),(4,27),0.0629946 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0305916 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0288245 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.182725 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0358159 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0096479 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.104864 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0396516 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0096479 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0674529 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.102026 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.000279644 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0315758 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0492728 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.25522 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0170021 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.072437 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.246055 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0170021 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.00548411 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.187443 # DEPENDENCYPART_SIBL
(4,8),(4,27),0.0160925 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.081232 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0536937 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00285855 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0164024 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0475991 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.00285855 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0295985 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0406828 # DEPENDENCYPART_SIBL
(4,9),(4,27),0.0340388 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.079992 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0502239 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.199747 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.085219 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0502239 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0129857 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.134352 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.0091373 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0117174 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0687287 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.247537 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0117174 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.018533 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.165192 # DEPENDENCYPART_SIBL
(4,12),(4,27),0.00150296 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.129432 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0254364 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.058145 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.127249 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0734263 # DEPENDENCYPART_SIBL
(4,14),(4,27),-0.00978226 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.00918129 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.02421 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.00883071 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.0812308 # DEPENDENCYPART_SIBL
(4,15),(4,27),0.00648868 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0397285 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0643216 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.13113 # DEPENDENCYPART_SIBL
(4,17),(4,27),-0.0495207 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.127249 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0734263 # DEPENDENCYPART_SIBL
(4,18),(4,27),-0.00978226 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0144487 # DEPENDENCYPART_SIBL
(4,20),(4,27),0.0738663 # DEPENDENCYPART_SIBL
(4,21),(4,27),-0.000279644 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0022394 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.114712 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0739482 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0225076 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0341386 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0314612 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0314612 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0713435 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.298584 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0959413 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.123022 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0857825 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0857825 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.101299 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0294742 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.272884 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0737779 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0737779 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.425359 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.277911 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.099981 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.099981 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.272711 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.103862 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.103862 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.00663995 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.00663995 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.222554 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0097375 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.372304 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0598296 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0670167 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0575164 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00856795 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0287195 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.101549 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0165101 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0415651 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0344972 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0177991 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0415651 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0474818 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0575164 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0262397 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0493508 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0368301 # DEPENDENCYPART_SIBL
(6,1),(6,27),-0.114569 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.193742 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0540883 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00781752 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.012002 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.000607573 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0106325 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0164248 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0134141 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0516294 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0284082 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0350851 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0516294 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00592216 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.012002 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0118276 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.014865 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0131369 # DEPENDENCYPART_SIBL
(6,2),(6,27),0.0152475 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.214459 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.136407 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0438318 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.219469 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0479954 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0889226 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.22648 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0651444 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.131802 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.188526 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0651444 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0233135 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0438318 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0504569 # DEPENDENCYPART_SIBL
