# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,35,4,
(9,21),-2.34945 # DEPENDENCYPART_ARC
(9,22),-1.35808 # DEPENDENCYPART_ARC
(9,23),-1.17157 # DEPENDENCYPART_ARC
(9,25),-1.33189 # DEPENDENCYPART_ARC
(9,27),-1.62866 # DEPENDENCYPART_ARC
(9,29),-1.99303 # DEPENDENCYPART_ARC
(9,30),-1.2339 # DEPENDENCYPART_ARC
(9,32),-1.79469 # DEPENDENCYPART_ARC
(9,33),-0.870636 # DEPENDENCYPART_ARC
(9,34),-2.31918 # DEPENDENCYPART_ARC
(9,35),-1.85667 # DEPENDENCYPART_ARC
(9,38),-2.30316 # DEPENDENCYPART_ARC
(9,42),-1.63717 # DEPENDENCYPART_ARC
(10,11),-0.678104 # DEPENDENCYPART_ARC
(10,14),-1.7648 # DEPENDENCYPART_ARC
(11,7),-2.85367 # DEPENDENCYPART_ARC
(11,8),-1.34926 # DEPENDENCYPART_ARC
(11,9),-1.41238 # DEPENDENCYPART_ARC
(11,10),1.22069 # DEPENDENCYPART_ARC
(11,12),-0.527001 # DEPENDENCYPART_ARC
(11,13),0.416525 # DEPENDENCYPART_ARC
(11,14),-0.553893 # DEPENDENCYPART_ARC
(11,18),-0.557789 # DEPENDENCYPART_ARC
(11,19),-1.37353 # DEPENDENCYPART_ARC
(11,21),-0.588435 # DEPENDENCYPART_ARC
(11,22),-0.987696 # DEPENDENCYPART_ARC
(11,27),-1.72116 # DEPENDENCYPART_ARC
(11,29),-1.65614 # DEPENDENCYPART_ARC
(11,30),-0.211315 # DEPENDENCYPART_ARC
(11,32),-2.75622 # DEPENDENCYPART_ARC
(11,42),-2.94626 # DEPENDENCYPART_ARC
(13,8),-1.71998 # DEPENDENCYPART_ARC
(13,10),-1.91167 # DEPENDENCYPART_ARC
(13,11),-1.75098 # DEPENDENCYPART_ARC
(13,12),0.865666 # DEPENDENCYPART_ARC
(13,14),-0.0326481 # DEPENDENCYPART_ARC
(13,18),-1.59968 # DEPENDENCYPART_ARC
(13,19),-0.956403 # DEPENDENCYPART_ARC
(13,20),-2.84824 # DEPENDENCYPART_ARC
(13,21),-0.782793 # DEPENDENCYPART_ARC
(13,22),-1.13777 # DEPENDENCYPART_ARC
(13,25),-1.06608 # DEPENDENCYPART_ARC
(14,12),-1.42685 # DEPENDENCYPART_ARC
(14,13),-1.81688 # DEPENDENCYPART_ARC
(14,15),-1.38992 # DEPENDENCYPART_ARC
(14,16),-0.952534 # DEPENDENCYPART_ARC
(14,18),0.453233 # DEPENDENCYPART_ARC
(14,22),-1.78802 # DEPENDENCYPART_ARC
(14,38),-2.21712 # DEPENDENCYPART_ARC
(15,13),-2.68358 # DEPENDENCYPART_ARC
(15,14),-2.03403 # DEPENDENCYPART_ARC
(15,16),0.155 # DEPENDENCYPART_ARC
(15,17),-0.317229 # DEPENDENCYPART_ARC
(16,15),1.48864 # DEPENDENCYPART_ARC
(17,18),-1.75309 # DEPENDENCYPART_ARC
(18,9),-2.34152 # DEPENDENCYPART_ARC
(18,12),-1.60711 # DEPENDENCYPART_ARC
(18,13),-2.53812 # DEPENDENCYPART_ARC
(18,14),-1.11554 # DEPENDENCYPART_ARC
(18,15),-1.83512 # DEPENDENCYPART_ARC
(18,17),1.17182 # DEPENDENCYPART_ARC
(18,19),-0.692655 # DEPENDENCYPART_ARC
(18,20),-1.67049 # DEPENDENCYPART_ARC
(18,21),-0.688762 # DEPENDENCYPART_ARC
(18,22),-1.2636 # DEPENDENCYPART_ARC
(18,23),-1.59304 # DEPENDENCYPART_ARC
(18,25),-1.48381 # DEPENDENCYPART_ARC
(18,27),-2.11842 # DEPENDENCYPART_ARC
(18,29),-1.47536 # DEPENDENCYPART_ARC
(18,30),-0.680817 # DEPENDENCYPART_ARC
(18,32),-2.51342 # DEPENDENCYPART_ARC
(18,42),-2.84917 # DEPENDENCYPART_ARC
(20,19),-0.308047 # DEPENDENCYPART_ARC
(20,23),-1.80315 # DEPENDENCYPART_ARC
(20,27),-2.71622 # DEPENDENCYPART_ARC
(21,18),-3.1179 # DEPENDENCYPART_ARC
(21,19),-1.32664 # DEPENDENCYPART_ARC
(21,20),-1.79247 # DEPENDENCYPART_ARC
(21,22),0.131367 # DEPENDENCYPART_ARC
(21,23),-1.06935 # DEPENDENCYPART_ARC
(21,25),-1.3154 # DEPENDENCYPART_ARC
(22,2),-2.12059 # DEPENDENCYPART_ARC
(22,3),-4.84006 # DEPENDENCYPART_ARC
(22,4),-2.49674 # DEPENDENCYPART_ARC
(22,5),-1.60867 # DEPENDENCYPART_ARC
(22,6),-3.55583 # DEPENDENCYPART_ARC
(22,7),-1.44821 # DEPENDENCYPART_ARC
(22,8),-1.98741 # DEPENDENCYPART_ARC
(22,9),-1.46373 # DEPENDENCYPART_ARC
(22,11),-1.53244 # DEPENDENCYPART_ARC
(22,12),-1.30824 # DEPENDENCYPART_ARC
(22,13),-1.34833 # DEPENDENCYPART_ARC
(22,14),-1.118 # DEPENDENCYPART_ARC
(22,15),-2.59813 # DEPENDENCYPART_ARC
(22,17),-2.16734 # DEPENDENCYPART_ARC
(22,18),-0.947165 # DEPENDENCYPART_ARC
(22,19),0.366141 # DEPENDENCYPART_ARC
(22,20),1.44693 # DEPENDENCYPART_ARC
(22,21),2.49624 # DEPENDENCYPART_ARC
(22,23),1.34453 # DEPENDENCYPART_ARC
(22,24),0.449645 # DEPENDENCYPART_ARC
(22,25),-0.13711 # DEPENDENCYPART_ARC
(22,26),-1.67792 # DEPENDENCYPART_ARC
(22,27),-0.718871 # DEPENDENCYPART_ARC
(22,29),-1.59241 # DEPENDENCYPART_ARC
(22,30),-1.03025 # DEPENDENCYPART_ARC
(22,32),-1.61738 # DEPENDENCYPART_ARC
(22,33),-0.897845 # DEPENDENCYPART_ARC
(22,34),-2.02854 # DEPENDENCYPART_ARC
(22,35),-1.427 # DEPENDENCYPART_ARC
(22,38),-1.82588 # DEPENDENCYPART_ARC
(22,41),-1.29552 # DEPENDENCYPART_ARC
(22,42),-0.863977 # DEPENDENCYPART_ARC
(23,15),-3.39888 # DEPENDENCYPART_ARC
(23,24),3.30952 # DEPENDENCYPART_ARC
(23,25),-0.784548 # DEPENDENCYPART_ARC
(23,26),-2.52618 # DEPENDENCYPART_ARC
(23,27),-2.0484 # DEPENDENCYPART_ARC
(23,34),-2.16956 # DEPENDENCYPART_ARC
(24,20),-3.32964 # DEPENDENCYPART_ARC
(24,23),-1.4341 # DEPENDENCYPART_ARC
(24,25),-1.01299 # DEPENDENCYPART_ARC
(24,26),-1.83233 # DEPENDENCYPART_ARC
(24,27),-1.49018 # DEPENDENCYPART_ARC
(24,29),-1.38846 # DEPENDENCYPART_ARC
(24,30),-0.549264 # DEPENDENCYPART_ARC
(24,32),-2.45517 # DEPENDENCYPART_ARC
(26,23),-3.00068 # DEPENDENCYPART_ARC
(26,29),-2.04703 # DEPENDENCYPART_ARC
(26,34),-2.35272 # DEPENDENCYPART_ARC
(26,42),-1.84223 # DEPENDENCYPART_ARC
(27,2),-2.04408 # DEPENDENCYPART_ARC
(27,3),-6.14558 # DEPENDENCYPART_ARC
(27,4),-2.90459 # DEPENDENCYPART_ARC
(27,6),-4.60476 # DEPENDENCYPART_ARC
(27,7),-1.78633 # DEPENDENCYPART_ARC
(27,8),-2.89646 # DEPENDENCYPART_ARC
(27,9),-1.98534 # DEPENDENCYPART_ARC
(27,11),-1.9382 # DEPENDENCYPART_ARC
(27,12),-2.53925 # DEPENDENCYPART_ARC
(27,13),-1.78395 # DEPENDENCYPART_ARC
(27,14),-1.83074 # DEPENDENCYPART_ARC
(27,15),-3.7376 # DEPENDENCYPART_ARC
(27,17),-3.38183 # DEPENDENCYPART_ARC
(27,18),-1.97302 # DEPENDENCYPART_ARC
(27,19),-1.18979 # DEPENDENCYPART_ARC
(27,20),-1.92593 # DEPENDENCYPART_ARC
(27,21),-2.28743 # DEPENDENCYPART_ARC
(27,22),-0.702449 # DEPENDENCYPART_ARC
(27,23),-0.856703 # DEPENDENCYPART_ARC
(27,24),-0.838587 # DEPENDENCYPART_ARC
(27,25),-0.868985 # DEPENDENCYPART_ARC
(27,26),2.63304 # DEPENDENCYPART_ARC
(27,29),1.10757 # DEPENDENCYPART_ARC
(27,30),-0.263707 # DEPENDENCYPART_ARC
(27,32),0.102839 # DEPENDENCYPART_ARC
(27,33),0.333325 # DEPENDENCYPART_ARC
(27,34),-0.605865 # DEPENDENCYPART_ARC
(27,35),-0.149783 # DEPENDENCYPART_ARC
(27,36),-1.0216 # DEPENDENCYPART_ARC
(27,37),-1.85508 # DEPENDENCYPART_ARC
(27,38),-1.46317 # DEPENDENCYPART_ARC
(27,40),-1.26289 # DEPENDENCYPART_ARC
(27,41),-0.366722 # DEPENDENCYPART_ARC
(27,42),-0.151117 # DEPENDENCYPART_ARC
(28,29),-0.4726 # DEPENDENCYPART_ARC
(28,31),-1.56528 # DEPENDENCYPART_ARC
(28,33),-1.80344 # DEPENDENCYPART_ARC
(29,4),-2.1403 # DEPENDENCYPART_ARC
(29,8),-0.858883 # DEPENDENCYPART_ARC
(29,20),-2.89147 # DEPENDENCYPART_ARC
(29,26),-1.89276 # DEPENDENCYPART_ARC
(29,28),1.62671 # DEPENDENCYPART_ARC
(29,30),0.538294 # DEPENDENCYPART_ARC
(29,31),-1.86687 # DEPENDENCYPART_ARC
(29,32),-0.388996 # DEPENDENCYPART_ARC
(29,33),-0.390025 # DEPENDENCYPART_ARC
(29,34),-1.11083 # DEPENDENCYPART_ARC
(29,35),-1.03277 # DEPENDENCYPART_ARC
(29,36),-2.53062 # DEPENDENCYPART_ARC
(29,37),-1.76978 # DEPENDENCYPART_ARC
(29,40),-1.52597 # DEPENDENCYPART_ARC
(29,41),-1.59975 # DEPENDENCYPART_ARC
(31,32),-0.126439 # DEPENDENCYPART_ARC
(31,33),-0.850413 # DEPENDENCYPART_ARC
(31,34),-1.47312 # DEPENDENCYPART_ARC
(32,4),-1.96493 # DEPENDENCYPART_ARC
(32,20),-2.97239 # DEPENDENCYPART_ARC
(32,28),-2.87633 # DEPENDENCYPART_ARC
(32,30),-1.02942 # DEPENDENCYPART_ARC
(32,31),1.99105 # DEPENDENCYPART_ARC
(32,33),0.332492 # DEPENDENCYPART_ARC
(32,34),-0.917001 # DEPENDENCYPART_ARC
(32,35),-0.908429 # DEPENDENCYPART_ARC
(32,36),-2.78082 # DEPENDENCYPART_ARC
(32,37),-1.68679 # DEPENDENCYPART_ARC
(32,41),-1.44503 # DEPENDENCYPART_ARC
(33,31),-1.90311 # DEPENDENCYPART_ARC
(33,32),-1.38366 # DEPENDENCYPART_ARC
(33,34),1.46813 # DEPENDENCYPART_ARC
(33,35),0.811789 # DEPENDENCYPART_ARC
(33,37),-1.49953 # DEPENDENCYPART_ARC
(33,38),-1.32792 # DEPENDENCYPART_ARC
(34,35),2.21115 # DEPENDENCYPART_ARC
(34,36),0.124885 # DEPENDENCYPART_ARC
(34,37),-1.32988 # DEPENDENCYPART_ARC
(34,38),-1.38976 # DEPENDENCYPART_ARC
(34,40),-1.62536 # DEPENDENCYPART_ARC
(34,41),-0.930202 # DEPENDENCYPART_ARC
(35,3),-7.63949 # DEPENDENCYPART_ARC
(35,4),-3.39374 # DEPENDENCYPART_ARC
(35,6),-6.82767 # DEPENDENCYPART_ARC
(35,7),-2.39245 # DEPENDENCYPART_ARC
(35,9),-3.06484 # DEPENDENCYPART_ARC
(35,20),-4.05567 # DEPENDENCYPART_ARC
(35,21),-4.43144 # DEPENDENCYPART_ARC
(35,26),-3.19017 # DEPENDENCYPART_ARC
(35,29),-1.97871 # DEPENDENCYPART_ARC
(35,32),-1.47419 # DEPENDENCYPART_ARC
(35,33),-1.24348 # DEPENDENCYPART_ARC
(35,34),-0.317995 # DEPENDENCYPART_ARC
(35,36),1.86633 # DEPENDENCYPART_ARC
(35,37),0.237512 # DEPENDENCYPART_ARC
(35,38),0.366877 # DEPENDENCYPART_ARC
(35,40),-0.216307 # DEPENDENCYPART_ARC
(35,41),-0.363384 # DEPENDENCYPART_ARC
(35,42),-0.674512 # DEPENDENCYPART_ARC
(36,35),-1.18988 # DEPENDENCYPART_ARC
(36,37),-0.745082 # DEPENDENCYPART_ARC
(36,38),-1.40195 # DEPENDENCYPART_ARC
(36,40),-2.29177 # DEPENDENCYPART_ARC
(37,38),-0.516693 # DEPENDENCYPART_ARC
(37,40),-1.79782 # DEPENDENCYPART_ARC
(38,37),-0.71721 # DEPENDENCYPART_ARC
(38,39),-1.32241 # DEPENDENCYPART_ARC
(38,40),1.72912 # DEPENDENCYPART_ARC
(38,41),-0.869524 # DEPENDENCYPART_ARC
(39,37),-1.94159 # DEPENDENCYPART_ARC
(40,36),-2.46892 # DEPENDENCYPART_ARC
(40,37),-1.28003 # DEPENDENCYPART_ARC
(40,38),-0.731529 # DEPENDENCYPART_ARC
(40,39),1.47035 # DEPENDENCYPART_ARC
(40,41),-1.00903 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.944579 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.944872 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.945272 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.945272 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.943902 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.936515 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.936876 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.936876 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.935545 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.937648 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.937648 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.936316 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.93765 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.936318 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.936318 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.128013 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0586813 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0898176 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.130756 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.234554 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0514758 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.121479 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.269945 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.140834 # DEPENDENCYPART_SIBL
(3,2),(3,42),0.317168 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0127083 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0880877 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0300374 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0147428 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0288498 # DEPENDENCYPART_SIBL
(3,4),(3,42),0.00523931 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.562593 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.718068 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.172027 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.717339 # DEPENDENCYPART_SIBL
(3,5),(3,42),0.105037 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0645299 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0563029 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0633811 # DEPENDENCYPART_SIBL
(3,6),(3,42),-0.0639849 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0198288 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0331821 # DEPENDENCYPART_SIBL
(3,7),(3,42),0.000132479 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0351307 # DEPENDENCYPART_SIBL
(3,8),(3,42),0.101216 # DEPENDENCYPART_SIBL
(3,9),(3,42),-0.0230681 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.029455 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0717408 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00999039 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.156447 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0205438 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0547457 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00970598 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0101521 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0398921 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.000582368 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0206217 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.014636 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0320372 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.156447 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.00970598 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0507936 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0398921 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0297981 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.00999039 # DEPENDENCYPART_SIBL
(4,1),(4,33),-0.0226287 # DEPENDENCYPART_SIBL
(4,1),(4,35),-0.0172995 # DEPENDENCYPART_SIBL
(4,1),(4,41),-0.0320372 # DEPENDENCYPART_SIBL
(4,1),(4,42),-0.0495079 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.142959 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.106476 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00642479 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.075533 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0311557 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0949507 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00257975 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.113054 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0370571 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0646376 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0238656 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.164081 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00642479 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0949507 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0701291 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.113054 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0732135 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.106476 # DEPENDENCYPART_SIBL
(4,2),(4,33),0.0491162 # DEPENDENCYPART_SIBL
(4,2),(4,35),0.0888695 # DEPENDENCYPART_SIBL
(4,2),(4,41),0.164081 # DEPENDENCYPART_SIBL
(4,2),(4,42),0.14556 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.115361 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.124495 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0188659 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0268713 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0501081 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0331803 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0521792 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.023143 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0368083 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0766934 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0592441 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.124495 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0501081 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.164152 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0521792 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0182123 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.115361 # DEPENDENCYPART_SIBL
(4,3),(4,33),0.048438 # DEPENDENCYPART_SIBL
(4,3),(4,35),0.0397711 # DEPENDENCYPART_SIBL
(4,3),(4,41),0.0592441 # DEPENDENCYPART_SIBL
(4,3),(4,42),0.289817 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.495341 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.64979 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0964816 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.649062 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.200847 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0489013 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.215225 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.000187111 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.200171 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0248516 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.495341 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.649062 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0589006 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0489013 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.704612 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.406828 # DEPENDENCYPART_SIBL
(4,5),(4,33),0.00732845 # DEPENDENCYPART_SIBL
(4,5),(4,35),0.661427 # DEPENDENCYPART_SIBL
(4,5),(4,41),-0.0248516 # DEPENDENCYPART_SIBL
(4,5),(4,42),0.0175663 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0626727 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0699318 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0615237 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00420785 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0595698 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00763635 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0290633 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0103738 # DEPENDENCYPART_SIBL
