# _root_ El pelatge d' aquesta espècie , format en cada exemplar per taques diferents , actua com un carnet d' identitat .
#goldHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
#predictedHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
(10,13),-1.64629 # DEPENDENCYPART_ARC
(10,14),-0.982493 # DEPENDENCYPART_ARC
(10,15),-1.67215 # DEPENDENCYPART_ARC
(10,16),-0.985249 # DEPENDENCYPART_ARC
(10,18),-2.12273 # DEPENDENCYPART_ARC
(10,19),-1.83502 # DEPENDENCYPART_ARC
(10,21),-2.20728 # DEPENDENCYPART_ARC
(11,9),-2.08697 # DEPENDENCYPART_ARC
(11,12),2.70478 # DEPENDENCYPART_ARC
(11,13),-0.507291 # DEPENDENCYPART_ARC
(11,14),-0.93415 # DEPENDENCYPART_ARC
(11,15),-2.23692 # DEPENDENCYPART_ARC
(11,16),-1.65759 # DEPENDENCYPART_ARC
(12,9),-3.4992 # DEPENDENCYPART_ARC
(12,13),1.48044 # DEPENDENCYPART_ARC
(12,14),-1.16667 # DEPENDENCYPART_ARC
(12,15),-1.57039 # DEPENDENCYPART_ARC
(12,16),-1.08447 # DEPENDENCYPART_ARC
(12,17),-3.13771 # DEPENDENCYPART_ARC
(12,18),-2.59013 # DEPENDENCYPART_ARC
(12,19),-1.43233 # DEPENDENCYPART_ARC
(12,21),-2.25286 # DEPENDENCYPART_ARC
(13,3),-1.55368 # DEPENDENCYPART_ARC
(13,6),-2.0678 # DEPENDENCYPART_ARC
(13,8),-1.25026 # DEPENDENCYPART_ARC
(13,11),-0.930773 # DEPENDENCYPART_ARC
(13,14),-1.09118 # DEPENDENCYPART_ARC
(13,15),-2.24286 # DEPENDENCYPART_ARC
(13,16),-1.40394 # DEPENDENCYPART_ARC
(13,18),-2.58243 # DEPENDENCYPART_ARC
(14,13),-1.51464 # DEPENDENCYPART_ARC
(15,1),-4.11124 # DEPENDENCYPART_ARC
(15,2),-1.38194 # DEPENDENCYPART_ARC
(15,3),-2.00726 # DEPENDENCYPART_ARC
(15,5),-1.17706 # DEPENDENCYPART_ARC
(15,6),-1.81257 # DEPENDENCYPART_ARC
(15,7),-1.78795 # DEPENDENCYPART_ARC
(15,8),-0.984355 # DEPENDENCYPART_ARC
(15,10),-0.919951 # DEPENDENCYPART_ARC
(15,11),-1.07708 # DEPENDENCYPART_ARC
(15,12),-1.07525 # DEPENDENCYPART_ARC
(15,13),-0.935155 # DEPENDENCYPART_ARC
(15,14),0.028702 # DEPENDENCYPART_ARC
(15,16),-0.312452 # DEPENDENCYPART_ARC
(15,18),-0.644535 # DEPENDENCYPART_ARC
(15,19),-0.729964 # DEPENDENCYPART_ARC
(15,21),0.325724 # DEPENDENCYPART_ARC
(16,17),-0.390392 # DEPENDENCYPART_ARC
(16,18),-0.552909 # DEPENDENCYPART_ARC
(16,19),-1.10006 # DEPENDENCYPART_ARC
(16,20),-1.31928 # DEPENDENCYPART_ARC
(16,21),-0.987102 # DEPENDENCYPART_ARC
(17,18),-0.0286774 # DEPENDENCYPART_ARC
(17,19),-0.471522 # DEPENDENCYPART_ARC
(18,2),-2.61378 # DEPENDENCYPART_ARC
(18,7),-2.01803 # DEPENDENCYPART_ARC
(18,8),-1.43638 # DEPENDENCYPART_ARC
(18,11),-1.75 # DEPENDENCYPART_ARC
(18,13),-2.19872 # DEPENDENCYPART_ARC
(18,14),-2.17852 # DEPENDENCYPART_ARC
(18,15),-1.94673 # DEPENDENCYPART_ARC
(18,16),-1.40604 # DEPENDENCYPART_ARC
(18,17),1.61154 # DEPENDENCYPART_ARC
(18,19),1.2569 # DEPENDENCYPART_ARC
(18,20),-0.299144 # DEPENDENCYPART_ARC
(18,21),-0.618671 # DEPENDENCYPART_ARC
(19,17),-1.84089 # DEPENDENCYPART_ARC
(19,20),2.46644 # DEPENDENCYPART_ARC
(19,21),-1.47709 # DEPENDENCYPART_ARC
(20,2),-2.84864 # DEPENDENCYPART_ARC
(20,7),-2.32432 # DEPENDENCYPART_ARC
(20,17),-2.11329 # DEPENDENCYPART_ARC
(20,18),-1.73915 # DEPENDENCYPART_ARC
(20,19),-0.555204 # DEPENDENCYPART_ARC
(20,21),-1.5312 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.0450469 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.425008 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.324442 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.352492 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.314083 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.307221 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0149047 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.111867 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0360385 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.313923 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0784501 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.315454 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0615684 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0149047 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0322257 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.224322 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.313624 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.314083 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0115263 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00718519 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0185373 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0311641 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.123562 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0111747 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.130358 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0111625 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.000368303 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0185373 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0164406 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0830244 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0113404 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0431437 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0271969 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.027451 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0361014 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0126825 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0116059 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0070979 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0116034 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.000880748 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.027451 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00187585 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0127365 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0114593 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.022741 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.00622605 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00734935 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0235694 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.376662 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0170094 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.375389 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0159398 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0373288 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0561635 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0105277 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.374941 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0351484 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.006744 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0472085 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00272061 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0508225 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00301269 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0759821 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0496376 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.000207802 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.101212 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00311126 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0518314 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.039018 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0749525 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.217833 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0749441 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.032237 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0590627 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00778253 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.18075 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0757848 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0764071 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.171439 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00456554 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0139177 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.000816586 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0366617 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00207886 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00803429 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0137736 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0255931 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.00115081 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0426541 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0575112 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0819699 # DEPENDENCYPART_SIBL
(2,11),(2,15),9.7275e-05 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.153276 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0435026 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0759242 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.133756 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.00144466 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0304536 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.000212821 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0078997 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0135214 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0263491 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.00504487 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0209359 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0224472 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0995248 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.000975099 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0344092 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0255793 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0561635 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0105277 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.374941 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0351484 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.006744 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.128016 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0463319 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0355841 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0497474 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0454701 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.00846004 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0241233 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0289644 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0114886 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0271969 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.170952 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.143798 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0441226 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.148149 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.172146 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0695298 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00539546 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0803351 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.378175 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.02578 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.843212 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.106142 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0880781 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0995879 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.425252 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0386605 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.349911 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00749282 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.108548 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.419569 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0746436 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0690667 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0498746 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0734137 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.158463 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.105921 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.086973 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0641637 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.7105 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00599334 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.104953 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0232864 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.322077 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0656986 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0546545 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00599334 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0494963 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.232862 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.321778 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0107245 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0764505 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00294457 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.232448 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.115172 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.226453 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0485456 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0764505 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0985003 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.198594 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.115404 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0519606 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00856793 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0371657 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.36256 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0305965 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0171584 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0332058 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0630423 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0175107 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.360838 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.00197631 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0595136 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00783672 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0385284 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0758885 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0405108 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00328857 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.097697 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00822737 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0351953 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0601363 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.192635 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0245165 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0410506 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0216756 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.167079 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0609686 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.156693 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.00614903 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0188293 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0444879 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00679988 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.00290598 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0168492 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.00606908 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0497995 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0639714 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0137864 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.139614 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.028699 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.119024 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0118092 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0193665 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0960095 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.00414101 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0217566 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0630423 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0175107 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.360838 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.00197631 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.125987 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0419077 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.0498504 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.0414954 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0237394 # DEPENDENCYPART_SIBL
(5,18),(5,21),0.0187085 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.164237 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.181216 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.014752 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0287269 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.014855 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0559515 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.01131 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00241664 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0897619 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0222904 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00897419 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0112371 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0061032 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.122879 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0475529 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.068085 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.017226 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.110174 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0137345 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0222933 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0279461 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00205629 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0230277 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.00215984 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.0230608 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0147482 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0142926 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0104614 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0399809 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00691634 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00232821 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0916306 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0178266 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.00458057 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0224555 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0102686 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.160217 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.172009 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.17427 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.16839 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0238554 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.74434 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.119916 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.164757 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.156572 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0722867 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.010735 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0716283 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0094959 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.113169 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.142382 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.00746011 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0101377 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0571485 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.0660241 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0350481 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.130059 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0861003 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.100429 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0280836 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.130412 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.00963845 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.0478442 # DEPENDENCYPART_SIBL
