# _root_ El Consell_Regulador_de_la_Denominació_d'_Origen_Empordà-Costa_Brava ha concedit el Premi_Tòria_d'_Or , creat per premiar la promoció dels vins d' aquesta denominació d' origen , al Restaurant Ca_la_Maria de Mollet_de_Peralada .
#goldHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,8,4,21,22,22,24,4,
#predictedHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,21,10,21,22,22,24,4,
(8,12),-1.44706 # DEPENDENCYPART_ARC
(8,13),-0.774415 # DEPENDENCYPART_ARC
(8,14),-1.6257 # DEPENDENCYPART_ARC
(8,15),-1.05041 # DEPENDENCYPART_ARC
(8,17),-1.64838 # DEPENDENCYPART_ARC
(8,18),-1.40532 # DEPENDENCYPART_ARC
(8,20),-1.15488 # DEPENDENCYPART_ARC
(8,21),-1.51007 # DEPENDENCYPART_ARC
(9,5),-3.60242 # DEPENDENCYPART_ARC
(9,7),-1.57106 # DEPENDENCYPART_ARC
(9,8),-1.59969 # DEPENDENCYPART_ARC
(9,10),2.40738 # DEPENDENCYPART_ARC
(9,12),-0.991028 # DEPENDENCYPART_ARC
(9,13),-1.47561 # DEPENDENCYPART_ARC
(9,15),-2.10548 # DEPENDENCYPART_ARC
(9,20),-1.6222 # DEPENDENCYPART_ARC
(9,26),-2.08088 # DEPENDENCYPART_ARC
(10,2),-2.83309 # DEPENDENCYPART_ARC
(10,3),-2.63193 # DEPENDENCYPART_ARC
(10,6),-2.67911 # DEPENDENCYPART_ARC
(10,7),-2.38026 # DEPENDENCYPART_ARC
(10,8),-2.5569 # DEPENDENCYPART_ARC
(10,9),-1.64015 # DEPENDENCYPART_ARC
(10,12),1.04014 # DEPENDENCYPART_ARC
(10,13),-0.050478 # DEPENDENCYPART_ARC
(10,14),-0.279314 # DEPENDENCYPART_ARC
(10,15),-0.552926 # DEPENDENCYPART_ARC
(10,17),-0.711731 # DEPENDENCYPART_ARC
(10,18),-0.887561 # DEPENDENCYPART_ARC
(10,19),-1.50572 # DEPENDENCYPART_ARC
(10,21),-1.02017 # DEPENDENCYPART_ARC
(10,22),-2.22285 # DEPENDENCYPART_ARC
(10,23),-1.72689 # DEPENDENCYPART_ARC
(10,26),-1.12861 # DEPENDENCYPART_ARC
(11,12),-0.280956 # DEPENDENCYPART_ARC
(11,13),0.233099 # DEPENDENCYPART_ARC
(12,7),-2.02032 # DEPENDENCYPART_ARC
(12,8),-2.19236 # DEPENDENCYPART_ARC
(12,11),1.58866 # DEPENDENCYPART_ARC
(12,13),1.00512 # DEPENDENCYPART_ARC
(12,14),-0.577792 # DEPENDENCYPART_ARC
(12,15),0.00678885 # DEPENDENCYPART_ARC
(12,17),-0.486367 # DEPENDENCYPART_ARC
(12,18),-0.596988 # DEPENDENCYPART_ARC
(12,19),-1.41484 # DEPENDENCYPART_ARC
(12,20),-1.06555 # DEPENDENCYPART_ARC
(12,21),-1.02585 # DEPENDENCYPART_ARC
(12,22),-1.92707 # DEPENDENCYPART_ARC
(12,23),-1.26283 # DEPENDENCYPART_ARC
(12,24),-2.05338 # DEPENDENCYPART_ARC
(12,25),-2.2762 # DEPENDENCYPART_ARC
(12,26),-1.70141 # DEPENDENCYPART_ARC
(13,11),-1.72764 # DEPENDENCYPART_ARC
(13,14),2.65241 # DEPENDENCYPART_ARC
(13,15),-1.70375 # DEPENDENCYPART_ARC
(13,17),-2.55055 # DEPENDENCYPART_ARC
(13,18),-2.49973 # DEPENDENCYPART_ARC
(13,20),-1.17871 # DEPENDENCYPART_ARC
(13,21),-1.43711 # DEPENDENCYPART_ARC
(13,24),-2.63423 # DEPENDENCYPART_ARC
(14,11),-2.45946 # DEPENDENCYPART_ARC
(14,13),-1.18878 # DEPENDENCYPART_ARC
(14,15),0.291688 # DEPENDENCYPART_ARC
(14,17),-1.03845 # DEPENDENCYPART_ARC
(14,18),-0.43631 # DEPENDENCYPART_ARC
(14,19),-1.47218 # DEPENDENCYPART_ARC
(14,21),-1.54277 # DEPENDENCYPART_ARC
(14,22),-1.94263 # DEPENDENCYPART_ARC
(14,23),-1.37016 # DEPENDENCYPART_ARC
(14,24),-1.79047 # DEPENDENCYPART_ARC
(14,25),-2.16634 # DEPENDENCYPART_ARC
(14,26),-1.98833 # DEPENDENCYPART_ARC
(15,13),-1.52785 # DEPENDENCYPART_ARC
(15,17),1.84669 # DEPENDENCYPART_ARC
(15,18),-1.51966 # DEPENDENCYPART_ARC
(15,19),-0.536306 # DEPENDENCYPART_ARC
(15,20),-1.07001 # DEPENDENCYPART_ARC
(15,21),-1.63894 # DEPENDENCYPART_ARC
(15,24),-2.50369 # DEPENDENCYPART_ARC
(17,11),-3.35618 # DEPENDENCYPART_ARC
(17,13),-2.49799 # DEPENDENCYPART_ARC
(17,15),-1.81899 # DEPENDENCYPART_ARC
(17,16),0.849218 # DEPENDENCYPART_ARC
(17,18),0.936674 # DEPENDENCYPART_ARC
(17,19),-0.674164 # DEPENDENCYPART_ARC
(17,20),-1.02845 # DEPENDENCYPART_ARC
(17,21),-1.08202 # DEPENDENCYPART_ARC
(17,22),-1.7136 # DEPENDENCYPART_ARC
(17,23),-0.949691 # DEPENDENCYPART_ARC
(17,24),-1.22731 # DEPENDENCYPART_ARC
(18,19),2.25965 # DEPENDENCYPART_ARC
(18,20),-0.871269 # DEPENDENCYPART_ARC
(18,21),-1.1926 # DEPENDENCYPART_ARC
(18,22),-1.18494 # DEPENDENCYPART_ARC
(18,24),-2.43778 # DEPENDENCYPART_ARC
(19,15),-1.07725 # DEPENDENCYPART_ARC
(19,16),-1.45563 # DEPENDENCYPART_ARC
(19,18),0.0992759 # DEPENDENCYPART_ARC
(19,20),-1.33955 # DEPENDENCYPART_ARC
(19,21),-1.20074 # DEPENDENCYPART_ARC
(19,22),-1.47822 # DEPENDENCYPART_ARC
(19,23),-1.43208 # DEPENDENCYPART_ARC
(19,24),-1.34603 # DEPENDENCYPART_ARC
(19,25),-1.89394 # DEPENDENCYPART_ARC
(21,18),-1.58947 # DEPENDENCYPART_ARC
(21,20),0.0643264 # DEPENDENCYPART_ARC
(21,22),1.49625 # DEPENDENCYPART_ARC
(21,23),-0.903337 # DEPENDENCYPART_ARC
(21,24),-2.36453 # DEPENDENCYPART_ARC
(21,26),-1.07943 # DEPENDENCYPART_ARC
(22,23),0.554297 # DEPENDENCYPART_ARC
(22,24),-0.636366 # DEPENDENCYPART_ARC
(22,25),-0.974206 # DEPENDENCYPART_ARC
(22,26),-1.05501 # DEPENDENCYPART_ARC
(23,22),-0.873925 # DEPENDENCYPART_ARC
(23,24),-0.158675 # DEPENDENCYPART_ARC
(23,25),-0.605611 # DEPENDENCYPART_ARC
(23,26),-1.2009 # DEPENDENCYPART_ARC
(24,25),1.90266 # DEPENDENCYPART_ARC
(25,23),-1.29695 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.951406 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.149256 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.315466 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0830184 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00307542 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00314903 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0373783 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0186534 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0432003 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0916984 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0331552 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0736938 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0179133 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0896159 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.048238 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0199986 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0306452 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0910418 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00188377 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00944968 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0300129 # DEPENDENCYPART_SIBL
(3,2),(3,26),-0.0080942 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0075541 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0134091 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00502259 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0187372 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0097721 # DEPENDENCYPART_SIBL
(3,4),(3,26),0.014965 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.102686 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0350067 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0196566 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.255798 # DEPENDENCYPART_SIBL
(3,6),(3,26),0.0871776 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0222561 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.232449 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0529587 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0309568 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0953123 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0280719 # DEPENDENCYPART_SIBL
(3,8),(3,26),0.108984 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0172638 # DEPENDENCYPART_SIBL
(3,9),(3,26),0.0502503 # DEPENDENCYPART_SIBL
(3,12),(3,26),0.0991268 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00845873 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0793487 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0125145 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0450313 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.045474 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0243632 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0460066 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.014597 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.078649 # DEPENDENCYPART_SIBL
(4,1),(4,14),9.21234e-05 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0662102 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0131288 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0662102 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0450313 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.00152973 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.01228 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.11275 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.122049 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0306253 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0362885 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00822219 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0411402 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0190607 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0312576 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00860756 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00917821 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00264459 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0316069 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00264459 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0362885 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00413591 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0306253 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0161146 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0413565 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0286146 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0286627 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0023145 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0338277 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0417386 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.11011 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0594953 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0503762 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0406413 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0503762 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0286146 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0317163 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0413565 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.246984 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0083762 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.025571 # DEPENDENCYPART_SIBL
(4,6),(4,9),-4.35812e-05 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0226862 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.252152 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.135193 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.236782 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0627025 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.251412 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0627025 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0083762 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0739188 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.251922 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0153256 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00563968 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.247235 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.04731 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0406584 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.176392 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0242291 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.163968 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0417157 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.163968 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0898711 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.165972 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0422233 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0649325 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0639406 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0333707 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0444829 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0331845 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0235363 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.131491 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0368321 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.131491 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0122048 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0572462 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0373403 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.0294064 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0126429 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.013618 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.272619 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.00820898 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.256834 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0147946 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.256834 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0182337 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.15753 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0153045 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.0117534 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0265697 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0492433 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0534312 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0260197 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0280552 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0260197 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0172746 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.00772017 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0287877 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0235468 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.112108 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.231011 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0409782 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.245626 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0409782 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0117683 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0991013 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.246136 # DEPENDENCYPART_SIBL
(4,12),(4,26),-0.00337644 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0313416 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.219253 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0543334 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.219253 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0841486 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0834807 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0548433 # DEPENDENCYPART_SIBL
(4,13),(4,26),-0.0679048 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0627781 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.245931 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0627781 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.00537392 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.07385 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.246441 # DEPENDENCYPART_SIBL
(4,14),(4,26),0.00667941 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0360937 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.272932 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0655404 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.123598 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0366036 # DEPENDENCYPART_SIBL
(4,15),(4,26),-0.00631287 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0644231 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.015361 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0721981 # DEPENDENCYPART_SIBL
(4,17),(4,23),-0.253511 # DEPENDENCYPART_SIBL
(4,17),(4,26),-0.0200787 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0655404 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.123598 # DEPENDENCYPART_SIBL
(4,18),(4,23),-0.0366036 # DEPENDENCYPART_SIBL
(4,18),(4,26),-0.00631287 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.165972 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.0422233 # DEPENDENCYPART_SIBL
(4,20),(4,26),-0.0649325 # DEPENDENCYPART_SIBL
(4,21),(4,23),-0.039002 # DEPENDENCYPART_SIBL
(4,21),(4,26),0.0095776 # DEPENDENCYPART_SIBL
(4,23),(4,26),-0.015326 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0149047 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0830184 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0784501 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00567304 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.313064 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.312682 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.314083 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.316052 # DEPENDENCYPART_SIBL
(6,5),(6,26),-0.0115263 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0103276 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0170094 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0435826 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.381721 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0442805 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0351484 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.375432 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.006744 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.077469 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0187682 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0123332 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0988342 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0342514 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.00115549 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.0181764 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.01517 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0514689 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0112497 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0759242 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.0427148 # DEPENDENCYPART_SIBL
(6,9),(6,26),0.133756 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0311022 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0518371 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0279183 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.031553 # DEPENDENCYPART_SIBL
(6,10),(6,26),0.0453185 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0476102 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0607167 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.0244457 # DEPENDENCYPART_SIBL
(6,12),(6,26),0.0134802 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0700279 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.00851176 # DEPENDENCYPART_SIBL
(6,13),(6,26),0.0242033 # DEPENDENCYPART_SIBL
(6,15),(6,23),0.0112192 # DEPENDENCYPART_SIBL
(6,15),(6,26),0.0271969 # DEPENDENCYPART_SIBL
(6,23),(6,26),-0.00197824 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.119601 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0746284 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0836963 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.145899 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.289612 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.147614 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.23651 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.149178 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.23651 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0507645 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.120412 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.137824 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0422598 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.129473 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.174177 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.123022 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.118992 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.121196 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.118992 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.631574 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.100942 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0497983 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.033833 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0722792 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0345706 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0947202 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0300861 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0947202 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.221406 # DEPENDENCYPART_SIBL
