# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,18,26,24,11,
(11,7),-1.921 # DEPENDENCYPART_ARC
(11,8),-0.0825718 # DEPENDENCYPART_ARC
(11,9),0.456593 # DEPENDENCYPART_ARC
(11,10),3.17097 # DEPENDENCYPART_ARC
(11,13),0.778645 # DEPENDENCYPART_ARC
(11,14),-0.445462 # DEPENDENCYPART_ARC
(11,16),-0.486456 # DEPENDENCYPART_ARC
(11,17),-0.939568 # DEPENDENCYPART_ARC
(11,18),-1.44473 # DEPENDENCYPART_ARC
(11,19),-1.26024 # DEPENDENCYPART_ARC
(11,20),-1.57817 # DEPENDENCYPART_ARC
(11,21),-1.37607 # DEPENDENCYPART_ARC
(11,22),-0.781088 # DEPENDENCYPART_ARC
(11,24),-1.12419 # DEPENDENCYPART_ARC
(11,26),-2.19528 # DEPENDENCYPART_ARC
(11,27),-0.32402 # DEPENDENCYPART_ARC
(12,9),-2.44644 # DEPENDENCYPART_ARC
(12,14),-1.10882 # DEPENDENCYPART_ARC
(12,15),-1.17746 # DEPENDENCYPART_ARC
(13,1),-1.46663 # DEPENDENCYPART_ARC
(13,4),-1.73463 # DEPENDENCYPART_ARC
(13,6),-2.12944 # DEPENDENCYPART_ARC
(13,7),-2.7492 # DEPENDENCYPART_ARC
(13,8),-2.6352 # DEPENDENCYPART_ARC
(13,9),-1.36831 # DEPENDENCYPART_ARC
(13,10),-2.08065 # DEPENDENCYPART_ARC
(13,11),-1.47087 # DEPENDENCYPART_ARC
(13,12),1.56166 # DEPENDENCYPART_ARC
(13,14),0.75793 # DEPENDENCYPART_ARC
(13,16),-0.350948 # DEPENDENCYPART_ARC
(13,17),-0.26528 # DEPENDENCYPART_ARC
(13,18),-1.09612 # DEPENDENCYPART_ARC
(13,19),-0.726751 # DEPENDENCYPART_ARC
(13,20),-1.31526 # DEPENDENCYPART_ARC
(13,21),-0.872355 # DEPENDENCYPART_ARC
(13,22),-1.17514 # DEPENDENCYPART_ARC
(13,24),-0.586115 # DEPENDENCYPART_ARC
(13,26),-1.51029 # DEPENDENCYPART_ARC
(13,27),-2.13511 # DEPENDENCYPART_ARC
(14,12),-2.28925 # DEPENDENCYPART_ARC
(14,15),-1.49179 # DEPENDENCYPART_ARC
(14,16),1.86836 # DEPENDENCYPART_ARC
(14,17),-1.68415 # DEPENDENCYPART_ARC
(14,18),-0.997346 # DEPENDENCYPART_ARC
(14,19),-2.09948 # DEPENDENCYPART_ARC
(15,14),-1.33119 # DEPENDENCYPART_ARC
(15,16),-0.176142 # DEPENDENCYPART_ARC
(15,17),-0.169971 # DEPENDENCYPART_ARC
(16,1),-2.47661 # DEPENDENCYPART_ARC
(16,9),-2.01761 # DEPENDENCYPART_ARC
(16,12),-2.5155 # DEPENDENCYPART_ARC
(16,14),-1.77414 # DEPENDENCYPART_ARC
(16,15),1.09427 # DEPENDENCYPART_ARC
(16,17),1.01717 # DEPENDENCYPART_ARC
(16,18),-0.561703 # DEPENDENCYPART_ARC
(16,19),-0.00856549 # DEPENDENCYPART_ARC
(16,20),-1.14606 # DEPENDENCYPART_ARC
(16,21),-0.574519 # DEPENDENCYPART_ARC
(16,22),-1.05233 # DEPENDENCYPART_ARC
(16,24),-0.682167 # DEPENDENCYPART_ARC
(16,26),-1.68303 # DEPENDENCYPART_ARC
(16,27),-1.90702 # DEPENDENCYPART_ARC
(17,15),-1.47622 # DEPENDENCYPART_ARC
(17,18),2.17386 # DEPENDENCYPART_ARC
(17,19),-1.01715 # DEPENDENCYPART_ARC
(17,20),-0.525124 # DEPENDENCYPART_ARC
(17,22),-1.70545 # DEPENDENCYPART_ARC
(17,26),-2.48874 # DEPENDENCYPART_ARC
(18,15),-2.33145 # DEPENDENCYPART_ARC
(18,19),0.655732 # DEPENDENCYPART_ARC
(18,20),-0.399836 # DEPENDENCYPART_ARC
(18,21),-0.535904 # DEPENDENCYPART_ARC
(18,22),-1.23803 # DEPENDENCYPART_ARC
(18,24),-0.833442 # DEPENDENCYPART_ARC
(18,26),-1.99904 # DEPENDENCYPART_ARC
(19,17),-1.72251 # DEPENDENCYPART_ARC
(19,20),2.16546 # DEPENDENCYPART_ARC
(19,21),-0.649204 # DEPENDENCYPART_ARC
(19,24),-2.359 # DEPENDENCYPART_ARC
(19,26),-2.44531 # DEPENDENCYPART_ARC
(20,15),-3.03461 # DEPENDENCYPART_ARC
(20,17),-1.57402 # DEPENDENCYPART_ARC
(20,21),0.469087 # DEPENDENCYPART_ARC
(20,22),-1.12281 # DEPENDENCYPART_ARC
(20,24),-0.599263 # DEPENDENCYPART_ARC
(20,26),-1.80936 # DEPENDENCYPART_ARC
(21,19),-1.08347 # DEPENDENCYPART_ARC
(21,20),-0.656141 # DEPENDENCYPART_ARC
(21,22),-1.18207 # DEPENDENCYPART_ARC
(21,24),-1.23215 # DEPENDENCYPART_ARC
(21,26),-2.03711 # DEPENDENCYPART_ARC
(24,1),-1.30962 # DEPENDENCYPART_ARC
(24,3),-2.21158 # DEPENDENCYPART_ARC
(24,6),-3.09255 # DEPENDENCYPART_ARC
(24,8),-1.75244 # DEPENDENCYPART_ARC
(24,9),-2.65098 # DEPENDENCYPART_ARC
(24,10),-2.93331 # DEPENDENCYPART_ARC
(24,11),-1.97249 # DEPENDENCYPART_ARC
(24,13),-1.78264 # DEPENDENCYPART_ARC
(24,16),-1.66392 # DEPENDENCYPART_ARC
(24,17),-2.60977 # DEPENDENCYPART_ARC
(24,18),-1.95061 # DEPENDENCYPART_ARC
(24,19),-2.46201 # DEPENDENCYPART_ARC
(24,20),-1.78283 # DEPENDENCYPART_ARC
(24,21),-2.10323 # DEPENDENCYPART_ARC
(24,22),-0.0195979 # DEPENDENCYPART_ARC
(24,23),2.66246 # DEPENDENCYPART_ARC
(24,26),0.0091879 # DEPENDENCYPART_ARC
(24,27),-0.548952 # DEPENDENCYPART_ARC
(26,25),1.36826 # DEPENDENCYPART_ARC
(26,27),-0.639065 # DEPENDENCYPART_ARC
(0,1),(0,10),-0.412033 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.39101 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.395338 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.949655 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.952023 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.93976 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.145154 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00271622 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.144448 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0344019 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.144438 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0329099 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.0344019 # DEPENDENCYPART_SIBL
(1,2),(1,27),0.0172757 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00740248 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.797336 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.108845 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.79546 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.249054 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.108845 # DEPENDENCYPART_SIBL
(1,3),(1,27),0.0410707 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0986417 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.146701 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.102837 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0680887 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.146701 # DEPENDENCYPART_SIBL
(1,4),(1,27),0.160902 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0513313 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.834381 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.274072 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0513313 # DEPENDENCYPART_SIBL
(1,5),(1,27),0.00140831 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.136742 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0662881 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.278073 # DEPENDENCYPART_SIBL
(1,6),(1,27),-0.0387139 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.269915 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.0749368 # DEPENDENCYPART_SIBL
(1,8),(1,27),0.0127068 # DEPENDENCYPART_SIBL
(1,9),(1,22),-0.0292584 # DEPENDENCYPART_SIBL
(1,9),(1,27),0.0712452 # DEPENDENCYPART_SIBL
(1,22),(1,27),-0.0387139 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0782054 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.119544 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.306766 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.057264 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0164795 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0282436 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00712465 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0235251 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0583116 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0512326 # DEPENDENCYPART_SIBL
(3,1),(3,11),-7.31241e-05 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0367762 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0569714 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0164795 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0164795 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0281002 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0426035 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.218589 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.11767 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0457443 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.106113 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.100369 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.167984 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0255052 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.126139 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.264783 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.218589 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.218589 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.119737 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.00761745 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00206901 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.011802 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0143992 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0064669 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0591539 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0198295 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0013998 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.000763198 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0520378 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0520378 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.00130266 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0123674 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0249471 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0130451 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0183906 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.016237 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0318742 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.000773966 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0337064 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00179292 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.00179292 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.00338284 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0112849 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.337665 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0508912 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0241213 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0398165 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.365113 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0511008 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0095295 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0095295 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.360371 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.00206236 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0183122 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0130915 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0287435 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00062247 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0404007 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0011868 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0011868 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00323135 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0092058 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0316496 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0189253 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0111399 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0276837 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0293854 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0293854 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0120754 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0410751 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0673109 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0187378 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.000976211 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0242433 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0242433 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0178341 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0101723 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0158234 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0346063 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.00637872 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.00637872 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0167271 # DEPENDENCYPART_SIBL
(3,11),(3,27),0.0430214 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0351961 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.000376104 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.000376104 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0035199 # DEPENDENCYPART_SIBL
(3,13),(3,27),-0.000623275 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.00100028 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.00100028 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0187167 # DEPENDENCYPART_SIBL
(3,14),(3,27),-0.0142794 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0520378 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.00130266 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.0123674 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.00130266 # DEPENDENCYPART_SIBL
(3,19),(3,27),0.0123674 # DEPENDENCYPART_SIBL
(3,21),(3,27),-0.0107474 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0603481 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.125564 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0562804 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0180203 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.937028 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0246988 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00151582 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.160151 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0571447 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.113571 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0784554 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.180177 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.332974 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.173775 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0514714 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.352725 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0506914 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0170782 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0327734 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.380173 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0372633 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.37543 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.006744 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0162505 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0220059 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0376578 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0161641 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0562073 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0135552 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.00264326 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.024781 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0120566 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0258691 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0140194 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0268046 # DEPENDENCYPART_SIBL
(5,9),(5,27),0.0455779 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0604291 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00398075 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0146494 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.00307709 # DEPENDENCYPART_SIBL
(5,10),(5,27),0.0146886 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0305804 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0482794 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.0314841 # DEPENDENCYPART_SIBL
(5,11),(5,27),0.0475376 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0510026 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0132666 # DEPENDENCYPART_SIBL
(5,13),(5,27),0.00593927 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0134006 # DEPENDENCYPART_SIBL
(5,14),(5,27),0.00669897 # DEPENDENCYPART_SIBL
(5,21),(5,27),-0.00418482 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.057666 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0558505 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0587197 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0608291 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.111264 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0587907 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0474077 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00302045 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.040887 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0606007 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0179755 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0179755 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.032211 # DEPENDENCYPART_SIBL
(8,1),(8,24),-0.0125532 # DEPENDENCYPART_SIBL
(8,1),(8,27),0.0432921 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0578567 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0109317 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.782736 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0632578 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.119936 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0720898 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.173693 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.301228 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.265359 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.265359 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.167291 # DEPENDENCYPART_SIBL
(8,2),(8,24),0.0191558 # DEPENDENCYPART_SIBL
(8,2),(8,27),0.0450216 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0674269 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0819081 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0408184 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0554837 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00529734 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0088082 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0471955 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0363498 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0363498 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.0174841 # DEPENDENCYPART_SIBL
(8,4),(8,24),-0.020871 # DEPENDENCYPART_SIBL
(8,4),(8,27),0.012251 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0214479 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0162601 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0587187 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.100033 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0600296 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.00910653 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.119782 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.119782 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0533066 # DEPENDENCYPART_SIBL
