# _root_ La manca de personal , segons Lozano , no permet " de_moment " mantenir oberta la Biblioteca durant tot el dia .
#goldHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
#predictedHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
(4,22),-3.21829 # DEPENDENCYPART_ARC
(6,1),-2.93486 # DEPENDENCYPART_ARC
(6,3),-1.35557 # DEPENDENCYPART_ARC
(6,5),0.705081 # DEPENDENCYPART_ARC
(6,7),1.70121 # DEPENDENCYPART_ARC
(6,8),-0.107911 # DEPENDENCYPART_ARC
(6,9),-1.8692 # DEPENDENCYPART_ARC
(6,10),-2.58374 # DEPENDENCYPART_ARC
(6,11),-1.50456 # DEPENDENCYPART_ARC
(6,12),-2.32079 # DEPENDENCYPART_ARC
(6,13),-1.73021 # DEPENDENCYPART_ARC
(6,14),-2.33318 # DEPENDENCYPART_ARC
(7,2),-3.11824 # DEPENDENCYPART_ARC
(7,5),-1.36347 # DEPENDENCYPART_ARC
(7,6),-0.770743 # DEPENDENCYPART_ARC
(7,8),-1.01982 # DEPENDENCYPART_ARC
(7,10),-1.52263 # DEPENDENCYPART_ARC
(7,11),-1.92943 # DEPENDENCYPART_ARC
(7,12),-2.14375 # DEPENDENCYPART_ARC
(7,13),-2.14438 # DEPENDENCYPART_ARC
(7,14),-2.77239 # DEPENDENCYPART_ARC
(7,15),-2.51633 # DEPENDENCYPART_ARC
(7,17),-2.36369 # DEPENDENCYPART_ARC
(7,22),-2.84843 # DEPENDENCYPART_ARC
(8,5),-2.06507 # DEPENDENCYPART_ARC
(9,8),-1.32341 # DEPENDENCYPART_ARC
(10,1),-2.17359 # DEPENDENCYPART_ARC
(10,2),-0.261873 # DEPENDENCYPART_ARC
(10,3),-1.65356 # DEPENDENCYPART_ARC
(10,4),-0.941578 # DEPENDENCYPART_ARC
(10,5),-0.723007 # DEPENDENCYPART_ARC
(10,6),0.402813 # DEPENDENCYPART_ARC
(10,7),-0.40821 # DEPENDENCYPART_ARC
(10,8),0.182699 # DEPENDENCYPART_ARC
(10,9),2.38264 # DEPENDENCYPART_ARC
(10,11),0.17102 # DEPENDENCYPART_ARC
(10,12),0.29766 # DEPENDENCYPART_ARC
(10,13),-0.343564 # DEPENDENCYPART_ARC
(10,14),-0.179868 # DEPENDENCYPART_ARC
(10,15),-0.411261 # DEPENDENCYPART_ARC
(10,17),-1.08956 # DEPENDENCYPART_ARC
(10,18),-0.566508 # DEPENDENCYPART_ARC
(10,21),-1.33515 # DEPENDENCYPART_ARC
(10,22),-1.14844 # DEPENDENCYPART_ARC
(12,3),-1.90379 # DEPENDENCYPART_ARC
(12,5),-1.89164 # DEPENDENCYPART_ARC
(12,6),-1.66212 # DEPENDENCYPART_ARC
(12,8),-1.38539 # DEPENDENCYPART_ARC
(12,11),0.482282 # DEPENDENCYPART_ARC
(12,13),0.783511 # DEPENDENCYPART_ARC
(12,14),-0.819318 # DEPENDENCYPART_ARC
(12,17),-1.99817 # DEPENDENCYPART_ARC
(12,18),-2.18229 # DEPENDENCYPART_ARC
(12,22),-1.64886 # DEPENDENCYPART_ARC
(14,1),-3.25044 # DEPENDENCYPART_ARC
(14,2),-2.22237 # DEPENDENCYPART_ARC
(14,4),-2.58583 # DEPENDENCYPART_ARC
(14,5),-3.06318 # DEPENDENCYPART_ARC
(14,6),-1.53923 # DEPENDENCYPART_ARC
(14,7),-2.30182 # DEPENDENCYPART_ARC
(14,8),-2.76312 # DEPENDENCYPART_ARC
(14,9),-1.3488 # DEPENDENCYPART_ARC
(14,10),-0.948976 # DEPENDENCYPART_ARC
(14,11),-0.781059 # DEPENDENCYPART_ARC
(14,12),-0.173458 # DEPENDENCYPART_ARC
(14,13),0.249709 # DEPENDENCYPART_ARC
(14,15),1.91127 # DEPENDENCYPART_ARC
(14,17),-0.181968 # DEPENDENCYPART_ARC
(14,18),0.501546 # DEPENDENCYPART_ARC
(14,21),-0.648319 # DEPENDENCYPART_ARC
(14,22),-0.472131 # DEPENDENCYPART_ARC
(15,5),-3.46033 # DEPENDENCYPART_ARC
(15,6),-2.92692 # DEPENDENCYPART_ARC
(15,8),-2.97905 # DEPENDENCYPART_ARC
(15,11),-2.25291 # DEPENDENCYPART_ARC
(15,12),-1.64931 # DEPENDENCYPART_ARC
(15,13),-1.59186 # DEPENDENCYPART_ARC
(15,17),-1.30877 # DEPENDENCYPART_ARC
(15,18),-0.502297 # DEPENDENCYPART_ARC
(15,21),-2.01067 # DEPENDENCYPART_ARC
(15,22),-1.49192 # DEPENDENCYPART_ARC
(16,12),-2.37282 # DEPENDENCYPART_ARC
(16,17),-1.01753 # DEPENDENCYPART_ARC
(16,18),-1.32955 # DEPENDENCYPART_ARC
(16,19),-1.63878 # DEPENDENCYPART_ARC
(17,10),-2.64089 # DEPENDENCYPART_ARC
(17,12),-1.70225 # DEPENDENCYPART_ARC
(17,14),-1.98874 # DEPENDENCYPART_ARC
(17,15),-1.63099 # DEPENDENCYPART_ARC
(17,16),0.789009 # DEPENDENCYPART_ARC
(17,18),-0.533678 # DEPENDENCYPART_ARC
(17,21),-1.37497 # DEPENDENCYPART_ARC
(17,22),-1.50236 # DEPENDENCYPART_ARC
(18,10),-2.37641 # DEPENDENCYPART_ARC
(18,16),-2.18375 # DEPENDENCYPART_ARC
(18,19),-1.29234 # DEPENDENCYPART_ARC
(18,21),0.771051 # DEPENDENCYPART_ARC
(18,22),-1.26472 # DEPENDENCYPART_ARC
(19,18),-1.35154 # DEPENDENCYPART_ARC
(19,21),-0.78131 # DEPENDENCYPART_ARC
(20,18),-1.30096 # DEPENDENCYPART_ARC
(20,19),1.9085 # DEPENDENCYPART_ARC
(21,6),-1.77027 # DEPENDENCYPART_ARC
(21,10),-2.34227 # DEPENDENCYPART_ARC
(21,12),-1.77829 # DEPENDENCYPART_ARC
(21,14),-2.44388 # DEPENDENCYPART_ARC
(21,15),-2.43063 # DEPENDENCYPART_ARC
(21,16),-2.50434 # DEPENDENCYPART_ARC
(21,18),-0.934126 # DEPENDENCYPART_ARC
(21,19),-0.0623424 # DEPENDENCYPART_ARC
(21,20),1.09384 # DEPENDENCYPART_ARC
(21,22),-1.02758 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.0684747 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.432477 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.435427 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.419915 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.423579 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.941404 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.813898 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0468175 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0149845 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0973664 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.200357 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0303994 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0973664 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.130423 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0880801 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0799642 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0880801 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0359748 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0746343 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0230603 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.183769 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.094684 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0657584 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0411064 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0606632 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0925591 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0326095 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0606632 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0428965 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0686627 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0554853 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0686627 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0137993 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0600587 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0365114 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0571388 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0236083 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0365331 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00817982 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0904445 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0191838 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00817982 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0170835 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.000971793 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0067331 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.000971793 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0262676 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0175004 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0189908 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00777528 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0483122 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0390773 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0919307 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.353289 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0195283 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0325354 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0519525 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.000804055 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0519525 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0591074 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00181345 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.355107 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.124851 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.275745 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0108739 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00745834 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0248746 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00161609 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0394038 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.000607965 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0394038 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0363635 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0274948 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0108574 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00604241 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0170441 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.105602 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0223848 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0108069 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0250388 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0209747 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0250388 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00162286 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0336523 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.00233486 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0146051 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0269865 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0137614 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0325354 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0519525 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.000804055 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0519525 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0591074 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00181345 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.355107 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.124851 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.275745 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0108739 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0883795 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0462872 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0883795 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0488696 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0198911 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0146391 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0644344 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.00124859 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0476983 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0224964 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.182487 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00148943 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00822375 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0384673 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.194248 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0152549 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.0567664 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0398383 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0151942 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0349606 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.00867692 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0286686 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0198526 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0803454 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.00148943 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.00822375 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0384673 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.194248 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0152549 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.0567664 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0432236 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0411927 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0881411 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0278022 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0662543 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.02067 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.00358919 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.0303764 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.00643954 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.00997209 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.0326295 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.0121466 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0110719 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.109546 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.0336579 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.144676 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.156214 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0882195 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.151806 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.156214 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.119003 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0059707 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0892143 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0233607 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.248333 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.938942 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0233607 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.461921 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0323384 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.465901 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.330214 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00302999 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0352419 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0262412 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0776327 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00917389 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.100814 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.241612 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.027613 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.221011 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0316373 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0345918 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.454158 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0400232 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.458138 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0262412 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0776327 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00917389 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.124525 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.275185 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0504232 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.159804 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0454855 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.12084 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0664583 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0454855 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.139985 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.136437 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0489809 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.136437 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0455367 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0591192 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0211351 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0496733 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0388162 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0106345 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0496733 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00600575 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0208144 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0226295 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0208144 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0116795 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00819947 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0194895 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0540651 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.406362 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0332596 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0197528 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0244034 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0172033 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0244034 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0463249 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.408179 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.00921293 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0269746 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0282883 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00720476 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.058765 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00600764 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.058765 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0419522 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0235755 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.116211 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0268964 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00979739 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0412788 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0267674 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0412788 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.000613298 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0329144 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.00431277 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0197528 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0244034 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0172033 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0244034 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0463249 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.408179 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.00921293 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0953365 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.044743 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0953365 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0568763 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0326549 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.0485594 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0029712 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.151298 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0151733 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0907121 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0330396 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0374872 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0266304 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0217067 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0766008 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0151733 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0907121 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0330396 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0592085 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.0671154 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.00269805 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0992985 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00691333 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0824992 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.226987 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.105786 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0559856 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0833342 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0821791 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0833342 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0248514 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.125469 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00129353 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.161256 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0640142 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0323604 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0570688 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0410515 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0570688 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0178265 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.3667 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.674052 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0657072 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.146149 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0811405 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0842345 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0811405 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.130404 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.132318 # DEPENDENCYPART_SIBL
