# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,16,16,16,6,16,17,18,19,3,
(6,9),-1.67548 # DEPENDENCYPART_ARC
(6,10),-1.55033 # DEPENDENCYPART_ARC
(6,11),-2.0487 # DEPENDENCYPART_ARC
(6,12),-2.0139 # DEPENDENCYPART_ARC
(6,13),-1.59574 # DEPENDENCYPART_ARC
(6,16),-1.36254 # DEPENDENCYPART_ARC
(6,19),-3.40156 # DEPENDENCYPART_ARC
(6,20),-2.4218 # DEPENDENCYPART_ARC
(6,21),-2.1565 # DEPENDENCYPART_ARC
(7,6),-1.80218 # DEPENDENCYPART_ARC
(8,3),-2.40646 # DEPENDENCYPART_ARC
(8,4),-3.24544 # DEPENDENCYPART_ARC
(8,5),-2.94033 # DEPENDENCYPART_ARC
(8,6),-2.45188 # DEPENDENCYPART_ARC
(8,7),0.0258679 # DEPENDENCYPART_ARC
(8,9),0.349914 # DEPENDENCYPART_ARC
(8,10),-0.328426 # DEPENDENCYPART_ARC
(8,11),-0.721357 # DEPENDENCYPART_ARC
(8,12),-0.0489359 # DEPENDENCYPART_ARC
(8,13),-0.199829 # DEPENDENCYPART_ARC
(8,15),-2.19813 # DEPENDENCYPART_ARC
(8,16),-1.75685 # DEPENDENCYPART_ARC
(8,17),-2.35499 # DEPENDENCYPART_ARC
(8,20),-2.33895 # DEPENDENCYPART_ARC
(8,21),-1.40832 # DEPENDENCYPART_ARC
(9,5),-4.02977 # DEPENDENCYPART_ARC
(9,6),-3.82691 # DEPENDENCYPART_ARC
(9,7),-1.61322 # DEPENDENCYPART_ARC
(9,8),-1.28293 # DEPENDENCYPART_ARC
(9,10),-0.0327656 # DEPENDENCYPART_ARC
(9,11),-0.859967 # DEPENDENCYPART_ARC
(9,12),-1.32831 # DEPENDENCYPART_ARC
(9,13),-0.759278 # DEPENDENCYPART_ARC
(9,16),-1.7965 # DEPENDENCYPART_ARC
(9,17),-2.4692 # DEPENDENCYPART_ARC
(9,19),-1.94686 # DEPENDENCYPART_ARC
(9,20),-1.74661 # DEPENDENCYPART_ARC
(11,5),-3.78874 # DEPENDENCYPART_ARC
(11,7),-2.42181 # DEPENDENCYPART_ARC
(11,8),-1.90042 # DEPENDENCYPART_ARC
(11,9),-2.24057 # DEPENDENCYPART_ARC
(11,10),-1.07333 # DEPENDENCYPART_ARC
(11,12),2.94433 # DEPENDENCYPART_ARC
(11,13),-0.661238 # DEPENDENCYPART_ARC
(11,15),-1.91848 # DEPENDENCYPART_ARC
(11,16),-1.38363 # DEPENDENCYPART_ARC
(11,17),-1.76382 # DEPENDENCYPART_ARC
(12,7),-3.20012 # DEPENDENCYPART_ARC
(12,8),-3.30794 # DEPENDENCYPART_ARC
(12,9),-2.26471 # DEPENDENCYPART_ARC
(12,10),-2.10214 # DEPENDENCYPART_ARC
(12,11),-1.88726 # DEPENDENCYPART_ARC
(12,13),-1.27468 # DEPENDENCYPART_ARC
(12,16),-1.29119 # DEPENDENCYPART_ARC
(12,17),-1.65796 # DEPENDENCYPART_ARC
(12,19),-1.06504 # DEPENDENCYPART_ARC
(12,20),-2.37176 # DEPENDENCYPART_ARC
(12,21),-2.02477 # DEPENDENCYPART_ARC
(14,17),-1.4303 # DEPENDENCYPART_ARC
(14,19),-1.79968 # DEPENDENCYPART_ARC
(15,13),-2.25515 # DEPENDENCYPART_ARC
(15,17),-1.81644 # DEPENDENCYPART_ARC
(16,1),-3.83145 # DEPENDENCYPART_ARC
(16,2),-2.27061 # DEPENDENCYPART_ARC
(16,3),-1.96461 # DEPENDENCYPART_ARC
(16,5),-2.55999 # DEPENDENCYPART_ARC
(16,6),-1.49402 # DEPENDENCYPART_ARC
(16,7),-2.2686 # DEPENDENCYPART_ARC
(16,8),-1.26084 # DEPENDENCYPART_ARC
(16,9),-2.74068 # DEPENDENCYPART_ARC
(16,10),-1.00523 # DEPENDENCYPART_ARC
(16,11),-0.69251 # DEPENDENCYPART_ARC
(16,12),-1.72158 # DEPENDENCYPART_ARC
(16,13),0.030262 # DEPENDENCYPART_ARC
(16,14),3.17612 # DEPENDENCYPART_ARC
(16,15),1.41349 # DEPENDENCYPART_ARC
(16,17),1.00885 # DEPENDENCYPART_ARC
(16,18),0.270936 # DEPENDENCYPART_ARC
(16,19),-1.31638 # DEPENDENCYPART_ARC
(16,20),-0.791996 # DEPENDENCYPART_ARC
(16,21),-0.877628 # DEPENDENCYPART_ARC
(17,10),-2.72903 # DEPENDENCYPART_ARC
(17,15),-1.82496 # DEPENDENCYPART_ARC
(17,16),-0.930872 # DEPENDENCYPART_ARC
(17,18),2.88859 # DEPENDENCYPART_ARC
(17,19),-0.405319 # DEPENDENCYPART_ARC
(17,20),-1.23241 # DEPENDENCYPART_ARC
(17,21),-1.07331 # DEPENDENCYPART_ARC
(18,8),-2.60498 # DEPENDENCYPART_ARC
(18,9),-2.14499 # DEPENDENCYPART_ARC
(18,10),-2.35446 # DEPENDENCYPART_ARC
(18,11),-2.49855 # DEPENDENCYPART_ARC
(18,15),-1.38689 # DEPENDENCYPART_ARC
(18,16),-2.71176 # DEPENDENCYPART_ARC
(18,17),-1.16758 # DEPENDENCYPART_ARC
(18,19),1.47532 # DEPENDENCYPART_ARC
(18,20),-1.19619 # DEPENDENCYPART_ARC
(18,21),-0.984019 # DEPENDENCYPART_ARC
(19,11),-2.15776 # DEPENDENCYPART_ARC
(19,17),-1.57764 # DEPENDENCYPART_ARC
(19,20),-0.045346 # DEPENDENCYPART_ARC
(19,21),-1.11622 # DEPENDENCYPART_ARC
(20,8),-1.58996 # DEPENDENCYPART_ARC
(20,11),-1.80508 # DEPENDENCYPART_ARC
(20,13),-1.94445 # DEPENDENCYPART_ARC
(20,17),-1.40915 # DEPENDENCYPART_ARC
(20,18),-1.34417 # DEPENDENCYPART_ARC
(20,19),-0.736967 # DEPENDENCYPART_ARC
(20,21),-0.853077 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.396762 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.390625 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.390507 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.941908 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.941484 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.937629 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.123378 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0121309 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0512592 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0160004 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0166111 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0658884 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0162897 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0636923 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0139839 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.137471 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0856878 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0149351 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0915515 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00697918 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0730203 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0065086 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00697918 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0915515 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0092528 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0812984 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.073081 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0489164 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.101025 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0106831 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00272628 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00190201 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0205841 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00367797 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00190201 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00272628 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0115433 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0524168 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0207012 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0081875 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0135254 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00754906 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0583741 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0368837 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0222123 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0583741 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00754906 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0132981 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0366266 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0367614 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.00613921 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0313193 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.143957 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0106035 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.221715 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.143957 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0860138 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0177827 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0385055 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0114143 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0869511 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0727908 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0297191 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00196877 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.189564 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0452379 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.017105 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0078356 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0275312 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0209724 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.00964305 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0159202 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0120598 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0169637 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.016226 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0112555 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.183021 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0553214 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.00596982 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.119708 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0555531 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.222483 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.340836 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0686128 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.106773 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0511105 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0452379 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.017105 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0078356 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0275312 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0209724 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.00964305 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0177827 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0385055 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0114143 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0869511 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0727908 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.053089 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0510934 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.041496 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.0512505 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0242989 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0117849 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0387357 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.0553659 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.00609791 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0153361 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.162497 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.002794 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0988016 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0101122 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0556951 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0229561 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0101122 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0317332 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0988016 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0219645 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00441542 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0557558 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0801337 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.134502 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0518185 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0794366 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0823287 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0849986 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0234458 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0823287 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0551054 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0794366 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0376644 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0528347 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.084949 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0974006 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.167478 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00111787 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0590144 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0372185 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0261552 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0590144 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.247778 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00111787 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0133815 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0175972 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0370961 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.00622264 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.00616032 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.144026 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0104424 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.227118 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.144026 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0223359 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0785159 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.018195 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0585312 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0112533 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0865387 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0458627 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0324538 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0041961 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.194952 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0313263 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0394606 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0146248 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0161749 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0302659 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0234526 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0260913 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0108012 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0118237 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0434859 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00957127 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0159807 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.00849081 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.183027 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0550761 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0208933 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.128459 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.259277 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.03751 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.231715 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.373597 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0775944 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.116006 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.012385 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0313263 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0394606 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0146248 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0161749 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0302659 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0234526 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0260913 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0338427 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0109552 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0223918 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0384235 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.00379629 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.028533 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.018195 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0585312 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0112533 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0865387 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0458627 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0230209 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.045043 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0351944 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0176241 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.00778896 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.00522451 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.0272482 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0551206 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.0207652 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0182903 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.303718 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0267658 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.102269 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0724037 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.107958 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.209907 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0618345 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.111452 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.104163 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0404696 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.111452 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0605278 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0618345 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0744082 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.103019 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.00207625 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0125621 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.17992 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.205904 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0438768 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0236509 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0759813 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.106425 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0523738 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0759813 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0440068 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0236509 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.119279 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.105275 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.016414 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0425092 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.205957 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0440285 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0448501 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0761504 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.118836 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0509606 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0761504 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0569455 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0448501 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.112162 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.117686 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0372419 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0177979 # DEPENDENCYPART_SIBL
(6,4),(6,5),-1.06371 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0344235 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.126464 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0201158 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0343061 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.126464 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0759907 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0344235 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0606315 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0168556 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00800578 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.030082 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0642557 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.12708 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0154106 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0740875 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.12708 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.116748 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0642557 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0069866 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0188475 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0435301 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0717201 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0138844 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.000546524 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.365132 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0138844 # DEPENDENCYPART_SIBL
