# _root_ Volent potser calmar les ansietats dels diputats , Putin va subratllar que Moscou pretén augmentar " l' eficàcia del seu poder de dissuasió " , encara_que no incrementant " quantitativament " el nombre de caps nuclears .
#goldHeads=11,1,1,5,3,5,6,1,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,18,28,28,28,15,30,28,30,33,28,33,34,35,11,
#predictedHeads=11,3,1,5,3,5,6,1,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,18,28,28,28,15,30,28,30,33,28,33,34,35,11,
(3,11),-0.984219 # DEPENDENCYPART_ARC
(3,12),-2.10144 # DEPENDENCYPART_ARC
(3,13),-2.57394 # DEPENDENCYPART_ARC
(3,14),-1.80015 # DEPENDENCYPART_ARC
(3,15),-1.26131 # DEPENDENCYPART_ARC
(3,16),-1.54633 # DEPENDENCYPART_ARC
(3,18),-1.70481 # DEPENDENCYPART_ARC
(3,24),-1.4161 # DEPENDENCYPART_ARC
(3,25),-1.28304 # DEPENDENCYPART_ARC
(3,28),-2.0501 # DEPENDENCYPART_ARC
(3,29),-2.29005 # DEPENDENCYPART_ARC
(3,33),-3.28415 # DEPENDENCYPART_ARC
(3,37),-2.30904 # DEPENDENCYPART_ARC
(4,2),-2.01142 # DEPENDENCYPART_ARC
(4,5),-0.334048 # DEPENDENCYPART_ARC
(4,6),-0.0563325 # DEPENDENCYPART_ARC
(5,1),-2.77983 # DEPENDENCYPART_ARC
(5,2),-1.35126 # DEPENDENCYPART_ARC
(5,3),-1.4395 # DEPENDENCYPART_ARC
(5,4),2.03629 # DEPENDENCYPART_ARC
(5,6),1.07116 # DEPENDENCYPART_ARC
(5,7),0.183516 # DEPENDENCYPART_ARC
(5,8),-0.92222 # DEPENDENCYPART_ARC
(5,9),-0.589555 # DEPENDENCYPART_ARC
(5,10),-2.06884 # DEPENDENCYPART_ARC
(5,11),-1.78579 # DEPENDENCYPART_ARC
(5,12),-1.72552 # DEPENDENCYPART_ARC
(5,13),-2.26328 # DEPENDENCYPART_ARC
(5,14),-2.881 # DEPENDENCYPART_ARC
(5,15),-2.8538 # DEPENDENCYPART_ARC
(5,16),-1.76287 # DEPENDENCYPART_ARC
(5,18),-2.42052 # DEPENDENCYPART_ARC
(5,19),-2.21421 # DEPENDENCYPART_ARC
(5,33),-4.46377 # DEPENDENCYPART_ARC
(6,2),-2.40981 # DEPENDENCYPART_ARC
(6,4),-1.42117 # DEPENDENCYPART_ARC
(6,7),2.75024 # DEPENDENCYPART_ARC
(6,8),-1.13219 # DEPENDENCYPART_ARC
(6,9),-2.02064 # DEPENDENCYPART_ARC
(6,11),-2.22705 # DEPENDENCYPART_ARC
(7,4),-2.512 # DEPENDENCYPART_ARC
(7,8),-0.430888 # DEPENDENCYPART_ARC
(7,9),-0.324914 # DEPENDENCYPART_ARC
(7,10),-1.65042 # DEPENDENCYPART_ARC
(7,11),-1.5371 # DEPENDENCYPART_ARC
(7,12),-1.16528 # DEPENDENCYPART_ARC
(7,13),-1.59943 # DEPENDENCYPART_ARC
(7,14),-2.76441 # DEPENDENCYPART_ARC
(7,15),-2.68609 # DEPENDENCYPART_ARC
(7,18),-2.68618 # DEPENDENCYPART_ARC
(9,6),-1.66519 # DEPENDENCYPART_ARC
(9,8),-0.690161 # DEPENDENCYPART_ARC
(9,10),-1.83603 # DEPENDENCYPART_ARC
(10,1),-4.08207 # DEPENDENCYPART_ARC
(10,2),-3.86461 # DEPENDENCYPART_ARC
(10,3),-3.5602 # DEPENDENCYPART_ARC
(10,5),-3.14314 # DEPENDENCYPART_ARC
(10,8),-2.69781 # DEPENDENCYPART_ARC
(10,9),-1.86601 # DEPENDENCYPART_ARC
(10,13),-2.62544 # DEPENDENCYPART_ARC
(10,14),-1.57746 # DEPENDENCYPART_ARC
(10,15),-2.03685 # DEPENDENCYPART_ARC
(10,37),-3.65323 # DEPENDENCYPART_ARC
(11,1),-1.65886 # DEPENDENCYPART_ARC
(11,2),-1.28051 # DEPENDENCYPART_ARC
(11,3),-1.23812 # DEPENDENCYPART_ARC
(11,4),-2.13624 # DEPENDENCYPART_ARC
(11,5),-0.251305 # DEPENDENCYPART_ARC
(11,6),-1.3138 # DEPENDENCYPART_ARC
(11,7),-0.735903 # DEPENDENCYPART_ARC
(11,8),-0.930327 # DEPENDENCYPART_ARC
(11,9),0.513098 # DEPENDENCYPART_ARC
(11,10),2.29478 # DEPENDENCYPART_ARC
(11,12),-0.81427 # DEPENDENCYPART_ARC
(11,13),-0.761399 # DEPENDENCYPART_ARC
(11,14),-0.363754 # DEPENDENCYPART_ARC
(11,15),-0.213282 # DEPENDENCYPART_ARC
(11,16),-1.32227 # DEPENDENCYPART_ARC
(11,18),-1.83917 # DEPENDENCYPART_ARC
(11,19),-1.77125 # DEPENDENCYPART_ARC
(11,22),-2.05731 # DEPENDENCYPART_ARC
(11,24),-1.05676 # DEPENDENCYPART_ARC
(11,25),-0.485882 # DEPENDENCYPART_ARC
(11,26),-2.25329 # DEPENDENCYPART_ARC
(11,28),-1.4502 # DEPENDENCYPART_ARC
(11,29),-2.23703 # DEPENDENCYPART_ARC
(11,30),-3.20201 # DEPENDENCYPART_ARC
(11,31),-2.48112 # DEPENDENCYPART_ARC
(11,36),-2.79696 # DEPENDENCYPART_ARC
(11,37),-1.6753 # DEPENDENCYPART_ARC
(12,13),-1.31845 # DEPENDENCYPART_ARC
(13,11),-1.82645 # DEPENDENCYPART_ARC
(13,12),-1.1955 # DEPENDENCYPART_ARC
(13,14),-1.26387 # DEPENDENCYPART_ARC
(13,15),-2.21112 # DEPENDENCYPART_ARC
(13,18),-2.05926 # DEPENDENCYPART_ARC
(14,1),-2.84211 # DEPENDENCYPART_ARC
(14,2),-2.60808 # DEPENDENCYPART_ARC
(14,3),-2.9897 # DEPENDENCYPART_ARC
(14,5),-1.93792 # DEPENDENCYPART_ARC
(14,9),-1.98385 # DEPENDENCYPART_ARC
(14,10),-2.32231 # DEPENDENCYPART_ARC
(14,11),-1.31936 # DEPENDENCYPART_ARC
(14,12),1.60703 # DEPENDENCYPART_ARC
(14,13),-0.160937 # DEPENDENCYPART_ARC
(14,15),1.44881 # DEPENDENCYPART_ARC
(14,16),-0.650698 # DEPENDENCYPART_ARC
(14,18),-0.736589 # DEPENDENCYPART_ARC
(14,19),-0.954941 # DEPENDENCYPART_ARC
(14,21),-1.44682 # DEPENDENCYPART_ARC
(14,22),-1.41284 # DEPENDENCYPART_ARC
(14,24),-0.59088 # DEPENDENCYPART_ARC
(14,25),-0.48713 # DEPENDENCYPART_ARC
(14,26),-1.62998 # DEPENDENCYPART_ARC
(14,28),-1.21148 # DEPENDENCYPART_ARC
(14,29),-1.65867 # DEPENDENCYPART_ARC
(14,30),-2.41214 # DEPENDENCYPART_ARC
(14,31),-1.93744 # DEPENDENCYPART_ARC
(14,33),-2.95032 # DEPENDENCYPART_ARC
(14,36),-2.32561 # DEPENDENCYPART_ARC
(14,37),-0.548439 # DEPENDENCYPART_ARC
(15,1),-3.12809 # DEPENDENCYPART_ARC
(15,2),-2.79812 # DEPENDENCYPART_ARC
(15,3),-2.9306 # DEPENDENCYPART_ARC
(15,5),-2.17322 # DEPENDENCYPART_ARC
(15,6),-3.38003 # DEPENDENCYPART_ARC
(15,8),-3.9861 # DEPENDENCYPART_ARC
(15,9),-2.14418 # DEPENDENCYPART_ARC
(15,10),-2.87137 # DEPENDENCYPART_ARC
(15,11),-1.89135 # DEPENDENCYPART_ARC
(15,12),0.395154 # DEPENDENCYPART_ARC
(15,13),-0.9637 # DEPENDENCYPART_ARC
(15,14),0.920681 # DEPENDENCYPART_ARC
(15,16),-0.455991 # DEPENDENCYPART_ARC
(15,18),0.146202 # DEPENDENCYPART_ARC
(15,19),-0.272356 # DEPENDENCYPART_ARC
(15,21),-0.759823 # DEPENDENCYPART_ARC
(15,22),-1.05161 # DEPENDENCYPART_ARC
(15,23),-1.44971 # DEPENDENCYPART_ARC
(15,24),-1.07142 # DEPENDENCYPART_ARC
(15,25),-1.22396 # DEPENDENCYPART_ARC
(15,26),-1.80892 # DEPENDENCYPART_ARC
(15,27),-2.65038 # DEPENDENCYPART_ARC
(15,28),-0.823423 # DEPENDENCYPART_ARC
(15,29),-2.52365 # DEPENDENCYPART_ARC
(15,30),-2.51584 # DEPENDENCYPART_ARC
(15,33),-2.62266 # DEPENDENCYPART_ARC
(15,36),-2.39863 # DEPENDENCYPART_ARC
(15,37),-1.79326 # DEPENDENCYPART_ARC
(17,16),-0.881342 # DEPENDENCYPART_ARC
(17,18),-0.85666 # DEPENDENCYPART_ARC
(17,19),-1.13982 # DEPENDENCYPART_ARC
(17,20),-1.19505 # DEPENDENCYPART_ARC
(18,1),-2.71119 # DEPENDENCYPART_ARC
(18,3),-2.37174 # DEPENDENCYPART_ARC
(18,6),-2.17203 # DEPENDENCYPART_ARC
(18,12),-2.24128 # DEPENDENCYPART_ARC
(18,16),-0.211071 # DEPENDENCYPART_ARC
(18,17),1.63431 # DEPENDENCYPART_ARC
(18,19),0.613199 # DEPENDENCYPART_ARC
(18,20),-1.3942 # DEPENDENCYPART_ARC
(18,21),-0.456223 # DEPENDENCYPART_ARC
(18,22),-0.286154 # DEPENDENCYPART_ARC
(18,23),-1.03354 # DEPENDENCYPART_ARC
(18,24),-1.03668 # DEPENDENCYPART_ARC
(18,25),-1.1271 # DEPENDENCYPART_ARC
(18,26),-1.47473 # DEPENDENCYPART_ARC
(18,28),-1.95768 # DEPENDENCYPART_ARC
(18,29),-2.23973 # DEPENDENCYPART_ARC
(18,30),-2.20168 # DEPENDENCYPART_ARC
(18,31),-2.17941 # DEPENDENCYPART_ARC
(18,33),-2.77567 # DEPENDENCYPART_ARC
(18,36),-2.98711 # DEPENDENCYPART_ARC
(18,37),-2.51026 # DEPENDENCYPART_ARC
(19,17),-2.27748 # DEPENDENCYPART_ARC
(19,21),1.57749 # DEPENDENCYPART_ARC
(19,22),-1.7075 # DEPENDENCYPART_ARC
(19,23),-1.59395 # DEPENDENCYPART_ARC
(19,24),-1.3258 # DEPENDENCYPART_ARC
(19,26),-1.32855 # DEPENDENCYPART_ARC
(19,29),-2.09358 # DEPENDENCYPART_ARC
(21,16),-2.64198 # DEPENDENCYPART_ARC
(21,17),-2.89737 # DEPENDENCYPART_ARC
(21,19),-1.82051 # DEPENDENCYPART_ARC
(21,20),0.07227 # DEPENDENCYPART_ARC
(21,22),0.622127 # DEPENDENCYPART_ARC
(21,23),-0.851071 # DEPENDENCYPART_ARC
(21,24),-1.20199 # DEPENDENCYPART_ARC
(21,25),-1.42693 # DEPENDENCYPART_ARC
(21,26),-1.65959 # DEPENDENCYPART_ARC
(21,28),-2.60101 # DEPENDENCYPART_ARC
(21,33),-2.48593 # DEPENDENCYPART_ARC
(21,36),-3.49988 # DEPENDENCYPART_ARC
(22,23),2.60238 # DEPENDENCYPART_ARC
(22,26),-1.37144 # DEPENDENCYPART_ARC
(23,17),-3.19263 # DEPENDENCYPART_ARC
(23,19),-1.80234 # DEPENDENCYPART_ARC
(23,20),-1.58342 # DEPENDENCYPART_ARC
(23,22),-0.672063 # DEPENDENCYPART_ARC
(23,24),-1.08688 # DEPENDENCYPART_ARC
(23,26),-1.26718 # DEPENDENCYPART_ARC
(23,28),-2.11649 # DEPENDENCYPART_ARC
(23,33),-2.66155 # DEPENDENCYPART_ARC
(23,36),-3.07063 # DEPENDENCYPART_ARC
(26,25),-1.11573 # DEPENDENCYPART_ARC
(26,28),-1.69328 # DEPENDENCYPART_ARC
(27,26),-1.12351 # DEPENDENCYPART_ARC
(28,1),-2.31836 # DEPENDENCYPART_ARC
(28,2),-2.97448 # DEPENDENCYPART_ARC
(28,3),-2.3781 # DEPENDENCYPART_ARC
(28,5),-2.43087 # DEPENDENCYPART_ARC
(28,9),-2.52864 # DEPENDENCYPART_ARC
(28,10),-3.809 # DEPENDENCYPART_ARC
(28,11),-2.29055 # DEPENDENCYPART_ARC
(28,12),-0.69686 # DEPENDENCYPART_ARC
(28,13),-2.02153 # DEPENDENCYPART_ARC
(28,14),-1.10559 # DEPENDENCYPART_ARC
(28,15),-1.35938 # DEPENDENCYPART_ARC
(28,16),-1.5151 # DEPENDENCYPART_ARC
(28,17),-2.80139 # DEPENDENCYPART_ARC
(28,18),-1.73063 # DEPENDENCYPART_ARC
(28,19),-2.51492 # DEPENDENCYPART_ARC
(28,21),-1.66328 # DEPENDENCYPART_ARC
(28,22),-2.17625 # DEPENDENCYPART_ARC
(28,23),-2.17858 # DEPENDENCYPART_ARC
(28,24),-1.20144 # DEPENDENCYPART_ARC
(28,25),-0.461647 # DEPENDENCYPART_ARC
(28,26),0.858225 # DEPENDENCYPART_ARC
(28,27),1.77939 # DEPENDENCYPART_ARC
(28,29),-0.24975 # DEPENDENCYPART_ARC
(28,30),-0.139238 # DEPENDENCYPART_ARC
(28,31),-1.0479 # DEPENDENCYPART_ARC
(28,33),-0.351109 # DEPENDENCYPART_ARC
(28,34),-0.968815 # DEPENDENCYPART_ARC
(28,35),-1.11057 # DEPENDENCYPART_ARC
(28,36),-1.38377 # DEPENDENCYPART_ARC
(28,37),-1.34735 # DEPENDENCYPART_ARC
(30,19),-1.84157 # DEPENDENCYPART_ARC
(30,22),-1.86689 # DEPENDENCYPART_ARC
(30,25),-2.12925 # DEPENDENCYPART_ARC
(30,29),0.444444 # DEPENDENCYPART_ARC
(30,31),0.86534 # DEPENDENCYPART_ARC
(30,33),-1.57137 # DEPENDENCYPART_ARC
(30,34),-1.68158 # DEPENDENCYPART_ARC
(30,37),-1.47343 # DEPENDENCYPART_ARC
(32,30),-1.63221 # DEPENDENCYPART_ARC
(32,31),-0.874456 # DEPENDENCYPART_ARC
(32,34),-1.23946 # DEPENDENCYPART_ARC
(33,29),-1.55828 # DEPENDENCYPART_ARC
(33,30),-1.26096 # DEPENDENCYPART_ARC
(33,31),-0.523896 # DEPENDENCYPART_ARC
(33,32),1.53142 # DEPENDENCYPART_ARC
(33,34),1.10732 # DEPENDENCYPART_ARC
(33,35),-0.672248 # DEPENDENCYPART_ARC
(33,36),-1.27923 # DEPENDENCYPART_ARC
(33,37),-0.907231 # DEPENDENCYPART_ARC
(34,30),-1.79581 # DEPENDENCYPART_ARC
(34,32),-1.94326 # DEPENDENCYPART_ARC
(34,35),2.44478 # DEPENDENCYPART_ARC
(34,36),-0.640594 # DEPENDENCYPART_ARC
(35,30),-2.04866 # DEPENDENCYPART_ARC
(35,31),-1.90749 # DEPENDENCYPART_ARC
(35,32),-1.56776 # DEPENDENCYPART_ARC
(35,36),1.36308 # DEPENDENCYPART_ARC
(36,30),-1.74939 # DEPENDENCYPART_ARC
(36,31),-2.12629 # DEPENDENCYPART_ARC
(36,32),-2.50884 # DEPENDENCYPART_ARC
(36,34),-0.879106 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.936867 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.93929 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.940238 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.939775 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.945077 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.932874 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.936364 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.937313 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.936849 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.942151 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.929948 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.948596 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.948132 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.953449 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.941232 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.940872 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.946141 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.933938 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.947907 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.935704 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.9275 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00624448 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00462496 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0438763 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00388614 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.000415788 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00462645 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0748611 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0114122 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0627987 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00469858 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.00454242 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0277825 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0319853 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.00593593 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0319853 # DEPENDENCYPART_SIBL
(1,2),(1,25),0.000415788 # DEPENDENCYPART_SIBL
(1,2),(1,28),0.00105501 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0319853 # DEPENDENCYPART_SIBL
(1,2),(1,31),-0.0319853 # DEPENDENCYPART_SIBL
(1,2),(1,33),-0.00282548 # DEPENDENCYPART_SIBL
(1,2),(1,37),-0.0110734 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0430004 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0268419 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.042853 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0488983 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0429959 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0639552 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0160612 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0114474 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.042963 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.00602111 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.00487033 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0536438 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0454812 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0536438 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.0488983 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.00691019 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.0536438 # DEPENDENCYPART_SIBL
(1,3),(1,31),0.0536438 # DEPENDENCYPART_SIBL
(1,3),(1,33),0.0404506 # DEPENDENCYPART_SIBL
(1,3),(1,37),0.0522768 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.128173 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.249118 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00487425 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.24654 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.103245 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0239662 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.13586 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.246576 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0287771 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00253721 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0100382 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.243428 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0100382 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.00487425 # DEPENDENCYPART_SIBL
(1,5),(1,28),-0.0178652 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0100382 # DEPENDENCYPART_SIBL
(1,5),(1,31),0.0100382 # DEPENDENCYPART_SIBL
(1,5),(1,33),-0.249602 # DEPENDENCYPART_SIBL
(1,5),(1,37),-0.0114907 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0311298 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.087478 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0524048 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.103325 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0406465 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.135326 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0544331 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0277027 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.00143356 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0566572 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0502852 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.0566572 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.087478 # DEPENDENCYPART_SIBL
(1,6),(1,28),-0.0405577 # DEPENDENCYPART_SIBL
(1,6),(1,29),-0.0566572 # DEPENDENCYPART_SIBL
(1,6),(1,31),-0.0566572 # DEPENDENCYPART_SIBL
(1,6),(1,33),-0.0497737 # DEPENDENCYPART_SIBL
(1,6),(1,37),-0.0747709 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0155425 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.241123 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.108788 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0295098 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.141326 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.241159 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0343207 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.00300645 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0232805 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.23801 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.0232805 # DEPENDENCYPART_SIBL
(1,7),(1,25),0.0155425 # DEPENDENCYPART_SIBL
(1,7),(1,28),-0.0234088 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0232805 # DEPENDENCYPART_SIBL
(1,7),(1,31),0.0232805 # DEPENDENCYPART_SIBL
(1,7),(1,33),-0.244185 # DEPENDENCYPART_SIBL
(1,7),(1,37),0.0104217 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0328766 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0309339 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0295013 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0450186 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0329124 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0454922 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.119063 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0215263 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0286274 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0215263 # DEPENDENCYPART_SIBL
(1,8),(1,25),-0.085609 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.0680388 # DEPENDENCYPART_SIBL
(1,8),(1,29),-0.0215263 # DEPENDENCYPART_SIBL
(1,8),(1,31),-0.0215263 # DEPENDENCYPART_SIBL
(1,8),(1,33),-0.0511613 # DEPENDENCYPART_SIBL
(1,8),(1,37),-0.0606677 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0991984 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0199199 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.13178 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.242496 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0247308 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0065835 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0155142 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.239348 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0155142 # DEPENDENCYPART_SIBL
(1,9),(1,25),0.000489987 # DEPENDENCYPART_SIBL
(1,9),(1,28),-0.0138189 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.0155142 # DEPENDENCYPART_SIBL
(1,9),(1,31),0.0155142 # DEPENDENCYPART_SIBL
(1,9),(1,33),-0.245523 # DEPENDENCYPART_SIBL
(1,9),(1,37),-0.00602596 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0698631 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0640557 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.00319891 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.059823 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0489596 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0371803 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.000680775 # DEPENDENCYPART_SIBL
