# _root_ La iniciativa , que dependrà de les condicions meteorològiques , forma_part dels actes de celebració del cinquantè aniversari de l' entitat .
#goldHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
#predictedHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
(11,10),0.0469615 # DEPENDENCYPART_ARC
(11,12),0.971765 # DEPENDENCYPART_ARC
(11,13),0.168258 # DEPENDENCYPART_ARC
(11,14),-0.495519 # DEPENDENCYPART_ARC
(11,15),-0.844077 # DEPENDENCYPART_ARC
(11,16),-0.71202 # DEPENDENCYPART_ARC
(11,17),-1.75233 # DEPENDENCYPART_ARC
(11,18),-1.20199 # DEPENDENCYPART_ARC
(11,19),-1.22406 # DEPENDENCYPART_ARC
(11,21),-1.23687 # DEPENDENCYPART_ARC
(11,22),-0.21252 # DEPENDENCYPART_ARC
(12,5),-3.53377 # DEPENDENCYPART_ARC
(12,10),-2.17215 # DEPENDENCYPART_ARC
(12,11),-1.54766 # DEPENDENCYPART_ARC
(12,13),2.74061 # DEPENDENCYPART_ARC
(12,14),-0.991054 # DEPENDENCYPART_ARC
(12,15),-1.75058 # DEPENDENCYPART_ARC
(12,16),-1.67028 # DEPENDENCYPART_ARC
(12,19),-2.30375 # DEPENDENCYPART_ARC
(12,22),-1.66288 # DEPENDENCYPART_ARC
(13,2),-4.06724 # DEPENDENCYPART_ARC
(13,11),-0.952113 # DEPENDENCYPART_ARC
(13,12),-1.73394 # DEPENDENCYPART_ARC
(13,14),0.768458 # DEPENDENCYPART_ARC
(13,15),-0.708805 # DEPENDENCYPART_ARC
(13,16),-0.593241 # DEPENDENCYPART_ARC
(13,17),-1.69025 # DEPENDENCYPART_ARC
(13,18),-1.08706 # DEPENDENCYPART_ARC
(13,19),-1.28085 # DEPENDENCYPART_ARC
(13,21),-1.82981 # DEPENDENCYPART_ARC
(13,22),-1.7137 # DEPENDENCYPART_ARC
(14,10),-2.3283 # DEPENDENCYPART_ARC
(14,15),2.41544 # DEPENDENCYPART_ARC
(14,16),-1.62043 # DEPENDENCYPART_ARC
(14,18),-1.3974 # DEPENDENCYPART_ARC
(14,19),-2.37491 # DEPENDENCYPART_ARC
(15,2),-2.45263 # DEPENDENCYPART_ARC
(15,3),-2.16567 # DEPENDENCYPART_ARC
(15,5),-3.11722 # DEPENDENCYPART_ARC
(15,6),-2.45514 # DEPENDENCYPART_ARC
(15,10),-2.03417 # DEPENDENCYPART_ARC
(15,12),-1.98219 # DEPENDENCYPART_ARC
(15,14),-0.856935 # DEPENDENCYPART_ARC
(15,16),0.310044 # DEPENDENCYPART_ARC
(15,17),-1.36196 # DEPENDENCYPART_ARC
(15,18),-0.588422 # DEPENDENCYPART_ARC
(15,19),-0.619428 # DEPENDENCYPART_ARC
(15,21),-1.16852 # DEPENDENCYPART_ARC
(15,22),-1.67093 # DEPENDENCYPART_ARC
(16,14),-0.993125 # DEPENDENCYPART_ARC
(16,17),-0.111385 # DEPENDENCYPART_ARC
(16,18),1.23747 # DEPENDENCYPART_ARC
(16,19),-1.82667 # DEPENDENCYPART_ARC
(16,21),-1.89996 # DEPENDENCYPART_ARC
(16,22),-1.75714 # DEPENDENCYPART_ARC
(17,19),-1.61029 # DEPENDENCYPART_ARC
(18,2),-2.35825 # DEPENDENCYPART_ARC
(18,3),-1.95021 # DEPENDENCYPART_ARC
(18,5),-2.29583 # DEPENDENCYPART_ARC
(18,6),-1.25037 # DEPENDENCYPART_ARC
(18,9),-1.83776 # DEPENDENCYPART_ARC
(18,10),-1.77295 # DEPENDENCYPART_ARC
(18,12),-1.643 # DEPENDENCYPART_ARC
(18,14),-1.24078 # DEPENDENCYPART_ARC
(18,16),-0.451407 # DEPENDENCYPART_ARC
(18,17),2.30337 # DEPENDENCYPART_ARC
(18,19),0.49748 # DEPENDENCYPART_ARC
(18,21),-0.669578 # DEPENDENCYPART_ARC
(18,22),-1.3075 # DEPENDENCYPART_ARC
(19,21),2.0737 # DEPENDENCYPART_ARC
(21,5),-2.99863 # DEPENDENCYPART_ARC
(21,6),-2.11328 # DEPENDENCYPART_ARC
(21,20),1.56251 # DEPENDENCYPART_ARC
(21,22),-1.02184 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.417462 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.417866 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.93297 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0703965 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0587907 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.182479 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0511538 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0715005 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0703965 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0607087 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.249506 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.182479 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.255667 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0565359 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0338324 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0310989 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0432995 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.371478 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0173413 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0414464 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0181908 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0377095 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0432995 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00522038 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.362935 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.00949533 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0469218 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0272764 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00375523 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0763163 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.034058 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0490944 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0469218 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.00233483 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0239435 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0505966 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00149826 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0231691 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0446269 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.000372474 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0324123 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0240783 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0281148 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0239896 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.015156 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00756921 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0303589 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0156847 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0131351 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0235805 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0138991 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.00725996 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00678374 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0256722 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0288692 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0764748 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0233691 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0136497 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0218717 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0263932 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0181908 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0377095 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0432995 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00522038 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.362935 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.00949533 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0482731 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0446483 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.00144222 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0274254 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0605578 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0880823 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.032019 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0152566 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.00665615 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0281148 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0239896 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.015156 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0209853 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0223897 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.0182996 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0910959 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0355849 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.188975 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.354471 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0282362 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0281586 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0199367 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.036766 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0228156 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0729022 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0282362 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00828433 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.078083 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0114164 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.00181423 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0435517 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.491179 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.708886 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0250854 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.07693 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0180472 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0273133 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0167162 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.026822 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0250854 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0401108 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0610587 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0247933 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0553391 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0273478 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.15412 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00447511 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0473086 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0264019 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.207307 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.023253 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0134437 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00447511 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0237774 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00222433 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.000590058 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0164835 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.472429 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0047344 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.070514 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0101155 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.039114 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00805065 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0267937 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0047344 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.010604 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0741901 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0010688 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0189691 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.468186 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0589954 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.115227 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0438241 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0177691 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.271302 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.199259 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0696978 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.230595 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0666015 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0870196 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.014683 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0388573 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0189595 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0068029 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.144621 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0831053 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.248535 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0946713 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.244347 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.261739 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.00472958 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0128024 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0159231 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0404972 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0827307 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0544289 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0698034 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0519502 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0592929 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.00529303 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0789515 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.16747 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0933389 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0378847 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.146069 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0344591 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0591403 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0603758 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.050323 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0117964 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0258663 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0500206 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0265408 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.020327 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0205876 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.210616 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0599452 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.230801 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0549356 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0720488 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.075707 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0696978 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.230595 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0666015 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.0870196 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.014683 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0588119 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.231619 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.249 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.00403563 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0816409 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0960828 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.0371398 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.260206 # DEPENDENCYPART_SIBL
(5,18),(5,22),-0.0167215 # DEPENDENCYPART_SIBL
(5,21),(5,22),-0.0857356 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.340481 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0450833 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.063247 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0840605 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.602533 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0491278 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0667136 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0172315 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0476881 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.238581 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0781634 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0175231 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0200701 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0131261 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.024335 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0101424 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0205948 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.110677 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0870798 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00508228 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0852222 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0811369 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0850839 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0865728 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.434415 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0605187 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.439796 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0270347 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.00749878 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.033574 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0621614 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.181071 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0167308 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0172711 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.018579 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0300315 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.670343 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.610077 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.738547 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.097498 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0744431 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.117248 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0993147 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0393336 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.037419 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.063603 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.172349 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0245978 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0963951 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0313749 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00214758 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0221269 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0110779 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0097616 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.00842717 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0313913 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.00150778 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0097616 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.0479071 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.366312 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.299101 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0148416 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0245632 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.341404 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.152468 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0479677 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0659561 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.140381 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.02456 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0430787 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0659561 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.306564 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.117606 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.110904 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.11857 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0437695 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.079956 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0863665 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.00498162 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0495225 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.118587 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0401144 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.00498162 # DEPENDENCYPART_SIBL
(8,5),(8,22),0.0227032 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0955768 # DEPENDENCYPART_SIBL
