# _root_ Mentre viu a sota de les branques o de les pedres dels jardins públics , com passa al Palau_de_Pedralbes de Barcelona , no hi ha tantes queixes : " Els problemes comencen a aparèixer quan s' acosten a les cases " .
#goldHeads=2,25,2,3,4,7,5,5,5,11,9,5,12,13,17,17,2,17,18,19,20,2,25,25,0,27,25,34,34,31,34,34,34,25,37,37,34,37,40,38,34,25,
#predictedHeads=2,0,2,3,4,7,5,5,5,11,9,11,12,13,17,17,2,17,18,19,20,17,25,25,17,27,25,34,34,31,34,34,34,27,37,37,34,37,40,38,34,2,
(3,15),-1.0796 # DEPENDENCYPART_ARC
(3,16),-1.67336 # DEPENDENCYPART_ARC
(3,18),-1.98762 # DEPENDENCYPART_ARC
(3,22),-1.55991 # DEPENDENCYPART_ARC
(3,33),-2.54972 # DEPENDENCYPART_ARC
(3,38),-2.6957 # DEPENDENCYPART_ARC
(4,3),-0.961681 # DEPENDENCYPART_ARC
(4,5),0.314346 # DEPENDENCYPART_ARC
(4,7),-1.59943 # DEPENDENCYPART_ARC
(4,8),-1.18774 # DEPENDENCYPART_ARC
(4,9),-1.44735 # DEPENDENCYPART_ARC
(4,12),-2.05791 # DEPENDENCYPART_ARC
(4,15),-1.3788 # DEPENDENCYPART_ARC
(4,17),-2.06787 # DEPENDENCYPART_ARC
(5,1),-2.14443 # DEPENDENCYPART_ARC
(5,2),-1.29137 # DEPENDENCYPART_ARC
(5,3),-1.3296 # DEPENDENCYPART_ARC
(5,4),-0.512191 # DEPENDENCYPART_ARC
(5,6),-1.17159 # DEPENDENCYPART_ARC
(5,7),1.78785 # DEPENDENCYPART_ARC
(5,8),-0.372001 # DEPENDENCYPART_ARC
(5,9),-0.11854 # DEPENDENCYPART_ARC
(5,12),-2.07435 # DEPENDENCYPART_ARC
(5,15),-1.14259 # DEPENDENCYPART_ARC
(5,16),-1.72972 # DEPENDENCYPART_ARC
(5,18),-3.10132 # DEPENDENCYPART_ARC
(5,20),-2.96322 # DEPENDENCYPART_ARC
(6,3),-1.84124 # DEPENDENCYPART_ARC
(6,4),-0.802473 # DEPENDENCYPART_ARC
(6,5),-0.612918 # DEPENDENCYPART_ARC
(6,8),-1.13013 # DEPENDENCYPART_ARC
(7,1),-2.61736 # DEPENDENCYPART_ARC
(7,3),-2.70504 # DEPENDENCYPART_ARC
(7,4),-1.61575 # DEPENDENCYPART_ARC
(7,5),-1.8529 # DEPENDENCYPART_ARC
(7,6),1.89759 # DEPENDENCYPART_ARC
(7,8),-0.871174 # DEPENDENCYPART_ARC
(7,9),-1.06957 # DEPENDENCYPART_ARC
(7,11),0.0882508 # DEPENDENCYPART_ARC
(7,12),-0.357289 # DEPENDENCYPART_ARC
(7,13),-0.924671 # DEPENDENCYPART_ARC
(7,14),-1.56794 # DEPENDENCYPART_ARC
(7,27),-1.92357 # DEPENDENCYPART_ARC
(7,31),-2.43246 # DEPENDENCYPART_ARC
(7,42),-3.45816 # DEPENDENCYPART_ARC
(9,8),-0.941959 # DEPENDENCYPART_ARC
(9,10),-1.24464 # DEPENDENCYPART_ARC
(9,11),1.91348 # DEPENDENCYPART_ARC
(9,12),-1.28405 # DEPENDENCYPART_ARC
(9,13),-0.504677 # DEPENDENCYPART_ARC
(9,14),-1.77682 # DEPENDENCYPART_ARC
(9,15),-0.975573 # DEPENDENCYPART_ARC
(9,16),-1.44781 # DEPENDENCYPART_ARC
(9,20),-2.58657 # DEPENDENCYPART_ARC
(10,9),-1.14181 # DEPENDENCYPART_ARC
(10,11),-0.0367166 # DEPENDENCYPART_ARC
(10,12),0.130658 # DEPENDENCYPART_ARC
(11,4),-2.42425 # DEPENDENCYPART_ARC
(11,5),-2.65936 # DEPENDENCYPART_ARC
(11,6),-2.24469 # DEPENDENCYPART_ARC
(11,10),1.55932 # DEPENDENCYPART_ARC
(11,12),0.997672 # DEPENDENCYPART_ARC
(11,13),0.0142101 # DEPENDENCYPART_ARC
(11,14),-0.770074 # DEPENDENCYPART_ARC
(11,15),-0.787736 # DEPENDENCYPART_ARC
(11,16),-1.39033 # DEPENDENCYPART_ARC
(11,17),-1.99634 # DEPENDENCYPART_ARC
(11,20),-1.64179 # DEPENDENCYPART_ARC
(11,42),-3.24604 # DEPENDENCYPART_ARC
(12,10),-1.43118 # DEPENDENCYPART_ARC
(12,13),2.83244 # DEPENDENCYPART_ARC
(12,14),-0.849222 # DEPENDENCYPART_ARC
(12,15),-0.924554 # DEPENDENCYPART_ARC
(12,16),-1.64196 # DEPENDENCYPART_ARC
(12,18),-1.81582 # DEPENDENCYPART_ARC
(13,10),-2.12349 # DEPENDENCYPART_ARC
(13,14),1.43853 # DEPENDENCYPART_ARC
(13,16),-0.999881 # DEPENDENCYPART_ARC
(13,17),-1.97109 # DEPENDENCYPART_ARC
(13,20),-1.45563 # DEPENDENCYPART_ARC
(13,42),-3.26568 # DEPENDENCYPART_ARC
(14,5),-1.83276 # DEPENDENCYPART_ARC
(14,10),-2.72682 # DEPENDENCYPART_ARC
(14,12),-2.20786 # DEPENDENCYPART_ARC
(14,16),-1.39591 # DEPENDENCYPART_ARC
(14,17),-2.21721 # DEPENDENCYPART_ARC
(14,18),-2.09989 # DEPENDENCYPART_ARC
(15,14),-1.06176 # DEPENDENCYPART_ARC
(16,15),-0.510623 # DEPENDENCYPART_ARC
(16,17),-0.403929 # DEPENDENCYPART_ARC
(16,18),-1.35358 # DEPENDENCYPART_ARC
(16,19),-1.76082 # DEPENDENCYPART_ARC
(16,20),-1.90318 # DEPENDENCYPART_ARC
(16,22),-1.54184 # DEPENDENCYPART_ARC
(16,35),-1.54351 # DEPENDENCYPART_ARC
(16,42),-1.50509 # DEPENDENCYPART_ARC
(17,1),-2.07187 # DEPENDENCYPART_ARC
(17,2),-1.77168 # DEPENDENCYPART_ARC
(17,3),-1.71819 # DEPENDENCYPART_ARC
(17,4),-2.70324 # DEPENDENCYPART_ARC
(17,5),-2.59559 # DEPENDENCYPART_ARC
(17,7),-2.13589 # DEPENDENCYPART_ARC
(17,8),-1.93108 # DEPENDENCYPART_ARC
(17,9),-1.61478 # DEPENDENCYPART_ARC
(17,11),-1.81609 # DEPENDENCYPART_ARC
(17,12),-2.16783 # DEPENDENCYPART_ARC
(17,13),-2.09602 # DEPENDENCYPART_ARC
(17,14),-1.93667 # DEPENDENCYPART_ARC
(17,15),-0.111818 # DEPENDENCYPART_ARC
(17,16),1.26432 # DEPENDENCYPART_ARC
(17,18),1.41467 # DEPENDENCYPART_ARC
(17,19),0.185648 # DEPENDENCYPART_ARC
(17,20),-0.3539 # DEPENDENCYPART_ARC
(17,21),-1.12533 # DEPENDENCYPART_ARC
(17,22),-0.66277 # DEPENDENCYPART_ARC
(17,23),-1.33619 # DEPENDENCYPART_ARC
(17,24),-2.47199 # DEPENDENCYPART_ARC
(17,25),-0.301033 # DEPENDENCYPART_ARC
(17,27),-1.62137 # DEPENDENCYPART_ARC
(17,28),-1.42493 # DEPENDENCYPART_ARC
(17,29),-1.23981 # DEPENDENCYPART_ARC
(17,31),-2.19607 # DEPENDENCYPART_ARC
(17,32),-0.882055 # DEPENDENCYPART_ARC
(17,33),-1.72752 # DEPENDENCYPART_ARC
(17,34),-1.64109 # DEPENDENCYPART_ARC
(17,35),-2.069 # DEPENDENCYPART_ARC
(17,37),-1.36652 # DEPENDENCYPART_ARC
(17,38),-2.38483 # DEPENDENCYPART_ARC
(17,41),-1.42208 # DEPENDENCYPART_ARC
(17,42),-1.36202 # DEPENDENCYPART_ARC
(18,19),1.72242 # DEPENDENCYPART_ARC
(18,20),-1.28905 # DEPENDENCYPART_ARC
(18,21),-0.808582 # DEPENDENCYPART_ARC
(18,22),-1.04624 # DEPENDENCYPART_ARC
(18,23),-2.1447 # DEPENDENCYPART_ARC
(18,33),-2.76433 # DEPENDENCYPART_ARC
(19,20),0.316083 # DEPENDENCYPART_ARC
(19,21),-0.659567 # DEPENDENCYPART_ARC
(19,22),-1.05172 # DEPENDENCYPART_ARC
(19,25),-1.45612 # DEPENDENCYPART_ARC
(19,27),-2.05988 # DEPENDENCYPART_ARC
(19,31),-2.63345 # DEPENDENCYPART_ARC
(19,32),-2.45536 # DEPENDENCYPART_ARC
(19,34),-2.40225 # DEPENDENCYPART_ARC
(20,21),1.87722 # DEPENDENCYPART_ARC
(20,22),-1.42773 # DEPENDENCYPART_ARC
(20,23),-2.20148 # DEPENDENCYPART_ARC
(20,25),-2.7044 # DEPENDENCYPART_ARC
(21,25),-1.43927 # DEPENDENCYPART_ARC
(21,27),-1.98892 # DEPENDENCYPART_ARC
(21,32),-2.42775 # DEPENDENCYPART_ARC
(21,34),-2.47691 # DEPENDENCYPART_ARC
(23,22),-1.34844 # DEPENDENCYPART_ARC
(24,22),-1.47575 # DEPENDENCYPART_ARC
(24,23),-0.828862 # DEPENDENCYPART_ARC
(24,27),-1.85394 # DEPENDENCYPART_ARC
(25,1),-3.18383 # DEPENDENCYPART_ARC
(25,3),-2.7904 # DEPENDENCYPART_ARC
(25,8),-2.93461 # DEPENDENCYPART_ARC
(25,9),-2.97211 # DEPENDENCYPART_ARC
(25,11),-3.29099 # DEPENDENCYPART_ARC
(25,15),-2.14607 # DEPENDENCYPART_ARC
(25,16),-2.24669 # DEPENDENCYPART_ARC
(25,17),-1.99124 # DEPENDENCYPART_ARC
(25,18),-2.07097 # DEPENDENCYPART_ARC
(25,20),-2.48638 # DEPENDENCYPART_ARC
(25,22),-1.42212 # DEPENDENCYPART_ARC
(25,23),0.0686611 # DEPENDENCYPART_ARC
(25,24),1.10543 # DEPENDENCYPART_ARC
(25,26),-0.801235 # DEPENDENCYPART_ARC
(25,27),0.0856202 # DEPENDENCYPART_ARC
(25,29),-1.80049 # DEPENDENCYPART_ARC
(25,31),-2.06503 # DEPENDENCYPART_ARC
(25,32),-1.57754 # DEPENDENCYPART_ARC
(25,33),-2.03802 # DEPENDENCYPART_ARC
(25,34),-2.51587 # DEPENDENCYPART_ARC
(25,35),-1.93605 # DEPENDENCYPART_ARC
(25,37),-2.42702 # DEPENDENCYPART_ARC
(25,38),-2.9173 # DEPENDENCYPART_ARC
(25,41),-1.94675 # DEPENDENCYPART_ARC
(25,42),-2.52173 # DEPENDENCYPART_ARC
(26,27),-0.981272 # DEPENDENCYPART_ARC
(27,2),-1.2732 # DEPENDENCYPART_ARC
(27,5),-2.14036 # DEPENDENCYPART_ARC
(27,9),-1.90514 # DEPENDENCYPART_ARC
(27,20),-2.1119 # DEPENDENCYPART_ARC
(27,23),-1.19062 # DEPENDENCYPART_ARC
(27,24),-0.641867 # DEPENDENCYPART_ARC
(27,25),-0.264699 # DEPENDENCYPART_ARC
(27,26),2.64391 # DEPENDENCYPART_ARC
(27,28),-1.41262 # DEPENDENCYPART_ARC
(27,29),-1.85356 # DEPENDENCYPART_ARC
(27,31),-0.794771 # DEPENDENCYPART_ARC
(27,32),-1.48513 # DEPENDENCYPART_ARC
(27,33),-2.31507 # DEPENDENCYPART_ARC
(27,34),-2.30048 # DEPENDENCYPART_ARC
(27,37),-1.82533 # DEPENDENCYPART_ARC
(28,29),-0.845113 # DEPENDENCYPART_ARC
(28,33),-1.90093 # DEPENDENCYPART_ARC
(28,38),-2.01031 # DEPENDENCYPART_ARC
(30,29),-1.01882 # DEPENDENCYPART_ARC
(30,31),-1.06881 # DEPENDENCYPART_ARC
(31,24),-2.59186 # DEPENDENCYPART_ARC
(31,26),-2.4029 # DEPENDENCYPART_ARC
(31,28),-2.29776 # DEPENDENCYPART_ARC
(31,29),-1.01829 # DEPENDENCYPART_ARC
(31,30),2.16665 # DEPENDENCYPART_ARC
(31,32),-0.479692 # DEPENDENCYPART_ARC
(31,35),-1.99325 # DEPENDENCYPART_ARC
(31,37),-1.44974 # DEPENDENCYPART_ARC
(32,1),-3.53632 # DEPENDENCYPART_ARC
(32,2),-2.91399 # DEPENDENCYPART_ARC
(32,4),-3.96613 # DEPENDENCYPART_ARC
(32,11),-2.02947 # DEPENDENCYPART_ARC
(32,17),-2.51375 # DEPENDENCYPART_ARC
(32,18),-2.61526 # DEPENDENCYPART_ARC
(32,24),-3.45569 # DEPENDENCYPART_ARC
(32,25),-2.82729 # DEPENDENCYPART_ARC
(32,27),-1.2157 # DEPENDENCYPART_ARC
(32,28),-0.873574 # DEPENDENCYPART_ARC
(32,29),-0.512131 # DEPENDENCYPART_ARC
(32,30),-1.44088 # DEPENDENCYPART_ARC
(32,31),0.214071 # DEPENDENCYPART_ARC
(32,33),0.501774 # DEPENDENCYPART_ARC
(32,34),-0.730944 # DEPENDENCYPART_ARC
(32,35),-0.994101 # DEPENDENCYPART_ARC
(32,37),-0.606918 # DEPENDENCYPART_ARC
(32,38),-1.54723 # DEPENDENCYPART_ARC
(32,41),-0.953304 # DEPENDENCYPART_ARC
(32,42),-0.824579 # DEPENDENCYPART_ARC
(33,31),-2.99989 # DEPENDENCYPART_ARC
(33,34),1.57782 # DEPENDENCYPART_ARC
(33,35),-1.31856 # DEPENDENCYPART_ARC
(33,37),-2.01377 # DEPENDENCYPART_ARC
(33,38),-1.73407 # DEPENDENCYPART_ARC
(33,41),-1.4992 # DEPENDENCYPART_ARC
(34,1),-2.51636 # DEPENDENCYPART_ARC
(34,2),-0.892577 # DEPENDENCYPART_ARC
(34,3),-2.24095 # DEPENDENCYPART_ARC
(34,4),-3.00722 # DEPENDENCYPART_ARC
(34,7),-2.3294 # DEPENDENCYPART_ARC
(34,8),-2.99436 # DEPENDENCYPART_ARC
(34,11),-2.14755 # DEPENDENCYPART_ARC
(34,14),-1.6912 # DEPENDENCYPART_ARC
(34,17),-1.00149 # DEPENDENCYPART_ARC
(34,18),-1.13095 # DEPENDENCYPART_ARC
(34,19),-1.74172 # DEPENDENCYPART_ARC
(34,24),-2.07014 # DEPENDENCYPART_ARC
(34,25),-1.70807 # DEPENDENCYPART_ARC
(34,27),-0.884527 # DEPENDENCYPART_ARC
(34,28),-0.539861 # DEPENDENCYPART_ARC
(34,29),-0.461496 # DEPENDENCYPART_ARC
(34,30),-1.56535 # DEPENDENCYPART_ARC
(34,31),0.284248 # DEPENDENCYPART_ARC
(34,32),2.53332 # DEPENDENCYPART_ARC
(34,33),1.33537 # DEPENDENCYPART_ARC
(34,35),-0.401549 # DEPENDENCYPART_ARC
(34,37),-0.435115 # DEPENDENCYPART_ARC
(34,38),-0.884436 # DEPENDENCYPART_ARC
(34,41),-0.716937 # DEPENDENCYPART_ARC
(34,42),-0.46706 # DEPENDENCYPART_ARC
(35,37),-1.549 # DEPENDENCYPART_ARC
(37,1),-3.84412 # DEPENDENCYPART_ARC
(37,2),-2.5987 # DEPENDENCYPART_ARC
(37,4),-3.9858 # DEPENDENCYPART_ARC
(37,24),-4.78135 # DEPENDENCYPART_ARC
(37,25),-3.7233 # DEPENDENCYPART_ARC
(37,27),-1.66607 # DEPENDENCYPART_ARC
(37,28),-1.49714 # DEPENDENCYPART_ARC
(37,29),-1.70347 # DEPENDENCYPART_ARC
(37,31),-1.44208 # DEPENDENCYPART_ARC
(37,32),-1.32302 # DEPENDENCYPART_ARC
(37,33),-1.00149 # DEPENDENCYPART_ARC
(37,34),-1.37123 # DEPENDENCYPART_ARC
(37,35),1.14895 # DEPENDENCYPART_ARC
(37,36),1.77601 # DEPENDENCYPART_ARC
(37,38),1.38704 # DEPENDENCYPART_ARC
(37,40),0.322495 # DEPENDENCYPART_ARC
(37,41),-0.549048 # DEPENDENCYPART_ARC
(37,42),-1.09605 # DEPENDENCYPART_ARC
(38,35),-2.50628 # DEPENDENCYPART_ARC
(38,39),-1.22744 # DEPENDENCYPART_ARC
(38,40),2.27899 # DEPENDENCYPART_ARC
(38,41),-0.954903 # DEPENDENCYPART_ARC
(39,41),-1.32342 # DEPENDENCYPART_ARC
(40,2),-1.41897 # DEPENDENCYPART_ARC
(40,28),-3.15065 # DEPENDENCYPART_ARC
(40,35),-2.80233 # DEPENDENCYPART_ARC
(40,38),-1.86349 # DEPENDENCYPART_ARC
(40,39),2.19456 # DEPENDENCYPART_ARC
(40,41),-0.924087 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.335615 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.329024 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.378291 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.329179 # DEPENDENCYPART_SIBL
(0,1),(0,34),-0.322835 # DEPENDENCYPART_SIBL
(0,1),(0,37),-0.328979 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.938203 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.938529 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.939965 # DEPENDENCYPART_SIBL
(0,2),(0,34),-0.939397 # DEPENDENCYPART_SIBL
(0,2),(0,37),-0.939797 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.931734 # DEPENDENCYPART_SIBL
(0,17),(0,32),-0.93317 # DEPENDENCYPART_SIBL
(0,17),(0,34),-0.932601 # DEPENDENCYPART_SIBL
(0,17),(0,37),-0.933002 # DEPENDENCYPART_SIBL
(0,25),(0,32),-0.951574 # DEPENDENCYPART_SIBL
(0,25),(0,34),-0.951006 # DEPENDENCYPART_SIBL
(0,25),(0,37),-0.951406 # DEPENDENCYPART_SIBL
(0,32),(0,34),-0.936181 # DEPENDENCYPART_SIBL
(0,32),(0,37),-0.936581 # DEPENDENCYPART_SIBL
(0,34),(0,37),-0.93766 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.11451 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0773955 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0773955 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0472019 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0472019 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0800777 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0585554 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.000463751 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0109238 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0326381 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.100395 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0109238 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0276636 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0170132 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0255957 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.000987906 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.258489 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0418143 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0568483 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0227805 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.258489 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0645421 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.0612114 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.0720029 # DEPENDENCYPART_SIBL
(2,1),(2,33),0.0585554 # DEPENDENCYPART_SIBL
(2,1),(2,34),-0.0429411 # DEPENDENCYPART_SIBL
(2,1),(2,37),-0.0642143 # DEPENDENCYPART_SIBL
(2,1),(2,41),0.0612114 # DEPENDENCYPART_SIBL
(2,1),(2,42),-0.100635 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0200634 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0851214 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00548054 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0341537 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0851214 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00707163 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.130694 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0178675 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0592009 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.00980524 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0634797 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0354142 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0243018 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.00980524 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0262917 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.0432501 # DEPENDENCYPART_SIBL
(2,3),(2,32),-0.00189425 # DEPENDENCYPART_SIBL
(2,3),(2,33),-0.0722852 # DEPENDENCYPART_SIBL
(2,3),(2,34),0.00746135 # DEPENDENCYPART_SIBL
(2,3),(2,37),0.00278129 # DEPENDENCYPART_SIBL
(2,3),(2,41),-0.0432501 # DEPENDENCYPART_SIBL
(2,3),(2,42),-0.00942869 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0281971 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0092954 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0416542 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0281971 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00878214 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.056881 # DEPENDENCYPART_SIBL
(2,4),(2,13),-6.01122e-05 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0405286 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0281182 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0451091 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0102207 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0120363 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0281182 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0502247 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.0630545 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.00911078 # DEPENDENCYPART_SIBL
(2,4),(2,33),0.00216244 # DEPENDENCYPART_SIBL
(2,4),(2,34),0.00947626 # DEPENDENCYPART_SIBL
(2,4),(2,37),-0.00421353 # DEPENDENCYPART_SIBL
(2,4),(2,41),-0.0630545 # DEPENDENCYPART_SIBL
(2,4),(2,42),-0.0480517 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.061485 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0185621 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.206293 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0598186 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.279932 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0511649 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.124336 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0493439 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.070636 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0571544 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.126765 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0493439 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.076257 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.0800996 # DEPENDENCYPART_SIBL
(2,5),(2,32),-0.0350235 # DEPENDENCYPART_SIBL
(2,5),(2,33),-0.0230986 # DEPENDENCYPART_SIBL
(2,5),(2,34),-0.0245048 # DEPENDENCYPART_SIBL
(2,5),(2,37),-0.0301967 # DEPENDENCYPART_SIBL
(2,5),(2,41),-0.0800996 # DEPENDENCYPART_SIBL
(2,5),(2,42),-0.0423418 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0274723 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0805299 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.247397 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.143373 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.233446 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0418922 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.00821132 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0971996 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0443794 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0605971 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.00821132 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.057879 # DEPENDENCYPART_SIBL
(2,7),(2,29),-0.0054579 # DEPENDENCYPART_SIBL
(2,7),(2,32),-0.0470526 # DEPENDENCYPART_SIBL
(2,7),(2,33),0.015512 # DEPENDENCYPART_SIBL
(2,7),(2,34),-0.00496678 # DEPENDENCYPART_SIBL
(2,7),(2,37),-0.0366296 # DEPENDENCYPART_SIBL
(2,7),(2,41),-0.0054579 # DEPENDENCYPART_SIBL
(2,7),(2,42),-0.0425071 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.192371 # DEPENDENCYPART_SIBL
