# _root_ La majoria dels treballs presentats són de centres de la comarca d' Osona -Fpa- 39 -Fpt- , seguits dels 18 de La_Selva i La_Garrotxa , dels 15 del Bages i de 7 del Vallès_Oriental .
#goldHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,2,15,18,2,18,19,20,21,22,22,19,19,26,27,28,19,19,31,32,33,6,
#predictedHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,13,15,18,6,18,19,20,21,22,22,18,20,26,27,28,28,28,31,32,33,6,
(8,20),-2.17608 # DEPENDENCYPART_ARC
(8,21),-2.10685 # DEPENDENCYPART_ARC
(8,23),-0.555162 # DEPENDENCYPART_ARC
(8,24),-2.05254 # DEPENDENCYPART_ARC
(8,27),-2.72242 # DEPENDENCYPART_ARC
(9,10),-1.51727 # DEPENDENCYPART_ARC
(9,11),1.87189 # DEPENDENCYPART_ARC
(9,12),-1.61489 # DEPENDENCYPART_ARC
(9,13),-1.24073 # DEPENDENCYPART_ARC
(9,14),-1.70354 # DEPENDENCYPART_ARC
(9,15),-1.87706 # DEPENDENCYPART_ARC
(9,17),-1.83228 # DEPENDENCYPART_ARC
(9,18),-2.3012 # DEPENDENCYPART_ARC
(9,26),-2.91893 # DEPENDENCYPART_ARC
(9,28),-2.91439 # DEPENDENCYPART_ARC
(9,30),-0.815415 # DEPENDENCYPART_ARC
(9,31),-3.10317 # DEPENDENCYPART_ARC
(10,7),-1.96225 # DEPENDENCYPART_ARC
(10,9),-1.33168 # DEPENDENCYPART_ARC
(10,11),-0.183723 # DEPENDENCYPART_ARC
(10,12),-0.963195 # DEPENDENCYPART_ARC
(11,10),1.08575 # DEPENDENCYPART_ARC
(11,12),1.11123 # DEPENDENCYPART_ARC
(11,13),-0.677822 # DEPENDENCYPART_ARC
(11,14),-0.842526 # DEPENDENCYPART_ARC
(11,15),-1.27241 # DEPENDENCYPART_ARC
(11,16),-1.35712 # DEPENDENCYPART_ARC
(11,17),-1.17897 # DEPENDENCYPART_ARC
(11,18),-2.75831 # DEPENDENCYPART_ARC
(11,19),-1.43926 # DEPENDENCYPART_ARC
(11,20),-2.05982 # DEPENDENCYPART_ARC
(11,21),-1.59922 # DEPENDENCYPART_ARC
(11,23),-0.922994 # DEPENDENCYPART_ARC
(11,24),-2.07549 # DEPENDENCYPART_ARC
(11,27),-2.67741 # DEPENDENCYPART_ARC
(11,32),-3.0583 # DEPENDENCYPART_ARC
(12,10),-1.44475 # DEPENDENCYPART_ARC
(12,13),1.64445 # DEPENDENCYPART_ARC
(12,14),-1.43276 # DEPENDENCYPART_ARC
(12,15),-1.73838 # DEPENDENCYPART_ARC
(12,16),-1.97792 # DEPENDENCYPART_ARC
(12,18),-2.55835 # DEPENDENCYPART_ARC
(13,10),-2.08494 # DEPENDENCYPART_ARC
(13,14),-1.23969 # DEPENDENCYPART_ARC
(13,15),-1.22093 # DEPENDENCYPART_ARC
(13,16),-1.35689 # DEPENDENCYPART_ARC
(13,17),-1.30589 # DEPENDENCYPART_ARC
(13,18),-1.75492 # DEPENDENCYPART_ARC
(13,19),-2.38058 # DEPENDENCYPART_ARC
(13,20),-2.29598 # DEPENDENCYPART_ARC
(13,21),-2.26211 # DEPENDENCYPART_ARC
(13,22),-1.69933 # DEPENDENCYPART_ARC
(13,23),-0.150116 # DEPENDENCYPART_ARC
(13,24),-1.46287 # DEPENDENCYPART_ARC
(14,16),-1.74462 # DEPENDENCYPART_ARC
(15,3),-0.88012 # DEPENDENCYPART_ARC
(15,7),-0.978222 # DEPENDENCYPART_ARC
(15,9),-0.974982 # DEPENDENCYPART_ARC
(15,12),-0.537783 # DEPENDENCYPART_ARC
(15,14),1.08749 # DEPENDENCYPART_ARC
(15,16),0.0190291 # DEPENDENCYPART_ARC
(15,17),-1.16415 # DEPENDENCYPART_ARC
(15,19),-1.01544 # DEPENDENCYPART_ARC
(15,20),-1.06961 # DEPENDENCYPART_ARC
(15,21),-1.22797 # DEPENDENCYPART_ARC
(15,22),-1.6631 # DEPENDENCYPART_ARC
(15,23),-0.732833 # DEPENDENCYPART_ARC
(15,24),-1.80662 # DEPENDENCYPART_ARC
(15,25),-1.40601 # DEPENDENCYPART_ARC
(15,27),-1.6817 # DEPENDENCYPART_ARC
(15,29),-1.86583 # DEPENDENCYPART_ARC
(15,30),-1.12944 # DEPENDENCYPART_ARC
(15,32),-2.26012 # DEPENDENCYPART_ARC
(15,34),-2.1379 # DEPENDENCYPART_ARC
(18,9),-1.81722 # DEPENDENCYPART_ARC
(18,12),-1.63754 # DEPENDENCYPART_ARC
(18,14),-1.74855 # DEPENDENCYPART_ARC
(18,16),-0.934836 # DEPENDENCYPART_ARC
(18,17),0.36474 # DEPENDENCYPART_ARC
(18,19),1.39073 # DEPENDENCYPART_ARC
(18,20),-0.986045 # DEPENDENCYPART_ARC
(18,21),-0.104651 # DEPENDENCYPART_ARC
(18,22),-1.22032 # DEPENDENCYPART_ARC
(18,23),-0.797583 # DEPENDENCYPART_ARC
(18,24),-1.50358 # DEPENDENCYPART_ARC
(18,25),-0.759008 # DEPENDENCYPART_ARC
(18,26),-1.5587 # DEPENDENCYPART_ARC
(18,28),-1.5439 # DEPENDENCYPART_ARC
(18,33),-2.27931 # DEPENDENCYPART_ARC
(19,16),-2.58115 # DEPENDENCYPART_ARC
(19,17),-1.77825 # DEPENDENCYPART_ARC
(19,18),-1.82721 # DEPENDENCYPART_ARC
(19,20),0.107065 # DEPENDENCYPART_ARC
(19,21),-0.963903 # DEPENDENCYPART_ARC
(19,22),-1.09901 # DEPENDENCYPART_ARC
(19,23),-1.6317 # DEPENDENCYPART_ARC
(19,24),-2.34685 # DEPENDENCYPART_ARC
(19,25),-1.20876 # DEPENDENCYPART_ARC
(19,26),-1.26943 # DEPENDENCYPART_ARC
(19,28),-1.84326 # DEPENDENCYPART_ARC
(19,30),-1.37817 # DEPENDENCYPART_ARC
(19,31),-2.30997 # DEPENDENCYPART_ARC
(19,33),-2.57459 # DEPENDENCYPART_ARC
(20,3),-1.7555 # DEPENDENCYPART_ARC
(20,7),-1.93049 # DEPENDENCYPART_ARC
(20,9),-1.87861 # DEPENDENCYPART_ARC
(20,19),-0.644771 # DEPENDENCYPART_ARC
(20,21),0.399823 # DEPENDENCYPART_ARC
(20,22),-0.69342 # DEPENDENCYPART_ARC
(20,23),-0.410862 # DEPENDENCYPART_ARC
(20,24),-1.33855 # DEPENDENCYPART_ARC
(20,25),-1.28806 # DEPENDENCYPART_ARC
(20,26),-1.23375 # DEPENDENCYPART_ARC
(20,27),-1.37679 # DEPENDENCYPART_ARC
(20,28),-1.4869 # DEPENDENCYPART_ARC
(20,29),-1.68218 # DEPENDENCYPART_ARC
(20,30),-1.0936 # DEPENDENCYPART_ARC
(20,32),-2.09467 # DEPENDENCYPART_ARC
(20,34),-1.96426 # DEPENDENCYPART_ARC
(21,17),-2.10444 # DEPENDENCYPART_ARC
(21,19),-1.29766 # DEPENDENCYPART_ARC
(21,20),-1.45757 # DEPENDENCYPART_ARC
(21,22),1.86467 # DEPENDENCYPART_ARC
(21,23),-1.22666 # DEPENDENCYPART_ARC
(21,25),-1.22299 # DEPENDENCYPART_ARC
(21,26),-1.94584 # DEPENDENCYPART_ARC
(21,27),-2.27818 # DEPENDENCYPART_ARC
(21,28),-2.02862 # DEPENDENCYPART_ARC
(21,30),-1.23241 # DEPENDENCYPART_ARC
(21,31),-2.12662 # DEPENDENCYPART_ARC
(21,33),-2.9117 # DEPENDENCYPART_ARC
(22,23),0.973908 # DEPENDENCYPART_ARC
(22,24),0.237885 # DEPENDENCYPART_ARC
(22,26),-1.68529 # DEPENDENCYPART_ARC
(22,27),-1.81588 # DEPENDENCYPART_ARC
(22,28),-1.70215 # DEPENDENCYPART_ARC
(22,29),-1.42819 # DEPENDENCYPART_ARC
(23,24),-1.11156 # DEPENDENCYPART_ARC
(24,25),-1.4502 # DEPENDENCYPART_ARC
(24,26),-1.70929 # DEPENDENCYPART_ARC
(24,27),-1.94888 # DEPENDENCYPART_ARC
(24,28),-2.08945 # DEPENDENCYPART_ARC
(24,29),-1.73363 # DEPENDENCYPART_ARC
(24,32),-2.86552 # DEPENDENCYPART_ARC
(26,25),-0.596268 # DEPENDENCYPART_ARC
(26,27),-0.195295 # DEPENDENCYPART_ARC
(26,28),-0.817901 # DEPENDENCYPART_ARC
(26,29),-1.38521 # DEPENDENCYPART_ARC
(26,30),-1.32318 # DEPENDENCYPART_ARC
(26,31),-1.57741 # DEPENDENCYPART_ARC
(26,32),-2.41863 # DEPENDENCYPART_ARC
(26,33),-1.90947 # DEPENDENCYPART_ARC
(26,35),-1.04844 # DEPENDENCYPART_ARC
(27,3),-1.84711 # DEPENDENCYPART_ARC
(27,19),-1.91747 # DEPENDENCYPART_ARC
(27,21),-1.94622 # DEPENDENCYPART_ARC
(27,25),-1.44795 # DEPENDENCYPART_ARC
(27,26),-0.638974 # DEPENDENCYPART_ARC
(27,28),0.275903 # DEPENDENCYPART_ARC
(27,29),-0.736347 # DEPENDENCYPART_ARC
(27,30),-0.451014 # DEPENDENCYPART_ARC
(27,31),-0.927229 # DEPENDENCYPART_ARC
(27,32),-1.03644 # DEPENDENCYPART_ARC
(27,33),-1.28357 # DEPENDENCYPART_ARC
(27,34),-1.69426 # DEPENDENCYPART_ARC
(28,25),-1.67199 # DEPENDENCYPART_ARC
(28,26),-2.123 # DEPENDENCYPART_ARC
(28,27),-1.59834 # DEPENDENCYPART_ARC
(28,29),1.74381 # DEPENDENCYPART_ARC
(28,30),-0.4731 # DEPENDENCYPART_ARC
(28,31),-1.01744 # DEPENDENCYPART_ARC
(28,32),-1.72078 # DEPENDENCYPART_ARC
(28,33),-1.41447 # DEPENDENCYPART_ARC
(29,31),-2.05751 # DEPENDENCYPART_ARC
(29,32),-1.85714 # DEPENDENCYPART_ARC
(29,33),-1.57538 # DEPENDENCYPART_ARC
(29,34),-1.73824 # DEPENDENCYPART_ARC
(31,32),0.609382 # DEPENDENCYPART_ARC
(31,33),-0.692753 # DEPENDENCYPART_ARC
(31,34),-0.579286 # DEPENDENCYPART_ARC
(32,3),-0.93028 # DEPENDENCYPART_ARC
(32,7),-1.17777 # DEPENDENCYPART_ARC
(32,9),-1.13751 # DEPENDENCYPART_ARC
(32,12),-0.923496 # DEPENDENCYPART_ARC
(32,19),-1.05701 # DEPENDENCYPART_ARC
(32,21),-1.17012 # DEPENDENCYPART_ARC
(32,26),-1.1143 # DEPENDENCYPART_ARC
(32,28),-1.23757 # DEPENDENCYPART_ARC
(32,31),-0.0274189 # DEPENDENCYPART_ARC
(32,33),0.245739 # DEPENDENCYPART_ARC
(32,34),-0.741841 # DEPENDENCYPART_ARC
(33,32),-1.50416 # DEPENDENCYPART_ARC
(33,34),1.86399 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.408672 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0462102 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.272491 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.859664 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.139184 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00823746 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.143302 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0173299 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0990584 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0990584 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00552251 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.112887 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0505099 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0210075 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.05525 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.171611 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0170313 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0171428 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0270648 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0949081 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0961335 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0961335 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0195445 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0671901 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0162682 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.00749419 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0858374 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0386038 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0387983 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00728758 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00862132 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0117363 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0117363 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00253356 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00128973 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0315019 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0233256 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.147244 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0162158 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0391418 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.046895 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0640469 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0640469 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0318938 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.000435479 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0347061 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0190928 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0277081 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0412799 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0302996 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.01693 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.01693 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00326128 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0209659 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0477617 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0183789 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.104946 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0210662 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.00843302 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0272014 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0169902 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.122282 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.043184 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0149901 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0675295 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0247255 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0624319 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0169902 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.122282 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.043184 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0149901 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0675295 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0247255 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0624319 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.00225038 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0282803 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0177065 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.144022 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0117813 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0335227 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0183171 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0546719 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.084853 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0243792 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0884163 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0979708 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.115002 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.130544 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0860059 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.120117 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0318281 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.00448961 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.255739 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.204602 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0211075 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.264814 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.135261 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0469465 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.225339 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.130639 # DEPENDENCYPART_SIBL
(3,1),(3,31),0.225339 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0132533 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0363047 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0674672 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.0419637 # DEPENDENCYPART_SIBL
(3,2),(3,31),0.0674672 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.353035 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0636874 # DEPENDENCYPART_SIBL
(3,4),(3,30),0.0433145 # DEPENDENCYPART_SIBL
(3,4),(3,31),0.0636874 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.016525 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.101787 # DEPENDENCYPART_SIBL
(3,5),(3,31),-0.016525 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.0272977 # DEPENDENCYPART_SIBL
(3,7),(3,31),-0.0378537 # DEPENDENCYPART_SIBL
(3,30),(3,31),1.08681 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0474359 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0412106 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.134481 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.134481 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00546969 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.075745 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0014935 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0144823 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.035329 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.035329 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0160912 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0644746 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0048844 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0137892 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0137892 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0286305 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0160997 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0186846 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00189249 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00504255 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0413029 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0524843 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00504255 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0413029 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0524843 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0226793 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.000241507 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0140765 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0746987 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.178558 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.309346 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0138463 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0350723 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0168103 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0396126 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0641301 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0449676 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0164061 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0191852 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0355836 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0191852 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0472954 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0251797 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0481343 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.108065 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0125432 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0762879 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0635664 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0439607 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0262795 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.00171889 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0378739 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0259915 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0373722 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0635664 # DEPENDENCYPART_SIBL
(6,1),(6,27),-0.00532994 # DEPENDENCYPART_SIBL
(6,1),(6,30),-0.0259915 # DEPENDENCYPART_SIBL
(6,1),(6,35),-0.108218 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.178493 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.814241 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.240617 # DEPENDENCYPART_SIBL
