# _root_ Un_cop llicenciat , es va dedicar durant molts anys a l' ensenyament de la llengua i la literatura a Barcelona , Vila-real -Fpa- Plana_Baixa -Fpt- i Terrassa .
#goldHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,6,19,20,20,24,22,24,20,20,6,
#predictedHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,18,19,20,20,24,22,24,20,20,6,
(6,4),1.42027 # DEPENDENCYPART_ARC
(6,5),2.75422 # DEPENDENCYPART_ARC
(6,7),1.57585 # DEPENDENCYPART_ARC
(6,9),0.188139 # DEPENDENCYPART_ARC
(6,10),0.294644 # DEPENDENCYPART_ARC
(6,12),-0.737011 # DEPENDENCYPART_ARC
(6,13),-0.791228 # DEPENDENCYPART_ARC
(6,15),-0.904109 # DEPENDENCYPART_ARC
(6,16),-0.906711 # DEPENDENCYPART_ARC
(6,18),-1.15621 # DEPENDENCYPART_ARC
(6,19),-0.746084 # DEPENDENCYPART_ARC
(6,21),-1.4113 # DEPENDENCYPART_ARC
(6,22),-2.36381 # DEPENDENCYPART_ARC
(6,24),-2.57189 # DEPENDENCYPART_ARC
(6,25),-1.57877 # DEPENDENCYPART_ARC
(6,26),-1.12291 # DEPENDENCYPART_ARC
(6,27),-3.06157 # DEPENDENCYPART_ARC
(6,28),-0.596007 # DEPENDENCYPART_ARC
(7,3),-2.75401 # DEPENDENCYPART_ARC
(7,8),-1.40701 # DEPENDENCYPART_ARC
(7,9),1.81218 # DEPENDENCYPART_ARC
(7,10),-1.34051 # DEPENDENCYPART_ARC
(7,12),-0.790548 # DEPENDENCYPART_ARC
(7,13),-1.99754 # DEPENDENCYPART_ARC
(7,16),-1.50626 # DEPENDENCYPART_ARC
(7,19),-2.57895 # DEPENDENCYPART_ARC
(7,21),-1.59515 # DEPENDENCYPART_ARC
(8,7),-1.14034 # DEPENDENCYPART_ARC
(8,9),-0.308872 # DEPENDENCYPART_ARC
(8,10),-0.875975 # DEPENDENCYPART_ARC
(8,13),-1.27753 # DEPENDENCYPART_ARC
(9,1),-1.97164 # DEPENDENCYPART_ARC
(9,2),-3.13481 # DEPENDENCYPART_ARC
(9,3),-2.46904 # DEPENDENCYPART_ARC
(9,7),-0.945666 # DEPENDENCYPART_ARC
(9,8),1.53773 # DEPENDENCYPART_ARC
(9,10),-0.199977 # DEPENDENCYPART_ARC
(9,12),-1.02767 # DEPENDENCYPART_ARC
(9,13),-0.724713 # DEPENDENCYPART_ARC
(9,15),-1.73844 # DEPENDENCYPART_ARC
(9,16),-0.457184 # DEPENDENCYPART_ARC
(9,18),-1.96186 # DEPENDENCYPART_ARC
(9,19),-1.05277 # DEPENDENCYPART_ARC
(9,22),-1.87501 # DEPENDENCYPART_ARC
(9,24),-2.07606 # DEPENDENCYPART_ARC
(9,26),-1.04508 # DEPENDENCYPART_ARC
(9,27),-3.85321 # DEPENDENCYPART_ARC
(9,28),-3.15627 # DEPENDENCYPART_ARC
(10,8),-2.20274 # DEPENDENCYPART_ARC
(10,11),-0.974068 # DEPENDENCYPART_ARC
(10,12),1.69888 # DEPENDENCYPART_ARC
(10,13),-1.81334 # DEPENDENCYPART_ARC
(10,15),-0.394029 # DEPENDENCYPART_ARC
(10,16),-1.1813 # DEPENDENCYPART_ARC
(10,19),-1.99378 # DEPENDENCYPART_ARC
(11,10),-1.18202 # DEPENDENCYPART_ARC
(11,13),-1.0753 # DEPENDENCYPART_ARC
(11,14),-0.966986 # DEPENDENCYPART_ARC
(12,1),-2.04713 # DEPENDENCYPART_ARC
(12,2),-2.42451 # DEPENDENCYPART_ARC
(12,7),-1.59838 # DEPENDENCYPART_ARC
(12,8),-3.19475 # DEPENDENCYPART_ARC
(12,10),-0.868585 # DEPENDENCYPART_ARC
(12,11),1.13771 # DEPENDENCYPART_ARC
(12,13),0.646523 # DEPENDENCYPART_ARC
(12,15),-0.526482 # DEPENDENCYPART_ARC
(12,16),-0.110275 # DEPENDENCYPART_ARC
(12,18),-1.01195 # DEPENDENCYPART_ARC
(12,19),-0.483072 # DEPENDENCYPART_ARC
(12,20),-2.12684 # DEPENDENCYPART_ARC
(12,21),-1.1386 # DEPENDENCYPART_ARC
(12,22),-1.07628 # DEPENDENCYPART_ARC
(12,23),-1.63371 # DEPENDENCYPART_ARC
(12,24),-1.35328 # DEPENDENCYPART_ARC
(12,25),-1.78356 # DEPENDENCYPART_ARC
(12,26),-0.981521 # DEPENDENCYPART_ARC
(12,27),-3.07268 # DEPENDENCYPART_ARC
(12,28),-2.12266 # DEPENDENCYPART_ARC
(13,11),-2.18709 # DEPENDENCYPART_ARC
(13,15),1.86412 # DEPENDENCYPART_ARC
(13,16),-1.06952 # DEPENDENCYPART_ARC
(13,18),-0.747215 # DEPENDENCYPART_ARC
(14,13),-1.33654 # DEPENDENCYPART_ARC
(14,15),-0.834194 # DEPENDENCYPART_ARC
(14,16),-1.45597 # DEPENDENCYPART_ARC
(14,17),-1.45817 # DEPENDENCYPART_ARC
(15,2),-2.97323 # DEPENDENCYPART_ARC
(15,7),-2.29966 # DEPENDENCYPART_ARC
(15,8),-4.62739 # DEPENDENCYPART_ARC
(15,10),-2.28097 # DEPENDENCYPART_ARC
(15,11),-2.38583 # DEPENDENCYPART_ARC
(15,13),-1.48583 # DEPENDENCYPART_ARC
(15,14),1.48725 # DEPENDENCYPART_ARC
(15,16),0.507932 # DEPENDENCYPART_ARC
(15,18),-0.111581 # DEPENDENCYPART_ARC
(15,19),-0.15671 # DEPENDENCYPART_ARC
(15,20),-1.3796 # DEPENDENCYPART_ARC
(15,21),-1.17427 # DEPENDENCYPART_ARC
(15,22),-1.09514 # DEPENDENCYPART_ARC
(15,23),-1.61351 # DEPENDENCYPART_ARC
(15,24),-1.24588 # DEPENDENCYPART_ARC
(15,25),-1.74083 # DEPENDENCYPART_ARC
(15,26),-0.425107 # DEPENDENCYPART_ARC
(15,27),-2.38268 # DEPENDENCYPART_ARC
(15,28),-2.09289 # DEPENDENCYPART_ARC
(17,16),-1.04704 # DEPENDENCYPART_ARC
(17,18),-0.796508 # DEPENDENCYPART_ARC
(17,19),-1.37897 # DEPENDENCYPART_ARC
(18,2),-3.13138 # DEPENDENCYPART_ARC
(18,13),-2.34638 # DEPENDENCYPART_ARC
(18,14),-2.16127 # DEPENDENCYPART_ARC
(18,16),-1.17217 # DEPENDENCYPART_ARC
(18,17),1.85092 # DEPENDENCYPART_ARC
(18,19),0.704528 # DEPENDENCYPART_ARC
(18,20),-0.797 # DEPENDENCYPART_ARC
(18,21),-0.95385 # DEPENDENCYPART_ARC
(18,22),-0.392735 # DEPENDENCYPART_ARC
(18,23),-1.46882 # DEPENDENCYPART_ARC
(18,24),-0.709114 # DEPENDENCYPART_ARC
(18,25),-1.39018 # DEPENDENCYPART_ARC
(18,26),-0.464882 # DEPENDENCYPART_ARC
(18,27),-1.79558 # DEPENDENCYPART_ARC
(18,28),-1.77376 # DEPENDENCYPART_ARC
(19,17),-1.72734 # DEPENDENCYPART_ARC
(19,18),-1.10507 # DEPENDENCYPART_ARC
(19,20),1.9348 # DEPENDENCYPART_ARC
(19,21),-0.926402 # DEPENDENCYPART_ARC
(19,22),-1.72379 # DEPENDENCYPART_ARC
(19,24),-2.82371 # DEPENDENCYPART_ARC
(20,17),-2.91833 # DEPENDENCYPART_ARC
(20,18),-2.26617 # DEPENDENCYPART_ARC
(20,21),-0.517358 # DEPENDENCYPART_ARC
(20,22),-0.288364 # DEPENDENCYPART_ARC
(20,23),-0.707108 # DEPENDENCYPART_ARC
(20,24),-0.899282 # DEPENDENCYPART_ARC
(20,25),-1.84419 # DEPENDENCYPART_ARC
(20,26),-0.0153134 # DEPENDENCYPART_ARC
(20,27),-0.954586 # DEPENDENCYPART_ARC
(20,28),-2.05249 # DEPENDENCYPART_ARC
(22,19),-2.06863 # DEPENDENCYPART_ARC
(22,21),0.254143 # DEPENDENCYPART_ARC
(22,23),-0.305452 # DEPENDENCYPART_ARC
(22,24),-0.397195 # DEPENDENCYPART_ARC
(22,25),-0.495025 # DEPENDENCYPART_ARC
(22,26),-0.160748 # DEPENDENCYPART_ARC
(22,27),-1.28757 # DEPENDENCYPART_ARC
(22,28),-1.17715 # DEPENDENCYPART_ARC
(23,25),-1.88028 # DEPENDENCYPART_ARC
(24,2),-2.87994 # DEPENDENCYPART_ARC
(24,18),-1.99529 # DEPENDENCYPART_ARC
(24,19),-1.55398 # DEPENDENCYPART_ARC
(24,21),-1.08879 # DEPENDENCYPART_ARC
(24,22),-1.13778 # DEPENDENCYPART_ARC
(24,23),1.68951 # DEPENDENCYPART_ARC
(24,25),0.584562 # DEPENDENCYPART_ARC
(24,26),-0.771059 # DEPENDENCYPART_ARC
(24,27),-1.34861 # DEPENDENCYPART_ARC
(24,28),-1.43818 # DEPENDENCYPART_ARC
(25,26),-0.899143 # DEPENDENCYPART_ARC
(26,27),-1.51805 # DEPENDENCYPART_ARC
(27,23),-2.40161 # DEPENDENCYPART_ARC
(27,25),-1.39561 # DEPENDENCYPART_ARC
(27,26),-1.1994 # DEPENDENCYPART_ARC
(27,28),-1.08623 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0347723 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.407582 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.397934 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.335132 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.320916 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.940762 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0826337 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0249666 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00976159 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0501001 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0201037 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0817511 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0387762 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0923211 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0768908 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0372722 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.19869 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0316837 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0079205 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0133352 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0300978 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0632541 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.19869 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.259504 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0221964 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00773201 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0672448 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0358377 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0706607 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0695458 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.00443114 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0983601 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0475315 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.070261 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.032242 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0670797 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0591496 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0625856 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.086958 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0234712 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.104189 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0875936 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.125228 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0440113 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.214313 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.130601 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0344814 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.132898 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.0943573 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0998629 # DEPENDENCYPART_SIBL
(2,18),(2,25),0.0917323 # DEPENDENCYPART_SIBL
(2,21),(2,25),-0.00443114 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0374352 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.29667 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.252884 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.078641 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.143938 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.143373 # DEPENDENCYPART_SIBL
(5,1),(5,28),-0.002971 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.187436 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.126091 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0236989 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.12089 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.153059 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.0745078 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.057568 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.10016 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.412278 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.378817 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.244629 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0303606 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.428042 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.403967 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.234462 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0400605 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0264234 # DEPENDENCYPART_SIBL
(5,6),(5,28),0.00487751 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.131077 # DEPENDENCYPART_SIBL
(5,7),(5,28),0.150278 # DEPENDENCYPART_SIBL
(5,10),(5,28),0.149199 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0422685 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.302164 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.247293 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0154424 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0205298 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0858184 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00922368 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0651646 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0211111 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0921169 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0658526 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0973925 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00922368 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0311629 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0783338 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0783338 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0207936 # DEPENDENCYPART_SIBL
(6,1),(6,26),-0.0658526 # DEPENDENCYPART_SIBL
(6,1),(6,27),-0.0710197 # DEPENDENCYPART_SIBL
(6,1),(6,28),-0.105408 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.188019 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.118177 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0118183 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0159302 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0210517 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0206933 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0167896 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0379452 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0422865 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00518287 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0454164 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0206933 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0212449 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0266119 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0266119 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.00361448 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.00518287 # DEPENDENCYPART_SIBL
(6,2),(6,27),-0.0193175 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.00126407 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0661796 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.185191 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.135535 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.110442 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0723339 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0227586 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0353244 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0129338 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.013374 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0112237 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0723339 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.204308 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0151712 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0151712 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.0344873 # DEPENDENCYPART_SIBL
(6,3),(6,26),-0.013374 # DEPENDENCYPART_SIBL
(6,3),(6,27),0.0118881 # DEPENDENCYPART_SIBL
(6,3),(6,28),-0.466361 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.451441 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.224083 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.13894 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.158069 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.200668 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.11363 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.232624 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0637563 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.251772 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.158069 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.062143 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.210073 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.210073 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.111278 # DEPENDENCYPART_SIBL
(6,4),(6,26),0.0637563 # DEPENDENCYPART_SIBL
(6,4),(6,27),-0.202901 # DEPENDENCYPART_SIBL
(6,4),(6,28),0.112643 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.224773 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0878432 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.106776 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0269607 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0044352 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0145688 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.141431 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0141336 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.106776 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0608774 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.00462623 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.00462623 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.112053 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.141431 # DEPENDENCYPART_SIBL
(6,5),(6,27),0.0119395 # DEPENDENCYPART_SIBL
(6,5),(6,28),0.31322 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0417631 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0386364 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0469264 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0591143 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0675268 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0495676 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.026361 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0386364 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0873077 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0450645 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0450645 # DEPENDENCYPART_SIBL
(6,7),(6,25),0.0348994 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.0495676 # DEPENDENCYPART_SIBL
(6,7),(6,27),0.0461547 # DEPENDENCYPART_SIBL
(6,7),(6,28),0.0475665 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0605729 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.117829 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0565359 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0933563 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0303013 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.123704 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0605729 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0662997 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.116538 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.116538 # DEPENDENCYPART_SIBL
(6,9),(6,25),0.0689262 # DEPENDENCYPART_SIBL
(6,9),(6,26),0.0303013 # DEPENDENCYPART_SIBL
(6,9),(6,27),-0.104087 # DEPENDENCYPART_SIBL
(6,9),(6,28),-0.000650745 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0265414 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0430646 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.047192 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0132489 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.00613442 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0139104 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.00911144 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0248959 # DEPENDENCYPART_SIBL
(6,10),(6,24),0.0248959 # DEPENDENCYPART_SIBL
(6,10),(6,25),0.00904833 # DEPENDENCYPART_SIBL
(6,10),(6,26),0.0132489 # DEPENDENCYPART_SIBL
(6,10),(6,27),0.0259611 # DEPENDENCYPART_SIBL
(6,10),(6,28),0.0371026 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0267401 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.211945 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.00803873 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.242282 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0983257 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0186481 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.235116 # DEPENDENCYPART_SIBL
(6,12),(6,24),-0.235116 # DEPENDENCYPART_SIBL
(6,12),(6,25),0.0274389 # DEPENDENCYPART_SIBL
(6,12),(6,26),-0.00803873 # DEPENDENCYPART_SIBL
(6,12),(6,27),-0.222665 # DEPENDENCYPART_SIBL
(6,12),(6,28),-0.00700984 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0313477 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.00909403 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0719604 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0237776 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0610348 # DEPENDENCYPART_SIBL
(6,13),(6,22),-0.0520148 # DEPENDENCYPART_SIBL
(6,13),(6,24),-0.0520148 # DEPENDENCYPART_SIBL
(6,13),(6,25),-0.0402532 # DEPENDENCYPART_SIBL
(6,13),(6,26),-0.00909403 # DEPENDENCYPART_SIBL
(6,13),(6,27),-0.0549527 # DEPENDENCYPART_SIBL
(6,13),(6,28),-0.00680764 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.00896988 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.250142 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0851517 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0334675 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.242463 # DEPENDENCYPART_SIBL
(6,15),(6,24),-0.242463 # DEPENDENCYPART_SIBL
(6,15),(6,25),0.0174798 # DEPENDENCYPART_SIBL
(6,15),(6,26),-0.00896988 # DEPENDENCYPART_SIBL
(6,15),(6,27),-0.230011 # DEPENDENCYPART_SIBL
(6,15),(6,28),-0.0163798 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.201653 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.0676094 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0576914 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.201961 # DEPENDENCYPART_SIBL
(6,16),(6,24),0.201961 # DEPENDENCYPART_SIBL
(6,16),(6,25),-0.0247591 # DEPENDENCYPART_SIBL
(6,16),(6,26),-0.420003 # DEPENDENCYPART_SIBL
