# _root_ La construcció d' un edifici de Presidència a les cases Moxó i Morell , de les quals només es conservaran les façanes , haurà de respectar in_situ les restes .
#goldHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,22,17,15,20,20,10,22,20,20,26,26,0,26,29,26,26,
#predictedHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,20,17,15,20,20,5,22,20,20,26,26,0,26,29,26,26,
(26,2),-1.68773 # DEPENDENCYPART_ARC
(26,3),-2.71345 # DEPENDENCYPART_ARC
(26,5),-1.75635 # DEPENDENCYPART_ARC
(26,8),-2.12104 # DEPENDENCYPART_ARC
(26,10),-1.50763 # DEPENDENCYPART_ARC
(26,11),-1.91117 # DEPENDENCYPART_ARC
(26,13),-1.95568 # DEPENDENCYPART_ARC
(26,14),-1.19269 # DEPENDENCYPART_ARC
(26,15),-1.75027 # DEPENDENCYPART_ARC
(26,16),-1.9908 # DEPENDENCYPART_ARC
(26,17),-2.02339 # DEPENDENCYPART_ARC
(26,18),-1.09585 # DEPENDENCYPART_ARC
(26,20),-0.0973827 # DEPENDENCYPART_ARC
(26,21),-1.59451 # DEPENDENCYPART_ARC
(26,22),-0.405693 # DEPENDENCYPART_ARC
(26,23),-0.885279 # DEPENDENCYPART_ARC
(26,24),2.74321 # DEPENDENCYPART_ARC
(26,25),1.32207 # DEPENDENCYPART_ARC
(26,27),0.856131 # DEPENDENCYPART_ARC
(26,29),0.756061 # DEPENDENCYPART_ARC
(26,30),-0.802878 # DEPENDENCYPART_ARC
(27,25),-1.97433 # DEPENDENCYPART_ARC
(27,29),-1.00448 # DEPENDENCYPART_ARC
(28,25),-2.30505 # DEPENDENCYPART_ARC
(28,27),-0.944748 # DEPENDENCYPART_ARC
(29,24),-2.4809 # DEPENDENCYPART_ARC
(29,25),-2.49026 # DEPENDENCYPART_ARC
(29,27),-0.717286 # DEPENDENCYPART_ARC
(29,28),2.22144 # DEPENDENCYPART_ARC
(29,30),-0.967713 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0529994 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.420229 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.423954 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.420543 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.408951 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.413582 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.420453 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.935651 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.936437 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.939773 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.560957 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.521268 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.376915 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.154296 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.124356 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.077482 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.141123 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0754861 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0872373 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0710303 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0763047 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0362129 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0763047 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0219711 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.141123 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.11817 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0728216 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0759549 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0219711 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0405164 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0632328 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.0763697 # DEPENDENCYPART_SIBL
(2,1),(2,30),0.00511151 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.000558232 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0395043 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0459075 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0279883 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.139908 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0305111 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.027422 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0343483 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0274476 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.000351974 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0459075 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0188188 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.00845549 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0276235 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.000351974 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0284298 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.0176046 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.00934452 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.0026678 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.022688 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.120343 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0172518 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0818243 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0194457 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0170641 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0722206 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0170727 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.109657 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.120343 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0660238 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0360929 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0171556 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.109657 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0603266 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.0433716 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.0114009 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.0982148 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0370833 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.013265 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.026182 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00904573 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0134512 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0677992 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0134426 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.059945 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0370833 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0505191 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0258583 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0133296 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.059945 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.00568499 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0182722 # DEPENDENCYPART_SIBL
(2,5),(2,29),0.023185 # DEPENDENCYPART_SIBL
(2,5),(2,30),0.010345 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0223564 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0571145 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0252055 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0215372 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00137117 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0215628 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0361906 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0440361 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.040928 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.000339991 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0218078 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0361906 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0506831 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0333359 # DEPENDENCYPART_SIBL
(2,6),(2,29),-0.0100402 # DEPENDENCYPART_SIBL
(2,6),(2,30),-0.0185866 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0319039 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00714064 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00273518 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0244653 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00274372 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0143887 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0335839 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0366604 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0072523 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.00285673 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0143887 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0242909 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.000333775 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.00699862 # DEPENDENCYPART_SIBL
(2,7),(2,30),-0.0204289 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00869382 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0117616 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00207759 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.011736 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0186606 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0890686 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0419339 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.00606017 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0115711 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0186606 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0431889 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0321221 # DEPENDENCYPART_SIBL
(2,8),(2,29),0.0227799 # DEPENDENCYPART_SIBL
(2,8),(2,30),0.170798 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00516684 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0193375 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00517538 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.029888 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0275827 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0389014 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0102643 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.00528839 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.029888 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0212789 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.00267823 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.00456696 # DEPENDENCYPART_SIBL
(2,10),(2,30),-0.0130952 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0259262 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0023757 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.030326 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0343556 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0402264 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0120845 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.00248872 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.030326 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.0194588 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.0044984 # DEPENDENCYPART_SIBL
(2,11),(2,29),0.00736664 # DEPENDENCYPART_SIBL
(2,11),(2,30),-0.0122166 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.49161 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0870473 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.187773 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0773706 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0605869 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.491524 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.0870473 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0191851 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.0526225 # DEPENDENCYPART_SIBL
(2,12),(2,29),0.49363 # DEPENDENCYPART_SIBL
(2,12),(2,30),-0.058239 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0303089 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0343043 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0402094 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0120674 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.00250579 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0303089 # DEPENDENCYPART_SIBL
(2,13),(2,24),-0.0194758 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.00448132 # DEPENDENCYPART_SIBL
(2,13),(2,29),0.00734956 # DEPENDENCYPART_SIBL
(2,13),(2,30),-0.0122337 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0929091 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0165887 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0562704 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.338299 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0217984 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0761608 # DEPENDENCYPART_SIBL
(2,14),(2,26),-0.0644336 # DEPENDENCYPART_SIBL
(2,14),(2,29),0.367919 # DEPENDENCYPART_SIBL
(2,14),(2,30),-0.0169415 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.040928 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.000339991 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0218078 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0361906 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.0506831 # DEPENDENCYPART_SIBL
(2,15),(2,26),-0.0333359 # DEPENDENCYPART_SIBL
(2,15),(2,29),-0.0100402 # DEPENDENCYPART_SIBL
(2,15),(2,30),-0.0185866 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.0460273 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.0422746 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.00595139 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.0726003 # DEPENDENCYPART_SIBL
(2,18),(2,26),-0.05477 # DEPENDENCYPART_SIBL
(2,18),(2,29),-0.0423706 # DEPENDENCYPART_SIBL
(2,18),(2,30),0.0650646 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.00921884 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.0482801 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.0852589 # DEPENDENCYPART_SIBL
(2,20),(2,26),-0.06985 # DEPENDENCYPART_SIBL
(2,20),(2,29),-0.0035553 # DEPENDENCYPART_SIBL
(2,20),(2,30),0.020323 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.0280251 # DEPENDENCYPART_SIBL
(2,22),(2,24),-0.0197177 # DEPENDENCYPART_SIBL
(2,22),(2,26),0.00423943 # DEPENDENCYPART_SIBL
(2,22),(2,29),0.00332906 # DEPENDENCYPART_SIBL
(2,22),(2,30),-0.0144251 # DEPENDENCYPART_SIBL
(2,23),(2,24),-0.0761608 # DEPENDENCYPART_SIBL
(2,23),(2,26),-0.0644336 # DEPENDENCYPART_SIBL
(2,23),(2,29),0.367919 # DEPENDENCYPART_SIBL
(2,23),(2,30),-0.0169415 # DEPENDENCYPART_SIBL
(2,24),(2,26),-0.074033 # DEPENDENCYPART_SIBL
(2,24),(2,29),-0.00717958 # DEPENDENCYPART_SIBL
(2,24),(2,30),-0.00142037 # DEPENDENCYPART_SIBL
(2,26),(2,29),-0.0016294 # DEPENDENCYPART_SIBL
(2,26),(2,30),0.0159494 # DEPENDENCYPART_SIBL
(2,29),(2,30),-0.0146123 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.369206 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.131053 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.143098 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.103266 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.133685 # DEPENDENCYPART_SIBL
