# _root_ A_més_a_més_de presó , reclama la clausura de l' empresa durant dos anys , la inhabilitació durant cinc anys per exercir com_a industrial i una multa .
#goldHeads=4,1,1,0,6,4,6,9,7,6,12,10,6,15,6,15,18,16,15,19,20,21,6,25,6,4,
#predictedHeads=4,1,1,0,6,4,6,9,7,4,12,10,6,15,6,15,18,16,4,19,20,21,6,25,6,4,
(6,20),-0.930214 # DEPENDENCYPART_ARC
(6,21),-1.14516 # DEPENDENCYPART_ARC
(6,23),-0.581344 # DEPENDENCYPART_ARC
(6,25),-2.18026 # DEPENDENCYPART_ARC
(6,26),-2.45532 # DEPENDENCYPART_ARC
(7,1),-2.02881 # DEPENDENCYPART_ARC
(7,3),-2.34577 # DEPENDENCYPART_ARC
(7,5),-1.88227 # DEPENDENCYPART_ARC
(7,9),1.98439 # DEPENDENCYPART_ARC
(7,10),-1.7902 # DEPENDENCYPART_ARC
(7,12),-0.157263 # DEPENDENCYPART_ARC
(7,13),-1.49474 # DEPENDENCYPART_ARC
(8,7),-0.933325 # DEPENDENCYPART_ARC
(8,9),-0.367628 # DEPENDENCYPART_ARC
(8,10),-1.23787 # DEPENDENCYPART_ARC
(8,11),-0.714326 # DEPENDENCYPART_ARC
(9,1),-2.35725 # DEPENDENCYPART_ARC
(9,3),-1.89113 # DEPENDENCYPART_ARC
(9,5),-1.85991 # DEPENDENCYPART_ARC
(9,7),-1.42223 # DEPENDENCYPART_ARC
(9,8),1.10226 # DEPENDENCYPART_ARC
(9,10),0.0659997 # DEPENDENCYPART_ARC
(9,12),-1.01593 # DEPENDENCYPART_ARC
(9,13),-0.956453 # DEPENDENCYPART_ARC
(9,15),-0.937122 # DEPENDENCYPART_ARC
(9,16),-0.889706 # DEPENDENCYPART_ARC
(9,18),-1.90938 # DEPENDENCYPART_ARC
(9,19),-0.97298 # DEPENDENCYPART_ARC
(9,20),-1.34127 # DEPENDENCYPART_ARC
(9,21),-1.5631 # DEPENDENCYPART_ARC
(9,23),-1.1714 # DEPENDENCYPART_ARC
(9,25),-2.42585 # DEPENDENCYPART_ARC
(9,26),-2.84596 # DEPENDENCYPART_ARC
(10,8),-2.33386 # DEPENDENCYPART_ARC
(10,11),-1.32753 # DEPENDENCYPART_ARC
(10,12),2.24587 # DEPENDENCYPART_ARC
(10,13),-0.95749 # DEPENDENCYPART_ARC
(10,15),-0.583102 # DEPENDENCYPART_ARC
(10,16),-2.25914 # DEPENDENCYPART_ARC
(10,19),-2.64879 # DEPENDENCYPART_ARC
(11,10),-1.20858 # DEPENDENCYPART_ARC
(11,12),-1.02886 # DEPENDENCYPART_ARC
(12,1),-2.19499 # DEPENDENCYPART_ARC
(12,3),-2.72521 # DEPENDENCYPART_ARC
(12,7),-1.96445 # DEPENDENCYPART_ARC
(12,8),-2.80181 # DEPENDENCYPART_ARC
(12,11),1.52812 # DEPENDENCYPART_ARC
(12,13),-0.774948 # DEPENDENCYPART_ARC
(12,15),-1.25271 # DEPENDENCYPART_ARC
(12,16),-0.96862 # DEPENDENCYPART_ARC
(12,18),-0.929881 # DEPENDENCYPART_ARC
(12,19),-1.23373 # DEPENDENCYPART_ARC
(12,20),-1.45057 # DEPENDENCYPART_ARC
(12,23),-0.671353 # DEPENDENCYPART_ARC
(12,25),-2.37924 # DEPENDENCYPART_ARC
(14,15),-0.789616 # DEPENDENCYPART_ARC
(14,16),-1.28815 # DEPENDENCYPART_ARC
(14,17),-1.45639 # DEPENDENCYPART_ARC
(15,1),-2.42088 # DEPENDENCYPART_ARC
(15,3),-2.38305 # DEPENDENCYPART_ARC
(15,7),-2.07117 # DEPENDENCYPART_ARC
(15,10),-2.16152 # DEPENDENCYPART_ARC
(15,11),-3.31627 # DEPENDENCYPART_ARC
(15,13),-0.47864 # DEPENDENCYPART_ARC
(15,14),2.11326 # DEPENDENCYPART_ARC
(15,16),0.266129 # DEPENDENCYPART_ARC
(15,18),-0.808296 # DEPENDENCYPART_ARC
(15,19),-0.255061 # DEPENDENCYPART_ARC
(15,20),-1.12842 # DEPENDENCYPART_ARC
(15,21),-1.20359 # DEPENDENCYPART_ARC
(15,23),-0.880535 # DEPENDENCYPART_ARC
(15,25),-1.72602 # DEPENDENCYPART_ARC
(15,26),-2.07145 # DEPENDENCYPART_ARC
(16,13),-1.7787 # DEPENDENCYPART_ARC
(16,14),-1.92443 # DEPENDENCYPART_ARC
(16,15),-1.45636 # DEPENDENCYPART_ARC
(16,17),-0.948171 # DEPENDENCYPART_ARC
(16,18),1.82668 # DEPENDENCYPART_ARC
(16,19),-1.88551 # DEPENDENCYPART_ARC
(16,20),-0.62209 # DEPENDENCYPART_ARC
(16,21),-1.81324 # DEPENDENCYPART_ARC
(17,18),-0.305542 # DEPENDENCYPART_ARC
(17,19),-1.02976 # DEPENDENCYPART_ARC
(18,1),-2.27805 # DEPENDENCYPART_ARC
(18,7),-1.87648 # DEPENDENCYPART_ARC
(18,10),-1.94769 # DEPENDENCYPART_ARC
(18,13),-2.13723 # DEPENDENCYPART_ARC
(18,14),-2.35525 # DEPENDENCYPART_ARC
(18,15),-2.74884 # DEPENDENCYPART_ARC
(18,16),-1.10425 # DEPENDENCYPART_ARC
(18,17),0.583401 # DEPENDENCYPART_ARC
(18,19),0.155584 # DEPENDENCYPART_ARC
(18,20),-1.30143 # DEPENDENCYPART_ARC
(18,21),-1.34798 # DEPENDENCYPART_ARC
(18,25),-2.25436 # DEPENDENCYPART_ARC
(19,17),-2.35413 # DEPENDENCYPART_ARC
(19,20),2.22705 # DEPENDENCYPART_ARC
(19,21),-0.64073 # DEPENDENCYPART_ARC
(19,22),-1.17174 # DEPENDENCYPART_ARC
(19,23),-1.17476 # DEPENDENCYPART_ARC
(19,26),-1.51171 # DEPENDENCYPART_ARC
(20,1),-1.85323 # DEPENDENCYPART_ARC
(20,6),-2.68986 # DEPENDENCYPART_ARC
(20,10),-2.59742 # DEPENDENCYPART_ARC
(20,15),-2.29108 # DEPENDENCYPART_ARC
(20,16),-2.13425 # DEPENDENCYPART_ARC
(20,18),-1.24899 # DEPENDENCYPART_ARC
(20,19),-1.23395 # DEPENDENCYPART_ARC
(20,21),1.22371 # DEPENDENCYPART_ARC
(20,22),-0.0651593 # DEPENDENCYPART_ARC
(20,23),-0.803448 # DEPENDENCYPART_ARC
(20,25),-0.732825 # DEPENDENCYPART_ARC
(20,26),-0.895739 # DEPENDENCYPART_ARC
(21,22),2.72407 # DEPENDENCYPART_ARC
(21,23),-0.855887 # DEPENDENCYPART_ARC
(21,25),-0.921749 # DEPENDENCYPART_ARC
(22,21),-0.984108 # DEPENDENCYPART_ARC
(22,23),-0.249389 # DEPENDENCYPART_ARC
(22,24),-1.62449 # DEPENDENCYPART_ARC
(22,25),-0.651503 # DEPENDENCYPART_ARC
(22,26),-1.58965 # DEPENDENCYPART_ARC
(25,16),-2.39236 # DEPENDENCYPART_ARC
(25,21),-2.27185 # DEPENDENCYPART_ARC
(25,23),-1.0085 # DEPENDENCYPART_ARC
(25,24),2.0772 # DEPENDENCYPART_ARC
(25,26),-0.930463 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.386699 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.138658 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.39742 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.138658 # DEPENDENCYPART_SIBL
(1,2),(1,26),0.0609224 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0715156 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.314525 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.0610182 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.100428 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.102207 # DEPENDENCYPART_SIBL
(1,13),(1,26),-0.0610182 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00717957 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0116767 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0594928 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0148663 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0253702 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0619423 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.08082 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0516709 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0424154 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.365453 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0255008 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.167286 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.365343 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.399709 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.00291349 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0239252 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0605128 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0974363 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0239214 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0420104 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0436396 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.063945 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0488663 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00599889 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0173073 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.00973465 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0662557 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0205029 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.104789 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0174545 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0516016 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.111949 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.140041 # DEPENDENCYPART_SIBL
(2,15),(2,25),0.0172891 # DEPENDENCYPART_SIBL
(2,15),(2,26),-0.0080217 # DEPENDENCYPART_SIBL
(2,25),(2,26),-0.0128216 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0345534 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.27161 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0366438 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0297562 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0157881 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0818568 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0400096 # DEPENDENCYPART_SIBL
(4,1),(4,13),-4.9595e-06 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0486439 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0818568 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0400096 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0234385 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0910708 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.012416 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0736428 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0603192 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0525734 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.481817 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0131582 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00186041 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0259034 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0648045 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00475155 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00259376 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00319403 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0648045 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00475155 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0542192 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0508084 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0101602 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0717765 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0020018 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0491001 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00789862 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0302449 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0571137 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0699339 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0941485 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.220259 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00127296 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0699339 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0941485 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0390844 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0266298 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0658084 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0134077 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.00687074 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.467103 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.1011 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.2677 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00115125 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.339595 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0477496 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.269097 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00115125 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.339595 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0182526 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0188021 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0603697 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.020652 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.277845 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0579672 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0555364 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.152268 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.144834 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0353813 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0522982 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.152268 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.144834 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.228822 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.00212367 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.122196 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.022587 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0230986 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0173133 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0568923 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.345549 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0407168 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.275051 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0568923 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.345549 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0482356 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.033874 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.117502 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0311558 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.283798 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.0382643 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0411378 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.113383 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0451139 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0145946 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0411378 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0376224 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0448531 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0435233 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0815905 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0624447 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0374825 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0312446 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.152448 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.010802 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.219415 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.00632773 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.00571882 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0520799 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.0139149 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.160615 # DEPENDENCYPART_SIBL
(4,12),(4,26),-0.0535531 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0543455 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.102158 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.1779 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.261098 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0303246 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.157349 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.201161 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.05109 # DEPENDENCYPART_SIBL
(4,13),(4,26),-0.100169 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00485562 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.341905 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0309908 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0210773 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.0516407 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0232604 # DEPENDENCYPART_SIBL
(4,15),(4,25),-0.280156 # DEPENDENCYPART_SIBL
(4,15),(4,26),-0.0567587 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0411378 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0376224 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0448531 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0435233 # DEPENDENCYPART_SIBL
(4,16),(4,23),0.0815905 # DEPENDENCYPART_SIBL
(4,16),(4,25),0.0624447 # DEPENDENCYPART_SIBL
(4,16),(4,26),0.0374825 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.00632773 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.00571882 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.0520799 # DEPENDENCYPART_SIBL
(4,18),(4,23),0.0139149 # DEPENDENCYPART_SIBL
(4,18),(4,25),-0.160615 # DEPENDENCYPART_SIBL
(4,18),(4,26),-0.0535531 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0229297 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.0936971 # DEPENDENCYPART_SIBL
(4,19),(4,23),0.0385173 # DEPENDENCYPART_SIBL
(4,19),(4,25),0.028052 # DEPENDENCYPART_SIBL
(4,19),(4,26),0.0177811 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.00207787 # DEPENDENCYPART_SIBL
(4,20),(4,23),0.0654353 # DEPENDENCYPART_SIBL
(4,20),(4,25),0.0412649 # DEPENDENCYPART_SIBL
(4,20),(4,26),0.0419935 # DEPENDENCYPART_SIBL
(4,21),(4,23),0.0120458 # DEPENDENCYPART_SIBL
(4,21),(4,25),0.0750143 # DEPENDENCYPART_SIBL
(4,21),(4,26),0.0118475 # DEPENDENCYPART_SIBL
(4,23),(4,25),0.197427 # DEPENDENCYPART_SIBL
(4,23),(4,26),0.0218144 # DEPENDENCYPART_SIBL
(4,25),(4,26),-0.0749263 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.812569 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.584786 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.593409 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0582916 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0121738 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0052194 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.048 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00958346 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0422393 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0030479 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0606172 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00958346 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0422393 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00951414 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0177699 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.00375903 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0513649 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.0795223 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0552358 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0421201 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0275002 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0843094 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0282015 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0108165 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.33472 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0492016 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0282015 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0108165 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0198768 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.116242 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0333866 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.029737 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.04042 # DEPENDENCYPART_SIBL
(6,3),(6,26),-0.316268 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.160184 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0314452 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0838166 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0847676 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.053033 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0730711 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0838166 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0847676 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0575045 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0767591 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.00341742 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0230103 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.109004 # DEPENDENCYPART_SIBL
(6,5),(6,26),-0.0224078 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00360049 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0235403 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0621487 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0187474 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0111021 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0235403 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0621487 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0802585 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0216918 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0229051 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0174326 # DEPENDENCYPART_SIBL
(6,7),(6,25),0.0982677 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.00521226 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.126355 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00247923 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0721398 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.042146 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.126355 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.00247923 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.106598 # DEPENDENCYPART_SIBL
