# _root_ Una persona va morir a Barcelona i una altra a Tarragona , sense que hagi transcendit en quin hospital , perquè encara no s' ha formalitzat la denúncia .
#goldHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
#predictedHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
(8,10),-1.12839 # DEPENDENCYPART_ARC
(8,13),-1.884 # DEPENDENCYPART_ARC
(9,5),-1.75922 # DEPENDENCYPART_ARC
(9,6),-1.49243 # DEPENDENCYPART_ARC
(9,7),-1.14255 # DEPENDENCYPART_ARC
(9,8),1.01112 # DEPENDENCYPART_ARC
(9,10),0.546534 # DEPENDENCYPART_ARC
(9,11),-0.450052 # DEPENDENCYPART_ARC
(9,12),-0.544821 # DEPENDENCYPART_ARC
(9,13),-0.536813 # DEPENDENCYPART_ARC
(9,14),-0.880672 # DEPENDENCYPART_ARC
(9,15),-0.802972 # DEPENDENCYPART_ARC
(9,16),-1.68146 # DEPENDENCYPART_ARC
(9,17),-1.39315 # DEPENDENCYPART_ARC
(9,19),-1.87537 # DEPENDENCYPART_ARC
(9,20),-1.13189 # DEPENDENCYPART_ARC
(9,21),-1.1984 # DEPENDENCYPART_ARC
(9,26),-1.98704 # DEPENDENCYPART_ARC
(9,28),-1.9097 # DEPENDENCYPART_ARC
(9,29),-1.61786 # DEPENDENCYPART_ARC
(10,4),-2.24794 # DEPENDENCYPART_ARC
(10,7),-2.0853 # DEPENDENCYPART_ARC
(10,8),-1.75098 # DEPENDENCYPART_ARC
(10,9),-1.81541 # DEPENDENCYPART_ARC
(10,11),2.29829 # DEPENDENCYPART_ARC
(10,12),-0.598107 # DEPENDENCYPART_ARC
(10,13),-1.32467 # DEPENDENCYPART_ARC
(10,14),-2.02581 # DEPENDENCYPART_ARC
(10,15),-1.58508 # DEPENDENCYPART_ARC
(10,16),-1.52674 # DEPENDENCYPART_ARC
(11,10),-0.661802 # DEPENDENCYPART_ARC
(11,12),-1.27063 # DEPENDENCYPART_ARC
(11,13),-1.72245 # DEPENDENCYPART_ARC
(11,14),-1.90744 # DEPENDENCYPART_ARC
(11,15),-2.21185 # DEPENDENCYPART_ARC
(11,16),-2.57905 # DEPENDENCYPART_ARC
(13,4),-2.12529 # DEPENDENCYPART_ARC
(13,7),-2.11363 # DEPENDENCYPART_ARC
(13,10),-1.40999 # DEPENDENCYPART_ARC
(13,12),0.396583 # DEPENDENCYPART_ARC
(13,14),-0.879069 # DEPENDENCYPART_ARC
(13,15),-0.0924066 # DEPENDENCYPART_ARC
(13,16),-0.644932 # DEPENDENCYPART_ARC
(13,17),-2.22024 # DEPENDENCYPART_ARC
(13,20),-0.720862 # DEPENDENCYPART_ARC
(13,21),-1.93869 # DEPENDENCYPART_ARC
(13,22),-2.25715 # DEPENDENCYPART_ARC
(13,23),-2.45095 # DEPENDENCYPART_ARC
(13,26),-1.66018 # DEPENDENCYPART_ARC
(13,29),-1.43378 # DEPENDENCYPART_ARC
(14,13),-1.57443 # DEPENDENCYPART_ARC
(14,15),-1.348 # DEPENDENCYPART_ARC
(15,12),-2.87811 # DEPENDENCYPART_ARC
(15,14),-0.239871 # DEPENDENCYPART_ARC
(15,16),-0.276967 # DEPENDENCYPART_ARC
(15,17),-1.07713 # DEPENDENCYPART_ARC
(15,21),-2.20592 # DEPENDENCYPART_ARC
(15,25),-3.00234 # DEPENDENCYPART_ARC
(15,26),-2.58774 # DEPENDENCYPART_ARC
(15,29),-2.40808 # DEPENDENCYPART_ARC
(16,2),-2.68126 # DEPENDENCYPART_ARC
(16,3),-3.14108 # DEPENDENCYPART_ARC
(16,4),-1.30869 # DEPENDENCYPART_ARC
(16,5),-2.07713 # DEPENDENCYPART_ARC
(16,7),-1.7288 # DEPENDENCYPART_ARC
(16,9),-1.27685 # DEPENDENCYPART_ARC
(16,10),-1.18631 # DEPENDENCYPART_ARC
(16,11),-1.98294 # DEPENDENCYPART_ARC
(16,12),-1.01612 # DEPENDENCYPART_ARC
(16,13),-0.369695 # DEPENDENCYPART_ARC
(16,14),1.3667 # DEPENDENCYPART_ARC
(16,15),2.5179 # DEPENDENCYPART_ARC
(16,17),1.54589 # DEPENDENCYPART_ARC
(16,19),-0.376032 # DEPENDENCYPART_ARC
(16,20),-0.307805 # DEPENDENCYPART_ARC
(16,21),-1.10389 # DEPENDENCYPART_ARC
(16,22),-2.07774 # DEPENDENCYPART_ARC
(16,23),-1.81773 # DEPENDENCYPART_ARC
(16,25),-1.66092 # DEPENDENCYPART_ARC
(16,26),-0.865431 # DEPENDENCYPART_ARC
(16,28),-2.08776 # DEPENDENCYPART_ARC
(16,29),-0.585692 # DEPENDENCYPART_ARC
(17,19),1.94642 # DEPENDENCYPART_ARC
(17,20),-0.663907 # DEPENDENCYPART_ARC
(17,21),-1.26926 # DEPENDENCYPART_ARC
(17,22),-1.67034 # DEPENDENCYPART_ARC
(17,23),-2.02688 # DEPENDENCYPART_ARC
(17,26),-1.83606 # DEPENDENCYPART_ARC
(19,14),-2.38203 # DEPENDENCYPART_ARC
(19,15),-2.88852 # DEPENDENCYPART_ARC
(19,17),-0.969345 # DEPENDENCYPART_ARC
(19,18),1.1871 # DEPENDENCYPART_ARC
(19,20),-0.813859 # DEPENDENCYPART_ARC
(19,21),-1.71776 # DEPENDENCYPART_ARC
(19,22),-2.24282 # DEPENDENCYPART_ARC
(19,25),-1.59041 # DEPENDENCYPART_ARC
(19,26),-1.65428 # DEPENDENCYPART_ARC
(19,28),-2.38512 # DEPENDENCYPART_ARC
(21,20),-1.09922 # DEPENDENCYPART_ARC
(21,22),-1.39238 # DEPENDENCYPART_ARC
(21,26),-2.64499 # DEPENDENCYPART_ARC
(22,17),-1.9723 # DEPENDENCYPART_ARC
(22,20),-1.66961 # DEPENDENCYPART_ARC
(22,21),-0.966345 # DEPENDENCYPART_ARC
(22,23),-0.936315 # DEPENDENCYPART_ARC
(22,25),-1.65897 # DEPENDENCYPART_ARC
(25,14),-3.40871 # DEPENDENCYPART_ARC
(25,17),-3.12962 # DEPENDENCYPART_ARC
(25,20),-2.7123 # DEPENDENCYPART_ARC
(25,21),-2.06355 # DEPENDENCYPART_ARC
(25,22),-2.12461 # DEPENDENCYPART_ARC
(25,23),-1.36638 # DEPENDENCYPART_ARC
(25,24),-0.987394 # DEPENDENCYPART_ARC
(25,26),-0.29317 # DEPENDENCYPART_ARC
(25,28),-1.84507 # DEPENDENCYPART_ARC
(25,29),-2.51634 # DEPENDENCYPART_ARC
(26,2),-3.25661 # DEPENDENCYPART_ARC
(26,3),-4.02801 # DEPENDENCYPART_ARC
(26,4),-1.52778 # DEPENDENCYPART_ARC
(26,7),-2.28529 # DEPENDENCYPART_ARC
(26,9),-3.20237 # DEPENDENCYPART_ARC
(26,10),-2.15774 # DEPENDENCYPART_ARC
(26,12),-2.21021 # DEPENDENCYPART_ARC
(26,13),-1.69578 # DEPENDENCYPART_ARC
(26,14),-1.25833 # DEPENDENCYPART_ARC
(26,15),-1.03466 # DEPENDENCYPART_ARC
(26,16),-0.68973 # DEPENDENCYPART_ARC
(26,17),-1.12566 # DEPENDENCYPART_ARC
(26,19),-1.79259 # DEPENDENCYPART_ARC
(26,20),-0.663637 # DEPENDENCYPART_ARC
(26,21),0.0959355 # DEPENDENCYPART_ARC
(26,22),-0.182731 # DEPENDENCYPART_ARC
(26,23),0.439475 # DEPENDENCYPART_ARC
(26,24),0.888141 # DEPENDENCYPART_ARC
(26,25),3.24848 # DEPENDENCYPART_ARC
(26,28),0.669642 # DEPENDENCYPART_ARC
(26,29),-0.530281 # DEPENDENCYPART_ARC
(28,4),-2.36677 # DEPENDENCYPART_ARC
(28,17),-1.97532 # DEPENDENCYPART_ARC
(28,22),-1.34004 # DEPENDENCYPART_ARC
(28,25),-2.61355 # DEPENDENCYPART_ARC
(28,26),-1.51821 # DEPENDENCYPART_ARC
(28,27),1.98327 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.434333 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.417748 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.134703 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.4158 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.946697 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.244462 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.944579 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.243396 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.938744 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.398849 # DEPENDENCYPART_SIBL
(2,1),(2,3),-6.04012e-05 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.204754 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0525359 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0288 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.115945 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0816379 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0335436 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00657629 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0331109 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0707906 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0217253 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0622163 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.152569 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.690393 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0182455 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0864703 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.399173 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.209795 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.399173 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.106028 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.214979 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0329314 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0290243 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0329314 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0198429 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.00351493 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.116988 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0782808 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.105341 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.149199 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0008721 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.725036 # DEPENDENCYPART_SIBL
(3,7),(3,29),0.105037 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.105341 # DEPENDENCYPART_SIBL
(3,10),(3,29),0.149199 # DEPENDENCYPART_SIBL
(3,16),(3,29),0.00521653 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.119037 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.127603 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.057152 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0993196 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0160317 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.127603 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0382834 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0246359 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0857852 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0504663 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0507221 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0701269 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.10635 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0246359 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.000909365 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0460128 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0545439 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0702331 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.0159369 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.0616498 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0393893 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0942305 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.147217 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.029845 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0393893 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.068494 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0958681 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0965562 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0726027 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0176445 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0408672 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0568386 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0958681 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0387924 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0123513 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0129024 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0410668 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.0375266 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.323643 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0315432 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.070436 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0888992 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0285476 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0417378 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.121204 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.153527 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.040374 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.031089 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0735157 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0291253 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.121204 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0583051 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.100389 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0485902 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0742282 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.0527877 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.127713 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0106361 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.155982 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0159847 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.299989 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00134335 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.108393 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.143231 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.085419 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.044832 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0342855 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.00134335 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.142838 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0342519 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0620901 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0442721 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.299387 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.0141435 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.331694 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.111329 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.165312 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0303447 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0195034 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.242693 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.588398 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.653911 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0232304 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0303447 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.275797 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0115812 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.468308 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.653935 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.158532 # DEPENDENCYPART_SIBL
(4,7),(4,29),0.0356499 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0183881 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0257542 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0108313 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0291905 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0892805 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0820311 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0516558 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0142223 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0108313 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.103745 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.116619 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0876994 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.0516324 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.026469 # DEPENDENCYPART_SIBL
(4,9),(4,29),-0.0221728 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0417378 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.121204 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.153527 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.040374 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.031089 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0735157 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0291253 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.121204 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0583051 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.100389 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0485902 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0742282 # DEPENDENCYPART_SIBL
(4,10),(4,28),0.0527877 # DEPENDENCYPART_SIBL
(4,10),(4,29),0.127713 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.00875585 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.110082 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.167153 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0793717 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0387847 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0365344 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.00875585 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.166515 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0225577 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0560392 # DEPENDENCYPART_SIBL
(4,11),(4,26),-0.0382247 # DEPENDENCYPART_SIBL
(4,11),(4,28),-0.286105 # DEPENDENCYPART_SIBL
(4,11),(4,29),-0.0091946 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0908088 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0306498 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0156764 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0339305 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.16948 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0791728 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0294642 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0974448 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0267495 # DEPENDENCYPART_SIBL
(4,12),(4,26),0.0339545 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0813976 # DEPENDENCYPART_SIBL
(4,12),(4,29),-0.0511037 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.144372 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0888707 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0488486 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.118544 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0471779 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.167956 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0786223 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.0906219 # DEPENDENCYPART_SIBL
(4,13),(4,26),-0.0481535 # DEPENDENCYPART_SIBL
(4,13),(4,28),-0.0112591 # DEPENDENCYPART_SIBL
(4,13),(4,29),0.0429969 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0950952 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0384783 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.217919 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0995522 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.287395 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.11635 # DEPENDENCYPART_SIBL
(4,14),(4,25),-0.161575 # DEPENDENCYPART_SIBL
(4,14),(4,26),-0.0384548 # DEPENDENCYPART_SIBL
(4,14),(4,28),-0.141779 # DEPENDENCYPART_SIBL
(4,14),(4,29),-0.116753 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0317253 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0109219 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0134735 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.0896495 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0042934 # DEPENDENCYPART_SIBL
(4,15),(4,25),-0.0583531 # DEPENDENCYPART_SIBL
(4,15),(4,26),-0.0317019 # DEPENDENCYPART_SIBL
(4,15),(4,28),0.00236181 # DEPENDENCYPART_SIBL
(4,15),(4,29),0.0247998 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.000881359 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0382601 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0809419 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0094404 # DEPENDENCYPART_SIBL
(4,16),(4,25),-0.0530872 # DEPENDENCYPART_SIBL
(4,16),(4,26),-0.026436 # DEPENDENCYPART_SIBL
(4,16),(4,28),0.00171872 # DEPENDENCYPART_SIBL
(4,16),(4,29),0.0475556 # DEPENDENCYPART_SIBL
(4,17),(4,20),0.0720809 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.112758 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.0177506 # DEPENDENCYPART_SIBL
(4,17),(4,25),-0.0525175 # DEPENDENCYPART_SIBL
(4,17),(4,26),0.00637226 # DEPENDENCYPART_SIBL
(4,17),(4,28),0.0240685 # DEPENDENCYPART_SIBL
(4,17),(4,29),0.0460176 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.0294642 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.0974448 # DEPENDENCYPART_SIBL
(4,20),(4,25),-0.0267495 # DEPENDENCYPART_SIBL
(4,20),(4,26),0.0339545 # DEPENDENCYPART_SIBL
(4,20),(4,28),-0.0813976 # DEPENDENCYPART_SIBL
(4,20),(4,29),-0.0511037 # DEPENDENCYPART_SIBL
(4,21),(4,22),-0.0807713 # DEPENDENCYPART_SIBL
(4,21),(4,25),-0.144132 # DEPENDENCYPART_SIBL
(4,21),(4,26),-0.0202059 # DEPENDENCYPART_SIBL
(4,21),(4,28),-0.088157 # DEPENDENCYPART_SIBL
(4,21),(4,29),-0.134906 # DEPENDENCYPART_SIBL
(4,22),(4,25),-0.0811631 # DEPENDENCYPART_SIBL
(4,22),(4,26),-0.0385835 # DEPENDENCYPART_SIBL
