# _root_ El principal índex espanyol va acabar en 8.154,40 punts , després d' haver caigut durant la sessió per_sota dels 8.100 punts .
#goldHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,6,
#predictedHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,6,
(3,5),(3,11),-0.00220117 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0444587 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.103387 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0261903 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0631198 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0312216 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00420514 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0464466 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0720548 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0363361 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0178999 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0728141 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.00420514 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0325485 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0666284 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.10898 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0486057 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.109719 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0612445 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00431941 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0666284 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.151129 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0268433 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00996699 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00692336 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0227198 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.00041063 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.00206395 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0286692 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0261423 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0102308 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0206779 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0146624 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0114256 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.02733 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0575988 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0251409 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0456592 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.121676 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.00589454 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00469147 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0217166 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0265533 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.120174 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0076125 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0556355 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0117035 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.00859798 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0303852 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.0286692 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0741534 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0614462 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0217311 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.11924 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00528458 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00796055 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.164302 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0997415 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.32505 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0816985 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.245316 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.25037 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0156601 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0966165 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0756624 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0612174 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.060267 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0363503 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0201014 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00728713 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0147932 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0515343 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0666795 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.121395 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.000436687 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.0201835 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.119473 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.017434 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00794965 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0141771 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.107127 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00370952 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0399034 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.054738 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0283646 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00211314 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0708151 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0675268 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0419123 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.023977 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0484991 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0783445 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0766984 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0399034 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.054738 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.11397 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0229011 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0234252 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0252549 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0156442 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0141045 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0839175 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00204573 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0390525 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0470139 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0249934 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00339859 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0070004 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0780546 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0104358 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0634105 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0141045 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0839175 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.005522 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.164843 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.203719 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.155205 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0050164 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00649128 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0491587 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.156365 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0879871 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.045866 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0639576 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.150198 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0118325 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.119669 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0852344 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0050164 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.00649128 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0933638 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0250105 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.000923662 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0221339 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0896548 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0206535 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0303415 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0671871 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0305444 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00215245 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0149133 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0837919 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.00172464 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0808798 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0221339 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0896548 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0192069 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.121116 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0331682 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0597523 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.10508 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.131177 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0358451 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0229922 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0826889 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.208964 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0629487 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0844718 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00453944 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0331682 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0597523 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.325339 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0306676 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.05294 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0989477 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0701491 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0630814 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0260176 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.028574 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0050797 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0794649 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.00400856 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.131887 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0306676 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.05294 # DEPENDENCYPART_SIBL
