# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=14,1,1,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(1,5),(1,10),0.12227 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.186029 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.0490949 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0071451 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00814704 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0230472 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0200419 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0071451 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0747147 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0025237 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0381545 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.00499248 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0388268 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0451229 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0620492 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0429682 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0399055 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0295484 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0329142 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0542553 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.378574 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.054016 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.456072 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.000493226 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0577656 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0509013 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0597686 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0500098 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0672401 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0290213 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0640934 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0835656 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.041234 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0239788 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0661704 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0664174 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.012482 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0285834 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0145183 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0650743 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.125676 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.040728 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00710174 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.124734 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.00788759 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.12403 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0442847 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.00608574 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0329142 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0542553 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.378574 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.054016 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.456072 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.000493226 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0314827 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.00131694 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0288879 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0372451 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0801681 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0248529 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0629469 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0794078 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0226565 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0112922 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.051127 # DEPENDENCYPART_SIBL
(2,18),(2,24),0.0253078 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.0823914 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.0377691 # DEPENDENCYPART_SIBL
(2,22),(2,24),-0.00872718 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0301068 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.286311 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.114692 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0267077 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.118354 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0276531 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.068839 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0324964 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0073375 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0417909 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.017151 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.00849664 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0914697 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0396718 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.498983 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0278613 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0215164 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0301932 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0306381 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0420582 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0203045 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00208962 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00601523 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0309897 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00904639 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0623715 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0166891 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0799359 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0366841 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.040309 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0551936 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.269812 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0586323 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0194598 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.054825 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0291553 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0313009 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0149978 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.440184 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0288979 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.183034 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0171523 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.121463 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0156527 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0272149 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0350432 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0360384 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0411559 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.04178 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.027331 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.128916 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.246958 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0439302 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0267333 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.026467 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0293429 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.244598 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0251057 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.255633 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.00542087 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0469413 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00316805 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.085592 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0479613 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0820754 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.027288 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0590178 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0214839 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0740077 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.111962 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0113498 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0224117 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.124694 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.212427 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0237729 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.223463 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.0492632 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0619909 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0423608 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.209286 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0377892 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0342849 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0189919 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0731368 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0254534 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0204983 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.022418 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0280792 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0243533 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0104629 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.00292091 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0248286 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0336192 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.0273134 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.00973074 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0285834 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0161161 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0447939 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.0207819 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0184178 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.244446 # DEPENDENCYPART_SIBL
(4,18),(4,24),0.0449968 # DEPENDENCYPART_SIBL
(4,20),(4,22),0.032844 # DEPENDENCYPART_SIBL
(4,20),(4,24),0.00299332 # DEPENDENCYPART_SIBL
(4,22),(4,24),-0.0123378 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.14344 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.094268 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0295164 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00503826 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0397001 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00344844 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.141013 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.130167 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.015761 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0199937 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.326953 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0675905 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.102566 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0868053 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.114816 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.439531 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.108507 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0259407 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.140938 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.161212 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0920457 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0556104 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0911626 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0271137 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0986508 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0010253 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0314552 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.208748 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0497789 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.209266 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0787591 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.111478 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0815878 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0401304 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0271156 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.93159 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0321811 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.395811 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.39896 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0404952 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.145874 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00149824 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0952739 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0695118 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0217356 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0485263 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.396029 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.393899 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0127229 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.1163 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0513274 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.252854 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.193657 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0929223 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.00332679 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.354269 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0620324 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0122598 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0355516 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0980619 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0253001 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0546158 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0061174 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0746725 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.00132859 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0576089 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0461814 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.00114019 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.0465064 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0039424 # DEPENDENCYPART_SIBL
(7,1),(7,24),0.0461242 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.365831 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.365818 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0245487 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0124022 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.033205 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.329176 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0353307 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0949624 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.00922581 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0573961 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.118308 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0623984 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.00140078 # DEPENDENCYPART_SIBL
(7,3),(7,24),-0.321517 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0401782 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0880861 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.1126 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00806615 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0289356 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0115461 # DEPENDENCYPART_SIBL
