# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,25,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(10,9),-1.06985 # DEPENDENCYPART_ARC
(11,10),0.618426 # DEPENDENCYPART_ARC
(11,12),-1.8902 # DEPENDENCYPART_ARC
(11,13),-2.57926 # DEPENDENCYPART_ARC
(11,14),-2.17142 # DEPENDENCYPART_ARC
(12,1),-4.15474 # DEPENDENCYPART_ARC
(12,2),-4.27083 # DEPENDENCYPART_ARC
(12,3),-2.21956 # DEPENDENCYPART_ARC
(12,4),-2.63521 # DEPENDENCYPART_ARC
(12,5),-2.2342 # DEPENDENCYPART_ARC
(12,8),-3.04603 # DEPENDENCYPART_ARC
(12,11),-2.09476 # DEPENDENCYPART_ARC
(12,13),-0.336904 # DEPENDENCYPART_ARC
(12,14),-1.67276 # DEPENDENCYPART_ARC
(12,16),-1.8188 # DEPENDENCYPART_ARC
(12,40),-2.44794 # DEPENDENCYPART_ARC
(13,1),-1.44883 # DEPENDENCYPART_ARC
(13,2),-1.43433 # DEPENDENCYPART_ARC
(13,3),0.263409 # DEPENDENCYPART_ARC
(13,4),-0.245505 # DEPENDENCYPART_ARC
(13,5),0.159243 # DEPENDENCYPART_ARC
(13,6),-2.60991 # DEPENDENCYPART_ARC
(13,7),-1.4966 # DEPENDENCYPART_ARC
(13,8),-0.828877 # DEPENDENCYPART_ARC
(13,9),-1.03311 # DEPENDENCYPART_ARC
(13,10),-1.54773 # DEPENDENCYPART_ARC
(13,11),0.408759 # DEPENDENCYPART_ARC
(13,12),2.23892 # DEPENDENCYPART_ARC
(13,14),1.36785 # DEPENDENCYPART_ARC
(13,15),0.256469 # DEPENDENCYPART_ARC
(13,16),-0.408385 # DEPENDENCYPART_ARC
(13,17),-1.34375 # DEPENDENCYPART_ARC
(13,19),-0.873475 # DEPENDENCYPART_ARC
(13,20),-0.612936 # DEPENDENCYPART_ARC
(13,21),-1.61183 # DEPENDENCYPART_ARC
(13,22),-1.19997 # DEPENDENCYPART_ARC
(13,23),-2.28115 # DEPENDENCYPART_ARC
(13,24),-1.63932 # DEPENDENCYPART_ARC
(13,25),-1.46848 # DEPENDENCYPART_ARC
(13,27),-1.67552 # DEPENDENCYPART_ARC
(13,28),-1.02617 # DEPENDENCYPART_ARC
(13,30),-2.00948 # DEPENDENCYPART_ARC
(13,33),-1.86326 # DEPENDENCYPART_ARC
(13,34),-1.70316 # DEPENDENCYPART_ARC
(13,36),-1.68147 # DEPENDENCYPART_ARC
(13,37),-1.6129 # DEPENDENCYPART_ARC
(13,39),-2.19687 # DEPENDENCYPART_ARC
(13,40),0.649612 # DEPENDENCYPART_ARC
(14,15),2.44212 # DEPENDENCYPART_ARC
(14,16),-0.33827 # DEPENDENCYPART_ARC
(14,17),-0.79139 # DEPENDENCYPART_ARC
(14,20),-1.50609 # DEPENDENCYPART_ARC
(14,22),-2.28217 # DEPENDENCYPART_ARC
(14,31),-3.24533 # DEPENDENCYPART_ARC
(15,2),-3.11247 # DEPENDENCYPART_ARC
(15,10),-3.3513 # DEPENDENCYPART_ARC
(15,14),-0.803257 # DEPENDENCYPART_ARC
(15,16),-0.961573 # DEPENDENCYPART_ARC
(15,17),-1.30894 # DEPENDENCYPART_ARC
(15,19),-0.997221 # DEPENDENCYPART_ARC
(15,21),-2.37733 # DEPENDENCYPART_ARC
(15,22),-1.90195 # DEPENDENCYPART_ARC
(15,23),-2.32064 # DEPENDENCYPART_ARC
(15,24),-1.56238 # DEPENDENCYPART_ARC
(15,25),-1.34231 # DEPENDENCYPART_ARC
(17,16),-0.776065 # DEPENDENCYPART_ARC
(17,18),-1.41696 # DEPENDENCYPART_ARC
(17,19),2.11484 # DEPENDENCYPART_ARC
(17,20),-0.820793 # DEPENDENCYPART_ARC
(17,22),-1.23861 # DEPENDENCYPART_ARC
(17,23),-1.63076 # DEPENDENCYPART_ARC
(17,25),-1.76023 # DEPENDENCYPART_ARC
(18,17),-1.07017 # DEPENDENCYPART_ARC
(19,1),-2.54032 # DEPENDENCYPART_ARC
(19,2),-2.77607 # DEPENDENCYPART_ARC
(19,8),-2.62502 # DEPENDENCYPART_ARC
(19,13),-2.49916 # DEPENDENCYPART_ARC
(19,14),-2.58299 # DEPENDENCYPART_ARC
(19,16),-1.71885 # DEPENDENCYPART_ARC
(19,17),-1.37752 # DEPENDENCYPART_ARC
(19,18),1.72686 # DEPENDENCYPART_ARC
(19,20),-0.844468 # DEPENDENCYPART_ARC
(19,21),-0.946377 # DEPENDENCYPART_ARC
(19,22),-0.904482 # DEPENDENCYPART_ARC
(19,23),-1.80956 # DEPENDENCYPART_ARC
(19,24),-1.13025 # DEPENDENCYPART_ARC
(19,25),-1.08718 # DEPENDENCYPART_ARC
(19,27),-1.68984 # DEPENDENCYPART_ARC
(19,28),-1.35719 # DEPENDENCYPART_ARC
(19,37),-0.941917 # DEPENDENCYPART_ARC
(19,39),-2.67329 # DEPENDENCYPART_ARC
(21,14),-1.84194 # DEPENDENCYPART_ARC
(21,17),-1.81872 # DEPENDENCYPART_ARC
(21,20),-0.198829 # DEPENDENCYPART_ARC
(21,22),0.829204 # DEPENDENCYPART_ARC
(21,25),-0.949203 # DEPENDENCYPART_ARC
(21,27),-1.5282 # DEPENDENCYPART_ARC
(21,28),-0.824195 # DEPENDENCYPART_ARC
(21,30),-1.73482 # DEPENDENCYPART_ARC
(22,13),-2.55841 # DEPENDENCYPART_ARC
(22,20),-1.67999 # DEPENDENCYPART_ARC
(22,23),1.41849 # DEPENDENCYPART_ARC
(22,24),-0.604901 # DEPENDENCYPART_ARC
(22,25),-0.545337 # DEPENDENCYPART_ARC
(22,27),-0.552646 # DEPENDENCYPART_ARC
(22,28),-1.77557 # DEPENDENCYPART_ARC
(23,20),-1.83815 # DEPENDENCYPART_ARC
(23,22),-0.940863 # DEPENDENCYPART_ARC
(23,24),-0.948142 # DEPENDENCYPART_ARC
(24,2),-4.14528 # DEPENDENCYPART_ARC
(24,3),-3.81461 # DEPENDENCYPART_ARC
(24,4),-3.9186 # DEPENDENCYPART_ARC
(24,5),-4.46818 # DEPENDENCYPART_ARC
(24,13),-3.61908 # DEPENDENCYPART_ARC
(24,20),-2.33071 # DEPENDENCYPART_ARC
(24,22),-1.99519 # DEPENDENCYPART_ARC
(24,23),-1.44837 # DEPENDENCYPART_ARC
(24,25),-0.530139 # DEPENDENCYPART_ARC
(24,27),-1.76123 # DEPENDENCYPART_ARC
(24,28),-1.76284 # DEPENDENCYPART_ARC
(24,40),-1.70909 # DEPENDENCYPART_ARC
(25,1),-2.49167 # DEPENDENCYPART_ARC
(25,2),-1.00554 # DEPENDENCYPART_ARC
(25,3),-1.82926 # DEPENDENCYPART_ARC
(25,4),-2.43558 # DEPENDENCYPART_ARC
(25,5),-2.22214 # DEPENDENCYPART_ARC
(25,8),-2.5908 # DEPENDENCYPART_ARC
(25,11),-1.87143 # DEPENDENCYPART_ARC
(25,12),-2.54082 # DEPENDENCYPART_ARC
(25,13),-0.942551 # DEPENDENCYPART_ARC
(25,14),-1.70887 # DEPENDENCYPART_ARC
(25,15),-2.06848 # DEPENDENCYPART_ARC
(25,16),-1.41304 # DEPENDENCYPART_ARC
(25,17),-1.0139 # DEPENDENCYPART_ARC
(25,19),-1.62734 # DEPENDENCYPART_ARC
(25,20),-0.294919 # DEPENDENCYPART_ARC
(25,21),0.330445 # DEPENDENCYPART_ARC
(25,22),0.198178 # DEPENDENCYPART_ARC
(25,23),0.24711 # DEPENDENCYPART_ARC
(25,24),3.14324 # DEPENDENCYPART_ARC
(25,27),0.869977 # DEPENDENCYPART_ARC
(25,28),0.497196 # DEPENDENCYPART_ARC
(25,30),-0.469948 # DEPENDENCYPART_ARC
(25,31),-0.740429 # DEPENDENCYPART_ARC
(25,33),-1.03161 # DEPENDENCYPART_ARC
(25,34),-0.476148 # DEPENDENCYPART_ARC
(25,36),-1.05021 # DEPENDENCYPART_ARC
(25,37),-1.27316 # DEPENDENCYPART_ARC
(25,39),-1.30239 # DEPENDENCYPART_ARC
(25,40),-0.510894 # DEPENDENCYPART_ARC
(26,27),-0.173996 # DEPENDENCYPART_ARC
(26,28),-0.988971 # DEPENDENCYPART_ARC
(26,29),-1.38756 # DEPENDENCYPART_ARC
(27,17),-1.77327 # DEPENDENCYPART_ARC
(27,22),-2.1405 # DEPENDENCYPART_ARC
(27,23),-1.08013 # DEPENDENCYPART_ARC
(27,24),-2.52609 # DEPENDENCYPART_ARC
(27,26),1.77442 # DEPENDENCYPART_ARC
(27,28),0.24752 # DEPENDENCYPART_ARC
(27,30),-0.565322 # DEPENDENCYPART_ARC
(27,31),-0.550391 # DEPENDENCYPART_ARC
(27,33),-0.842122 # DEPENDENCYPART_ARC
(27,34),-0.915173 # DEPENDENCYPART_ARC
(27,36),-1.40794 # DEPENDENCYPART_ARC
(27,37),-0.407823 # DEPENDENCYPART_ARC
(27,39),-1.94781 # DEPENDENCYPART_ARC
(28,26),-1.8818 # DEPENDENCYPART_ARC
(28,27),-1.39662 # DEPENDENCYPART_ARC
(28,29),-1.58408 # DEPENDENCYPART_ARC
(28,30),1.52267 # DEPENDENCYPART_ARC
(28,31),-1.55073 # DEPENDENCYPART_ARC
(28,33),-0.56014 # DEPENDENCYPART_ARC
(28,34),-2.0115 # DEPENDENCYPART_ARC
(29,27),-2.44407 # DEPENDENCYPART_ARC
(29,30),-0.418411 # DEPENDENCYPART_ARC
(29,31),-1.06642 # DEPENDENCYPART_ARC
(29,32),-1.44398 # DEPENDENCYPART_ARC
(30,23),-1.64818 # DEPENDENCYPART_ARC
(30,26),-2.2566 # DEPENDENCYPART_ARC
(30,28),-0.893666 # DEPENDENCYPART_ARC
(30,29),0.959036 # DEPENDENCYPART_ARC
(30,31),0.699485 # DEPENDENCYPART_ARC
(30,33),-0.371949 # DEPENDENCYPART_ARC
(30,34),-0.480723 # DEPENDENCYPART_ARC
(30,36),-1.35326 # DEPENDENCYPART_ARC
(30,37),-0.154632 # DEPENDENCYPART_ARC
(30,39),-1.82852 # DEPENDENCYPART_ARC
(31,29),-2.06387 # DEPENDENCYPART_ARC
(31,32),-1.48804 # DEPENDENCYPART_ARC
(31,33),1.87436 # DEPENDENCYPART_ARC
(31,34),-1.86054 # DEPENDENCYPART_ARC
(31,36),-0.383812 # DEPENDENCYPART_ARC
(31,39),-1.48247 # DEPENDENCYPART_ARC
(32,31),-1.33119 # DEPENDENCYPART_ARC
(32,33),-0.175773 # DEPENDENCYPART_ARC
(32,34),-1.02578 # DEPENDENCYPART_ARC
(32,35),-0.815073 # DEPENDENCYPART_ARC
(33,29),-3.36399 # DEPENDENCYPART_ARC
(33,31),-1.57045 # DEPENDENCYPART_ARC
(33,32),1.29773 # DEPENDENCYPART_ARC
(33,34),0.0902664 # DEPENDENCYPART_ARC
(33,36),-0.729411 # DEPENDENCYPART_ARC
(33,37),-0.337236 # DEPENDENCYPART_ARC
(33,39),-1.44593 # DEPENDENCYPART_ARC
(34,32),-1.85553 # DEPENDENCYPART_ARC
(34,35),-1.58474 # DEPENDENCYPART_ARC
(34,36),1.64943 # DEPENDENCYPART_ARC
(34,37),-1.08 # DEPENDENCYPART_ARC
(34,39),-0.37234 # DEPENDENCYPART_ARC
(35,36),-0.470935 # DEPENDENCYPART_ARC
(35,37),-0.793121 # DEPENDENCYPART_ARC
(35,38),0.211128 # DEPENDENCYPART_ARC
(36,31),-2.52607 # DEPENDENCYPART_ARC
(36,32),-2.45486 # DEPENDENCYPART_ARC
(36,35),1.92124 # DEPENDENCYPART_ARC
(36,37),0.274251 # DEPENDENCYPART_ARC
(36,39),0.424998 # DEPENDENCYPART_ARC
(38,39),-1.43365 # DEPENDENCYPART_ARC
(39,31),-2.34974 # DEPENDENCYPART_ARC
(39,34),-2.3863 # DEPENDENCYPART_ARC
(39,35),-1.11385 # DEPENDENCYPART_ARC
(39,37),-1.2629 # DEPENDENCYPART_ARC
(39,38),2.56057 # DEPENDENCYPART_ARC
(0,2),(0,8),-0.282464 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.973032 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.969964 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.971076 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.440087 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.416447 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.422031 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.944579 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.945692 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.934396 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.111103 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0153169 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.125482 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0681144 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0927036 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0175365 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.108193 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.011557 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0600918 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0153169 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0518824 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0263094 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0199637 # DEPENDENCYPART_SIBL
(2,1),(2,40),0.0173752 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0689353 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.267355 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00442658 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00852166 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.100898 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.154961 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0296639 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.276947 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0689353 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0812926 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.177915 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0282067 # DEPENDENCYPART_SIBL
(2,3),(2,40),-0.113953 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0840423 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0188043 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0158205 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.166917 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0768208 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00945513 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.182876 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0549153 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0565469 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0689931 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.00680382 # DEPENDENCYPART_SIBL
(2,4),(2,40),-0.0707313 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00865497 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0384783 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0163624 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.181339 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0545725 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.293059 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.143646 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0795367 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.202607 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.053115 # DEPENDENCYPART_SIBL
(2,5),(2,40),-0.155548 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0522852 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.115447 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0860822 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00416479 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0113038 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0570291 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.00302223 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0451616 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.00479928 # DEPENDENCYPART_SIBL
(2,7),(2,40),-0.0155083 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.144168 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.153592 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0643463 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0243344 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0280075 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0809718 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0977556 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.0695689 # DEPENDENCYPART_SIBL
(2,8),(2,40),-0.00357699 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0553802 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00913939 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0713432 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0362411 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.00502083 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0475107 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.00220314 # DEPENDENCYPART_SIBL
(2,9),(2,40),-0.000347931 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0797083 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0443746 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.070159 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0340561 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.126173 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.0816982 # DEPENDENCYPART_SIBL
(2,12),(2,40),-0.0606876 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0132008 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.000493881 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0589459 # DEPENDENCYPART_SIBL
(2,13),(2,24),-0.0864261 # DEPENDENCYPART_SIBL
(2,13),(2,25),-0.0419531 # DEPENDENCYPART_SIBL
(2,13),(2,40),0.00698949 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.033017 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.335193 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.435251 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.645338 # DEPENDENCYPART_SIBL
(2,16),(2,40),0.00516027 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0565469 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.0689931 # DEPENDENCYPART_SIBL
(2,20),(2,25),0.00680382 # DEPENDENCYPART_SIBL
(2,20),(2,40),-0.0707313 # DEPENDENCYPART_SIBL
(2,21),(2,24),-0.0454047 # DEPENDENCYPART_SIBL
(2,21),(2,25),0.0103987 # DEPENDENCYPART_SIBL
(2,21),(2,40),0.0557094 # DEPENDENCYPART_SIBL
(2,24),(2,25),-0.0864188 # DEPENDENCYPART_SIBL
(2,24),(2,40),-0.0193687 # DEPENDENCYPART_SIBL
(2,25),(2,40),0.026539 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.036625 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00250391 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0989809 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.226719 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.529981 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.315399 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.302179 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0628036 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00754456 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0262043 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0751279 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0594038 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0449761 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.024962 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0586135 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.144277 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0590726 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0237502 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.203211 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.146101 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.285341 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.129808 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0380016 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0545321 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.48602 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.186947 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.121871 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.227153 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0776536 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0179847 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0325686 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.100798 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.36762 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0394913 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0878542 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.111014 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0237235 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0953559 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.005014 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.00719263 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.108085 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0777883 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0737377 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.00115401 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.064728 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0620292 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.108085 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0779759 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.00942416 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0233974 # DEPENDENCYPART_SIBL
(8,1),(8,25),0.00661744 # DEPENDENCYPART_SIBL
(8,1),(8,27),-0.0794042 # DEPENDENCYPART_SIBL
(8,1),(8,28),-0.0386059 # DEPENDENCYPART_SIBL
(8,1),(8,34),-0.0788059 # DEPENDENCYPART_SIBL
