# _root_ Sonaven molt bé , sens dubte , però el volum sonor no està de més en aquesta mena d' exhibicions de la música barroca .
#goldHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
#predictedHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
(10,3),-2.16673 # DEPENDENCYPART_ARC
(10,4),-2.57228 # DEPENDENCYPART_ARC
(10,5),-1.69594 # DEPENDENCYPART_ARC
(10,7),-2.01491 # DEPENDENCYPART_ARC
(10,8),-1.32148 # DEPENDENCYPART_ARC
(10,9),1.74877 # DEPENDENCYPART_ARC
(10,11),1.65406 # DEPENDENCYPART_ARC
(10,12),-1.02587 # DEPENDENCYPART_ARC
(10,13),-1.07759 # DEPENDENCYPART_ARC
(10,14),-1.18083 # DEPENDENCYPART_ARC
(10,15),-1.26103 # DEPENDENCYPART_ARC
(10,16),-1.76454 # DEPENDENCYPART_ARC
(10,18),-1.52986 # DEPENDENCYPART_ARC
(10,19),-1.61977 # DEPENDENCYPART_ARC
(10,21),-2.34735 # DEPENDENCYPART_ARC
(10,24),-2.28681 # DEPENDENCYPART_ARC
(10,25),-1.92937 # DEPENDENCYPART_ARC
(11,3),-1.96047 # DEPENDENCYPART_ARC
(11,4),-2.60496 # DEPENDENCYPART_ARC
(11,5),-1.77094 # DEPENDENCYPART_ARC
(11,7),-2.03313 # DEPENDENCYPART_ARC
(11,8),-1.69042 # DEPENDENCYPART_ARC
(11,9),-1.42501 # DEPENDENCYPART_ARC
(11,10),-1.42148 # DEPENDENCYPART_ARC
(11,12),-0.519558 # DEPENDENCYPART_ARC
(11,13),-1.63348 # DEPENDENCYPART_ARC
(11,14),-1.97252 # DEPENDENCYPART_ARC
(11,15),-1.91136 # DEPENDENCYPART_ARC
(11,16),-2.05426 # DEPENDENCYPART_ARC
(11,19),-2.68388 # DEPENDENCYPART_ARC
(11,21),-3.10757 # DEPENDENCYPART_ARC
(12,11),-1.192 # DEPENDENCYPART_ARC
(12,14),-1.72361 # DEPENDENCYPART_ARC
(12,16),-2.39687 # DEPENDENCYPART_ARC
(13,1),-2.67713 # DEPENDENCYPART_ARC
(13,2),-2.28713 # DEPENDENCYPART_ARC
(13,3),-2.25118 # DEPENDENCYPART_ARC
(13,4),-2.67617 # DEPENDENCYPART_ARC
(13,5),-0.958225 # DEPENDENCYPART_ARC
(13,6),-2.05295 # DEPENDENCYPART_ARC
(13,7),-2.06927 # DEPENDENCYPART_ARC
(13,8),-0.440826 # DEPENDENCYPART_ARC
(13,9),-2.67338 # DEPENDENCYPART_ARC
(13,10),-0.52753 # DEPENDENCYPART_ARC
(13,11),-1.33334 # DEPENDENCYPART_ARC
(13,12),1.09539 # DEPENDENCYPART_ARC
(13,14),0.44003 # DEPENDENCYPART_ARC
(13,15),-0.78007 # DEPENDENCYPART_ARC
(13,16),-0.303414 # DEPENDENCYPART_ARC
(13,18),-0.502127 # DEPENDENCYPART_ARC
(13,19),-1.04988 # DEPENDENCYPART_ARC
(13,20),-1.53885 # DEPENDENCYPART_ARC
(13,21),-1.34968 # DEPENDENCYPART_ARC
(13,23),-1.2547 # DEPENDENCYPART_ARC
(13,24),-1.59199 # DEPENDENCYPART_ARC
(13,25),-0.550909 # DEPENDENCYPART_ARC
(14,1),-1.38964 # DEPENDENCYPART_ARC
(14,5),-1.8545 # DEPENDENCYPART_ARC
(14,8),-1.8443 # DEPENDENCYPART_ARC
(14,12),-0.773869 # DEPENDENCYPART_ARC
(14,13),0.0956933 # DEPENDENCYPART_ARC
(14,15),0.310849 # DEPENDENCYPART_ARC
(14,16),-0.599584 # DEPENDENCYPART_ARC
(14,18),0.372431 # DEPENDENCYPART_ARC
(14,19),-1.41045 # DEPENDENCYPART_ARC
(14,20),-0.323477 # DEPENDENCYPART_ARC
(14,21),-1.71317 # DEPENDENCYPART_ARC
(14,24),-1.62918 # DEPENDENCYPART_ARC
(14,25),-1.59842 # DEPENDENCYPART_ARC
(15,5),-1.99218 # DEPENDENCYPART_ARC
(15,14),-0.885471 # DEPENDENCYPART_ARC
(15,16),-0.564688 # DEPENDENCYPART_ARC
(15,18),-1.93008 # DEPENDENCYPART_ARC
(15,19),-2.19074 # DEPENDENCYPART_ARC
(15,21),-2.50509 # DEPENDENCYPART_ARC
(16,1),-1.46675 # DEPENDENCYPART_ARC
(16,5),-2.14783 # DEPENDENCYPART_ARC
(16,13),-1.40836 # DEPENDENCYPART_ARC
(16,14),-1.29049 # DEPENDENCYPART_ARC
(16,15),-0.572646 # DEPENDENCYPART_ARC
(16,18),1.44912 # DEPENDENCYPART_ARC
(16,19),-1.48048 # DEPENDENCYPART_ARC
(16,20),-0.746957 # DEPENDENCYPART_ARC
(16,21),-2.03598 # DEPENDENCYPART_ARC
(16,25),-1.77172 # DEPENDENCYPART_ARC
(18,1),-4.17539 # DEPENDENCYPART_ARC
(18,14),-2.6696 # DEPENDENCYPART_ARC
(18,15),-1.39655 # DEPENDENCYPART_ARC
(18,16),-1.70408 # DEPENDENCYPART_ARC
(18,17),0.878312 # DEPENDENCYPART_ARC
(18,19),0.843006 # DEPENDENCYPART_ARC
(18,20),-0.75538 # DEPENDENCYPART_ARC
(18,21),-0.444774 # DEPENDENCYPART_ARC
(18,23),-1.05727 # DEPENDENCYPART_ARC
(18,24),-0.615778 # DEPENDENCYPART_ARC
(18,25),-1.50028 # DEPENDENCYPART_ARC
(19,15),-2.26557 # DEPENDENCYPART_ARC
(19,20),2.55875 # DEPENDENCYPART_ARC
(19,21),-1.41125 # DEPENDENCYPART_ARC
(19,23),-0.867275 # DEPENDENCYPART_ARC
(20,1),-2.15079 # DEPENDENCYPART_ARC
(20,14),-2.55231 # DEPENDENCYPART_ARC
(20,15),-1.60973 # DEPENDENCYPART_ARC
(20,16),-2.10018 # DEPENDENCYPART_ARC
(20,17),-1.74993 # DEPENDENCYPART_ARC
(20,19),-0.920386 # DEPENDENCYPART_ARC
(20,21),0.565796 # DEPENDENCYPART_ARC
(20,23),-0.806581 # DEPENDENCYPART_ARC
(20,24),-1.10705 # DEPENDENCYPART_ARC
(20,25),-1.3436 # DEPENDENCYPART_ARC
(21,23),1.83706 # DEPENDENCYPART_ARC
(21,24),-1.21568 # DEPENDENCYPART_ARC
(22,19),-2.07632 # DEPENDENCYPART_ARC
(22,21),-1.38554 # DEPENDENCYPART_ARC
(23,19),-2.23231 # DEPENDENCYPART_ARC
(23,22),1.54404 # DEPENDENCYPART_ARC
(23,24),1.84768 # DEPENDENCYPART_ARC
(23,25),-0.851124 # DEPENDENCYPART_ARC
(24,14),-2.24775 # DEPENDENCYPART_ARC
(24,22),-1.28297 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.240327 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.95199 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.388774 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.101552 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.103361 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.013809 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0990458 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.103361 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0128164 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0982202 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.14114 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.104307 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0702675 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.12479 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0420956 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.103018 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0965179 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.141149 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.1401 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0351045 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0909791 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0355131 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0351045 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0976199 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0363386 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0175146 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0262483 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0538367 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.00665844 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0755728 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0315408 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.032523 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0175237 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.0743758 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0967644 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0347773 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.085609 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.377877 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0345949 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0102696 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0183627 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0676438 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.109778 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.140248 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0482845 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.00505439 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0102787 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.0606677 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00256571 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0144309 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0176266 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00167579 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0289169 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0241374 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0215325 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0956757 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0941288 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00678248 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0256061 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0299043 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.0100382 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0168065 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00419267 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.238575 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0313252 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00172709 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0039032 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.00539845 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0720866 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.249864 # DEPENDENCYPART_SIBL
(1,6),(1,23),-0.23827 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.0313526 # DEPENDENCYPART_SIBL
(1,6),(1,25),0.0314889 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.377877 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0345949 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0102696 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0183627 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0676438 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.109778 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.140248 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0482845 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.00505439 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.0102787 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.0606677 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.139738 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.150895 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.152787 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.73352 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0760947 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0772438 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.128073 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.126454 # DEPENDENCYPART_SIBL
(1,8),(1,24),0.154428 # DEPENDENCYPART_SIBL
(1,8),(1,25),0.134476 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0263131 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.00125118 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.00802543 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.00242018 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0867886 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.247793 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.236199 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.0263406 # DEPENDENCYPART_SIBL
(1,10),(1,25),0.00736635 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0159745 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0431125 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0664906 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0154403 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0542228 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0563644 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.178416 # DEPENDENCYPART_SIBL
(1,11),(1,25),0.00608064 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0289491 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0512923 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.00604497 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.0101129 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.0110951 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.0449941 # DEPENDENCYPART_SIBL
(1,12),(1,25),-0.0327031 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0269979 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.0210526 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.00649188 # DEPENDENCYPART_SIBL
(1,13),(1,23),0.00433112 # DEPENDENCYPART_SIBL
(1,13),(1,24),-0.0271564 # DEPENDENCYPART_SIBL
(1,13),(1,25),-0.0156384 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.0633054 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.11926 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.118511 # DEPENDENCYPART_SIBL
(1,15),(1,24),-0.0998071 # DEPENDENCYPART_SIBL
(1,15),(1,25),-0.101582 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.0257768 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.00821151 # DEPENDENCYPART_SIBL
(1,16),(1,24),-0.037547 # DEPENDENCYPART_SIBL
(1,16),(1,25),0.00139691 # DEPENDENCYPART_SIBL
(1,18),(1,23),-0.266426 # DEPENDENCYPART_SIBL
(1,18),(1,24),-0.0583704 # DEPENDENCYPART_SIBL
(1,18),(1,25),-0.0386551 # DEPENDENCYPART_SIBL
(1,23),(1,24),-0.029777 # DEPENDENCYPART_SIBL
(1,23),(1,25),0.0190778 # DEPENDENCYPART_SIBL
(1,24),(1,25),0.00601455 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0184337 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00792851 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0259699 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00792851 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0378061 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0359614 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0587104 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0170804 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0587104 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0515583 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0227765 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00159561 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.216978 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.271569 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0448463 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.20996 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0992154 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.017252 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.271569 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0448463 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.328297 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0815439 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0334025 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00538522 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0815439 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0294756 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0395718 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00943242 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0554153 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0628944 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.168737 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.298424 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0398459 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0519446 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0297264 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.235982 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0985569 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0298231 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0836079 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.10367 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0149177 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0872034 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0593431 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.298424 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0398459 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0519446 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.325405 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.338587 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.164536 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.312877 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.30742 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.139644 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0951249 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0261437 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0898802 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.102121 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0197215 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0147156 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.00867926 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0986239 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.166126 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.176803 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0674576 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0358305 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00813135 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.130681 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0164561 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.011845 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.038377 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.134214 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.181809 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.158643 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0698565 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00404476 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0233574 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.158776 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0234191 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0186506 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0325168 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0953738 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.157031 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.148167 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.123738 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.581358 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0511291 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.176186 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0122115 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0424778 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0149029 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0753001 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.126937 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0894505 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0163347 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.816476 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.245938 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.414062 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0114369 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0109039 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.0523003 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.27808 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.13706 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0431952 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0680891 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.418087 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.309556 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0476048 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0169882 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.181392 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.287251 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.695319 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.558772 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.169478 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.270611 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.438245 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0629527 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0442863 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.00459619 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.224181 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00130944 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0377402 # DEPENDENCYPART_SIBL
(5,12),(5,25),0.0394357 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0206537 # DEPENDENCYPART_SIBL
