# _root_ " Per això és bo que tinguin totes les facilitats , com el sistema informàtic i els models que han de fer_servir en català " , ha dit .
#goldHeads=4,4,2,28,4,7,4,9,10,7,12,10,14,12,14,14,18,14,22,22,22,18,14,23,12,12,28,0,28,
#predictedHeads=4,4,2,28,4,7,4,9,10,7,12,7,14,12,14,14,18,14,22,22,22,18,22,23,4,4,28,0,28,
(22,4),-1.63717 # DEPENDENCYPART_ARC
(22,5),-1.89629 # DEPENDENCYPART_ARC
(22,6),-1.97597 # DEPENDENCYPART_ARC
(22,7),-1.00374 # DEPENDENCYPART_ARC
(22,9),-2.62478 # DEPENDENCYPART_ARC
(22,10),-1.6027 # DEPENDENCYPART_ARC
(22,11),-2.14913 # DEPENDENCYPART_ARC
(22,12),-1.36038 # DEPENDENCYPART_ARC
(22,13),-2.99753 # DEPENDENCYPART_ARC
(22,14),-1.05224 # DEPENDENCYPART_ARC
(22,15),-1.69923 # DEPENDENCYPART_ARC
(22,16),-1.14963 # DEPENDENCYPART_ARC
(22,17),-1.61588 # DEPENDENCYPART_ARC
(22,18),-0.200874 # DEPENDENCYPART_ARC
(22,19),1.40203 # DEPENDENCYPART_ARC
(22,20),2.80298 # DEPENDENCYPART_ARC
(22,21),1.42879 # DEPENDENCYPART_ARC
(22,23),1.64121 # DEPENDENCYPART_ARC
(22,24),0.346744 # DEPENDENCYPART_ARC
(22,25),-0.476348 # DEPENDENCYPART_ARC
(22,26),-0.427607 # DEPENDENCYPART_ARC
(22,27),-1.65054 # DEPENDENCYPART_ARC
(22,28),-1.57426 # DEPENDENCYPART_ARC
(22,29),-1.92342 # DEPENDENCYPART_ARC
(23,21),-1.80732 # DEPENDENCYPART_ARC
(23,24),2.82831 # DEPENDENCYPART_ARC
(23,25),-0.98961 # DEPENDENCYPART_ARC
(23,26),-1.13201 # DEPENDENCYPART_ARC
(23,28),-1.61143 # DEPENDENCYPART_ARC
(24,23),-1.43207 # DEPENDENCYPART_ARC
(24,25),-1.03671 # DEPENDENCYPART_ARC
(24,27),-1.58256 # DEPENDENCYPART_ARC
(24,28),-1.46531 # DEPENDENCYPART_ARC
(27,4),-4.35432 # DEPENDENCYPART_ARC
(27,18),-4.85154 # DEPENDENCYPART_ARC
(27,19),-4.35888 # DEPENDENCYPART_ARC
(27,22),-3.20833 # DEPENDENCYPART_ARC
(27,23),-3.0702 # DEPENDENCYPART_ARC
(27,29),-1.78123 # DEPENDENCYPART_ARC
(28,1),-3.27918 # DEPENDENCYPART_ARC
(28,2),-2.50393 # DEPENDENCYPART_ARC
(28,4),-0.024713 # DEPENDENCYPART_ARC
(28,5),-2.53853 # DEPENDENCYPART_ARC
(28,6),-2.91962 # DEPENDENCYPART_ARC
(28,7),-1.89958 # DEPENDENCYPART_ARC
(28,10),-3.32854 # DEPENDENCYPART_ARC
(28,11),-3.15311 # DEPENDENCYPART_ARC
(28,12),-2.64045 # DEPENDENCYPART_ARC
(28,14),-2.55627 # DEPENDENCYPART_ARC
(28,15),-2.53129 # DEPENDENCYPART_ARC
(28,18),-1.79599 # DEPENDENCYPART_ARC
(28,19),-1.2685 # DEPENDENCYPART_ARC
(28,20),-0.88377 # DEPENDENCYPART_ARC
(28,21),-2.00231 # DEPENDENCYPART_ARC
(28,22),-0.341291 # DEPENDENCYPART_ARC
(28,23),-0.952009 # DEPENDENCYPART_ARC
(28,24),-1.7623 # DEPENDENCYPART_ARC
(28,25),-1.00168 # DEPENDENCYPART_ARC
(28,26),-0.746672 # DEPENDENCYPART_ARC
(28,27),3.52505 # DEPENDENCYPART_ARC
(28,29),0.149636 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.428687 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.403068 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.421411 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.428561 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.969958 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.969354 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.993668 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.928305 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.952647 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.976516 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.105923 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.140267 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.051336 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0899 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.125596 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0906935 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.189209 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0343285 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.8482 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0906935 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.162711 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.414137 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.2502 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.330961 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.42194 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0889916 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.200031 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.31346 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.138696 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.0889916 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.10939 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.203348 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.154201 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.469115 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0832254 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0474691 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.241488 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0407154 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0832254 # DEPENDENCYPART_SIBL
(2,4),(2,29),0.0466015 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.23986 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.237243 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.101213 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0963688 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.220399 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.027011 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.101213 # DEPENDENCYPART_SIBL
(2,5),(2,29),0.0134524 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.150409 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0811315 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.118313 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.207266 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.036834 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0811315 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.00786193 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0406759 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0554743 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.229106 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0270205 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0406759 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.0301409 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.125108 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.312819 # DEPENDENCYPART_SIBL
(2,11),(2,25),-0.216871 # DEPENDENCYPART_SIBL
(2,11),(2,26),-0.402689 # DEPENDENCYPART_SIBL
(2,11),(2,29),-0.0999409 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.499287 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.105667 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.0539349 # DEPENDENCYPART_SIBL
(2,12),(2,29),0.115879 # DEPENDENCYPART_SIBL
(2,21),(2,25),0.000232856 # DEPENDENCYPART_SIBL
(2,21),(2,26),-0.0109369 # DEPENDENCYPART_SIBL
(2,21),(2,29),0.0476035 # DEPENDENCYPART_SIBL
(2,25),(2,26),-0.0863746 # DEPENDENCYPART_SIBL
(2,25),(2,29),0.0688769 # DEPENDENCYPART_SIBL
(2,26),(2,29),-0.0999409 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00890451 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0337947 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0219783 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.0951923 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0166941 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.145125 # DEPENDENCYPART_SIBL
(3,4),(3,29),0.0151212 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0336975 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.063698 # DEPENDENCYPART_SIBL
(3,7),(3,29),0.0274458 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0554702 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0684017 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0069318 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.000761317 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0270387 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0314404 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0778639 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.105589 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.035047 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0120661 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0844254 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0307751 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0319428 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0137718 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.785046 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0778639 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.03697 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.0179103 # DEPENDENCYPART_SIBL
(4,1),(4,29),-0.01797 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.111216 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0332065 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.100082 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0278898 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00627276 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00241993 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0205867 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.02952 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0422812 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00558079 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.002251 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0143184 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0281094 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0482345 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.00241993 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.00852053 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.031897 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.0425077 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0657833 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0513314 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0406144 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0462155 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0801984 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0277367 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0336821 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0454538 # DEPENDENCYPART_SIBL
(4,3),(4,16),1.96113e-05 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0472042 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0731402 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0207219 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.104359 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0801984 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0852866 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0168604 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0228853 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0451665 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0531382 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0292672 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0818638 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0721924 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.011289 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.165056 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0353378 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0230556 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0184012 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0564301 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0545079 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0818638 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0146793 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.0408579 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0277255 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0135244 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00658583 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0689353 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.184347 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0518277 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00473069 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.276947 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.00581083 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0966103 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0279014 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0604064 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0689353 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.177915 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0717653 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.113953 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0425811 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00730144 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0343911 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.104207 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.000302324 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00621809 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0550288 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0653882 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0339824 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.00345779 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.00730144 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0772753 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.0463396 # DEPENDENCYPART_SIBL
(4,7),(4,29),0.00358556 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0168424 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.141507 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.151063 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0496203 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.02935 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.202631 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.131391 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0866599 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0239021 # DEPENDENCYPART_SIBL
(4,10),(4,26),-0.0168424 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.112219 # DEPENDENCYPART_SIBL
(4,10),(4,28),-0.0836704 # DEPENDENCYPART_SIBL
(4,10),(4,29),-0.0229904 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.204453 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0132917 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0159031 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.182876 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0186083 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0371086 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0107128 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.03426 # DEPENDENCYPART_SIBL
(4,11),(4,26),-0.0549153 # DEPENDENCYPART_SIBL
(4,11),(4,27),-0.0689931 # DEPENDENCYPART_SIBL
(4,11),(4,28),-0.0242358 # DEPENDENCYPART_SIBL
(4,11),(4,29),-0.0707313 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.160441 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.112697 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.108458 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.113852 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0684727 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0030698 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.135421 # DEPENDENCYPART_SIBL
(4,12),(4,26),0.0867044 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.154954 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0470437 # DEPENDENCYPART_SIBL
(4,12),(4,29),0.0259718 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.030639 # DEPENDENCYPART_SIBL
