# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(16,15),0.229673 # DEPENDENCYPART_ARC
(16,17),0.806871 # DEPENDENCYPART_ARC
(16,20),-1.41295 # DEPENDENCYPART_ARC
(16,21),-1.20625 # DEPENDENCYPART_ARC
(17,14),-1.90391 # DEPENDENCYPART_ARC
(17,15),-1.08546 # DEPENDENCYPART_ARC
(17,16),-0.74243 # DEPENDENCYPART_ARC
(17,18),-1.03098 # DEPENDENCYPART_ARC
(17,19),-0.0803798 # DEPENDENCYPART_ARC
(17,20),0.41247 # DEPENDENCYPART_ARC
(17,21),-1.13217 # DEPENDENCYPART_ARC
(18,15),-1.54577 # DEPENDENCYPART_ARC
(18,16),-1.08648 # DEPENDENCYPART_ARC
(18,17),-0.504951 # DEPENDENCYPART_ARC
(18,19),-1.38383 # DEPENDENCYPART_ARC
(19,16),-1.10263 # DEPENDENCYPART_ARC
(19,18),-0.765456 # DEPENDENCYPART_ARC
(19,20),-0.783131 # DEPENDENCYPART_ARC
(19,21),-1.53029 # DEPENDENCYPART_ARC
(20,2),-1.57971 # DEPENDENCYPART_ARC
(20,5),-1.82154 # DEPENDENCYPART_ARC
(20,8),-2.07561 # DEPENDENCYPART_ARC
(20,11),-1.9877 # DEPENDENCYPART_ARC
(20,14),-0.937613 # DEPENDENCYPART_ARC
(20,15),-0.964822 # DEPENDENCYPART_ARC
(20,16),-1.03531 # DEPENDENCYPART_ARC
(20,17),-1.34189 # DEPENDENCYPART_ARC
(20,18),1.22586 # DEPENDENCYPART_ARC
(20,19),2.56982 # DEPENDENCYPART_ARC
(20,21),-1.07135 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0131425 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.382529 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.387282 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0760733 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0294861 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0294861 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0588273 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.209792 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0971896 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0383758 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0383758 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00355792 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0860753 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.021852 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.110616 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.000194686 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.222739 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0819174 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.000194686 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.222739 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0819174 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.196545 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.149273 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.0971896 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.13026 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00525906 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.325755 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0876521 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0764032 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0240155 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0764032 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0472792 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0372406 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0155973 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.651086 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0559188 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.34446 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.15842 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.34446 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.06952 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.112201 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.161733 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0618028 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0644318 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0601507 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.102406 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0288383 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0834325 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0765221 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0191895 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.000324641 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0469209 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0914245 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0806733 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.135983 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0246288 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0520641 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0288383 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0834325 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0765221 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0191895 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.000324641 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0395141 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0467855 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.106686 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0448939 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0754185 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.141663 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.0861097 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0402765 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0410204 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0491222 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0630517 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.305085 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.165417 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.196224 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0116405 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0816789 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0159836 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0143689 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0124205 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00892421 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.00242261 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0816789 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.473366 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.248413 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.059499 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0725888 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0476881 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0562354 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0488337 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.602533 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0424243 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0649914 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0476881 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.104212 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0564722 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.170322 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.137842 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.15528 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0585907 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.125595 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0874363 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0429525 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.137842 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0124738 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.124386 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0908183 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.138333 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0937046 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.138095 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0576495 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0748377 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0908183 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.104462 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0725821 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.104397 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0864907 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0160813 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0379174 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0405221 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0725821 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0701813 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.923379 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.424966 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0343506 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.322631 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.316829 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0701813 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0387955 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0402394 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.192255 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0509918 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.105698 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0224586 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.459691 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0165013 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.341685 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.335882 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0314499 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.114528 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00173835 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.00196895 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.114898 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0512907 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0067765 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.738547 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0912228 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.108124 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.064513 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.436017 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0651261 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.095567 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.238182 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.31251 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.808335 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0378713 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0209863 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0209152 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0371437 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0350021 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.011064 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0309014 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0723338 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00233945 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0117129 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0350021 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0229481 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.052311 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0309999 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.295571 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0398394 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0228291 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0339496 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.142908 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00625665 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0878792 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.101947 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0228291 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0369746 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.298693 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.147522 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.840518 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.344992 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.278509 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0153717 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0189241 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0672556 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0349877 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.344992 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.291114 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0337675 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0177876 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0556611 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00835953 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0190457 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0268905 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0383602 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0278094 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0556611 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.00384717 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0145762 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0333123 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00109079 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00596867 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.115467 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0971365 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.00127842 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0333123 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.011998 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0822673 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0586798 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0080333 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0214964 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0404974 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0233855 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0457219 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.0476613 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.023216 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0153649 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.00464869 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.029834 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0238141 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0631499 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.0658443 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.0223004 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.032703 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0322035 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0331645 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0384231 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.0610083 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.0253192 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.044748 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0877938 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.109753 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0849329 # DEPENDENCYPART_SIBL
(7,11),(7,21),0.167241 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0191664 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0149725 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.0382771 # DEPENDENCYPART_SIBL
(7,15),(7,21),0.0854555 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0593166 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0363851 # DEPENDENCYPART_SIBL
(7,16),(7,21),0.139816 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.0476613 # DEPENDENCYPART_SIBL
(7,17),(7,21),0.023216 # DEPENDENCYPART_SIBL
(7,20),(7,21),0.0234693 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.144012 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.138333 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0937046 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0576495 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0908183 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.135429 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0938499 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0108804 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.087911 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.459691 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.341685 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0314499 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.00173835 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.114898 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.108124 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.159538 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0715795 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0197348 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.269704 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0148635 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0357903 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.102995 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0734491 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0283427 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.102995 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0358561 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0277093 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0231461 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0345393 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0239284 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0208411 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0192161 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0182228 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0148097 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.0577374 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0854021 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0728548 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.00108517 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.112912 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.013368 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.00108517 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0418597 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0245005 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0471357 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.235603 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.00771323 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0132466 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.00869298 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0376663 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.02312 # DEPENDENCYPART_SIBL
