# _root_ alderdiak kargu_hartu diola esan zuen atzo iturgaitzek , baina haren_kontrako neurririk ez dela hartuko , legebiltzarreko_mahaiak ere egin ez duelako .
#goldHeads=2,9,2,0,4,4,4,7,4,11,14,14,14,9,14,18,0,14,18,18,20,
#predictedHeads=2,4,2,9,4,4,4,7,0,14,14,14,14,9,14,18,0,14,18,18,20,
(2,13),-0.701387 # DEPENDENCYPART_ARC
(2,14),-0.40696 # DEPENDENCYPART_ARC
(2,15),-1.00211 # DEPENDENCYPART_ARC
(2,16),-1.46437 # DEPENDENCYPART_ARC
(2,17),-0.498245 # DEPENDENCYPART_ARC
(2,18),-1.63578 # DEPENDENCYPART_ARC
(2,19),-0.608243 # DEPENDENCYPART_ARC
(2,20),-1.95298 # DEPENDENCYPART_ARC
(2,21),-1.59685 # DEPENDENCYPART_ARC
(3,1),-0.89834 # DEPENDENCYPART_ARC
(3,2),-1.16158 # DEPENDENCYPART_ARC
(3,4),-2.05763 # DEPENDENCYPART_ARC
(3,5),-1.42594 # DEPENDENCYPART_ARC
(3,6),-1.1527 # DEPENDENCYPART_ARC
(3,7),-1.33373 # DEPENDENCYPART_ARC
(3,8),-0.973437 # DEPENDENCYPART_ARC
(3,9),-1.03476 # DEPENDENCYPART_ARC
(3,10),-1.76333 # DEPENDENCYPART_ARC
(3,11),-1.2716 # DEPENDENCYPART_ARC
(3,12),-1.31794 # DEPENDENCYPART_ARC
(3,13),-2.3954 # DEPENDENCYPART_ARC
(3,14),-2.45036 # DEPENDENCYPART_ARC
(3,15),-1.51088 # DEPENDENCYPART_ARC
(3,16),-2.79846 # DEPENDENCYPART_ARC
(3,17),-1.18023 # DEPENDENCYPART_ARC
(3,18),-3.27217 # DEPENDENCYPART_ARC
(3,19),-1.47963 # DEPENDENCYPART_ARC
(3,20),-2.13012 # DEPENDENCYPART_ARC
(3,21),-1.56576 # DEPENDENCYPART_ARC
(4,1),1.17863 # DEPENDENCYPART_ARC
(4,2),1.39541 # DEPENDENCYPART_ARC
(4,3),-0.245925 # DEPENDENCYPART_ARC
(4,5),2.06598 # DEPENDENCYPART_ARC
(4,6),1.34042 # DEPENDENCYPART_ARC
(4,7),1.82789 # DEPENDENCYPART_ARC
(4,8),-0.32391 # DEPENDENCYPART_ARC
(4,9),0.318593 # DEPENDENCYPART_ARC
(4,10),-0.804605 # DEPENDENCYPART_ARC
(4,11),-0.542124 # DEPENDENCYPART_ARC
(4,12),-0.668946 # DEPENDENCYPART_ARC
(4,13),-0.145436 # DEPENDENCYPART_ARC
(4,14),-0.217509 # DEPENDENCYPART_ARC
(4,15),-0.492126 # DEPENDENCYPART_ARC
(4,16),-1.05791 # DEPENDENCYPART_ARC
(4,17),-0.406062 # DEPENDENCYPART_ARC
(4,18),-1.34252 # DEPENDENCYPART_ARC
(4,19),-0.500695 # DEPENDENCYPART_ARC
(4,20),-1.28554 # DEPENDENCYPART_ARC
(4,21),-1.20378 # DEPENDENCYPART_ARC
(5,1),-1.645 # DEPENDENCYPART_ARC
(5,2),-3.15287 # DEPENDENCYPART_ARC
(5,3),-1.27272 # DEPENDENCYPART_ARC
(5,4),-1.99747 # DEPENDENCYPART_ARC
(5,6),-0.768991 # DEPENDENCYPART_ARC
(5,7),-2.01249 # DEPENDENCYPART_ARC
(5,8),-1.18298 # DEPENDENCYPART_ARC
(5,9),-1.82916 # DEPENDENCYPART_ARC
(5,10),-2.5149 # DEPENDENCYPART_ARC
(5,11),-2.58009 # DEPENDENCYPART_ARC
(5,12),-1.98236 # DEPENDENCYPART_ARC
(5,13),-1.9521 # DEPENDENCYPART_ARC
(5,14),-2.66004 # DEPENDENCYPART_ARC
(5,15),-1.83512 # DEPENDENCYPART_ARC
(5,16),-3.4649 # DEPENDENCYPART_ARC
(5,17),-2.40846 # DEPENDENCYPART_ARC
(5,18),-3.42071 # DEPENDENCYPART_ARC
(5,19),-2.19681 # DEPENDENCYPART_ARC
(5,20),-1.17994 # DEPENDENCYPART_ARC
(5,21),-1.93921 # DEPENDENCYPART_ARC
(6,1),-1.27003 # DEPENDENCYPART_ARC
(6,2),-0.878723 # DEPENDENCYPART_ARC
(6,3),-1.02112 # DEPENDENCYPART_ARC
(6,4),-0.509459 # DEPENDENCYPART_ARC
(6,5),-0.328419 # DEPENDENCYPART_ARC
(6,7),-0.199101 # DEPENDENCYPART_ARC
(6,8),0.0322536 # DEPENDENCYPART_ARC
(6,9),-0.783963 # DEPENDENCYPART_ARC
(6,10),-1.17797 # DEPENDENCYPART_ARC
(6,11),-1.22266 # DEPENDENCYPART_ARC
(6,12),-1.30914 # DEPENDENCYPART_ARC
(6,13),-1.13623 # DEPENDENCYPART_ARC
(6,14),-1.47276 # DEPENDENCYPART_ARC
(6,15),-0.743582 # DEPENDENCYPART_ARC
(6,16),-1.41869 # DEPENDENCYPART_ARC
(6,17),-1.32209 # DEPENDENCYPART_ARC
(6,18),-1.59836 # DEPENDENCYPART_ARC
(6,19),-1.64507 # DEPENDENCYPART_ARC
(6,20),-1.36258 # DEPENDENCYPART_ARC
(6,21),-1.02056 # DEPENDENCYPART_ARC
(7,1),-4.58277 # DEPENDENCYPART_ARC
(7,2),-2.61444 # DEPENDENCYPART_ARC
(7,4),-1.82846 # DEPENDENCYPART_ARC
(7,6),-0.478109 # DEPENDENCYPART_ARC
(7,8),1.67694 # DEPENDENCYPART_ARC
(7,11),-2.10992 # DEPENDENCYPART_ARC
(7,14),-1.27897 # DEPENDENCYPART_ARC
(7,15),-0.916698 # DEPENDENCYPART_ARC
(7,16),-3.27647 # DEPENDENCYPART_ARC
(7,17),-1.53761 # DEPENDENCYPART_ARC
(7,18),-2.421 # DEPENDENCYPART_ARC
(7,21),-0.893276 # DEPENDENCYPART_ARC
(8,1),-1.4873 # DEPENDENCYPART_ARC
(8,2),-0.956931 # DEPENDENCYPART_ARC
(8,3),-1.3101 # DEPENDENCYPART_ARC
(8,4),-0.598494 # DEPENDENCYPART_ARC
(8,5),-0.901028 # DEPENDENCYPART_ARC
(8,7),-0.629629 # DEPENDENCYPART_ARC
(8,9),-0.438227 # DEPENDENCYPART_ARC
(8,11),-1.0098 # DEPENDENCYPART_ARC
(8,13),-1.53396 # DEPENDENCYPART_ARC
(8,14),-1.33079 # DEPENDENCYPART_ARC
(8,16),-1.74427 # DEPENDENCYPART_ARC
(8,18),-1.78435 # DEPENDENCYPART_ARC
(8,20),-1.61998 # DEPENDENCYPART_ARC
(9,1),-1.45491 # DEPENDENCYPART_ARC
(9,2),1.20731 # DEPENDENCYPART_ARC
(9,3),-0.621971 # DEPENDENCYPART_ARC
(9,4),1.27721 # DEPENDENCYPART_ARC
(9,5),-0.711889 # DEPENDENCYPART_ARC
(9,6),0.0105402 # DEPENDENCYPART_ARC
(9,7),-1.27085 # DEPENDENCYPART_ARC
(9,8),0.15798 # DEPENDENCYPART_ARC
(9,10),-0.748965 # DEPENDENCYPART_ARC
(9,11),0.402898 # DEPENDENCYPART_ARC
(9,12),0.069463 # DEPENDENCYPART_ARC
(9,13),-0.835933 # DEPENDENCYPART_ARC
(9,14),0.753928 # DEPENDENCYPART_ARC
(9,15),-0.0709794 # DEPENDENCYPART_ARC
(9,16),-0.492088 # DEPENDENCYPART_ARC
(9,17),-0.366239 # DEPENDENCYPART_ARC
(9,18),-0.638615 # DEPENDENCYPART_ARC
(9,19),-0.451795 # DEPENDENCYPART_ARC
(9,20),-0.821428 # DEPENDENCYPART_ARC
(9,21),-0.459912 # DEPENDENCYPART_ARC
(10,1),-3.29849 # DEPENDENCYPART_ARC
(10,4),-2.22698 # DEPENDENCYPART_ARC
(10,8),-1.55953 # DEPENDENCYPART_ARC
(10,9),-0.656313 # DEPENDENCYPART_ARC
(10,11),0.0259078 # DEPENDENCYPART_ARC
(10,14),-1.23308 # DEPENDENCYPART_ARC
(10,15),-0.450489 # DEPENDENCYPART_ARC
(10,16),-1.7746 # DEPENDENCYPART_ARC
(10,17),-0.874468 # DEPENDENCYPART_ARC
(10,18),-1.75028 # DEPENDENCYPART_ARC
(10,21),-0.665348 # DEPENDENCYPART_ARC
(11,1),-2.99226 # DEPENDENCYPART_ARC
(11,2),-2.1133 # DEPENDENCYPART_ARC
(11,3),-2.15235 # DEPENDENCYPART_ARC
(11,4),-1.84673 # DEPENDENCYPART_ARC
(11,5),-2.02161 # DEPENDENCYPART_ARC
(11,6),-1.18829 # DEPENDENCYPART_ARC
(11,7),-2.92486 # DEPENDENCYPART_ARC
(11,8),-1.05966 # DEPENDENCYPART_ARC
(11,9),-0.670549 # DEPENDENCYPART_ARC
(11,10),0.726144 # DEPENDENCYPART_ARC
(11,12),-0.64408 # DEPENDENCYPART_ARC
(11,13),-0.908385 # DEPENDENCYPART_ARC
(11,14),-1.64697 # DEPENDENCYPART_ARC
(11,15),-1.10499 # DEPENDENCYPART_ARC
(11,16),-1.67944 # DEPENDENCYPART_ARC
(11,17),-1.21719 # DEPENDENCYPART_ARC
(11,18),-2.36754 # DEPENDENCYPART_ARC
(11,19),-2.29732 # DEPENDENCYPART_ARC
(11,20),-3.10389 # DEPENDENCYPART_ARC
(11,21),-1.15342 # DEPENDENCYPART_ARC
(12,1),-1.98682 # DEPENDENCYPART_ARC
(12,4),-1.93318 # DEPENDENCYPART_ARC
(12,7),-1.66773 # DEPENDENCYPART_ARC
(12,8),-1.37835 # DEPENDENCYPART_ARC
(12,9),-0.976701 # DEPENDENCYPART_ARC
(12,11),-0.716889 # DEPENDENCYPART_ARC
(12,14),-1.05122 # DEPENDENCYPART_ARC
(12,15),-0.440433 # DEPENDENCYPART_ARC
(12,16),-1.36639 # DEPENDENCYPART_ARC
(12,18),-1.26338 # DEPENDENCYPART_ARC
(12,19),-0.783629 # DEPENDENCYPART_ARC
(12,21),-0.712802 # DEPENDENCYPART_ARC
(13,1),-1.35445 # DEPENDENCYPART_ARC
(13,2),-1.78013 # DEPENDENCYPART_ARC
(13,3),-1.47632 # DEPENDENCYPART_ARC
(13,4),-1.69552 # DEPENDENCYPART_ARC
(13,5),-0.882258 # DEPENDENCYPART_ARC
(13,6),-0.975095 # DEPENDENCYPART_ARC
(13,7),-0.398685 # DEPENDENCYPART_ARC
(13,8),-1.25453 # DEPENDENCYPART_ARC
(13,9),-1.03084 # DEPENDENCYPART_ARC
(13,10),-0.659526 # DEPENDENCYPART_ARC
(13,11),-0.478997 # DEPENDENCYPART_ARC
(13,12),0.0994857 # DEPENDENCYPART_ARC
(13,14),0.0334067 # DEPENDENCYPART_ARC
(13,15),0.197397 # DEPENDENCYPART_ARC
(13,16),-1.35387 # DEPENDENCYPART_ARC
(13,17),-0.0355798 # DEPENDENCYPART_ARC
(13,18),-1.45637 # DEPENDENCYPART_ARC
(13,19),-0.54621 # DEPENDENCYPART_ARC
(13,20),-1.20082 # DEPENDENCYPART_ARC
(13,21),-0.52541 # DEPENDENCYPART_ARC
(14,1),0.0403213 # DEPENDENCYPART_ARC
(14,2),0.317237 # DEPENDENCYPART_ARC
(14,3),-0.732984 # DEPENDENCYPART_ARC
(14,4),0.846467 # DEPENDENCYPART_ARC
(14,5),-0.368865 # DEPENDENCYPART_ARC
(14,6),-0.000891805 # DEPENDENCYPART_ARC
(14,7),0.0764592 # DEPENDENCYPART_ARC
(14,8),-0.791542 # DEPENDENCYPART_ARC
(14,9),-0.394711 # DEPENDENCYPART_ARC
(14,10),0.957447 # DEPENDENCYPART_ARC
(14,11),1.42053 # DEPENDENCYPART_ARC
(14,12),1.87084 # DEPENDENCYPART_ARC
(14,13),1.75091 # DEPENDENCYPART_ARC
(14,15),1.84689 # DEPENDENCYPART_ARC
(14,16),0.820266 # DEPENDENCYPART_ARC
(14,17),0.0677403 # DEPENDENCYPART_ARC
(14,18),0.088486 # DEPENDENCYPART_ARC
(14,19),-0.0926346 # DEPENDENCYPART_ARC
(14,20),0.0766326 # DEPENDENCYPART_ARC
(14,21),-0.397943 # DEPENDENCYPART_ARC
(15,1),-1.28552 # DEPENDENCYPART_ARC
(15,2),-1.20941 # DEPENDENCYPART_ARC
(15,3),-1.40316 # DEPENDENCYPART_ARC
(15,4),-1.0495 # DEPENDENCYPART_ARC
(15,5),-1.11486 # DEPENDENCYPART_ARC
(15,7),-1.4193 # DEPENDENCYPART_ARC
(15,9),-0.830382 # DEPENDENCYPART_ARC
(15,11),-0.847507 # DEPENDENCYPART_ARC
(15,13),-0.987768 # DEPENDENCYPART_ARC
(15,14),0.0761371 # DEPENDENCYPART_ARC
(15,16),-0.717394 # DEPENDENCYPART_ARC
(15,18),-0.775069 # DEPENDENCYPART_ARC
(15,20),-0.995197 # DEPENDENCYPART_ARC
(16,1),-5.28345 # DEPENDENCYPART_ARC
(16,2),-3.99277 # DEPENDENCYPART_ARC
(16,3),-2.61605 # DEPENDENCYPART_ARC
(16,4),-3.81335 # DEPENDENCYPART_ARC
(16,5),-3.04435 # DEPENDENCYPART_ARC
(16,6),-2.02144 # DEPENDENCYPART_ARC
(16,7),-5.78655 # DEPENDENCYPART_ARC
(16,8),-1.8353 # DEPENDENCYPART_ARC
(16,9),-1.51341 # DEPENDENCYPART_ARC
(16,10),-2.4412 # DEPENDENCYPART_ARC
(16,11),-2.5202 # DEPENDENCYPART_ARC
(16,12),-1.22486 # DEPENDENCYPART_ARC
(16,13),-2.14463 # DEPENDENCYPART_ARC
(16,14),-1.32869 # DEPENDENCYPART_ARC
(16,15),-0.157176 # DEPENDENCYPART_ARC
(16,17),-0.235588 # DEPENDENCYPART_ARC
(16,18),-2.18676 # DEPENDENCYPART_ARC
(16,19),-1.9183 # DEPENDENCYPART_ARC
(16,20),-2.29224 # DEPENDENCYPART_ARC
(16,21),-0.650759 # DEPENDENCYPART_ARC
(17,1),-2.82405 # DEPENDENCYPART_ARC
(17,2),-2.41316 # DEPENDENCYPART_ARC
(17,4),-2.34024 # DEPENDENCYPART_ARC
(17,8),-2.64644 # DEPENDENCYPART_ARC
(17,9),-1.70019 # DEPENDENCYPART_ARC
(17,11),-2.27273 # DEPENDENCYPART_ARC
(17,12),-2.27364 # DEPENDENCYPART_ARC
(17,14),-1.68501 # DEPENDENCYPART_ARC
(17,15),-1.9575 # DEPENDENCYPART_ARC
(17,16),0.0703055 # DEPENDENCYPART_ARC
(17,18),-0.236093 # DEPENDENCYPART_ARC
(17,19),-0.633831 # DEPENDENCYPART_ARC
(17,21),-0.471457 # DEPENDENCYPART_ARC
(18,1),-0.978859 # DEPENDENCYPART_ARC
(18,2),-0.748475 # DEPENDENCYPART_ARC
(18,3),-0.93037 # DEPENDENCYPART_ARC
(18,4),0.0913959 # DEPENDENCYPART_ARC
(18,5),-0.680976 # DEPENDENCYPART_ARC
(18,6),-1.002 # DEPENDENCYPART_ARC
(18,7),-0.713837 # DEPENDENCYPART_ARC
(18,8),-1.32806 # DEPENDENCYPART_ARC
(18,9),-0.559317 # DEPENDENCYPART_ARC
(18,10),-0.562539 # DEPENDENCYPART_ARC
(18,11),-0.475285 # DEPENDENCYPART_ARC
(18,12),0.0385865 # DEPENDENCYPART_ARC
(18,13),0.0657838 # DEPENDENCYPART_ARC
(18,14),0.0635193 # DEPENDENCYPART_ARC
(18,15),-0.757647 # DEPENDENCYPART_ARC
(18,16),1.96709 # DEPENDENCYPART_ARC
(18,17),0.182439 # DEPENDENCYPART_ARC
(18,19),1.23306 # DEPENDENCYPART_ARC
(18,20),0.979128 # DEPENDENCYPART_ARC
(18,21),-0.411183 # DEPENDENCYPART_ARC
(19,1),-1.75713 # DEPENDENCYPART_ARC
(19,4),-2.04768 # DEPENDENCYPART_ARC
(19,7),-1.73701 # DEPENDENCYPART_ARC
(19,8),-1.63439 # DEPENDENCYPART_ARC
(19,9),-1.39723 # DEPENDENCYPART_ARC
(19,11),-1.85919 # DEPENDENCYPART_ARC
(19,12),-1.38857 # DEPENDENCYPART_ARC
(19,14),-1.7272 # DEPENDENCYPART_ARC
(19,15),-1.28383 # DEPENDENCYPART_ARC
(19,16),-1.27607 # DEPENDENCYPART_ARC
(19,18),-0.390096 # DEPENDENCYPART_ARC
(19,21),-0.075843 # DEPENDENCYPART_ARC
(20,1),-1.79428 # DEPENDENCYPART_ARC
(20,2),-1.81386 # DEPENDENCYPART_ARC
(20,3),-1.77793 # DEPENDENCYPART_ARC
(20,4),-1.97003 # DEPENDENCYPART_ARC
(20,5),-1.14663 # DEPENDENCYPART_ARC
(20,6),-1.24595 # DEPENDENCYPART_ARC
(20,7),-1.02175 # DEPENDENCYPART_ARC
(20,8),-1.67436 # DEPENDENCYPART_ARC
(20,9),-1.49857 # DEPENDENCYPART_ARC
(20,10),-1.1739 # DEPENDENCYPART_ARC
(20,11),-1.72028 # DEPENDENCYPART_ARC
(20,12),-1.36593 # DEPENDENCYPART_ARC
(20,13),-1.37811 # DEPENDENCYPART_ARC
(20,14),-2.02246 # DEPENDENCYPART_ARC
(20,15),-1.39662 # DEPENDENCYPART_ARC
(20,16),-0.245808 # DEPENDENCYPART_ARC
(20,17),-1.18665 # DEPENDENCYPART_ARC
(20,18),-1.36118 # DEPENDENCYPART_ARC
(20,19),-0.232725 # DEPENDENCYPART_ARC
(20,21),1.86032 # DEPENDENCYPART_ARC
(21,1),-1.34193 # DEPENDENCYPART_ARC
(21,4),-1.51868 # DEPENDENCYPART_ARC
(21,8),-1.55994 # DEPENDENCYPART_ARC
(21,9),-1.25053 # DEPENDENCYPART_ARC
(21,11),-1.28166 # DEPENDENCYPART_ARC
(21,14),-1.49628 # DEPENDENCYPART_ARC
(21,15),-1.35172 # DEPENDENCYPART_ARC
(21,16),-1.09369 # DEPENDENCYPART_ARC
(21,18),-0.99649 # DEPENDENCYPART_ARC
