# _root_ otsailean egindako bileran , arabera , giza_eskubideak urratzen dituen ekintzarik ez babesteko konpromisoa hartu zuten sinatzaileek .
#goldHeads=2,3,14,3,14,5,8,10,8,12,12,13,14,0,14,14,16,
#predictedHeads=2,3,12,3,8,5,8,10,8,12,12,13,14,0,14,14,16,
(2,3),-0.111815 # DEPENDENCYPART_ARC
(2,4),-0.63329 # DEPENDENCYPART_ARC
(2,5),-1.12576 # DEPENDENCYPART_ARC
(2,6),-1.49838 # DEPENDENCYPART_ARC
(2,7),-3.50772 # DEPENDENCYPART_ARC
(2,8),-1.94656 # DEPENDENCYPART_ARC
(2,9),-0.860237 # DEPENDENCYPART_ARC
(2,10),-3.01131 # DEPENDENCYPART_ARC
(2,11),-1.72201 # DEPENDENCYPART_ARC
(2,12),-2.20347 # DEPENDENCYPART_ARC
(2,13),-2.84967 # DEPENDENCYPART_ARC
(2,14),-2.38704 # DEPENDENCYPART_ARC
(2,15),-1.82023 # DEPENDENCYPART_ARC
(2,16),-2.96676 # DEPENDENCYPART_ARC
(2,17),-1.86916 # DEPENDENCYPART_ARC
(3,1),-1.62106 # DEPENDENCYPART_ARC
(3,2),2.54235 # DEPENDENCYPART_ARC
(3,4),1.05495 # DEPENDENCYPART_ARC
(3,5),-0.789612 # DEPENDENCYPART_ARC
(3,6),-0.809233 # DEPENDENCYPART_ARC
(3,7),-1.70382 # DEPENDENCYPART_ARC
(3,8),-1.26255 # DEPENDENCYPART_ARC
(3,9),-3.78794 # DEPENDENCYPART_ARC
(3,10),-1.98474 # DEPENDENCYPART_ARC
(3,11),-2.52935 # DEPENDENCYPART_ARC
(3,12),-2.15963 # DEPENDENCYPART_ARC
(3,13),-2.70132 # DEPENDENCYPART_ARC
(3,14),-2.87697 # DEPENDENCYPART_ARC
(3,15),-3.2139 # DEPENDENCYPART_ARC
(3,16),-2.84251 # DEPENDENCYPART_ARC
(3,17),-0.808444 # DEPENDENCYPART_ARC
(4,1),-0.790853 # DEPENDENCYPART_ARC
(4,2),-0.344055 # DEPENDENCYPART_ARC
(4,3),-0.125961 # DEPENDENCYPART_ARC
(4,7),-0.345537 # DEPENDENCYPART_ARC
(4,8),-0.613084 # DEPENDENCYPART_ARC
(4,9),-0.710652 # DEPENDENCYPART_ARC
(4,10),-0.9031 # DEPENDENCYPART_ARC
(4,12),-1.07696 # DEPENDENCYPART_ARC
(4,13),-1.10511 # DEPENDENCYPART_ARC
(4,14),-0.99796 # DEPENDENCYPART_ARC
(4,15),-0.728158 # DEPENDENCYPART_ARC
(4,16),-1.38662 # DEPENDENCYPART_ARC
(5,1),-1.17665 # DEPENDENCYPART_ARC
(5,2),-0.986391 # DEPENDENCYPART_ARC
(5,3),-0.759116 # DEPENDENCYPART_ARC
(5,4),0.192542 # DEPENDENCYPART_ARC
(5,6),1.77688 # DEPENDENCYPART_ARC
(5,7),-0.807171 # DEPENDENCYPART_ARC
(5,8),-1.10476 # DEPENDENCYPART_ARC
(5,9),-0.937309 # DEPENDENCYPART_ARC
(5,10),-1.1611 # DEPENDENCYPART_ARC
(5,11),-1.27589 # DEPENDENCYPART_ARC
(5,12),-1.25147 # DEPENDENCYPART_ARC
(5,13),-1.21656 # DEPENDENCYPART_ARC
(5,14),-1.49252 # DEPENDENCYPART_ARC
(5,15),-1.19969 # DEPENDENCYPART_ARC
(5,16),-1.37269 # DEPENDENCYPART_ARC
(5,17),-0.7964 # DEPENDENCYPART_ARC
(6,1),-1.05833 # DEPENDENCYPART_ARC
(6,2),-0.954465 # DEPENDENCYPART_ARC
(6,3),-0.836145 # DEPENDENCYPART_ARC
(6,7),-0.600425 # DEPENDENCYPART_ARC
(6,8),-0.908155 # DEPENDENCYPART_ARC
(6,9),-0.712932 # DEPENDENCYPART_ARC
(6,10),-1.41962 # DEPENDENCYPART_ARC
(6,12),-1.09165 # DEPENDENCYPART_ARC
(6,13),-1.74117 # DEPENDENCYPART_ARC
(6,14),-1.35061 # DEPENDENCYPART_ARC
(6,15),-1.00876 # DEPENDENCYPART_ARC
(6,16),-2.05184 # DEPENDENCYPART_ARC
(7,1),-3.35332 # DEPENDENCYPART_ARC
(7,2),0.178023 # DEPENDENCYPART_ARC
(7,3),-3.09072 # DEPENDENCYPART_ARC
(7,4),-1.01241 # DEPENDENCYPART_ARC
(7,5),-0.576386 # DEPENDENCYPART_ARC
(7,6),0.475348 # DEPENDENCYPART_ARC
(7,8),-0.593849 # DEPENDENCYPART_ARC
(7,9),-1.42608 # DEPENDENCYPART_ARC
(7,10),-1.72769 # DEPENDENCYPART_ARC
(7,11),-2.32764 # DEPENDENCYPART_ARC
(7,12),-2.27632 # DEPENDENCYPART_ARC
(7,13),-2.0688 # DEPENDENCYPART_ARC
(7,14),-2.95175 # DEPENDENCYPART_ARC
(7,15),-1.94398 # DEPENDENCYPART_ARC
(7,16),-1.80543 # DEPENDENCYPART_ARC
(7,17),-0.81812 # DEPENDENCYPART_ARC
(8,1),0.0249474 # DEPENDENCYPART_ARC
(8,2),-0.981709 # DEPENDENCYPART_ARC
(8,3),-0.139382 # DEPENDENCYPART_ARC
(8,4),-1.0489 # DEPENDENCYPART_ARC
(8,5),0.202441 # DEPENDENCYPART_ARC
(8,6),-0.888253 # DEPENDENCYPART_ARC
(8,7),2.32437 # DEPENDENCYPART_ARC
(8,9),2.52397 # DEPENDENCYPART_ARC
(8,10),0.165229 # DEPENDENCYPART_ARC
(8,11),-0.184683 # DEPENDENCYPART_ARC
(8,12),-0.295617 # DEPENDENCYPART_ARC
(8,13),-0.305418 # DEPENDENCYPART_ARC
(8,14),-0.932758 # DEPENDENCYPART_ARC
(8,15),-1.14775 # DEPENDENCYPART_ARC
(8,16),0.215166 # DEPENDENCYPART_ARC
(8,17),-0.803236 # DEPENDENCYPART_ARC
(9,1),-2.19449 # DEPENDENCYPART_ARC
(9,2),-1.85247 # DEPENDENCYPART_ARC
(9,3),-2.06559 # DEPENDENCYPART_ARC
(9,4),-1.6626 # DEPENDENCYPART_ARC
(9,5),-1.16633 # DEPENDENCYPART_ARC
(9,6),-1.30061 # DEPENDENCYPART_ARC
(9,7),-0.403764 # DEPENDENCYPART_ARC
(9,8),-0.947334 # DEPENDENCYPART_ARC
(9,10),-1.04855 # DEPENDENCYPART_ARC
(9,11),-0.696227 # DEPENDENCYPART_ARC
(9,12),-1.59228 # DEPENDENCYPART_ARC
(9,13),-2.40022 # DEPENDENCYPART_ARC
(9,14),-2.39935 # DEPENDENCYPART_ARC
(9,15),-1.72529 # DEPENDENCYPART_ARC
(9,16),-2.01628 # DEPENDENCYPART_ARC
(9,17),-1.31126 # DEPENDENCYPART_ARC
(10,1),-3.2458 # DEPENDENCYPART_ARC
(10,2),-0.250024 # DEPENDENCYPART_ARC
(10,3),-3.14705 # DEPENDENCYPART_ARC
(10,4),-1.36814 # DEPENDENCYPART_ARC
(10,5),-1.10656 # DEPENDENCYPART_ARC
(10,6),-1.10713 # DEPENDENCYPART_ARC
(10,7),-1.67137 # DEPENDENCYPART_ARC
(10,8),0.924561 # DEPENDENCYPART_ARC
(10,9),-0.485227 # DEPENDENCYPART_ARC
(10,11),-0.583991 # DEPENDENCYPART_ARC
(10,12),-1.46677 # DEPENDENCYPART_ARC
(10,13),-1.32319 # DEPENDENCYPART_ARC
(10,14),-2.3177 # DEPENDENCYPART_ARC
(10,15),-2.13247 # DEPENDENCYPART_ARC
(10,16),-1.61274 # DEPENDENCYPART_ARC
(10,17),-0.794522 # DEPENDENCYPART_ARC
(11,1),-1.92189 # DEPENDENCYPART_ARC
(11,2),-1.95069 # DEPENDENCYPART_ARC
(11,3),-1.76607 # DEPENDENCYPART_ARC
(11,4),-1.48311 # DEPENDENCYPART_ARC
(11,6),-1.47731 # DEPENDENCYPART_ARC
(11,7),-1.78954 # DEPENDENCYPART_ARC
(11,8),-1.44348 # DEPENDENCYPART_ARC
(11,10),-0.530628 # DEPENDENCYPART_ARC
(11,12),-0.325085 # DEPENDENCYPART_ARC
(11,13),-1.2707 # DEPENDENCYPART_ARC
(11,14),-0.95734 # DEPENDENCYPART_ARC
(11,16),-1.50754 # DEPENDENCYPART_ARC
(11,17),-0.502826 # DEPENDENCYPART_ARC
(12,1),-0.175561 # DEPENDENCYPART_ARC
(12,2),-0.842671 # DEPENDENCYPART_ARC
(12,3),-0.0349648 # DEPENDENCYPART_ARC
(12,4),-1.32772 # DEPENDENCYPART_ARC
(12,5),-0.688523 # DEPENDENCYPART_ARC
(12,6),-1.3436 # DEPENDENCYPART_ARC
(12,7),0.973419 # DEPENDENCYPART_ARC
(12,8),-0.477864 # DEPENDENCYPART_ARC
(12,9),-0.509864 # DEPENDENCYPART_ARC
(12,10),1.92273 # DEPENDENCYPART_ARC
(12,11),1.36631 # DEPENDENCYPART_ARC
(12,13),-0.419265 # DEPENDENCYPART_ARC
(12,14),-1.51593 # DEPENDENCYPART_ARC
(12,15),-1.45684 # DEPENDENCYPART_ARC
(12,16),-1.06647 # DEPENDENCYPART_ARC
(12,17),-1.02048 # DEPENDENCYPART_ARC
(13,1),-3.05075 # DEPENDENCYPART_ARC
(13,2),-0.869712 # DEPENDENCYPART_ARC
(13,3),-3.01189 # DEPENDENCYPART_ARC
(13,4),-1.65469 # DEPENDENCYPART_ARC
(13,5),-1.4248 # DEPENDENCYPART_ARC
(13,6),-1.4128 # DEPENDENCYPART_ARC
(13,7),-2.12368 # DEPENDENCYPART_ARC
(13,8),-0.270183 # DEPENDENCYPART_ARC
(13,9),-1.97576 # DEPENDENCYPART_ARC
(13,10),-0.468197 # DEPENDENCYPART_ARC
(13,11),0.017894 # DEPENDENCYPART_ARC
(13,12),1.8813 # DEPENDENCYPART_ARC
(13,14),-0.752065 # DEPENDENCYPART_ARC
(13,15),-1.08551 # DEPENDENCYPART_ARC
(13,16),-0.929983 # DEPENDENCYPART_ARC
(13,17),-0.510516 # DEPENDENCYPART_ARC
(14,1),-0.117085 # DEPENDENCYPART_ARC
(14,2),-0.71441 # DEPENDENCYPART_ARC
(14,3),-0.427429 # DEPENDENCYPART_ARC
(14,4),-1.75106 # DEPENDENCYPART_ARC
(14,5),-0.612455 # DEPENDENCYPART_ARC
(14,6),-1.76704 # DEPENDENCYPART_ARC
(14,7),-0.0509153 # DEPENDENCYPART_ARC
(14,8),-0.331443 # DEPENDENCYPART_ARC
(14,9),-0.846065 # DEPENDENCYPART_ARC
(14,10),-0.257494 # DEPENDENCYPART_ARC
(14,11),0.0197826 # DEPENDENCYPART_ARC
(14,12),0.385342 # DEPENDENCYPART_ARC
(14,13),1.94075 # DEPENDENCYPART_ARC
(14,15),1.70264 # DEPENDENCYPART_ARC
(14,16),1.43488 # DEPENDENCYPART_ARC
(14,17),-0.332428 # DEPENDENCYPART_ARC
(15,1),-2.11603 # DEPENDENCYPART_ARC
(15,2),-2.08237 # DEPENDENCYPART_ARC
(15,3),-2.05076 # DEPENDENCYPART_ARC
(15,4),-1.9984 # DEPENDENCYPART_ARC
(15,5),-1.49153 # DEPENDENCYPART_ARC
(15,6),-1.91481 # DEPENDENCYPART_ARC
(15,7),-1.34767 # DEPENDENCYPART_ARC
(15,8),-2.33926 # DEPENDENCYPART_ARC
(15,9),-1.43904 # DEPENDENCYPART_ARC
(15,10),-1.69622 # DEPENDENCYPART_ARC
(15,11),-1.18881 # DEPENDENCYPART_ARC
(15,12),-1.01952 # DEPENDENCYPART_ARC
(15,13),-0.260541 # DEPENDENCYPART_ARC
(15,14),-1.51363 # DEPENDENCYPART_ARC
(15,16),-0.62727 # DEPENDENCYPART_ARC
(15,17),-0.549125 # DEPENDENCYPART_ARC
(16,1),-3.67982 # DEPENDENCYPART_ARC
(16,2),-1.30671 # DEPENDENCYPART_ARC
(16,3),-3.58096 # DEPENDENCYPART_ARC
(16,4),-2.00408 # DEPENDENCYPART_ARC
(16,5),-1.86903 # DEPENDENCYPART_ARC
(16,6),-1.82352 # DEPENDENCYPART_ARC
(16,7),-2.75396 # DEPENDENCYPART_ARC
(16,8),-0.62065 # DEPENDENCYPART_ARC
(16,9),-2.46941 # DEPENDENCYPART_ARC
(16,10),-1.02472 # DEPENDENCYPART_ARC
(16,11),-0.995045 # DEPENDENCYPART_ARC
(16,12),-0.871265 # DEPENDENCYPART_ARC
(16,13),-1.66475 # DEPENDENCYPART_ARC
(16,14),0.605035 # DEPENDENCYPART_ARC
(16,15),-0.749114 # DEPENDENCYPART_ARC
(16,17),1.95932 # DEPENDENCYPART_ARC
(17,1),-1.87399 # DEPENDENCYPART_ARC
(17,2),-1.85785 # DEPENDENCYPART_ARC
(17,3),-1.93833 # DEPENDENCYPART_ARC
(17,4),-1.41062 # DEPENDENCYPART_ARC
(17,6),-1.57447 # DEPENDENCYPART_ARC
(17,7),-1.34383 # DEPENDENCYPART_ARC
(17,8),-1.56518 # DEPENDENCYPART_ARC
(17,10),-1.35376 # DEPENDENCYPART_ARC
(17,12),-1.30203 # DEPENDENCYPART_ARC
(17,13),-0.951796 # DEPENDENCYPART_ARC
(17,14),-1.03963 # DEPENDENCYPART_ARC
(17,16),-0.547576 # DEPENDENCYPART_ARC
