# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,0,4,8,6,13,8,11,8,11,0,15,22,13,16,19,22,19,20,23,0,23,24,
(1,25),-3.37875 # DEPENDENCYPART_ARC
(2,1),0.00913312 # DEPENDENCYPART_ARC
(2,3),2.37457 # DEPENDENCYPART_ARC
(2,4),-0.0406047 # DEPENDENCYPART_ARC
(2,5),0.54983 # DEPENDENCYPART_ARC
(2,6),-0.170936 # DEPENDENCYPART_ARC
(2,7),0.729649 # DEPENDENCYPART_ARC
(2,8),-0.560459 # DEPENDENCYPART_ARC
(2,9),-0.776102 # DEPENDENCYPART_ARC
(2,10),-0.706296 # DEPENDENCYPART_ARC
(2,11),-0.61911 # DEPENDENCYPART_ARC
(2,12),0.0279624 # DEPENDENCYPART_ARC
(2,13),-0.256444 # DEPENDENCYPART_ARC
(2,14),-0.812484 # DEPENDENCYPART_ARC
(2,15),-0.849782 # DEPENDENCYPART_ARC
(2,16),-1.16166 # DEPENDENCYPART_ARC
(2,17),-0.223417 # DEPENDENCYPART_ARC
(2,18),-1.30786 # DEPENDENCYPART_ARC
(2,19),-0.421374 # DEPENDENCYPART_ARC
(2,20),-1.33023 # DEPENDENCYPART_ARC
(2,21),-0.780014 # DEPENDENCYPART_ARC
(2,22),-1.09748 # DEPENDENCYPART_ARC
(2,23),-1.20209 # DEPENDENCYPART_ARC
(2,24),-1.16717 # DEPENDENCYPART_ARC
(2,25),-0.64924 # DEPENDENCYPART_ARC
(3,1),-1.49169 # DEPENDENCYPART_ARC
(3,2),-0.569919 # DEPENDENCYPART_ARC
(3,4),-0.800586 # DEPENDENCYPART_ARC
(3,5),-0.263385 # DEPENDENCYPART_ARC
(3,6),-1.35932 # DEPENDENCYPART_ARC
(3,7),-0.705359 # DEPENDENCYPART_ARC
(3,8),-1.69259 # DEPENDENCYPART_ARC
(3,9),-1.38854 # DEPENDENCYPART_ARC
(3,10),-2.0227 # DEPENDENCYPART_ARC
(3,11),-1.99326 # DEPENDENCYPART_ARC
(3,12),-1.42717 # DEPENDENCYPART_ARC
(3,13),-1.90318 # DEPENDENCYPART_ARC
(3,14),-2.10449 # DEPENDENCYPART_ARC
(3,15),-2.15894 # DEPENDENCYPART_ARC
(3,16),-2.30176 # DEPENDENCYPART_ARC
(3,17),-2.01983 # DEPENDENCYPART_ARC
(3,18),-2.21987 # DEPENDENCYPART_ARC
(3,19),-2.42919 # DEPENDENCYPART_ARC
(3,20),-2.36214 # DEPENDENCYPART_ARC
(3,21),-1.78378 # DEPENDENCYPART_ARC
(3,22),-2.11861 # DEPENDENCYPART_ARC
(3,23),-2.19117 # DEPENDENCYPART_ARC
(3,24),-1.54709 # DEPENDENCYPART_ARC
(3,25),-2.63721 # DEPENDENCYPART_ARC
(4,1),-0.361437 # DEPENDENCYPART_ARC
(4,2),0.867243 # DEPENDENCYPART_ARC
(4,3),0.462523 # DEPENDENCYPART_ARC
(4,5),2.21378 # DEPENDENCYPART_ARC
(4,6),0.458329 # DEPENDENCYPART_ARC
(4,7),0.13789 # DEPENDENCYPART_ARC
(4,8),1.2599 # DEPENDENCYPART_ARC
(4,9),-0.140219 # DEPENDENCYPART_ARC
(4,10),-1.32785 # DEPENDENCYPART_ARC
(4,11),-0.49815 # DEPENDENCYPART_ARC
(4,12),-0.723321 # DEPENDENCYPART_ARC
(4,13),-0.237195 # DEPENDENCYPART_ARC
(4,14),-1.8446 # DEPENDENCYPART_ARC
(4,15),-0.70344 # DEPENDENCYPART_ARC
(4,16),-0.525227 # DEPENDENCYPART_ARC
(4,17),-1.50167 # DEPENDENCYPART_ARC
(4,18),-1.13636 # DEPENDENCYPART_ARC
(4,19),-1.17189 # DEPENDENCYPART_ARC
(4,20),-2.09843 # DEPENDENCYPART_ARC
(4,21),-1.09023 # DEPENDENCYPART_ARC
(4,22),-0.284841 # DEPENDENCYPART_ARC
(4,23),-0.281236 # DEPENDENCYPART_ARC
(4,24),-1.03648 # DEPENDENCYPART_ARC
(4,25),-1.74826 # DEPENDENCYPART_ARC
(5,1),-2.14108 # DEPENDENCYPART_ARC
(5,2),-1.7627 # DEPENDENCYPART_ARC
(5,3),-2.06582 # DEPENDENCYPART_ARC
(5,4),-1.01565 # DEPENDENCYPART_ARC
(5,6),-0.62268 # DEPENDENCYPART_ARC
(5,7),0.00451703 # DEPENDENCYPART_ARC
(5,8),-1.48426 # DEPENDENCYPART_ARC
(5,9),-1.11598 # DEPENDENCYPART_ARC
(5,10),-1.73191 # DEPENDENCYPART_ARC
(5,11),-1.78529 # DEPENDENCYPART_ARC
(5,12),-0.860418 # DEPENDENCYPART_ARC
(5,13),-1.59275 # DEPENDENCYPART_ARC
(5,14),-1.99826 # DEPENDENCYPART_ARC
(5,15),-1.91825 # DEPENDENCYPART_ARC
(5,16),-1.97493 # DEPENDENCYPART_ARC
(5,17),-1.43878 # DEPENDENCYPART_ARC
(5,18),-2.30986 # DEPENDENCYPART_ARC
(5,19),-2.11068 # DEPENDENCYPART_ARC
(5,20),-2.18135 # DEPENDENCYPART_ARC
(5,21),-1.78053 # DEPENDENCYPART_ARC
(5,22),-1.76511 # DEPENDENCYPART_ARC
(5,23),-2.17229 # DEPENDENCYPART_ARC
(5,24),-1.26891 # DEPENDENCYPART_ARC
(5,25),-1.99955 # DEPENDENCYPART_ARC
(6,1),-1.19569 # DEPENDENCYPART_ARC
(6,2),-1.00237 # DEPENDENCYPART_ARC
(6,3),-0.842522 # DEPENDENCYPART_ARC
(6,4),-0.212008 # DEPENDENCYPART_ARC
(6,5),-0.0335545 # DEPENDENCYPART_ARC
(6,7),2.03077 # DEPENDENCYPART_ARC
(6,8),-1.05526 # DEPENDENCYPART_ARC
(6,9),-0.800766 # DEPENDENCYPART_ARC
(6,10),-0.896494 # DEPENDENCYPART_ARC
(6,11),-1.16161 # DEPENDENCYPART_ARC
(6,12),0.129627 # DEPENDENCYPART_ARC
(6,13),-0.482271 # DEPENDENCYPART_ARC
(6,14),-1.53896 # DEPENDENCYPART_ARC
(6,15),-1.21532 # DEPENDENCYPART_ARC
(6,16),-1.45059 # DEPENDENCYPART_ARC
(6,17),-0.187801 # DEPENDENCYPART_ARC
(6,18),-1.68674 # DEPENDENCYPART_ARC
(6,19),-0.882133 # DEPENDENCYPART_ARC
(6,20),-1.69463 # DEPENDENCYPART_ARC
(6,21),-1.5167 # DEPENDENCYPART_ARC
(6,22),-1.3175 # DEPENDENCYPART_ARC
(6,23),-1.65085 # DEPENDENCYPART_ARC
(6,24),-1.37632 # DEPENDENCYPART_ARC
(6,25),-0.52256 # DEPENDENCYPART_ARC
(7,1),-1.46135 # DEPENDENCYPART_ARC
(7,2),-1.50463 # DEPENDENCYPART_ARC
(7,3),-1.3399 # DEPENDENCYPART_ARC
(7,4),-0.744479 # DEPENDENCYPART_ARC
(7,5),-1.23082 # DEPENDENCYPART_ARC
(7,6),-0.367677 # DEPENDENCYPART_ARC
(7,8),-0.913936 # DEPENDENCYPART_ARC
(7,9),-0.57138 # DEPENDENCYPART_ARC
(7,10),-1.35327 # DEPENDENCYPART_ARC
(7,11),-1.36735 # DEPENDENCYPART_ARC
(7,12),-0.549725 # DEPENDENCYPART_ARC
(7,13),-1.33875 # DEPENDENCYPART_ARC
(7,14),-1.75548 # DEPENDENCYPART_ARC
(7,15),-1.68593 # DEPENDENCYPART_ARC
(7,16),-1.67474 # DEPENDENCYPART_ARC
(7,17),-1.06704 # DEPENDENCYPART_ARC
(7,18),-1.84926 # DEPENDENCYPART_ARC
(7,19),-1.92949 # DEPENDENCYPART_ARC
(7,20),-2.16248 # DEPENDENCYPART_ARC
(7,21),-1.48643 # DEPENDENCYPART_ARC
(7,22),-1.71869 # DEPENDENCYPART_ARC
(7,23),-1.99667 # DEPENDENCYPART_ARC
(7,24),-0.918922 # DEPENDENCYPART_ARC
(7,25),-1.76044 # DEPENDENCYPART_ARC
(8,1),-0.363328 # DEPENDENCYPART_ARC
(8,2),0.133039 # DEPENDENCYPART_ARC
(8,3),-0.561549 # DEPENDENCYPART_ARC
(8,4),0.988722 # DEPENDENCYPART_ARC
(8,5),-0.202053 # DEPENDENCYPART_ARC
(8,6),1.6092 # DEPENDENCYPART_ARC
(8,7),0.263036 # DEPENDENCYPART_ARC
(8,9),2.16369 # DEPENDENCYPART_ARC
(8,10),0.919468 # DEPENDENCYPART_ARC
(8,11),1.49021 # DEPENDENCYPART_ARC
(8,12),-0.258259 # DEPENDENCYPART_ARC
(8,13),-0.260107 # DEPENDENCYPART_ARC
(8,14),-1.36666 # DEPENDENCYPART_ARC
(8,15),-0.568153 # DEPENDENCYPART_ARC
(8,16),0.443514 # DEPENDENCYPART_ARC
(8,17),-0.370168 # DEPENDENCYPART_ARC
(8,18),-0.340726 # DEPENDENCYPART_ARC
(8,19),-0.660166 # DEPENDENCYPART_ARC
(8,20),-1.12762 # DEPENDENCYPART_ARC
(8,21),-1.3539 # DEPENDENCYPART_ARC
(8,22),-0.076785 # DEPENDENCYPART_ARC
(8,23),-0.623363 # DEPENDENCYPART_ARC
(8,24),-0.787112 # DEPENDENCYPART_ARC
(8,25),-1.15922 # DEPENDENCYPART_ARC
(9,1),-1.71285 # DEPENDENCYPART_ARC
(9,2),-2.11954 # DEPENDENCYPART_ARC
(9,3),-1.65241 # DEPENDENCYPART_ARC
(9,4),-1.64685 # DEPENDENCYPART_ARC
(9,5),-1.49944 # DEPENDENCYPART_ARC
(9,6),-1.99484 # DEPENDENCYPART_ARC
(9,7),-1.25638 # DEPENDENCYPART_ARC
(9,8),-1.76979 # DEPENDENCYPART_ARC
(9,10),-1.06141 # DEPENDENCYPART_ARC
(9,11),-1.6793 # DEPENDENCYPART_ARC
(9,12),-0.699856 # DEPENDENCYPART_ARC
(9,13),-1.68727 # DEPENDENCYPART_ARC
(9,14),-2.08971 # DEPENDENCYPART_ARC
(9,15),-2.67437 # DEPENDENCYPART_ARC
(9,16),-2.28744 # DEPENDENCYPART_ARC
(9,17),-1.36888 # DEPENDENCYPART_ARC
(9,18),-2.53471 # DEPENDENCYPART_ARC
(9,19),-2.02839 # DEPENDENCYPART_ARC
(9,20),-2.59671 # DEPENDENCYPART_ARC
(9,21),-2.40378 # DEPENDENCYPART_ARC
(9,22),-2.17721 # DEPENDENCYPART_ARC
(9,23),-2.75173 # DEPENDENCYPART_ARC
(9,24),-0.605597 # DEPENDENCYPART_ARC
(9,25),-1.46858 # DEPENDENCYPART_ARC
(10,1),-2.3702 # DEPENDENCYPART_ARC
(10,2),-1.51396 # DEPENDENCYPART_ARC
(10,3),-2.18381 # DEPENDENCYPART_ARC
(10,4),-1.67487 # DEPENDENCYPART_ARC
(10,5),-2.11766 # DEPENDENCYPART_ARC
(10,6),-1.33537 # DEPENDENCYPART_ARC
(10,7),-1.72926 # DEPENDENCYPART_ARC
(10,8),0.00334478 # DEPENDENCYPART_ARC
(10,9),-0.466379 # DEPENDENCYPART_ARC
(10,11),1.25727 # DEPENDENCYPART_ARC
(10,12),0.117514 # DEPENDENCYPART_ARC
(10,13),-0.655901 # DEPENDENCYPART_ARC
(10,14),-0.882108 # DEPENDENCYPART_ARC
(10,15),-0.727907 # DEPENDENCYPART_ARC
(10,16),-0.546085 # DEPENDENCYPART_ARC
(10,17),-0.937877 # DEPENDENCYPART_ARC
(10,18),-1.0364 # DEPENDENCYPART_ARC
(10,19),-1.21389 # DEPENDENCYPART_ARC
(10,20),-1.66465 # DEPENDENCYPART_ARC
(10,21),-2.03341 # DEPENDENCYPART_ARC
(10,22),-1.27578 # DEPENDENCYPART_ARC
(10,23),-1.79381 # DEPENDENCYPART_ARC
(10,24),-1.60601 # DEPENDENCYPART_ARC
(10,25),-1.02867 # DEPENDENCYPART_ARC
(11,1),-1.81903 # DEPENDENCYPART_ARC
(11,2),-1.22827 # DEPENDENCYPART_ARC
(11,3),-1.66068 # DEPENDENCYPART_ARC
(11,4),-1.06822 # DEPENDENCYPART_ARC
(11,5),-1.67288 # DEPENDENCYPART_ARC
(11,6),-1.55404 # DEPENDENCYPART_ARC
(11,7),-1.38436 # DEPENDENCYPART_ARC
(11,8),-0.254265 # DEPENDENCYPART_ARC
(11,9),-1.24416 # DEPENDENCYPART_ARC
(11,10),1.93457 # DEPENDENCYPART_ARC
(11,12),1.51606 # DEPENDENCYPART_ARC
(11,13),-0.514974 # DEPENDENCYPART_ARC
(11,14),-2.23769 # DEPENDENCYPART_ARC
(11,15),-1.61794 # DEPENDENCYPART_ARC
(11,16),-2.30458 # DEPENDENCYPART_ARC
(11,17),-0.481051 # DEPENDENCYPART_ARC
(11,18),-2.41287 # DEPENDENCYPART_ARC
(11,19),-1.38511 # DEPENDENCYPART_ARC
(11,20),-2.0961 # DEPENDENCYPART_ARC
(11,21),-2.90748 # DEPENDENCYPART_ARC
(11,22),-1.92087 # DEPENDENCYPART_ARC
(11,23),-2.61861 # DEPENDENCYPART_ARC
(11,24),-2.39381 # DEPENDENCYPART_ARC
(11,25),-1.22748 # DEPENDENCYPART_ARC
(12,1),-1.72493 # DEPENDENCYPART_ARC
(12,2),-1.48533 # DEPENDENCYPART_ARC
(12,3),-1.57965 # DEPENDENCYPART_ARC
(12,4),-1.0652 # DEPENDENCYPART_ARC
(12,5),-1.41669 # DEPENDENCYPART_ARC
(12,6),-1.34656 # DEPENDENCYPART_ARC
(12,7),-1.43099 # DEPENDENCYPART_ARC
(12,8),-0.46865 # DEPENDENCYPART_ARC
(12,9),-0.583321 # DEPENDENCYPART_ARC
(12,10),-0.537168 # DEPENDENCYPART_ARC
(12,11),-0.378426 # DEPENDENCYPART_ARC
(12,13),-0.423433 # DEPENDENCYPART_ARC
(12,14),-1.42414 # DEPENDENCYPART_ARC
(12,15),-0.793762 # DEPENDENCYPART_ARC
(12,16),-0.777339 # DEPENDENCYPART_ARC
(12,17),-0.980158 # DEPENDENCYPART_ARC
(12,18),-1.16466 # DEPENDENCYPART_ARC
(12,19),-1.63371 # DEPENDENCYPART_ARC
(12,20),-1.43634 # DEPENDENCYPART_ARC
(12,21),-1.42525 # DEPENDENCYPART_ARC
(12,22),-1.34359 # DEPENDENCYPART_ARC
(12,23),-1.41216 # DEPENDENCYPART_ARC
(12,24),-1.11419 # DEPENDENCYPART_ARC
(12,25),-1.56688 # DEPENDENCYPART_ARC
(13,1),-1.33766 # DEPENDENCYPART_ARC
(13,2),-0.830099 # DEPENDENCYPART_ARC
(13,3),-1.29368 # DEPENDENCYPART_ARC
(13,4),-0.407023 # DEPENDENCYPART_ARC
(13,5),-1.00919 # DEPENDENCYPART_ARC
(13,6),-0.735265 # DEPENDENCYPART_ARC
(13,7),-1.00541 # DEPENDENCYPART_ARC
(13,8),1.85541 # DEPENDENCYPART_ARC
(13,9),-0.647953 # DEPENDENCYPART_ARC
(13,10),0.137719 # DEPENDENCYPART_ARC
(13,11),0.557134 # DEPENDENCYPART_ARC
(13,12),-0.00135064 # DEPENDENCYPART_ARC
(13,14),-0.82533 # DEPENDENCYPART_ARC
(13,15),0.898945 # DEPENDENCYPART_ARC
(13,16),0.85502 # DEPENDENCYPART_ARC
(13,17),-0.506479 # DEPENDENCYPART_ARC
(13,18),0.158207 # DEPENDENCYPART_ARC
(13,19),-0.79829 # DEPENDENCYPART_ARC
(13,20),-0.949792 # DEPENDENCYPART_ARC
(13,21),-0.669233 # DEPENDENCYPART_ARC
(13,22),0.390529 # DEPENDENCYPART_ARC
(13,23),0.905334 # DEPENDENCYPART_ARC
(13,24),-0.868764 # DEPENDENCYPART_ARC
(13,25),-1.07911 # DEPENDENCYPART_ARC
(14,1),-2.50689 # DEPENDENCYPART_ARC
(14,2),-2.9147 # DEPENDENCYPART_ARC
(14,3),-2.55645 # DEPENDENCYPART_ARC
(14,4),-2.10368 # DEPENDENCYPART_ARC
(14,5),-2.40325 # DEPENDENCYPART_ARC
(14,6),-2.62284 # DEPENDENCYPART_ARC
(14,7),-2.31353 # DEPENDENCYPART_ARC
(14,8),-2.22735 # DEPENDENCYPART_ARC
(14,9),-2.41473 # DEPENDENCYPART_ARC
(14,10),-2.4044 # DEPENDENCYPART_ARC
(14,11),-2.66305 # DEPENDENCYPART_ARC
(14,12),-1.63724 # DEPENDENCYPART_ARC
(14,13),-0.813185 # DEPENDENCYPART_ARC
(14,15),-0.213634 # DEPENDENCYPART_ARC
(14,16),-0.678651 # DEPENDENCYPART_ARC
(14,17),-0.779489 # DEPENDENCYPART_ARC
(14,18),-0.863755 # DEPENDENCYPART_ARC
(14,19),-1.28714 # DEPENDENCYPART_ARC
(14,20),-1.48387 # DEPENDENCYPART_ARC
(14,21),-2.46387 # DEPENDENCYPART_ARC
(14,22),-1.78388 # DEPENDENCYPART_ARC
(14,23),-1.85713 # DEPENDENCYPART_ARC
(14,24),-2.04535 # DEPENDENCYPART_ARC
(14,25),-1.27641 # DEPENDENCYPART_ARC
(15,1),-1.98277 # DEPENDENCYPART_ARC
(15,2),-1.51897 # DEPENDENCYPART_ARC
(15,3),-1.88755 # DEPENDENCYPART_ARC
(15,4),-1.38303 # DEPENDENCYPART_ARC
(15,5),-1.78829 # DEPENDENCYPART_ARC
(15,6),-2.1801 # DEPENDENCYPART_ARC
(15,7),-1.64715 # DEPENDENCYPART_ARC
(15,8),-0.9771 # DEPENDENCYPART_ARC
(15,9),-1.86292 # DEPENDENCYPART_ARC
(15,10),-0.953447 # DEPENDENCYPART_ARC
(15,11),-2.35366 # DEPENDENCYPART_ARC
(15,12),-0.823812 # DEPENDENCYPART_ARC
(15,13),-0.00323933 # DEPENDENCYPART_ARC
(15,14),1.19454 # DEPENDENCYPART_ARC
(15,16),-0.556554 # DEPENDENCYPART_ARC
(15,17),-0.338894 # DEPENDENCYPART_ARC
(15,18),-2.01316 # DEPENDENCYPART_ARC
(15,19),-0.952733 # DEPENDENCYPART_ARC
(15,20),-2.17466 # DEPENDENCYPART_ARC
(15,21),-2.03138 # DEPENDENCYPART_ARC
(15,22),-2.42974 # DEPENDENCYPART_ARC
(15,23),-2.94698 # DEPENDENCYPART_ARC
(15,24),-1.7998 # DEPENDENCYPART_ARC
(15,25),-1.29361 # DEPENDENCYPART_ARC
(16,1),-2.161 # DEPENDENCYPART_ARC
(16,2),-1.34523 # DEPENDENCYPART_ARC
(16,3),-2.03019 # DEPENDENCYPART_ARC
(16,4),-1.90813 # DEPENDENCYPART_ARC
(16,5),-2.16427 # DEPENDENCYPART_ARC
(16,6),-1.68473 # DEPENDENCYPART_ARC
(16,7),-1.9432 # DEPENDENCYPART_ARC
(16,8),-0.835566 # DEPENDENCYPART_ARC
(16,9),-1.91308 # DEPENDENCYPART_ARC
(16,10),-0.414647 # DEPENDENCYPART_ARC
(16,11),-1.72673 # DEPENDENCYPART_ARC
(16,12),-1.23068 # DEPENDENCYPART_ARC
(16,13),-0.663137 # DEPENDENCYPART_ARC
(16,14),-0.0971405 # DEPENDENCYPART_ARC
(16,15),0.328593 # DEPENDENCYPART_ARC
(16,17),1.58087 # DEPENDENCYPART_ARC
(16,18),-0.530741 # DEPENDENCYPART_ARC
(16,19),-0.956537 # DEPENDENCYPART_ARC
(16,20),-1.36619 # DEPENDENCYPART_ARC
(16,21),-2.83203 # DEPENDENCYPART_ARC
(16,22),-1.68811 # DEPENDENCYPART_ARC
(16,23),-1.95864 # DEPENDENCYPART_ARC
(16,24),-1.65883 # DEPENDENCYPART_ARC
(16,25),-0.906513 # DEPENDENCYPART_ARC
(17,1),-1.80031 # DEPENDENCYPART_ARC
(17,2),-1.57857 # DEPENDENCYPART_ARC
(17,3),-1.73273 # DEPENDENCYPART_ARC
(17,4),-1.21835 # DEPENDENCYPART_ARC
(17,5),-1.67639 # DEPENDENCYPART_ARC
(17,6),-1.58922 # DEPENDENCYPART_ARC
(17,7),-1.56133 # DEPENDENCYPART_ARC
(17,8),-0.956739 # DEPENDENCYPART_ARC
(17,9),-0.760285 # DEPENDENCYPART_ARC
(17,10),-0.955198 # DEPENDENCYPART_ARC
(17,11),-1.46134 # DEPENDENCYPART_ARC
(17,12),-1.40628 # DEPENDENCYPART_ARC
(17,13),-0.525617 # DEPENDENCYPART_ARC
(17,14),-1.20231 # DEPENDENCYPART_ARC
(17,15),-0.418644 # DEPENDENCYPART_ARC
(17,16),-0.341321 # DEPENDENCYPART_ARC
(17,18),-0.221653 # DEPENDENCYPART_ARC
(17,19),-0.981687 # DEPENDENCYPART_ARC
(17,20),-0.911118 # DEPENDENCYPART_ARC
(17,21),-0.723562 # DEPENDENCYPART_ARC
(17,22),-0.59914 # DEPENDENCYPART_ARC
(17,23),-0.751578 # DEPENDENCYPART_ARC
(17,24),-0.676168 # DEPENDENCYPART_ARC
(17,25),-0.591118 # DEPENDENCYPART_ARC
(18,1),-2.45019 # DEPENDENCYPART_ARC
(18,2),-1.52633 # DEPENDENCYPART_ARC
(18,3),-2.26141 # DEPENDENCYPART_ARC
(18,4),-2.1483 # DEPENDENCYPART_ARC
(18,5),-2.11881 # DEPENDENCYPART_ARC
(18,6),-1.98391 # DEPENDENCYPART_ARC
(18,7),-2.25842 # DEPENDENCYPART_ARC
(18,8),-1.80313 # DEPENDENCYPART_ARC
(18,9),-2.2149 # DEPENDENCYPART_ARC
(18,10),-1.44794 # DEPENDENCYPART_ARC
(18,11),-2.72475 # DEPENDENCYPART_ARC
(18,12),-1.62194 # DEPENDENCYPART_ARC
(18,13),-1.27332 # DEPENDENCYPART_ARC
(18,14),-1.27253 # DEPENDENCYPART_ARC
(18,15),-1.93254 # DEPENDENCYPART_ARC
(18,16),-1.78127 # DEPENDENCYPART_ARC
(18,17),0.359894 # DEPENDENCYPART_ARC
(18,19),-0.536155 # DEPENDENCYPART_ARC
(18,20),-1.50252 # DEPENDENCYPART_ARC
(18,21),-3.03813 # DEPENDENCYPART_ARC
(18,22),-2.26009 # DEPENDENCYPART_ARC
(18,23),-2.51909 # DEPENDENCYPART_ARC
(18,24),-1.89065 # DEPENDENCYPART_ARC
(18,25),-1.42268 # DEPENDENCYPART_ARC
(19,1),-1.99672 # DEPENDENCYPART_ARC
(19,2),-1.85049 # DEPENDENCYPART_ARC
(19,3),-2.09268 # DEPENDENCYPART_ARC
(19,4),-1.18774 # DEPENDENCYPART_ARC
(19,5),-1.89274 # DEPENDENCYPART_ARC
(19,6),-1.88965 # DEPENDENCYPART_ARC
(19,7),-1.92334 # DEPENDENCYPART_ARC
(19,8),-0.0673397 # DEPENDENCYPART_ARC
(19,9),-1.35866 # DEPENDENCYPART_ARC
(19,10),-0.60068 # DEPENDENCYPART_ARC
(19,11),-0.0527188 # DEPENDENCYPART_ARC
(19,12),-1.91613 # DEPENDENCYPART_ARC
(19,13),-0.717511 # DEPENDENCYPART_ARC
(19,14),-0.917132 # DEPENDENCYPART_ARC
(19,15),0.0129066 # DEPENDENCYPART_ARC
(19,16),0.797542 # DEPENDENCYPART_ARC
(19,17),-1.19802 # DEPENDENCYPART_ARC
(19,18),2.6688 # DEPENDENCYPART_ARC
(19,20),1.98427 # DEPENDENCYPART_ARC
(19,21),0.479204 # DEPENDENCYPART_ARC
(19,22),0.232197 # DEPENDENCYPART_ARC
(19,23),-0.0133554 # DEPENDENCYPART_ARC
(19,24),-0.538258 # DEPENDENCYPART_ARC
(19,25),-0.397703 # DEPENDENCYPART_ARC
(20,1),-3.3549 # DEPENDENCYPART_ARC
(20,2),-2.52768 # DEPENDENCYPART_ARC
(20,3),-3.20148 # DEPENDENCYPART_ARC
(20,4),-3.2725 # DEPENDENCYPART_ARC
(20,5),-3.17466 # DEPENDENCYPART_ARC
(20,6),-2.88691 # DEPENDENCYPART_ARC
(20,7),-3.07531 # DEPENDENCYPART_ARC
(20,8),-2.48222 # DEPENDENCYPART_ARC
(20,9),-2.84102 # DEPENDENCYPART_ARC
(20,10),-2.46706 # DEPENDENCYPART_ARC
(20,11),-3.91177 # DEPENDENCYPART_ARC
(20,12),-2.61592 # DEPENDENCYPART_ARC
(20,13),-2.56989 # DEPENDENCYPART_ARC
(20,14),-2.54071 # DEPENDENCYPART_ARC
(20,15),-2.9552 # DEPENDENCYPART_ARC
(20,16),-2.78206 # DEPENDENCYPART_ARC
(20,17),-1.98991 # DEPENDENCYPART_ARC
(20,18),-1.4949 # DEPENDENCYPART_ARC
(20,19),-0.819246 # DEPENDENCYPART_ARC
(20,21),2.35583 # DEPENDENCYPART_ARC
(20,22),-1.08511 # DEPENDENCYPART_ARC
(20,23),-1.39594 # DEPENDENCYPART_ARC
(20,24),-1.14055 # DEPENDENCYPART_ARC
