# _root_ gasteizko_udaleko alderdi guztietako ordezkariek , ehkoak izan_ezik , isilean iragan zituzten bilkurak iraun zituen hamabost minutuak ;
#goldHeads=2,4,2,7,4,7,10,7,10,0,10,13,16,13,16,10,16,
#predictedHeads=4,4,2,10,4,7,10,7,10,12,10,13,0,13,16,13,16,
(3,12),-1.73385 # DEPENDENCYPART_ARC
(3,13),-2.12606 # DEPENDENCYPART_ARC
(3,15),-1.92465 # DEPENDENCYPART_ARC
(3,16),-2.85186 # DEPENDENCYPART_ARC
(4,1),2.34862 # DEPENDENCYPART_ARC
(4,2),0.720183 # DEPENDENCYPART_ARC
(4,3),0.132272 # DEPENDENCYPART_ARC
(4,5),1.48791 # DEPENDENCYPART_ARC
(4,6),-0.6848 # DEPENDENCYPART_ARC
(4,7),-0.358362 # DEPENDENCYPART_ARC
(4,8),-0.665199 # DEPENDENCYPART_ARC
(4,9),-1.15446 # DEPENDENCYPART_ARC
(4,10),-1.87216 # DEPENDENCYPART_ARC
(4,11),-2.61908 # DEPENDENCYPART_ARC
(4,12),-0.447088 # DEPENDENCYPART_ARC
(4,13),-2.23607 # DEPENDENCYPART_ARC
(4,14),-2.08195 # DEPENDENCYPART_ARC
(4,15),-3.10276 # DEPENDENCYPART_ARC
(4,16),-1.7915 # DEPENDENCYPART_ARC
(4,17),-0.799968 # DEPENDENCYPART_ARC
(5,1),-0.906712 # DEPENDENCYPART_ARC
(5,2),-0.791723 # DEPENDENCYPART_ARC
(5,4),-0.199338 # DEPENDENCYPART_ARC
(5,7),-0.782755 # DEPENDENCYPART_ARC
(5,10),-0.812907 # DEPENDENCYPART_ARC
(5,11),-0.86961 # DEPENDENCYPART_ARC
(5,12),-1.26125 # DEPENDENCYPART_ARC
(5,13),-1.06743 # DEPENDENCYPART_ARC
(5,14),-1.06375 # DEPENDENCYPART_ARC
(5,15),-1.38147 # DEPENDENCYPART_ARC
(5,16),-1.39148 # DEPENDENCYPART_ARC
(6,1),-2.06089 # DEPENDENCYPART_ARC
(6,2),-1.38629 # DEPENDENCYPART_ARC
(6,4),-5.0646 # DEPENDENCYPART_ARC
(6,5),-0.0782902 # DEPENDENCYPART_ARC
(6,7),0.192344 # DEPENDENCYPART_ARC
(6,8),-0.639137 # DEPENDENCYPART_ARC
(6,9),-1.51963 # DEPENDENCYPART_ARC
(6,10),-3.29573 # DEPENDENCYPART_ARC
(6,12),-1.38633 # DEPENDENCYPART_ARC
(6,13),-3.57113 # DEPENDENCYPART_ARC
(6,15),-4.11499 # DEPENDENCYPART_ARC
(6,16),-2.8264 # DEPENDENCYPART_ARC
(7,1),-2.44614 # DEPENDENCYPART_ARC
(7,2),-0.573784 # DEPENDENCYPART_ARC
(7,3),-1.52284 # DEPENDENCYPART_ARC
(7,4),-1.08524 # DEPENDENCYPART_ARC
(7,5),-0.510098 # DEPENDENCYPART_ARC
(7,6),0.312722 # DEPENDENCYPART_ARC
(7,8),2.15026 # DEPENDENCYPART_ARC
(7,9),-0.0424945 # DEPENDENCYPART_ARC
(7,10),-0.457412 # DEPENDENCYPART_ARC
(7,11),-0.20682 # DEPENDENCYPART_ARC
(7,12),0.441915 # DEPENDENCYPART_ARC
(7,13),-1.28557 # DEPENDENCYPART_ARC
(7,14),-0.680412 # DEPENDENCYPART_ARC
(7,15),-0.889377 # DEPENDENCYPART_ARC
(7,16),-0.591085 # DEPENDENCYPART_ARC
(7,17),0.0277547 # DEPENDENCYPART_ARC
(8,1),-1.58615 # DEPENDENCYPART_ARC
(8,2),-1.58227 # DEPENDENCYPART_ARC
(8,4),-1.56005 # DEPENDENCYPART_ARC
(8,7),-0.421569 # DEPENDENCYPART_ARC
(8,10),-1.07617 # DEPENDENCYPART_ARC
(8,11),-0.996741 # DEPENDENCYPART_ARC
(8,12),-1.47525 # DEPENDENCYPART_ARC
(8,13),-1.41498 # DEPENDENCYPART_ARC
(8,14),-1.29745 # DEPENDENCYPART_ARC
(8,15),-1.82087 # DEPENDENCYPART_ARC
(8,16),-1.94493 # DEPENDENCYPART_ARC
(9,1),-1.16437 # DEPENDENCYPART_ARC
(9,2),-1.15766 # DEPENDENCYPART_ARC
(9,3),-1.24939 # DEPENDENCYPART_ARC
(9,4),-1.125 # DEPENDENCYPART_ARC
(9,5),-1.06662 # DEPENDENCYPART_ARC
(9,6),-0.721312 # DEPENDENCYPART_ARC
(9,7),-0.561757 # DEPENDENCYPART_ARC
(9,8),0.104168 # DEPENDENCYPART_ARC
(9,10),-0.514943 # DEPENDENCYPART_ARC
(9,11),-0.494572 # DEPENDENCYPART_ARC
(9,12),-0.990415 # DEPENDENCYPART_ARC
(9,13),-1.40474 # DEPENDENCYPART_ARC
(9,14),-1.0951 # DEPENDENCYPART_ARC
(9,15),-1.34698 # DEPENDENCYPART_ARC
(9,16),-1.22869 # DEPENDENCYPART_ARC
(9,17),-0.761243 # DEPENDENCYPART_ARC
(10,1),-0.100296 # DEPENDENCYPART_ARC
(10,2),-0.60039 # DEPENDENCYPART_ARC
(10,3),-2.00543 # DEPENDENCYPART_ARC
(10,4),0.292263 # DEPENDENCYPART_ARC
(10,5),-1.38017 # DEPENDENCYPART_ARC
(10,6),-0.112258 # DEPENDENCYPART_ARC
(10,7),0.0665994 # DEPENDENCYPART_ARC
(10,8),-0.954879 # DEPENDENCYPART_ARC
(10,9),1.08164 # DEPENDENCYPART_ARC
(10,11),1.90469 # DEPENDENCYPART_ARC
(10,12),0.533636 # DEPENDENCYPART_ARC
(10,13),-0.377229 # DEPENDENCYPART_ARC
(10,14),-0.543357 # DEPENDENCYPART_ARC
(10,15),-0.8189 # DEPENDENCYPART_ARC
(10,16),-0.512211 # DEPENDENCYPART_ARC
(10,17),-0.418327 # DEPENDENCYPART_ARC
(11,1),-1.26678 # DEPENDENCYPART_ARC
(11,2),-1.6623 # DEPENDENCYPART_ARC
(11,4),-1.25148 # DEPENDENCYPART_ARC
(11,5),-1.65692 # DEPENDENCYPART_ARC
(11,6),-1.14295 # DEPENDENCYPART_ARC
(11,7),-1.29832 # DEPENDENCYPART_ARC
(11,8),-1.26057 # DEPENDENCYPART_ARC
(11,9),-0.864406 # DEPENDENCYPART_ARC
(11,10),-0.814248 # DEPENDENCYPART_ARC
(11,12),-0.722832 # DEPENDENCYPART_ARC
(11,13),-1.74371 # DEPENDENCYPART_ARC
(11,14),-1.43037 # DEPENDENCYPART_ARC
(11,15),-1.84567 # DEPENDENCYPART_ARC
(11,16),-2.53362 # DEPENDENCYPART_ARC
(11,17),-1.18375 # DEPENDENCYPART_ARC
(12,1),-0.0286512 # DEPENDENCYPART_ARC
(12,2),-1.47924 # DEPENDENCYPART_ARC
(12,3),-1.88172 # DEPENDENCYPART_ARC
(12,4),-2.26014 # DEPENDENCYPART_ARC
(12,5),-1.30828 # DEPENDENCYPART_ARC
(12,6),0.0254322 # DEPENDENCYPART_ARC
(12,7),-0.834347 # DEPENDENCYPART_ARC
(12,8),-1.03262 # DEPENDENCYPART_ARC
(12,9),-0.701369 # DEPENDENCYPART_ARC
(12,10),0.982487 # DEPENDENCYPART_ARC
(12,11),-0.293408 # DEPENDENCYPART_ARC
(12,13),-0.846335 # DEPENDENCYPART_ARC
(12,14),-0.774914 # DEPENDENCYPART_ARC
(12,15),-1.9641 # DEPENDENCYPART_ARC
(12,16),-1.54044 # DEPENDENCYPART_ARC
(12,17),-0.790533 # DEPENDENCYPART_ARC
(13,1),-0.729221 # DEPENDENCYPART_ARC
(13,2),-1.11631 # DEPENDENCYPART_ARC
(13,3),-1.56817 # DEPENDENCYPART_ARC
(13,4),-0.295283 # DEPENDENCYPART_ARC
(13,5),-1.40654 # DEPENDENCYPART_ARC
(13,6),-0.522645 # DEPENDENCYPART_ARC
(13,7),-0.0875341 # DEPENDENCYPART_ARC
(13,8),-1.33437 # DEPENDENCYPART_ARC
(13,9),-0.0154547 # DEPENDENCYPART_ARC
(13,10),0.47971 # DEPENDENCYPART_ARC
(13,11),-0.642194 # DEPENDENCYPART_ARC
(13,12),2.08445 # DEPENDENCYPART_ARC
(13,14),1.85255 # DEPENDENCYPART_ARC
(13,15),0.129408 # DEPENDENCYPART_ARC
(13,16),0.939074 # DEPENDENCYPART_ARC
(13,17),-0.149697 # DEPENDENCYPART_ARC
(14,1),-1.59935 # DEPENDENCYPART_ARC
(14,2),-1.66282 # DEPENDENCYPART_ARC
(14,4),-1.46409 # DEPENDENCYPART_ARC
(14,5),-1.95782 # DEPENDENCYPART_ARC
(14,6),-1.58014 # DEPENDENCYPART_ARC
(14,7),-1.62683 # DEPENDENCYPART_ARC
(14,8),-1.77645 # DEPENDENCYPART_ARC
(14,9),-1.41119 # DEPENDENCYPART_ARC
(14,10),-2.30911 # DEPENDENCYPART_ARC
(14,11),-1.11767 # DEPENDENCYPART_ARC
(14,12),-0.513194 # DEPENDENCYPART_ARC
(14,13),-1.30126 # DEPENDENCYPART_ARC
(14,15),-0.681104 # DEPENDENCYPART_ARC
(14,16),-1.66339 # DEPENDENCYPART_ARC
(14,17),-0.884923 # DEPENDENCYPART_ARC
(15,1),-2.33227 # DEPENDENCYPART_ARC
(15,2),-2.23276 # DEPENDENCYPART_ARC
(15,3),-1.58183 # DEPENDENCYPART_ARC
(15,4),-2.29881 # DEPENDENCYPART_ARC
(15,5),-1.61341 # DEPENDENCYPART_ARC
(15,6),-2.10938 # DEPENDENCYPART_ARC
(15,7),-1.10566 # DEPENDENCYPART_ARC
(15,8),-1.40134 # DEPENDENCYPART_ARC
(15,9),-0.985892 # DEPENDENCYPART_ARC
(15,10),-1.52434 # DEPENDENCYPART_ARC
(15,12),-1.34652 # DEPENDENCYPART_ARC
(15,13),-0.718586 # DEPENDENCYPART_ARC
(15,16),-0.0754186 # DEPENDENCYPART_ARC
(16,1),-0.366573 # DEPENDENCYPART_ARC
(16,2),-1.54202 # DEPENDENCYPART_ARC
(16,3),-1.70735 # DEPENDENCYPART_ARC
(16,4),-3.63058 # DEPENDENCYPART_ARC
(16,5),-1.55718 # DEPENDENCYPART_ARC
(16,6),-1.53522 # DEPENDENCYPART_ARC
(16,7),-1.09527 # DEPENDENCYPART_ARC
(16,8),-1.36457 # DEPENDENCYPART_ARC
(16,9),-1.05682 # DEPENDENCYPART_ARC
(16,10),-0.85439 # DEPENDENCYPART_ARC
(16,11),-1.71953 # DEPENDENCYPART_ARC
(16,12),-1.70916 # DEPENDENCYPART_ARC
(16,13),-0.0727438 # DEPENDENCYPART_ARC
(16,14),-1.17238 # DEPENDENCYPART_ARC
(16,15),2.06176 # DEPENDENCYPART_ARC
(16,17),1.45255 # DEPENDENCYPART_ARC
(17,1),-1.28947 # DEPENDENCYPART_ARC
(17,2),-1.1795 # DEPENDENCYPART_ARC
(17,4),-1.41501 # DEPENDENCYPART_ARC
(17,10),-0.540599 # DEPENDENCYPART_ARC
(17,11),-0.879039 # DEPENDENCYPART_ARC
(17,12),-0.835158 # DEPENDENCYPART_ARC
(17,13),-0.601856 # DEPENDENCYPART_ARC
(17,14),-0.540602 # DEPENDENCYPART_ARC
(17,16),-0.22403 # DEPENDENCYPART_ARC
