# _root_ lau euskal_herritar horiek 1996an epaitu zituzten , eta sei urteko zigorra ezarri zieten , etari laguntza ematea leporatuta .
#goldHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
#predictedHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
(8,14),-0.562551 # DEPENDENCYPART_ARC
(8,15),-1.0073 # DEPENDENCYPART_ARC
(8,16),-0.816441 # DEPENDENCYPART_ARC
(8,17),0.111005 # DEPENDENCYPART_ARC
(8,18),-0.364581 # DEPENDENCYPART_ARC
(8,19),-1.11323 # DEPENDENCYPART_ARC
(9,1),-2.66275 # DEPENDENCYPART_ARC
(9,2),-3.0151 # DEPENDENCYPART_ARC
(9,3),-2.56468 # DEPENDENCYPART_ARC
(9,5),-2.63592 # DEPENDENCYPART_ARC
(9,7),-1.96848 # DEPENDENCYPART_ARC
(9,8),-0.952167 # DEPENDENCYPART_ARC
(9,10),0.0228759 # DEPENDENCYPART_ARC
(9,11),-0.707069 # DEPENDENCYPART_ARC
(9,12),-1.05692 # DEPENDENCYPART_ARC
(9,14),-0.820217 # DEPENDENCYPART_ARC
(9,16),-1.34985 # DEPENDENCYPART_ARC
(9,17),-1.24529 # DEPENDENCYPART_ARC
(9,18),-1.18613 # DEPENDENCYPART_ARC
(9,19),-1.0854 # DEPENDENCYPART_ARC
(10,1),-0.766912 # DEPENDENCYPART_ARC
(10,2),-1.56924 # DEPENDENCYPART_ARC
(10,3),-3.48849 # DEPENDENCYPART_ARC
(10,4),-3.40203 # DEPENDENCYPART_ARC
(10,5),-1.15402 # DEPENDENCYPART_ARC
(10,6),-1.66819 # DEPENDENCYPART_ARC
(10,7),-1.06479 # DEPENDENCYPART_ARC
(10,8),-0.406608 # DEPENDENCYPART_ARC
(10,9),1.92233 # DEPENDENCYPART_ARC
(10,11),-1.14922 # DEPENDENCYPART_ARC
(10,12),-3.1978 # DEPENDENCYPART_ARC
(10,13),-3.24535 # DEPENDENCYPART_ARC
(10,14),-1.66622 # DEPENDENCYPART_ARC
(10,15),-3.68095 # DEPENDENCYPART_ARC
(10,16),-2.76769 # DEPENDENCYPART_ARC
(10,17),-2.80939 # DEPENDENCYPART_ARC
(10,18),-2.81308 # DEPENDENCYPART_ARC
(10,19),-1.76294 # DEPENDENCYPART_ARC
(11,1),-1.04895 # DEPENDENCYPART_ARC
(11,2),-1.40209 # DEPENDENCYPART_ARC
(11,3),-3.49377 # DEPENDENCYPART_ARC
(11,4),-3.04247 # DEPENDENCYPART_ARC
(11,5),-0.886112 # DEPENDENCYPART_ARC
(11,6),-1.67607 # DEPENDENCYPART_ARC
(11,7),-1.08372 # DEPENDENCYPART_ARC
(11,8),-0.49141 # DEPENDENCYPART_ARC
(11,9),0.648395 # DEPENDENCYPART_ARC
(11,10),2.51255 # DEPENDENCYPART_ARC
(11,12),-1.53981 # DEPENDENCYPART_ARC
(11,13),-1.34905 # DEPENDENCYPART_ARC
(11,14),-0.975401 # DEPENDENCYPART_ARC
(11,15),-2.57863 # DEPENDENCYPART_ARC
(11,16),-1.38075 # DEPENDENCYPART_ARC
(11,17),-1.31827 # DEPENDENCYPART_ARC
(11,18),-1.82612 # DEPENDENCYPART_ARC
(11,19),-1.4698 # DEPENDENCYPART_ARC
(12,1),-0.312191 # DEPENDENCYPART_ARC
(12,2),0.503523 # DEPENDENCYPART_ARC
(12,3),-0.262546 # DEPENDENCYPART_ARC
(12,4),0.773728 # DEPENDENCYPART_ARC
(12,5),0.295675 # DEPENDENCYPART_ARC
(12,6),-0.80397 # DEPENDENCYPART_ARC
(12,7),-0.891896 # DEPENDENCYPART_ARC
(12,8),0.281885 # DEPENDENCYPART_ARC
(12,9),0.437745 # DEPENDENCYPART_ARC
(12,10),0.321368 # DEPENDENCYPART_ARC
(12,11),2.55436 # DEPENDENCYPART_ARC
(12,13),1.91739 # DEPENDENCYPART_ARC
(12,14),-0.429678 # DEPENDENCYPART_ARC
(12,15),0.0391271 # DEPENDENCYPART_ARC
(12,16),-0.359185 # DEPENDENCYPART_ARC
(12,17),-0.103911 # DEPENDENCYPART_ARC
(12,18),0.598246 # DEPENDENCYPART_ARC
(12,19),-0.497862 # DEPENDENCYPART_ARC
(13,1),-1.56743 # DEPENDENCYPART_ARC
(13,2),-1.36412 # DEPENDENCYPART_ARC
(13,3),-0.912703 # DEPENDENCYPART_ARC
(13,5),-2.61103 # DEPENDENCYPART_ARC
(13,6),-1.1435 # DEPENDENCYPART_ARC
(13,7),-1.4354 # DEPENDENCYPART_ARC
(13,8),-1.44295 # DEPENDENCYPART_ARC
(13,9),-0.975467 # DEPENDENCYPART_ARC
(13,10),-0.620562 # DEPENDENCYPART_ARC
(13,11),-0.57563 # DEPENDENCYPART_ARC
(13,12),-1.45876 # DEPENDENCYPART_ARC
(13,14),1.26216 # DEPENDENCYPART_ARC
(13,15),-2.7457 # DEPENDENCYPART_ARC
(13,16),-2.61246 # DEPENDENCYPART_ARC
(13,17),-1.57638 # DEPENDENCYPART_ARC
(13,18),-1.70608 # DEPENDENCYPART_ARC
(13,19),-1.06152 # DEPENDENCYPART_ARC
(14,1),-1.58111 # DEPENDENCYPART_ARC
(14,2),-0.94374 # DEPENDENCYPART_ARC
(14,5),-0.925141 # DEPENDENCYPART_ARC
(14,6),-0.80456 # DEPENDENCYPART_ARC
(14,8),-0.496233 # DEPENDENCYPART_ARC
(14,9),-1.34152 # DEPENDENCYPART_ARC
(14,10),-0.37403 # DEPENDENCYPART_ARC
(14,11),-0.225397 # DEPENDENCYPART_ARC
(14,12),-0.181806 # DEPENDENCYPART_ARC
(14,13),0.183259 # DEPENDENCYPART_ARC
(14,15),-0.946769 # DEPENDENCYPART_ARC
(14,16),-1.36441 # DEPENDENCYPART_ARC
(14,17),-0.699964 # DEPENDENCYPART_ARC
(14,18),-0.823572 # DEPENDENCYPART_ARC
(15,1),-2.14776 # DEPENDENCYPART_ARC
(15,2),-3.36145 # DEPENDENCYPART_ARC
(15,5),-3.08766 # DEPENDENCYPART_ARC
(15,7),-2.27387 # DEPENDENCYPART_ARC
(15,9),-1.37969 # DEPENDENCYPART_ARC
(15,10),-2.24107 # DEPENDENCYPART_ARC
(15,11),-4.6285 # DEPENDENCYPART_ARC
(15,12),-1.97163 # DEPENDENCYPART_ARC
(15,14),-0.471628 # DEPENDENCYPART_ARC
(15,16),0.892696 # DEPENDENCYPART_ARC
(15,17),-1.54039 # DEPENDENCYPART_ARC
(15,18),-1.95829 # DEPENDENCYPART_ARC
(15,19),-0.882161 # DEPENDENCYPART_ARC
(16,1),-1.86893 # DEPENDENCYPART_ARC
(16,2),-2.62162 # DEPENDENCYPART_ARC
(16,3),-4.35724 # DEPENDENCYPART_ARC
(16,4),-4.37845 # DEPENDENCYPART_ARC
(16,5),-2.11407 # DEPENDENCYPART_ARC
(16,6),-2.45417 # DEPENDENCYPART_ARC
(16,7),-2.04748 # DEPENDENCYPART_ARC
(16,8),-1.55216 # DEPENDENCYPART_ARC
(16,9),-1.23482 # DEPENDENCYPART_ARC
(16,10),-0.772191 # DEPENDENCYPART_ARC
(16,11),-3.02773 # DEPENDENCYPART_ARC
(16,12),-1.02736 # DEPENDENCYPART_ARC
(16,13),-2.06582 # DEPENDENCYPART_ARC
(16,14),-1.06287 # DEPENDENCYPART_ARC
(16,15),-0.896266 # DEPENDENCYPART_ARC
(16,17),0.586212 # DEPENDENCYPART_ARC
(16,18),-0.888108 # DEPENDENCYPART_ARC
(16,19),-0.695866 # DEPENDENCYPART_ARC
(17,1),-0.501083 # DEPENDENCYPART_ARC
(17,2),-0.855099 # DEPENDENCYPART_ARC
(17,3),-0.320618 # DEPENDENCYPART_ARC
(17,4),-0.491575 # DEPENDENCYPART_ARC
(17,5),-1.22566 # DEPENDENCYPART_ARC
(17,6),-1.91815 # DEPENDENCYPART_ARC
(17,7),-1.5044 # DEPENDENCYPART_ARC
(17,8),-0.569352 # DEPENDENCYPART_ARC
(17,9),-0.0938493 # DEPENDENCYPART_ARC
(17,10),-1.38139 # DEPENDENCYPART_ARC
(17,11),0.500552 # DEPENDENCYPART_ARC
(17,12),-0.536459 # DEPENDENCYPART_ARC
(17,13),-1.12256 # DEPENDENCYPART_ARC
(17,14),-0.816778 # DEPENDENCYPART_ARC
(17,15),1.24849 # DEPENDENCYPART_ARC
(17,16),2.84925 # DEPENDENCYPART_ARC
(17,18),1.03402 # DEPENDENCYPART_ARC
(17,19),-0.0932399 # DEPENDENCYPART_ARC
(18,1),-0.695296 # DEPENDENCYPART_ARC
(18,2),-1.36299 # DEPENDENCYPART_ARC
(18,3),-0.959338 # DEPENDENCYPART_ARC
(18,4),-1.77838 # DEPENDENCYPART_ARC
(18,5),-1.24569 # DEPENDENCYPART_ARC
(18,6),-1.82048 # DEPENDENCYPART_ARC
(18,7),-1.74133 # DEPENDENCYPART_ARC
(18,8),-0.104536 # DEPENDENCYPART_ARC
(18,9),-0.357634 # DEPENDENCYPART_ARC
(18,10),-2.41424 # DEPENDENCYPART_ARC
(18,11),-1.07845 # DEPENDENCYPART_ARC
(18,12),-0.790449 # DEPENDENCYPART_ARC
(18,13),-1.01186 # DEPENDENCYPART_ARC
(18,14),-1.11301 # DEPENDENCYPART_ARC
(18,15),0.553591 # DEPENDENCYPART_ARC
(18,16),0.531195 # DEPENDENCYPART_ARC
(18,17),1.30567 # DEPENDENCYPART_ARC
(18,19),2.19863 # DEPENDENCYPART_ARC
(19,2),-1.91336 # DEPENDENCYPART_ARC
(19,5),-2.19712 # DEPENDENCYPART_ARC
(19,7),-1.88429 # DEPENDENCYPART_ARC
(19,8),-1.12314 # DEPENDENCYPART_ARC
(19,10),-1.5736 # DEPENDENCYPART_ARC
(19,11),-1.35745 # DEPENDENCYPART_ARC
(19,12),-1.83279 # DEPENDENCYPART_ARC
(19,14),-1.6313 # DEPENDENCYPART_ARC
(19,16),-0.828136 # DEPENDENCYPART_ARC
(19,17),-1.14586 # DEPENDENCYPART_ARC
(19,18),-0.662614 # DEPENDENCYPART_ARC
