# _root_ ia atean obrero bat , gau lanetik itzultzen dirudiena , sumindu aurpegiarekin .
#goldHeads=2,0,0,3,4,7,8,9,3,9,12,0,12,
#predictedHeads=8,3,8,3,4,8,8,0,8,9,12,8,12,
(6,3),-0.915683 # DEPENDENCYPART_ARC
(6,4),-1.13443 # DEPENDENCYPART_ARC
(6,5),0.199907 # DEPENDENCYPART_ARC
(6,7),1.30414 # DEPENDENCYPART_ARC
(6,8),-0.240535 # DEPENDENCYPART_ARC
(6,9),-0.148422 # DEPENDENCYPART_ARC
(6,10),-0.495304 # DEPENDENCYPART_ARC
(6,11),-0.163768 # DEPENDENCYPART_ARC
(6,12),-0.451903 # DEPENDENCYPART_ARC
(6,13),-0.21883 # DEPENDENCYPART_ARC
(7,1),-0.88334 # DEPENDENCYPART_ARC
(7,2),-2.75656 # DEPENDENCYPART_ARC
(7,3),-0.865336 # DEPENDENCYPART_ARC
(7,4),-2.14745 # DEPENDENCYPART_ARC
(7,5),-0.895397 # DEPENDENCYPART_ARC
(7,6),1.7912 # DEPENDENCYPART_ARC
(7,8),-0.838123 # DEPENDENCYPART_ARC
(7,9),-1.32409 # DEPENDENCYPART_ARC
(7,10),-0.810973 # DEPENDENCYPART_ARC
(7,11),-1.66715 # DEPENDENCYPART_ARC
(7,12),-1.88156 # DEPENDENCYPART_ARC
(7,13),-0.737441 # DEPENDENCYPART_ARC
(8,1),0.516645 # DEPENDENCYPART_ARC
(8,2),1.27121 # DEPENDENCYPART_ARC
(8,3),0.432672 # DEPENDENCYPART_ARC
(8,4),-0.35379 # DEPENDENCYPART_ARC
(8,5),-0.67511 # DEPENDENCYPART_ARC
(8,6),1.87658 # DEPENDENCYPART_ARC
(8,7),3.13321 # DEPENDENCYPART_ARC
(8,9),1.11067 # DEPENDENCYPART_ARC
(8,10),-0.385611 # DEPENDENCYPART_ARC
(8,11),-0.514664 # DEPENDENCYPART_ARC
(8,12),0.54185 # DEPENDENCYPART_ARC
(8,13),-0.902812 # DEPENDENCYPART_ARC
(9,1),-0.273698 # DEPENDENCYPART_ARC
(9,2),0.702133 # DEPENDENCYPART_ARC
(9,3),-0.732182 # DEPENDENCYPART_ARC
(9,4),0.00808683 # DEPENDENCYPART_ARC
(9,5),-0.752484 # DEPENDENCYPART_ARC
(9,6),0.603107 # DEPENDENCYPART_ARC
(9,7),2.1683 # DEPENDENCYPART_ARC
(9,8),0.383815 # DEPENDENCYPART_ARC
(9,10),1.15225 # DEPENDENCYPART_ARC
(9,11),-1.04366 # DEPENDENCYPART_ARC
(9,12),-0.120097 # DEPENDENCYPART_ARC
(9,13),-0.195779 # DEPENDENCYPART_ARC
(10,1),-0.898954 # DEPENDENCYPART_ARC
(10,2),-0.609238 # DEPENDENCYPART_ARC
(10,3),-0.658935 # DEPENDENCYPART_ARC
(10,4),-1.2743 # DEPENDENCYPART_ARC
(10,5),-1.05163 # DEPENDENCYPART_ARC
(10,6),-0.317507 # DEPENDENCYPART_ARC
(10,7),-0.108927 # DEPENDENCYPART_ARC
(10,8),0.127976 # DEPENDENCYPART_ARC
(10,9),0.419856 # DEPENDENCYPART_ARC
(10,11),-0.0937434 # DEPENDENCYPART_ARC
(10,12),-1.01059 # DEPENDENCYPART_ARC
(10,13),-0.351161 # DEPENDENCYPART_ARC
(11,1),-0.459741 # DEPENDENCYPART_ARC
(11,2),-0.657879 # DEPENDENCYPART_ARC
(11,3),-0.720852 # DEPENDENCYPART_ARC
(11,4),-1.5602 # DEPENDENCYPART_ARC
(11,5),-1.29857 # DEPENDENCYPART_ARC
(11,6),-0.481725 # DEPENDENCYPART_ARC
(11,7),-0.893272 # DEPENDENCYPART_ARC
(11,8),-0.0258475 # DEPENDENCYPART_ARC
(11,9),0.320711 # DEPENDENCYPART_ARC
(11,10),0.00543484 # DEPENDENCYPART_ARC
(11,12),0.303393 # DEPENDENCYPART_ARC
(11,13),-0.166355 # DEPENDENCYPART_ARC
(12,1),-1.11045 # DEPENDENCYPART_ARC
(12,2),-3.49732 # DEPENDENCYPART_ARC
(12,3),-1.66724 # DEPENDENCYPART_ARC
(12,4),-2.79703 # DEPENDENCYPART_ARC
(12,5),-1.47987 # DEPENDENCYPART_ARC
(12,6),-1.09523 # DEPENDENCYPART_ARC
(12,7),-2.22508 # DEPENDENCYPART_ARC
(12,8),-1.51992 # DEPENDENCYPART_ARC
(12,9),-1.93639 # DEPENDENCYPART_ARC
(12,10),-0.748391 # DEPENDENCYPART_ARC
(12,11),0.828812 # DEPENDENCYPART_ARC
(12,13),2.03377 # DEPENDENCYPART_ARC
(13,1),-1.44407 # DEPENDENCYPART_ARC
(13,2),-1.63663 # DEPENDENCYPART_ARC
(13,3),-1.56122 # DEPENDENCYPART_ARC
(13,4),-1.87748 # DEPENDENCYPART_ARC
(13,5),-1.40857 # DEPENDENCYPART_ARC
(13,6),-1.27018 # DEPENDENCYPART_ARC
(13,7),-1.16023 # DEPENDENCYPART_ARC
(13,8),-1.28158 # DEPENDENCYPART_ARC
(13,9),-0.880054 # DEPENDENCYPART_ARC
(13,10),-1.05733 # DEPENDENCYPART_ARC
(13,11),-0.772224 # DEPENDENCYPART_ARC
(13,12),-0.332341 # DEPENDENCYPART_ARC
