# _root_ aurtengo ekoizpenen erakusketez_gainera , bertso txapelketak eta lete , valverde eta lertxundiren kantaldiek hartuko dute lekurik nabarmenena .
#goldHeads=2,3,14,3,6,7,14,11,8,11,13,11,7,0,14,14,16,17,
#predictedHeads=2,3,7,3,6,7,13,11,8,11,13,11,14,0,14,14,16,17,
(10,2),-3.31435 # DEPENDENCYPART_ARC
(10,3),-3.5943 # DEPENDENCYPART_ARC
(10,4),-1.98805 # DEPENDENCYPART_ARC
(10,5),-2.11804 # DEPENDENCYPART_ARC
(10,6),-3.0757 # DEPENDENCYPART_ARC
(10,8),-1.42812 # DEPENDENCYPART_ARC
(10,9),-0.218596 # DEPENDENCYPART_ARC
(10,12),0.739646 # DEPENDENCYPART_ARC
(10,13),-0.177562 # DEPENDENCYPART_ARC
(10,14),-1.12726 # DEPENDENCYPART_ARC
(10,16),-1.26827 # DEPENDENCYPART_ARC
(10,17),-1.93164 # DEPENDENCYPART_ARC
(10,18),-0.889995 # DEPENDENCYPART_ARC
(11,1),-1.06812 # DEPENDENCYPART_ARC
(11,2),-0.508678 # DEPENDENCYPART_ARC
(11,3),-0.532086 # DEPENDENCYPART_ARC
(11,4),-1.87922 # DEPENDENCYPART_ARC
(11,5),-0.23266 # DEPENDENCYPART_ARC
(11,6),0.0296472 # DEPENDENCYPART_ARC
(11,7),-0.541474 # DEPENDENCYPART_ARC
(11,8),1.50497 # DEPENDENCYPART_ARC
(11,9),-1.17774 # DEPENDENCYPART_ARC
(11,10),2.62224 # DEPENDENCYPART_ARC
(11,12),1.85176 # DEPENDENCYPART_ARC
(11,13),1.91448 # DEPENDENCYPART_ARC
(11,14),-0.221491 # DEPENDENCYPART_ARC
(11,15),-0.274129 # DEPENDENCYPART_ARC
(11,16),0.045646 # DEPENDENCYPART_ARC
(11,17),-0.340318 # DEPENDENCYPART_ARC
(11,18),-0.637577 # DEPENDENCYPART_ARC
(12,1),-2.2049 # DEPENDENCYPART_ARC
(12,2),-3.63953 # DEPENDENCYPART_ARC
(12,3),-5.01084 # DEPENDENCYPART_ARC
(12,4),-3.18793 # DEPENDENCYPART_ARC
(12,5),-3.12012 # DEPENDENCYPART_ARC
(12,6),-6.23256 # DEPENDENCYPART_ARC
(12,8),-3.11609 # DEPENDENCYPART_ARC
(12,9),-2.57929 # DEPENDENCYPART_ARC
(12,10),-1.71033 # DEPENDENCYPART_ARC
(12,13),0.15344 # DEPENDENCYPART_ARC
(12,14),-1.83834 # DEPENDENCYPART_ARC
(12,16),-2.15421 # DEPENDENCYPART_ARC
(12,17),-2.38852 # DEPENDENCYPART_ARC
(12,18),-1.00418 # DEPENDENCYPART_ARC
(13,1),-0.0454547 # DEPENDENCYPART_ARC
(13,2),-0.820696 # DEPENDENCYPART_ARC
(13,3),-1.48323 # DEPENDENCYPART_ARC
(13,4),-1.69423 # DEPENDENCYPART_ARC
(13,5),-0.61729 # DEPENDENCYPART_ARC
(13,6),-3.28203 # DEPENDENCYPART_ARC
(13,7),0.161925 # DEPENDENCYPART_ARC
(13,8),-0.549867 # DEPENDENCYPART_ARC
(13,9),-1.19548 # DEPENDENCYPART_ARC
(13,10),0.0404799 # DEPENDENCYPART_ARC
(13,11),1.0869 # DEPENDENCYPART_ARC
(13,12),1.68181 # DEPENDENCYPART_ARC
(13,14),-1.0318 # DEPENDENCYPART_ARC
(13,15),-1.55911 # DEPENDENCYPART_ARC
(13,16),-1.76979 # DEPENDENCYPART_ARC
(13,17),-0.198058 # DEPENDENCYPART_ARC
(13,18),-1.15143 # DEPENDENCYPART_ARC
(14,1),-0.894744 # DEPENDENCYPART_ARC
(14,2),-1.96156 # DEPENDENCYPART_ARC
(14,3),-1.44267 # DEPENDENCYPART_ARC
(14,4),-2.12043 # DEPENDENCYPART_ARC
(14,5),-0.248806 # DEPENDENCYPART_ARC
(14,6),0.331683 # DEPENDENCYPART_ARC
(14,7),-0.212999 # DEPENDENCYPART_ARC
(14,8),-1.44035 # DEPENDENCYPART_ARC
(14,9),-1.63443 # DEPENDENCYPART_ARC
(14,10),-0.458164 # DEPENDENCYPART_ARC
(14,11),0.483101 # DEPENDENCYPART_ARC
(14,12),-0.763479 # DEPENDENCYPART_ARC
(14,13),2.4557 # DEPENDENCYPART_ARC
(14,15),2.19813 # DEPENDENCYPART_ARC
(14,16),1.28675 # DEPENDENCYPART_ARC
(14,17),0.849737 # DEPENDENCYPART_ARC
(14,18),-0.254019 # DEPENDENCYPART_ARC
(15,1),-1.24551 # DEPENDENCYPART_ARC
(15,2),-1.2113 # DEPENDENCYPART_ARC
(15,3),-1.54445 # DEPENDENCYPART_ARC
(15,4),-1.90396 # DEPENDENCYPART_ARC
(15,5),-1.11286 # DEPENDENCYPART_ARC
(15,6),-0.827726 # DEPENDENCYPART_ARC
(15,7),-1.60778 # DEPENDENCYPART_ARC
(15,8),-1.34846 # DEPENDENCYPART_ARC
(15,9),-1.60854 # DEPENDENCYPART_ARC
(15,10),-1.10657 # DEPENDENCYPART_ARC
(15,11),-1.36546 # DEPENDENCYPART_ARC
(15,12),-1.22403 # DEPENDENCYPART_ARC
(15,13),0.087424 # DEPENDENCYPART_ARC
(15,14),-1.24517 # DEPENDENCYPART_ARC
(15,16),-1.45484 # DEPENDENCYPART_ARC
(15,17),-2.40803 # DEPENDENCYPART_ARC
(15,18),-0.831769 # DEPENDENCYPART_ARC
(16,1),-0.452331 # DEPENDENCYPART_ARC
(16,2),-2.00265 # DEPENDENCYPART_ARC
(16,3),-1.96462 # DEPENDENCYPART_ARC
(16,4),-2.09547 # DEPENDENCYPART_ARC
(16,5),-1.89476 # DEPENDENCYPART_ARC
(16,6),-3.61518 # DEPENDENCYPART_ARC
(16,7),-1.3963 # DEPENDENCYPART_ARC
(16,8),-1.75276 # DEPENDENCYPART_ARC
(16,9),-1.70928 # DEPENDENCYPART_ARC
(16,10),-1.2415 # DEPENDENCYPART_ARC
(16,11),-0.908855 # DEPENDENCYPART_ARC
(16,12),-1.38832 # DEPENDENCYPART_ARC
(16,13),-1.92689 # DEPENDENCYPART_ARC
(16,14),0.732336 # DEPENDENCYPART_ARC
(16,15),-1.0476 # DEPENDENCYPART_ARC
(16,17),2.96897 # DEPENDENCYPART_ARC
(16,18),-0.208935 # DEPENDENCYPART_ARC
(17,1),-1.50323 # DEPENDENCYPART_ARC
(17,2),-3.37348 # DEPENDENCYPART_ARC
(17,3),-3.32541 # DEPENDENCYPART_ARC
(17,4),-1.90771 # DEPENDENCYPART_ARC
(17,5),-2.8807 # DEPENDENCYPART_ARC
(17,6),-3.89325 # DEPENDENCYPART_ARC
(17,7),-1.56595 # DEPENDENCYPART_ARC
(17,8),-1.96462 # DEPENDENCYPART_ARC
(17,9),-1.74434 # DEPENDENCYPART_ARC
(17,10),-2.30261 # DEPENDENCYPART_ARC
(17,11),-1.29955 # DEPENDENCYPART_ARC
(17,12),-2.63843 # DEPENDENCYPART_ARC
(17,13),-2.68646 # DEPENDENCYPART_ARC
(17,14),-0.940285 # DEPENDENCYPART_ARC
(17,15),-1.3428 # DEPENDENCYPART_ARC
(17,16),-1.04481 # DEPENDENCYPART_ARC
(17,18),1.90392 # DEPENDENCYPART_ARC
(18,2),-1.99253 # DEPENDENCYPART_ARC
(18,3),-2.09838 # DEPENDENCYPART_ARC
(18,4),-1.60846 # DEPENDENCYPART_ARC
(18,5),-1.64907 # DEPENDENCYPART_ARC
(18,6),-1.72397 # DEPENDENCYPART_ARC
(18,7),-1.37671 # DEPENDENCYPART_ARC
(18,8),-1.83298 # DEPENDENCYPART_ARC
(18,9),-1.4594 # DEPENDENCYPART_ARC
(18,11),-0.942365 # DEPENDENCYPART_ARC
(18,13),-1.01846 # DEPENDENCYPART_ARC
(18,14),-1.31113 # DEPENDENCYPART_ARC
(18,16),-0.818411 # DEPENDENCYPART_ARC
