# _root_ jean_francois_lefort_koordinaketako kidearekin_batera eskainitako prentsaurrekoan , abuztuko polizi operazioak " porrot hutsa " izan direla esan zuen , eta " poliziaren azpijokoak porrot " egin duela .
#goldHeads=2,3,4,15,4,8,8,13,8,24,10,11,18,13,0,15,16,15,18,21,24,24,22,18,24,25,
#predictedHeads=2,3,4,13,4,7,8,13,8,13,10,11,15,13,18,15,16,0,18,21,24,24,22,18,24,25,
(3,21),-4.14877 # DEPENDENCYPART_ARC
(3,22),-3.67302 # DEPENDENCYPART_ARC
(3,23),-2.14165 # DEPENDENCYPART_ARC
(3,24),-3.46161 # DEPENDENCYPART_ARC
(3,25),-2.74978 # DEPENDENCYPART_ARC
(3,26),-2.72239 # DEPENDENCYPART_ARC
(4,1),0.809618 # DEPENDENCYPART_ARC
(4,2),0.60539 # DEPENDENCYPART_ARC
(4,3),1.65946 # DEPENDENCYPART_ARC
(4,5),1.68428 # DEPENDENCYPART_ARC
(4,6),-0.927053 # DEPENDENCYPART_ARC
(4,7),-0.375607 # DEPENDENCYPART_ARC
(4,8),-1.76066 # DEPENDENCYPART_ARC
(4,9),-0.109217 # DEPENDENCYPART_ARC
(4,10),-1.49957 # DEPENDENCYPART_ARC
(4,11),-2.72102 # DEPENDENCYPART_ARC
(4,12),-0.776427 # DEPENDENCYPART_ARC
(4,13),-1.70823 # DEPENDENCYPART_ARC
(4,14),-2.04051 # DEPENDENCYPART_ARC
(4,15),-1.90114 # DEPENDENCYPART_ARC
(4,16),-1.58639 # DEPENDENCYPART_ARC
(4,17),-1.34446 # DEPENDENCYPART_ARC
(4,18),-1.12968 # DEPENDENCYPART_ARC
(4,19),-1.23842 # DEPENDENCYPART_ARC
(4,20),-1.97521 # DEPENDENCYPART_ARC
(4,21),-2.40578 # DEPENDENCYPART_ARC
(4,22),-2.09343 # DEPENDENCYPART_ARC
(4,23),-1.04584 # DEPENDENCYPART_ARC
(4,24),-2.00474 # DEPENDENCYPART_ARC
(4,25),-2.56963 # DEPENDENCYPART_ARC
(4,26),-1.16499 # DEPENDENCYPART_ARC
(5,1),-0.782182 # DEPENDENCYPART_ARC
(5,2),-0.548031 # DEPENDENCYPART_ARC
(5,3),-0.296545 # DEPENDENCYPART_ARC
(5,4),0.0484163 # DEPENDENCYPART_ARC
(5,6),-0.316459 # DEPENDENCYPART_ARC
(5,7),-0.840776 # DEPENDENCYPART_ARC
(5,8),-0.429253 # DEPENDENCYPART_ARC
(5,9),-0.302035 # DEPENDENCYPART_ARC
(5,10),-1.26241 # DEPENDENCYPART_ARC
(5,11),-1.12925 # DEPENDENCYPART_ARC
(5,12),-0.665278 # DEPENDENCYPART_ARC
(5,13),-1.84258 # DEPENDENCYPART_ARC
(5,14),-1.16573 # DEPENDENCYPART_ARC
(5,15),-0.863803 # DEPENDENCYPART_ARC
(5,16),-0.740875 # DEPENDENCYPART_ARC
(5,17),-1.56888 # DEPENDENCYPART_ARC
(5,18),-1.77474 # DEPENDENCYPART_ARC
(5,19),-1.45492 # DEPENDENCYPART_ARC
(5,20),-1.72792 # DEPENDENCYPART_ARC
(5,21),-1.62961 # DEPENDENCYPART_ARC
(5,22),-1.32485 # DEPENDENCYPART_ARC
(5,23),-1.87994 # DEPENDENCYPART_ARC
(5,24),-3.01535 # DEPENDENCYPART_ARC
(5,25),-1.00858 # DEPENDENCYPART_ARC
(5,26),-2.4307 # DEPENDENCYPART_ARC
(6,1),-0.910978 # DEPENDENCYPART_ARC
(6,2),-1.79916 # DEPENDENCYPART_ARC
(6,3),-0.675574 # DEPENDENCYPART_ARC
(6,4),-2.43069 # DEPENDENCYPART_ARC
(6,5),-0.150474 # DEPENDENCYPART_ARC
(6,7),0.495562 # DEPENDENCYPART_ARC
(6,8),-1.18825 # DEPENDENCYPART_ARC
(6,9),-0.791738 # DEPENDENCYPART_ARC
(6,10),-2.22378 # DEPENDENCYPART_ARC
(6,11),-3.31224 # DEPENDENCYPART_ARC
(6,12),-1.33406 # DEPENDENCYPART_ARC
(6,13),-2.62167 # DEPENDENCYPART_ARC
(6,14),-2.63699 # DEPENDENCYPART_ARC
(6,15),-2.81452 # DEPENDENCYPART_ARC
(6,16),-2.13259 # DEPENDENCYPART_ARC
(6,17),-1.81991 # DEPENDENCYPART_ARC
(6,18),-1.75792 # DEPENDENCYPART_ARC
(6,19),-2.07946 # DEPENDENCYPART_ARC
(6,20),-2.02039 # DEPENDENCYPART_ARC
(6,21),-2.27796 # DEPENDENCYPART_ARC
(6,22),-2.2042 # DEPENDENCYPART_ARC
(6,23),-1.84425 # DEPENDENCYPART_ARC
(6,24),-3.00207 # DEPENDENCYPART_ARC
(6,25),-3.08087 # DEPENDENCYPART_ARC
(6,26),-1.7359 # DEPENDENCYPART_ARC
(7,1),-1.12522 # DEPENDENCYPART_ARC
(7,2),-1.24838 # DEPENDENCYPART_ARC
(7,3),-0.981976 # DEPENDENCYPART_ARC
(7,4),-0.885405 # DEPENDENCYPART_ARC
(7,5),-1.10833 # DEPENDENCYPART_ARC
(7,6),1.37453 # DEPENDENCYPART_ARC
(7,8),0.650232 # DEPENDENCYPART_ARC
(7,9),0.559967 # DEPENDENCYPART_ARC
(7,10),-0.657867 # DEPENDENCYPART_ARC
(7,11),-0.404052 # DEPENDENCYPART_ARC
(7,12),-0.663551 # DEPENDENCYPART_ARC
(7,13),-0.74042 # DEPENDENCYPART_ARC
(7,14),-1.00176 # DEPENDENCYPART_ARC
(7,15),-0.8979 # DEPENDENCYPART_ARC
(7,16),-1.10395 # DEPENDENCYPART_ARC
(7,17),-1.02985 # DEPENDENCYPART_ARC
(7,18),-0.5144 # DEPENDENCYPART_ARC
(7,19),-1.10689 # DEPENDENCYPART_ARC
(7,20),-1.10422 # DEPENDENCYPART_ARC
(7,21),-0.907174 # DEPENDENCYPART_ARC
(7,22),-1.17164 # DEPENDENCYPART_ARC
(7,23),-1.20008 # DEPENDENCYPART_ARC
(7,24),-1.1048 # DEPENDENCYPART_ARC
(7,25),-1.4459 # DEPENDENCYPART_ARC
(7,26),-1.11505 # DEPENDENCYPART_ARC
(8,1),0.0402979 # DEPENDENCYPART_ARC
(8,2),-1.63442 # DEPENDENCYPART_ARC
(8,3),0.390335 # DEPENDENCYPART_ARC
(8,4),-3.1357 # DEPENDENCYPART_ARC
(8,5),-1.1568 # DEPENDENCYPART_ARC
(8,6),1.13262 # DEPENDENCYPART_ARC
(8,7),1.461 # DEPENDENCYPART_ARC
(8,9),1.93177 # DEPENDENCYPART_ARC
(8,10),-0.691581 # DEPENDENCYPART_ARC
(8,11),-0.76592 # DEPENDENCYPART_ARC
(8,12),-0.46358 # DEPENDENCYPART_ARC
(8,13),-2.04388 # DEPENDENCYPART_ARC
(8,14),-2.03201 # DEPENDENCYPART_ARC
(8,15),-2.2034 # DEPENDENCYPART_ARC
(8,16),-1.2063 # DEPENDENCYPART_ARC
(8,17),-0.871718 # DEPENDENCYPART_ARC
(8,18),-0.575403 # DEPENDENCYPART_ARC
(8,19),-0.945828 # DEPENDENCYPART_ARC
(8,20),-1.0327 # DEPENDENCYPART_ARC
(8,21),-1.86666 # DEPENDENCYPART_ARC
(8,22),-1.31053 # DEPENDENCYPART_ARC
(8,23),-0.669717 # DEPENDENCYPART_ARC
(8,24),-2.50044 # DEPENDENCYPART_ARC
(8,25),-2.03817 # DEPENDENCYPART_ARC
(8,26),-1.09837 # DEPENDENCYPART_ARC
(9,1),-1.29992 # DEPENDENCYPART_ARC
(9,2),-1.29308 # DEPENDENCYPART_ARC
(9,3),-1.25195 # DEPENDENCYPART_ARC
(9,4),-1.35695 # DEPENDENCYPART_ARC
(9,5),-1.48142 # DEPENDENCYPART_ARC
(9,6),-0.848611 # DEPENDENCYPART_ARC
(9,7),-0.919776 # DEPENDENCYPART_ARC
(9,8),-0.769945 # DEPENDENCYPART_ARC
(9,10),-1.25455 # DEPENDENCYPART_ARC
(9,11),-1.04188 # DEPENDENCYPART_ARC
(9,12),-0.173903 # DEPENDENCYPART_ARC
(9,13),-1.48408 # DEPENDENCYPART_ARC
(9,14),-1.08482 # DEPENDENCYPART_ARC
(9,15),-1.24706 # DEPENDENCYPART_ARC
(9,16),-1.02475 # DEPENDENCYPART_ARC
(9,17),-0.877372 # DEPENDENCYPART_ARC
(9,18),-1.42252 # DEPENDENCYPART_ARC
(9,19),-0.987815 # DEPENDENCYPART_ARC
(9,20),-2.12559 # DEPENDENCYPART_ARC
(9,21),-1.98269 # DEPENDENCYPART_ARC
(9,22),-1.92967 # DEPENDENCYPART_ARC
(9,23),-1.44955 # DEPENDENCYPART_ARC
(9,24),-2.3587 # DEPENDENCYPART_ARC
(9,25),-1.19098 # DEPENDENCYPART_ARC
(9,26),-1.88417 # DEPENDENCYPART_ARC
(10,1),-1.57874 # DEPENDENCYPART_ARC
(10,2),-1.64139 # DEPENDENCYPART_ARC
(10,3),-0.804032 # DEPENDENCYPART_ARC
(10,4),-2.48252 # DEPENDENCYPART_ARC
(10,5),-0.994449 # DEPENDENCYPART_ARC
(10,6),-0.560472 # DEPENDENCYPART_ARC
(10,7),-0.284 # DEPENDENCYPART_ARC
(10,8),-0.749729 # DEPENDENCYPART_ARC
(10,9),0.253125 # DEPENDENCYPART_ARC
(10,11),2.1322 # DEPENDENCYPART_ARC
(10,12),0.131894 # DEPENDENCYPART_ARC
(10,13),-0.942822 # DEPENDENCYPART_ARC
(10,14),-1.10153 # DEPENDENCYPART_ARC
(10,15),-1.20117 # DEPENDENCYPART_ARC
(10,16),-1.08617 # DEPENDENCYPART_ARC
(10,17),-0.867711 # DEPENDENCYPART_ARC
(10,18),-0.468788 # DEPENDENCYPART_ARC
(10,19),-1.02515 # DEPENDENCYPART_ARC
(10,20),-0.617047 # DEPENDENCYPART_ARC
(10,21),-0.873548 # DEPENDENCYPART_ARC
(10,22),-0.672574 # DEPENDENCYPART_ARC
(10,23),-1.1273 # DEPENDENCYPART_ARC
(10,24),-1.51872 # DEPENDENCYPART_ARC
(10,25),-1.47032 # DEPENDENCYPART_ARC
(10,26),-1.19416 # DEPENDENCYPART_ARC
(11,1),-1.72847 # DEPENDENCYPART_ARC
(11,2),-2.52505 # DEPENDENCYPART_ARC
(11,3),-1.5057 # DEPENDENCYPART_ARC
(11,4),-2.33286 # DEPENDENCYPART_ARC
(11,5),-1.55497 # DEPENDENCYPART_ARC
(11,6),-1.15021 # DEPENDENCYPART_ARC
(11,7),-1.54896 # DEPENDENCYPART_ARC
(11,8),-1.41742 # DEPENDENCYPART_ARC
(11,9),-0.940697 # DEPENDENCYPART_ARC
(11,10),-0.145545 # DEPENDENCYPART_ARC
(11,12),1.75165 # DEPENDENCYPART_ARC
(11,13),-1.63539 # DEPENDENCYPART_ARC
(11,14),-1.53346 # DEPENDENCYPART_ARC
(11,15),-1.79863 # DEPENDENCYPART_ARC
(11,16),-1.80424 # DEPENDENCYPART_ARC
(11,17),-0.20582 # DEPENDENCYPART_ARC
(11,18),-0.528861 # DEPENDENCYPART_ARC
(11,19),-0.227963 # DEPENDENCYPART_ARC
(11,20),-1.22509 # DEPENDENCYPART_ARC
(11,21),-1.6637 # DEPENDENCYPART_ARC
(11,22),-0.949663 # DEPENDENCYPART_ARC
(11,23),-0.448281 # DEPENDENCYPART_ARC
(11,24),-2.3495 # DEPENDENCYPART_ARC
(11,25),-1.7848 # DEPENDENCYPART_ARC
(11,26),-0.62866 # DEPENDENCYPART_ARC
(12,1),-0.973318 # DEPENDENCYPART_ARC
(12,2),-0.906969 # DEPENDENCYPART_ARC
(12,3),-1.02542 # DEPENDENCYPART_ARC
(12,4),-1.0112 # DEPENDENCYPART_ARC
(12,5),-1.34262 # DEPENDENCYPART_ARC
(12,6),-0.881734 # DEPENDENCYPART_ARC
(12,7),-0.858949 # DEPENDENCYPART_ARC
(12,8),-0.956149 # DEPENDENCYPART_ARC
(12,9),-0.93851 # DEPENDENCYPART_ARC
(12,10),-0.657376 # DEPENDENCYPART_ARC
(12,11),0.0434334 # DEPENDENCYPART_ARC
(12,13),-0.273467 # DEPENDENCYPART_ARC
(12,14),-0.0332363 # DEPENDENCYPART_ARC
(12,15),-0.555435 # DEPENDENCYPART_ARC
(12,16),-0.143989 # DEPENDENCYPART_ARC
(12,17),0.0653195 # DEPENDENCYPART_ARC
(12,18),-0.526811 # DEPENDENCYPART_ARC
(12,19),-0.0725679 # DEPENDENCYPART_ARC
(12,20),-1.33537 # DEPENDENCYPART_ARC
(12,21),-1.25912 # DEPENDENCYPART_ARC
(12,22),-1.16282 # DEPENDENCYPART_ARC
(12,23),-0.434972 # DEPENDENCYPART_ARC
(12,24),-1.92754 # DEPENDENCYPART_ARC
(12,25),-0.522804 # DEPENDENCYPART_ARC
(12,26),-1.08613 # DEPENDENCYPART_ARC
(13,1),0.663739 # DEPENDENCYPART_ARC
(13,2),0.243301 # DEPENDENCYPART_ARC
(13,3),-0.905315 # DEPENDENCYPART_ARC
(13,4),0.967674 # DEPENDENCYPART_ARC
(13,5),-0.917724 # DEPENDENCYPART_ARC
(13,6),0.133494 # DEPENDENCYPART_ARC
(13,7),0.175022 # DEPENDENCYPART_ARC
(13,8),1.13398 # DEPENDENCYPART_ARC
(13,9),-0.58836 # DEPENDENCYPART_ARC
(13,10),1.1301 # DEPENDENCYPART_ARC
(13,11),0.38197 # DEPENDENCYPART_ARC
(13,12),0.218175 # DEPENDENCYPART_ARC
(13,14),1.92347 # DEPENDENCYPART_ARC
(13,15),-0.496183 # DEPENDENCYPART_ARC
(13,16),-0.91298 # DEPENDENCYPART_ARC
(13,17),-1.21455 # DEPENDENCYPART_ARC
(13,18),-0.747248 # DEPENDENCYPART_ARC
(13,19),-0.967053 # DEPENDENCYPART_ARC
(13,20),-2.1118 # DEPENDENCYPART_ARC
(13,21),-0.975723 # DEPENDENCYPART_ARC
(13,22),-0.670624 # DEPENDENCYPART_ARC
(13,23),-1.22989 # DEPENDENCYPART_ARC
(13,24),-1.60004 # DEPENDENCYPART_ARC
(13,25),-1.68847 # DEPENDENCYPART_ARC
(13,26),-1.98781 # DEPENDENCYPART_ARC
(14,1),-1.4884 # DEPENDENCYPART_ARC
(14,2),-1.62509 # DEPENDENCYPART_ARC
(14,3),-1.21624 # DEPENDENCYPART_ARC
(14,4),-1.28786 # DEPENDENCYPART_ARC
(14,5),-1.42863 # DEPENDENCYPART_ARC
(14,6),-1.03926 # DEPENDENCYPART_ARC
(14,7),-0.856397 # DEPENDENCYPART_ARC
(14,8),-0.818787 # DEPENDENCYPART_ARC
(14,9),-1.09456 # DEPENDENCYPART_ARC
(14,10),-0.297857 # DEPENDENCYPART_ARC
(14,11),-0.303002 # DEPENDENCYPART_ARC
(14,12),-0.662728 # DEPENDENCYPART_ARC
(14,13),-0.13433 # DEPENDENCYPART_ARC
(14,15),-1.21916 # DEPENDENCYPART_ARC
(14,16),-0.687407 # DEPENDENCYPART_ARC
(14,17),-0.21393 # DEPENDENCYPART_ARC
(14,18),-0.929787 # DEPENDENCYPART_ARC
(14,19),-0.79944 # DEPENDENCYPART_ARC
(14,20),-2.3724 # DEPENDENCYPART_ARC
(14,21),-2.59916 # DEPENDENCYPART_ARC
(14,22),-2.36403 # DEPENDENCYPART_ARC
(14,23),-1.13192 # DEPENDENCYPART_ARC
(14,24),-2.41073 # DEPENDENCYPART_ARC
(14,25),-1.49302 # DEPENDENCYPART_ARC
(14,26),-1.14812 # DEPENDENCYPART_ARC
(15,1),0.659374 # DEPENDENCYPART_ARC
(15,2),-0.0656771 # DEPENDENCYPART_ARC
(15,3),-0.686623 # DEPENDENCYPART_ARC
(15,4),0.053704 # DEPENDENCYPART_ARC
(15,5),-0.918359 # DEPENDENCYPART_ARC
(15,6),-0.718575 # DEPENDENCYPART_ARC
(15,7),-0.556283 # DEPENDENCYPART_ARC
(15,8),-0.113758 # DEPENDENCYPART_ARC
(15,9),-1.13152 # DEPENDENCYPART_ARC
(15,10),-0.169371 # DEPENDENCYPART_ARC
(15,11),-0.904362 # DEPENDENCYPART_ARC
(15,12),-0.868111 # DEPENDENCYPART_ARC
(15,13),1.88025 # DEPENDENCYPART_ARC
(15,14),0.350193 # DEPENDENCYPART_ARC
(15,16),2.02121 # DEPENDENCYPART_ARC
(15,17),-0.155503 # DEPENDENCYPART_ARC
(15,18),0.148906 # DEPENDENCYPART_ARC
(15,19),-0.421532 # DEPENDENCYPART_ARC
(15,20),-1.33341 # DEPENDENCYPART_ARC
(15,21),-0.30678 # DEPENDENCYPART_ARC
(15,22),-0.0953706 # DEPENDENCYPART_ARC
(15,23),-0.690135 # DEPENDENCYPART_ARC
(15,24),-1.28026 # DEPENDENCYPART_ARC
(15,25),-0.703722 # DEPENDENCYPART_ARC
(15,26),-1.19012 # DEPENDENCYPART_ARC
(16,1),-1.76061 # DEPENDENCYPART_ARC
(16,2),-1.81735 # DEPENDENCYPART_ARC
(16,3),-2.25805 # DEPENDENCYPART_ARC
(16,4),-1.68696 # DEPENDENCYPART_ARC
(16,5),-1.98983 # DEPENDENCYPART_ARC
(16,6),-1.47144 # DEPENDENCYPART_ARC
(16,7),-1.20362 # DEPENDENCYPART_ARC
(16,8),-1.49521 # DEPENDENCYPART_ARC
(16,9),-1.63882 # DEPENDENCYPART_ARC
(16,10),-0.85232 # DEPENDENCYPART_ARC
(16,11),-2.18467 # DEPENDENCYPART_ARC
(16,12),-1.4148 # DEPENDENCYPART_ARC
(16,13),-2.40036 # DEPENDENCYPART_ARC
(16,14),-0.874908 # DEPENDENCYPART_ARC
(16,15),-1.66059 # DEPENDENCYPART_ARC
(16,17),1.71737 # DEPENDENCYPART_ARC
(16,18),-1.34553 # DEPENDENCYPART_ARC
(16,19),-0.320034 # DEPENDENCYPART_ARC
(16,20),-1.85305 # DEPENDENCYPART_ARC
(16,21),-1.72416 # DEPENDENCYPART_ARC
(16,22),-1.85356 # DEPENDENCYPART_ARC
(16,23),-0.790788 # DEPENDENCYPART_ARC
(16,24),-2.51857 # DEPENDENCYPART_ARC
(16,25),-0.486289 # DEPENDENCYPART_ARC
(16,26),-0.585277 # DEPENDENCYPART_ARC
(17,1),-1.18843 # DEPENDENCYPART_ARC
(17,2),-0.982095 # DEPENDENCYPART_ARC
(17,3),-1.23812 # DEPENDENCYPART_ARC
(17,4),-1.27438 # DEPENDENCYPART_ARC
(17,5),-1.77815 # DEPENDENCYPART_ARC
(17,6),-1.06779 # DEPENDENCYPART_ARC
(17,7),-0.89995 # DEPENDENCYPART_ARC
(17,8),-1.20213 # DEPENDENCYPART_ARC
(17,9),-1.4009 # DEPENDENCYPART_ARC
(17,10),-0.965823 # DEPENDENCYPART_ARC
(17,11),-1.11806 # DEPENDENCYPART_ARC
(17,12),-1.30042 # DEPENDENCYPART_ARC
(17,13),-0.327975 # DEPENDENCYPART_ARC
(17,14),-0.486229 # DEPENDENCYPART_ARC
(17,15),0.0175477 # DEPENDENCYPART_ARC
(17,16),0.13704 # DEPENDENCYPART_ARC
(17,18),-0.375306 # DEPENDENCYPART_ARC
(17,19),-0.0142028 # DEPENDENCYPART_ARC
(17,20),-1.16991 # DEPENDENCYPART_ARC
(17,21),-1.14759 # DEPENDENCYPART_ARC
(17,22),-1.09982 # DEPENDENCYPART_ARC
(17,23),-0.634694 # DEPENDENCYPART_ARC
(17,24),-1.69454 # DEPENDENCYPART_ARC
(17,25),-1.15238 # DEPENDENCYPART_ARC
(17,26),-1.26723 # DEPENDENCYPART_ARC
(18,1),-1.43324 # DEPENDENCYPART_ARC
(18,2),-2.00744 # DEPENDENCYPART_ARC
(18,3),-1.11367 # DEPENDENCYPART_ARC
(18,4),-1.5665 # DEPENDENCYPART_ARC
(18,5),-1.72407 # DEPENDENCYPART_ARC
(18,6),-1.52094 # DEPENDENCYPART_ARC
(18,7),-1.31184 # DEPENDENCYPART_ARC
(18,8),-0.85662 # DEPENDENCYPART_ARC
(18,9),-1.18625 # DEPENDENCYPART_ARC
(18,10),-1.11725 # DEPENDENCYPART_ARC
(18,11),-0.789173 # DEPENDENCYPART_ARC
(18,12),-1.03517 # DEPENDENCYPART_ARC
(18,13),0.957786 # DEPENDENCYPART_ARC
(18,14),-0.120627 # DEPENDENCYPART_ARC
(18,15),1.65676 # DEPENDENCYPART_ARC
(18,16),-0.668898 # DEPENDENCYPART_ARC
(18,17),0.0386911 # DEPENDENCYPART_ARC
(18,19),2.70602 # DEPENDENCYPART_ARC
(18,20),0.0806359 # DEPENDENCYPART_ARC
(18,21),0.416781 # DEPENDENCYPART_ARC
(18,22),0.274122 # DEPENDENCYPART_ARC
(18,23),-0.209676 # DEPENDENCYPART_ARC
(18,24),0.510665 # DEPENDENCYPART_ARC
(18,25),0.175913 # DEPENDENCYPART_ARC
(18,26),-0.323577 # DEPENDENCYPART_ARC
(19,1),-2.25164 # DEPENDENCYPART_ARC
(19,2),-2.32148 # DEPENDENCYPART_ARC
(19,3),-2.67104 # DEPENDENCYPART_ARC
(19,4),-2.43818 # DEPENDENCYPART_ARC
(19,5),-2.96749 # DEPENDENCYPART_ARC
(19,6),-2.24399 # DEPENDENCYPART_ARC
(19,7),-2.40257 # DEPENDENCYPART_ARC
(19,8),-2.69736 # DEPENDENCYPART_ARC
(19,9),-2.74528 # DEPENDENCYPART_ARC
(19,10),-2.46653 # DEPENDENCYPART_ARC
(19,11),-2.6354 # DEPENDENCYPART_ARC
(19,12),-2.60559 # DEPENDENCYPART_ARC
(19,13),-2.39361 # DEPENDENCYPART_ARC
(19,14),-2.16719 # DEPENDENCYPART_ARC
(19,15),-2.05436 # DEPENDENCYPART_ARC
(19,16),-1.75654 # DEPENDENCYPART_ARC
(19,17),-2.34627 # DEPENDENCYPART_ARC
(19,18),-1.29963 # DEPENDENCYPART_ARC
(19,20),-1.33975 # DEPENDENCYPART_ARC
(19,21),-1.87718 # DEPENDENCYPART_ARC
(19,22),-1.60037 # DEPENDENCYPART_ARC
(19,23),-0.626231 # DEPENDENCYPART_ARC
(19,24),-2.18975 # DEPENDENCYPART_ARC
(19,25),-1.36161 # DEPENDENCYPART_ARC
(19,26),-1.10184 # DEPENDENCYPART_ARC
(20,1),-1.58417 # DEPENDENCYPART_ARC
(20,2),-2.35377 # DEPENDENCYPART_ARC
