# _root_ irakaskuntza esparruan hezkuntza sistema propioa eduki beharra azpimarratzen da , eta kultura arloa naziotasuna , euskaltasuna eta herritasunaren_gainean oinarritzeko proposatzen da .
#goldHeads=2,8,4,6,4,8,6,11,8,9,0,13,19,17,14,17,0,17,20,11,20,21,
#predictedHeads=2,6,4,6,4,7,8,11,8,9,0,13,19,17,14,17,19,17,20,11,20,21,
(1,10),-2.26621 # DEPENDENCYPART_ARC
(1,11),-1.21825 # DEPENDENCYPART_ARC
(1,12),-1.58353 # DEPENDENCYPART_ARC
(1,13),-1.37936 # DEPENDENCYPART_ARC
(1,14),-1.74766 # DEPENDENCYPART_ARC
(1,15),-2.93349 # DEPENDENCYPART_ARC
(1,16),-1.81345 # DEPENDENCYPART_ARC
(1,17),-1.50395 # DEPENDENCYPART_ARC
(1,18),-2.18688 # DEPENDENCYPART_ARC
(1,19),-1.7574 # DEPENDENCYPART_ARC
(1,20),-1.97027 # DEPENDENCYPART_ARC
(1,21),-1.85331 # DEPENDENCYPART_ARC
(1,22),-2.202 # DEPENDENCYPART_ARC
(2,1),1.61794 # DEPENDENCYPART_ARC
(2,3),0.188877 # DEPENDENCYPART_ARC
(2,4),-1.54319 # DEPENDENCYPART_ARC
(2,5),-2.90674 # DEPENDENCYPART_ARC
(2,6),-2.19487 # DEPENDENCYPART_ARC
(2,7),-2.08515 # DEPENDENCYPART_ARC
(2,8),-2.41218 # DEPENDENCYPART_ARC
(2,9),-2.81286 # DEPENDENCYPART_ARC
(2,10),-1.91658 # DEPENDENCYPART_ARC
(2,11),-1.97994 # DEPENDENCYPART_ARC
(2,12),-1.98253 # DEPENDENCYPART_ARC
(2,13),-2.63386 # DEPENDENCYPART_ARC
(2,14),-3.52434 # DEPENDENCYPART_ARC
(2,15),-2.14695 # DEPENDENCYPART_ARC
(2,16),-3.1197 # DEPENDENCYPART_ARC
(2,17),-2.12343 # DEPENDENCYPART_ARC
(2,18),-3.88263 # DEPENDENCYPART_ARC
(2,19),-3.02736 # DEPENDENCYPART_ARC
(2,20),-2.82345 # DEPENDENCYPART_ARC
(2,21),-2.98102 # DEPENDENCYPART_ARC
(2,22),-1.88133 # DEPENDENCYPART_ARC
(3,1),0.232007 # DEPENDENCYPART_ARC
(3,2),1.06325 # DEPENDENCYPART_ARC
(3,4),0.267601 # DEPENDENCYPART_ARC
(3,5),0.414972 # DEPENDENCYPART_ARC
(3,6),-0.796736 # DEPENDENCYPART_ARC
(3,7),-0.620629 # DEPENDENCYPART_ARC
(3,8),-1.28864 # DEPENDENCYPART_ARC
(3,9),-1.24471 # DEPENDENCYPART_ARC
(3,10),-1.18624 # DEPENDENCYPART_ARC
(3,11),-1.05508 # DEPENDENCYPART_ARC
(3,12),-1.13939 # DEPENDENCYPART_ARC
(3,13),-1.03711 # DEPENDENCYPART_ARC
(3,14),-1.55135 # DEPENDENCYPART_ARC
(3,15),-1.3456 # DEPENDENCYPART_ARC
(3,16),-1.7325 # DEPENDENCYPART_ARC
(3,17),-1.33418 # DEPENDENCYPART_ARC
(3,18),-1.37855 # DEPENDENCYPART_ARC
(3,19),-1.23868 # DEPENDENCYPART_ARC
(3,20),-1.68931 # DEPENDENCYPART_ARC
(3,21),-1.45681 # DEPENDENCYPART_ARC
(3,22),-1.34202 # DEPENDENCYPART_ARC
(4,1),0.266559 # DEPENDENCYPART_ARC
(4,2),-0.319802 # DEPENDENCYPART_ARC
(4,3),1.62438 # DEPENDENCYPART_ARC
(4,5),2.74116 # DEPENDENCYPART_ARC
(4,6),-0.389825 # DEPENDENCYPART_ARC
(4,7),-0.100472 # DEPENDENCYPART_ARC
(4,8),-1.17458 # DEPENDENCYPART_ARC
(4,9),-1.17134 # DEPENDENCYPART_ARC
(4,10),-0.937434 # DEPENDENCYPART_ARC
(4,11),-0.922422 # DEPENDENCYPART_ARC
(4,12),-0.576143 # DEPENDENCYPART_ARC
(4,13),-0.432417 # DEPENDENCYPART_ARC
(4,14),-0.658647 # DEPENDENCYPART_ARC
(4,15),-1.06936 # DEPENDENCYPART_ARC
(4,16),-0.531557 # DEPENDENCYPART_ARC
(4,17),-1.51977 # DEPENDENCYPART_ARC
(4,18),-0.843308 # DEPENDENCYPART_ARC
(4,19),-1.13449 # DEPENDENCYPART_ARC
(4,20),-1.72079 # DEPENDENCYPART_ARC
(4,21),-1.44342 # DEPENDENCYPART_ARC
(4,22),-1.24992 # DEPENDENCYPART_ARC
(5,1),-1.7425 # DEPENDENCYPART_ARC
(5,2),-1.28656 # DEPENDENCYPART_ARC
(5,3),-0.880727 # DEPENDENCYPART_ARC
(5,4),-0.124256 # DEPENDENCYPART_ARC
(5,6),-0.395036 # DEPENDENCYPART_ARC
(5,7),-0.890995 # DEPENDENCYPART_ARC
(5,8),-1.44749 # DEPENDENCYPART_ARC
(5,9),-1.02615 # DEPENDENCYPART_ARC
(5,10),-0.697544 # DEPENDENCYPART_ARC
(5,11),-1.06831 # DEPENDENCYPART_ARC
(5,12),-1.72771 # DEPENDENCYPART_ARC
(5,13),-1.52367 # DEPENDENCYPART_ARC
(5,14),-2.07826 # DEPENDENCYPART_ARC
(5,15),-0.91333 # DEPENDENCYPART_ARC
(5,16),-1.70066 # DEPENDENCYPART_ARC
(5,17),-1.38006 # DEPENDENCYPART_ARC
(5,18),-1.88093 # DEPENDENCYPART_ARC
(5,19),-2.51711 # DEPENDENCYPART_ARC
(5,20),-1.88721 # DEPENDENCYPART_ARC
(5,21),-1.45195 # DEPENDENCYPART_ARC
(5,22),-1.2504 # DEPENDENCYPART_ARC
(6,1),0.502052 # DEPENDENCYPART_ARC
(6,2),1.3226 # DEPENDENCYPART_ARC
(6,3),0.687604 # DEPENDENCYPART_ARC
(6,4),1.44196 # DEPENDENCYPART_ARC
(6,5),1.03336 # DEPENDENCYPART_ARC
(6,7),1.1354 # DEPENDENCYPART_ARC
(6,8),-0.0268125 # DEPENDENCYPART_ARC
(6,9),0.204255 # DEPENDENCYPART_ARC
(6,10),-0.635186 # DEPENDENCYPART_ARC
(6,11),-0.330829 # DEPENDENCYPART_ARC
(6,12),-1.39693 # DEPENDENCYPART_ARC
(6,13),-0.831876 # DEPENDENCYPART_ARC
(6,14),-0.416911 # DEPENDENCYPART_ARC
(6,15),-0.701503 # DEPENDENCYPART_ARC
(6,16),-1.25089 # DEPENDENCYPART_ARC
(6,17),-0.66082 # DEPENDENCYPART_ARC
(6,18),-1.8089 # DEPENDENCYPART_ARC
(6,19),-1.2216 # DEPENDENCYPART_ARC
(6,20),-1.26619 # DEPENDENCYPART_ARC
(6,21),-0.83586 # DEPENDENCYPART_ARC
(6,22),-1.46795 # DEPENDENCYPART_ARC
(7,1),-0.607542 # DEPENDENCYPART_ARC
(7,2),-2.60567 # DEPENDENCYPART_ARC
(7,3),-0.504434 # DEPENDENCYPART_ARC
(7,4),0.0163091 # DEPENDENCYPART_ARC
(7,5),-0.965301 # DEPENDENCYPART_ARC
(7,6),1.81289 # DEPENDENCYPART_ARC
(7,8),-0.13942 # DEPENDENCYPART_ARC
(7,9),-0.693366 # DEPENDENCYPART_ARC
(7,10),-0.662187 # DEPENDENCYPART_ARC
(7,11),-0.822383 # DEPENDENCYPART_ARC
(7,12),-1.30839 # DEPENDENCYPART_ARC
(7,13),-1.38276 # DEPENDENCYPART_ARC
(7,14),-2.11127 # DEPENDENCYPART_ARC
(7,15),-1.0164 # DEPENDENCYPART_ARC
(7,16),-1.6517 # DEPENDENCYPART_ARC
(7,17),-0.903428 # DEPENDENCYPART_ARC
(7,18),-2.76414 # DEPENDENCYPART_ARC
(7,19),-0.921523 # DEPENDENCYPART_ARC
(7,20),-1.66313 # DEPENDENCYPART_ARC
(7,21),-1.86089 # DEPENDENCYPART_ARC
(7,22),-0.99717 # DEPENDENCYPART_ARC
(8,1),0.0416775 # DEPENDENCYPART_ARC
(8,2),0.434528 # DEPENDENCYPART_ARC
(8,3),-0.133219 # DEPENDENCYPART_ARC
(8,4),0.112912 # DEPENDENCYPART_ARC
(8,5),-0.425513 # DEPENDENCYPART_ARC
(8,6),0.60206 # DEPENDENCYPART_ARC
(8,7),1.95946 # DEPENDENCYPART_ARC
(8,9),1.8648 # DEPENDENCYPART_ARC
(8,10),-0.272155 # DEPENDENCYPART_ARC
(8,11),-0.288192 # DEPENDENCYPART_ARC
(8,12),-1.15285 # DEPENDENCYPART_ARC
(8,13),-0.386432 # DEPENDENCYPART_ARC
(8,14),-0.103431 # DEPENDENCYPART_ARC
(8,15),-0.772392 # DEPENDENCYPART_ARC
(8,16),-0.93419 # DEPENDENCYPART_ARC
(8,17),-0.739591 # DEPENDENCYPART_ARC
(8,18),-1.35479 # DEPENDENCYPART_ARC
(8,19),-0.937682 # DEPENDENCYPART_ARC
(8,20),-0.908717 # DEPENDENCYPART_ARC
(8,21),-1.07197 # DEPENDENCYPART_ARC
(8,22),-1.42649 # DEPENDENCYPART_ARC
(9,1),-0.714516 # DEPENDENCYPART_ARC
(9,2),-1.03142 # DEPENDENCYPART_ARC
(9,3),-0.932064 # DEPENDENCYPART_ARC
(9,4),-0.598289 # DEPENDENCYPART_ARC
(9,5),-1.30442 # DEPENDENCYPART_ARC
(9,6),-1.26649 # DEPENDENCYPART_ARC
(9,7),-0.412184 # DEPENDENCYPART_ARC
(9,8),-0.910665 # DEPENDENCYPART_ARC
(9,10),1.50096 # DEPENDENCYPART_ARC
(9,11),-1.30068 # DEPENDENCYPART_ARC
(9,12),-1.67299 # DEPENDENCYPART_ARC
(9,13),-1.81984 # DEPENDENCYPART_ARC
(9,14),-1.69588 # DEPENDENCYPART_ARC
(9,15),-1.28517 # DEPENDENCYPART_ARC
(9,16),-2.03587 # DEPENDENCYPART_ARC
(9,17),-1.54391 # DEPENDENCYPART_ARC
(9,18),-1.48932 # DEPENDENCYPART_ARC
(9,19),-2.03331 # DEPENDENCYPART_ARC
(9,20),-2.45359 # DEPENDENCYPART_ARC
(9,21),-1.41848 # DEPENDENCYPART_ARC
(9,22),-1.53369 # DEPENDENCYPART_ARC
(10,1),-1.20754 # DEPENDENCYPART_ARC
(10,2),-0.984915 # DEPENDENCYPART_ARC
(10,3),-1.02156 # DEPENDENCYPART_ARC
(10,4),-1.13164 # DEPENDENCYPART_ARC
(10,5),-1.3126 # DEPENDENCYPART_ARC
(10,6),-0.811455 # DEPENDENCYPART_ARC
(10,7),-0.709572 # DEPENDENCYPART_ARC
(10,8),-0.595137 # DEPENDENCYPART_ARC
(10,9),-0.344207 # DEPENDENCYPART_ARC
(10,11),-0.619282 # DEPENDENCYPART_ARC
(10,12),-1.46175 # DEPENDENCYPART_ARC
(10,13),-1.30647 # DEPENDENCYPART_ARC
(10,14),-1.3785 # DEPENDENCYPART_ARC
(10,16),-1.64201 # DEPENDENCYPART_ARC
(10,17),-2.17796 # DEPENDENCYPART_ARC
(10,18),-1.68315 # DEPENDENCYPART_ARC
(10,19),-1.55768 # DEPENDENCYPART_ARC
(10,20),-1.43814 # DEPENDENCYPART_ARC
(10,21),-1.42095 # DEPENDENCYPART_ARC
(11,1),-0.9072 # DEPENDENCYPART_ARC
(11,2),-1.99143 # DEPENDENCYPART_ARC
(11,3),-1.00362 # DEPENDENCYPART_ARC
(11,4),-0.770856 # DEPENDENCYPART_ARC
(11,5),-1.32704 # DEPENDENCYPART_ARC
(11,6),0.147723 # DEPENDENCYPART_ARC
(11,7),-0.259233 # DEPENDENCYPART_ARC
(11,8),1.2146 # DEPENDENCYPART_ARC
(11,9),-0.522255 # DEPENDENCYPART_ARC
(11,10),-0.347091 # DEPENDENCYPART_ARC
(11,12),0.0319706 # DEPENDENCYPART_ARC
(11,13),-0.0542959 # DEPENDENCYPART_ARC
(11,14),0.235535 # DEPENDENCYPART_ARC
(11,15),-0.71719 # DEPENDENCYPART_ARC
(11,16),-0.669561 # DEPENDENCYPART_ARC
(11,17),-1.05783 # DEPENDENCYPART_ARC
(11,18),-0.962872 # DEPENDENCYPART_ARC
(11,19),0.710456 # DEPENDENCYPART_ARC
(11,20),0.394792 # DEPENDENCYPART_ARC
(11,21),-1.41334 # DEPENDENCYPART_ARC
(11,22),-0.952907 # DEPENDENCYPART_ARC
(12,1),-2.8188 # DEPENDENCYPART_ARC
(12,2),-4.39276 # DEPENDENCYPART_ARC
(12,3),-2.80894 # DEPENDENCYPART_ARC
(12,4),-2.6696 # DEPENDENCYPART_ARC
(12,5),-4.03253 # DEPENDENCYPART_ARC
(12,6),-2.43827 # DEPENDENCYPART_ARC
(12,7),-4.09029 # DEPENDENCYPART_ARC
(12,8),-1.75641 # DEPENDENCYPART_ARC
(12,9),-2.7612 # DEPENDENCYPART_ARC
(12,10),-2.11568 # DEPENDENCYPART_ARC
(12,11),-1.4008 # DEPENDENCYPART_ARC
(12,13),0.0691442 # DEPENDENCYPART_ARC
(12,14),-0.955234 # DEPENDENCYPART_ARC
(12,15),-0.529703 # DEPENDENCYPART_ARC
(12,16),-1.91729 # DEPENDENCYPART_ARC
(12,17),-0.899778 # DEPENDENCYPART_ARC
(12,18),-2.43552 # DEPENDENCYPART_ARC
(12,19),-1.36099 # DEPENDENCYPART_ARC
(12,20),-1.61516 # DEPENDENCYPART_ARC
(12,21),-1.62287 # DEPENDENCYPART_ARC
(12,22),-0.922121 # DEPENDENCYPART_ARC
(13,1),-0.948155 # DEPENDENCYPART_ARC
(13,2),-3.19849 # DEPENDENCYPART_ARC
(13,3),-1.13453 # DEPENDENCYPART_ARC
(13,4),-1.09127 # DEPENDENCYPART_ARC
(13,5),-2.52313 # DEPENDENCYPART_ARC
(13,6),-1.00191 # DEPENDENCYPART_ARC
(13,7),-2.88605 # DEPENDENCYPART_ARC
(13,8),-0.496044 # DEPENDENCYPART_ARC
(13,9),-2.31268 # DEPENDENCYPART_ARC
(13,10),-1.04793 # DEPENDENCYPART_ARC
(13,11),-0.304187 # DEPENDENCYPART_ARC
(13,12),2.23237 # DEPENDENCYPART_ARC
(13,14),-1.38829 # DEPENDENCYPART_ARC
(13,15),-0.500027 # DEPENDENCYPART_ARC
(13,16),-1.8231 # DEPENDENCYPART_ARC
(13,17),-1.56633 # DEPENDENCYPART_ARC
(13,18),-2.78525 # DEPENDENCYPART_ARC
(13,19),-1.8974 # DEPENDENCYPART_ARC
(13,20),-2.27147 # DEPENDENCYPART_ARC
(13,21),-2.43428 # DEPENDENCYPART_ARC
(13,22),-1.56919 # DEPENDENCYPART_ARC
(14,1),-1.30766 # DEPENDENCYPART_ARC
(14,2),-3.03292 # DEPENDENCYPART_ARC
(14,3),-1.7702 # DEPENDENCYPART_ARC
(14,4),-1.33224 # DEPENDENCYPART_ARC
(14,5),-2.55122 # DEPENDENCYPART_ARC
(14,6),-1.31233 # DEPENDENCYPART_ARC
(14,7),-2.43968 # DEPENDENCYPART_ARC
(14,8),-1.02822 # DEPENDENCYPART_ARC
(14,9),-2.17404 # DEPENDENCYPART_ARC
(14,10),-1.57352 # DEPENDENCYPART_ARC
(14,11),-0.840914 # DEPENDENCYPART_ARC
(14,12),0.607028 # DEPENDENCYPART_ARC
(14,13),0.263431 # DEPENDENCYPART_ARC
(14,15),1.48664 # DEPENDENCYPART_ARC
(14,16),-0.740638 # DEPENDENCYPART_ARC
(14,17),-1.02403 # DEPENDENCYPART_ARC
(14,18),-1.72476 # DEPENDENCYPART_ARC
(14,19),-1.84306 # DEPENDENCYPART_ARC
(14,20),-1.58902 # DEPENDENCYPART_ARC
(14,21),-2.20751 # DEPENDENCYPART_ARC
(14,22),-0.987349 # DEPENDENCYPART_ARC
(15,1),-1.19516 # DEPENDENCYPART_ARC
(15,2),-1.05969 # DEPENDENCYPART_ARC
(15,3),-1.20484 # DEPENDENCYPART_ARC
(15,4),-1.3698 # DEPENDENCYPART_ARC
(15,5),-1.44482 # DEPENDENCYPART_ARC
(15,6),-1.00658 # DEPENDENCYPART_ARC
(15,7),-0.998867 # DEPENDENCYPART_ARC
(15,8),-1.02668 # DEPENDENCYPART_ARC
(15,9),-1.05312 # DEPENDENCYPART_ARC
(15,11),-0.689554 # DEPENDENCYPART_ARC
(15,12),-0.581108 # DEPENDENCYPART_ARC
(15,13),-0.619252 # DEPENDENCYPART_ARC
(15,14),-0.461233 # DEPENDENCYPART_ARC
(15,16),-0.436607 # DEPENDENCYPART_ARC
(15,17),-1.16115 # DEPENDENCYPART_ARC
(15,18),-0.854552 # DEPENDENCYPART_ARC
(15,19),-0.621555 # DEPENDENCYPART_ARC
(15,20),-0.742748 # DEPENDENCYPART_ARC
(15,21),-0.953854 # DEPENDENCYPART_ARC
(16,1),-2.17565 # DEPENDENCYPART_ARC
(16,2),-4.31497 # DEPENDENCYPART_ARC
(16,3),-2.25881 # DEPENDENCYPART_ARC
(16,4),-1.98015 # DEPENDENCYPART_ARC
(16,5),-3.05187 # DEPENDENCYPART_ARC
(16,6),-1.96051 # DEPENDENCYPART_ARC
(16,7),-3.9546 # DEPENDENCYPART_ARC
(16,8),-1.87827 # DEPENDENCYPART_ARC
(16,9),-2.9537 # DEPENDENCYPART_ARC
(16,10),-1.83549 # DEPENDENCYPART_ARC
(16,11),-1.19652 # DEPENDENCYPART_ARC
(16,12),-0.593348 # DEPENDENCYPART_ARC
(16,13),-2.76943 # DEPENDENCYPART_ARC
(16,14),-1.49694 # DEPENDENCYPART_ARC
(16,15),0.320589 # DEPENDENCYPART_ARC
(16,17),-0.570907 # DEPENDENCYPART_ARC
(16,18),-2.35898 # DEPENDENCYPART_ARC
(16,19),-1.66434 # DEPENDENCYPART_ARC
(16,20),-2.08688 # DEPENDENCYPART_ARC
(16,21),-2.25574 # DEPENDENCYPART_ARC
(16,22),-1.42683 # DEPENDENCYPART_ARC
(17,1),-1.22689 # DEPENDENCYPART_ARC
(17,2),-2.04102 # DEPENDENCYPART_ARC
(17,3),-1.17182 # DEPENDENCYPART_ARC
(17,4),-0.761053 # DEPENDENCYPART_ARC
(17,5),-2.28655 # DEPENDENCYPART_ARC
(17,6),-1.46599 # DEPENDENCYPART_ARC
(17,7),-0.414866 # DEPENDENCYPART_ARC
(17,8),-0.967229 # DEPENDENCYPART_ARC
(17,9),-1.7044 # DEPENDENCYPART_ARC
(17,10),-1.84006 # DEPENDENCYPART_ARC
(17,11),-0.612552 # DEPENDENCYPART_ARC
(17,12),0.281896 # DEPENDENCYPART_ARC
(17,13),-0.229303 # DEPENDENCYPART_ARC
(17,14),0.788768 # DEPENDENCYPART_ARC
(17,15),-1.10202 # DEPENDENCYPART_ARC
(17,16),2.52311 # DEPENDENCYPART_ARC
(17,18),3.09415 # DEPENDENCYPART_ARC
(17,19),0.429772 # DEPENDENCYPART_ARC
(17,20),-0.303148 # DEPENDENCYPART_ARC
(17,21),-0.869107 # DEPENDENCYPART_ARC
(17,22),-0.367461 # DEPENDENCYPART_ARC
(18,1),-3.4391 # DEPENDENCYPART_ARC
(18,2),-5.53087 # DEPENDENCYPART_ARC
(18,3),-3.29508 # DEPENDENCYPART_ARC
(18,4),-3.14714 # DEPENDENCYPART_ARC
(18,5),-2.94992 # DEPENDENCYPART_ARC
(18,6),-2.78397 # DEPENDENCYPART_ARC
(18,7),-4.80665 # DEPENDENCYPART_ARC
(18,8),-2.40588 # DEPENDENCYPART_ARC
(18,9),-3.69133 # DEPENDENCYPART_ARC
(18,10),-2.78613 # DEPENDENCYPART_ARC
(18,11),-2.57948 # DEPENDENCYPART_ARC
(18,12),-2.08246 # DEPENDENCYPART_ARC
(18,13),-4.02638 # DEPENDENCYPART_ARC
(18,14),-3.41913 # DEPENDENCYPART_ARC
(18,15),-2.11156 # DEPENDENCYPART_ARC
(18,16),-2.6368 # DEPENDENCYPART_ARC
(18,17),-0.571244 # DEPENDENCYPART_ARC
(18,19),-0.858245 # DEPENDENCYPART_ARC
(18,20),-1.67993 # DEPENDENCYPART_ARC
(18,21),-1.96838 # DEPENDENCYPART_ARC
(18,22),-0.723779 # DEPENDENCYPART_ARC
(19,1),-1.23407 # DEPENDENCYPART_ARC
(19,2),-0.802455 # DEPENDENCYPART_ARC
(19,3),-1.46254 # DEPENDENCYPART_ARC
(19,4),-1.06443 # DEPENDENCYPART_ARC
(19,5),-1.36501 # DEPENDENCYPART_ARC
(19,6),-0.691289 # DEPENDENCYPART_ARC
(19,7),-0.577347 # DEPENDENCYPART_ARC
(19,8),-1.29949 # DEPENDENCYPART_ARC
(19,9),-0.620934 # DEPENDENCYPART_ARC
(19,10),-1.79847 # DEPENDENCYPART_ARC
(19,11),-0.442784 # DEPENDENCYPART_ARC
(19,12),0.0415631 # DEPENDENCYPART_ARC
(19,13),0.438516 # DEPENDENCYPART_ARC
(19,14),0.132464 # DEPENDENCYPART_ARC
(19,15),-1.26388 # DEPENDENCYPART_ARC
(19,16),0.894953 # DEPENDENCYPART_ARC
(19,17),0.953129 # DEPENDENCYPART_ARC
(19,18),2.02998 # DEPENDENCYPART_ARC
(19,20),-0.596372 # DEPENDENCYPART_ARC
(19,21),-0.68095 # DEPENDENCYPART_ARC
(19,22),-0.867673 # DEPENDENCYPART_ARC
(20,1),-0.587085 # DEPENDENCYPART_ARC
(20,2),-0.535428 # DEPENDENCYPART_ARC
(20,3),-1.33943 # DEPENDENCYPART_ARC
(20,4),-1.37913 # DEPENDENCYPART_ARC
(20,5),-1.24281 # DEPENDENCYPART_ARC
(20,6),-0.656247 # DEPENDENCYPART_ARC
(20,7),-1.02754 # DEPENDENCYPART_ARC
(20,8),-0.531881 # DEPENDENCYPART_ARC
(20,9),-0.451084 # DEPENDENCYPART_ARC
(20,10),-1.42498 # DEPENDENCYPART_ARC
(20,11),-0.190833 # DEPENDENCYPART_ARC
(20,12),-0.133358 # DEPENDENCYPART_ARC
(20,13),0.353286 # DEPENDENCYPART_ARC
(20,14),-0.0439574 # DEPENDENCYPART_ARC
(20,15),-1.13437 # DEPENDENCYPART_ARC
(20,16),0.537791 # DEPENDENCYPART_ARC
(20,17),0.765486 # DEPENDENCYPART_ARC
(20,18),0.789289 # DEPENDENCYPART_ARC
(20,19),2.04117 # DEPENDENCYPART_ARC
(20,21),1.57383 # DEPENDENCYPART_ARC
(20,22),-0.0948304 # DEPENDENCYPART_ARC
(21,1),-1.01506 # DEPENDENCYPART_ARC
(21,2),-1.40995 # DEPENDENCYPART_ARC
(21,3),-1.26529 # DEPENDENCYPART_ARC
(21,4),-1.14314 # DEPENDENCYPART_ARC
(21,5),-2.1976 # DEPENDENCYPART_ARC
(21,6),-1.69044 # DEPENDENCYPART_ARC
(21,7),-1.42348 # DEPENDENCYPART_ARC
(21,8),-2.18008 # DEPENDENCYPART_ARC
(21,9),-1.56577 # DEPENDENCYPART_ARC
(21,10),-2.14037 # DEPENDENCYPART_ARC
(21,11),-1.4326 # DEPENDENCYPART_ARC
(21,12),-0.974409 # DEPENDENCYPART_ARC
(21,13),-1.09132 # DEPENDENCYPART_ARC
(21,14),-1.07899 # DEPENDENCYPART_ARC
(21,15),-1.76273 # DEPENDENCYPART_ARC
(21,16),-1.12434 # DEPENDENCYPART_ARC
(21,17),-0.762437 # DEPENDENCYPART_ARC
(21,18),-1.03259 # DEPENDENCYPART_ARC
(21,19),-1.37011 # DEPENDENCYPART_ARC
(21,20),-1.13502 # DEPENDENCYPART_ARC
(21,22),1.64485 # DEPENDENCYPART_ARC
(22,1),-2.28058 # DEPENDENCYPART_ARC
(22,2),-1.70838 # DEPENDENCYPART_ARC
(22,3),-1.72936 # DEPENDENCYPART_ARC
(22,4),-1.76847 # DEPENDENCYPART_ARC
(22,6),-2.05926 # DEPENDENCYPART_ARC
(22,7),-1.65048 # DEPENDENCYPART_ARC
(22,8),-2.11335 # DEPENDENCYPART_ARC
(22,10),-1.7943 # DEPENDENCYPART_ARC
(22,11),-1.326 # DEPENDENCYPART_ARC
(22,12),-1.58423 # DEPENDENCYPART_ARC
(22,13),-1.36935 # DEPENDENCYPART_ARC
(22,14),-1.58425 # DEPENDENCYPART_ARC
(22,15),-1.5382 # DEPENDENCYPART_ARC
(22,16),-1.32699 # DEPENDENCYPART_ARC
(22,17),-0.970402 # DEPENDENCYPART_ARC
(22,18),-0.924614 # DEPENDENCYPART_ARC
(22,19),-1.19703 # DEPENDENCYPART_ARC
(22,20),-1.13034 # DEPENDENCYPART_ARC
