# _root_ gogoan_hartu zenuen , ez zenuen ulertu , baina berehala ezabatu zenuen beste inork irakurri ez zezan .
#goldHeads=8,1,2,6,6,8,6,0,10,8,10,13,14,10,14,14,16,
#predictedHeads=6,1,2,6,6,8,6,0,10,8,10,13,14,10,14,14,16,
(3,16),-1.43086 # DEPENDENCYPART_ARC
(4,3),-0.206494 # DEPENDENCYPART_ARC
(4,6),-0.797731 # DEPENDENCYPART_ARC
(4,7),-0.127241 # DEPENDENCYPART_ARC
(4,8),-0.574024 # DEPENDENCYPART_ARC
(4,10),-1.07055 # DEPENDENCYPART_ARC
(4,14),-1.08597 # DEPENDENCYPART_ARC
(4,15),-0.516793 # DEPENDENCYPART_ARC
(4,17),-0.638903 # DEPENDENCYPART_ARC
(5,1),-2.26277 # DEPENDENCYPART_ARC
(5,2),-0.536674 # DEPENDENCYPART_ARC
(5,3),-0.76854 # DEPENDENCYPART_ARC
(5,4),0.670649 # DEPENDENCYPART_ARC
(5,6),-0.387257 # DEPENDENCYPART_ARC
(5,7),0.0307883 # DEPENDENCYPART_ARC
(5,8),-0.635746 # DEPENDENCYPART_ARC
(5,9),-0.88618 # DEPENDENCYPART_ARC
(5,10),-1.45543 # DEPENDENCYPART_ARC
(5,11),-0.952353 # DEPENDENCYPART_ARC
(5,14),-1.20807 # DEPENDENCYPART_ARC
(5,15),-1.0587 # DEPENDENCYPART_ARC
(5,16),-0.706533 # DEPENDENCYPART_ARC
(5,17),-0.796045 # DEPENDENCYPART_ARC
(6,1),0.848352 # DEPENDENCYPART_ARC
(6,2),0.084592 # DEPENDENCYPART_ARC
(6,3),-0.0194525 # DEPENDENCYPART_ARC
(6,4),1.8202 # DEPENDENCYPART_ARC
(6,5),1.63722 # DEPENDENCYPART_ARC
(6,7),1.84279 # DEPENDENCYPART_ARC
(6,8),-0.030691 # DEPENDENCYPART_ARC
(6,9),-0.503779 # DEPENDENCYPART_ARC
(6,10),-0.660362 # DEPENDENCYPART_ARC
(6,11),0.263994 # DEPENDENCYPART_ARC
(6,12),-0.896591 # DEPENDENCYPART_ARC
(6,13),-0.895721 # DEPENDENCYPART_ARC
(6,14),-0.513792 # DEPENDENCYPART_ARC
(6,15),-0.5504 # DEPENDENCYPART_ARC
(6,16),-0.48726 # DEPENDENCYPART_ARC
(6,17),-0.643572 # DEPENDENCYPART_ARC
(7,1),-1.20104 # DEPENDENCYPART_ARC
(7,2),-1.34485 # DEPENDENCYPART_ARC
(7,5),-1.10566 # DEPENDENCYPART_ARC
(7,6),-0.0939657 # DEPENDENCYPART_ARC
(7,8),-0.371348 # DEPENDENCYPART_ARC
(7,10),-1.06584 # DEPENDENCYPART_ARC
(7,11),-1.28883 # DEPENDENCYPART_ARC
(7,12),-1.89346 # DEPENDENCYPART_ARC
(7,14),-1.47729 # DEPENDENCYPART_ARC
(7,16),-1.62609 # DEPENDENCYPART_ARC
(8,1),0.713674 # DEPENDENCYPART_ARC
(8,2),-0.926541 # DEPENDENCYPART_ARC
(8,3),-0.749682 # DEPENDENCYPART_ARC
(8,4),-0.297648 # DEPENDENCYPART_ARC
(8,5),-0.376698 # DEPENDENCYPART_ARC
(8,6),1.33334 # DEPENDENCYPART_ARC
(8,7),0.200069 # DEPENDENCYPART_ARC
(8,9),-0.25425 # DEPENDENCYPART_ARC
(8,10),0.958581 # DEPENDENCYPART_ARC
(8,11),-0.549355 # DEPENDENCYPART_ARC
(8,12),-0.81828 # DEPENDENCYPART_ARC
(8,13),-0.740619 # DEPENDENCYPART_ARC
(8,14),-0.0899873 # DEPENDENCYPART_ARC
(8,15),-0.432109 # DEPENDENCYPART_ARC
(8,16),-1.11201 # DEPENDENCYPART_ARC
(8,17),-0.15885 # DEPENDENCYPART_ARC
(9,1),-1.59318 # DEPENDENCYPART_ARC
(9,2),-1.73827 # DEPENDENCYPART_ARC
(9,3),-1.67498 # DEPENDENCYPART_ARC
(9,4),-1.64719 # DEPENDENCYPART_ARC
(9,5),-1.5856 # DEPENDENCYPART_ARC
(9,6),-1.28509 # DEPENDENCYPART_ARC
(9,7),-1.24789 # DEPENDENCYPART_ARC
(9,8),-0.407227 # DEPENDENCYPART_ARC
(9,10),-0.560951 # DEPENDENCYPART_ARC
(9,11),-0.602251 # DEPENDENCYPART_ARC
(9,12),-1.1501 # DEPENDENCYPART_ARC
(9,14),-1.4242 # DEPENDENCYPART_ARC
(9,15),-1.46383 # DEPENDENCYPART_ARC
(9,16),-1.32242 # DEPENDENCYPART_ARC
(9,17),-0.850819 # DEPENDENCYPART_ARC
(10,1),0.15724 # DEPENDENCYPART_ARC
(10,2),-0.815978 # DEPENDENCYPART_ARC
(10,3),-0.664913 # DEPENDENCYPART_ARC
(10,4),-0.157394 # DEPENDENCYPART_ARC
(10,5),-0.366968 # DEPENDENCYPART_ARC
(10,6),0.315968 # DEPENDENCYPART_ARC
(10,7),-0.588711 # DEPENDENCYPART_ARC
(10,8),0.0899398 # DEPENDENCYPART_ARC
(10,9),1.55757 # DEPENDENCYPART_ARC
(10,11),2.07907 # DEPENDENCYPART_ARC
(10,12),0.536254 # DEPENDENCYPART_ARC
(10,13),-0.32169 # DEPENDENCYPART_ARC
(10,14),0.352161 # DEPENDENCYPART_ARC
(10,15),-0.256881 # DEPENDENCYPART_ARC
(10,16),-0.373771 # DEPENDENCYPART_ARC
(10,17),-0.500731 # DEPENDENCYPART_ARC
(11,1),-2.75626 # DEPENDENCYPART_ARC
(11,2),-1.26069 # DEPENDENCYPART_ARC
(11,3),-1.44786 # DEPENDENCYPART_ARC
(11,4),-1.01756 # DEPENDENCYPART_ARC
(11,5),-1.1259 # DEPENDENCYPART_ARC
(11,6),-2.48551 # DEPENDENCYPART_ARC
(11,7),-1.24859 # DEPENDENCYPART_ARC
(11,8),-0.871037 # DEPENDENCYPART_ARC
(11,9),-0.582709 # DEPENDENCYPART_ARC
(11,10),-1.21922 # DEPENDENCYPART_ARC
(11,14),-1.23051 # DEPENDENCYPART_ARC
(11,15),-1.1538 # DEPENDENCYPART_ARC
(11,16),-0.941596 # DEPENDENCYPART_ARC
(11,17),-0.629221 # DEPENDENCYPART_ARC
(12,3),-1.56968 # DEPENDENCYPART_ARC
(12,4),-0.651599 # DEPENDENCYPART_ARC
(12,6),-1.64555 # DEPENDENCYPART_ARC
(12,7),-1.39618 # DEPENDENCYPART_ARC
(12,8),-0.891946 # DEPENDENCYPART_ARC
(12,9),-0.731312 # DEPENDENCYPART_ARC
(12,10),-0.627691 # DEPENDENCYPART_ARC
(12,14),-0.754716 # DEPENDENCYPART_ARC
(12,15),-0.292359 # DEPENDENCYPART_ARC
(12,17),-0.587328 # DEPENDENCYPART_ARC
(13,3),-1.02788 # DEPENDENCYPART_ARC
(13,4),-0.303269 # DEPENDENCYPART_ARC
(13,6),-0.933591 # DEPENDENCYPART_ARC
(13,7),-0.876375 # DEPENDENCYPART_ARC
(13,9),-0.501167 # DEPENDENCYPART_ARC
(13,10),-0.440258 # DEPENDENCYPART_ARC
(13,12),0.70471 # DEPENDENCYPART_ARC
(13,14),0.196595 # DEPENDENCYPART_ARC
(13,15),-0.242298 # DEPENDENCYPART_ARC
(13,17),-0.170478 # DEPENDENCYPART_ARC
(14,1),-1.11439 # DEPENDENCYPART_ARC
(14,2),-1.67361 # DEPENDENCYPART_ARC
(14,3),-1.27589 # DEPENDENCYPART_ARC
(14,4),-0.166494 # DEPENDENCYPART_ARC
(14,5),-0.958149 # DEPENDENCYPART_ARC
(14,6),-1.0639 # DEPENDENCYPART_ARC
(14,7),-1.27537 # DEPENDENCYPART_ARC
(14,8),-0.674104 # DEPENDENCYPART_ARC
(14,9),-0.234022 # DEPENDENCYPART_ARC
(14,10),-0.478257 # DEPENDENCYPART_ARC
(14,11),-0.344711 # DEPENDENCYPART_ARC
(14,12),-0.110737 # DEPENDENCYPART_ARC
(14,13),1.94601 # DEPENDENCYPART_ARC
(14,15),1.5858 # DEPENDENCYPART_ARC
(14,16),1.64349 # DEPENDENCYPART_ARC
(14,17),-0.0946159 # DEPENDENCYPART_ARC
(15,3),-1.69427 # DEPENDENCYPART_ARC
(15,4),-1.69076 # DEPENDENCYPART_ARC
(15,6),-2.00551 # DEPENDENCYPART_ARC
(15,7),-1.50561 # DEPENDENCYPART_ARC
(15,8),-1.36408 # DEPENDENCYPART_ARC
(15,10),-1.79455 # DEPENDENCYPART_ARC
(15,14),-0.348353 # DEPENDENCYPART_ARC
(15,17),-0.143112 # DEPENDENCYPART_ARC
(16,1),-2.164 # DEPENDENCYPART_ARC
(16,2),-1.33831 # DEPENDENCYPART_ARC
(16,3),-1.48624 # DEPENDENCYPART_ARC
(16,4),-1.43857 # DEPENDENCYPART_ARC
(16,5),-1.33755 # DEPENDENCYPART_ARC
(16,6),-2.14463 # DEPENDENCYPART_ARC
(16,7),-1.46909 # DEPENDENCYPART_ARC
(16,8),-1.11768 # DEPENDENCYPART_ARC
(16,9),-1.033 # DEPENDENCYPART_ARC
(16,10),-2.0776 # DEPENDENCYPART_ARC
(16,11),-1.0568 # DEPENDENCYPART_ARC
(16,14),-1.20646 # DEPENDENCYPART_ARC
(16,15),-0.161767 # DEPENDENCYPART_ARC
(16,17),1.7199 # DEPENDENCYPART_ARC
(17,3),-1.4984 # DEPENDENCYPART_ARC
(17,6),-1.7166 # DEPENDENCYPART_ARC
(17,7),-1.36138 # DEPENDENCYPART_ARC
(17,8),-0.948542 # DEPENDENCYPART_ARC
(17,10),-1.4473 # DEPENDENCYPART_ARC
(17,14),-0.91225 # DEPENDENCYPART_ARC
