# _root_ aznar rodriguez_zapaterorekin eta nicolas_redondo pse-eeko idazkariarekin bildu zen , ez ordea ibarretxerekin , lehendakaritzak adierazitakoaren arabera .
#goldHeads=7,3,7,6,6,3,10,7,8,0,0,11,12,15,11,15,16,
#predictedHeads=7,3,7,3,6,7,0,7,8,7,0,7,12,15,7,15,16,
(4,12),-2.4173 # DEPENDENCYPART_ARC
(4,13),-1.04339 # DEPENDENCYPART_ARC
(4,14),-1.74497 # DEPENDENCYPART_ARC
(4,15),-2.31393 # DEPENDENCYPART_ARC
(4,16),-1.33807 # DEPENDENCYPART_ARC
(4,17),-1.22311 # DEPENDENCYPART_ARC
(5,1),-4.19257 # DEPENDENCYPART_ARC
(5,2),-5.03529 # DEPENDENCYPART_ARC
(5,3),-0.211626 # DEPENDENCYPART_ARC
(5,4),-0.260401 # DEPENDENCYPART_ARC
(5,6),-0.123876 # DEPENDENCYPART_ARC
(5,7),-3.66403 # DEPENDENCYPART_ARC
(5,9),-1.68998 # DEPENDENCYPART_ARC
(5,10),-2.88372 # DEPENDENCYPART_ARC
(5,12),-3.29978 # DEPENDENCYPART_ARC
(5,13),-1.66621 # DEPENDENCYPART_ARC
(5,14),-2.03056 # DEPENDENCYPART_ARC
(5,16),-1.9961 # DEPENDENCYPART_ARC
(5,17),-1.80482 # DEPENDENCYPART_ARC
(6,1),-1.69859 # DEPENDENCYPART_ARC
(6,2),-1.76774 # DEPENDENCYPART_ARC
(6,3),0.34089 # DEPENDENCYPART_ARC
(6,4),0.730342 # DEPENDENCYPART_ARC
(6,5),2.28477 # DEPENDENCYPART_ARC
(6,7),-1.31154 # DEPENDENCYPART_ARC
(6,8),-0.925082 # DEPENDENCYPART_ARC
(6,9),-0.855174 # DEPENDENCYPART_ARC
(6,10),-1.74133 # DEPENDENCYPART_ARC
(6,11),-0.575992 # DEPENDENCYPART_ARC
(6,12),-1.08602 # DEPENDENCYPART_ARC
(6,13),-0.859662 # DEPENDENCYPART_ARC
(6,14),-0.978426 # DEPENDENCYPART_ARC
(6,15),-2.39976 # DEPENDENCYPART_ARC
(6,16),-1.25289 # DEPENDENCYPART_ARC
(6,17),-1.1556 # DEPENDENCYPART_ARC
(7,1),0.600966 # DEPENDENCYPART_ARC
(7,2),-0.100038 # DEPENDENCYPART_ARC
(7,3),0.419488 # DEPENDENCYPART_ARC
(7,4),0.503731 # DEPENDENCYPART_ARC
(7,5),-0.035799 # DEPENDENCYPART_ARC
(7,6),1.96664 # DEPENDENCYPART_ARC
(7,8),1.78641 # DEPENDENCYPART_ARC
(7,9),-0.232955 # DEPENDENCYPART_ARC
(7,10),-0.198835 # DEPENDENCYPART_ARC
(7,11),-0.0976848 # DEPENDENCYPART_ARC
(7,12),0.0603131 # DEPENDENCYPART_ARC
(7,13),-0.780238 # DEPENDENCYPART_ARC
(7,14),-0.605986 # DEPENDENCYPART_ARC
(7,15),-0.405931 # DEPENDENCYPART_ARC
(7,16),-0.742219 # DEPENDENCYPART_ARC
(7,17),-0.832489 # DEPENDENCYPART_ARC
(8,1),-1.51507 # DEPENDENCYPART_ARC
(8,2),-1.33567 # DEPENDENCYPART_ARC
(8,3),-1.68613 # DEPENDENCYPART_ARC
(8,4),-1.09178 # DEPENDENCYPART_ARC
(8,5),-0.636708 # DEPENDENCYPART_ARC
(8,6),-0.575021 # DEPENDENCYPART_ARC
(8,7),-1.22033 # DEPENDENCYPART_ARC
(8,9),1.48058 # DEPENDENCYPART_ARC
(8,10),-0.62244 # DEPENDENCYPART_ARC
(8,11),-0.847097 # DEPENDENCYPART_ARC
(8,12),-1.18505 # DEPENDENCYPART_ARC
(8,13),-0.62378 # DEPENDENCYPART_ARC
(8,14),-1.26153 # DEPENDENCYPART_ARC
(8,16),-1.02549 # DEPENDENCYPART_ARC
(8,17),-1.09192 # DEPENDENCYPART_ARC
(9,1),-0.64959 # DEPENDENCYPART_ARC
(9,2),-0.620629 # DEPENDENCYPART_ARC
(9,3),-0.539701 # DEPENDENCYPART_ARC
(9,4),-0.537086 # DEPENDENCYPART_ARC
(9,6),-0.138155 # DEPENDENCYPART_ARC
(9,7),-0.210382 # DEPENDENCYPART_ARC
(9,8),0.0446472 # DEPENDENCYPART_ARC
(9,12),-0.634478 # DEPENDENCYPART_ARC
(9,14),-0.912194 # DEPENDENCYPART_ARC
(10,1),-1.8042 # DEPENDENCYPART_ARC
(10,2),-1.67473 # DEPENDENCYPART_ARC
(10,3),-1.36701 # DEPENDENCYPART_ARC
(10,4),-1.64014 # DEPENDENCYPART_ARC
(10,5),-1.55587 # DEPENDENCYPART_ARC
(10,6),-1.35397 # DEPENDENCYPART_ARC
(10,7),-1.4131 # DEPENDENCYPART_ARC
(10,9),-0.35338 # DEPENDENCYPART_ARC
(10,12),-0.366038 # DEPENDENCYPART_ARC
(10,13),-0.196321 # DEPENDENCYPART_ARC
(10,14),-0.523872 # DEPENDENCYPART_ARC
(10,17),-0.388264 # DEPENDENCYPART_ARC
(11,3),-1.41364 # DEPENDENCYPART_ARC
(11,6),-1.88798 # DEPENDENCYPART_ARC
(11,7),-0.421689 # DEPENDENCYPART_ARC
(11,9),-1.20923 # DEPENDENCYPART_ARC
(11,10),-0.477864 # DEPENDENCYPART_ARC
(11,13),-0.36803 # DEPENDENCYPART_ARC
(11,14),-0.638594 # DEPENDENCYPART_ARC
(11,15),-1.27731 # DEPENDENCYPART_ARC
(11,17),-1.10687 # DEPENDENCYPART_ARC
(12,1),-4.52181 # DEPENDENCYPART_ARC
(12,2),-5.31139 # DEPENDENCYPART_ARC
(12,4),-2.36407 # DEPENDENCYPART_ARC
(12,5),-1.26615 # DEPENDENCYPART_ARC
(12,6),-4.52576 # DEPENDENCYPART_ARC
(12,7),-2.03553 # DEPENDENCYPART_ARC
(12,9),-1.64886 # DEPENDENCYPART_ARC
(12,11),-0.58522 # DEPENDENCYPART_ARC
(12,13),1.64163 # DEPENDENCYPART_ARC
(12,14),-0.345445 # DEPENDENCYPART_ARC
(12,15),-2.17782 # DEPENDENCYPART_ARC
(12,16),-1.03508 # DEPENDENCYPART_ARC
(12,17),-0.619709 # DEPENDENCYPART_ARC
(13,1),-1.21911 # DEPENDENCYPART_ARC
(13,2),-1.28419 # DEPENDENCYPART_ARC
(13,3),-1.09252 # DEPENDENCYPART_ARC
(13,4),-1.06242 # DEPENDENCYPART_ARC
(13,6),-1.13291 # DEPENDENCYPART_ARC
(13,7),-0.919651 # DEPENDENCYPART_ARC
(13,8),-1.01068 # DEPENDENCYPART_ARC
(13,12),-0.179884 # DEPENDENCYPART_ARC
(13,14),-0.280213 # DEPENDENCYPART_ARC
(14,1),-4.78583 # DEPENDENCYPART_ARC
(14,2),-4.96753 # DEPENDENCYPART_ARC
(14,3),-1.1575 # DEPENDENCYPART_ARC
(14,4),-2.33877 # DEPENDENCYPART_ARC
(14,5),-1.08039 # DEPENDENCYPART_ARC
(14,6),-3.77159 # DEPENDENCYPART_ARC
(14,7),-1.6152 # DEPENDENCYPART_ARC
(14,8),-2.02687 # DEPENDENCYPART_ARC
(14,9),-1.69416 # DEPENDENCYPART_ARC
(14,10),-0.884919 # DEPENDENCYPART_ARC
(14,11),-0.925327 # DEPENDENCYPART_ARC
(14,12),-2.86211 # DEPENDENCYPART_ARC
(14,13),-0.0376745 # DEPENDENCYPART_ARC
(14,15),-0.118967 # DEPENDENCYPART_ARC
(14,16),-0.624651 # DEPENDENCYPART_ARC
(14,17),-0.904482 # DEPENDENCYPART_ARC
(15,1),-1.99925 # DEPENDENCYPART_ARC
(15,2),-2.52959 # DEPENDENCYPART_ARC
(15,3),-0.745079 # DEPENDENCYPART_ARC
(15,4),-2.39724 # DEPENDENCYPART_ARC
(15,5),-3.6383 # DEPENDENCYPART_ARC
(15,6),-1.44072 # DEPENDENCYPART_ARC
(15,7),-2.0994 # DEPENDENCYPART_ARC
(15,8),-1.69248 # DEPENDENCYPART_ARC
(15,9),-1.31486 # DEPENDENCYPART_ARC
(15,10),-0.80906 # DEPENDENCYPART_ARC
(15,11),-0.610715 # DEPENDENCYPART_ARC
(15,12),-1.22703 # DEPENDENCYPART_ARC
(15,13),-0.993665 # DEPENDENCYPART_ARC
(15,14),0.527467 # DEPENDENCYPART_ARC
(15,16),1.37075 # DEPENDENCYPART_ARC
(15,17),-0.342918 # DEPENDENCYPART_ARC
(16,1),-1.63585 # DEPENDENCYPART_ARC
(16,2),-1.6322 # DEPENDENCYPART_ARC
(16,3),-0.943328 # DEPENDENCYPART_ARC
(16,4),-1.66912 # DEPENDENCYPART_ARC
(16,5),-1.68805 # DEPENDENCYPART_ARC
(16,6),-1.6273 # DEPENDENCYPART_ARC
(16,7),-1.85157 # DEPENDENCYPART_ARC
(16,8),-1.71427 # DEPENDENCYPART_ARC
(16,9),-1.73743 # DEPENDENCYPART_ARC
(16,10),-1.65882 # DEPENDENCYPART_ARC
(16,11),-1.09277 # DEPENDENCYPART_ARC
(16,12),-1.372 # DEPENDENCYPART_ARC
(16,13),-1.22048 # DEPENDENCYPART_ARC
(16,14),-0.964747 # DEPENDENCYPART_ARC
(16,17),1.90213 # DEPENDENCYPART_ARC
(17,3),-1.66544 # DEPENDENCYPART_ARC
(17,5),-1.76805 # DEPENDENCYPART_ARC
(17,6),-1.69318 # DEPENDENCYPART_ARC
(17,7),-2.04576 # DEPENDENCYPART_ARC
(17,9),-1.56429 # DEPENDENCYPART_ARC
(17,13),-1.40532 # DEPENDENCYPART_ARC
(17,14),-0.953115 # DEPENDENCYPART_ARC
