# _root_ azkenik , lizarra-garaziko_akordioaren bilera eskatu duela iragarri zuen , ehren jarrera zein den jakin asmoz .
#goldHeads=0,3,4,5,7,5,0,7,8,11,13,13,14,7,14,15,
#predictedHeads=5,3,4,5,7,5,0,7,8,11,13,13,14,15,7,15,
(2,8),-1.00392 # DEPENDENCYPART_ARC
(2,9),-1.0104 # DEPENDENCYPART_ARC
(2,10),-2.31544 # DEPENDENCYPART_ARC
(2,11),-2.14233 # DEPENDENCYPART_ARC
(2,12),-1.68095 # DEPENDENCYPART_ARC
(2,13),-1.56077 # DEPENDENCYPART_ARC
(2,14),-1.90294 # DEPENDENCYPART_ARC
(2,15),-2.39174 # DEPENDENCYPART_ARC
(2,16),-1.60341 # DEPENDENCYPART_ARC
(3,1),-0.899858 # DEPENDENCYPART_ARC
(3,2),0.291735 # DEPENDENCYPART_ARC
(3,4),-0.175733 # DEPENDENCYPART_ARC
(3,5),-2.20181 # DEPENDENCYPART_ARC
(3,6),-1.81698 # DEPENDENCYPART_ARC
(3,7),-2.76051 # DEPENDENCYPART_ARC
(3,8),-1.05914 # DEPENDENCYPART_ARC
(3,9),-0.784231 # DEPENDENCYPART_ARC
(3,10),-1.81153 # DEPENDENCYPART_ARC
(3,11),-2.28055 # DEPENDENCYPART_ARC
(3,12),-2.60103 # DEPENDENCYPART_ARC
(3,13),-1.57604 # DEPENDENCYPART_ARC
(3,14),-2.13053 # DEPENDENCYPART_ARC
(3,15),-2.48402 # DEPENDENCYPART_ARC
(3,16),-0.787319 # DEPENDENCYPART_ARC
(4,1),-0.371527 # DEPENDENCYPART_ARC
(4,2),-0.481371 # DEPENDENCYPART_ARC
(4,3),3.01734 # DEPENDENCYPART_ARC
(4,5),-1.33031 # DEPENDENCYPART_ARC
(4,6),-1.30425 # DEPENDENCYPART_ARC
(4,7),-2.49692 # DEPENDENCYPART_ARC
(4,8),-1.59615 # DEPENDENCYPART_ARC
(4,9),-1.07518 # DEPENDENCYPART_ARC
(4,10),-1.58333 # DEPENDENCYPART_ARC
(4,11),-1.64807 # DEPENDENCYPART_ARC
(4,12),-3.05602 # DEPENDENCYPART_ARC
(4,13),-2.05719 # DEPENDENCYPART_ARC
(4,14),-1.86945 # DEPENDENCYPART_ARC
(4,15),-2.35529 # DEPENDENCYPART_ARC
(4,16),-1.08136 # DEPENDENCYPART_ARC
(5,1),0.867268 # DEPENDENCYPART_ARC
(5,2),-0.865102 # DEPENDENCYPART_ARC
(5,3),1.41182 # DEPENDENCYPART_ARC
(5,4),2.37432 # DEPENDENCYPART_ARC
(5,6),2.38858 # DEPENDENCYPART_ARC
(5,7),-0.0566009 # DEPENDENCYPART_ARC
(5,8),-0.165612 # DEPENDENCYPART_ARC
(5,9),-0.913955 # DEPENDENCYPART_ARC
(5,10),-0.719128 # DEPENDENCYPART_ARC
(5,11),-0.356376 # DEPENDENCYPART_ARC
(5,12),-0.931745 # DEPENDENCYPART_ARC
(5,13),-0.155455 # DEPENDENCYPART_ARC
(5,14),0.00733429 # DEPENDENCYPART_ARC
(5,15),0.392893 # DEPENDENCYPART_ARC
(5,16),-0.844723 # DEPENDENCYPART_ARC
(6,1),-1.0357 # DEPENDENCYPART_ARC
(6,2),-1.41321 # DEPENDENCYPART_ARC
(6,3),-0.364974 # DEPENDENCYPART_ARC
(6,4),0.0953287 # DEPENDENCYPART_ARC
(6,5),-0.812641 # DEPENDENCYPART_ARC
(6,7),-1.60335 # DEPENDENCYPART_ARC
(6,8),-0.55909 # DEPENDENCYPART_ARC
(6,9),-0.171284 # DEPENDENCYPART_ARC
(6,10),-2.23428 # DEPENDENCYPART_ARC
(6,11),-1.63071 # DEPENDENCYPART_ARC
(6,12),-1.20935 # DEPENDENCYPART_ARC
(6,13),-0.729868 # DEPENDENCYPART_ARC
(6,14),-1.81622 # DEPENDENCYPART_ARC
(6,15),-1.48177 # DEPENDENCYPART_ARC
(6,16),-1.12365 # DEPENDENCYPART_ARC
(7,1),0.612022 # DEPENDENCYPART_ARC
(7,2),-1.03102 # DEPENDENCYPART_ARC
(7,3),0.363654 # DEPENDENCYPART_ARC
(7,4),0.72084 # DEPENDENCYPART_ARC
(7,5),1.83884 # DEPENDENCYPART_ARC
(7,6),0.339318 # DEPENDENCYPART_ARC
(7,8),1.88575 # DEPENDENCYPART_ARC
(7,9),0.00112389 # DEPENDENCYPART_ARC
(7,10),-0.204408 # DEPENDENCYPART_ARC
(7,11),0.339859 # DEPENDENCYPART_ARC
(7,12),-0.504354 # DEPENDENCYPART_ARC
(7,13),0.310442 # DEPENDENCYPART_ARC
(7,14),0.102202 # DEPENDENCYPART_ARC
(7,15),0.801792 # DEPENDENCYPART_ARC
(7,16),-0.443339 # DEPENDENCYPART_ARC
(8,1),-0.955393 # DEPENDENCYPART_ARC
(8,2),-1.43851 # DEPENDENCYPART_ARC
(8,3),-1.0909 # DEPENDENCYPART_ARC
(8,4),-0.847237 # DEPENDENCYPART_ARC
(8,5),-2.40113 # DEPENDENCYPART_ARC
(8,6),-0.679176 # DEPENDENCYPART_ARC
(8,7),-1.47174 # DEPENDENCYPART_ARC
(8,9),1.4199 # DEPENDENCYPART_ARC
(8,10),-2.01854 # DEPENDENCYPART_ARC
(8,11),-1.80705 # DEPENDENCYPART_ARC
(8,12),-1.77519 # DEPENDENCYPART_ARC
(8,13),-1.15541 # DEPENDENCYPART_ARC
(8,14),-1.69496 # DEPENDENCYPART_ARC
(8,15),-1.91457 # DEPENDENCYPART_ARC
(8,16),-0.996163 # DEPENDENCYPART_ARC
(9,1),-1.02346 # DEPENDENCYPART_ARC
(9,2),-1.27946 # DEPENDENCYPART_ARC
(9,3),-0.474728 # DEPENDENCYPART_ARC
(9,4),-0.411851 # DEPENDENCYPART_ARC
(9,5),-0.316127 # DEPENDENCYPART_ARC
(9,6),-0.308054 # DEPENDENCYPART_ARC
(9,7),0.15192 # DEPENDENCYPART_ARC
(9,8),0.424365 # DEPENDENCYPART_ARC
(9,10),-0.618117 # DEPENDENCYPART_ARC
(9,11),-1.1628 # DEPENDENCYPART_ARC
(9,12),-0.975256 # DEPENDENCYPART_ARC
(9,13),-0.542535 # DEPENDENCYPART_ARC
(9,14),-0.757742 # DEPENDENCYPART_ARC
(9,15),-1.20419 # DEPENDENCYPART_ARC
(9,16),-0.562939 # DEPENDENCYPART_ARC
(10,1),-2.03799 # DEPENDENCYPART_ARC
(10,2),-1.67194 # DEPENDENCYPART_ARC
(10,3),-3.43493 # DEPENDENCYPART_ARC
(10,4),-6.107 # DEPENDENCYPART_ARC
(10,5),-2.89057 # DEPENDENCYPART_ARC
(10,6),-2.21514 # DEPENDENCYPART_ARC
(10,7),-2.54847 # DEPENDENCYPART_ARC
(10,8),-1.69659 # DEPENDENCYPART_ARC
(10,9),-0.484868 # DEPENDENCYPART_ARC
(10,11),-1.17012 # DEPENDENCYPART_ARC
(10,12),-2.05 # DEPENDENCYPART_ARC
(10,13),-2.45698 # DEPENDENCYPART_ARC
(10,14),-2.30382 # DEPENDENCYPART_ARC
(10,15),-2.21099 # DEPENDENCYPART_ARC
(10,16),-0.859252 # DEPENDENCYPART_ARC
(11,1),-0.922684 # DEPENDENCYPART_ARC
(11,2),-1.51309 # DEPENDENCYPART_ARC
(11,3),-0.0389785 # DEPENDENCYPART_ARC
(11,4),-2.9045 # DEPENDENCYPART_ARC
(11,5),-0.76673 # DEPENDENCYPART_ARC
(11,6),-2.1753 # DEPENDENCYPART_ARC
(11,7),-0.519374 # DEPENDENCYPART_ARC
(11,8),-1.47072 # DEPENDENCYPART_ARC
(11,9),-0.683274 # DEPENDENCYPART_ARC
(11,10),2.28152 # DEPENDENCYPART_ARC
(11,12),-0.208452 # DEPENDENCYPART_ARC
(11,13),-1.58768 # DEPENDENCYPART_ARC
(11,14),-1.63408 # DEPENDENCYPART_ARC
(11,15),-1.96285 # DEPENDENCYPART_ARC
(11,16),-0.956735 # DEPENDENCYPART_ARC
(12,1),-0.906278 # DEPENDENCYPART_ARC
(12,2),-1.40734 # DEPENDENCYPART_ARC
(12,3),-2.1499 # DEPENDENCYPART_ARC
(12,4),-1.30248 # DEPENDENCYPART_ARC
(12,5),-1.56536 # DEPENDENCYPART_ARC
(12,6),-1.65855 # DEPENDENCYPART_ARC
(12,7),-1.39667 # DEPENDENCYPART_ARC
(12,8),-1.29117 # DEPENDENCYPART_ARC
(12,9),-0.835685 # DEPENDENCYPART_ARC
(12,10),-0.370515 # DEPENDENCYPART_ARC
(12,11),0.415912 # DEPENDENCYPART_ARC
(12,13),0.260787 # DEPENDENCYPART_ARC
(12,14),-1.24187 # DEPENDENCYPART_ARC
(12,15),-0.639108 # DEPENDENCYPART_ARC
(12,16),-0.588083 # DEPENDENCYPART_ARC
(13,1),-0.550489 # DEPENDENCYPART_ARC
(13,2),-1.34424 # DEPENDENCYPART_ARC
(13,3),-2.0925 # DEPENDENCYPART_ARC
(13,4),-0.96903 # DEPENDENCYPART_ARC
(13,5),-1.13421 # DEPENDENCYPART_ARC
(13,6),-0.504173 # DEPENDENCYPART_ARC
(13,7),-1.00282 # DEPENDENCYPART_ARC
(13,8),-0.645712 # DEPENDENCYPART_ARC
(13,9),-0.657955 # DEPENDENCYPART_ARC
(13,10),0.301121 # DEPENDENCYPART_ARC
(13,11),2.17943 # DEPENDENCYPART_ARC
(13,12),1.57545 # DEPENDENCYPART_ARC
(13,14),0.349007 # DEPENDENCYPART_ARC
(13,15),1.29766 # DEPENDENCYPART_ARC
(13,16),-0.12856 # DEPENDENCYPART_ARC
(14,1),-0.354037 # DEPENDENCYPART_ARC
(14,2),-1.64473 # DEPENDENCYPART_ARC
(14,3),-1.07395 # DEPENDENCYPART_ARC
(14,4),-0.54569 # DEPENDENCYPART_ARC
(14,5),-0.916335 # DEPENDENCYPART_ARC
(14,6),-0.57802 # DEPENDENCYPART_ARC
(14,7),-0.42419 # DEPENDENCYPART_ARC
(14,8),-0.448099 # DEPENDENCYPART_ARC
(14,9),-1.03093 # DEPENDENCYPART_ARC
(14,10),0.778219 # DEPENDENCYPART_ARC
(14,11),1.23113 # DEPENDENCYPART_ARC
(14,12),-0.203203 # DEPENDENCYPART_ARC
(14,13),1.79254 # DEPENDENCYPART_ARC
(14,15),1.54273 # DEPENDENCYPART_ARC
(14,16),0.0597809 # DEPENDENCYPART_ARC
(15,1),-1.37742 # DEPENDENCYPART_ARC
(15,2),-1.79592 # DEPENDENCYPART_ARC
(15,3),-1.71686 # DEPENDENCYPART_ARC
(15,4),-3.60914 # DEPENDENCYPART_ARC
(15,5),-2.36232 # DEPENDENCYPART_ARC
(15,6),-2.22223 # DEPENDENCYPART_ARC
(15,7),-2.18338 # DEPENDENCYPART_ARC
(15,8),-2.05761 # DEPENDENCYPART_ARC
(15,9),-1.643 # DEPENDENCYPART_ARC
(15,10),-0.866892 # DEPENDENCYPART_ARC
(15,11),-2.46634 # DEPENDENCYPART_ARC
(15,12),-0.616334 # DEPENDENCYPART_ARC
(15,13),-0.997679 # DEPENDENCYPART_ARC
(15,14),0.93345 # DEPENDENCYPART_ARC
(15,16),2.37808 # DEPENDENCYPART_ARC
(16,1),-1.55162 # DEPENDENCYPART_ARC
(16,2),-1.5732 # DEPENDENCYPART_ARC
(16,3),-1.29695 # DEPENDENCYPART_ARC
(16,4),-1.30242 # DEPENDENCYPART_ARC
(16,5),-1.64358 # DEPENDENCYPART_ARC
(16,6),-1.34037 # DEPENDENCYPART_ARC
(16,7),-1.37716 # DEPENDENCYPART_ARC
(16,8),-1.08566 # DEPENDENCYPART_ARC
(16,9),-1.37933 # DEPENDENCYPART_ARC
(16,10),-1.23141 # DEPENDENCYPART_ARC
(16,11),-1.207 # DEPENDENCYPART_ARC
(16,12),-1.5658 # DEPENDENCYPART_ARC
(16,13),-0.707253 # DEPENDENCYPART_ARC
(16,14),-0.767799 # DEPENDENCYPART_ARC
(16,15),-0.355415 # DEPENDENCYPART_ARC
